measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2005-01-01,,,,,,,,,,2.8477699999999997,16.12,206.15,,,,,,,352.62623,1995.77,25526.09
2005-02-01,,,,,,,,,,0.6532399999999999,3.7,47.44,,,,,,,311.63076,1763.75,22629.54
2005-03-01,,,,,,,,,,0.5604399999999999,3.17,40.71,,,,,,,371.76056,2104.07,27004.39
2005-04-01,,,,,,,,,,0.56124,3.18,40.77,,,,,,,381.13876,2157.15,27686.12
2005-05-01,,,,,,,,,,0.56541,3.2,41.06,,,,,,,309.25359,1750.3,22460.08
2005-06-01,,,,,,,,,,0.6846399999999999,3.87,49.74,,,,,,,525.98536,2976.94,38211.22
2005-07-01,,,,,,,,,,1.29742,7.34,94.22,,,,,,,678.02558,3837.45,49240.53
2005-08-01,,,,,,,,,,1.14936,6.51,83.49,,,,,,,724.78464,4102.09,52645.49
2005-09-01,,,,,,,,,,0.63917,3.62,46.43,,,,,,,479.38783,2713.21,34825.47
2005-10-01,,,,,,,,,,0.89727,5.08,65.14,,,,,,,331.76173,1877.68,24083.64
2005-11-01,,,,,,,,,,0.60366,3.42,43.84,,,,,,,297.68734,1684.84,21617.77
2005-12-01,,,,,,,,,,1.65688,9.38,120.12,,,,,,,322.16012,1823.34,23356.6
2006-01-01,,,,,,,,,,0.9457899999999999,5.35,88.03,,,,,,,284.93120999999996,1612.63,26519.66
2006-02-01,,,,,,,,,,1.18439,6.7,110.33,,,,,,,283.85861,1606.57,26442.36
2006-03-01,,,,,,,,,,2.15063,12.17,200.9,,,,,,,308.81637,1747.82,28847.19
2006-04-01,,,,,,,,,,1.0225,5.79,95.23,,,,,,,260.4275,1473.95,24253.67
2006-05-01,,,,,,,,,,0.70717,4.0,65.79,,,,,,,252.91683,1431.44,23527.75
2006-06-01,,,,,,,,,,0.68164,3.86,63.37,,,,,,,323.75236,1832.36,30096.52
2006-07-01,,,,,,,,,,0.84505,4.78,78.53,,,,,,,485.01595,2745.07,45071.44
2006-08-01,,,,,,,,,,0.89882,5.09,83.54,,,,,,,456.52618,2583.82,42433.55
2006-09-01,,,,,,,,,,0.52576,2.98,48.85,,,,,,,323.92624,1833.34,30098.12
2006-10-01,,,,,,,,,,0.5233099999999999,2.96,48.62,,,,,,,361.31969,2044.98,33566.81
2006-11-01,,,,,,,,,,0.84929,4.81,79.0,,,,,,,310.38471,1756.7,28871.95
2006-12-01,,,,,,,,,,0.94597,5.35,88.03,,,,,,,303.17403,1715.88,28211.99
2007-01-01,,,,,,,,,,0.002,0.0,0.0,,,,,,,441.79400000000004,2500.0,405379.0
2007-02-01,,,,,,,,,,0.006,0.0,6.0,,,,,,,418.74600000000004,2370.0,384231.0
2007-03-01,,,,,,,,,,0.005,0.0,6.0,,,,,,,179.727,1017.0,164914.0
2007-04-01,,,,,,,,,,0.002,0.0,0.0,,,,,,,216.574,1226.0,198722.0
2007-05-01,,,,,,,,,,0.001,0.0,0.0,,,,,,,161.685,915.0,148358.0
2007-06-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,361.47200000000004,2046.0,331677.0
2007-07-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,495.44,2804.0,454603.0
2007-08-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,575.445,3257.0,528013.0
2007-09-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,563.71,3190.0,517246.0
2007-10-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,549.408,3110.0,504122.0
2007-11-01,,,,,,,,,,0.002,0.0,0.0,,,,,,,546.6170000000001,3094.0,501562.0
2007-12-01,,,,,,,,,,0.001,0.0,0.0,,,,,,,623.573,3529.0,572174.0
2008-01-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,504.02700000000004,2853.0,20877.0
2008-02-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,467.946,2648.0,19383.0
2008-03-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,458.93300000000005,2597.0,19009.0
2008-04-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,437.971,2479.0,18141.0
2008-05-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,210.315,1190.0,8711.0
2008-06-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,50.910000000000004,288.0,2109.0
2008-07-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,290.094,1642.0,12016.0
2008-08-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,459.457,2600.0,19031.0
2008-09-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,437.74100000000004,2477.0,18132.0
2008-10-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,456.85900000000004,2586.0,18923.0
2008-11-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,410.44300000000004,2323.0,17001.0
2008-12-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,479.064,2711.0,19843.0
2009-01-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.42800000000000005,3.0,30914.0
2009-02-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.49100000000000005,3.0,35369.0
2009-03-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.485,3.0,34913.0
2009-04-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.215,1.0,15472.0
2009-05-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.07,0.0,5010.0
2009-06-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.098,1.0,7083.0
2009-07-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.5,3.0,35998.0
2009-08-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.5790000000000001,4.0,41746.0
2009-09-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.599,4.0,43130.0
2009-10-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.535,4.0,38519.0
2009-11-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2009-12-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2012-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,4261.21,56984.0,73388.0,748.84,1759.0,1759.0,,,
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2711.811,24048.0,24048.0,478.561,5611.0,18142.0,,,
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2432.6,21572.0,21572.0,429.288,5033.0,16274.0,,,
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2719.523,24117.0,24117.0,479.922,5627.0,18193.0,,,
2013-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1289.013,11431.0,11431.0,227.476,2667.0,8623.0,,,
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,744.407,6601.0,6601.0,131.367,1540.0,4980.0,,,
2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,949.577,8421.0,8421.0,167.574,1965.0,6353.0,,,
2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2212.8,19623.0,19623.0,390.499,4579.0,14803.0,,,
2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2882.479,25562.0,25562.0,508.679,5964.0,19283.0,,,
2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2376.636,21076.0,21076.0,419.411,4918.0,15899.0,,,
2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2432.972,21575.0,21575.0,429.353,5034.0,16276.0,,,
2013-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2713.908,24067.0,24067.0,478.931,5616.0,18156.0,,,
2013-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,3291.724,29191.0,29191.0,580.899,6811.0,22021.0,,,
2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,3941.857,50579.0,50579.0,695.569,0.0,0.0,,,
2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,3473.093,44565.0,44565.0,612.852,0.0,0.0,,,
2014-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,949.309,12181.0,12181.0,167.512,0.0,0.0,,,
2014-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,743.131,9535.0,9535.0,131.131,0.0,0.0,,,
2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,865.399,11104.0,11104.0,152.706,0.0,0.0,,,
2014-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,755.923,9700.0,9700.0,133.388,0.0,0.0,,,
2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2628.965,33733.0,33733.0,463.9,0.0,0.0,,,
2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,3542.877,45460.0,45460.0,625.167,0.0,0.0,,,
2014-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,3734.562,47920.0,47920.0,658.991,0.0,0.0,,,
2014-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,3333.711,42776.0,42776.0,588.258,0.0,0.0,,,
2014-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,3160.625,40555.0,40555.0,557.715,0.0,0.0,,,
2014-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2890.108,37084.0,37084.0,509.981,0.0,0.0,,,
2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,883.994,9613.0,9613.0,76.838,561.0,561.0,,,
2015-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,263.855,2869.0,2869.0,22.934,167.0,167.0,,,
2015-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,430.933,4686.0,4686.0,37.457,273.0,273.0,,,
2015-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,608.432,6616.0,6616.0,52.885,385.0,385.0,,,
2015-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,557.195,6059.0,6059.0,48.431,353.0,353.0,,,
2015-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,808.794,8795.0,8795.0,70.3,512.0,512.0,,,
2015-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,974.55,10598.0,10598.0,84.708,617.0,617.0,,,
2015-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,927.461,10086.0,10086.0,80.615,588.0,588.0,,,
2015-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,975.676,10610.0,10610.0,84.806,618.0,618.0,,,
2015-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,889.732,9675.0,9675.0,77.335,564.0,564.0,,,
2015-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,942.938,10254.0,10254.0,81.96,597.0,597.0,,,
2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,976.66,10621.0,10621.0,84.891,619.0,619.0,,,
2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,178.214,1900.0,2086.0,3.973,42.0,45.0,,,
2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,159.474,1700.0,1869.0,3.555,38.0,40.0,,,
2016-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,121.231,1292.0,1421.0,2.703,29.0,30.0,,,
2016-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,49.899,532.0,585.0,1.112,12.0,12.0,,,
2016-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,56.877,606.0,667.0,1.268,14.0,14.0,,,
2016-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,134.117,1430.0,1572.0,2.99,32.0,34.0,,,
2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,177.42,1891.0,2079.0,3.955,42.0,44.0,,,
2016-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,239.082,2548.0,2802.0,5.33,57.0,60.0,,,
2016-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,225.254,2401.0,2640.0,5.022,54.0,56.0,,,
2016-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,136.496,1455.0,1600.0,3.043,32.0,34.0,,,
2016-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,134.576,1434.0,1577.0,3.0,32.0,34.0,,,
2016-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,214.84,2290.0,2518.0,4.789,51.0,54.0,,,
2017-01-01,4.949,52.0,64.0,0.104,0.0,0.0,,,,,,,101.817,1065.0,1368.0,2.159,10.0,10.0,,,
2017-02-01,10.007,105.0,134.0,0.211,0.0,0.0,,,,,,,53.292,557.0,717.0,1.131,6.0,6.0,,,
2017-03-01,4.853,51.0,64.0,0.102,0.0,0.0,,,,,,,21.329,224.0,287.0,0.452,2.0,2.0,,,
2017-04-01,3.93,42.0,52.0,0.083,0.0,0.0,,,,,,,11.636,122.0,157.0,0.247,1.0,1.0,,,
2017-05-01,3.84,41.0,52.0,0.081,0.0,0.0,,,,,,,9.835,103.0,133.0,0.209,1.0,1.0,,,
2017-06-01,3.85,41.0,52.0,0.081,0.0,0.0,,,,,,,15.562,162.0,210.0,0.33,2.0,2.0,,,
2017-07-01,4.864,51.0,64.0,0.102,0.0,0.0,,,,,,,87.267,911.0,1174.0,1.851,10.0,10.0,,,
2017-08-01,4.3,45.0,58.0,0.09,0.0,0.0,,,,,,,109.491,1143.0,1473.0,2.323,13.0,13.0,,,
2017-09-01,5.71,60.0,76.0,0.12,0.0,0.0,,,,,,,90.908,949.0,1223.0,1.929,11.0,11.0,,,
2017-10-01,4.365,46.0,58.0,0.092,0.0,0.0,,,,,,,93.768,980.0,1261.0,1.989,11.0,11.0,,,
2017-11-01,4.143,44.0,58.0,0.087,0.0,0.0,,,,,,,83.381,870.0,1122.0,1.769,10.0,10.0,,,
2017-12-01,4.991,53.0,70.0,0.105,0.0,0.0,,,,,,,110.912,1158.0,1493.0,2.353,13.0,13.0,,,
2018-01-01,,,,0.001,0.0,0.0,,,,,,,60.17,632.0,730.0,1.121,2.0,2.0,,,
2018-02-01,,,,0.001,0.0,0.0,,,,,,,43.458,455.0,528.0,0.809,2.0,2.0,,,
2018-03-01,,,,0.001,0.0,0.0,,,,,,,65.042,681.0,789.0,1.211,4.0,4.0,,,
2018-04-01,,,,0.001,0.0,0.0,,,,,,,35.376,371.0,430.0,0.659,2.0,2.0,,,
2018-05-01,,,,0.002,0.0,0.0,,,,,,,11.007,115.0,134.0,0.205,1.0,1.0,,,
2018-06-01,,,,0.001,0.0,0.0,,,,,,,27.868,291.0,338.0,0.519,2.0,2.0,,,
2018-07-01,,,,0.005,0.0,0.0,,,,,,,79.807,835.0,969.0,1.486,5.0,5.0,,,
2018-08-01,,,,0.001,0.0,0.0,,,,,,,85.831,899.0,1042.0,1.599,5.0,5.0,,,
2018-09-01,,,,0.001,0.0,0.0,,,,,,,79.045,827.0,960.0,1.472,5.0,5.0,,,
2018-10-01,,,,0.002,0.0,0.0,,,,,,,64.199,672.0,780.0,1.196,4.0,4.0,,,
2018-11-01,,,,0.001,0.0,0.0,,,,,,,70.452,738.0,855.0,1.312,4.0,4.0,,,
2018-12-01,0.96,10.0,12.0,0.001,0.0,0.0,,,,,,,74.785,783.0,908.0,1.393,4.0,4.0,,,
2019-01-01,7.019,75.0,118.0,0.0,0.0,0.0,,,,,,,66.835,712.0,1030.0,0.0,0.0,0.0,,,
2019-02-01,9.227,98.0,142.0,0.0,0.0,0.0,,,,,,,59.329,632.0,914.0,0.0,0.0,0.0,,,
2019-03-01,9.323,99.0,142.0,0.0,0.0,0.0,,,,,,,64.367,686.0,992.0,0.0,0.0,0.0,,,
2019-04-01,17.391,185.0,266.0,0.0,0.0,0.0,,,,,,,38.519,411.0,594.0,0.0,0.0,0.0,,,
2019-05-01,5.988,64.0,94.0,0.0,0.0,0.0,,,,,,,11.132,119.0,172.0,0.0,0.0,0.0,,,
2019-06-01,5.847,62.0,89.0,0.0,0.0,0.0,,,,,,,38.73,413.0,596.0,0.0,0.0,0.0,,,
2019-07-01,9.878,105.0,153.0,0.0,0.0,0.0,,,,,,,68.12,726.0,1050.0,0.0,0.0,0.0,,,
2019-08-01,6.618,71.0,100.0,0.0,0.0,0.0,,,,,,,75.029,800.0,1157.0,0.0,0.0,0.0,,,
2019-09-01,5.913,63.0,89.0,0.0,0.0,0.0,,,,,,,69.625,742.0,1073.0,0.0,0.0,0.0,,,
2019-10-01,7.869,84.0,124.0,0.0,0.0,0.0,,,,,,,61.786,659.0,953.0,0.0,0.0,0.0,,,
2019-11-01,6.656,71.0,100.0,0.0,0.0,0.0,,,,,,,57.856,617.0,892.0,0.0,0.0,0.0,,,
2019-12-01,7.801,83.0,118.0,0.0,0.0,0.0,,,,,,,72.902,777.0,1123.0,0.0,0.0,0.0,,,
2020-01-01,,,,0.0,0.0,0.0,,,,,,,8.833,94.0,132.0,0.0,0.0,0.0,,,
2020-02-01,,,,0.0,0.0,0.0,,,,,,,6.961,74.0,103.0,0.0,0.0,0.0,,,
2020-03-01,,,,0.0,0.0,0.0,,,,,,,9.559,102.0,143.0,0.0,0.0,0.0,,,
2020-04-01,,,,0.0,0.0,0.0,,,,,,,7.783,83.0,116.0,0.0,0.0,0.0,,,
2020-05-01,,,,0.0,0.0,0.0,,,,,,,1.176,13.0,18.0,0.0,0.0,0.0,,,
2020-06-01,,,,0.0,0.0,0.0,,,,,,,1.587,17.0,23.0,0.0,0.0,0.0,,,
2020-07-01,,,,0.0,0.0,0.0,,,,,,,5.718,61.0,86.0,0.0,0.0,0.0,,,
2020-08-01,,,,0.0,0.0,0.0,,,,,,,8.179,87.0,122.0,0.0,0.0,0.0,,,
2020-09-01,,,,0.0,0.0,0.0,,,,,,,8.738,93.0,131.0,0.0,0.0,0.0,,,
2020-10-01,,,,0.0,0.0,0.0,,,,,,,7.917,84.0,118.0,0.0,0.0,0.0,,,
2020-11-01,,,,0.0,0.0,0.0,,,,,,,7.251,77.0,109.0,0.0,0.0,0.0,,,
2020-12-01,0.403,4.0,6.0,0.0,0.0,0.0,,,,,,,8.345,89.0,125.0,0.0,0.0,0.0,,,
2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,8.588,81.0,81.0,,,,32.537,347.0,407.0,0.0,0.0,26.0,,,
2021-02-01,0.0,0.0,0.0,0.0,0.0,0.0,73.389,713.0,713.0,,,,30.586,326.0,382.0,0.0,0.0,23.0,,,
2021-03-01,0.0,0.0,0.0,0.0,0.0,0.0,13.203,128.0,128.0,,,,33.784,360.0,422.0,0.0,0.0,25.0,,,
2021-04-01,0.0,0.0,0.0,0.0,0.0,0.0,9.287,93.0,93.0,,,,29.982,320.0,374.0,0.0,0.0,23.0,,,
2021-05-01,0.0,0.0,0.0,0.0,0.0,0.0,19.808,191.0,191.0,,,,16.38,175.0,205.0,0.0,0.0,12.0,,,
2021-06-01,0.0,0.0,0.0,0.0,0.0,0.0,8.732,87.0,87.0,,,,26.004,277.0,325.0,0.0,0.0,19.0,,,
2021-07-01,0.0,0.0,0.0,0.0,0.0,0.0,10.783,104.0,104.0,,,,38.258,408.0,478.0,0.0,0.0,29.0,,,
2021-08-01,0.0,0.0,0.0,0.0,0.0,0.0,10.989,104.0,104.0,,,,39.883,425.0,498.0,0.0,0.0,30.0,,,
2021-09-01,0.0,0.0,0.0,0.0,0.0,0.0,10.854,104.0,104.0,,,,38.002,405.0,475.0,0.0,0.0,29.0,,,
2021-10-01,0.0,0.0,0.0,0.0,0.0,0.0,10.32,99.0,99.0,,,,33.21,354.0,415.0,0.0,0.0,25.0,,,
2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,10.512,104.0,104.0,,,,33.124,353.0,414.0,0.0,0.0,25.0,,,
2021-12-01,0.0,0.0,0.0,0.0,0.0,0.0,11.495,110.0,110.0,,,,35.28,376.0,440.0,0.0,0.0,26.0,,,
2022-01-01,0.583,6.0,12.0,0.0,0.0,0.0,5.27,37.0,37.0,,,,4.571,49.0,76.0,0.0,0.0,4.0,,,
2022-02-01,0.527,6.0,6.0,0.0,0.0,0.0,4.755,43.0,43.0,,,,3.969,42.0,65.0,0.0,0.0,4.0,,,
2022-03-01,0.561,6.0,12.0,0.0,0.0,0.0,5.068,43.0,43.0,,,,3.498,37.0,58.0,0.0,0.0,4.0,,,
2022-04-01,0.6,6.0,12.0,0.0,0.0,0.0,5.415,49.0,49.0,,,,3.983,42.0,65.0,0.0,0.0,4.0,,,
2022-05-01,0.534,6.0,6.0,0.0,0.0,0.0,4.824,43.0,43.0,,,,1.901,20.0,31.0,0.0,0.0,1.0,,,
2022-06-01,0.556,6.0,6.0,0.0,0.0,0.0,5.022,43.0,43.0,,,,0.614,7.0,10.0,0.0,0.0,0.0,,,
2022-07-01,0.584,6.0,12.0,0.0,0.0,0.0,5.276,43.0,43.0,,,,2.779,30.0,46.0,0.0,0.0,2.0,,,
2022-08-01,0.563,6.0,12.0,0.0,0.0,0.0,5.086,43.0,43.0,,,,4.893,52.0,80.0,0.0,0.0,5.0,,,
2022-09-01,1.302,14.0,18.0,0.0,0.0,0.0,11.757,104.0,104.0,,,,5.126,55.0,84.0,0.0,0.0,5.0,,,
