measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed
2022-01-01,0.0,0.0,0.0,25.852,294.0,5105.0,453.713,5160.0,89604.0
2022-02-01,0.0,0.0,0.0,23.618,269.0,4665.0,357.496,4066.0,70614.0
2022-03-01,0.0,0.0,0.0,23.125,263.0,4568.0,362.104,4118.0,71514.0
2022-04-01,0.0,0.0,0.0,23.327,265.0,4607.0,313.641,3567.0,61956.0
2022-05-01,0.0,0.0,0.0,25.62,291.0,5060.0,356.95,4060.0,70506.0
2022-06-01,0.0,0.0,0.0,30.101,342.0,5945.0,394.231,4484.0,77868.0
2022-07-01,0.0,0.0,0.0,39.902,454.0,7882.0,505.01,5744.0,99756.0
2022-08-01,0.0,0.0,0.0,40.379,459.0,7976.0,549.442,6249.0,108522.0
2022-09-01,0.0,0.0,0.0,36.499,415.0,7210.0,486.746,5536.0,96138.0
2022-10-01,0.0,0.0,0.0,32.831,373.0,6485.0,431.424,4907.0,85212.0
2022-11-01,0.0,0.0,0.0,28.85,328.0,5699.0,409.508,4657.0,80892.0
2022-12-01,0.0,0.0,0.0,32.368,368.0,6393.0,453.263,5155.0,89532.0
2023-01-01,0.0,0.0,0.0,45.472,517.0,8935.0,520.253,5917.0,102198.0
2023-02-01,0.0,0.0,0.0,39.199,446.0,7701.0,383.548,4362.0,75343.0
2023-03-01,0.0,0.0,0.0,42.229,480.0,8296.0,380.049,4322.0,74666.0
2023-04-01,0.0,0.0,0.0,42.355,482.0,8321.0,285.696,3249.0,56133.0
2023-05-01,0.0,0.0,0.0,42.651,485.0,8379.0,286.357,3257.0,56258.0
2023-06-01,0.0,0.0,0.0,44.386,505.0,8720.0,372.513,4237.0,73187.0
2023-07-01,0.0,0.0,0.0,63.143,718.0,12404.0,570.048,6483.0,111981.0
2023-08-01,0.0,0.0,0.0,63.245,719.0,12424.0,556.889,6334.0,109397.0
2023-09-01,0.0,0.0,0.0,53.441,608.0,10498.0,459.02,5221.0,90169.0
2023-10-01,0.0,0.0,0.0,49.054,558.0,9636.0,468.021,5323.0,91951.0
2023-11-01,0.0,0.0,0.0,44.492,506.0,8741.0,445.074,5062.0,87443.0
2023-12-01,0.0,0.0,0.0,48.986,557.0,9624.0,453.879,5162.0,89171.0
2024-01-01,0.0,0.0,0.0,66.213,753.0,13431.0,474.329,5395.0,96211.0
2024-02-01,0.0,0.0,0.0,56.358,641.0,11432.0,392.798,4467.0,79673.0
2024-03-01,0.0,0.0,0.0,54.034,615.0,10960.0,297.358,3382.0,60317.0
2024-04-01,0.0,0.0,0.0,47.84,544.0,9704.0,249.539,2838.0,50612.0
2024-05-01,0.0,0.0,0.0,54.747,623.0,11104.0,246.042,2798.0,49898.0
2024-06-01,0.0,0.0,0.0,71.101,809.0,14423.0,338.407,3849.0,68648.0
2024-07-01,0.0,0.0,0.0,90.305,1027.0,18317.0,454.152,5165.0,92126.0
2024-08-01,0.0,0.0,0.0,85.693,975.0,17382.0,441.921,5026.0,89646.0
2024-09-01,0.0,0.0,0.0,69.716,793.0,14141.0,427.743,4865.0,86756.0
2024-10-01,0.0,0.0,0.0,66.811,760.0,13552.0,398.19,4529.0,80762.0
2024-11-01,0.0,0.0,0.0,54.884,624.0,11132.0,376.501,4282.0,76373.0
2024-12-01,0.0,0.0,0.0,60.371,687.0,12246.0,416.947,4742.0,84579.0
