measured_on,Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed,"Solar-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Solar-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Solar-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2014-12-01,152.685,1452.0,1452.0,,,
2015-01-01,212.303,1978.0,1978.0,,,
2015-02-01,235.649,2196.0,2196.0,,,
2015-03-01,301.821,2813.0,2813.0,,,
2015-04-01,388.493,3620.0,3620.0,,,
2015-05-01,445.399,4151.0,4151.0,,,
2015-06-01,368.357,3433.0,3433.0,,,
2015-07-01,411.766,3837.0,3837.0,,,
2015-08-01,447.661,4172.0,4172.0,,,
2015-09-01,374.048,3486.0,3486.0,,,
2015-10-01,326.772,3045.0,3045.0,,,
2015-11-01,234.847,2189.0,2189.0,,,
2015-12-01,130.884,1220.0,1220.0,,,
2016-01-01,259.268,2394.0,2394.0,,,
2016-02-01,225.556,2082.0,2082.0,,,
2016-03-01,364.223,3363.0,3363.0,,,
2016-04-01,401.534,3707.0,3707.0,,,
2016-05-01,355.263,3280.0,3280.0,,,
2016-06-01,457.501,4224.0,4224.0,,,
2016-07-01,432.529,3993.0,3993.0,,,
2016-08-01,419.97,3877.0,3877.0,,,
2016-09-01,315.675,2914.0,2914.0,,,
2016-10-01,309.432,2857.0,2857.0,,,
2016-11-01,277.923,2566.0,2566.0,,,
2016-12-01,202.126,1866.0,1866.0,,,
2017-01-01,139.31,1283.0,1283.0,,,
2017-02-01,255.318,2352.0,2352.0,,,
2017-03-01,324.599,2991.0,2991.0,,,
2017-04-01,338.243,3116.0,3116.0,,,
2017-05-01,364.66,3360.0,3360.0,,,
2017-06-01,415.873,3831.0,3831.0,,,
2017-07-01,406.963,3749.0,3749.0,,,
2017-08-01,406.776,3748.0,3748.0,,,
2017-09-01,346.966,3197.0,3197.0,,,
2017-10-01,220.428,2031.0,2031.0,,,
2017-11-01,228.714,2107.0,2107.0,,,
2017-12-01,150.15,1383.0,1383.0,,,
2018-01-01,191.03,1739.0,1739.0,,,
2018-02-01,177.559,1616.0,1616.0,,,
2018-03-01,297.848,2712.0,2712.0,,,
2018-04-01,296.382,2698.0,2698.0,,,
2018-05-01,343.167,3124.0,3124.0,,,
2018-06-01,381.159,3470.0,3470.0,,,
2018-07-01,405.679,3693.0,3693.0,,,
2018-08-01,352.694,3211.0,3211.0,,,
2018-09-01,233.814,2129.0,2129.0,,,
2018-10-01,215.889,1965.0,1965.0,,,
2018-11-01,167.92,1529.0,1529.0,,,
2018-12-01,159.859,1455.0,1455.0,,,
2019-01-01,208.879,1860.0,1860.0,,,
2019-02-01,249.98,2226.0,2226.0,,,
2019-03-01,352.281,3137.0,3137.0,,,
2019-04-01,334.569,2979.0,2979.0,,,
2019-05-01,365.656,3256.0,3256.0,,,
2019-06-01,398.576,3549.0,3549.0,,,
2019-07-01,446.642,3977.0,3977.0,,,
2019-08-01,400.591,3567.0,3567.0,,,
2019-09-01,343.181,3056.0,3056.0,,,
2019-10-01,246.071,2191.0,2191.0,,,
2019-11-01,235.811,2100.0,2100.0,,,
2019-12-01,146.763,1307.0,1307.0,,,
2020-01-01,177.805,1559.0,1559.0,,,
2020-02-01,213.635,1873.0,1873.0,,,
2020-03-01,318.318,2791.0,2791.0,,,
2020-04-01,319.554,2802.0,2802.0,,,
2020-05-01,403.57,3538.0,3538.0,,,
2020-06-01,422.328,3703.0,3703.0,,,
2020-07-01,397.505,3485.0,3485.0,,,
2020-08-01,366.28,3211.0,3211.0,,,
2020-09-01,316.521,2775.0,2775.0,,,
2020-10-01,237.223,2080.0,2080.0,,,
2020-11-01,217.566,1907.0,1907.0,,,
2020-12-01,136.695,1198.0,1198.0,,,
2021-01-01,199.915,1768.0,1768.0,,,
2021-02-01,132.434,1171.0,1171.0,,,
2021-03-01,391.758,3465.0,3465.0,,,
2021-04-01,379.587,3357.0,3357.0,,,
2021-05-01,402.604,3561.0,3561.0,,,
2021-06-01,379.346,3355.0,3355.0,,,
2021-07-01,358.74,3173.0,3173.0,,,
2021-08-01,355.969,3148.0,3148.0,,,
2021-09-01,337.893,2988.0,2988.0,,,
2021-10-01,233.296,2063.0,2063.0,,,
2021-11-01,225.342,1993.0,1993.0,,,
2021-12-01,171.116,1513.0,1513.0,,,
2022-01-01,191.261,653.0,653.0,,,
2022-02-01,246.814,842.0,842.0,,,
2022-03-01,287.515,981.0,981.0,,,
2022-04-01,332.411,1134.0,1134.0,,,
2022-05-01,357.92,1221.0,1221.0,,,
2022-06-01,383.882,1310.0,1310.0,,,
2022-07-01,368.123,1256.0,1256.0,,,
2022-08-01,359.053,1225.0,1225.0,,,
2022-09-01,316.652,1080.0,1080.0,,,
2022-10-01,251.235,857.0,857.0,,,
2022-11-01,207.246,707.0,707.0,,,
2022-12-01,155.888,532.0,532.0,,,
2023-01-01,120.0,409.0,409.0,,,
2023-02-01,224.0,764.0,764.0,,,
2023-03-01,281.0,959.0,959.0,,,
2023-04-01,309.0,1054.0,1054.0,,,
2023-05-01,351.0,1198.0,1198.0,,,
2023-06-01,296.0,1010.0,1010.0,,,
2023-07-01,324.0,1105.0,1105.0,,,
2023-08-01,287.0,979.0,979.0,,,
2023-09-01,256.0,873.0,873.0,,,
2023-10-01,265.0,904.0,904.0,,,
2023-11-01,226.0,771.0,771.0,,,
2023-12-01,140.0,478.0,478.0,,,
2024-01-01,111.0,379.0,379.0,,,
2024-02-01,298.0,1017.0,1017.0,,,
2024-03-01,297.0,1013.0,1013.0,,,
2024-04-01,333.0,1136.0,1136.0,,,
2024-05-01,325.0,1109.0,1109.0,,,
2024-06-01,417.0,1423.0,1423.0,,,
2024-07-01,328.0,1119.0,1119.0,,,
2024-08-01,305.0,1041.0,1041.0,,,
2024-09-01,276.0,942.0,942.0,,,
2024-10-01,256.0,873.0,873.0,,,
2024-11-01,268.0,914.0,914.0,,,
2024-12-01,188.0,641.0,641.0,,,
