measured_on,"Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Generation","Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Total Fuel Consumed","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Subbituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Generation","Subbituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2004-04-01,,,,68027.0,822171.0,822171.0,0.0,0.0,0.0,33.0,360.0,360.0,,,,,,
2004-05-01,,,,93760.0,1086624.0,1086624.0,15.0,121.0,121.0,208.0,2310.0,2310.0,,,,,,
2004-06-01,,,,120507.0,1589740.0,1589740.0,7.0,87.0,87.0,225.0,2846.0,2846.0,,,,,,
2004-07-01,,,,116212.0,1533772.0,1533772.0,8.0,78.0,78.0,220.0,2643.0,2643.0,,,,,,
2004-08-01,,,,109395.0,1362756.0,1362756.0,0.0,0.0,0.0,137.0,1636.0,1636.0,,,,,,
2004-09-01,,,,100047.0,1173417.0,1173417.0,5.0,40.0,40.0,302.0,3470.0,3470.0,,,,,,
2004-10-01,,,,128983.0,1500376.0,1500376.0,0.0,0.0,0.0,63.0,696.0,696.0,,,,,,
2004-11-01,,,,119300.0,1324178.0,1324178.0,0.0,0.0,0.0,162.0,1742.0,1742.0,,,,,,
2004-12-01,,,,154073.0,1589130.0,1589130.0,0.0,0.0,0.0,85.0,900.0,900.0,,,,,,
2005-01-01,,,,153867.0,1612906.08,1612906.08,0.0,0.0,0.0,111.0,1126.66,1126.66,,,,,,
2005-02-01,,,,160330.0,1595569.59,1595569.59,0.0,0.0,0.0,67.0,668.28,668.28,,,,,,
2005-03-01,,,,178184.0,1935382.36,1935382.36,2.0,46.11,46.11,30.0,201.74,201.74,,,,,,
2005-04-01,,,,169364.0,1827411.34,1827411.34,260.0,2548.67,2548.67,52.0,507.57,507.57,,,,,,
2005-05-01,,,,136743.0,1521824.04,1521824.04,0.0,0.0,0.0,109.0,1104.88,1104.88,,,,,,
2005-06-01,,,,168045.0,1884886.47,1884886.47,0.0,0.0,0.0,174.0,1734.66,1734.66,,,,,,
2005-07-01,,,,176017.0,2017069.61,2017069.61,0.0,0.0,0.0,203.0,2020.2,2020.2,,,,,,
2005-08-01,,,,164009.0,1896057.23,1896057.23,0.0,0.0,0.0,105.0,1042.92,1042.92,,,,,,
2005-09-01,,,,164748.0,1895740.27,1895740.27,2.0,40.18,40.18,53.0,528.08,528.08,,,,,,
2005-10-01,,,,172154.0,1935475.52,1935475.52,0.0,0.0,0.0,51.0,514.45,514.45,,,,,,
2005-11-01,,,,162383.0,1752698.75,1752698.75,0.0,0.0,0.0,51.0,504.77,504.77,,,,,,
2005-12-01,,,,187689.0,2050904.01,2050904.01,0.0,0.0,0.0,48.0,477.67,477.67,,,,,,
2006-01-01,,,,145328.0,1672092.0,1672092.0,0.0,0.0,0.0,125.0,1245.0,1245.0,,,,,,
2006-02-01,,,,142154.0,1650336.0,1650336.0,0.0,0.0,0.0,18.0,181.0,181.0,,,,,,
2006-03-01,,,,149136.0,1595490.0,1595490.0,0.0,0.0,0.0,124.0,1237.0,1237.0,,,,,,
2006-04-01,,,,153381.0,1609782.0,1609782.0,10.0,63.0,63.0,115.0,1143.0,1143.0,,,,,,
2006-05-01,,,,129684.0,1428474.0,1428474.0,0.0,0.0,0.0,85.0,848.0,848.0,,,,,,
2006-06-01,,,,153637.0,1726030.0,1726030.0,0.0,0.0,0.0,30.0,300.0,300.0,,,,,,
2006-07-01,,,,145218.0,1661338.0,1661338.0,88.0,851.0,851.0,97.0,973.0,973.0,,,,,,
2006-08-01,,,,139807.0,1695758.0,1695758.0,91.0,1000.0,1000.0,77.0,773.0,773.0,,,,,,
2006-09-01,,,,129746.0,1499067.0,1499067.0,0.0,0.0,0.0,39.0,395.0,395.0,,,,,,
2006-10-01,,,,129528.0,1470103.0,1470103.0,7.0,46.0,46.0,49.0,487.0,487.0,,,,,,
2006-11-01,,,,128952.0,1442963.0,1442963.0,0.0,0.0,0.0,48.0,474.0,474.0,,,,,,
2006-12-01,,,,119647.0,1321780.0,1321780.0,0.0,0.0,0.0,81.0,793.0,793.0,,,,,,
2007-01-01,,,,141198.185,1576145.0,1576145.0,0.0,0.0,0.0,52.815,590.0,590.0,,,,0.0,0.0,0.0
2007-02-01,,,,115518.472,1287450.0,1287450.0,0.0,0.0,0.0,115.528,1288.0,1288.0,,,,0.0,0.0,0.0
2007-03-01,,,,148328.796,1597144.0,1597144.0,0.0,0.0,0.0,72.20400000000001,777.0,777.0,,,,0.0,0.0,0.0
2007-04-01,,,,128539.26699999999,1443579.0,1443579.0,0.0,0.0,0.0,202.733,2277.0,2277.0,,,,0.0,0.0,0.0
2007-05-01,,,,152376.998,1633640.0,1633640.0,4.0,52.0,52.0,132.002,1415.0,1415.0,,,,0.0,0.0,0.0
2007-06-01,,,,166912.26,1873894.0,1873894.0,0.0,23.0,23.0,58.74,659.0,659.0,,,,0.0,0.0,0.0
2007-07-01,,,,157270.079,1788839.0,1788839.0,0.0,0.0,0.0,206.92100000000002,2354.0,2354.0,,,,0.0,0.0,0.0
2007-08-01,,,,174376.931,1985639.0,1985639.0,0.0,0.0,0.0,61.069,695.0,695.0,,,,0.0,0.0,0.0
2007-09-01,,,,136530.699,1481258.0,1481258.0,0.0,0.0,0.0,55.301,600.0,600.0,,,,0.0,0.0,0.0
2007-10-01,,,,129553.895,1418275.0,1418275.0,8.0,87.0,87.0,156.105,1709.0,1709.0,,,,0.0,0.0,0.0
2007-11-01,,,,123972.713,1301936.0,1301936.0,0.0,0.0,0.0,81.287,854.0,854.0,,,,,,
2007-12-01,,,,144529.551,1549548.0,1549548.0,0.0,0.0,0.0,35.449000000000005,380.0,380.0,,,,0.0,0.0,0.0
2008-01-01,,,,88278.26,927412.0,927412.0,0.0,0.0,0.0,82.385,866.0,866.0,,,,60799.355,638731.0,638731.0
2008-02-01,,,,35581.21,409069.0,409069.0,0.0,0.0,0.0,70.015,805.0,805.0,,,,86782.774,997722.0,997722.0
2008-03-01,,,,135553.557,1489419.0,1489419.0,0.0,0.0,0.0,59.443000000000005,653.0,653.0,,,,0.0,0.0,0.0
2008-04-01,,,,17695.575,197088.0,197088.0,0.0,0.0,0.0,104.238,1161.0,1161.0,,,,39957.187,445032.0,445032.0
2008-05-01,,,,27126.260000000002,304445.0,304445.0,0.0,0.0,0.0,206.33100000000002,2316.0,2316.0,,,,68051.41,763758.0,763758.0
2008-06-01,,,,46773.521,577769.0,577769.0,6.0,52.0,52.0,88.59,1094.0,1094.0,,,,77876.888,961973.0,961973.0
2008-07-01,,,,67838.217,690479.0,690479.0,0.0,0.0,0.0,181.877,1851.0,1851.0,,,,64528.906,656796.0,656796.0
2008-08-01,,,,67647.3,786163.0,786163.0,0.0,0.0,0.0,111.158,1292.0,1292.0,,,,70193.542,815754.0,815754.0
2008-09-01,,,,41828.491,459975.0,459975.0,0.0,0.0,0.0,88.043,968.0,968.0,,,,77588.466,853216.0,853216.0
2008-10-01,,,,38592.865,426063.0,426063.0,0.0,0.0,0.0,94.563,1044.0,1044.0,,,,83497.572,921808.0,921808.0
2008-11-01,,,,41987.481,478969.0,478969.0,7.0,98.0,98.0,23.227,265.0,265.0,,,,67264.292,767312.0,767312.0
2008-12-01,,,,50763.981,569107.0,569107.0,2.0,12.0,12.0,95.16600000000001,1067.0,1067.0,,,,74455.853,834713.0,834713.0
2009-01-01,,,,107766.265,1257349.0,1257349.0,0.0,0.0,0.0,111.735,1304.0,1304.0,,,,0.0,0.0,0.0
2009-02-01,,,,48646.11,595743.0,595743.0,0.0,0.0,0.0,86.89,1064.0,1064.0,,,,0.0,0.0,0.0
2009-03-01,,,,66115.546,786350.0,786350.0,0.0,0.0,0.0,126.45400000000001,1504.0,1504.0,,,,0.0,0.0,0.0
2009-04-01,,,,0.0,0.0,0.0,4.0,81.0,81.0,61.067,714.0,714.0,,,,52830.933,617444.0,617444.0
2009-05-01,,,,23843.207000000002,288628.0,288628.0,0.0,0.0,0.0,148.793,1801.0,1801.0,,,,0.0,0.0,0.0
2009-06-01,,,,26942.76,357101.0,357101.0,0.0,0.0,0.0,141.24,1872.0,1872.0,,,,0.0,0.0,0.0
2009-07-01,,,,31787.173,396627.0,396627.0,0.0,40.0,40.0,195.827,2443.0,2443.0,,,,0.0,0.0,0.0
2009-08-01,,,,40635.204,500455.0,500455.0,0.0,0.0,0.0,145.79600000000002,1796.0,1796.0,,,,0.0,0.0,0.0
2009-09-01,,,,7949.706,111611.0,111611.0,3.0,23.0,23.0,173.012,2429.0,2429.0,,,,14304.282,200827.0,200827.0
2009-10-01,,,,49475.87,561933.0,561933.0,0.0,0.0,0.0,124.13,1410.0,1410.0,,,,0.0,0.0,0.0
2009-11-01,,,,27223.292,325625.0,325625.0,0.0,0.0,0.0,105.708,1264.0,1264.0,,,,0.0,0.0,0.0
2009-12-01,,,,72807.454,845597.0,845597.0,0.0,0.0,0.0,91.546,1063.0,1063.0,,,,0.0,0.0,0.0
2010-01-01,,,,113988.093,1263967.0,1263967.0,0.0,0.0,0.0,169.907,1884.0,1884.0,,,,0.0,0.0,0.0
2010-02-01,,,,112022.515,1244022.0,1244022.0,0.0,0.0,0.0,292.485,3248.0,3248.0,,,,0.0,0.0,0.0
2010-03-01,,,,72877.555,847770.0,847770.0,0.0,0.0,0.0,126.44500000000001,1471.0,1471.0,,,,0.0,0.0,0.0
2010-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,97.012,1145.0,1145.0,,,,43684.988,515794.0,515794.0
2010-05-01,,,,72470.659,784051.0,784051.0,0.0,0.0,0.0,165.341,1789.0,1789.0,,,,0.0,0.0,0.0
2010-06-01,,,,100708.379,1125128.0,1125128.0,7.0,63.0,63.0,195.621,2186.0,2186.0,,,,0.0,0.0,0.0
2010-07-01,,,,143441.209,1645277.0,1645277.0,9.0,81.0,81.0,81.791,938.0,938.0,,,,0.0,0.0,0.0
2010-08-01,,,,140269.537,1681511.0,1681511.0,57.0,595.0,595.0,170.46300000000002,2043.0,2043.0,,,,0.0,0.0,0.0
2010-09-01,,,,44017.034,487438.0,487438.0,5.0,23.0,23.0,126.96600000000001,1406.0,1406.0,,,,0.0,0.0,0.0
2010-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,37.354,542.0,542.0,,,,14322.646,207710.0,207710.0
2010-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,134.89100000000002,1482.0,1482.0,,,,97016.109,1065779.0,1065779.0
2010-12-01,,,,117517.317,1364225.0,1364225.0,0.0,0.0,0.0,47.683,554.0,554.0,,,,0.0,0.0,0.0
2011-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2011-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2011-03-01,0.0,0.0,0.0,,,,11.0,122.0,122.0,,,,0.0,0.0,0.0,,,
2011-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2011-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2011-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2011-07-01,0.0,0.0,0.0,,,,107.0,1072.0,1072.0,,,,0.0,0.0,0.0,,,
2011-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2011-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2011-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2011-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2011-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2012-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2012-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2012-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2012-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2012-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2012-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2012-07-01,,,,0.0,0.0,0.0,64.0,661.0,661.0,,,,0.0,0.0,0.0,,,
2012-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2012-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2012-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2012-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2012-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2013-01-01,0.0,0.0,0.0,,,,5.919,64.0,64.0,,,,0.0,0.0,0.0,,,
2013-02-01,0.0,0.0,0.0,,,,5.743,64.0,64.0,,,,0.0,0.0,0.0,,,
2013-03-01,0.0,0.0,0.0,,,,5.695,58.0,58.0,,,,0.0,0.0,0.0,,,
2013-04-01,0.0,0.0,0.0,,,,3.734,41.0,41.0,,,,0.0,0.0,0.0,,,
2013-05-01,0.0,0.0,0.0,,,,7.889,81.0,81.0,,,,0.0,0.0,0.0,,,
2013-06-01,0.0,0.0,0.0,,,,6.734,70.0,70.0,,,,0.0,0.0,0.0,,,
2013-07-01,0.0,0.0,0.0,,,,9.672,104.0,104.0,,,,0.0,0.0,0.0,,,
2013-08-01,0.0,0.0,0.0,,,,4.949,52.0,52.0,,,,0.0,0.0,0.0,,,
2013-09-01,0.0,0.0,0.0,,,,6.626,70.0,70.0,,,,0.0,0.0,0.0,,,
2013-10-01,0.0,0.0,0.0,,,,4.238,46.0,46.0,,,,0.0,0.0,0.0,,,
2013-11-01,0.0,0.0,0.0,,,,5.74,64.0,64.0,,,,0.0,0.0,0.0,,,
2013-12-01,0.0,0.0,0.0,,,,5.061,52.0,52.0,,,,0.0,0.0,0.0,,,
2014-01-01,0.0,0.0,0.0,,,,14.115,172.0,172.0,,,,0.0,0.0,0.0,,,
2014-02-01,0.0,0.0,0.0,,,,7.231,89.0,89.0,,,,0.0,0.0,0.0,,,
2014-03-01,0.0,0.0,0.0,,,,6.907,83.0,83.0,,,,0.0,0.0,0.0,,,
2014-04-01,0.0,0.0,0.0,,,,4.199,53.0,53.0,,,,0.0,0.0,0.0,,,
2014-05-01,0.0,0.0,0.0,,,,4.016,47.0,47.0,,,,0.0,0.0,0.0,,,
2014-06-01,0.0,0.0,0.0,,,,4.701,59.0,59.0,,,,0.0,0.0,0.0,,,
2014-07-01,0.0,0.0,0.0,,,,3.11,36.0,36.0,,,,0.0,0.0,0.0,,,
2014-08-01,0.0,0.0,0.0,,,,4.571,53.0,53.0,,,,0.0,0.0,0.0,,,
2014-09-01,0.0,0.0,0.0,,,,1.962,24.0,24.0,,,,0.0,0.0,0.0,,,
2014-10-01,0.0,0.0,0.0,,,,2.127,24.0,24.0,,,,0.0,0.0,0.0,,,
2014-11-01,0.0,0.0,0.0,,,,2.786,36.0,36.0,,,,0.0,0.0,0.0,,,
2014-12-01,0.0,0.0,0.0,,,,3.275,42.0,42.0,,,,0.0,0.0,0.0,,,
2015-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2015-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2015-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2015-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2015-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2015-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2015-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2015-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2015-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2015-10-01,,,,,,,0.0,0.0,0.0,,,,,,,,,
2015-11-01,,,,,,,0.0,0.0,0.0,,,,,,,,,
2015-12-01,,,,,,,21.0,23.0,23.0,,,,,,,,,
