measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2004-09-01,0.0,0.0,0.0,,,,-153.0,0.0,0.0
2004-10-01,0.0,0.0,0.0,,,,-81.0,1378.0,1378.0
2004-11-01,0.0,0.0,0.0,,,,-198.0,36.0,36.0
2004-12-01,0.0,0.0,0.0,,,,-242.0,764.0,764.0
2005-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-02-01,0.0,0.0,0.0,,,,49.0,578.34,578.34
2005-03-01,0.0,0.0,0.0,,,,0.0,299.73,299.73
2005-04-01,0.0,0.0,0.0,,,,2954.0,38377.8,38377.8
2005-05-01,0.0,0.0,0.0,,,,344.0,6357.95,6357.95
2005-06-01,0.0,0.0,0.0,,,,11978.0,143268.5,143268.5
2005-07-01,0.0,0.0,0.0,,,,15779.0,189756.78,189756.78
2005-08-01,0.0,0.0,0.0,,,,17474.0,214875.51,214875.51
2005-09-01,0.0,0.0,0.0,,,,8540.0,102547.74,102547.74
2005-10-01,0.0,0.0,0.0,,,,1565.0,19693.6,19693.6
2005-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-12-01,0.0,0.0,0.0,,,,1317.0,14560.08,14560.08
2006-01-01,0.0,0.0,0.0,,,,-236.0,675.0,675.0
2006-02-01,0.0,0.0,0.0,,,,-226.0,0.0,0.0
2006-03-01,0.0,0.0,0.0,,,,-1676.0,49073.0,49073.0
2006-04-01,0.0,0.0,0.0,,,,379.0,7222.0,7222.0
2006-05-01,0.0,0.0,0.0,,,,976.0,14504.0,14504.0
2006-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2006-07-01,0.0,0.0,0.0,,,,3646.0,47004.0,47004.0
2006-08-01,0.0,0.0,0.0,,,,-2.0,2332.0,2332.0
2006-09-01,0.0,0.0,0.0,,,,661.0,8272.0,8272.0
2006-10-01,0.0,0.0,0.0,,,,1355.0,19437.0,19437.0
2006-11-01,0.0,0.0,0.0,,,,0.0,1276.0,1276.0
2006-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-01-01,0.0,0.0,0.0,,,,0.0,302.0,302.0
2007-02-01,0.0,0.0,0.0,,,,1634.0,25103.0,25103.0
2007-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-04-01,0.0,0.0,0.0,,,,0.0,8563.0,8563.0
2007-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-06-01,0.0,0.0,0.0,,,,389.0,7147.0,7147.0
2007-07-01,0.0,0.0,0.0,,,,2252.0,30160.0,30160.0
2007-08-01,0.0,0.0,0.0,,,,10527.0,131192.0,131192.0
2007-09-01,0.0,0.0,0.0,,,,7987.0,97266.0,97266.0
2007-10-01,0.0,0.0,0.0,,,,14731.0,178833.0,178833.0
2007-11-01,0.0,0.0,0.0,,,,3695.0,46991.0,46991.0
2007-12-01,0.0,0.0,0.0,,,,1848.0,25104.0,25104.0
2008-01-01,0.0,0.0,0.0,,,,1372.0,19392.0,19392.0
2008-02-01,0.0,0.0,0.0,,,,1934.0,26088.0,26088.0
2008-03-01,0.0,0.0,0.0,,,,-221.0,647.0,647.0
2008-04-01,0.0,0.0,0.0,,,,-178.0,8.0,8.0
2008-05-01,-79.5,0.0,0.0,,,,-79.5,0.0,0.0
2008-06-01,0.0,0.0,0.0,,,,-100.0,1362.0,1362.0
2008-07-01,0.0,0.0,0.0,,,,2841.0,37315.0,37315.0
2008-08-01,0.0,0.0,0.0,,,,1379.0,18781.0,18781.0
2008-09-01,0.0,0.0,0.0,,,,1458.0,20093.0,20093.0
2008-10-01,0.0,0.0,0.0,,,,-176.0,7295.0,7295.0
2008-11-01,0.0,0.0,0.0,,,,-201.0,1486.0,1486.0
2008-12-01,0.0,0.0,0.0,,,,722.0,15147.0,15147.0
2009-01-01,0.0,0.0,0.0,,,,-262.0,461.0,461.0
2009-02-01,0.0,0.0,0.0,,,,-218.0,313.0,313.0
2009-03-01,-200.0,14995.0,14995.0,,,,0.0,0.0,0.0
2009-04-01,-87.0,0.0,0.0,,,,-87.0,0.0,0.0
2009-05-01,0.0,0.0,0.0,,,,473.0,7869.0,7869.0
2009-06-01,0.0,0.0,0.0,0.0,0.0,0.0,2840.0,35967.0,35967.0
2009-07-01,0.0,0.0,0.0,,,,1699.0,20036.0,20036.0
2009-08-01,-72.5,0.0,0.0,,,,-72.5,0.0,0.0
2009-09-01,0.0,0.0,0.0,,,,1610.0,21107.0,21107.0
2009-10-01,-80.5,0.0,0.0,,,,-80.5,0.0,0.0
2009-11-01,0.0,0.0,0.0,,,,596.0,9035.0,9035.0
2009-12-01,-120.5,0.0,0.0,,,,-120.5,0.0,0.0
2010-01-01,0.0,0.0,0.0,,,,-267.0,0.0,0.0
2010-02-01,0.0,0.0,0.0,,,,-220.0,0.0,0.0
2010-03-01,0.0,0.0,0.0,,,,-192.0,0.0,0.0
2010-04-01,0.0,0.0,0.0,,,,-142.0,0.0,0.0
2010-05-01,0.0,0.0,0.0,,,,2299.0,28708.0,28708.0
2010-06-01,0.0,0.0,0.0,,,,614.0,9180.0,9180.0
2010-07-01,0.0,0.0,0.0,,,,7431.0,90560.0,90560.0
2010-08-01,0.0,0.0,0.0,,,,6509.0,79974.0,79974.0
2010-09-01,0.0,0.0,0.0,,,,2006.0,25451.0,25451.0
2010-10-01,0.0,0.0,0.0,,,,-156.0,0.0,0.0
2010-11-01,0.0,0.0,0.0,,,,-191.0,0.0,0.0
2010-12-01,0.0,0.0,0.0,,,,103.0,4133.0,4133.0
2011-01-01,0.0,0.0,0.0,,,,2615.0,32986.0,32986.0
2011-02-01,0.0,0.0,0.0,,,,1232.0,16913.0,16913.0
2011-03-01,0.0,0.0,0.0,,,,-201.0,0.0,0.0
2011-04-01,0.0,0.0,0.0,,,,-162.0,0.0,0.0
2011-05-01,0.0,0.0,0.0,,,,56.0,3054.0,3054.0
2011-06-01,0.0,0.0,0.0,,,,2345.0,30522.0,30522.0
2011-07-01,0.0,0.0,0.0,,,,5109.0,63417.0,63417.0
2011-08-01,0.0,0.0,0.0,,,,1534.0,19780.0,19780.0
2011-09-01,0.0,0.0,0.0,,,,326.0,6013.0,6013.0
2011-10-01,0.0,0.0,0.0,,,,4522.0,51900.0,51900.0
2011-11-01,0.0,0.0,0.0,,,,3273.0,42473.0,42473.0
2011-12-01,0.0,0.0,0.0,,,,-200.0,0.0,0.0
2012-01-01,0.0,0.0,0.0,,,,-251.0,0.0,0.0
2012-02-01,0.0,0.0,0.0,,,,-207.0,0.0,0.0
2012-03-01,0.0,0.0,0.0,,,,-175.0,0.0,0.0
2012-04-01,0.0,0.0,0.0,,,,-154.0,0.0,0.0
2012-05-01,0.0,0.0,0.0,,,,366.0,6304.0,6304.0
2012-06-01,0.0,0.0,0.0,,,,5089.0,61438.0,61438.0
2012-07-01,0.0,0.0,0.0,,,,26205.0,307320.0,307320.0
2012-08-01,0.0,0.0,0.0,,,,1979.0,24709.0,24709.0
2012-09-01,0.0,0.0,0.0,,,,9336.0,109083.0,109083.0
2012-10-01,0.0,0.0,0.0,,,,253.0,8295.0,8295.0
2012-11-01,0.0,0.0,0.0,,,,21147.0,230454.0,230454.0
2012-12-01,0.0,0.0,0.0,,,,2036.0,24667.0,24667.0
2013-01-01,0.0,0.0,0.0,,,,-249.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,,,,-242.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,,,,-218.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,,,,432.0,6574.0,6574.0
2013-05-01,0.0,0.0,0.0,,,,-139.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,,,,-135.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,,,,4406.0,50681.0,50681.0
2013-08-01,0.0,0.0,0.0,,,,1108.0,14216.0,14216.0
2013-09-01,0.0,0.0,0.0,,,,768.0,10217.0,10217.0
2013-10-01,0.0,0.0,0.0,,,,-166.0,0.0,0.0
2013-11-01,0.0,0.0,0.0,,,,-140.0,0.0,0.0
2013-12-01,0.0,0.0,0.0,,,,-245.0,0.0,0.0
2014-01-01,0.0,0.0,0.0,,,,-276.0,0.0,0.0
2014-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-03-01,0.0,0.0,0.0,,,,-224.0,0.0,0.0
2014-04-01,0.0,0.0,0.0,,,,578.0,8635.0,8635.0
2014-05-01,0.0,0.0,0.0,,,,-146.0,0.0,0.0
2014-06-01,0.0,0.0,0.0,,,,1206.0,15865.0,15865.0
2014-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-08-01,0.0,0.0,0.0,,,,3879.0,48283.0,48283.0
2014-09-01,0.0,0.0,0.0,,,,3246.0,39364.0,39364.0
2014-10-01,0.0,0.0,0.0,,,,2713.0,31503.0,31503.0
2014-11-01,0.0,0.0,0.0,,,,962.0,13479.0,13479.0
2014-12-01,0.0,0.0,0.0,,,,1412.0,18017.0,18017.0
2015-01-01,0.0,0.0,0.0,,,,-68.0,2247.0,2247.0
2015-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-04-01,0.0,0.0,0.0,,,,4393.0,52316.0,52316.0
2015-05-01,0.0,0.0,0.0,,,,2965.0,36170.0,36170.0
2015-06-01,0.0,0.0,0.0,,,,2031.0,25835.0,25835.0
2015-07-01,0.0,0.0,0.0,,,,12150.0,147967.0,147967.0
2015-08-01,0.0,0.0,0.0,,,,4961.0,72453.0,72453.0
2015-09-01,0.0,0.0,0.0,,,,9670.0,113241.0,113241.0
2015-10-01,0.0,0.0,0.0,,,,6242.0,73140.0,73140.0
2015-11-01,0.0,0.0,0.0,,,,4189.0,48863.0,48863.0
2015-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-01-01,0.0,0.0,0.0,,,,3055.0,38031.0,38031.0
2016-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0,,,,3538.0,40987.0,40987.0
2016-05-01,0.0,0.0,0.0,,,,12293.0,161704.0,161704.0
2016-06-01,0.0,0.0,0.0,,,,17910.0,222930.0,222930.0
2016-07-01,0.0,0.0,0.0,,,,22051.0,282056.0,282056.0
2016-08-01,0.0,0.0,0.0,,,,27628.0,345532.0,345532.0
2016-09-01,0.0,0.0,0.0,,,,15462.0,195982.0,195982.0
2016-10-01,0.0,0.0,0.0,,,,4302.0,61281.0,61281.0
2016-11-01,0.0,0.0,0.0,,,,4047.0,46778.0,46778.0
2016-12-01,0.0,0.0,0.0,,,,3115.0,36986.0,36986.0
2017-01-01,0.0,0.0,0.0,,,,3562.322,43706.0,43706.0
2017-02-01,0.0,0.0,0.0,,,,3482.09,42722.0,42722.0
2017-03-01,0.0,0.0,0.0,,,,4334.409,53179.0,53179.0
2017-04-01,0.0,0.0,0.0,,,,3480.839,42706.0,42706.0
2017-05-01,0.0,0.0,0.0,,,,3775.547,46322.0,46322.0
2017-06-01,0.0,0.0,0.0,,,,5096.836,62533.0,62533.0
2017-07-01,0.0,0.0,0.0,,,,6091.518,74737.0,74737.0
2017-08-01,0.0,0.0,0.0,,,,4952.848,60766.0,60766.0
2017-09-01,0.0,0.0,0.0,,,,3770.839,46264.0,46264.0
2017-10-01,0.0,0.0,0.0,,,,3729.105,45753.0,45753.0
2017-11-01,0.0,0.0,0.0,,,,2797.792,34326.0,34326.0
2017-12-01,0.0,0.0,0.0,,,,4535.855,55650.0,55650.0
2018-01-01,0.0,0.0,0.0,,,,6274.314,72312.0,72312.0
2018-02-01,0.0,0.0,0.0,,,,4623.321,53285.0,53285.0
2018-03-01,0.0,0.0,0.0,,,,7283.943,83948.0,83948.0
2018-04-01,0.0,0.0,0.0,,,,3933.988,45340.0,45340.0
2018-05-01,0.0,0.0,0.0,,,,7069.111,81472.0,81472.0
2018-06-01,0.0,0.0,0.0,,,,7755.299,89381.0,89381.0
2018-07-01,0.0,0.0,0.0,,,,9591.853,110548.0,110548.0
2018-08-01,0.0,0.0,0.0,,,,9656.08,111287.0,111287.0
2018-09-01,0.0,0.0,0.0,,,,7744.55,89256.0,89256.0
2018-10-01,0.0,0.0,0.0,,,,5140.744,59248.0,59248.0
2018-11-01,0.0,0.0,0.0,,,,6024.031,69428.0,69428.0
2018-12-01,0.0,0.0,0.0,,,,4464.766,51457.0,51457.0
2019-01-01,0.0,0.0,0.0,,,,5427.688,63807.0,63807.0
2019-02-01,0.0,0.0,0.0,,,,4911.52,57740.0,57740.0
2019-03-01,0.0,0.0,0.0,,,,5185.156,60957.0,60957.0
2019-04-01,0.0,0.0,0.0,,,,5671.133,66671.0,66671.0
2019-05-01,0.0,0.0,0.0,,,,5186.965,60978.0,60978.0
2019-06-01,0.0,0.0,0.0,,,,6078.48,71459.0,71459.0
2019-07-01,0.0,0.0,0.0,,,,10073.196,118421.0,118421.0
2019-08-01,0.0,0.0,0.0,,,,8609.494,101214.0,101214.0
2019-09-01,0.0,0.0,0.0,,,,5523.567,64935.0,64935.0
2019-10-01,0.0,0.0,0.0,,,,5322.204,62569.0,62569.0
2019-11-01,0.0,0.0,0.0,,,,5476.594,64384.0,64384.0
2019-12-01,0.0,0.0,0.0,,,,7582.003,89135.0,89135.0
2020-01-01,0.0,0.0,0.0,,,,21176.527,256759.0,256759.0
2020-02-01,0.0,0.0,0.0,,,,19236.418,233235.0,233235.0
2020-03-01,0.0,0.0,0.0,,,,19966.214,242084.0,242084.0
2020-04-01,0.0,0.0,0.0,,,,14599.181,177010.0,177010.0
2020-05-01,0.0,0.0,0.0,,,,12487.638,151408.0,151408.0
2020-06-01,0.0,0.0,0.0,,,,19149.261,232178.0,232178.0
2020-07-01,0.0,0.0,0.0,,,,27523.619,333714.0,333714.0
2020-08-01,0.0,0.0,0.0,,,,20528.545,248902.0,248902.0
2020-09-01,0.0,0.0,0.0,,,,13427.826,162808.0,162808.0
2020-10-01,0.0,0.0,0.0,,,,14179.924,171926.0,171926.0
2020-11-01,0.0,0.0,0.0,,,,6587.764,79874.0,79874.0
2020-12-01,0.0,0.0,0.0,,,,14885.083,180476.0,180476.0
2021-01-01,0.0,0.0,0.0,,,,1432.749,18503.0,18503.0
2021-02-01,0.0,0.0,0.0,,,,1577.283,20370.0,20370.0
2021-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2021-04-01,0.0,0.0,0.0,,,,2603.992,33629.0,33629.0
2021-05-01,0.0,0.0,0.0,,,,7676.55,99139.0,99139.0
2021-06-01,0.0,0.0,0.0,,,,31901.089,411986.0,411986.0
2021-07-01,0.0,0.0,0.0,,,,27200.122,351276.0,351276.0
2021-08-01,0.0,0.0,0.0,,,,28812.289,372096.0,372096.0
2021-09-01,0.0,0.0,0.0,,,,11290.093,145806.0,145806.0
2021-10-01,0.0,0.0,0.0,,,,12774.786,164980.0,164980.0
2021-11-01,0.0,0.0,0.0,,,,23326.072,301244.0,301244.0
2021-12-01,0.0,0.0,0.0,,,,5249.975,67801.0,67801.0
2022-01-01,0.0,0.0,0.0,,,,777.228,10745.0,10745.0
2022-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2022-03-01,0.0,0.0,0.0,,,,111.464,1541.0,1541.0
2022-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2022-05-01,0.0,0.0,0.0,,,,4687.514,64804.0,64804.0
2022-06-01,0.0,0.0,0.0,,,,3695.221,51086.0,51086.0
2022-07-01,0.0,0.0,0.0,,,,3452.177,47726.0,47726.0
2022-08-01,0.0,0.0,0.0,,,,4271.556,59053.0,59053.0
2022-09-01,0.0,0.0,0.0,,,,3878.717,53622.0,53622.0
2022-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.0,,,,1281.123,17711.0,17711.0
2022-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,,,,11.875,145.0,145.0
2023-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2023-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2023-04-01,0.0,0.0,0.0,,,,24.463,299.0,299.0
2023-05-01,0.0,0.0,0.0,,,,5620.101,68637.0,68637.0
2023-06-01,0.0,0.0,0.0,,,,9341.267,114082.0,114082.0
2023-07-01,0.0,0.0,0.0,,,,16591.177,202622.0,202622.0
2023-08-01,0.0,0.0,0.0,,,,13154.817,160655.0,160655.0
2023-09-01,0.0,0.0,0.0,,,,15935.224,194612.0,194612.0
2023-10-01,0.0,0.0,0.0,,,,15100.91,184422.0,184422.0
2023-11-01,0.0,0.0,0.0,,,,40.164,490.0,490.0
2023-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2024-01-01,0.0,0.0,0.0,,,,133.317,1566.0,1566.0
2024-02-01,0.0,0.0,0.0,,,,1577.913,18542.0,18542.0
2024-03-01,0.0,0.0,0.0,,,,4207.991,49447.0,49447.0
2024-04-01,0.0,0.0,0.0,,,,7332.167,86158.0,86158.0
2024-05-01,0.0,0.0,0.0,,,,16279.261,191293.0,191293.0
2024-06-01,0.0,0.0,0.0,,,,8956.444,105245.0,105245.0
2024-07-01,0.0,0.0,0.0,,,,17204.229,202163.0,202163.0
2024-08-01,0.0,0.0,0.0,,,,18665.928,219338.0,219338.0
2024-09-01,0.0,0.0,0.0,,,,7135.295,83845.0,83845.0
2024-10-01,0.0,0.0,0.0,,,,17518.52,205856.0,205856.0
2024-11-01,0.0,0.0,0.0,,,,7813.445,91814.0,91814.0
2024-12-01,0.0,0.0,0.0,,,,2434.49,28608.0,28608.0
