measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2007-03-01,483.86400000000003,2328.0,11904.0,20.622,99.0,508.0,1195.945,5752.0,29432.0,,,
2007-04-01,562.7570000000001,2712.0,13848.0,16.553,80.0,408.0,1203.443,5784.0,29616.0,,,
2007-05-01,553.201,2664.0,13608.0,14.077,68.0,346.0,1260.213,6056.0,31016.0,,,
2007-06-01,629.727,3024.0,15504.0,19.654,95.0,484.0,1110.652,5344.0,27336.0,,,
2007-07-01,645.042,3096.0,15864.0,21.887,105.0,539.0,960.0210000000001,4616.0,23624.0,,,
2007-08-01,672.937,3240.0,16560.0,31.712,153.0,780.0,1352.9640000000002,6504.0,33296.0,,,
2007-09-01,608.479,2928.0,14976.0,12.251000000000001,59.0,302.0,938.2460000000001,4512.0,23088.0,,,
2007-10-01,602.229,2904.0,14832.0,17.945,86.0,442.0,936.345,4504.0,23040.0,,,
2007-11-01,552.533,2664.0,13608.0,11.611,56.0,286.0,1119.073,5384.0,27536.0,,,
2007-12-01,624.714,3000.0,15384.0,15.727,76.0,387.0,1090.219,5240.0,26832.0,,,
2008-01-01,331.199,1592.0,6864.0,15.367,74.0,317.0,894.2560000000001,4300.0,18533.0,,,
2008-02-01,292.422,1406.0,6072.0,16.986,82.0,353.0,979.4250000000001,4709.0,20303.0,,,
2008-03-01,284.047,1366.0,5880.0,16.159000000000002,78.0,335.0,856.979,4120.0,17760.0,,,
2008-04-01,304.317,1463.0,6312.0,7.798,37.0,161.0,997.677,4797.0,20678.0,,,
2008-05-01,272.27500000000003,1309.0,5640.0,5.0600000000000005,24.0,105.0,689.2950000000001,3314.0,14288.0,,,
2008-06-01,299.406,1440.0,6216.0,8.75,42.0,181.0,737.621,3547.0,15285.0,,,
2008-07-01,372.999,1793.0,7728.0,16.947,81.0,352.0,870.9960000000001,4188.0,18053.0,,,
2008-08-01,377.74600000000004,1816.0,7824.0,14.592,70.0,303.0,608.628,2926.0,12615.0,,,
2008-09-01,303.187,1458.0,6288.0,8.864,43.0,184.0,815.634,3922.0,16905.0,,,
2008-10-01,291.986,1404.0,6048.0,15.353000000000002,74.0,318.0,819.7280000000001,3941.0,16988.0,,,
2008-11-01,302.225,1453.0,6264.0,6.057,29.0,126.0,534.875,2572.0,11085.0,,,
2008-12-01,349.038,1678.0,7224.0,9.925,48.0,206.0,712.5010000000001,3426.0,14768.0,,,
2009-01-01,0.0,0.0,0.0,5.59,27.0,98.0,1652.864,7947.0,28778.0,,,
2009-02-01,0.0,0.0,0.0,4.246,20.0,74.0,1292.804,6216.0,22508.0,,,
2009-03-01,0.0,0.0,0.0,4.12,20.0,72.0,1793.702,8624.0,31230.0,,,
2009-04-01,0.0,0.0,0.0,5.064,24.0,88.0,1628.832,7832.0,28358.0,,,
2009-05-01,0.0,0.0,0.0,2.625,13.0,46.0,1567.787,7538.0,27293.0,,,
2009-06-01,0.0,0.0,0.0,4.561,22.0,79.0,1780.702,8562.0,30998.0,,,
2009-07-01,0.0,0.0,0.0,2.398,12.0,42.0,1639.805,7884.0,28545.0,,,
2009-08-01,0.0,0.0,0.0,5.101,25.0,88.0,1502.364,7224.0,26153.0,,,
2009-09-01,0.0,0.0,0.0,4.461,21.0,78.0,1704.726,8196.0,29678.0,,,
2009-10-01,0.0,0.0,0.0,3.3560000000000003,16.0,58.0,675.405,3247.0,11760.0,,,
2009-11-01,0.0,0.0,0.0,3.27,16.0,57.0,1801.715,8663.0,31365.0,,,
2009-12-01,0.0,0.0,0.0,4.3740000000000006,21.0,76.0,1501.1480000000001,7218.0,26130.0,,,
2010-01-01,0.0,0.0,0.0,13.212000000000002,64.0,238.0,2068.284,9945.0,37118.0,,,
2010-02-01,0.0,0.0,0.0,11.308,54.0,203.0,1892.546,9100.0,33968.0,,,
2010-03-01,0.0,0.0,0.0,8.011000000000001,39.0,144.0,2163.683,10403.0,38828.0,,,
2010-04-01,0.0,0.0,0.0,4.05,19.0,73.0,2240.478,10772.0,40208.0,,,
2010-05-01,0.0,0.0,0.0,6.839,33.0,123.0,1893.284,9103.0,33975.0,,,
2010-06-01,0.0,0.0,0.0,10.564,51.0,189.0,2185.829,10510.0,39225.0,,,
2010-07-01,0.0,0.0,0.0,18.827,91.0,338.0,1989.554,9566.0,35708.0,,,
2010-08-01,0.0,0.0,0.0,18.784000000000002,90.0,337.0,2228.627,10715.0,39998.0,,,
2010-09-01,0.0,0.0,0.0,5.518000000000001,27.0,99.0,1953.729,9394.0,35063.0,,,
2010-10-01,0.0,0.0,0.0,4.359,21.0,78.0,1997.564,9604.0,35850.0,,,
2010-11-01,0.0,0.0,0.0,3.5410000000000004,17.0,63.0,2483.84,11943.0,44573.0,,,
2010-12-01,0.0,0.0,0.0,5.095000000000001,24.0,92.0,1948.4540000000002,9368.0,34965.0,,,
2011-01-01,0.0,0.0,0.0,5.01,24.0,95.0,1751.144,8420.0,32340.0,,,
2011-02-01,0.0,0.0,0.0,5.126,25.0,95.0,1846.582,8879.0,34103.0,,,
2011-03-01,0.0,0.0,0.0,7.275,35.0,134.0,2136.368,10272.0,39458.0,,,
2011-04-01,0.0,0.0,0.0,4.639,22.0,85.0,2180.235,10483.0,40268.0,,,
2011-05-01,0.0,0.0,0.0,7.677,37.0,141.0,1481.152,7122.0,27353.0,,,
2011-06-01,0.0,0.0,0.0,6.12,29.0,113.0,2225.389,10700.0,41100.0,,,
2011-07-01,0.0,0.0,0.0,13.879,67.0,256.0,1895.34,9113.0,35003.0,,,
2011-08-01,0.0,0.0,0.0,9.768,47.0,180.0,2108.787,10139.0,38948.0,,,
2011-09-01,0.0,0.0,0.0,2.705,13.0,50.0,1859.242,8939.0,34335.0,,,
2011-10-01,0.0,0.0,0.0,6.083,29.0,112.0,2085.181,10026.0,38513.0,,,
2011-11-01,0.0,0.0,0.0,6.872,33.0,127.0,2069.804,9952.0,38228.0,,,
2011-12-01,0.0,0.0,0.0,8.187,39.0,151.0,2130.705,10245.0,39353.0,,,
2012-01-01,0.0,0.0,0.0,10.451,50.0,188.0,,,,1574.629,7571.0,28560.0
2012-02-01,0.0,0.0,0.0,14.135,68.0,257.0,,,,1470.267,7069.0,26670.0
2012-03-01,0.0,0.0,0.0,11.294,54.0,205.0,,,,1493.0,7178.0,27083.0
2012-04-01,0.0,0.0,0.0,11.872,57.0,215.0,,,,1460.509,7022.0,26490.0
2012-05-01,0.0,0.0,0.0,17.18,83.0,312.0,,,,1233.63,5931.0,22373.0
2012-06-01,0.0,0.0,0.0,17.541,84.0,318.0,,,,1458.97,7015.0,26460.0
2012-07-01,0.0,0.0,0.0,24.906,120.0,451.0,,,,1541.927,7414.0,27968.0
2012-08-01,0.0,0.0,0.0,14.107,68.0,256.0,,,,1570.103,7549.0,28478.0
2012-09-01,0.0,0.0,0.0,7.325,35.0,133.0,,,,1485.844,7144.0,26948.0
2012-10-01,0.0,0.0,0.0,4.229,20.0,77.0,,,,1421.65,6835.0,25785.0
2012-11-01,0.0,0.0,0.0,8.808,42.0,160.0,,,,1532.248,7367.0,27788.0
2012-12-01,0.0,0.0,0.0,8.498,41.0,154.0,,,,1621.717,7797.0,29415.0
2013-01-01,0.0,0.0,0.0,0.186,28.0,105.0,,,,48.075,7336.0,27150.0
2013-02-01,0.0,0.0,0.0,0.159,24.0,89.0,,,,49.275,7519.0,27825.0
2013-03-01,0.0,0.0,0.0,0.201,31.0,113.0,,,,52.08,7947.0,29415.0
2013-04-01,0.0,0.0,0.0,0.183,28.0,103.0,,,,51.009,7784.0,28808.0
2013-05-01,0.0,0.0,0.0,0.115,18.0,66.0,,,,51.078,7794.0,28845.0
2013-06-01,0.0,0.0,0.0,0.16,24.0,90.0,,,,46.479,7093.0,26250.0
