measured_on,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Generation,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Subbituminous Coal-Combustion (Gas) Turbine (including jet engine design) Generation,Subbituminous Coal-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Subbituminous Coal-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2005-01-01,,,,,,,-58.0,0.0,0.0,591.0,5843.97,5843.97,,,,696380.0,6511207.57,6511207.57
2005-02-01,,,,,,,-54.0,278.88,278.88,761.0,7616.91,7616.91,,,,593333.0,5784057.73,5784057.73
2005-03-01,,,,,,,-38.0,941.22,941.22,1182.0,11840.78,11840.78,,,,696607.0,6659073.91,6659073.91
2005-04-01,,,,,,,82.0,5205.76,5205.76,1403.0,14054.39,14054.39,,,,645008.0,6282958.31,6282958.31
2005-05-01,,,,,,,-27.0,209.16,209.16,1569.0,15716.05,15716.05,,,,608528.0,6299651.75,6299651.75
2005-06-01,,,,,,,127.0,3968.23,3968.23,656.0,6565.3,6565.3,,,,699665.0,7108992.93,7108992.93
2005-07-01,,,,,,,-11.0,261.45,261.45,550.0,5513.69,5513.69,,,,759915.0,7780700.62,7780700.62
2005-08-01,,,,,,,18.0,1690.42,1690.42,611.0,6116.88,6116.88,,,,750805.0,7656166.99,7656166.99
2005-09-01,,,,,,,71.0,3735.83,3735.83,896.0,8976.45,8976.45,,,,724753.0,7276199.48,7276199.48
2005-10-01,,,,,,,-24.0,5.81,5.81,473.0,4735.15,4735.15,,,,775420.0,7715401.6,7715401.6
2005-11-01,,,,,,,-18.0,2707.46,2707.46,1246.0,12479.88,12479.88,,,,706544.0,7079255.6,7079255.6
2005-12-01,,,,,,,422.0,3503.43,3503.43,772.0,7738.92,7738.92,,,,712762.0,7204008.32,7204008.32
2006-01-01,,,,,,,0.0,0.0,0.0,325.0,3281.0,3281.0,,,,706602.0,6927937.0,6927937.0
2006-02-01,,,,,,,-5.0,41.0,41.0,1211.0,12085.0,12085.0,,,,626614.0,6242837.0,6242837.0
2006-03-01,,,,,,,-44.0,3817.0,3817.0,1142.0,11434.0,11434.0,,,,671389.0,6708299.0,6708299.0
2006-04-01,,,,,,,-24.0,14188.0,14188.0,1109.0,11113.0,11113.0,,,,780746.0,7726408.0,7726408.0
2006-05-01,,,,,,,-172.0,2190.0,2190.0,232.0,2314.0,2314.0,,,,809397.0,8154787.0,8154787.0
2006-06-01,,,,,,,10.0,2463.0,2463.0,1015.0,10168.0,10168.0,,,,741411.0,7438983.0,7438983.0
2006-07-01,,,,,,,12.0,575.0,575.0,727.0,7280.0,7280.0,,,,787843.0,8123172.0,8123172.0
2006-08-01,,,,,,,112.0,9633.0,9633.0,823.0,8244.0,8244.0,,,,774538.0,7888262.0,7888262.0
2006-09-01,,,,,,,-17.0,87.0,87.0,1858.0,18615.0,18615.0,,,,670654.0,6873665.0,6873665.0
2006-10-01,,,,,,,-15.0,4584.0,4584.0,541.0,5415.0,5415.0,,,,795055.0,7931633.0,7931633.0
2006-11-01,,,,,,,-32.0,186.0,186.0,1549.0,15519.0,15519.0,,,,636976.0,6452052.0,6452052.0
2006-12-01,,,,,,,-37.0,401.0,401.0,591.0,5920.0,5920.0,,,,752823.0,7677795.0,7677795.0
2007-01-01,,,,111392.587,1230820.0,1230820.0,-1.0,418.0,418.0,479.54900000000004,5299.0,5299.0,,,,236900.865,2617610.0,2617610.0
2007-02-01,,,,109064.786,1181765.0,1181765.0,-64.0,0.0,0.0,354.43100000000004,3840.0,3840.0,,,,231952.784,2513310.0,2513310.0
2007-03-01,,,,190291.232,2003189.0,2003189.0,-76.0,209.0,209.0,3510.185,36952.0,36952.0,,,,404696.583,4260227.0,4260227.0
2007-04-01,,,,236400.916,2361967.0,2361967.0,-42.0,471.0,471.0,845.504,8448.0,8448.0,,,,502757.581,5023233.0,5023233.0
2007-05-01,,,,225864.616,2265396.0,2265396.0,17.0,935.0,935.0,1451.069,14554.0,14554.0,,,,480351.316,4817868.0,4817868.0
2007-06-01,,,,232160.901,2305009.0,2305009.0,-51.0,500.0,500.0,593.962,5897.0,5897.0,,,,493738.137,4902078.0,4902078.0
2007-07-01,,,,227974.701,2327814.0,2327814.0,67.0,5496.0,5496.0,835.865,8535.0,8535.0,,,,484840.433,4950630.0,4950630.0
2007-08-01,,,,228557.47,2363087.0,2363087.0,-43.0,198.0,198.0,1366.644,14130.0,14130.0,,,,486085.885,5025709.0,5025709.0
2007-09-01,,,,245165.083,2499984.0,2499984.0,-51.0,250.0,250.0,133.895,1365.0,1365.0,,,,521404.021,5316832.0,5316832.0
2007-10-01,,,,239174.415,2442677.0,2442677.0,-35.0,529.0,529.0,440.886,4503.0,4503.0,,,,507393.698,5181987.0,5181987.0
2007-11-01,,,,237789.019,2393743.0,2393743.0,-14.0,442.0,442.0,971.925,9784.0,9784.0,,,,505706.058,5090774.0,5090774.0
2007-12-01,,,,335.99,2435753.0,2435753.0,-90.0,76.0,76.0,1.454,10539.0,10539.0,,,,714.556,5180154.0,5180154.0
2008-01-01,,,,319463.692,3196246.0,3196246.0,-3.0,697.0,697.0,879.772,8802.0,8802.0,,,,433238.536,4334567.0,4334567.0
2008-02-01,,,,387948.288,3926522.0,3926522.0,-49.0,372.0,372.0,975.2940000000001,9871.0,9871.0,,,,335108.418,3391716.0,3391716.0
2008-03-01,,,,154977.972,1515607.0,1515607.0,9.0,860.0,860.0,2249.856,22002.0,22002.0,,,,340626.173,3331154.0,3331154.0
2008-04-01,,,,201156.392,1934824.0,1934824.0,-79.0,52.0,52.0,1177.886,11330.0,11330.0,,,,468067.722,4502112.0,4502112.0
2008-05-01,,,,133571.761,1329529.0,1329529.0,-36.0,1121.0,1121.0,1729.516,17215.0,17215.0,,,,397820.723,3959775.0,3959775.0
2008-06-01,,,,257916.88,2468000.0,2468000.0,88.0,424.0,424.0,743.784,7117.0,7117.0,,,,483850.336,4629951.0,4629951.0
2008-07-01,,,,309359.373,3187905.0,3187905.0,-10.0,738.0,738.0,627.522,6467.0,6467.0,,,,431627.104,4447857.0,4447857.0
2008-08-01,,,,258237.849,2544779.0,2544779.0,-7.0,738.0,738.0,975.173,9610.0,9610.0,,,,436653.978,4302962.0,4302962.0
2008-09-01,,,,257092.843,2543584.0,2543584.0,5.0,732.0,732.0,368.79,3649.0,3649.0,,,,451431.367,4466300.0,4466300.0
2008-10-01,,,,197496.574,1947412.0,1947412.0,-51.0,174.0,174.0,1107.7350000000001,10923.0,10923.0,,,,444759.691,4385546.0,4385546.0
2008-11-01,,,,125515.213,1285088.0,1285088.0,-83.0,447.0,447.0,540.227,5531.0,5531.0,,,,366670.559,3754158.0,3754158.0
2008-12-01,,,,112834.926,1186768.0,1186768.0,-63.0,157.0,157.0,1532.911,16123.0,16123.0,,,,381622.162,4013800.0,4013800.0
2009-01-01,,,,352099.886,3728605.0,3728605.0,-70.0,296.0,296.0,1284.939,13607.0,13607.0,,,,249412.175,2641181.0,2641181.0
2009-02-01,,,,223540.39,2359906.0,2359906.0,-75.0,151.0,151.0,1984.005,20945.0,20945.0,,,,151607.605,1600515.0,1600515.0
2009-03-01,,,,302545.315,3106778.0,3106778.0,-59.0,674.0,674.0,1187.596,12195.0,12195.0,,,,100555.089,1032580.0,1032580.0
2009-04-01,,,,187878.074,1915889.0,1915889.0,-25.0,64.0,64.0,1962.778,20015.0,20015.0,,,,313469.148,3196605.0,3196605.0
2009-05-01,,,,190552.881,1790170.0,1790170.0,-52.0,64.0,64.0,5163.473,48509.0,48509.0,,,,296751.646,2787867.0,2787867.0
2009-06-01,,,,0.0,0.0,0.0,37.0,1203.0,1203.0,1686.9360000000001,17277.0,17277.0,,,,431313.064,4417431.0,4417431.0
2009-07-01,,,,308486.158,3297571.0,3297571.0,-36.0,853.0,853.0,1681.134,17971.0,17971.0,,,,83064.708,887922.0,887922.0
2009-08-01,,,,584185.656,5800098.0,5800098.0,-8.0,1144.0,1144.0,1929.344,19156.0,19156.0,,,,0.0,0.0,0.0
2009-09-01,,,,276813.531,2948419.0,2948419.0,-52.0,456.0,456.0,1573.135,16756.0,16756.0,,,,173403.334,1846968.0,1846968.0
2009-10-01,,,,436983.857,4322166.0,4322166.0,5.0,379.0,379.0,1924.7,19037.0,19037.0,,,,205839.443,2035938.0,2035938.0
2009-11-01,,,,160099.536,1761649.0,1761649.0,-33.0,492.0,492.0,216.464,2382.0,2382.0,,,,0.0,0.0,0.0
2009-12-01,,,,349842.491,3648017.0,3648017.0,0.0,41.0,41.0,912.509,9515.0,9515.0,,,,0.0,0.0,0.0
2010-01-01,,,,0.0,0.0,0.0,-9.0,987.0,987.0,620.241,6730.0,6730.0,,,,330128.759,3582344.0,3582344.0
2010-02-01,,,,184493.326,2073660.0,2073660.0,0.0,1862.0,1862.0,646.88,7271.0,7271.0,,,,102101.794,1147599.0,1147599.0
2010-03-01,,,,203729.794,2003028.0,2003028.0,3.0,364.0,364.0,3640.239,35790.0,35790.0,,,,386052.967,3795591.0,3795591.0
2010-04-01,,,,211806.049,2042446.0,2042446.0,2.0,349.0,349.0,1674.536,16148.0,16148.0,,,,441653.415,4258865.0,4258865.0
2010-05-01,,,,197084.527,1933010.0,1933010.0,-59.0,120.0,120.0,2535.1530000000002,24865.0,24865.0,,,,445742.32,4371851.0,4371851.0
2010-06-01,,,,261125.783,2684480.0,2684480.0,-2.0,526.0,526.0,1234.6470000000002,12693.0,12693.0,,,,436970.57,4492236.0,4492236.0
2010-07-01,,,,276521.356,2739566.0,2739566.0,39.0,526.0,526.0,1794.997,17783.0,17783.0,,,,372181.647,3687296.0,3687296.0
2010-08-01,,,,258491.189,2668125.0,2668125.0,88.0,5571.0,5571.0,1856.438,19162.0,19162.0,,,,389208.373,4017378.0,4017378.0
2010-09-01,,,,245860.936,2901292.0,2901292.0,-127.0,5571.0,5571.0,539.982,6372.0,6372.0,,,,202886.082,2394166.0,2394166.0
2010-10-01,,,,184512.288,1690664.0,1690664.0,-106.0,841.0,841.0,1167.987,10702.0,10702.0,,,,253680.725,2324446.0,2324446.0
2010-11-01,,,,323632.059,3332958.0,3332958.0,-185.0,5571.0,5571.0,1027.3010000000002,10580.0,10580.0,,,,69134.64,711990.0,711990.0
2010-12-01,,,,223825.917,2258634.0,2258634.0,-260.0,5571.0,5571.0,1512.5020000000002,15263.0,15263.0,,,,415278.581,4190589.0,4190589.0
2011-01-01,,,,389466.24,3968329.0,3968329.0,89.0,5571.0,5571.0,1095.928,11167.0,11167.0,,,,341070.84,3475221.0,3475221.0
2011-02-01,,,,186559.39,1931178.0,1931178.0,17.0,1155.0,1155.0,1768.992,18312.0,18312.0,,,,241318.62,2498021.0,2498021.0
2011-03-01,,,,377474.75,3848590.0,3848590.0,-13.0,5571.0,5571.0,1108.554,11302.0,11302.0,,,,133689.7,1363050.0,1363050.0
2011-04-01,,,,329393.02,3343348.0,3343348.0,-32.0,819.0,819.0,1481.658,15039.0,15039.0,,,,162012.33,1644429.0,1644429.0
2011-05-01,,,,318528.41,3288277.0,3288277.0,133.0,3057.0,3057.0,2362.488,24389.0,24389.0,,,,200539.1,2070233.0,2070233.0
2011-06-01,,,,360410.8,3725170.0,3725170.0,16.0,1842.0,1842.0,920.75,9517.0,9517.0,,,,265050.45,2739535.0,2739535.0
2011-07-01,,,,381719.31,3958921.0,3958921.0,-19.0,0.0,0.0,1076.89,11169.0,11169.0,,,,328317.8,3405079.0,3405079.0
2011-08-01,,,,367075.94,3900998.0,3900998.0,8.0,413.0,413.0,1211.508,12875.0,12875.0,,,,252984.55,2688523.0,2688523.0
2011-09-01,,,,329714.06,3449060.0,3449060.0,-17.0,732.0,732.0,1318.212,13790.0,13790.0,,,,209250.73,2188922.0,2188922.0
2011-10-01,,,,330691.25,3527023.0,3527023.0,0.0,215.0,215.0,3206.356,34198.0,34198.0,,,,279086.39,2976626.0,2976626.0
2011-11-01,,,,309685.97,3244940.0,3244940.0,-4.0,209.0,209.0,1838.59,19265.0,19265.0,,,,149464.44,1566113.0,1566113.0
2011-12-01,,,,124303.82,1260648.0,1260648.0,-13.0,1779.0,1779.0,1186.603,12034.0,12034.0,,,,295797.58,2999881.0,2999881.0
2012-01-01,,,,64881.425,704431.0,704431.0,-2.0,93.0,93.0,1627.114,17666.0,17666.0,,,,280363.46,3043963.0,3043963.0
2012-02-01,,,,35465.218,397922.0,397922.0,-18.0,1489.0,1489.0,1450.04,16270.0,16270.0,,,,202478.74,2271825.0,2271825.0
2012-03-01,,,,473277.72,4905075.0,4905075.0,-18.0,1292.0,1292.0,2080.776,21565.0,21565.0,,,,181312.51,1879132.0,1879132.0
2012-04-01,,,,593050.2,5993782.0,5993782.0,16.0,1031.0,1031.0,896.041,9056.0,9056.0,,,,147735.76,1493121.0,1493121.0
2012-05-01,,,,557120.6,5665493.0,5665493.0,-13.0,98.0,98.0,1184.526,12046.0,12046.0,,,,159206.88,1619013.0,1619013.0
2012-06-01,,,,498208.18,4851057.0,4851057.0,-17.0,1009.0,1009.0,1095.864,10670.0,10670.0,,,,161681.96,1574298.0,1574298.0
2012-07-01,,,,453630.39,4740476.0,4740476.0,94.0,2521.0,2521.0,1543.554,16130.0,16130.0,,,,111493.06,1165112.0,1165112.0
2012-08-01,,,,324387.37,3208770.0,3208770.0,-4.0,128.0,128.0,2250.012,22257.0,22257.0,,,,28130.62,278262.0,278262.0
2012-09-01,,,,70696.717,827268.0,827268.0,-10.0,858.0,858.0,287.283,3362.0,3362.0,,,,0.0,0.0,0.0
2012-10-01,,,,16049.029,230637.0,230637.0,-14.0,330.0,330.0,506.971,7286.0,7286.0,,,,0.0,0.0,0.0
2012-11-01,,,,34571.598,460475.0,460475.0,-11.0,788.0,788.0,574.402,7651.0,7651.0,,,,0.0,0.0,0.0
2012-12-01,,,,70991.252,891040.0,891040.0,-23.0,1362.0,1362.0,691.748,8682.0,8682.0,,,,0.0,0.0,0.0
2013-01-01,,,,121439.1,1453810.0,1453810.0,-18.0,209.0,209.0,323.896,3878.0,3878.0,,,,0.0,0.0,0.0
2013-02-01,,,,89064.593,1091217.0,1091217.0,-25.0,154.0,154.0,234.407,2872.0,2872.0,,,,0.0,0.0,0.0
2013-03-01,,,,68346.923,739063.0,739063.0,1.0,704.0,704.0,511.077,5526.0,5526.0,,,,0.0,0.0,0.0
2013-04-01,,,,35517.805,392075.0,392075.0,-2.0,97.0,97.0,204.195,2254.0,2254.0,,,,0.0,0.0,0.0
2013-05-01,,,,10895.088,115730.0,115730.0,81.0,1917.0,1917.0,407.912,4333.0,4333.0,,,,0.0,0.0,0.0
2013-06-01,,,,54470.889,591082.0,591082.0,16.0,928.0,928.0,421.111,4570.0,4570.0,,,,0.0,0.0,0.0
2013-07-01,,,,80312.825,980304.0,980304.0,208.0,3572.0,3572.0,521.175,6362.0,6362.0,,,,0.0,0.0,0.0
2013-08-01,,,,25829.809,283556.0,283556.0,11.0,157.0,157.0,686.191,7533.0,7533.0,,,,0.0,0.0,0.0
2013-09-01,,,,7348.739,103862.0,103862.0,5.0,1437.0,1437.0,181.261,2562.0,2562.0,,,,0.0,0.0,0.0
2013-10-01,,,,0.0,0.0,0.0,3.0,1408.0,1408.0,-3186.0,243.0,243.0,,,,0.0,0.0,0.0
2013-11-01,,,,31474.86,384254.0,384254.0,-2.0,574.0,574.0,317.14,3872.0,3872.0,,,,0.0,0.0,0.0
2013-12-01,,,,14803.428,270695.0,270695.0,-5.0,1235.0,1235.0,253.572,4637.0,4637.0,,,,0.0,0.0,0.0
2014-01-01,,,,98024.88,1085130.0,1085130.0,-81.0,278.0,278.0,738.12,8171.0,8171.0,,,,0.0,0.0,0.0
2014-02-01,,,,50027.35,688247.0,688247.0,-41.0,1203.0,1203.0,1984.65,27304.0,27304.0,,,,0.0,0.0,0.0
2014-03-01,,,,89774.676,1029794.0,1029794.0,-30.0,442.0,442.0,1298.324,14893.0,14893.0,,,,0.0,0.0,0.0
2014-04-01,,,,83410.606,1022922.0,1022922.0,-105.0,930.0,930.0,204.839,2512.0,2512.0,,,,4075.555,49981.0,49981.0
2014-05-01,,,,50756.948,646291.0,646291.0,35.0,1064.0,1064.0,342.514,4361.0,4361.0,,,,33533.538,426985.0,426985.0
2014-06-01,,,,39462.268,522681.0,522681.0,9.0,436.0,436.0,820.11,10862.0,10862.0,,,,7052.622,93412.0,93412.0
2014-07-01,,,,15542.585,222245.0,222245.0,285.0,4355.0,4355.0,403.415,5768.0,5768.0,,,,0.0,0.0,0.0
2014-08-01,,,,0.0,0.0,0.0,62.0,965.0,965.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-09-01,,,,12025.683,147725.0,147725.0,42.0,829.0,829.0,368.317,4524.0,4524.0,,,,0.0,0.0,0.0
2014-10-01,,,,209270.28,2272589.0,2272589.0,-19.0,959.0,959.0,463.718,5036.0,5036.0,,,,0.0,0.0,0.0
2014-11-01,,,,246574.69,2567857.0,2567857.0,58.0,1832.0,1832.0,194.315,2024.0,2024.0,,,,0.0,0.0,0.0
2014-12-01,,,,237511.34,2480172.0,2480172.0,-5.0,994.0,994.0,89.656,936.0,936.0,,,,0.0,0.0,0.0
2015-01-01,,,,214843.98,2248690.0,2248690.0,1.0,1053.0,1053.0,445.016,4658.0,4658.0,,,,0.0,0.0,0.0
2015-02-01,,,,200373.39,2102655.0,2102655.0,-53.0,0.0,0.0,502.608,5274.0,5274.0,,,,0.0,0.0,0.0
2015-03-01,,,,139028.75,1537197.0,1537197.0,2.0,849.0,849.0,2074.253,22934.0,22934.0,,,,0.0,0.0,0.0
2015-04-01,,,,43918.357,454777.0,454777.0,160.0,849.0,849.0,288.643,2989.0,2989.0,,,,0.0,0.0,0.0
2015-05-01,0.0,0.0,0.0,,,,37.0,2803.0,2803.0,,,,0.0,0.0,0.0,,,
2015-06-01,0.0,0.0,0.0,,,,37.0,494.0,494.0,,,,0.0,0.0,0.0,,,
2015-07-01,0.0,0.0,0.0,,,,10.0,634.0,634.0,,,,0.0,0.0,0.0,,,
2015-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2015-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2015-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2015-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2015-12-01,0.0,0.0,0.0,,,,62.0,1235.0,1235.0,,,,0.0,0.0,0.0,,,
2016-01-01,0.0,0.0,0.0,,,,7.28,1310.0,1310.0,,,,0.0,0.0,0.0,,,
2016-02-01,0.0,0.0,0.0,,,,7.247,1304.0,1304.0,,,,0.0,0.0,0.0,,,
2016-03-01,0.0,0.0,0.0,,,,7.518,1351.0,1351.0,,,,0.0,0.0,0.0,,,
2016-04-01,0.0,0.0,0.0,,,,6.164,1107.0,1107.0,,,,0.0,0.0,0.0,,,
2016-05-01,0.0,0.0,0.0,,,,9.855,1774.0,1774.0,,,,0.0,0.0,0.0,,,
2016-06-01,0.0,0.0,0.0,,,,8.509,1530.0,1530.0,,,,0.0,0.0,0.0,,,
2016-07-01,0.0,0.0,0.0,,,,7.718,1385.0,1385.0,,,,0.0,0.0,0.0,,,
2016-08-01,0.0,0.0,0.0,,,,7.739,1391.0,1391.0,,,,0.0,0.0,0.0,,,
2016-09-01,0.0,0.0,0.0,,,,5.425,974.0,974.0,,,,0.0,0.0,0.0,,,
2016-10-01,0.0,0.0,0.0,,,,5.265,945.0,945.0,,,,0.0,0.0,0.0,,,
2016-11-01,0.0,0.0,0.0,,,,9.819,1768.0,1768.0,,,,0.0,0.0,0.0,,,
2016-12-01,0.0,0.0,0.0,,,,13.461,2423.0,2423.0,,,,0.0,0.0,0.0,,,
2017-01-01,0.0,0.0,0.0,,,,4.241,76.0,76.0,,,,0.0,0.0,0.0,,,
2017-02-01,0.0,0.0,0.0,,,,3.341,70.0,70.0,,,,0.0,0.0,0.0,,,
2017-03-01,0.0,0.0,0.0,,,,4.396,88.0,88.0,,,,0.0,0.0,0.0,,,
2017-04-01,0.0,0.0,0.0,,,,3.347,70.0,70.0,,,,0.0,0.0,0.0,,,
2017-05-01,0.0,0.0,0.0,,,,4.891,100.0,100.0,,,,0.0,0.0,0.0,,,
2017-06-01,0.0,0.0,0.0,,,,4.91,100.0,100.0,,,,0.0,0.0,0.0,,,
2017-07-01,0.0,0.0,0.0,,,,4.572,94.0,94.0,,,,0.0,0.0,0.0,,,
2017-08-01,0.0,0.0,0.0,,,,3.81,76.0,76.0,,,,0.0,0.0,0.0,,,
2017-09-01,0.0,0.0,0.0,,,,3.649,76.0,76.0,,,,0.0,0.0,0.0,,,
2017-10-01,0.0,0.0,0.0,,,,3.397,70.0,70.0,,,,0.0,0.0,0.0,,,
2017-11-01,0.0,0.0,0.0,,,,7.283,147.0,147.0,,,,0.0,0.0,0.0,,,
2017-12-01,0.0,0.0,0.0,,,,4.163,82.0,82.0,,,,0.0,0.0,0.0,,,
2018-01-01,0.0,0.0,0.0,,,,15.303,264.0,264.0,,,,0.0,0.0,0.0,,,
2018-02-01,0.0,0.0,0.0,,,,9.182,152.0,152.0,,,,0.0,0.0,0.0,,,
2018-03-01,0.0,0.0,0.0,,,,9.153,152.0,152.0,,,,0.0,0.0,0.0,,,
2018-04-01,0.0,0.0,0.0,,,,12.848,217.0,217.0,,,,0.0,0.0,0.0,,,
2018-05-01,0.0,0.0,0.0,,,,19.798,334.0,334.0,,,,0.0,0.0,0.0,,,
2018-06-01,0.0,0.0,0.0,,,,12.377,211.0,211.0,,,,0.0,0.0,0.0,,,
2018-07-01,0.0,0.0,0.0,,,,9.343,158.0,158.0,,,,0.0,0.0,0.0,,,
