measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Generation,Other Quantity Consumed For Electricity,Other Total Fuel Consumed
2004-10-01,85.03595000000001,452.405,1118.5,8157.7685,81757.155,81757.155,2578.26355,12651.255,36375.345,,,
2004-11-01,129.83610000000002,654.585,1766.7099999999998,10094.447,101166.545,101166.545,2262.4314000000004,11095.880000000001,32989.905,,,
2004-12-01,1259.440345,6212.65,17362.56,15207.2255,152406.815,152406.815,4698.080655,23053.93,66107.95999999999,,,
2005-01-01,29.07,266.53,19512.32,14136.6365,141352.23,141352.23,6122.994,30028.903333333332,128776.84000000001,,,
2005-02-01,6.6915000000000004,61.35,4491.35,12544.3285,125430.745,125430.745,5428.193333333334,26621.406666666666,114164.01333333332,,,
2005-03-01,5.742,52.645,3854.11,13747.88,137465.055,137465.055,6477.597000000001,31767.97666666667,136234.73,,,
2005-04-01,5.745500000000001,52.675,3856.31,9907.7785,99067.875,99067.875,6641.126,32569.97333333333,139674.02,,,
2005-05-01,5.7925,53.11,3888.1,9937.2295,99362.36,99362.36,5387.543000000001,26422.043333333335,113309.06333333334,,,
2005-06-01,7.017,64.335,4709.89,13338.8645,133375.31,133375.31,9165.802333333333,44951.69999999999,192772.19333333336,,,
2005-07-01,13.2895,121.84,8920.015,14101.217,140998.065,140998.065,11811.425666666668,57926.59333333333,248414.0933333333,,,
2005-08-01,11.7705,107.915,7900.53,12376.848,123756.1,123756.1,12628.18166666667,61932.193333333336,265591.83666666667,,,
2005-09-01,6.5495,60.045,4396.035,10577.9495,105768.92,105768.92,8353.657666666668,40968.71333333333,175691.43666666668,,,
2005-10-01,9.1825,84.19,6163.32,8862.074499999999,88611.88,88611.88,5776.989666666667,28332.0,121499.78666666667,,,
2005-11-01,6.183000000000001,56.685,4150.14,9761.7755,97607.995,97607.995,5185.499666666667,25431.166666666668,109059.75666666665,,,
2005-12-01,16.936500000000002,155.285,11368.13,12012.9175,120117.16,120117.16,5602.593666666667,27476.710000000003,117831.93666666669,,,
2006-01-01,40.396209999999996,370.37,902.525,7498.514,74377.5,74377.5,6042.94186,34200.223333333335,120693.63333333332,,,
2006-02-01,50.321555,461.37,1131.32,7000.905500000001,69442.0,69442.0,6018.692296666667,34039.69,120341.84333333332,,,
2006-03-01,89.79607,823.29,2059.9,7213.0875,71547.0,71547.0,6543.01262,36924.083333333336,131286.45333333334,,,
2006-04-01,43.522385,399.035,976.715,4956.845499999999,49167.0,49167.0,5522.253076666667,31238.11666666667,110380.91000000002,,,
2006-05-01,30.31073,277.905,674.595,5781.9445,57351.0,57351.0,5364.8388466666665,30375.296666666665,107077.14333333333,,,
2006-06-01,29.33139,268.925,649.47,7556.458500000001,74952.5,74952.5,6868.903739999999,38913.07666666667,136972.31333333332,,,
2006-07-01,36.457564999999995,334.26,805.095,7900.7465,78367.5,78367.5,10291.55229,58320.033333333326,205124.66333333333,,,
2006-08-01,38.729495,355.09,856.705,7406.681500000001,73467.0,73467.0,9686.308003333334,54880.049999999996,193119.36333333337,,,
2006-09-01,22.70093,208.135,500.86,4793.9125,47550.5,47550.5,6873.652046666667,38955.329999999994,136979.58,,,
2006-10-01,22.631715,207.5,498.69,5350.4935000000005,53071.5,53071.5,7667.588856666666,43461.056666666664,152765.94666666666,,,
2006-11-01,36.425715,333.97,810.34,5411.7665,53679.5,53679.5,6583.941523333334,37279.54,131399.1366666667,,,
2006-12-01,40.466785,371.02,902.785,6561.1445,65080.0,65080.0,6430.2238099999995,36397.87,128395.58666666666,,,
2007-01-01,26.047,87.0,87.0,7683.809,75947.0,75947.0,1943.1256666666668,9534.0,29103.666666666668,,,
2007-02-01,102.675,348.0,348.0,5805.414500000001,57380.5,57380.5,2079.699,10204.0,31149.333333333332,,,
2007-03-01,54.526,185.0,185.0,7442.337500000001,73560.0,73560.0,3694.8080000000004,18128.333333333332,55339.666666666664,,,
2007-04-01,10.4,35.0,35.0,3666.369,36238.5,36238.5,3866.387666666667,18970.0,57909.666666666664,,,
2007-05-01,13.825,46.0,46.0,4735.1395,46802.0,46802.0,4119.426333333334,20211.333333333332,61699.666666666664,,,
2007-06-01,43.729,145.0,145.0,5754.735500000001,56879.5,56879.5,5584.437666666666,27399.0,83642.33333333333,,,
2007-07-01,23.872,81.0,81.0,7690.552000000001,76013.5,76013.5,7928.905,38902.666666666664,118757.33333333333,,,
2007-08-01,28.57,99.0,99.0,7968.2155,78758.0,78758.0,11303.724999999999,55460.666666666664,169304.33333333334,,,
2007-09-01,18.858,64.0,64.0,7070.5265,69885.0,69885.0,5578.36,27369.333333333332,83551.0,,,
2007-10-01,12.205,41.0,41.0,6085.424,60148.0,60148.0,5944.723666666668,29167.0,89038.33333333333,,,
2007-11-01,8.459,29.0,29.0,6835.1535,67559.0,67559.0,3193.9286666666667,15670.333333333334,47838.0,,,
2007-12-01,20.414,70.0,70.0,4738.8240000000005,46838.5,46838.5,4040.133333333333,19822.666666666668,60512.0,,,
2008-01-01,7.883500000000001,28.0,34.5,5690.886,56078.0,56078.0,3838.9065,18786.5,54542.0,,,
2008-02-01,6.3095,24.5,32.0,5868.1015,57824.0,57824.0,3795.0750000000003,18571.0,53919.0,,,
2008-03-01,2.057,7.5,9.0,5772.114500000001,56878.5,56878.5,4884.4215,23901.5,69396.0,,,
2008-04-01,1.4155000000000002,7.0,9.0,6855.593000000001,67555.0,67555.0,4384.5645,21456.0,62294.5,,,
2008-05-01,1.4520000000000002,7.0,9.0,7660.156500000001,75483.5,75483.5,1919.5265000000002,9393.0,27271.5,,,
2008-06-01,5.8495,24.0,32.0,6725.776,66275.5,66275.5,8625.258000000002,42207.0,122544.0,,,
2008-07-01,2.7275,10.0,14.5,7611.958500000001,75008.0,75008.0,10874.645999999999,53215.0,154502.5,,,
2008-08-01,1.6925000000000001,7.0,9.0,8878.011999999999,87483.5,87483.5,9835.662499999999,48130.5,139741.0,,,
2008-09-01,2.1100000000000003,7.5,9.0,6537.541500000001,64421.0,64421.0,9084.449499999999,44454.5,129068.5,,,
2008-10-01,0.9915,3.5,6.0,5862.400500000001,57768.5,57768.5,7970.871,39005.0,113246.5,,,
2008-11-01,2.125,7.5,9.0,5060.0825,49862.0,49862.0,5147.291499999999,25188.5,73131.0,,,
2008-12-01,4.0755,17.0,23.0,5047.3775000000005,49737.0,49737.0,5639.0035,27594.5,80117.0,,,
2009-01-01,8.993,82.0,226.0,2831.059,27631.0,27631.0,3563.3065,17489.5,50974.0,,,
2009-02-01,1.735,16.0,41.0,3156.458,30807.0,30807.0,4542.248,22294.0,64977.0,,,
2009-03-01,2.1310000000000002,20.0,52.0,4870.738,47538.5,47538.5,6244.753,30650.0,89331.5,,,
2009-04-01,0.798,7.0,17.0,5549.29,54161.0,54161.0,5968.539,29294.5,85380.5,,,
2009-05-01,0.756,7.0,17.0,6915.343,67494.0,67494.0,5580.3775000000005,27389.5,79826.5,,,
2009-06-01,0.669,6.0,17.0,6407.4665,62537.0,62537.0,6137.0905,30121.5,87790.5,,,
2009-07-01,1.05,10.0,23.0,7004.871499999999,68367.5,68367.5,7729.9075,37939.5,110576.0,,,
2009-08-01,0.899,8.0,23.0,5939.8625,57973.5,57973.5,9054.169,44439.0,129519.5,,,
2009-09-01,0.5740000000000001,5.0,12.0,4998.606,48786.0,48786.0,7260.759,35636.5,103865.5,,,
2009-10-01,0.597,5.0,17.0,4442.406,43358.0,43358.0,5412.7125,26566.0,77428.5,,,
2009-11-01,0.7080000000000001,6.0,17.0,3767.0885000000003,36767.0,36767.0,5751.1605,28227.5,82270.5,,,
2009-12-01,0.69,6.0,17.0,4990.311000000001,48705.5,48705.5,4251.262,20865.5,60814.5,,,
2010-01-01,47.01,220.0,220.0,7799.888999999999,76095.5,76095.5,3134.757,15386.5,45204.0,,,
2010-02-01,15.079,70.0,70.0,9276.558,90502.0,90502.0,3043.7245000000003,14940.0,43891.0,,,
2010-03-01,15.097000000000001,70.0,70.0,8184.5075,79848.0,79848.0,4371.8885,21459.0,63043.0,,,
2010-04-01,11.228,52.0,52.0,6973.5225,68033.5,68033.5,4633.259,22742.0,66812.0,,,
2010-05-01,12.499,58.0,58.0,9703.8505,94670.5,94670.5,4428.9525,21739.0,63866.0,,,
2010-06-01,26.781000000000002,128.0,128.0,9671.5935,94356.5,94356.5,6690.68,32840.5,96480.0,,,
2010-07-01,83.044,394.0,394.0,9142.66,89196.0,89196.0,9155.937,44941.0,132029.5,,,
2010-08-01,33.752,162.0,162.0,8076.8855,78798.0,78798.0,7788.8055,38230.5,112315.0,,,
2010-09-01,15.316,75.0,75.0,6434.5145,62775.0,62775.0,6778.666,33272.5,97749.0,,,
2010-10-01,9.802,46.0,46.0,5436.34,53037.0,53037.0,5557.564,27278.5,80141.0,,,
2010-11-01,10.485000000000001,52.0,52.0,5300.6845,51713.5,51713.5,6531.437,32059.0,94184.0,,,
2010-12-01,35.467,168.0,168.0,7654.994500000001,74682.0,74682.0,6504.419,31926.0,93794.5,,,
2011-01-01,38.778,151.0,151.0,8550.9995,83081.5,83081.5,7827.989,38423.0,118998.5,,,
2011-02-01,14.753,52.0,52.0,7915.802,76910.0,76910.0,8878.132,43577.5,134962.0,,,
2011-03-01,27.841,104.0,104.0,11973.6185,116335.5,116335.5,11240.653,55173.5,170877.0,,,
2011-04-01,25.005,93.0,93.0,11903.242,115652.0,115652.0,9585.5705,47049.5,145716.5,,,
2011-05-01,36.874,133.0,133.0,11244.577000000001,109252.5,109252.5,11345.0985,55686.0,172464.5,,,
2011-06-01,22.386,81.0,81.0,10766.9585,104612.0,104612.0,11823.5745,58034.5,179738.0,,,
2011-07-01,44.59,162.0,162.0,10704.458999999999,104004.5,104004.5,15383.962,75510.5,233862.0,,,
2011-08-01,14.888,52.0,52.0,10409.8845,101142.5,101142.5,13694.915,67220.0,208185.0,,,
2011-09-01,14.362,52.0,52.0,9106.1645,88475.5,88475.5,12135.34,59565.0,184477.5,,,
2011-10-01,16.014,58.0,58.0,7215.532499999999,70106.0,70106.0,10252.5085,50323.5,155855.0,,,
2011-11-01,13.945,52.0,52.0,6881.972,66865.0,66865.0,10817.8185,53098.0,164448.5,,,
2011-12-01,14.764,52.0,52.0,6841.79,66475.0,66475.0,12860.5685,63124.5,195502.0,,,
