measured_on,Natural Gas-Combined Cycle Single Shaft Generation,Natural Gas-Combined Cycle Single Shaft Quantity Consumed For Electricity,Natural Gas-Combined Cycle Single Shaft Total Fuel Consumed
2010-04-01,0.0,0.0,0.0
2010-05-01,24579.0,173373.0,173373.0
2010-06-01,46288.0,393347.0,393347.0
2010-07-01,70562.0,624352.0,624352.0
2010-08-01,92884.0,769217.0,769217.0
2010-09-01,82351.0,663066.0,663066.0
2010-10-01,96925.0,761378.0,761378.0
2010-11-01,36117.0,304054.0,304054.0
2010-12-01,36089.0,298003.0,298003.0
2011-01-01,30559.0,258407.0,258407.0
2011-02-01,33605.0,283221.0,283221.0
2011-03-01,100241.0,854723.0,854723.0
2011-04-01,119198.0,929289.0,929289.0
2011-05-01,83401.0,659721.0,659721.0
2011-06-01,41275.0,332358.0,332358.0
2011-07-01,81207.0,669636.0,669636.0
2011-08-01,106830.0,846636.0,846636.0
2011-09-01,97672.0,788461.0,788461.0
2011-10-01,114217.0,894048.0,894048.0
2011-11-01,113268.0,892368.0,892368.0
2011-12-01,58708.0,462383.0,462383.0
2012-01-01,5748.0,48547.0,48547.0
2012-02-01,10580.0,88322.0,88322.0
2012-03-01,0.0,0.0,0.0
2012-04-01,8007.0,96450.0,96450.0
2012-05-01,42234.0,354695.0,354695.0
2012-06-01,116602.0,898970.0,898970.0
2012-07-01,120526.0,925584.0,925584.0
2012-08-01,119825.0,934795.0,934795.0
2012-09-01,114244.0,876613.0,876613.0
2012-10-01,119447.0,899414.0,899414.0
2012-11-01,0.0,0.0,0.0
2012-12-01,0.0,0.0,0.0
2013-01-01,0.0,0.0,0.0
2013-02-01,19011.0,152988.0,152988.0
2013-03-01,63727.0,498740.0,498740.0
2013-04-01,92895.0,724229.0,724229.0
2013-05-01,89077.0,688663.0,688663.0
2013-06-01,77925.0,609361.0,609361.0
2013-07-01,96229.0,762073.0,762073.0
2013-08-01,107787.0,839676.0,839676.0
2013-09-01,106936.0,820615.0,820615.0
2013-10-01,80688.0,626092.0,626092.0
2013-11-01,42629.0,341172.0,341172.0
2013-12-01,26999.0,221819.0,221819.0
2014-01-01,31582.0,255887.0,255887.0
2014-02-01,4956.0,41673.0,41673.0
2014-03-01,18480.0,149697.0,149697.0
2014-04-01,109571.0,850396.0,850396.0
2014-05-01,109304.0,843911.0,843911.0
2014-06-01,95515.0,746228.0,746228.0
2014-07-01,115776.0,885400.0,885400.0
2014-08-01,118881.0,909103.0,909103.0
2014-09-01,104953.0,791919.0,791919.0
2014-10-01,119701.0,886795.0,886795.0
2014-11-01,45129.0,351878.0,351878.0
2014-12-01,41818.0,321257.0,321257.0
2015-01-01,44336.0,346253.0,346253.0
2015-02-01,21073.0,165717.0,165717.0
2015-03-01,48836.0,392557.0,392557.0
2015-04-01,74112.0,584208.0,584208.0
2015-05-01,95939.0,736958.0,736958.0
2015-06-01,113584.0,948151.0,948151.0
2015-07-01,103950.0,817315.0,817315.0
2015-08-01,104035.0,835415.0,835415.0
2015-09-01,92812.0,738028.0,738028.0
2015-10-01,104103.0,817093.0,817093.0
2015-11-01,61283.0,476119.0,476119.0
2015-12-01,0.0,0.0,0.0
2016-01-01,0.0,0.0,0.0
2016-02-01,0.0,0.0,0.0
2016-03-01,0.0,0.0,0.0
2016-04-01,12034.0,114535.0,114535.0
2016-05-01,94095.0,741941.0,741941.0
2016-06-01,83210.0,653697.0,653697.0
2016-07-01,92805.0,743205.0,743205.0
2016-08-01,95374.0,768344.0,768344.0
2016-09-01,85062.0,674309.0,674309.0
2016-10-01,65054.0,510849.0,510849.0
2016-11-01,45254.0,356252.0,356252.0
2016-12-01,21328.0,168369.0,168369.0
2017-01-01,23976.0,195433.0,195433.0
2017-02-01,10548.0,88169.0,88169.0
2017-03-01,21313.0,186253.0,186253.0
2017-04-01,86147.0,673768.0,673768.0
2017-05-01,77628.0,621181.0,621181.0
2017-06-01,73479.0,571539.0,571539.0
2017-07-01,71690.0,572627.0,572627.0
2017-08-01,86956.0,694866.0,694866.0
2017-09-01,89645.0,701247.0,701247.0
2017-10-01,55962.0,443240.0,443240.0
2017-11-01,40690.0,332896.0,332896.0
2017-12-01,18688.0,146872.0,146872.0
2018-01-01,759.0,7294.0,7294.0
2018-02-01,795.0,7307.0,7307.0
2018-03-01,933.0,8480.0,8480.0
2018-04-01,4665.0,45603.0,45603.0
2018-05-01,10992.0,85246.0,85246.0
2018-06-01,15539.0,128957.0,128957.0
2018-07-01,67769.0,546380.0,546380.0
2018-08-01,59763.0,479461.0,479461.0
2018-09-01,65863.0,520128.0,520128.0
2018-10-01,83336.0,643489.0,643489.0
2018-11-01,48628.0,401603.0,401603.0
2018-12-01,9959.0,67108.0,67108.0
2019-01-01,11322.0,91961.0,91961.0
2019-02-01,0.0,0.0,0.0
2019-03-01,6757.0,56153.0,56153.0
2019-04-01,25232.0,198858.0,198858.0
2019-05-01,9643.0,77577.0,77577.0
2019-06-01,18416.0,152638.0,152638.0
2019-07-01,90275.0,726039.0,726039.0
2019-08-01,71864.0,558782.0,558782.0
2019-09-01,5441.0,43468.0,43468.0
2019-10-01,13069.0,107247.0,107247.0
2019-11-01,7234.0,59880.0,59880.0
2019-12-01,10562.0,92241.0,92241.0
2020-01-01,0.0,0.0,0.0
2020-02-01,634.0,6670.0,6670.0
2020-03-01,1244.0,10853.0,10853.0
2020-04-01,9031.0,72414.0,72414.0
2020-05-01,5972.0,49675.0,49675.0
2020-06-01,21645.0,178743.0,178743.0
2020-07-01,45417.0,370658.0,370658.0
2020-08-01,49239.0,399819.0,399819.0
2020-09-01,20840.0,170580.0,170580.0
2020-10-01,43714.0,345788.0,345788.0
2020-11-01,8700.0,71194.0,71194.0
2020-12-01,2409.0,19245.0,19245.0
2021-01-01,1238.0,10593.0,10593.0
2021-02-01,0.0,0.0,0.0
2021-03-01,2390.0,19120.0,19120.0
2021-04-01,9801.0,79552.0,79552.0
2021-05-01,3036.0,25700.0,25700.0
2021-06-01,51055.0,423977.0,423977.0
2021-07-01,38539.0,300233.0,300233.0
2021-08-01,71173.0,563841.0,563841.0
2021-09-01,52101.0,410249.0,410249.0
2021-10-01,0.0,0.0,0.0
2021-11-01,10494.0,100839.0,100839.0
2021-12-01,13752.0,113229.0,113229.0
2022-01-01,0.0,0.0,0.0
2022-02-01,0.0,0.0,0.0
2022-03-01,0.0,0.0,0.0
2022-04-01,17663.0,139192.0,139192.0
2022-05-01,56910.0,459690.0,459690.0
2022-06-01,13545.0,98617.0,98617.0
2022-07-01,60471.0,490938.0,490938.0
2022-08-01,77997.0,603636.0,603636.0
2022-09-01,19635.0,156658.0,156658.0
2022-10-01,2559.0,20654.0,20654.0
2022-11-01,2731.0,22463.0,22463.0
2022-12-01,2479.0,21434.0,21434.0
2023-01-01,6084.0,49967.0,49967.0
2023-02-01,0.0,0.0,0.0
2023-03-01,0.0,0.0,0.0
2023-04-01,13873.0,111387.0,111387.0
2023-05-01,0.0,0.0,0.0
2023-06-01,7398.0,60556.0,60556.0
2023-07-01,77253.0,610410.0,610410.0
2023-08-01,61430.0,499681.0,499681.0
2023-09-01,65733.0,502233.0,502233.0
2023-10-01,76952.0,610207.0,610207.0
2023-11-01,35369.0,268281.0,268281.0
2023-12-01,14273.0,115535.0,115535.0
2024-01-01,0.0,0.0,0.0
2024-02-01,934.0,8797.0,8797.0
2024-03-01,0.0,0.0,0.0
2024-04-01,18569.0,158202.0,158202.0
2024-05-01,23644.0,178408.0,178408.0
2024-06-01,37887.0,298300.0,298300.0
2024-07-01,84940.0,675931.0,675931.0
2024-08-01,66189.0,520441.0,520441.0
2024-09-01,74005.0,573776.0,573776.0
2024-10-01,122876.0,942890.0,942890.0
2024-11-01,75188.0,578273.0,578273.0
2024-12-01,26905.0,195187.0,195187.0
