measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Generation","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Quantity Consumed For Electricity","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Total Fuel Consumed"
2005-06-01,46.923,651.65,651.65,,,,26043.275,361636.44,361636.44
2005-07-01,88.86800000000001,1234.16,1234.16,,,,29056.693,403480.7,403480.7
2005-08-01,78.711,1093.1,1093.1,,,,28780.207000000002,399641.43,399641.43
2005-09-01,43.797000000000004,608.23,608.23,,,,25926.528,360015.29,360015.29
2005-10-01,61.403000000000006,852.74,852.74,,,,24279.067,337138.68,337138.68
2005-11-01,41.347,574.2,574.2,,,,23842.952,331082.79,331082.79
2005-12-01,113.257,1572.87,1572.87,,,,27502.413,381898.0,381898.0
2006-01-01,71.455,1003.0,1003.0,,,,26687.346,374187.0,374187.0
2006-02-01,37.39,525.0,525.0,,,,25416.768,356372.0,356372.0
2006-03-01,31.408,441.0,441.0,,,,25971.234,364146.0,364146.0
2006-04-01,60.163000000000004,844.0,844.0,,,,22095.737,309808.0,309808.0
2006-05-01,56.238,789.0,789.0,,,,23613.269,331085.0,331085.0
2006-06-01,51.116,717.0,717.0,,,,25581.433,358681.0,358681.0
2006-07-01,74.043,1039.0,1039.0,,,,29098.834000000003,407999.0,407999.0
2006-08-01,71.821,1008.0,1008.0,,,,29308.798000000003,410943.0,410943.0
2006-09-01,32.996,463.0,463.0,,,,24352.074,341444.0,341444.0
2006-10-01,34.854,489.0,489.0,,,,25188.385000000002,353170.0,353170.0
2006-11-01,41.042,576.0,576.0,,,,24905.183,349199.0,349199.0
2006-12-01,45.475,638.0,638.0,,,,26961.938000000002,378037.0,378037.0
2007-01-01,0.0,0.0,0.0,,,,27525.0,384294.0,384294.0
2007-02-01,0.0,0.0,0.0,,,,25551.0,354636.0,354636.0
2007-03-01,0.0,0.0,0.0,,,,28275.0,394794.0,394794.0
2007-04-01,23.621000000000002,323.0,323.0,,,,27208.379,371889.0,371889.0
2007-05-01,8.006,112.0,112.0,,,,27936.994,390256.0,390256.0
2007-06-01,0.0,0.0,0.0,,,,23367.0,334698.0,334698.0
2007-07-01,0.793,12.0,12.0,,,,23801.207000000002,353469.0,353469.0
2007-08-01,245.54700000000003,6198.0,6198.0,,,,10087.453,254622.0,254622.0
2007-09-01,0.0,0.0,0.0,,,,26239.0,357413.0,357413.0
2007-10-01,0.0,0.0,0.0,,,,28298.0,416989.0,416989.0
2007-11-01,0.0,0.0,0.0,,,,27443.0,387763.0,387763.0
2007-12-01,1.2530000000000001,18.0,18.0,0.0,0.0,0.0,27638.747,389441.0,389441.0
2008-01-01,22.632,312.0,312.0,0.0,0.0,0.0,27092.368000000002,373372.0,373372.0
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,26215.0,355659.0,355659.0
2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0,28289.0,386194.0,386194.0
2008-04-01,204.05700000000002,2818.0,2818.0,0.0,0.0,0.0,22388.943,309145.0,309145.0
2008-05-01,26.375,377.0,377.0,0.0,0.0,0.0,27422.625,391673.0,391673.0
2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0,26776.0,368458.0,368458.0
2008-07-01,86.56,1313.0,1313.0,0.0,0.0,0.0,21735.44,329591.0,329591.0
2008-08-01,15.182,230.0,230.0,0.0,0.0,0.0,6514.818,98505.0,98505.0
2008-09-01,207.114,2708.0,2708.0,0.0,0.0,0.0,23147.886,302608.0,302608.0
2008-10-01,11.226,153.0,153.0,0.0,0.0,0.0,28144.774,383688.0,383688.0
2008-11-01,1.729,24.0,24.0,0.0,0.0,0.0,27489.271,374430.0,374430.0
2008-12-01,70.602,977.0,977.0,0.0,0.0,0.0,27443.398,379797.0,379797.0
2009-01-01,124.796,1728.0,1728.0,0.0,0.0,0.0,27409.204,379549.0,379549.0
2009-02-01,163.205,2306.0,2306.0,0.0,0.0,0.0,20954.795,296095.0,296095.0
2009-03-01,99.283,1445.0,1445.0,0.0,0.0,0.0,23390.717,340440.0,340440.0
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,24679.0,350469.0,350469.0
2009-05-01,25.06,347.0,347.0,0.0,0.0,0.0,27175.94,376592.0,376592.0
2009-06-01,9.299000000000001,129.0,129.0,0.0,0.0,0.0,26260.701,362965.0,362965.0
2009-07-01,0.0,0.0,0.0,0.0,0.0,0.0,26895.0,370923.0,370923.0
2009-08-01,0.0,0.0,0.0,0.0,0.0,0.0,27325.0,382768.0,382768.0
2009-09-01,131.398,1831.0,1831.0,0.0,0.0,0.0,23638.602,329316.0,329316.0
2009-10-01,20.982,288.0,288.0,0.0,0.0,0.0,25581.018,351630.0,351630.0
2009-11-01,233.632,3561.0,3561.0,0.0,0.0,0.0,4733.368,72146.0,72146.0
2009-12-01,228.953,3367.0,3367.0,0.0,0.0,0.0,27526.047,404775.0,404775.0
2010-01-01,18.322,257.0,257.0,0.0,0.0,0.0,27914.678,392157.0,392157.0
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,25624.0,356022.0,356022.0
2010-03-01,1.661,23.0,23.0,0.0,0.0,0.0,28513.339,401638.0,401638.0
2010-04-01,5.117,70.0,70.0,0.0,0.0,0.0,26887.883,368845.0,368845.0
2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,28473.0,388676.0,388676.0
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,27238.0,381119.0,381119.0
2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0,27196.0,381825.0,381825.0
2010-08-01,0.0,0.0,0.0,0.0,0.0,0.0,27171.0,379778.0,379778.0
2010-09-01,0.0,0.0,0.0,0.0,0.0,0.0,27232.0,370614.0,370614.0
2010-10-01,0.0,0.0,0.0,0.0,0.0,0.0,28381.0,398599.0,398599.0
2010-11-01,0.0,0.0,0.0,0.0,0.0,0.0,27544.0,383119.0,383119.0
2010-12-01,0.0,0.0,0.0,0.0,0.0,0.0,28596.0,399077.0,399077.0
2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0,28251.0,399660.0,399660.0
2011-02-01,0.0,0.0,0.0,0.0,0.0,0.0,25421.0,353147.0,353147.0
2011-03-01,166.088,2340.0,2340.0,0.0,0.0,0.0,14865.912,209445.0,209445.0
2011-04-01,60.422,825.0,825.0,0.0,0.0,0.0,26683.578,364268.0,364268.0
2011-05-01,426.655,5762.0,5762.0,0.0,0.0,0.0,23332.345,315119.0,315119.0
2011-06-01,0.0,0.0,0.0,0.0,0.0,0.0,19452.0,278851.0,278851.0
2011-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-01,499.855,7043.0,7043.0,0.0,0.0,0.0,9170.145,129216.0,129216.0
2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,27463.0,370262.0,370262.0
2011-10-01,0.0,0.0,0.0,0.0,0.0,0.0,28847.0,394755.0,394755.0
2011-11-01,0.0,0.0,0.0,0.0,0.0,0.0,27914.0,377630.0,377630.0
2011-12-01,137.171,1907.0,1907.0,0.0,0.0,0.0,28067.829,390231.0,390231.0
2012-01-01,95.532,1287.0,1287.0,0.0,0.0,0.0,26208.468,353080.0,353080.0
2012-02-01,0.0,0.0,0.0,0.0,0.0,0.0,26952.0,375566.0,375566.0
2012-03-01,163.563,2223.0,2223.0,0.0,0.0,0.0,25876.437,351688.0,351688.0
2012-04-01,0.0,0.0,0.0,0.0,0.0,0.0,27696.0,369146.0,369146.0
2012-05-01,0.0,0.0,0.0,0.0,0.0,0.0,28608.0,374813.0,374813.0
2012-06-01,3.454,47.0,47.0,0.0,0.0,0.0,25652.546,347579.0,347579.0
2012-07-01,0.0,0.0,0.0,0.0,0.0,0.0,10176.0,142467.0,142467.0
2012-08-01,163.889,2369.0,2369.0,0.0,0.0,0.0,21004.111,303645.0,303645.0
2012-09-01,0.0,0.0,0.0,0.0,0.0,0.0,27024.0,375768.0,375768.0
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,28848.0,395849.0,395849.0
2012-11-01,94.275,1310.0,1310.0,0.0,0.0,0.0,24433.725,339623.0,339623.0
2012-12-01,0.826,12.0,12.0,0.0,0.0,0.0,28607.174,405031.0,405031.0
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,28575.0,402801.0,402801.0
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0,25984.0,362360.0,362360.0
2013-03-01,137.205,1919.0,1919.0,0.0,0.0,0.0,28016.795,391813.0,391813.0
2013-04-01,0.0,0.0,0.0,0.0,0.0,0.0,27912.0,384499.0,384499.0
2013-05-01,21.883,298.0,298.0,0.0,0.0,0.0,28335.117,386323.0,386323.0
2013-06-01,285.309,4001.0,4001.0,0.0,0.0,0.0,25779.691,361555.0,361555.0
2013-07-01,4.26,59.0,59.0,0.0,0.0,0.0,27000.74,370748.0,370748.0
2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0,27042.0,380468.0,380468.0
2013-09-01,102.629,1427.0,1427.0,0.0,0.0,0.0,21998.371,305961.0,305961.0
2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0,28986.0,394267.0,394267.0
2013-11-01,0.0,0.0,0.0,0.0,0.0,0.0,27917.0,387009.0,387009.0
2013-12-01,0.0,0.0,0.0,0.0,0.0,0.0,28319.0,396764.0,396764.0
2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,28392.0,391634.0,391634.0
2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0,25584.0,357429.0,357429.0
2014-03-01,59.418,825.0,825.0,0.0,0.0,0.0,12804.582,177700.0,177700.0
2014-04-01,257.443,3633.0,3633.0,0.0,0.0,0.0,20502.557,289345.0,289345.0
2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,28440.0,394260.0,394260.0
2014-06-01,0.0,0.0,0.0,0.0,0.0,0.0,27624.0,385746.0,385746.0
2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,27048.0,386347.0,386347.0
2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0,27528.0,399624.0,399624.0
2014-09-01,75.494,1054.0,1054.0,0.0,0.0,0.0,26924.506,375904.0,375904.0
2014-10-01,0.0,0.0,0.0,0.0,0.0,0.0,28440.0,394581.0,394581.0
2014-11-01,0.0,0.0,0.0,0.0,0.0,0.0,27384.0,390912.0,390912.0
2014-12-01,0.0,0.0,0.0,0.0,0.0,0.0,28416.0,399487.0,399487.0
2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,28218.0,388258.0,388258.0
2015-02-01,0.0,0.0,0.0,0.0,0.0,0.0,25566.0,338144.0,338144.0
2015-03-01,99.945,1369.0,1369.0,0.0,0.0,0.0,25998.055,356144.0,356144.0
2015-04-01,0.0,0.0,0.0,0.0,0.0,0.0,27777.0,370512.0,370512.0
2015-05-01,0.0,0.0,0.0,0.0,0.0,0.0,28442.0,391015.0,391015.0
2015-06-01,0.0,0.0,0.0,0.0,0.0,0.0,25087.0,359703.0,359703.0
2015-07-01,0.0,0.0,0.0,0.0,0.0,0.0,15017.0,205674.0,205674.0
2015-08-01,145.112,1937.0,1937.0,0.0,0.0,0.0,25724.888,343328.0,343328.0
2015-09-01,0.0,0.0,0.0,0.0,0.0,0.0,26882.0,371070.0,371070.0
2015-10-01,0.0,0.0,0.0,0.0,0.0,0.0,28540.0,376368.0,376368.0
2015-11-01,0.0,0.0,0.0,0.0,0.0,0.0,27810.0,366112.0,366112.0
2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,28407.0,393232.0,393232.0
2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,28325.0,410035.0,410035.0
2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0,26757.0,381397.0,381397.0
2016-03-01,0.0,0.0,0.0,0.0,0.0,0.0,28723.0,405239.0,405239.0
2016-04-01,0.0,0.0,0.0,0.0,0.0,0.0,27802.0,391369.0,391369.0
2016-05-01,0.0,0.0,0.0,0.0,0.0,0.0,28248.0,399860.0,399860.0
2016-06-01,0.0,0.0,0.0,0.0,0.0,0.0,25901.0,362820.0,362820.0
2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0,26854.0,381090.0,381090.0
2016-08-01,133.056,1937.0,1937.0,0.0,0.0,0.0,26829.944,390519.0,390519.0
2016-09-01,0.0,0.0,0.0,0.0,0.0,0.0,10598.0,147910.0,147910.0
2016-10-01,0.0,0.0,0.0,0.0,0.0,0.0,28282.0,389774.0,389774.0
2016-11-01,0.0,0.0,0.0,0.0,0.0,0.0,27242.0,386015.0,386015.0
2016-12-01,0.0,0.0,0.0,0.0,0.0,0.0,27318.0,401491.0,401491.0
2017-01-01,0.0,0.0,0.0,0.0,0.0,0.0,27098.0,397004.0,397004.0
2017-02-01,11.536,165.0,165.0,0.0,0.0,0.0,19086.464,272359.0,272359.0
2017-03-01,0.0,0.0,0.0,0.0,0.0,0.0,28415.0,407309.0,407309.0
2017-04-01,0.0,0.0,0.0,0.0,0.0,0.0,27650.0,385307.0,385307.0
2017-05-01,104.723,1452.0,1452.0,0.0,0.0,0.0,25581.277,354716.0,354716.0
2017-06-01,111.98,1493.0,1493.0,0.0,0.0,0.0,23619.02,314962.0,314962.0
2017-07-01,114.017,1681.0,1681.0,0.0,0.0,0.0,15281.983,225361.0,225361.0
2017-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-01,153.07,2205.0,2205.0,0.0,0.0,0.0,22696.93,326898.0,326898.0
2018-01-01,0.0,0.0,0.0,0.0,0.0,0.0,28569.0,397255.0,397255.0
2018-02-01,280.904,4091.0,4091.0,0.0,0.0,0.0,16655.096,242566.0,242566.0
2018-03-01,8.283,112.0,112.0,0.0,0.0,0.0,28705.717,389299.0,389299.0
2018-04-01,0.0,0.0,0.0,0.0,0.0,0.0,28084.0,377632.0,377632.0
2018-05-01,18.438,248.0,248.0,0.0,0.0,0.0,28831.562,388269.0,388269.0
2018-06-01,0.0,0.0,0.0,0.0,0.0,0.0,27647.0,374918.0,374918.0
2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,27890.0,388793.0,388793.0
2018-08-01,0.0,0.0,0.0,0.0,0.0,0.0,27836.0,388965.0,388965.0
2018-09-01,0.0,0.0,0.0,0.0,0.0,0.0,27741.0,381725.0,381725.0
2018-10-01,0.0,0.0,0.0,0.0,0.0,0.0,28899.0,397121.0,397121.0
2018-11-01,0.0,0.0,0.0,0.0,0.0,0.0,27935.0,380520.0,380520.0
2018-12-01,0.0,0.0,0.0,0.0,0.0,0.0,28451.0,394790.0,394790.0
2019-01-01,0.0,0.0,0.0,0.0,0.0,0.0,28338.0,386041.0,386041.0
2019-02-01,157.351,2205.0,2205.0,0.0,0.0,0.0,18735.649,262569.0,262569.0
2019-03-01,30.339,414.0,414.0,0.0,0.0,0.0,28371.661,386998.0,386998.0
2019-04-01,0.0,0.0,0.0,0.0,0.0,0.0,27785.0,375038.0,375038.0
2019-05-01,0.0,0.0,0.0,0.0,0.0,0.0,27102.0,360445.0,360445.0
2019-06-01,100.77,1472.0,1472.0,0.0,0.0,0.0,20632.23,301403.0,301403.0
2019-07-01,64.876,910.0,910.0,0.0,0.0,0.0,10645.124,149389.0,149389.0
2019-08-01,0.0,0.0,0.0,0.0,0.0,0.0,26863.0,371358.0,371358.0
2019-09-01,68.701,970.0,970.0,0.0,0.0,0.0,27084.299,382236.0,382236.0
2019-10-01,0.0,0.0,0.0,0.0,0.0,0.0,28594.0,394808.0,394808.0
2019-11-01,0.411,6.0,6.0,0.0,0.0,0.0,27581.589,397080.0,397080.0
2019-12-01,0.0,0.0,0.0,0.0,0.0,0.0,28893.0,420345.0,420345.0
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,28793.0,416039.0,416039.0
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,26710.0,386242.0,386242.0
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,28801.0,407724.0,407724.0
2020-04-01,38.352,544.0,544.0,0.0,0.0,0.0,27140.648,384906.0,384906.0
2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0,28659.0,395704.0,395704.0
2020-06-01,86.218,1212.0,1212.0,0.0,0.0,0.0,17633.782,247878.0,247878.0
2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,27377.0,387248.0,387248.0
2020-08-01,0.0,0.0,0.0,0.0,0.0,0.0,27112.0,384768.0,384768.0
2020-09-01,0.0,0.0,0.0,0.0,0.0,0.0,13232.0,183670.0,183670.0
2020-10-01,105.26,1584.0,1584.0,0.0,0.0,0.0,15832.74,238320.0,238320.0
2020-11-01,75.662,1212.0,1212.0,0.0,0.0,0.0,2732.338,43767.0,43767.0
2020-12-01,91.369,1182.0,1182.0,0.0,0.0,0.0,27739.631,358975.0,358975.0
2021-01-01,21.696,278.0,278.0,0.0,0.0,0.0,28417.304,363938.0,363938.0
2021-02-01,0.0,0.0,0.0,0.0,0.0,0.0,25058.0,335089.0,335089.0
2021-03-01,25.192,319.0,319.0,0.0,0.0,0.0,28376.808,359610.0,359610.0
2021-04-01,0.0,0.0,0.0,0.0,0.0,0.0,27948.0,353042.0,353042.0
2021-05-01,0.0,0.0,0.0,0.0,0.0,0.0,28837.0,372887.0,372887.0
2021-06-01,0.0,0.0,0.0,0.0,0.0,0.0,26093.0,339043.0,339043.0
2021-07-01,10.443,154.0,154.0,0.0,0.0,0.0,24125.557,355095.0,355095.0
2021-08-01,14.001,201.0,201.0,0.0,0.0,0.0,25640.999,368129.0,368129.0
2021-09-01,0.0,0.0,0.0,0.0,0.0,0.0,26870.0,381799.0,381799.0
2021-10-01,45.943,656.0,656.0,0.0,0.0,0.0,26045.057,372014.0,372014.0
2021-11-01,141.177,1945.0,1945.0,0.0,0.0,0.0,25763.823,354959.0,354959.0
2021-12-01,0.0,0.0,0.0,0.0,0.0,0.0,28566.0,399731.0,399731.0
2022-01-01,0.0,0.0,0.0,0.0,0.0,0.0,28397.0,400886.0,400886.0
2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0,24156.0,343419.0,343419.0
2022-03-01,93.239,1277.0,1277.0,0.0,0.0,0.0,26502.761,362979.0,362979.0
2022-04-01,6.456,89.0,89.0,0.0,0.0,0.0,28040.544,385141.0,385141.0
2022-05-01,138.792,1886.0,1886.0,0.0,0.0,0.0,25302.208,343810.0,343810.0
2022-06-01,137.12,1969.0,1969.0,0.0,0.0,0.0,16601.88,238361.0,238361.0
2022-07-01,3.286,47.0,47.0,0.0,0.0,0.0,25552.714,367730.0,367730.0
2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,25629.0,374084.0,374084.0
2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,6472.0,234427.0,234427.0
2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0,28986.0,396221.0,396221.0
2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,27650.0,385358.0,385358.0
2022-12-01,0.0,0.0,0.0,0.0,0.0,0.0,28078.0,403787.0,403787.0
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,28190.0,398213.0,398213.0
2023-02-01,0.0,0.0,0.0,0.0,0.0,0.0,25508.0,357172.0,357172.0
2023-03-01,0.424,6.0,6.0,0.0,0.0,0.0,28514.576,397578.0,397578.0
2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0,27900.0,379907.0,379907.0
2023-05-01,139.052,2046.0,2046.0,0.0,0.0,0.0,5242.948,77127.0,77127.0
2023-06-01,0.0,0.0,0.0,0.0,0.0,0.0,27533.0,377785.0,377785.0
2023-07-01,0.0,0.0,0.0,0.0,0.0,0.0,27173.0,371469.0,371469.0
2023-08-01,0.0,0.0,0.0,0.0,0.0,0.0,27336.0,372581.0,372581.0
2023-09-01,0.0,0.0,0.0,0.0,0.0,0.0,27198.0,370976.0,370976.0
2023-10-01,11.63,160.0,160.0,0.0,0.0,0.0,28284.37,388214.0,388214.0
2023-11-01,0.0,0.0,0.0,0.0,0.0,0.0,27871.0,388114.0,388114.0
2023-12-01,174.116,2530.0,2530.0,0.0,0.0,0.0,25090.884,364634.0,364634.0
2024-01-01,4.046,59.0,59.0,0.0,0.0,0.0,26725.954,386434.0,386434.0
2024-02-01,0.0,0.0,0.0,0.0,0.0,0.0,26565.0,367670.0,367670.0
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,25726.0,361868.0,361868.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,287.399,3978.0,3978.0,0.0,0.0,0.0,26770.601,370542.0,370542.0
2024-06-01,0.0,0.0,0.0,0.0,0.0,0.0,27630.0,380958.0,380958.0
2024-07-01,0.0,0.0,0.0,0.0,0.0,0.0,27103.0,381441.0,381441.0
2024-08-01,0.0,0.0,0.0,0.0,0.0,0.0,27976.0,388410.0,388410.0
2024-09-01,0.0,0.0,0.0,0.0,0.0,0.0,26668.0,371842.0,371842.0
2024-10-01,0.0,0.0,0.0,0.0,0.0,0.0,24458.0,351374.0,351374.0
2024-11-01,0.0,0.0,0.0,0.0,0.0,0.0,26240.0,373025.0,373025.0
2024-12-01,151.811,2106.0,2106.0,0.0,0.0,0.0,21213.189,294281.0,294281.0
