measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2009-12-01,1743.866,7953.0,99398.0,155.622,710.0,8869.0,40.052,183.0,2286.0,,,,1968.162,8976.0,112170.0
2010-01-01,1634.256,7453.0,95810.0,36.160000000000004,165.0,2122.0,45.109,206.0,2646.0,,,,1958.53,8932.0,114870.0
2010-02-01,1467.248,6691.0,86060.0,20.805,95.0,1220.0,48.43,221.0,2844.0,,,,1849.409,8434.0,108460.0
2010-03-01,1474.7830000000001,6726.0,86502.0,20.202,92.0,1185.0,61.115,279.0,3582.0,,,,1777.33,8105.0,104240.0
2010-04-01,1352.615,6169.0,79326.0,24.696,113.0,1448.0,62.138000000000005,283.0,3645.0,,,,1693.0900000000001,7721.0,99290.0
2010-05-01,1357.8490000000002,6192.0,79638.0,47.375,216.0,2778.0,57.195,261.0,3357.0,,,,1983.565,9046.0,116330.0
2010-06-01,1604.853,7319.0,94120.0,64.85300000000001,296.0,3803.0,48.499,221.0,2844.0,,,,1872.0420000000001,8537.0,109790.0
2010-07-01,1763.4840000000002,8042.0,103428.0,94.318,430.0,5531.0,43.365,198.0,2547.0,,,,2016.4460000000001,9196.0,118260.0
2010-08-01,1797.324,8197.0,105404.0,91.236,416.0,5351.0,46.184000000000005,211.0,2709.0,,,,1893.337,8635.0,111040.0
2010-09-01,1520.957,6936.0,89206.0,29.025000000000002,132.0,1702.0,49.76,227.0,2916.0,,,,1595.643,7277.0,93580.0
2010-10-01,1489.306,6792.0,87334.0,34.663000000000004,158.0,2033.0,34.89,159.0,2043.0,,,,1712.8310000000001,7811.0,100450.0
2010-11-01,1388.0430000000001,6330.0,81406.0,30.39,139.0,1782.0,26.402,120.0,1548.0,,,,1850.101,8437.0,108500.0
2010-12-01,1363.51,6218.0,79976.0,55.205000000000005,252.0,3238.0,33.207,151.0,1944.0,,,,1958.226,8930.0,114840.0
2011-01-01,1567.643,7149.0,76856.0,343.629,1567.0,16845.0,45.881,209.0,2250.0,,,,1323.374,6035.0,64870.0
2011-02-01,1325.439,6045.0,64974.0,242.159,1104.0,11871.0,39.912,182.0,1953.0,,,,1183.664,5398.0,58030.0
2011-03-01,1397.011,6371.0,68484.0,277.354,1265.0,13597.0,40.36,184.0,1980.0,,,,1201.29,5478.0,58890.0
2011-04-01,1378.548,6287.0,67574.0,193.991,885.0,9510.0,44.481,203.0,2178.0,,,,1079.435,4923.0,52920.0
2011-05-01,1433.004,6535.0,70252.0,257.437,1174.0,12620.0,54.775,250.0,2682.0,,,,1103.559,5033.0,54100.0
2011-06-01,1661.993,7579.0,81484.0,272.197,1241.0,13344.0,57.216,261.0,2808.0,,,,1194.426,5447.0,58550.0
2011-07-01,1784.659,8139.0,87490.0,670.831,3059.0,32886.0,50.562,231.0,2475.0,,,,1394.181,6358.0,68350.0
2011-08-01,1715.557,7824.0,84110.0,437.585,1996.0,21452.0,58.738,268.0,2880.0,,,,1321.051,6025.0,64760.0
2011-09-01,1553.017,7083.0,76128.0,159.285,726.0,7809.0,50.442,230.0,2475.0,,,,1093.258,4986.0,53590.0
2011-10-01,1422.647,6488.0,69732.0,217.004,990.0,10638.0,51.713,236.0,2538.0,,,,1253.017,5714.0,61430.0
2011-11-01,1302.269,5939.0,63830.0,299.878,1368.0,14701.0,58.876,269.0,2889.0,,,,1163.923,5308.0,57060.0
2011-12-01,1351.154,6162.0,66248.0,368.033,1678.0,18042.0,49.58,226.0,2430.0,,,,1216.962,5550.0,59660.0
2012-01-01,1043.511,4759.0,50414.0,992.091,4524.0,47936.0,16.821,77.0,810.0,,,,1080.623,4928.0,52210.0
2012-02-01,950.835,4336.0,45942.0,1033.186,4712.0,49921.0,16.721,76.0,810.0,,,,972.945,4437.0,47010.0
2012-03-01,944.627,4308.0,45630.0,1146.744,5230.0,55408.0,17.69,81.0,855.0,,,,881.132,4018.0,42570.0
2012-04-01,903.571,4121.0,43654.0,1453.088,6627.0,70210.0,20.5,93.0,990.0,,,,860.105,3922.0,41560.0
2012-05-01,1050.749,4792.0,50778.0,1378.177,6285.0,66591.0,21.136,96.0,1017.0,,,,1059.885,4834.0,51210.0
2012-06-01,1099.765,5015.0,53144.0,1442.61,6579.0,69704.0,19.283,88.0,936.0,,,,1078.826,4920.0,52130.0
2012-07-01,1353.175,6171.0,65390.0,1983.489,9046.0,95838.0,24.962,114.0,1206.0,,,,1153.553,5261.0,55740.0
2012-08-01,1337.562,6100.0,64636.0,1067.544,4869.0,51582.0,24.258,111.0,1170.0,,,,1062.255,4844.0,51330.0
2012-09-01,1073.062,4894.0,51844.0,736.223,3358.0,35573.0,20.288,93.0,981.0,,,,958.599,4372.0,46320.0
2012-10-01,1016.563,4636.0,49114.0,562.419,2565.0,27175.0,24.887,113.0,1206.0,,,,955.474,4357.0,46170.0
2012-11-01,1106.857,5048.0,53482.0,566.602,2584.0,27377.0,18.903,86.0,909.0,,,,1088.901,4966.0,52610.0
2012-12-01,1152.557,5256.0,55692.0,367.711,1677.0,17767.0,19.864,91.0,963.0,,,,998.671,4554.0,48250.0
2013-01-01,1474.295,6723.0,56550.0,1261.728,5754.0,48382.0,18.624,85.0,702.0,,,,1009.666,4605.0,38720.0
2013-02-01,1429.171,6518.0,54808.0,1087.568,4960.0,41703.0,17.158,78.0,657.0,,,,869.86,3967.0,33350.0
2013-03-01,1314.024,5993.0,50388.0,1761.302,8032.0,67537.0,27.211,124.0,1044.0,,,,980.804,4473.0,37610.0
2013-04-01,1119.444,5105.0,42926.0,1817.572,8289.0,69695.0,31.137,142.0,1197.0,,,,945.4,4311.0,36250.0
2013-05-01,1275.062,5815.0,48880.0,2242.132,10225.0,85975.0,30.334,138.0,1161.0,,,,973.94,4442.0,37350.0
2013-06-01,1470.228,6705.0,56368.0,1613.48,7358.0,61869.0,30.224,138.0,1161.0,,,,1002.565,4572.0,38440.0
2013-07-01,1604.426,7317.0,61516.0,2299.523,10487.0,88175.0,23.355,107.0,900.0,,,,1114.696,5084.0,42740.0
2013-08-01,1606.67,7327.0,61620.0,2024.39,9232.0,77625.0,27.403,125.0,1053.0,,,,1001.73,4568.0,38410.0
2013-09-01,1426.719,6507.0,54704.0,1215.097,5541.0,46593.0,28.691,131.0,1098.0,,,,978.719,4463.0,37530.0
2013-10-01,1371.628,6255.0,52598.0,1346.003,6138.0,51613.0,27.379,125.0,1053.0,,,,1023.17,4666.0,39230.0
2013-11-01,1397.092,6371.0,53560.0,1310.704,5977.0,50259.0,22.931,105.0,882.0,,,,906.119,4132.0,34750.0
2013-12-01,1514.773,6908.0,58084.0,1542.609,7035.0,59151.0,24.667,112.0,945.0,,,,1006.577,4590.0,38600.0
2014-01-01,1853.217,8452.0,71994.0,1971.444,8991.0,76565.0,0.0,0.0,0.0,,,,1098.575,5010.0,42650.0
2014-02-01,1665.425,7595.0,64688.0,1844.845,8413.0,71649.0,0.0,0.0,0.0,,,,1039.359,4740.0,40370.0
2014-03-01,1798.401,8202.0,69836.0,1426.263,6504.0,55392.0,0.0,0.0,0.0,,,,1099.345,5014.0,42700.0
2014-04-01,1199.567,5471.0,46592.0,1326.122,6048.0,51503.0,0.0,0.0,0.0,,,,765.781,3492.0,29740.0
2014-05-01,1427.112,6508.0,55432.0,1388.68,6333.0,53933.0,0.0,0.0,0.0,,,,1069.794,4879.0,41550.0
2014-06-01,1697.12,7740.0,65910.0,1442.002,6576.0,56004.0,0.0,0.0,0.0,,,,1045.58,4768.0,40610.0
2014-07-01,1932.308,8812.0,75036.0,919.905,4195.0,35727.0,0.0,0.0,0.0,,,,1027.827,4687.0,39920.0
2014-08-01,1996.902,9107.0,77558.0,1506.861,6872.0,58523.0,0.0,0.0,0.0,,,,1028.439,4690.0,39940.0
2014-09-01,1575.554,7185.0,61178.0,1228.829,5604.0,47725.0,0.0,0.0,0.0,,,,933.807,4259.0,36270.0
2014-10-01,1480.871,6753.0,57512.0,1360.376,6204.0,52833.0,0.0,0.0,0.0,,,,983.491,4485.0,38200.0
2014-11-01,1473.643,6721.0,57226.0,1111.608,5069.0,43172.0,0.0,0.0,0.0,,,,1034.343,4717.0,40170.0
2014-12-01,1488.882,6790.0,57824.0,1500.052,6841.0,58258.0,0.0,0.0,0.0,,,,1053.67,4805.0,40920.0
2015-01-01,1161.372,5296.0,51246.0,1703.33,7768.0,75149.0,,,,,,,828.527,3778.0,36560.0
2015-02-01,1170.631,5339.0,51636.0,1762.276,8037.0,77751.0,,,,,,,821.364,3746.0,36240.0
2015-03-01,1160.323,5292.0,51194.0,1722.19,7854.0,75982.0,,,,,,,752.202,3430.0,33190.0
2015-04-01,1121.354,5114.0,49478.0,1263.141,5761.0,55729.0,,,,,,,644.881,2941.0,28450.0
2015-05-01,1149.994,5245.0,50726.0,1450.511,6615.0,63996.0,,,,,,,669.205,3052.0,29520.0
2015-06-01,1224.336,5584.0,54028.0,1653.537,7541.0,72953.0,,,,,,,622.278,2838.0,27450.0
2015-07-01,1376.046,6275.0,60710.0,2004.803,9143.0,88451.0,,,,,,,771.824,3520.0,34050.0
2015-08-01,1354.788,6178.0,59774.0,1697.81,7743.0,74906.0,,,,,,,807.571,3683.0,35630.0
2015-09-01,1195.032,5450.0,52728.0,1680.643,7665.0,74149.0,,,,,,,737.041,3361.0,32520.0
2015-10-01,1106.727,5047.0,48828.0,1898.662,8659.0,83768.0,,,,,,,716.985,3270.0,31630.0
2015-11-01,1131.671,5161.0,49920.0,1747.564,7970.0,77101.0,,,,,,,677.722,3091.0,29900.0
2015-12-01,1081.92,4934.0,47736.0,2054.779,9371.0,90656.0,,,,,,,722.96,3297.0,31900.0
2016-01-01,0.0,0.0,0.0,1342.827,5266.0,11069.0,,,,,,,2167.37,8500.0,17865.0
2016-02-01,0.0,0.0,0.0,1359.265,5331.0,11206.0,,,,,,,2039.538,7999.0,16815.0
2016-03-01,0.0,0.0,0.0,1547.065,6067.0,12754.0,,,,,,,2377.687,9325.0,19605.0
2016-04-01,0.0,0.0,0.0,1776.985,6969.0,14649.0,,,,,,,1984.887,7784.0,16365.0
2016-05-01,0.0,0.0,0.0,1829.73,7176.0,15084.0,,,,,,,2161.212,8476.0,17820.0
2016-06-01,0.0,0.0,0.0,1740.57,6826.0,14350.0,,,,,,,2101.694,8243.0,17325.0
2016-07-01,0.0,0.0,0.0,1959.491,7685.0,16155.0,,,,,,,2587.738,10149.0,21330.0
2016-08-01,0.0,0.0,0.0,2340.3,9178.0,19294.0,,,,,,,2583.177,10131.0,21293.0
2016-09-01,0.0,0.0,0.0,1400.601,5493.0,11547.0,,,,,,,2218.284,8700.0,18285.0
2016-10-01,0.0,0.0,0.0,1354.522,5312.0,11167.0,,,,,,,2193.12,8601.0,18083.0
2016-11-01,0.0,0.0,0.0,1404.734,5509.0,11581.0,,,,,,,2230.219,8747.0,18390.0
2016-12-01,0.0,0.0,0.0,1256.234,4927.0,10356.0,,,,,,,2580.75,10121.0,21278.0
2017-01-01,0.0,0.0,0.0,1689.877,6627.0,14425.0,,,,,,,2267.218,8892.0,19365.0
2017-02-01,0.0,0.0,0.0,1379.158,5409.0,11773.0,,,,,,,1790.438,7022.0,15285.0
2017-03-01,0.0,0.0,0.0,2181.441,8555.0,18621.0,,,,,,,2177.369,8539.0,18585.0
2017-04-01,0.0,0.0,0.0,1553.863,6094.0,13264.0,,,,,,,2088.711,8192.0,17828.0
2017-05-01,0.0,0.0,0.0,1816.024,7122.0,15501.0,,,,,,,2281.88,8949.0,19478.0
2017-06-01,0.0,0.0,0.0,2036.465,7987.0,17383.0,,,,,,,2143.894,8408.0,18300.0
2017-07-01,0.0,0.0,0.0,2427.076,9519.0,20717.0,,,,,,,2435.084,9550.0,20783.0
2017-08-01,0.0,0.0,0.0,2164.05,8487.0,18472.0,,,,,,,2338.225,9170.0,19958.0
2017-09-01,0.0,0.0,0.0,1903.87,7467.0,16251.0,,,,,,,2161.879,8479.0,18450.0
2017-10-01,0.0,0.0,0.0,2090.841,8200.0,17847.0,,,,,,,2127.581,8344.0,18158.0
2017-11-01,0.0,0.0,0.0,1767.433,6932.0,15086.0,,,,,,,2293.566,8995.0,19575.0
2017-12-01,0.0,0.0,0.0,2197.098,8617.0,18754.0,,,,,,,2378.959,9330.0,20310.0
2018-01-01,0.0,0.0,0.0,1711.676,6713.0,16305.0,,,,,,,2373.649,9309.0,22613.0
