measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0,29833.0,425344.0,425344.0
2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0,30923.0,439454.0,439454.0
2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,31690.0,442664.0,442664.0
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,30779.0,457731.0,457731.0
2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0,31818.0,478234.0,478234.0
2010-08-01,0.0,0.0,0.0,0.0,0.0,0.0,31714.0,464609.0,464609.0
2010-09-01,0.0,0.0,0.0,0.0,0.0,0.0,26489.0,366975.0,366975.0
2010-10-01,0.0,0.0,0.0,0.0,0.0,0.0,22421.0,322075.0,322075.0
2010-11-01,0.0,0.0,0.0,0.0,0.0,0.0,29416.0,433900.0,433900.0
2010-12-01,0.0,0.0,0.0,0.0,0.0,0.0,27860.0,401310.0,401310.0
2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0,31588.0,481638.0,481638.0
2011-02-01,0.0,0.0,0.0,0.0,0.0,0.0,28801.0,440014.0,440014.0
2011-03-01,0.0,0.0,0.0,0.0,0.0,0.0,31449.0,486739.0,486739.0
2011-04-01,0.0,0.0,0.0,0.0,0.0,0.0,26858.0,440885.0,440885.0
2011-05-01,0.0,0.0,0.0,0.0,0.0,0.0,31917.0,474700.0,474700.0
2011-06-01,0.0,0.0,0.0,0.0,0.0,0.0,30982.0,453674.0,453674.0
2011-07-01,0.0,0.0,0.0,0.0,0.0,0.0,31900.0,455279.0,455279.0
2011-08-01,0.0,0.0,0.0,0.0,0.0,0.0,31754.0,455364.0,455364.0
2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,30797.0,448243.0,448243.0
2011-10-01,0.0,0.0,0.0,0.0,0.0,0.0,31939.0,463599.0,463599.0
2011-11-01,0.0,0.0,0.0,0.0,0.0,0.0,29200.0,444876.0,444876.0
2011-12-01,0.0,0.0,0.0,0.0,0.0,0.0,31238.0,462152.0,462152.0
2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,31189.0,440343.0,440343.0
2012-02-01,0.0,0.0,0.0,0.0,0.0,0.0,28759.0,418178.0,418178.0
2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,31918.0,457714.0,457714.0
2012-04-01,0.0,0.0,0.0,0.0,0.0,0.0,30942.0,447200.0,447200.0
2012-05-01,0.0,0.0,0.0,0.0,0.0,0.0,14764.0,184376.0,184376.0
2012-06-01,0.0,0.0,0.0,0.0,0.0,0.0,30342.0,437250.0,437250.0
2012-07-01,0.0,0.0,0.0,0.0,0.0,0.0,30883.0,454657.0,454657.0
2012-08-01,0.0,0.0,0.0,0.0,0.0,0.0,32150.0,476135.0,476135.0
2012-09-01,0.0,0.0,0.0,0.0,0.0,0.0,31239.0,461619.0,461619.0
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,32171.0,459484.0,459484.0
2012-11-01,0.0,0.0,0.0,0.0,0.0,0.0,31120.0,450054.0,450054.0
2012-12-01,0.0,0.0,0.0,0.0,0.0,0.0,31959.0,469022.0,469022.0
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,31847.0,466041.0,466041.0
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0,28645.0,436311.0,436311.0
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0,31569.0,449662.0,449662.0
2013-04-01,0.0,0.0,0.0,5557.979,105218.0,105218.0,22756.021,430793.0,430793.0
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0,32027.0,476873.0,476873.0
2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0,31113.0,435684.0,435684.0
2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,31964.0,454906.0,454906.0
2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0,32118.0,438013.0,438013.0
2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0,31211.0,443705.0,443705.0
2013-10-01,0.0,0.0,0.0,6741.132,149552.0,165207.0,9244.868,205098.0,226567.0
2013-11-01,0.0,0.0,0.0,0.0,0.0,0.0,30707.0,442554.0,442554.0
2013-12-01,0.0,0.0,0.0,0.0,0.0,0.0,31736.0,446863.0,446863.0
2014-01-01,0.0,0.0,0.0,7413.847,153514.0,153514.0,18389.153,380774.0,380774.0
2014-02-01,0.0,0.0,0.0,2408.439,42328.0,42328.0,25903.561,455256.0,455256.0
2014-03-01,0.0,0.0,0.0,0.0,0.0,0.0,31505.0,491205.0,491205.0
2014-04-01,0.0,0.0,0.0,1373.625,22504.0,22504.0,28989.375,474931.0,474931.0
2014-05-01,0.0,0.0,0.0,3058.825,52977.0,52977.0,26825.175,464598.0,464598.0
2014-06-01,0.0,0.0,0.0,0.0,0.0,0.0,30622.0,451634.0,451634.0
2014-07-01,0.0,0.0,0.0,2408.007,39527.0,39527.0,28986.993,475816.0,475816.0
2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0,31536.0,463138.0,463138.0
2014-09-01,0.0,0.0,0.0,0.0,0.0,0.0,30552.0,458256.0,458256.0
2014-10-01,0.0,0.0,0.0,0.0,0.0,0.0,31835.0,470798.0,470798.0
2014-11-01,0.0,0.0,0.0,2857.831,43488.0,43488.0,25728.169,391513.0,391513.0
2014-12-01,0.0,0.0,0.0,4205.277,67489.0,67489.0,26450.723,424497.0,424497.0
2015-01-01,0.0,0.0,0.0,709.183,10423.0,10423.0,30854.817,453462.0,453462.0
2015-02-01,0.0,0.0,0.0,166.903,2598.0,2598.0,28489.097,443528.0,443528.0
2015-03-01,0.0,0.0,0.0,4873.696,84958.0,84958.0,23737.304,413789.0,413789.0
2015-04-01,0.0,0.0,0.0,0.0,0.0,0.0,26569.0,352116.0,352116.0
2015-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,0.0,0.0,0.0,0.0,0.0,44724.0,0.0,0.0,0.0
2015-08-01,0.0,0.0,0.0,654.334,9895.0,9895.0,29340.666,443688.0,443688.0
2015-09-01,0.0,0.0,0.0,40.406,557.0,557.0,30492.594,420197.0,420197.0
2015-10-01,0.0,0.0,0.0,0.0,0.0,0.0,31523.0,435133.0,435133.0
2015-11-01,0.0,0.0,0.0,1289.401,19413.0,19413.0,27977.599,421217.0,421217.0
2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,26979.0,383373.0,383373.0
2016-01-01,0.0,0.0,0.0,2935.664,50742.0,50742.0,27006.336,466793.0,466793.0
2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0,26052.0,421673.0,421673.0
2016-03-01,0.0,0.0,0.0,1014.693,16443.0,16443.0,25947.307,420477.0,420477.0
2016-04-01,0.0,0.0,0.0,4427.227,77874.0,77874.0,19733.773,347111.0,347111.0
2016-05-01,0.0,0.0,0.0,2.84,41.0,41.0,28058.16,405237.0,405237.0
2016-06-01,0.0,0.0,0.0,4887.608,78436.0,78436.0,20711.392,332375.0,332375.0
2016-07-01,0.0,0.0,0.0,489.77,6622.0,6622.0,31237.23,422334.0,422334.0
2016-08-01,0.0,0.0,0.0,0.0,0.0,0.0,31730.0,454702.0,454702.0
2016-09-01,0.0,0.0,0.0,972.441,13994.0,13994.0,29344.559,422276.0,422276.0
2016-10-01,0.0,0.0,0.0,3995.015,72852.0,72852.0,16632.985,303313.0,303313.0
2016-11-01,0.0,0.0,0.0,5430.993,115852.0,115852.0,20327.007,433609.0,433609.0
2016-12-01,0.0,0.0,0.0,847.083,13214.0,13214.0,30878.917,481704.0,481704.0
2017-01-01,0.0,0.0,0.0,1984.519,31761.0,31761.0,29271.481,468475.0,468475.0
2017-02-01,0.0,0.0,0.0,0.0,0.0,0.0,28599.0,428652.0,428652.0
2017-03-01,0.0,0.0,0.0,273.442,4249.0,4249.0,29355.558,456101.0,456101.0
2017-04-01,0.0,0.0,0.0,4625.843,84466.0,84466.0,25447.157,464655.0,464655.0
2017-05-01,0.0,0.0,0.0,0.0,0.0,0.0,31660.0,477456.0,477456.0
2017-06-01,0.0,0.0,0.0,0.0,0.0,0.0,30644.0,442289.0,442289.0
2017-07-01,0.0,0.0,0.0,51.714,768.0,768.0,31565.286,468562.0,468562.0
2017-08-01,0.0,0.0,0.0,703.34,10179.0,10179.0,30857.66,446576.0,446576.0
2017-09-01,0.0,0.0,0.0,608.081,8878.0,8878.0,29897.919,436506.0,436506.0
2017-10-01,0.0,0.0,0.0,0.0,0.0,0.0,31747.0,440549.0,440549.0
2017-11-01,0.0,0.0,0.0,1420.412,21137.0,21137.0,29204.588,434591.0,434591.0
2017-12-01,0.0,0.0,0.0,914.03,13455.0,13455.0,30786.97,453185.0,453185.0
2018-01-01,0.0,0.0,0.0,1109.239,17369.0,17369.0,28049.761,439218.0,439218.0
2018-02-01,0.0,0.0,0.0,4789.432,91873.0,91873.0,22159.568,425075.0,425075.0
2018-03-01,0.0,0.0,0.0,8495.408,185041.0,185041.0,23081.592,502748.0,502748.0
2018-04-01,0.0,0.0,0.0,0.0,0.0,0.0,30554.0,481286.0,481286.0
2018-05-01,0.0,0.0,0.0,5700.828,124133.0,128387.0,10256.172,223323.0,230976.0
2018-06-01,0.0,0.0,0.0,606.329,9171.0,9171.0,29982.671,453496.0,453496.0
2018-07-01,0.0,0.0,0.0,1041.125,14843.0,14843.0,30588.875,436107.0,436107.0
2018-08-01,0.0,0.0,0.0,816.398,12874.0,12874.0,30501.602,481004.0,481004.0
2018-09-01,0.0,0.0,0.0,8403.779,183733.0,203541.0,17608.221,384971.0,426475.0
2018-10-01,0.0,0.0,0.0,2096.989,41131.0,41131.0,15542.011,304848.0,304848.0
2018-11-01,0.0,0.0,0.0,8544.161,188861.0,214892.0,16319.839,360736.0,410456.0
2018-12-01,0.0,0.0,0.0,1494.183,25526.0,25526.0,28564.817,487993.0,487993.0
2019-01-01,0.0,0.0,0.0,5620.747,117663.0,117663.0,22447.253,469904.0,469904.0
2019-02-01,0.0,0.0,0.0,8323.465,184386.0,206419.0,16015.535,354786.0,397179.0
2019-03-01,0.0,0.0,0.0,0.0,0.0,0.0,30632.0,495020.0,495020.0
2019-04-01,0.0,0.0,0.0,5585.408,108486.0,108486.0,19135.592,371673.0,371673.0
2019-05-01,0.0,0.0,0.0,3285.705,55301.0,55301.0,27721.295,466570.0,466570.0
2019-06-01,0.0,0.0,0.0,2334.774,37434.0,37434.0,27938.226,447936.0,447936.0
2019-07-01,0.0,0.0,0.0,0.0,0.0,0.0,31355.0,459037.0,459037.0
2019-08-01,0.0,0.0,0.0,4552.954,87373.0,87373.0,18845.046,361642.0,361642.0
2019-09-01,0.0,0.0,0.0,0.0,0.0,0.0,26833.0,410631.0,410631.0
2019-10-01,0.0,0.0,0.0,0.0,0.0,0.0,27878.0,428302.0,428302.0
2019-11-01,0.0,0.0,0.0,0.0,0.0,0.0,29192.0,452077.0,452077.0
2019-12-01,0.0,0.0,0.0,4536.491,77821.0,77821.0,26073.509,447276.0,447276.0
2020-01-01,0.0,0.0,0.0,751.823,11439.0,11439.0,27403.177,416930.0,416930.0
2020-02-01,0.0,0.0,0.0,5136.412,111592.0,111592.0,17379.588,377583.0,377583.0
2020-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
