measured_on,Black Liquor Generation,Black Liquor Quantity Consumed For Electricity,Black Liquor Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Lignite Coal Generation,Lignite Coal Quantity Consumed For Electricity,Lignite Coal Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Tire-Derived Fuels Generation,Tire-Derived Fuels Quantity Consumed For Electricity,Tire-Derived Fuels Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2006-06-01,11087.89066,57269.25,643527.69,,,,,,,2895.3546,14954.58,168042.86,629.73408,3252.59,36549.0,7631.02567,39414.45,442895.45
2006-07-01,14465.508300000001,74714.74,632140.08,,,,,,,3093.3694,15977.34,135179.68,484.51003000000003,2502.51,21173.0,14176.88627,73224.0,619527.35
2006-08-01,14469.19192,74733.77,637769.18,,,,,,,2534.56546,13091.1,111717.9,901.63439,4656.97,39742.0,14985.55423,77400.79,660529.26
2006-09-01,15241.07993,78720.59,657822.2,,,,,,,1756.101,9070.31,75795.3,990.45141,5115.71,42749.0,13561.96765,70047.93,585349.82
2006-10-01,14009.08771,72357.32,631176.0,,,,,,,5125.97628,26475.81,230949.6,888.27474,4587.96,40021.0,13053.90527,67423.77,588140.49
2006-11-01,14886.64321,76889.91,635579.0,,,,,,,4177.75966,21578.24,178367.7,1192.2356,6157.93,50902.0,13789.35853,71222.4,588730.89
2006-12-01,14934.75227,77138.39,629638.5,,,,,,,5131.96185,26506.72,216359.85,784.5721000000001,4052.34,33077.0,14210.03578,73395.21,599084.97
2007-01-01,13898.773000000001,71787.0,613866.0,,,,0.0,0.0,0.0,6779.353,35015.0,299423.0,1436.7540000000001,7409.0,63457.0,13607.8,70287.0,601015.0
2007-02-01,12780.27,66010.0,573885.0,,,,0.0,0.0,0.0,3266.839,16873.0,146694.0,676.555,3503.0,30380.0,15142.643,78206.0,679965.0
2007-03-01,14947.396,77200.0,697939.0,,,,0.0,0.0,0.0,2600.947,13434.0,121446.0,902.9190000000001,4650.0,42160.0,13936.681,71981.0,650745.0
2007-04-01,13066.137,67488.0,662136.0,,,,0.0,0.0,0.0,2867.742,14812.0,145325.0,1255.275,6479.0,63612.0,13661.827000000001,70568.0,692323.0
2007-05-01,12604.205,65097.0,681143.0,,,,0.0,0.0,0.0,2213.8430000000003,11435.0,119638.0,1158.752,5983.0,62620.0,13439.687,69414.0,726293.0
2007-06-01,12373.744999999999,63915.0,620999.0,,,,0.0,0.0,0.0,3230.373,16685.0,162122.0,688.109,3565.0,34534.0,11149.498,57595.0,559558.0
2007-07-01,12669.051,65437.0,707732.0,,,,0.0,0.0,0.0,6371.533,32909.0,355933.0,600.988,3100.0,33573.0,7930.563,40956.0,443025.0
2007-08-01,11138.675,57527.0,501777.0,,,,0.0,0.0,0.0,4736.729,24465.0,213381.0,911.802,4712.0,41075.0,14482.948,74800.0,652430.0
2007-09-01,14484.992,74821.0,665432.0,,,,224.6,1162.0,10318.0,2106.702,10881.0,96781.0,852.95,4402.0,39184.0,13172.423,68033.0,605133.0
2007-10-01,15152.327000000001,78257.0,709623.0,,,,667.825,3444.0,31276.0,2028.758,10478.0,95012.0,663.2560000000001,3441.0,31062.0,15366.162,79366.0,719638.0
2007-11-01,11920.023000000001,61565.0,562929.0,,,,0.0,0.0,0.0,4003.3880000000004,20678.0,189062.0,640.015,3317.0,30225.0,13495.79,69710.0,637345.0
2007-12-01,15008.149000000001,77520.0,692840.0,,,,0.0,0.0,0.0,3340.221,17253.0,154199.0,644.655,3317.0,29760.0,15323.103,79153.0,707380.0
2008-01-01,14157.54,73124.0,644476.0,,,,0.0,0.0,0.0,5755.595,29728.0,262005.0,1152.922,5955.0,52483.0,14982.645,77386.0,682036.0
2008-02-01,9715.493,50181.0,457473.0,,,,0.0,0.0,0.0,3316.579,17130.0,156168.0,1224.5430000000001,6325.0,57660.0,10064.615,51984.0,473912.0
2008-03-01,5372.3240000000005,27748.0,513271.0,,,,0.0,0.0,0.0,2033.8210000000001,10505.0,194311.0,576.587,2978.0,55087.0,5989.633000000001,30937.0,572249.0
2008-04-01,14441.226999999999,74589.0,673828.0,,,,0.0,0.0,0.0,2294.66,11852.0,107069.0,1117.488,5772.0,52142.0,15829.34,81759.0,738597.0
2008-05-01,15724.460000000001,81217.0,708743.0,,,,0.0,0.0,0.0,2164.7270000000003,11181.0,97570.0,1074.3110000000001,5549.0,48422.0,16461.106,85022.0,741945.0
2008-06-01,15147.333999999999,78236.0,658125.0,,,,0.0,0.0,0.0,2289.5150000000003,11825.0,99475.0,487.315,2517.0,21173.0,14091.181,72781.0,612237.0
2008-07-01,14774.376,76310.0,708698.0,,,,0.0,0.0,0.0,2637.452,13623.0,126514.0,655.311,3385.0,31434.0,14590.935000000001,75363.0,699899.0
2008-08-01,13945.789,72030.0,682333.0,,,,0.0,0.0,0.0,2110.493,10901.0,103261.0,1381.227,7134.0,67580.0,14624.411,75535.0,715536.0
2008-09-01,9270.759,47884.0,563947.0,,,,0.0,0.0,0.0,4657.37,24055.0,283311.0,674.216,3482.0,41013.0,7678.92,39662.0,467114.0
2008-10-01,16126.15,83292.0,706736.0,,,,0.0,0.0,0.0,2719.208,14045.0,119171.0,1006.561,5199.0,44113.0,14361.744999999999,74179.0,629410.0
2008-11-01,15991.007000000001,82594.0,711552.0,,,,0.0,0.0,0.0,5046.6900000000005,26066.0,224563.0,390.83500000000004,2019.0,17391.0,12412.535,64111.0,552321.0
2008-12-01,14625.764,75542.0,707599.0,,,,0.0,0.0,0.0,3292.0840000000003,17004.0,159272.0,791.335,4087.0,38285.0,14042.042000000001,72528.0,679358.0
2009-01-01,13014.862000000001,67222.0,587740.0,,,,0.0,0.0,0.0,3360.683,17358.0,151766.0,1031.064,5325.0,46562.0,14385.179,74300.0,649623.0
2009-02-01,10425.923,53850.0,520797.0,,,,0.0,0.0,0.0,1220.204,6302.0,60952.0,1046.943,5407.0,52297.0,10081.885,52073.0,503611.0
2009-03-01,6071.161,31358.0,329269.0,,,,0.0,0.0,0.0,2304.632,11903.0,124991.0,582.448,3008.0,31589.0,7659.558,39562.0,415415.0
2009-04-01,10298.883,53194.0,514825.0,,,,0.0,0.0,0.0,1765.123,9117.0,88236.0,483.09200000000004,2495.0,24149.0,6893.119000000001,35603.0,344576.0
2009-05-01,13721.043,70870.0,703225.0,,,,0.0,0.0,0.0,1381.077,7133.0,70782.0,949.629,4905.0,48670.0,9592.198,49544.0,491615.0
2009-06-01,10498.622,54226.0,685738.0,,,,0.0,0.0,0.0,1063.19,5491.0,69444.0,5007.126,25862.0,327050.0,6997.784000000001,36144.0,457074.0
2009-07-01,12721.764,65708.0,625223.0,,,,0.0,0.0,0.0,1861.699,9616.0,91495.0,632.667,3268.0,31093.0,10902.878,56314.0,535832.0
2009-08-01,14654.478,75691.0,703414.0,,,,0.0,0.0,0.0,1482.2540000000001,7656.0,71148.0,464.35400000000004,2398.0,22289.0,9983.667000000001,51566.0,479216.0
2009-09-01,13538.164,69925.0,681185.0,,,,0.0,0.0,0.0,1543.314,7971.0,77653.0,85.63900000000001,442.0,4309.0,10821.482,55893.0,544492.0
2009-10-01,15044.038,77703.0,733941.0,,,,0.0,0.0,0.0,1852.596,9569.0,90381.0,580.779,3000.0,28334.0,11119.361,57432.0,542471.0
2009-11-01,14507.822,74933.0,678366.0,,,,0.0,0.0,0.0,1662.9560000000001,8589.0,77758.0,962.645,4972.0,45012.0,12245.803,63250.0,572597.0
2009-12-01,13740.736,70971.0,666015.0,0.0,0.0,0.0,0.0,0.0,0.0,3508.72,18123.0,170068.0,853.825,4410.0,41385.0,12104.972,62523.0,586730.0
2010-01-01,11816.269,61031.0,691975.0,0.0,0.0,0.0,0.0,0.0,0.0,4594.9400000000005,23733.0,269085.0,509.774,2633.0,29853.0,8219.959,42456.0,481371.0
2010-02-01,12309.931,63581.0,611985.0,0.0,0.0,0.0,0.0,0.0,0.0,4202.121,21704.0,208907.0,371.64,1920.0,18476.0,11610.618,59969.0,577219.0
2010-03-01,9433.716,48725.0,496993.0,0.0,0.0,0.0,0.0,0.0,0.0,3699.9950000000003,19111.0,194926.0,759.0740000000001,3921.0,39990.0,12766.487000000001,65939.0,672572.0
2010-04-01,14434.6,74555.0,689891.0,0.0,0.0,0.0,0.0,0.0,0.0,1228.413,6345.0,58711.0,732.284,3782.0,34999.0,12769.686,65956.0,610318.0
2010-05-01,15470.492,79906.0,734403.0,0.0,0.0,0.0,0.0,0.0,0.0,1792.872,9260.0,85110.0,692.8620000000001,3579.0,32891.0,10892.050000000001,56258.0,517058.0
2010-06-01,13780.506000000001,71177.0,698388.0,0.0,0.0,0.0,0.0,0.0,0.0,940.2080000000001,4856.0,47649.0,745.0360000000001,3848.0,37758.0,11640.638,60124.0,589941.0
2010-07-01,14430.775000000001,74535.0,720516.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.741,6718.0,64945.0,20.489,106.0,1023.0,11661.775,60233.0,582262.0
2010-08-01,13451.08,69475.0,690741.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.751,5995.0,59607.0,584.3580000000001,3018.0,30008.0,12143.072,62719.0,623572.0
2010-09-01,13802.689,71291.0,688087.0,0.0,0.0,0.0,0.0,0.0,0.0,1175.294,6070.0,58590.0,743.726,3841.0,37076.0,11934.259,61641.0,594943.0
2010-10-01,14174.347,73211.0,685677.0,0.0,0.0,0.0,0.0,0.0,0.0,1146.977,5924.0,55484.0,686.332,3545.0,33201.0,11909.129,61511.0,576099.0
2010-11-01,14571.792000000001,75264.0,682500.0,0.0,0.0,0.0,0.0,0.0,0.0,1548.0910000000001,7996.0,72508.0,587.74,3036.0,27528.0,11507.239,59435.0,538965.0
2010-12-01,13527.594000000001,69870.0,698388.0,0.0,0.0,0.0,0.0,0.0,0.0,2217.203,11452.0,114467.0,589.653,3046.0,30442.0,12476.567,64442.0,644127.0
2011-01-01,14829.096,71345.0,693430.0,0.0,0.0,0.0,0.0,0.0,0.0,4408.895,21212.0,206166.0,646.366,3110.0,30225.0,11685.643,56222.0,546437.0
2011-02-01,11023.396,53035.0,529911.0,0.0,0.0,0.0,0.0,0.0,0.0,4684.041,22536.0,225169.0,526.216,2532.0,25296.0,8886.347,42754.0,427180.0
2011-03-01,6913.094,33260.0,403582.0,0.0,0.0,0.0,0.0,0.0,0.0,3396.556,16341.0,198289.0,247.45,1191.0,14446.0,9572.9,46057.0,558860.0
2011-04-01,14492.961,69728.0,695746.0,0.0,0.0,0.0,0.0,0.0,0.0,3355.507,16144.0,161084.0,378.413,1821.0,18166.0,8938.119,43003.0,429081.0
2011-05-01,10266.933,49396.0,705140.0,0.0,0.0,0.0,0.0,0.0,0.0,3638.231,17504.0,249876.0,383.66,1846.0,26350.0,3501.176,16845.0,240463.0
2011-06-01,14736.98,70902.0,687132.0,0.0,0.0,0.0,0.0,0.0,0.0,1733.953,8342.0,80848.0,807.139,3883.0,37634.0,9051.928,43550.0,422059.0
2011-07-01,17912.651,86181.0,706373.0,0.0,0.0,0.0,0.0,0.0,0.0,1329.166,6395.0,52415.0,1179.176,5673.0,46500.0,10259.007,49358.0,404557.0
2011-08-01,16746.563,80571.0,685608.0,0.0,0.0,0.0,0.0,0.0,0.0,2033.247,9782.0,83242.0,1303.902,6273.0,53382.0,10726.288,51606.0,439136.0
2011-09-01,16882.985,81227.0,665496.0,0.0,0.0,0.0,0.0,0.0,0.0,1571.744,7562.0,61955.0,674.766,3246.0,26598.0,11822.505,56880.0,466021.0
2011-10-01,17904.387,86141.0,690962.0,0.0,0.0,0.0,0.0,0.0,0.0,1496.232,7199.0,57742.0,1170.379,5631.0,45167.0,12999.002,62540.0,501655.0
2011-11-01,16863.812,81135.0,692946.0,0.0,0.0,0.0,0.0,0.0,0.0,1490.097,7169.0,61229.0,1362.497,6555.0,55986.0,12603.594,60638.0,517891.0
2011-12-01,17166.162,82589.0,679020.0,0.0,0.0,0.0,0.0,0.0,0.0,2106.423,10134.0,83321.0,1182.61,5690.0,46779.0,12695.805,61082.0,502192.0
2012-01-01,14669.241,70576.0,685571.0,0.0,0.0,0.0,0.0,0.0,0.0,1842.009,8862.0,86087.0,752.857,3622.0,35185.0,11335.893,54539.0,529786.0
2012-02-01,14488.592,69707.0,653831.0,0.0,0.0,0.0,0.0,0.0,0.0,2224.64,10703.0,100392.0,1086.748,5229.0,49042.0,10270.02,49411.0,463458.0
2012-03-01,14237.755,68500.0,651429.0,0.0,0.0,0.0,0.0,0.0,0.0,3334.937,16045.0,152586.0,1248.709,6008.0,57133.0,11018.599,53012.0,504141.0
2012-04-01,9196.15,44244.0,411073.0,0.0,0.0,0.0,0.0,0.0,0.0,2824.845,13591.0,126272.0,1222.647,5882.0,54653.0,11826.358,56899.0,528645.0
2012-05-01,17406.76,83747.0,683116.0,0.0,0.0,0.0,0.0,0.0,0.0,2435.891,11720.0,95595.0,930.53,4477.0,36518.0,11006.819,52956.0,431955.0
2012-06-01,17255.775,83021.0,651845.0,0.0,0.0,0.0,0.0,0.0,0.0,1465.285,7050.0,55352.0,1081.601,5204.0,40858.0,11581.339,55720.0,437491.0
2012-07-01,16891.809,81269.0,676030.0,0.0,0.0,0.0,0.0,0.0,0.0,1764.866,8491.0,70632.0,1364.054,6563.0,54591.0,11227.271,54016.0,449328.0
2012-08-01,16484.533,79310.0,680239.0,0.0,0.0,0.0,0.0,0.0,0.0,2322.8,11175.0,95851.0,1107.323,5328.0,45694.0,12862.344,61883.0,530768.0
2012-09-01,10319.592,49649.0,688563.0,0.0,0.0,0.0,0.0,0.0,0.0,4108.231,19765.0,274117.0,255.066,1227.0,17019.0,4237.111,20385.0,282716.0
2012-10-01,15732.784,75693.0,702615.0,0.0,0.0,0.0,0.0,0.0,0.0,3797.858,18272.0,169610.0,494.925,2381.0,22103.0,7234.433,34806.0,323084.0
2012-11-01,17235.94,82925.0,688056.0,0.0,0.0,0.0,0.0,0.0,0.0,2083.928,10026.0,83190.0,980.014,4715.0,39122.0,13150.118,63268.0,524950.0
2012-12-01,17709.372,85203.0,712531.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.477,9644.0,80650.0,1051.705,5060.0,42315.0,13300.446,63991.0,535139.0
2013-01-01,16450.97,79149.0,681928.0,0.0,0.0,0.0,0.0,0.0,0.0,4172.834,20076.0,172973.0,1028.295,4947.0,42625.0,13507.901,64989.0,559931.0
2013-02-01,16036.01,77152.0,621542.0,0.0,0.0,0.0,0.0,0.0,0.0,1461.339,7031.0,56640.0,1130.933,5441.0,43834.0,13831.718,66547.0,536106.0
2013-03-01,5437.258,26160.0,390698.0,0.0,0.0,0.0,0.0,0.0,0.0,1423.267,6848.0,102270.0,533.235,2565.0,38316.0,5746.24,27646.0,412900.0
2013-04-01,17383.018,83633.0,679366.0,0.0,0.0,0.0,0.0,0.0,0.0,1387.102,6674.0,54211.0,1426.967,6865.0,55769.0,13582.913,65350.0,530850.0
2013-05-01,18090.69,87037.0,706906.0,0.0,0.0,0.0,0.0,0.0,0.0,1415.875,6812.0,55326.0,894.879,4305.0,34968.0,14060.556,67648.0,549426.0
2013-06-01,16090.509,77414.0,641476.0,0.0,0.0,0.0,0.0,0.0,0.0,1712.224,8238.0,68261.0,890.341,4284.0,35495.0,12022.926,57844.0,479315.0
2013-07-01,18383.422,88446.0,691811.0,0.0,0.0,0.0,0.0,0.0,0.0,1322.172,6361.0,49756.0,1129.375,5434.0,42501.0,13385.031,64398.0,503710.0
2013-08-01,17652.675,84930.0,675517.0,0.0,0.0,0.0,0.0,0.0,0.0,1902.181,9152.0,72791.0,1484.904,7144.0,56823.0,11050.24,53165.0,422861.0
2013-09-01,15390.019,74044.0,658351.0,0.0,0.0,0.0,0.0,0.0,0.0,3165.977,15232.0,135433.0,644.961,3103.0,27590.0,8292.043,39894.0,354715.0
2013-10-01,13492.141,64913.0,520757.0,0.0,0.0,0.0,0.0,0.0,0.0,845.847,4070.0,32647.0,990.31,4765.0,38223.0,10301.702,49563.0,397615.0
2013-11-01,18633.14,89647.0,770383.0,0.0,0.0,0.0,0.0,0.0,0.0,2884.308,13877.0,119251.0,1467.344,7060.0,60667.0,16060.208,77268.0,664006.0
2013-12-01,17459.171,83999.0,657770.0,0.0,0.0,0.0,0.0,0.0,0.0,3837.743,18464.0,144586.0,1089.431,5241.0,41044.0,14863.655,71512.0,559984.0
2014-01-01,16597.083,79851.0,672167.0,0.0,0.0,0.0,0.0,0.0,0.0,2656.033,12779.0,107567.0,923.131,4441.0,37386.0,16393.753,78873.0,663933.0
2014-02-01,10846.63,52185.0,616425.0,0.0,0.0,0.0,0.0,0.0,0.0,4283.495,20609.0,243435.0,363.833,1750.0,20677.0,5366.042,25817.0,304958.0
2014-03-01,17678.381,85054.0,690241.0,0.0,0.0,0.0,0.0,0.0,0.0,2548.737,12262.0,99514.0,888.452,4274.0,34689.0,15396.43,74075.0,601143.0
2014-04-01,16293.71,78392.0,681018.0,0.0,0.0,0.0,0.0,0.0,0.0,1250.437,6016.0,52264.0,1030.209,4957.0,43059.0,14295.644,68779.0,597506.0
2014-05-01,17675.44,85040.0,700347.0,0.0,0.0,0.0,0.0,0.0,0.0,1358.397,6535.0,53823.0,969.371,4664.0,38409.0,12527.792,60273.0,496384.0
2014-06-01,16256.877,78215.0,668899.0,0.0,0.0,0.0,0.0,0.0,0.0,1405.227,6761.0,57819.0,1260.474,6064.0,51863.0,12339.422,59367.0,507713.0
2014-07-01,15534.741,74740.0,667841.0,0.0,0.0,0.0,0.0,0.0,0.0,1671.602,8042.0,71862.0,1005.207,4836.0,43214.0,12718.45,61191.0,546768.0
2014-08-01,10829.471,52102.0,554263.0,0.0,0.0,0.0,0.0,0.0,0.0,2745.021,13207.0,140493.0,806.179,3879.0,41261.0,10632.329,51154.0,544173.0
2014-09-01,12151.592,58463.0,643220.0,0.0,0.0,0.0,0.0,0.0,0.0,3794.714,18257.0,200866.0,364.272,1753.0,19282.0,5041.422,24255.0,266858.0
2014-10-01,17251.727,83001.0,631718.0,0.0,0.0,0.0,0.0,0.0,0.0,4296.409,20671.0,157325.0,1167.441,5617.0,42749.0,12324.423,59295.0,451292.0
2014-11-01,17588.867,84623.0,657886.0,0.0,0.0,0.0,0.0,0.0,0.0,2779.284,13372.0,103955.0,424.345,2042.0,15872.0,16257.504,78218.0,608088.0
2014-12-01,17615.745,84752.0,694706.0,0.0,0.0,0.0,0.0,0.0,0.0,1962.809,9443.0,77407.0,385.96,1857.0,15221.0,16625.486,79988.0,655654.0
2015-01-01,17344.116,89583.0,720153.0,0.0,0.0,0.0,0.0,0.0,0.0,3216.87,16615.0,133569.0,143.348,740.0,5952.0,14384.932,74299.0,597283.0
2015-02-01,16592.056,85698.0,653746.0,0.0,0.0,0.0,0.0,0.0,0.0,4676.844,24156.0,184273.0,847.362,4377.0,33387.0,8796.198,45433.0,346580.0
2015-03-01,1382.879,7143.0,268362.0,0.0,0.0,0.0,0.0,0.0,0.0,1493.63,7715.0,289855.0,145.207,750.0,28179.0,1738.203,8978.0,337316.0
2015-04-01,17726.14,91556.0,688903.0,0.0,0.0,0.0,0.0,0.0,0.0,4171.366,21545.0,162115.0,1263.493,6526.0,49104.0,12762.883,65921.0,496013.0
2015-05-01,18094.843,93460.0,702638.0,0.0,0.0,0.0,0.0,0.0,0.0,6759.028,34911.0,262459.0,786.359,4062.0,30535.0,11986.417,61910.0,465443.0
2015-06-01,15808.789,81653.0,670667.0,0.0,0.0,0.0,0.0,0.0,0.0,4783.074,24705.0,202916.0,1057.357,5461.0,44857.0,12875.562,66503.0,546229.0
2015-07-01,18223.683,94126.0,717443.0,0.0,0.0,0.0,0.0,0.0,0.0,5447.523,28137.0,214462.0,440.172,2273.0,17329.0,11531.194,59559.0,453968.0
2015-08-01,20542.61,106103.0,1351801.0,0.0,0.0,0.0,0.0,0.0,0.0,2940.952,15190.0,193529.0,427.279,2207.0,28117.0,6772.473,34980.0,445661.0
2015-09-01,11248.155,58097.0,598864.0,0.0,0.0,0.0,0.0,0.0,0.0,4508.19,23285.0,240021.0,14.556,75.0,775.0,8252.252,42623.0,439359.0
