measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2009-01-01,100.162,1419.0,1419.0,19954.838,282724.0,282724.0
2009-02-01,29.905,438.0,438.0,19784.095,289764.0,289764.0
2009-03-01,31.658,473.0,473.0,21229.342,317217.0,317217.0
2009-04-01,117.643,1892.0,1892.0,7277.357,117048.0,117048.0
2009-05-01,0.7210000000000001,12.0,12.0,21622.279,350143.0,350143.0
2009-06-01,183.21300000000002,2902.0,2902.0,18763.787,297259.0,297259.0
2009-07-01,137.90900000000002,2313.0,2313.0,18886.091,316707.0,316707.0
2009-08-01,169.388,2383.0,2383.0,20414.612,287165.0,287165.0
2009-09-01,25.874000000000002,362.0,362.0,20359.126,284906.0,284906.0
2009-10-01,20.392,274.0,274.0,21023.608,282982.0,282982.0
2009-11-01,40.624,584.0,584.0,20039.376,288079.0,288079.0
2009-12-01,83.727,1203.0,1203.0,19996.273,287320.0,287320.0
2010-01-01,0.0,0.0,0.0,3749.0,59067.0,59067.0
2010-02-01,377.27700000000004,5586.0,5586.0,8079.723,119634.0,119634.0
2010-03-01,91.459,1331.0,1331.0,20103.541,292663.0,292663.0
2010-04-01,36.839,547.0,547.0,677.1610000000001,10063.0,10063.0
2010-05-01,228.369,3605.0,3605.0,20231.631,319353.0,319353.0
2010-06-01,91.268,1650.0,1650.0,20608.732,372676.0,372676.0
2010-07-01,13.657,253.0,253.0,21934.343,405878.0,405878.0
2010-08-01,97.94500000000001,1833.0,1833.0,20301.055,379989.0,379989.0
2010-09-01,15.303,277.0,277.0,20810.697,376027.0,376027.0
2010-10-01,184.23,3510.0,3510.0,15823.77,301478.0,301478.0
2010-11-01,127.17200000000001,2336.0,2336.0,18479.828,339429.0,339429.0
2010-12-01,368.398,6834.0,6834.0,16284.601999999999,302089.0,302089.0
2011-01-01,0.0,0.0,0.0,20494.0,381678.0,381678.0
2011-02-01,104.325,2008.0,2008.0,17170.675,330519.0,330519.0
2011-03-01,601.073,8808.0,8808.0,8789.927,128812.0,128812.0
2011-04-01,110.417,2081.0,2081.0,5819.583,109697.0,109697.0
2011-05-01,217.97,3861.0,3861.0,6114.03,108287.0,108287.0
2011-06-01,238.0,4089.0,4089.0,16805.0,288743.0,288743.0
2011-07-01,253.729,4421.0,4421.0,17846.271,310927.0,310927.0
2011-08-01,273.228,4961.0,4961.0,18610.772,337934.0,337934.0
2011-09-01,198.089,3523.0,3523.0,16840.911,299481.0,299481.0
2011-10-01,236.029,4600.0,4600.0,17492.971,340953.0,340953.0
2011-11-01,202.752,4041.0,4041.0,19017.248,379016.0,379016.0
2011-12-01,53.981,918.0,918.0,19768.019,336116.0,336116.0
2012-01-01,184.853,3289.0,3289.0,18811.147,334694.0,334694.0
2012-02-01,31.178,537.0,537.0,18129.822,312115.0,312115.0
2012-03-01,31.656,548.0,548.0,19406.344,336039.0,336039.0
2012-04-01,0.0,0.0,0.0,2554.0,46752.0,46752.0
2012-05-01,111.786,1962.0,1962.0,12548.214,220265.0,220265.0
2012-06-01,121.404,2092.0,2092.0,20469.596,352730.0,352730.0
2012-07-01,56.79,995.0,995.0,18597.21,325936.0,325936.0
2012-08-01,115.116,2030.0,2030.0,16818.884,296554.0,296554.0
2012-09-01,136.516,2048.0,2048.0,17568.484,263516.0,263516.0
2012-10-01,236.273,4309.0,4309.0,13261.727,241857.0,241857.0
2012-11-01,71.867,1285.0,1285.0,20745.133,370869.0,370869.0
2012-12-01,53.607,968.0,968.0,21205.393,383072.0,383072.0
2013-01-01,134.359,2489.0,2489.0,19240.641,356376.0,356376.0
2013-02-01,62.099,1169.0,1169.0,14858.901,279612.0,279612.0
2013-03-01,40.118,747.0,747.0,17334.882,322597.0,322597.0
2013-04-01,124.704,2052.0,2052.0,6670.296,109740.0,109740.0
2013-05-01,184.208,3147.0,3147.0,14672.792,250685.0,250685.0
2013-06-01,38.559,631.0,631.0,21424.441,350828.0,350828.0
2013-07-01,20.22,344.0,344.0,22435.78,382147.0,382147.0
2013-08-01,76.176,1282.0,1282.0,19804.824,333317.0,333317.0
2013-09-01,2.046,33.0,33.0,21811.954,355038.0,355038.0
2013-10-01,13.05,224.0,224.0,21621.95,370474.0,370474.0
2013-11-01,122.986,2084.0,2084.0,21054.014,356710.0,356710.0
2013-12-01,210.989,3666.0,3666.0,17913.011,311249.0,311249.0
2014-01-01,151.634,2573.0,2573.0,20214.366,342996.0,342996.0
2014-02-01,70.337,1202.0,1202.0,19439.663,332168.0,332168.0
2014-03-01,100.12,1690.0,1690.0,18428.88,311021.0,311021.0
2014-04-01,173.485,3086.0,3086.0,8706.515,154854.0,154854.0
2014-05-01,256.369,4263.0,4263.0,9146.631,152094.0,152094.0
2014-06-01,239.243,3985.0,3985.0,19081.757,317820.0,317820.0
2014-07-01,110.889,1837.0,1837.0,20103.111,333046.0,333046.0
2014-08-01,26.97,480.0,480.0,21233.03,377899.0,377899.0
2014-09-01,75.112,1273.0,1273.0,19489.888,330401.0,330401.0
2014-10-01,64.262,1113.0,1113.0,21297.738,369021.0,369021.0
2014-11-01,183.395,3087.0,3087.0,19573.605,329469.0,329469.0
2014-12-01,125.468,2225.0,2225.0,15328.532,271854.0,271854.0
2015-01-01,362.081,5985.0,5985.0,16182.919,267495.0,267495.0
2015-02-01,606.968,10555.0,10555.0,14235.032,247534.0,247534.0
2015-03-01,109.294,1920.0,1920.0,10506.706,184557.0,184557.0
2015-04-01,83.861,1329.0,1329.0,16629.139,263470.0,263470.0
2015-05-01,27.51,417.0,417.0,20464.49,309915.0,309915.0
2015-06-01,69.471,1133.0,1133.0,17139.529,279519.0,279519.0
2015-07-01,60.974,974.0,974.0,19104.026,305249.0,305249.0
2015-08-01,4.919,78.0,78.0,19709.081,312266.0,312266.0
2015-09-01,35.907,567.0,567.0,17725.093,279649.0,279649.0
2015-10-01,163.529,2668.0,2668.0,8919.471,145496.0,145496.0
2015-11-01,21.962,355.0,355.0,20465.038,330881.0,330881.0
2015-12-01,65.925,1051.0,1051.0,20150.075,321388.0,321388.0
2016-01-01,334.121,5511.0,5511.0,13747.879,226741.0,226741.0
2016-02-01,483.013,8679.0,8679.0,15078.987,270943.0,270943.0
2016-03-01,0.0,0.0,0.0,577.0,7787.0,7787.0
2016-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-01,163.537,2702.0,2702.0,6603.463,109112.0,109112.0
2016-08-01,194.035,3534.0,3534.0,10769.965,196161.0,196161.0
2016-09-01,1.044,18.0,18.0,521.956,8848.0,8848.0
2016-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-01,158.42,2319.0,2319.0,5240.58,76703.0,76703.0
2017-01-01,165.082,2808.0,2808.0,5663.918,96355.0,96355.0
2017-02-01,0.0,0.0,0.0,6138.0,99971.0,99971.0
2017-03-01,69.661,1097.0,1097.0,3764.339,59301.0,59301.0
2017-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,79.406,1257.0,1257.0,2598.594,41126.0,41126.0
2017-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-01,90.804,1617.0,1617.0,2922.196,52024.0,52024.0
2018-01-01,137.468,2342.0,2342.0,16821.532,286599.0,286599.0
2018-02-01,124.476,1976.0,1976.0,16726.524,265483.0,265483.0
2018-03-01,73.496,1198.0,1198.0,17891.504,291564.0,291564.0
2018-04-01,0.0,0.0,0.0,16414.0,270704.0,270704.0
2018-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,197.947,3206.0,3206.0,10016.053,162213.0,162213.0
2018-07-01,81.886,1332.0,1332.0,19794.114,322099.0,322099.0
2018-08-01,159.66,2546.0,2546.0,19339.34,308422.0,308422.0
2018-09-01,62.8,974.0,974.0,16986.2,263314.0,263314.0
2018-10-01,19.092,295.0,295.0,20246.908,312308.0,312308.0
2018-11-01,27.135,448.0,448.0,18801.865,310166.0,310166.0
2018-12-01,173.71,3005.0,3005.0,16200.29,280218.0,280218.0
2019-01-01,119.169,2176.0,2176.0,10220.831,186596.0,186596.0
2019-02-01,164.393,2928.0,2928.0,13135.607,233977.0,233977.0
2019-03-01,20.551,323.0,323.0,17781.449,279810.0,279810.0
2019-04-01,113.995,2011.0,2011.0,13306.005,234728.0,234728.0
2019-05-01,149.847,2746.0,2746.0,2943.153,53934.0,53934.0
2019-06-01,0.0,0.0,0.0,257.0,4230.0,4230.0
2019-07-01,146.367,2652.0,2652.0,9170.633,166154.0,166154.0
2019-08-01,72.318,1282.0,1282.0,15972.682,283116.0,283116.0
2019-09-01,127.848,2270.0,2270.0,16494.152,292820.0,292820.0
2019-10-01,12.331,223.0,223.0,10407.669,188582.0,188582.0
2019-11-01,145.202,2405.0,2405.0,2257.798,37395.0,37395.0
2019-12-01,227.179,3987.0,3987.0,14141.821,248167.0,248167.0
2020-01-01,0.0,0.0,0.0,19098.0,302735.0,302735.0
2020-02-01,0.0,0.0,0.0,18199.0,297986.0,297986.0
2020-03-01,44.592,744.0,744.0,17486.408,291658.0,291658.0
2020-04-01,18.14,292.0,292.0,17207.86,276566.0,276566.0
2020-05-01,38.737,631.0,631.0,18090.263,294542.0,294542.0
2020-06-01,98.403,1537.0,1537.0,15858.597,247680.0,247680.0
2020-07-01,4.58,71.0,71.0,18846.42,293833.0,293833.0
2020-08-01,142.804,2438.0,2438.0,12744.196,217541.0,217541.0
2020-09-01,48.713,774.0,774.0,13726.287,218155.0,218155.0
2020-10-01,56.915,845.0,845.0,4653.085,69075.0,69075.0
2020-11-01,61.671,946.0,946.0,17966.329,275609.0,275609.0
2020-12-01,96.388,1544.0,1544.0,16321.612,261516.0,261516.0
2021-01-01,234.423,4134.0,4134.0,6688.577,117953.0,117953.0
2021-02-01,139.143,2293.0,2293.0,10394.857,171289.0,171289.0
2021-03-01,52.56,897.0,897.0,15884.44,271223.0,271223.0
2021-04-01,104.905,1731.0,1731.0,9852.095,162585.0,162585.0
2021-05-01,70.14,1071.0,1071.0,16604.86,253583.0,253583.0
2021-06-01,65.898,915.0,915.0,6477.102,89917.0,89917.0
2021-07-01,67.265,938.0,938.0,13111.735,182838.0,182838.0
2021-08-01,25.449,376.0,376.0,18498.551,273563.0,273563.0
2021-09-01,0.0,0.0,0.0,17953.0,271617.0,271617.0
2021-10-01,39.839,602.0,602.0,12611.161,190614.0,190614.0
2021-11-01,105.626,1586.0,1586.0,4307.374,64695.0,64695.0
2021-12-01,37.191,596.0,596.0,13346.809,214020.0,214020.0
2022-01-01,78.982,1198.0,1198.0,17800.018,269936.0,269936.0
2022-02-01,48.119,746.0,746.0,15275.881,236800.0,236800.0
2022-03-01,103.671,1551.0,1551.0,14185.329,212228.0,212228.0
2022-04-01,11.807,184.0,184.0,17176.193,266986.0,266986.0
2022-05-01,12.909,189.0,189.0,17808.091,260460.0,260460.0
2022-06-01,25.049,401.0,401.0,17524.951,280689.0,280689.0
2022-07-01,233.482,3791.0,3791.0,9074.518,147333.0,147333.0
2022-08-01,48.147,766.0,766.0,17591.853,280010.0,280010.0
2022-09-01,25.601,426.0,426.0,17038.399,283681.0,283681.0
2022-10-01,82.899,1485.0,1485.0,2291.101,41041.0,41041.0
2022-11-01,68.045,1364.0,1364.0,14266.955,286023.0,286023.0
2022-12-01,239.085,4197.0,4197.0,12296.915,215880.0,215880.0
2023-01-01,114.649,2028.0,2028.0,14744.351,260817.0,260817.0
2023-02-01,63.859,1172.0,1172.0,13182.141,241965.0,241965.0
2023-03-01,61.968,1143.0,1143.0,15454.032,284939.0,284939.0
2023-04-01,14.876,249.0,249.0,16129.124,269588.0,269588.0
2023-05-01,74.295,1230.0,1230.0,4559.705,75477.0,75477.0
2023-06-01,151.174,2358.0,2358.0,12578.826,196218.0,196218.0
2023-07-01,139.048,2311.0,2311.0,14793.952,245842.0,245842.0
2023-08-01,49.241,751.0,751.0,16341.759,249223.0,249223.0
2023-09-01,0.0,0.0,0.0,16281.0,270553.0,270553.0
2023-10-01,69.632,1322.0,1322.0,4181.368,79361.0,79361.0
2023-11-01,169.23,2820.0,2820.0,11820.77,196992.0,196992.0
2023-12-01,122.868,1941.0,1941.0,15209.132,240277.0,240277.0
2024-01-01,14.389,232.0,232.0,9507.611,153333.0,153333.0
2024-02-01,100.458,1567.0,1567.0,8459.542,131997.0,131997.0
2024-03-01,63.267,1031.0,1031.0,15469.733,252116.0,252116.0
2024-04-01,23.302,381.0,381.0,16107.698,263675.0,263675.0
2024-05-01,76.691,1234.0,1234.0,16051.309,258214.0,258214.0
2024-06-01,58.863,918.0,918.0,13977.137,217943.0,217943.0
2024-07-01,124.703,1930.0,1930.0,12257.297,189696.0,189696.0
2024-08-01,28.405,450.0,450.0,16811.595,266286.0,266286.0
2024-09-01,54.927,900.0,900.0,7725.073,126556.0,126556.0
2024-10-01,98.56,1809.0,1809.0,883.44,16213.0,16213.0
2024-11-01,122.084,1883.0,1883.0,14832.916,228824.0,228824.0
2024-12-01,79.175,1279.0,1279.0,14026.825,226634.0,226634.0
