measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Distillate Fuel Oil-Other Generation,Distillate Fuel Oil-Other Quantity Consumed For Electricity,Distillate Fuel Oil-Other Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2006-05-01,165556.0,1876813.0,1876813.0,11.0,279.0,279.0,,,,28.0,320.0,320.0,599.0,6794.0,6794.0,,,
2006-06-01,105758.0,1119238.0,1119238.0,195.0,3399.0,3399.0,,,,6.0,59.0,59.0,1609.0,17025.0,17025.0,,,
2006-07-01,196017.0,2060933.0,2060933.0,100.0,1929.0,1929.0,,,,8.0,82.0,82.0,716.0,7525.0,7525.0,,,
2006-08-01,188533.0,1944718.0,1944718.0,334.0,5980.0,5980.0,,,,5.0,47.0,47.0,2045.0,21095.0,21095.0,,,
2006-09-01,60379.0,646096.0,646096.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,724.0,7749.0,7749.0,,,
2006-10-01,83101.0,744979.0,744979.0,0.0,0.0,0.0,,,,352.0,3152.0,3152.0,448.0,4016.0,4016.0,,,
2006-11-01,139238.0,1269308.0,1269308.0,0.0,0.0,0.0,,,,421.0,3839.0,3839.0,1589.0,14485.0,14485.0,,,
2006-12-01,155073.0,1713919.0,1713919.0,2.0,47.0,47.0,,,,796.0,8793.0,8793.0,711.0,7854.0,7854.0,,,
2007-01-01,135758.076,1442470.0,1442470.0,56.0,382.0,382.0,,,,840.837,8934.0,8934.0,793.0880000000001,8427.0,8427.0,,,
2007-02-01,160852.998,1713461.0,1713461.0,342.0,5970.0,5970.0,,,,923.5640000000001,9838.0,9838.0,912.438,9720.0,9720.0,,,
2007-03-01,177008.175,1863287.0,1863287.0,61.0,1057.0,1057.0,,,,639.61,6733.0,6733.0,761.215,8013.0,8013.0,,,
2007-04-01,143351.649,1486751.0,1486751.0,0.0,0.0,0.0,,,,456.18100000000004,4731.0,4731.0,344.16900000000004,3570.0,3570.0,,,
2007-05-01,45726.207,448246.0,448246.0,58.0,711.0,711.0,,,,2.395,23.0,23.0,403.398,3954.0,3954.0,,,
2007-06-01,163341.644,1695728.0,1695728.0,233.0,5557.0,5557.0,,,,51.454,534.0,534.0,1193.902,12394.0,12394.0,,,
2007-07-01,225812.251,2334364.0,2334364.0,131.0,2340.0,2340.0,,,,0.5680000000000001,6.0,6.0,492.18100000000004,5088.0,5088.0,,,
2007-08-01,222848.872,2309938.0,2309938.0,537.0,9961.0,9961.0,,,,8.495,88.0,88.0,531.634,5511.0,5511.0,,,
2007-09-01,221110.152,2116122.0,2116122.0,196.0,4869.0,4869.0,,,,23.307000000000002,223.0,223.0,230.54100000000003,2206.0,2206.0,,,
2007-10-01,147634.367,1508016.0,1508016.0,109.0,1993.0,1993.0,,,,41.951,429.0,429.0,1228.682,12550.0,12550.0,,,
2007-11-01,162678.491,1808132.0,1808132.0,0.0,0.0,0.0,,,,395.60400000000004,4397.0,4397.0,1516.905,16860.0,16860.0,,,
2007-12-01,200857.384,2289873.0,2289873.0,0.0,0.0,0.0,,,,710.206,8097.0,8097.0,185.41,2114.0,2114.0,,,
2008-01-01,163879.54,1817772.0,1817772.0,143.0,2065.0,2065.0,0.0,9653.0,9653.0,,,,685.46,7603.0,7603.0,0.0,0.0,0.0
2008-02-01,173302.93,1981921.0,1981921.0,0.0,0.0,0.0,0.0,7599.0,7599.0,,,,495.07,5662.0,5662.0,0.0,0.0,0.0
2008-03-01,157635.147,1771895.0,1771895.0,0.0,0.0,0.0,,,,,,,509.853,5731.0,5731.0,0.0,0.0,0.0
2008-04-01,0.0,0.0,0.0,24.0,517.0,517.0,0.0,880.0,880.0,,,,817.7330000000001,6090.0,6090.0,52033.267,387503.0,387503.0
2008-05-01,34529.078,454248.0,454248.0,0.0,0.0,0.0,0.0,2107.0,2107.0,,,,3017.435,39696.0,39696.0,23348.487,307162.0,307162.0
2008-06-01,164761.79,1815501.0,1815501.0,171.0,2936.0,2936.0,,,,,,,902.21,9941.0,9941.0,0.0,0.0,0.0
2008-07-01,190676.957,2041975.0,2041975.0,0.0,116.0,116.0,,,,,,,933.043,9992.0,9992.0,0.0,0.0,0.0
2008-08-01,207734.566,2222876.0,2222876.0,30.0,498.0,498.0,,,,,,,430.434,4606.0,4606.0,0.0,0.0,0.0
2008-09-01,103147.225,1082220.0,1082220.0,0.0,278.0,278.0,,,,,,,647.465,6793.0,6793.0,4756.31,49903.0,49903.0
2008-10-01,104794.553,1226324.0,1226324.0,1.0,1679.0,1679.0,,,,,,,1234.891,14451.0,14451.0,29615.556,346566.0,346566.0
2008-11-01,80925.952,891767.0,891767.0,17.0,371.0,371.0,0.0,5365.0,5365.0,,,,681.515,7510.0,7510.0,77980.533,859309.0,859309.0
2008-12-01,127035.796,1384578.0,1384578.0,28.0,457.0,457.0,0.0,7842.0,7842.0,,,,528.408,5759.0,5759.0,52715.796,574556.0,574556.0
2009-01-01,148819.958,1565309.0,1565309.0,0.0,0.0,0.0,0.0,8683.0,8683.0,,,,350.13800000000003,3683.0,3683.0,36454.904,383438.0,383438.0
2009-02-01,30846.898,360333.0,360333.0,0.0,0.0,0.0,0.0,8009.0,8009.0,,,,968.981,11319.0,11319.0,2250.121,26284.0,26284.0
2009-03-01,31821.206,325836.0,325836.0,0.0,0.0,0.0,0.0,4984.0,4984.0,,,,364.605,3733.0,3733.0,6824.189,69877.0,69877.0
2009-04-01,73528.284,796884.0,796884.0,1.0,18.0,18.0,0.0,1805.0,1805.0,,,,375.77,4073.0,4073.0,24636.946,267010.0,267010.0
2009-05-01,69025.045,712584.0,712584.0,18.0,335.0,335.0,0.0,0.0,0.0,,,,835.0830000000001,8621.0,8621.0,47905.872,494559.0,494559.0
2009-06-01,38457.437,332350.0,332350.0,0.0,47.0,47.0,0.0,0.0,0.0,,,,1340.602,11585.0,11585.0,60793.961,525382.0,525382.0
2009-07-01,120913.524,1372188.0,1372188.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,602.476,6837.0,6837.0,0.0,0.0,0.0
2009-08-01,151965.651,1691092.0,1691092.0,25.0,463.0,463.0,0.0,0.0,0.0,,,,453.34900000000005,5045.0,5045.0,0.0,0.0,0.0
2009-09-01,7377.519,77839.0,77839.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,539.481,5692.0,5692.0,0.0,0.0,0.0
2009-10-01,50947.294,518525.0,518525.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,345.706,3518.0,3518.0,0.0,0.0,0.0
2009-11-01,47204.178,523984.0,523984.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1483.8220000000001,16471.0,16471.0,0.0,0.0,0.0
2009-12-01,124823.738,1362803.0,1362803.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1327.2620000000002,14491.0,14491.0,0.0,0.0,0.0
2010-01-01,96693.597,1083461.0,1083461.0,0.0,0.0,0.0,,,,,,,1019.403,11423.0,11423.0,0.0,0.0,0.0
2010-02-01,91630.416,1098167.0,1098167.0,0.0,0.0,0.0,,,,,,,223.584,2680.0,2680.0,0.0,0.0,0.0
2010-03-01,28768.786,383489.0,383489.0,0.0,0.0,0.0,,,,,,,401.214,5348.0,5348.0,0.0,0.0,0.0
2010-04-01,0.0,0.0,0.0,7.0,174.0,174.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,23157.254,273046.0,273046.0,0.0,0.0,0.0,,,,,,,1658.746,19558.0,19558.0,0.0,0.0,0.0
2010-06-01,23447.857,275044.0,275044.0,83.0,1369.0,1369.0,,,,,,,6010.606000000001,70505.0,70505.0,49485.537,580467.0,580467.0
2010-07-01,8742.454,100842.0,100842.0,265.0,3684.0,3684.0,,,,,,,4650.549,53643.0,53643.0,140342.997,1618816.0,1618816.0
2010-08-01,17812.059,206017.0,206017.0,139.0,3521.0,3521.0,,,,,,,3499.175,40472.0,40472.0,99998.766,1156601.0,1156601.0
2010-09-01,5483.067,61943.0,61943.0,145.0,1333.0,1333.0,,,,,,,1840.5230000000001,20793.0,20793.0,50053.41,565457.0,565457.0
2010-10-01,478.577,5372.0,5372.0,0.0,0.0,0.0,,,,,,,1145.972,12863.0,12863.0,14930.451000000001,167583.0,167583.0
2010-11-01,385.95500000000004,4489.0,4489.0,0.0,0.0,0.0,,,,,,,1448.712,16851.0,16851.0,57773.333,672008.0,672008.0
2010-12-01,0.0,0.0,0.0,27.0,561.0,561.0,,,,,,,2145.594,24284.0,24284.0,137337.406,1554404.0,1554404.0
2011-01-01,1605.705,17724.0,17724.0,0.0,0.0,0.0,,,,,,,1278.441,14111.0,14111.0,132907.85,1467043.0,1467043.0
2011-02-01,20791.294,236738.0,236738.0,0.0,0.0,0.0,,,,,,,2340.581,26651.0,26651.0,45287.125,515657.0,515657.0
2011-03-01,36663.967,431218.0,431218.0,22.0,366.0,366.0,,,,,,,973.03,11444.0,11444.0,23796.003,279874.0,279874.0
2011-04-01,181.724,2305.0,2305.0,0.0,0.0,0.0,,,,,,,110.25,1398.0,1398.0,455.026,5771.0,5771.0
2011-05-01,59967.088,666038.0,666038.0,93.0,1764.0,1764.0,,,,,,,766.281,8511.0,8511.0,30309.631,336641.0,336641.0
2011-06-01,61972.583,698311.0,698311.0,169.0,3405.0,3405.0,,,,,,,798.528,8998.0,8998.0,61699.889,695238.0,695238.0
2011-07-01,20950.798,232440.0,232440.0,300.0,5221.0,5221.0,,,,,,,499.091,5537.0,5537.0,154876.11,1718284.0,1718284.0
2011-08-01,24547.651,276316.0,276316.0,25.0,537.0,537.0,,,,,,,985.72,11096.0,11096.0,137095.63,1543191.0,1543191.0
2011-09-01,25.328,313.0,313.0,56.0,1028.0,1028.0,,,,,,,1621.804,20032.0,20032.0,52355.868,646682.0,646682.0
2011-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,197.37,2326.0,2326.0,5346.63,63011.0,63011.0
2011-11-01,0.0,0.0,0.0,1.0,18.0,18.0,,,,,,,789.524,9063.0,9063.0,44417.476,509880.0,509880.0
2011-12-01,615.642,7612.0,7612.0,0.0,0.0,0.0,,,,,,,1929.021,23852.0,23852.0,65221.337,806465.0,806465.0
2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,634.289,7250.0,7250.0,28820.711,329406.0,329406.0
2012-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,721.219,9447.0,9447.0,9078.781,118917.0,118917.0
2012-03-01,0.0,0.0,0.0,85.0,1413.0,1413.0,,,,,,,169.469,2130.0,2130.0,4548.531,57159.0,57159.0
2012-04-01,0.0,0.0,0.0,18.0,360.0,360.0,,,,,,,924.674,11787.0,11787.0,12347.326,157399.0,157399.0
2012-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,669.867,7730.0,7730.0,116615.13,1345609.0,1345609.0
2012-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1141.683,13541.0,13541.0,52395.317,621453.0,621453.0
2012-07-01,446.145,4953.0,4953.0,31.0,564.0,564.0,,,,,,,393.805,4372.0,4372.0,156255.05,1734812.0,1734812.0
2012-08-01,843.481,9698.0,9698.0,59.0,1092.0,1092.0,,,,,,,1173.271,13490.0,13490.0,85109.248,978556.0,978556.0
2012-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,434.728,5579.0,5579.0,68959.272,884937.0,884937.0
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,284.675,3235.0,3235.0,21895.325,248849.0,248849.0
2012-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1278.04,15451.0,15451.0,57433.96,694364.0,694364.0
2012-12-01,15682.986,182940.0,182940.0,0.0,0.0,0.0,,,,,,,121.726,1420.0,1420.0,81944.288,955871.0,955871.0
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1119.636,12899.0,12899.0,47590.364,548275.0,548275.0
2013-02-01,2374.478,22179.0,22179.0,0.0,0.0,0.0,,,,,,,222.327,2077.0,2077.0,17704.195,165369.0,165369.0
2013-03-01,46.89,566.0,566.0,17.0,282.0,282.0,,,,,,,353.371,4266.0,4266.0,40150.739,484702.0,484702.0
2013-04-01,756.109,5918.0,5918.0,82.0,1467.0,1467.0,,,,,,,319.693,2502.0,2502.0,8663.198,67805.0,67805.0
2013-05-01,0.0,0.0,0.0,149.0,2572.0,2572.0,,,,,,,1239.765,14903.0,14903.0,38320.235,460653.0,460653.0
2013-06-01,3501.434,41014.0,41014.0,47.0,857.0,857.0,,,,,,,1065.274,12478.0,12478.0,50877.292,595945.0,595945.0
2013-07-01,18143.051,204142.0,204142.0,143.0,2509.0,2509.0,,,,,,,493.949,5558.0,5558.0,83567.0,940278.0,940278.0
2013-08-01,6846.218,82327.0,82327.0,46.0,903.0,903.0,,,,,,,1435.668,17264.0,17264.0,27450.114,330093.0,330093.0
2013-09-01,14832.781,161068.0,161068.0,100.0,1703.0,1703.0,,,,,,,1162.219,12620.0,12620.0,81040.0,880007.0,880007.0
2013-10-01,5977.93,65557.0,65557.0,0.0,0.0,0.0,,,,,,,319.61,3505.0,3505.0,48970.46,537035.0,537035.0
2013-11-01,11835.634,130159.0,130159.0,26.0,443.0,443.0,,,,50.23,552.0,552.0,594.085,6533.0,6533.0,92630.051,1018670.0,1018670.0
2013-12-01,149.894,1833.0,1833.0,77.0,1283.0,1283.0,,,,0.0,0.0,0.0,853.671,10440.0,10440.0,48432.435,592334.0,592334.0
2014-01-01,12142.326,137861.0,137861.0,2463.0,39006.0,39006.0,,,,0.0,0.0,0.0,418.658,4753.0,4753.0,151364.02,1718554.0,1718554.0
2014-02-01,12032.338,136111.0,136111.0,37.0,748.0,748.0,,,,0.0,0.0,0.0,753.492,8524.0,8524.0,71700.17,811081.0,811081.0
2014-03-01,9956.167,114223.0,114223.0,362.0,5852.0,5852.0,,,,0.0,0.0,0.0,515.987,5920.0,5920.0,64451.846,739428.0,739428.0
2014-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,735.532,9111.0,9111.0,23552.468,291734.0,291734.0
2014-05-01,0.0,0.0,0.0,15.0,610.0,610.0,,,,,,,382.914,4544.0,4544.0,27724.086,329025.0,329025.0
2014-06-01,0.0,0.0,0.0,1.0,40.0,40.0,,,,,,,340.793,4012.0,4012.0,51602.207,607525.0,607525.0
2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,324.284,3946.0,3946.0,16645.716,202574.0,202574.0
2014-08-01,1848.579,23769.0,23769.0,34.0,639.0,639.0,,,,,,,731.779,9409.0,9409.0,11286.642,145125.0,145125.0
2014-09-01,0.0,0.0,0.0,22.0,380.0,380.0,,,,,,,626.907,8298.0,8298.0,10555.093,139717.0,139717.0
2014-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,355.71,4497.0,4497.0,6707.29,84792.0,84792.0
2014-11-01,0.0,0.0,0.0,14.0,282.0,282.0,,,,,,,240.553,2909.0,2909.0,7221.447,87332.0,87332.0
2014-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,344.484,4492.0,4492.0,6617.516,86294.0,86294.0
2015-01-01,5385.499,68299.0,68299.0,67.0,1145.0,1145.0,,,,,,,1022.825,12971.0,12971.0,26370.676,334432.0,334432.0
2015-02-01,6926.208,82964.0,82964.0,202.0,3752.0,3752.0,,,,,,,1089.056,13045.0,13045.0,117915.74,1412424.0,1412424.0
2015-03-01,0.0,0.0,0.0,23.0,397.0,397.0,,,,,,,984.867,12384.0,12384.0,35100.133,441373.0,441373.0
2015-04-01,0.0,0.0,0.0,50.0,840.0,840.0,,,,,,,124.461,1508.0,1508.0,19033.539,230648.0,230648.0
2015-05-01,0.0,0.0,0.0,27.0,529.0,529.0,,,,,,,700.446,10208.0,10208.0,7678.554,111899.0,111899.0
2015-06-01,200.113,2591.0,2591.0,101.0,1865.0,1865.0,,,,,,,1165.408,15089.0,15089.0,38876.479,503360.0,503360.0
2015-07-01,0.0,0.0,0.0,0.0,86.0,86.0,,,,,,,552.91,7055.0,7055.0,31166.09,397654.0,397654.0
2015-08-01,2323.462,30083.0,30083.0,44.0,1164.0,1164.0,,,,,,,1086.878,14072.0,14072.0,44783.66,579832.0,579832.0
2015-09-01,93.006,1161.0,1161.0,29.0,600.0,600.0,,,,,,,621.261,7755.0,7755.0,45807.733,571824.0,571824.0
2015-10-01,0.0,0.0,0.0,50.0,841.0,841.0,,,,,,,161.479,1998.0,1998.0,8660.521,107149.0,107149.0
2015-11-01,0.0,0.0,0.0,0.0,58.0,58.0,,,,,,,0.0,321.0,321.0,0.0,0.0,0.0
2015-12-01,1060.866,13416.0,13416.0,21.0,382.0,382.0,,,,,,,448.183,5668.0,5668.0,3232.951,40885.0,40885.0
2016-01-01,0.0,0.0,0.0,185.0,3210.0,3210.0,,,,,,,595.634,7281.0,7281.0,53537.366,654456.0,654456.0
2016-02-01,0.0,0.0,0.0,53.0,982.0,982.0,,,,,,,561.015,7118.0,7118.0,35930.985,455893.0,455893.0
2016-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,79.522,3740.0,3740.0,239.478,11264.0,11264.0
2016-04-01,0.0,0.0,0.0,32.0,617.0,617.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,0.0,0.0,0.0,69.0,1305.0,1305.0,,,,,,,177.228,2302.0,2302.0,2230.772,28970.0,28970.0
2016-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,820.377,11346.0,11346.0,20482.623,283290.0,283290.0
2016-07-01,0.0,0.0,0.0,114.0,2105.0,2105.0,,,,,,,787.557,10544.0,10544.0,64106.443,858282.0,858282.0
2016-08-01,1833.871,23868.0,23868.0,185.0,3574.0,3574.0,,,,,,,783.338,10195.0,10195.0,54024.791,703138.0,703138.0
2016-09-01,31479.061,403413.0,403413.0,0.0,0.0,0.0,,,,,,,1062.648,13618.0,13618.0,26121.291,334752.0,334752.0
2016-10-01,12088.004,156380.0,156380.0,0.0,35.0,35.0,,,,,,,416.451,5388.0,5388.0,3002.545,38843.0,38843.0
2016-11-01,15516.583,210061.0,210061.0,0.0,0.0,0.0,,,,,,,295.417,3999.0,3999.0,0.0,0.0,0.0
2016-12-01,10355.111,132626.0,132626.0,96.0,1662.0,1662.0,,,,,,,743.521,9523.0,9523.0,19462.368,249269.0,249269.0
2017-01-01,4792.997,59698.0,59698.0,0.0,0.0,0.0,,,,,,,461.982,5754.0,5754.0,15278.021,190291.0,190291.0
2017-02-01,2350.169,30713.0,30713.0,0.0,0.0,0.0,,,,,,,318.763,4166.0,4166.0,4614.068,60298.0,60298.0
2017-03-01,8765.067,105518.0,105518.0,0.0,0.0,0.0,,,,,,,479.086,5767.0,5767.0,9809.847,118096.0,118096.0
2017-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,773.873,9508.0,9508.0,0.0,0.0,0.0,,,,,,,178.48,2193.0,2193.0,3416.647,41976.0,41976.0
2017-06-01,5378.838,70106.0,70106.0,0.0,0.0,0.0,,,,,,,449.298,5856.0,5856.0,8960.864,116794.0,116794.0
