measured_on,"Purchased Steam-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Purchased Steam-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Purchased Steam-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2008-12-01,2268.841,22357.0,22357.0
2009-01-01,3401.828,33202.0,33202.0
2009-02-01,2480.917,24214.0,24214.0
2009-03-01,2708.3830000000003,26434.0,26434.0
2009-04-01,2788.225,27213.0,27213.0
2009-05-01,3223.295,31459.0,31459.0
2009-06-01,2785.8790000000004,27190.0,27190.0
2009-07-01,2263.1510000000003,22088.0,22088.0
2009-08-01,2560.65,24992.0,24992.0
2009-09-01,2080.791,20309.0,20309.0
2009-10-01,1990.7520000000002,19430.0,19430.0
2009-11-01,2109.825,20592.0,20592.0
2009-12-01,2031.304,19826.0,19826.0
2010-01-01,2352.679,22953.0,22953.0
2010-02-01,1948.3310000000001,19008.0,19008.0
2010-03-01,2109.135,20577.0,20577.0
2010-04-01,2814.7490000000003,27461.0,27461.0
2010-05-01,3669.915,35804.0,35804.0
2010-06-01,3207.482,31292.0,31292.0
2010-07-01,2930.8810000000003,28594.0,28594.0
2010-08-01,3640.8050000000003,35520.0,35520.0
2010-09-01,3121.085,30449.0,30449.0
2010-10-01,2383.7360000000003,23256.0,23256.0
2010-11-01,2354.368,22969.0,22969.0
2010-12-01,2122.8340000000003,20710.0,20710.0
2011-01-01,1579.561,15347.0,15347.0
2011-02-01,1485.859,14437.0,14437.0
2011-03-01,1570.626,15260.0,15260.0
2011-04-01,1587.392,15423.0,15423.0
2011-05-01,1419.838,13795.0,13795.0
2011-06-01,1364.801,13260.0,13260.0
2011-07-01,1780.352,17298.0,17298.0
2011-08-01,1656.758,16097.0,16097.0
2011-09-01,974.406,9467.0,9467.0
2011-10-01,1987.391,19309.0,19309.0
2011-11-01,2148.93,20879.0,20879.0
2011-12-01,1688.086,16401.0,16401.0
2012-01-01,2581.081,24562.0,24562.0
2012-02-01,2829.141,26922.0,26922.0
2012-03-01,2753.072,26198.0,26198.0
2012-04-01,1714.587,16316.0,16316.0
2012-05-01,1671.022,15901.0,15901.0
2012-06-01,2598.522,24728.0,24728.0
2012-07-01,2842.225,27047.0,27047.0
2012-08-01,3209.322,30540.0,30540.0
2012-09-01,2531.231,24087.0,24087.0
2012-10-01,3205.835,30507.0,30507.0
2012-11-01,3335.388,31740.0,31740.0
2012-12-01,2977.574,28335.0,28335.0
2013-01-01,3217.713,30700.0,30700.0
2013-02-01,1752.862,16724.0,16724.0
2013-03-01,4184.581,39925.0,39925.0
2013-04-01,3279.983,31294.0,31294.0
2013-05-01,3972.535,37902.0,37902.0
2013-06-01,3418.029,32611.0,32611.0
2013-07-01,3174.325,30286.0,30286.0
2013-08-01,3459.121,33003.0,33003.0
2013-09-01,1640.679,15654.0,15654.0
2013-10-01,1837.82,17535.0,17535.0
2013-11-01,1893.572,18067.0,18067.0
2013-12-01,1572.78,15006.0,15006.0
2014-01-01,1729.069,16443.0,16443.0
2014-02-01,1857.443,17664.0,17664.0
2014-03-01,1876.094,17842.0,17842.0
2014-04-01,2127.795,20235.0,20235.0
2014-05-01,3880.723,36906.0,36906.0
2014-06-01,3748.668,35650.0,35650.0
2014-07-01,3683.777,35033.0,35033.0
2014-08-01,3378.213,32127.0,32127.0
2014-09-01,2313.99,22006.0,22006.0
2014-10-01,2387.675,22707.0,22707.0
2014-11-01,3121.408,29685.0,29685.0
2014-12-01,2103.145,20001.0,20001.0
2015-01-01,1873.896,17463.0,17463.0
2015-02-01,1811.747,16884.0,16884.0
2015-03-01,2209.96,20595.0,20595.0
2015-04-01,3017.429,28119.0,28119.0
2015-05-01,3199.693,29818.0,29818.0
2015-06-01,3536.802,32959.0,32959.0
2015-07-01,3788.362,35304.0,35304.0
2015-08-01,3131.235,29180.0,29180.0
2015-09-01,2345.619,21859.0,21859.0
2015-10-01,3072.29,28631.0,28631.0
2015-11-01,1949.733,18170.0,18170.0
2015-12-01,2307.234,21501.0,21501.0
2016-01-01,2367.875,21860.0,21860.0
2016-02-01,2618.502,24174.0,24174.0
2016-03-01,2912.475,26888.0,26888.0
2016-04-01,2871.393,26509.0,26509.0
2016-05-01,2576.397,23785.0,23785.0
2016-06-01,2606.153,24060.0,24060.0
2016-07-01,2228.629,20575.0,20575.0
2016-08-01,2426.38,22400.0,22400.0
2016-09-01,1881.331,17368.0,17368.0
2016-10-01,2061.986,19036.0,19036.0
2016-11-01,2476.158,22860.0,22860.0
2016-12-01,2596.721,23973.0,23973.0
2017-01-01,517.371,4767.0,4767.0
2017-02-01,447.359,4122.0,4122.0
2017-03-01,558.994,5150.0,5150.0
2017-04-01,579.945,5343.0,5343.0
2017-05-01,491.267,4526.0,4526.0
2017-06-01,596.025,5491.0,5491.0
2017-07-01,598.397,5513.0,5513.0
2017-08-01,599.276,5521.0,5521.0
2017-09-01,532.423,4905.0,4905.0
2017-10-01,526.235,4848.0,4848.0
2017-11-01,553.261,5097.0,5097.0
2017-12-01,575.077,5298.0,5298.0
2018-01-01,2182.937,19873.0,19873.0
2018-02-01,1791.178,16307.0,16307.0
2018-03-01,1852.726,16867.0,16867.0
2018-04-01,1578.719,14373.0,14373.0
2018-05-01,1947.126,17727.0,17727.0
2018-06-01,1994.543,18158.0,18158.0
2018-07-01,2110.869,19217.0,19217.0
2018-08-01,2134.475,19432.0,19432.0
2018-09-01,1484.832,13518.0,13518.0
2018-10-01,1859.25,16927.0,16927.0
2018-11-01,2053.418,18694.0,18694.0
2018-12-01,2230.757,20309.0,20309.0
2019-01-01,1715.732,15279.0,15279.0
2019-02-01,1391.658,12393.0,12393.0
2019-03-01,1535.206,13671.0,13671.0
2019-04-01,1513.338,13476.0,13476.0
2019-05-01,1630.164,14517.0,14517.0
2019-06-01,1696.872,15111.0,15111.0
2019-07-01,1727.944,15387.0,15387.0
2019-08-01,1823.578,16239.0,16239.0
2019-09-01,1431.995,12752.0,12752.0
2019-10-01,783.951,6981.0,6981.0
2019-11-01,1720.821,15324.0,15324.0
2019-12-01,1823.461,16238.0,16238.0
2020-01-01,501.537,4397.0,4397.0
2020-02-01,452.981,3971.0,3971.0
2020-03-01,484.066,4244.0,4244.0
2020-04-01,497.673,4363.0,4363.0
2020-05-01,534.553,4686.0,4686.0
2020-06-01,496.347,4351.0,4351.0
2020-07-01,532.685,4670.0,4670.0
2020-08-01,564.753,4951.0,4951.0
2020-09-01,516.475,4528.0,4528.0
2020-10-01,548.066,4805.0,4805.0
2020-11-01,539.326,4728.0,4728.0
2020-12-01,607.438,5325.0,5325.0
