measured_on,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Single Shaft Generation,Natural Gas-Combined Cycle Single Shaft Quantity Consumed For Electricity,Natural Gas-Combined Cycle Single Shaft Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2013-04-01,,,,167.586,2486.0,2486.0,87.145,1315.0,1315.0
2013-05-01,,,,206.732,3067.0,3067.0,107.5,1623.0,1623.0
2013-06-01,,,,148.768,2207.0,2207.0,77.359,1168.0,1168.0
2013-07-01,,,,212.023,3146.0,3146.0,110.252,1664.0,1664.0
2013-08-01,,,,186.655,2770.0,2770.0,97.061,1466.0,1466.0
2013-09-01,,,,112.036,1662.0,1662.0,58.259,880.0,880.0
2013-10-01,,,,124.106,1842.0,1842.0,64.535,974.0,974.0
2013-11-01,,,,120.851,1793.0,1793.0,62.843,949.0,949.0
2013-12-01,,,,142.233,2110.0,2110.0,73.961,1117.0,1117.0
2014-01-01,,,,-76.0,0.0,0.0,67.038,964.0,964.0
2014-02-01,,,,-66.0,0.0,0.0,62.734,902.0,902.0
2014-03-01,,,,-64.0,0.0,0.0,48.5,697.0,697.0
2014-04-01,,,,-68.0,124.0,124.0,45.095,649.0,649.0
2014-05-01,,,,-15.0,575.0,575.0,47.222,679.0,679.0
2014-06-01,,,,-49.0,0.0,0.0,49.035,706.0,706.0
2014-07-01,,,,184.0,2170.0,2170.0,31.281,450.0,450.0
2014-08-01,,,,143.0,1993.0,1993.0,51.241,737.0,737.0
2014-09-01,,,,0.0,0.0,0.0,41.786,602.0,602.0
2014-10-01,,,,-57.0,0.0,0.0,46.259,665.0,665.0
2014-11-01,,,,115.0,1891.0,1891.0,37.8,544.0,544.0
2014-12-01,,,,-78.0,2.0,2.0,51.009,733.0,733.0
2015-01-01,,,,-83.0,0.0,0.0,42.584,842.0,842.0
2015-02-01,,,,0.0,0.0,0.0,44.059,870.0,870.0
2015-03-01,,,,0.0,0.0,0.0,43.056,851.0,851.0
2015-04-01,,,,-53.0,0.0,0.0,31.58,624.0,624.0
2015-05-01,,,,-52.0,0.0,0.0,36.264,717.0,717.0
2015-06-01,,,,108.0,890.0,890.0,41.34,817.0,817.0
2015-07-01,,,,181.0,2637.0,2637.0,50.122,991.0,991.0
2015-08-01,,,,-47.0,0.0,0.0,42.447,838.0,838.0
2015-09-01,,,,0.0,0.0,0.0,42.018,830.0,830.0
2015-10-01,,,,0.0,0.0,0.0,47.468,938.0,938.0
2015-11-01,,,,0.0,0.0,0.0,43.691,863.0,863.0
2015-12-01,,,,-84.0,0.0,0.0,51.371,1016.0,1016.0
2016-01-01,,,,0.0,0.0,0.0,268.743,4742.0,4742.0
2016-02-01,,,,196.0,2755.0,2755.0,272.031,4799.0,4799.0
2016-03-01,,,,0.0,0.0,0.0,309.616,5461.0,5461.0
2016-04-01,,,,1900.0,18887.0,18887.0,355.63,6273.0,6273.0
2016-05-01,,,,1792.0,18196.0,18196.0,366.186,6459.0,6459.0
2016-06-01,,,,1060.0,10952.0,10952.0,348.342,6144.0,6144.0
2016-07-01,,,,1303.0,13867.0,13867.0,392.156,6917.0,6917.0
2016-08-01,,,,1945.0,29704.0,29704.0,468.367,8262.0,8262.0
2016-09-01,,,,1407.0,14251.0,14251.0,280.304,4944.0,4944.0
2016-10-01,,,,421.0,4193.0,4193.0,271.082,4781.0,4781.0
2016-11-01,,,,0.0,0.0,0.0,281.131,4958.0,4958.0
2016-12-01,,,,0.0,0.0,0.0,251.412,4434.0,4434.0
2017-01-01,,,,0.0,0.0,0.0,180.294,3220.0,3220.0
2017-02-01,,,,0.0,0.0,0.0,147.144,2627.0,2627.0
2017-03-01,,,,0.0,0.0,0.0,232.74,4154.0,4154.0
2017-04-01,,,,105.0,1122.0,1122.0,165.783,2959.0,2959.0
2017-05-01,,,,100.0,1023.0,1023.0,193.754,3459.0,3459.0
2017-06-01,,,,339.0,3525.0,3525.0,217.273,3878.0,3878.0
2017-07-01,,,,970.0,9910.0,9910.0,258.947,4623.0,4623.0
2017-08-01,,,,478.0,4970.0,4970.0,230.885,4121.0,4121.0
2017-09-01,,,,1670.0,17669.0,17669.0,203.126,3626.0,3626.0
2017-10-01,,,,185.0,1947.0,1947.0,223.074,3982.0,3982.0
2017-11-01,,,,0.0,0.0,0.0,188.569,3366.0,3366.0
2017-12-01,,,,0.0,0.0,0.0,234.411,4184.0,4184.0
2018-01-01,,,,399.0,4166.0,4166.0,84.594,2360.0,2360.0
2018-02-01,,,,0.0,0.0,0.0,73.336,2046.0,2046.0
2018-03-01,,,,0.0,0.0,0.0,97.252,2713.0,2713.0
2018-04-01,,,,418.0,4228.0,4228.0,80.945,2259.0,2259.0
2018-05-01,,,,1231.0,12706.0,12706.0,88.369,2466.0,2466.0
2018-06-01,,,,661.0,6562.0,6562.0,77.298,2157.0,2157.0
2018-07-01,,,,1492.0,16845.0,16845.0,85.211,2377.0,2377.0
2018-08-01,,,,1094.0,11114.0,11114.0,88.491,2469.0,2469.0
2018-09-01,,,,1248.0,12928.0,12928.0,73.549,2052.0,2052.0
2018-10-01,,,,921.0,9536.0,9536.0,69.685,1945.0,1945.0
2018-11-01,,,,759.0,7446.0,7446.0,61.993,1729.0,1729.0
2018-12-01,,,,0.0,0.0,0.0,68.277,1904.0,1904.0
2019-01-01,,,,0.0,0.0,0.0,200.846,2691.0,2691.0
2019-02-01,,,,0.0,0.0,0.0,171.727,2301.0,2301.0
2019-03-01,,,,150.0,1628.0,1628.0,184.015,2466.0,2466.0
2019-04-01,,,,0.0,0.0,0.0,189.952,2546.0,2546.0
2019-05-01,,,,552.0,5641.0,5641.0,179.903,2411.0,2411.0
2019-06-01,,,,0.0,0.0,0.0,187.347,2511.0,2511.0
2019-07-01,,,,0.0,0.0,0.0,255.749,3428.0,3428.0
2019-08-01,,,,0.0,0.0,0.0,239.52,3210.0,3210.0
2019-09-01,,,,0.0,0.0,0.0,190.033,2547.0,2547.0
2019-10-01,,,,0.0,0.0,0.0,223.697,2998.0,2998.0
2019-11-01,,,,0.0,0.0,0.0,203.006,2721.0,2721.0
2019-12-01,,,,0.0,0.0,0.0,213.205,2858.0,2858.0
2020-01-01,,,,,,,384.047,5370.0,5370.0
2020-02-01,,,,,,,338.031,4726.0,4726.0
2020-03-01,,,,,,,321.654,4496.0,4496.0
2020-04-01,,,,,,,286.156,4000.0,4000.0
2020-05-01,,,,,,,289.953,4053.0,4053.0
2020-06-01,,,,,,,316.19,4420.0,4420.0
2020-07-01,,,,,,,425.444,5947.0,5947.0
2020-08-01,,,,,,,339.831,4751.0,4751.0
2020-09-01,,,,,,,294.523,4117.0,4117.0
2020-10-01,,,,,,,322.165,4504.0,4504.0
2020-11-01,,,,,,,246.354,3444.0,3444.0
2020-12-01,,,,,,,306.652,4287.0,4287.0
2021-01-01,,,,,,,459.472,6699.0,6699.0
2021-02-01,,,,,,,484.723,7069.0,7069.0
2021-03-01,,,,,,,315.906,4607.0,4607.0
2021-04-01,,,,,,,384.89,5613.0,5613.0
2021-05-01,,,,,,,333.516,4863.0,4863.0
2021-06-01,,,,,,,461.673,6733.0,6733.0
2021-07-01,,,,,,,495.948,7233.0,7233.0
2021-08-01,,,,,,,514.26,7500.0,7500.0
2021-09-01,,,,,,,411.368,6000.0,6000.0
2021-10-01,,,,,,,399.521,5827.0,5827.0
2021-11-01,,,,,,,437.429,6380.0,6380.0
2021-12-01,,,,,,,405.294,5911.0,5911.0
2022-01-01,,,,,,,522.246,7647.0,7647.0
2022-02-01,,,,,,,426.465,6244.0,6244.0
2022-03-01,,,,,,,437.618,6407.0,6407.0
2022-04-01,,,,,,,384.405,5628.0,5628.0
2022-05-01,,,,,,,363.177,5317.0,5317.0
2022-06-01,,,,,,,569.354,8336.0,8336.0
2022-07-01,,,,,,,761.332,11147.0,11147.0
2022-08-01,,,,,,,694.859,10173.0,10173.0
2022-09-01,,,,,,,614.197,8992.0,8992.0
2022-10-01,,,,,,,596.112,8727.0,8727.0
2022-11-01,,,,,,,405.625,5939.0,5939.0
2022-12-01,,,,,,,553.61,8105.0,8105.0
2023-01-01,,,,,,,291.919,4431.0,4431.0
2023-02-01,,,,,,,285.367,4330.0,4330.0
2023-03-01,,,,,,,318.604,4834.0,4834.0
2023-04-01,,,,,,,309.499,4696.0,4696.0
2023-05-01,,,,,,,284.02,4310.0,4310.0
2023-06-01,,,,,,,325.251,4935.0,4935.0
2023-07-01,,,,,,,395.779,6005.0,6005.0
2023-08-01,,,,,,,382.343,5802.0,5802.0
2023-09-01,,,,,,,348.747,5291.0,5291.0
2023-10-01,,,,,,,307.363,4664.0,4664.0
2023-11-01,,,,,,,298.374,4527.0,4527.0
2023-12-01,,,,,,,352.734,5352.0,5352.0
2024-01-01,,,,,,,388.034,5709.0,5709.0
2024-02-01,,,,,,,449.2,6610.0,6610.0
2024-03-01,,,,,,,420.211,6184.0,6184.0
2024-04-01,,,,,,,426.106,6270.0,6270.0
2024-05-01,,,,,,,490.998,7224.0,7224.0
2024-06-01,,,,,,,456.784,6721.0,6721.0
2024-07-01,,,,,,,590.988,8697.0,8697.0
2024-08-01,,,,,,,576.863,8488.0,8488.0
2024-09-01,,,,,,,470.484,6923.0,6923.0
2024-10-01,,,,,,,332.866,4898.0,4898.0
2024-11-01,,,,,,,410.422,6039.0,6039.0
2024-12-01,,,,,,,408.044,6005.0,6005.0
