measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Waste heat not directly attributed to a fuel source Generation,Waste heat not directly attributed to a fuel source Quantity Consumed For Electricity,Waste heat not directly attributed to a fuel source Total Fuel Consumed
2006-04-01,2292.681,12673.84,30131.8,,,
2006-05-01,2224.06,12294.51,29229.94,,,
2006-06-01,2845.001,15727.04,37390.73,,,
2006-07-01,4260.569,23552.24,55994.98,,,
2006-08-01,4011.2110000000002,22173.79,52717.77,,,
2006-09-01,2845.152,15727.87,37392.72,,,
2006-10-01,3173.045,17540.45,41702.09,,,
2006-11-01,2729.243,15087.14,35869.37,,,
2006-12-01,2666.857,14742.27,35049.46,,,
2007-01-01,2885.545,15632.0,49774.0,,,
2007-02-01,2530.579,13709.0,43652.0,,,
2007-03-01,2620.734,14197.0,45206.0,,,
2007-04-01,2149.303,11644.0,37074.0,,,
2007-05-01,2193.442,11882.0,37836.0,,,
2007-06-01,1888.634,10231.0,32578.0,,,
2007-07-01,1761.8110000000001,9544.0,30390.0,,,
2007-08-01,1869.8280000000002,10130.0,32254.0,,,
2007-09-01,2112.672,11445.0,36443.0,,,
2007-10-01,1946.365,10544.0,33574.0,,,
2007-11-01,1846.4560000000001,10003.0,31851.0,,,
2007-12-01,2710.63,14684.0,46757.0,,,
2008-01-01,1723.269,9336.0,33706.0,,,
2008-02-01,1658.2920000000001,8984.0,32434.0,,,
2008-03-01,1597.545,8655.0,31246.0,,,
2008-04-01,1313.8,7117.0,25696.0,,,
2008-05-01,1345.164,7287.0,26310.0,,,
2008-06-01,1143.816,6197.0,22371.0,,,
2008-07-01,1256.39,6806.0,24573.0,,,
2008-08-01,1185.5320000000002,6422.0,23188.0,,,
2008-09-01,1014.498,5496.0,19842.0,,,
2008-10-01,1300.8680000000002,7047.0,25444.0,,,
2008-11-01,1270.2160000000001,6881.0,24844.0,,,
2008-12-01,1583.6100000000001,8579.0,30974.0,,,
2009-01-01,865.214,4783.0,21151.0,,,
2009-02-01,764.7990000000001,4228.0,18695.0,,,
2009-03-01,847.812,4687.0,20725.0,,,
2009-04-01,747.687,4133.0,18277.0,,,
2009-05-01,635.7330000000001,3514.0,15540.0,,,
2009-06-01,568.256,3141.0,13891.0,,,
2009-07-01,262.606,1452.0,6419.0,,,
2009-08-01,544.365,3009.0,13307.0,,,
2009-09-01,543.582,3005.0,13288.0,,,
2009-10-01,657.3530000000001,3634.0,16069.0,,,
2009-11-01,682.2330000000001,3771.0,16677.0,,,
2009-12-01,881.08,4871.0,21538.0,,,
2010-01-01,882.677,4879.0,22075.0,,,
2010-02-01,818.383,4524.0,20467.0,,,
2010-03-01,872.128,4821.0,21812.0,,,
2010-04-01,704.6410000000001,3895.0,17623.0,,,
2010-05-01,626.47,3463.0,15668.0,,,
2010-06-01,479.58500000000004,2651.0,11994.0,,,
2010-07-01,584.376,3230.0,14615.0,,,
2010-08-01,592.2520000000001,3274.0,14811.0,,,
2010-09-01,649.755,3592.0,16250.0,,,
2010-10-01,700.364,3872.0,17516.0,,,
2010-11-01,743.6750000000001,4111.0,18599.0,,,
2010-12-01,938.3340000000001,5187.0,23467.0,,,
2011-01-01,906.524,5011.0,23869.0,,,
2011-02-01,836.898,4626.0,22035.0,,,
2011-03-01,949.018,5246.0,24987.0,,,
2011-04-01,664.908,3676.0,17507.0,,,
2011-05-01,700.75,3874.0,18451.0,,,
2011-06-01,654.453,3618.0,17232.0,,,
2011-07-01,829.376,4585.0,21837.0,,,
2011-08-01,116.897,646.0,3078.0,,,
2011-09-01,568.534,3143.0,14970.0,,,
2011-10-01,645.643,3569.0,17000.0,,,
2011-11-01,721.598,3989.0,18999.0,,,
2011-12-01,909.841,5030.0,23956.0,,,
2012-01-01,0.0,5456.0,17889.0,,,
2012-02-01,0.0,5107.0,16745.0,,,
2012-03-01,0.0,5379.0,17636.0,,,
2012-04-01,0.0,5313.0,17420.0,,,
2012-05-01,0.0,4865.0,15951.0,,,
2012-06-01,0.0,4119.0,13505.0,,,
2012-07-01,0.0,3729.0,12228.0,,,
2012-08-01,0.0,4461.0,14625.0,,,
2012-09-01,0.0,4176.0,13694.0,,,
2012-10-01,0.0,4584.0,15031.0,,,
2012-11-01,0.0,4289.0,14062.0,,,
2012-12-01,0.0,5816.0,19068.0,,,
2013-01-01,1349.078,7458.0,24451.0,,,
2013-02-01,1198.947,6628.0,21730.0,,,
2013-03-01,1311.545,7250.0,23771.0,,,
2013-04-01,1363.464,7537.0,24711.0,,,
2013-05-01,1098.335,6072.0,19907.0,,,
2013-06-01,869.643,4807.0,15762.0,,,
2013-07-01,1052.523,5818.0,19076.0,,,
2013-08-01,921.829,5096.0,16708.0,,,
2013-09-01,659.738,3647.0,11957.0,,,
2013-10-01,1029.636,5692.0,18661.0,,,
2013-11-01,1113.118,6153.0,20174.0,,,
2013-12-01,1374.844,7600.0,24918.0,,,
2014-01-01,1952.321,10792.0,35383.0,,,
2014-02-01,1466.837,8109.0,26585.0,,,
2014-03-01,1563.227,8641.0,28332.0,,,
2014-04-01,1202.163,6646.0,21788.0,,,
2014-05-01,1255.424,6940.0,22754.0,,,
2014-06-01,1108.926,6130.0,20098.0,,,
2014-07-01,1141.282,6309.0,20684.0,,,
2014-08-01,1016.265,5618.0,18419.0,,,
2014-09-01,1588.677,8782.0,28793.0,,,
2014-10-01,1357.178,7502.0,24598.0,,,
2014-11-01,2135.159,11803.0,38698.0,,,
2014-12-01,1904.481,10528.0,34517.0,,,
2015-01-01,0.0,7264.0,23816.0,,,
2015-02-01,0.0,6234.0,20438.0,,,
2015-03-01,0.0,7315.0,23981.0,,,
2015-04-01,0.0,6981.0,22887.0,,,
2015-05-01,0.0,6168.0,20221.0,,,
2015-06-01,0.0,8733.0,28632.0,,,
2015-07-01,0.0,9939.0,32585.0,,,
2015-08-01,0.0,9547.0,31300.0,,,
2015-09-01,0.0,8875.0,29097.0,,,
2015-10-01,0.0,9210.0,30196.0,,,
2015-11-01,0.0,9319.0,30552.0,,,
2015-12-01,0.0,8497.0,27859.0,,,
2016-01-01,1907.098,13014.0,31259.0,,,
2016-02-01,1869.719,12759.0,30647.0,,,
2016-03-01,2535.638,17303.0,41563.0,,,
2016-04-01,2338.847,15960.0,38337.0,,,
2016-05-01,2969.245,20262.0,48670.0,,,
2016-06-01,2148.937,14664.0,35224.0,,,
2016-07-01,1733.823,11832.0,28420.0,,,
2016-08-01,1720.631,11742.0,28203.0,,,
2016-09-01,1564.774,10678.0,25649.0,,,
2016-10-01,2071.226,14134.0,33950.0,,,
2016-11-01,2360.635,16109.0,38694.0,,,
2016-12-01,2567.427,17520.0,42084.0,,,
2017-01-01,0.0,18044.0,37551.0,,,
2017-02-01,0.0,13920.0,28969.0,,,
2017-03-01,0.0,14361.0,29888.0,,,
2017-04-01,0.0,16303.0,33928.0,,,
2017-05-01,0.0,17184.0,35762.0,,,
2017-06-01,0.0,12636.0,26298.0,,,
2017-07-01,0.0,18028.0,37519.0,,,
2017-08-01,0.0,18200.0,37877.0,,,
2017-09-01,0.0,15657.0,32583.0,,,
2017-10-01,0.0,16826.0,35018.0,,,
2017-11-01,0.0,18348.0,38184.0,,,
2017-12-01,0.0,20702.0,43084.0,,,
2018-01-01,0.0,16545.0,34205.0,,,
2018-02-01,0.0,19936.0,41213.0,,,
2018-03-01,0.0,15946.0,32966.0,,,
2018-04-01,0.0,19267.0,39830.0,,,
2018-05-01,0.0,15690.0,32436.0,,,
2018-06-01,0.0,17556.0,36293.0,,,
2018-07-01,0.0,21062.0,43541.0,,,
2018-08-01,0.0,21316.0,44066.0,,,
2018-09-01,0.0,20227.0,41815.0,,,
2018-10-01,0.0,21971.0,45420.0,0.0,0.0,0.0
2018-11-01,0.0,22349.0,46202.0,0.0,0.0,0.0
2018-12-01,0.0,20189.0,41737.0,0.0,0.0,0.0
2019-01-01,2274.406,15837.0,37974.0,0.0,0.0,0.0
2019-02-01,2549.616,17754.0,42572.0,0.0,0.0,0.0
2019-03-01,2497.87,17393.0,41707.0,0.0,0.0,0.0
2019-04-01,1970.416,13721.0,32900.0,0.0,0.0,0.0
2019-05-01,2459.421,17126.0,41066.0,0.0,0.0,0.0
2019-06-01,2249.31,15663.0,37557.0,0.0,0.0,0.0
2019-07-01,2326.117,16197.0,38840.0,0.0,0.0,0.0
2019-08-01,2395.008,16677.0,39990.0,0.0,0.0,0.0
2019-09-01,2425.118,16887.0,40493.0,0.0,0.0,0.0
2019-10-01,2767.651,19272.0,46212.0,0.0,0.0,0.0
2019-11-01,3099.262,21581.0,51749.0,0.0,0.0,0.0
2019-12-01,3420.685,23819.0,57116.0,0.0,0.0,0.0
2020-01-01,2277.501,15542.0,40811.0,0.0,0.0,0.0
2020-02-01,2036.572,13898.0,36494.0,0.0,0.0,0.0
2020-03-01,2360.812,16110.0,42303.0,0.0,0.0,0.0
2020-04-01,1734.608,11837.0,31083.0,0.0,0.0,0.0
2020-05-01,1463.768,9989.0,26230.0,0.0,0.0,0.0
2020-06-01,1690.34,11535.0,30289.0,0.0,0.0,0.0
2020-07-01,2766.046,18875.0,49565.0,0.0,0.0,0.0
2020-08-01,4120.678,28120.0,73839.0,0.0,0.0,0.0
2020-09-01,2248.263,15342.0,40287.0,0.0,0.0,0.0
2020-10-01,2162.562,14757.0,38751.0,0.0,0.0,0.0
2020-11-01,1902.889,12985.0,34099.0,0.0,0.0,0.0
2020-12-01,1593.961,10877.0,28562.0,0.0,0.0,0.0
2021-01-01,1547.531,10560.0,28214.0,0.0,0.0,0.0
2021-02-01,1456.859,9942.0,26563.0,0.0,0.0,0.0
2021-03-01,1733.55,11830.0,31608.0,0.0,0.0,0.0
2021-04-01,2544.956,17367.0,46402.0,0.0,0.0,0.0
2021-05-01,2180.223,14878.0,39752.0,0.0,0.0,0.0
2021-06-01,2670.061,18220.0,48683.0,0.0,0.0,0.0
2021-07-01,2757.228,18815.0,50272.0,0.0,0.0,0.0
2021-08-01,2403.865,16404.0,43829.0,0.0,0.0,0.0
2021-09-01,2687.66,18341.0,49004.0,0.0,0.0,0.0
2021-10-01,1892.997,12918.0,34514.0,0.0,0.0,0.0
2021-11-01,2051.193,13997.0,37399.0,0.0,0.0,0.0
2021-12-01,1765.877,12050.0,32197.0,0.0,0.0,0.0
2022-01-01,955.263,6519.0,17416.0,0.0,0.0,0.0
2022-02-01,688.302,4697.0,12549.0,0.0,0.0,0.0
2022-03-01,796.905,5438.0,14530.0,0.0,0.0,0.0
2022-04-01,1322.741,9026.0,24118.0,0.0,0.0,0.0
2022-05-01,1638.187,11179.0,29868.0,0.0,0.0,0.0
2022-06-01,1413.045,9643.0,25764.0,0.0,0.0,0.0
2022-07-01,1900.114,12966.0,34645.0,0.0,0.0,0.0
2022-08-01,1999.009,13641.0,36448.0,0.0,0.0,0.0
2022-09-01,1449.267,9890.0,26425.0,0.0,0.0,0.0
2022-10-01,1939.767,13237.0,35367.0,0.0,0.0,0.0
2022-11-01,1740.664,11878.0,31738.0,0.0,0.0,0.0
2022-12-01,2062.736,14076.0,37610.0,0.0,0.0,0.0
2023-01-01,1975.927,13484.0,24185.0,0.0,0.0,0.0
2023-02-01,1672.535,11413.0,20472.0,0.0,0.0,0.0
2023-03-01,1716.547,11714.0,21010.0,0.0,0.0,0.0
2023-04-01,1102.099,7521.0,13490.0,0.0,0.0,0.0
2023-05-01,1752.297,11958.0,21448.0,0.0,0.0,0.0
2023-06-01,1713.411,11692.0,20973.0,0.0,0.0,0.0
2023-07-01,1764.49,12041.0,21597.0,0.0,0.0,0.0
2023-08-01,2142.673,14622.0,26226.0,0.0,0.0,0.0
2023-09-01,1535.646,10479.0,18797.0,0.0,0.0,0.0
2023-10-01,1996.702,13625.0,24440.0,0.0,0.0,0.0
2023-11-01,2133.41,14558.0,26114.0,0.0,0.0,0.0
2023-12-01,2292.263,15642.0,28058.0,0.0,0.0,0.0
2024-01-01,444.597,3034.0,5442.0,0.0,0.0,0.0
2024-02-01,409.011,2791.0,5006.0,0.0,0.0,0.0
2024-03-01,403.848,2756.0,4943.0,0.0,0.0,0.0
2024-04-01,310.532,2119.0,3801.0,0.0,0.0,0.0
2024-05-01,384.882,2626.0,4711.0,0.0,0.0,0.0
2024-06-01,404.854,2763.0,4955.0,0.0,0.0,0.0
2024-07-01,405.903,2770.0,4968.0,0.0,0.0,0.0
2024-08-01,410.667,2802.0,5027.0,0.0,0.0,0.0
2024-09-01,312.876,2135.0,3830.0,0.0,0.0,0.0
2024-10-01,312.944,2136.0,3831.0,0.0,0.0,0.0
2024-11-01,332.449,2269.0,4070.0,0.0,0.0,0.0
2024-12-01,356.437,2432.0,4363.0,0.0,0.0,0.0
