measured_on,Bituminous Coal-Combined Cycle Combustion Turbine Part Generation,Bituminous Coal-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Bituminous Coal-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Bituminous Coal-Combined Cycle Steam Part Generation,Bituminous Coal-Combined Cycle Steam Part Quantity Consumed For Electricity,Bituminous Coal-Combined Cycle Steam Part Total Fuel Consumed,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-12-01,,,,,,,162427.0,1637433.0,1637433.0,-46.0,0.0,0.0,-164.0,0.0,0.0,126.0,1280.0,1280.0
2004-01-01,,,,,,,173951.0,1794394.0,1794394.0,-50.0,743.0,743.0,-177.0,0.0,0.0,206.0,2148.0,2148.0
2004-02-01,,,,,,,160527.0,1670202.0,1670202.0,20.0,1628.0,1628.0,-156.0,0.0,0.0,143.0,1487.0,1487.0
2004-03-01,,,,,,,168161.0,1691640.0,1691640.0,-55.0,0.0,0.0,-135.0,0.0,0.0,292.0,2932.0,2932.0
2004-04-01,,,,,,,138759.0,1390684.0,1390684.0,-2.0,1174.0,1174.0,-111.0,0.0,0.0,303.0,3092.0,3092.0
2004-05-01,,,,,,,195403.0,1986690.0,1986690.0,243.0,5640.0,5640.0,-205.0,0.0,0.0,76.0,767.0,767.0
2004-06-01,,,,,,,135207.0,1501078.0,1501078.0,-38.0,0.0,0.0,-104.0,0.0,0.0,441.0,4903.0,4903.0
2004-07-01,,,,,,,164447.0,1795325.0,1795325.0,-4.0,696.0,696.0,-123.0,0.0,0.0,182.0,2006.0,2006.0
2004-08-01,,,,,,,169423.0,1785280.0,1785280.0,39.0,1569.0,1569.0,-119.0,0.0,0.0,92.0,974.0,974.0
2004-09-01,,,,,,,79382.0,920417.0,920417.0,-17.0,661.0,661.0,-98.0,0.0,0.0,198.0,2401.0,2401.0
2004-10-01,,,,,,,76665.0,785781.0,785781.0,7.0,926.0,926.0,-84.0,0.0,0.0,429.0,4472.0,4472.0
2004-11-01,,,,,,,128426.0,1273668.0,1273668.0,15.0,1552.0,1552.0,-89.0,0.0,0.0,271.0,2690.0,2690.0
2004-12-01,,,,,,,175309.0,1669892.0,1669892.0,-71.0,0.0,0.0,-139.0,0.0,0.0,165.0,1578.0,1578.0
2005-01-01,,,,,,,125508.0,1187936.4,1187936.4,-144.0,0.0,0.0,0.0,0.0,0.0,653.0,6165.5,6165.5
2005-02-01,,,,,,,161144.0,1608235.2,1608235.2,123.0,3404.3,3404.3,-113.0,0.0,0.0,150.0,1498.6,1498.6
2005-03-01,,,,,,,191121.0,1885364.1,1885364.1,-56.0,11.8,11.8,-139.0,0.0,0.0,146.0,1392.4,1392.4
2005-04-01,,,,,,,176137.0,1754119.8,1754119.8,-10.0,672.6,672.6,-108.0,0.0,0.0,125.0,1262.6,1262.6
2005-05-01,,,,,,,61739.0,686888.1,686888.1,12.0,1357.2,1357.2,-33.0,0.0,0.0,241.0,2719.9,2719.9
2005-06-01,,,,,,,136735.0,1381795.2,1381795.2,-26.0,253.7,253.7,-45.0,0.0,0.0,488.0,4944.2,4944.2
2005-07-01,,,,,,,175449.0,1853312.4,1853312.4,879.0,17841.6,17841.6,147.0,0.0,0.0,78.0,802.4,802.4
2005-08-01,,,,,,,182207.0,1894403.7,1894403.7,298.0,6672.9,6672.9,55.0,0.0,0.0,160.0,1669.7,1669.7
2005-09-01,,,,,,,159656.0,1805319.9,1805319.9,-36.0,88.5,88.5,-41.0,0.0,0.0,67.0,755.2,755.2
2005-10-01,,,,,,,173714.0,1667198.7,1667198.7,59.0,1982.4,1982.4,-46.0,0.0,0.0,133.0,1274.4,1274.4
2005-11-01,,,,,,,131496.0,1316817.0,1316817.0,-57.0,0.0,0.0,-52.0,0.0,0.0,293.0,2932.3,2932.3
2005-12-01,,,,,,,198716.0,1944680.4,1944680.4,-25.0,1858.5,1858.5,-67.0,0.0,0.0,18.0,171.1,171.1
2006-01-01,,,,,,,165878.0,1659666.0,1659666.0,-73.0,466.0,466.0,-57.0,0.0,0.0,197.0,2006.0,2006.0
2006-02-01,,,,,,,166996.0,1632377.0,1632377.0,-92.0,0.0,0.0,-57.0,0.0,0.0,194.0,1912.0,1912.0
2006-03-01,,,,,,,206783.0,2027082.0,2027082.0,-73.0,325.0,325.0,-52.0,0.0,0.0,16.0,159.0,159.0
2006-04-01,,,,,,,122105.0,1175128.0,1175128.0,-54.0,254.0,254.0,-52.0,0.0,0.0,490.0,4767.0,4767.0
2006-05-01,,,,,,,172474.0,1700101.0,1700101.0,-57.0,195.0,195.0,-62.0,0.0,0.0,84.0,832.0,832.0
2006-06-01,,,,,,,151525.0,1553572.0,1553572.0,-58.0,148.0,148.0,-61.0,0.0,0.0,282.0,2897.0,2897.0
2006-07-01,,,,,,,172873.0,1805344.0,1805344.0,-2.0,1723.0,1723.0,-67.0,0.0,0.0,128.0,1310.0,1310.0
2006-08-01,,,,,,,185632.0,1873164.0,1873164.0,1308.0,23983.0,23983.0,427.0,0.0,0.0,105.0,1062.0,1062.0
2006-09-01,,,,,,,133284.0,1424082.0,1424082.0,-26.0,791.0,791.0,-130.0,0.0,0.0,128.0,1363.0,1363.0
2006-10-01,,,,,,,140709.0,1416886.0,1416886.0,-42.0,30.0,30.0,-116.0,0.0,0.0,443.0,4455.0,4455.0
2006-11-01,,,,,,,128849.0,1377533.0,1377533.0,-30.0,159.0,159.0,-69.0,0.0,0.0,199.0,2041.0,2041.0
2006-12-01,,,,,,,156471.0,1651584.0,1651584.0,-51.0,266.0,266.0,-140.0,0.0,0.0,219.0,2295.0,2295.0
2007-01-01,,,,,,,159234.066,1672330.0,1672330.0,-72.0,136.0,136.0,-135.0,0.0,0.0,294.934,3098.0,3098.0
2007-02-01,,,,,,,144075.745,1553091.0,1553091.0,-50.0,590.0,590.0,-150.0,0.0,0.0,234.255,2525.0,2525.0
2007-03-01,,,,,,,189002.51,1972059.0,1972059.0,-52.0,195.0,195.0,-146.0,0.0,0.0,129.49,1351.0,1351.0
2007-04-01,,,,,,,201888.302,2063703.0,2063703.0,-27.0,679.0,679.0,-158.0,0.0,0.0,12.698,130.0,130.0
2007-05-01,,,,,,,150396.839,1531076.0,1531076.0,-42.0,342.0,342.0,-189.0,0.0,0.0,154.161,1569.0,1569.0
2007-06-01,,,,,,,165554.301,1765779.0,1765779.0,-52.0,224.0,224.0,-149.0,0.0,0.0,69.699,743.0,743.0
2007-07-01,,,,,,,175919.368,1952304.0,1952304.0,-52.0,0.0,0.0,-135.0,0.0,0.0,52.632000000000005,584.0,584.0
2007-08-01,,,,,,,202943.922,2199144.0,2199144.0,1998.0,47613.0,47613.0,-454.0,0.0,0.0,7.078,77.0,77.0
2007-09-01,,,,,,,182367.097,1880727.0,1880727.0,505.0,12933.0,12933.0,131.0,0.0,0.0,38.903,401.0,401.0
2007-10-01,,,,,,,189349.082,1944128.0,1944128.0,423.0,10307.0,10307.0,28.0,0.0,0.0,10.918000000000001,112.0,112.0
2007-11-01,,,,,,,166981.355,1782938.0,1782938.0,-55.0,112.0,112.0,-142.0,0.0,0.0,106.645,1139.0,1139.0
2007-12-01,,,,,,,160303.198,1675145.0,1675145.0,-62.0,142.0,142.0,-161.0,0.0,0.0,181.80200000000002,1900.0,1900.0
2008-01-01,,,,,,,180700.283,1848079.0,1848079.0,-239.0,496.0,496.0,0.0,0.0,0.0,149.717,1531.0,1531.0
2008-02-01,,,,,,,159584.999,1624766.0,1624766.0,-72.0,4000.0,4000.0,0.0,0.0,0.0,139.001,1415.0,1415.0
2008-03-01,,,,,,,92954.323,981010.0,981010.0,-182.0,366.0,366.0,0.0,0.0,0.0,478.677,5052.0,5052.0
2008-04-01,,,,,,,166529.486,1815182.0,1815182.0,-264.0,0.0,0.0,0.0,0.0,0.0,8.514000000000001,93.0,93.0
2008-05-01,,,,,,,128232.516,1363822.0,1363822.0,-180.0,142.0,142.0,0.0,0.0,0.0,294.48400000000004,3132.0,3132.0
2008-06-01,,,,,,,166665.951,1808028.0,1808028.0,488.0,13688.0,13688.0,0.0,0.0,0.0,155.049,1682.0,1682.0
2008-07-01,,,,,,,156602.035,1690721.0,1690721.0,-147.0,0.0,0.0,0.0,0.0,0.0,114.965,1241.0,1241.0
2008-08-01,,,,,,,160868.091,1557209.0,1557209.0,137.0,7499.0,7499.0,0.0,0.0,0.0,65.909,638.0,638.0
2008-09-01,,,,,,,116781.678,1221339.0,1221339.0,-147.0,372.0,372.0,0.0,0.0,0.0,323.322,3381.0,3381.0
2008-10-01,,,,,,,153710.292,1601024.0,1601024.0,0.0,0.0,0.0,-80.0,1345.0,1345.0,65.708,684.0,684.0
2008-11-01,,,,,,,181510.529,1889677.0,1889677.0,-47.0,543.0,543.0,0.0,0.0,0.0,9.471,99.0,99.0
2008-12-01,,,,,,,149942.381,1554623.0,1554623.0,-134.0,1145.0,1145.0,0.0,0.0,0.0,283.619,2941.0,2941.0
2009-01-01,,,,,,,180879.404,1939072.0,1939072.0,-161.0,2590.0,2590.0,0.0,0.0,0.0,60.596000000000004,650.0,650.0
2009-02-01,,,,,,,131506.832,1424425.0,1424425.0,-110.0,0.0,0.0,0.0,0.0,0.0,259.168,2807.0,2807.0
2009-03-01,,,,,,,157450.661,1678136.0,1678136.0,-57.0,366.0,366.0,0.0,0.0,0.0,127.33900000000001,1357.0,1357.0
2009-04-01,,,,,,,160363.355,1672950.0,1672950.0,-122.0,0.0,0.0,0.0,0.0,0.0,120.645,1259.0,1259.0
2009-05-01,,,,,,,127625.243,1346612.0,1346612.0,-153.0,749.0,749.0,0.0,0.0,0.0,168.757,1781.0,1781.0
2009-06-01,,,,,,,161595.831,1725828.0,1725828.0,-164.0,378.0,378.0,0.0,0.0,0.0,65.169,696.0,696.0
2009-07-01,,,,,,,170583.647,1819900.0,1819900.0,-158.0,360.0,360.0,0.0,0.0,0.0,85.35300000000001,911.0,911.0
2009-08-01,,,,,,,161268.5,1773148.0,1773148.0,-122.0,1274.0,1274.0,0.0,0.0,0.0,220.5,2424.0,2424.0
2009-09-01,,,,,,,98767.672,1126650.0,1126650.0,-133.0,637.0,637.0,0.0,0.0,0.0,320.32800000000003,3654.0,3654.0
2009-10-01,,,,,,,120804.252,1293878.0,1293878.0,-172.0,378.0,378.0,0.0,0.0,0.0,322.748,3457.0,3457.0
2009-11-01,,,,,,,93521.977,906570.0,906570.0,-153.0,260.0,260.0,0.0,0.0,0.0,350.023,3393.0,3393.0
2009-12-01,,,,,,,176865.099,1670225.0,1670225.0,-277.0,94.0,94.0,0.0,0.0,0.0,324.901,3068.0,3068.0
2010-01-01,,,,,,,195619.025,1786352.0,1786352.0,-259.0,1499.0,1499.0,0.0,0.0,0.0,154.975,1415.0,1415.0
2010-02-01,,,,,,,186641.327,1673277.0,1673277.0,-208.0,0.0,0.0,0.0,0.0,0.0,185.673,1665.0,1665.0
2010-03-01,,,,,,,179119.22,1894367.0,1894367.0,-34.0,543.0,543.0,0.0,0.0,0.0,127.78,1351.0,1351.0
2010-04-01,,,,,,,143317.176,1509136.0,1509136.0,-96.0,248.0,248.0,0.0,0.0,0.0,84.824,893.0,893.0
2010-05-01,,,,,,,153548.189,1648130.0,1648130.0,-222.0,153.0,153.0,0.0,0.0,0.0,318.81100000000004,3422.0,3422.0
2010-06-01,,,,,,,187579.875,2040217.0,2040217.0,1201.0,24060.0,24060.0,0.0,0.0,0.0,58.125,632.0,632.0
2010-07-01,,,,,,,194881.037,2140127.0,2140127.0,-50.0,3670.0,3670.0,0.0,0.0,0.0,64.96300000000001,713.0,713.0
2010-08-01,,,,,,,171180.665,1887600.0,1887600.0,-253.0,696.0,696.0,0.0,0.0,0.0,219.335,2419.0,2419.0
2010-09-01,,,,,,,132031.222,1463500.0,1463500.0,-253.0,720.0,720.0,0.0,0.0,0.0,298.778,3312.0,3312.0
2010-10-01,,,,,,,145701.204,1576365.0,1576365.0,-247.0,838.0,838.0,0.0,0.0,0.0,323.796,3503.0,3503.0
2010-11-01,,,,,,,145558.063,1559738.0,1559738.0,-222.0,885.0,885.0,0.0,0.0,0.0,254.937,2732.0,2732.0
2010-12-01,,,,,,,193846.866,2074222.0,2074222.0,-270.0,400.0,400.0,0.0,0.0,0.0,195.13400000000001,2088.0,2088.0
2011-01-01,,,,,,,198737.16,2060920.0,2060920.0,-240.0,1859.0,1859.0,0.0,0.0,0.0,158.842,1647.0,1647.0
2011-02-01,0.0,0.0,0.0,-88.5,0.0,0.0,108035.02,1181082.0,1181082.0,-52.0,0.0,0.0,-88.5,0.0,0.0,103.985,1137.0,1137.0
2011-03-01,0.0,0.0,0.0,0.0,0.0,0.0,177256.64,1817898.0,1817898.0,-38.0,460.0,460.0,-190.0,0.0,0.0,322.356,3306.0,3306.0
2011-04-01,0.0,0.0,0.0,0.0,0.0,0.0,63081.419,700706.0,700706.0,-24.0,608.0,608.0,-117.0,0.0,0.0,131.581,1462.0,1462.0
2011-05-01,0.0,0.0,0.0,0.0,0.0,0.0,52652.011,559626.0,559626.0,-33.0,212.0,212.0,-128.0,0.0,0.0,608.989,6473.0,6473.0
2011-06-01,0.0,0.0,0.0,0.0,0.0,0.0,139526.67,1532650.0,1532650.0,-34.0,148.0,148.0,-183.0,0.0,0.0,251.333,2761.0,2761.0
2011-07-01,0.0,0.0,0.0,0.0,0.0,0.0,112848.13,1295386.0,1295386.0,-14.0,684.0,684.0,-178.0,0.0,0.0,370.868,4257.0,4257.0
2011-08-01,0.0,0.0,0.0,0.0,0.0,0.0,130888.51,1543898.0,1543898.0,-28.0,832.0,832.0,-202.0,0.0,0.0,89.492,1056.0,1056.0
2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,77884.319,888038.0,888038.0,-4.0,950.0,950.0,-148.0,0.0,0.0,215.681,2459.0,2459.0
2011-10-01,0.0,0.0,0.0,0.0,0.0,0.0,40953.582,470057.0,470057.0,-29.0,348.0,348.0,-119.0,0.0,0.0,324.418,3724.0,3724.0
2011-11-01,0.0,0.0,0.0,0.0,0.0,0.0,92497.202,1052905.0,1052905.0,-37.0,112.0,112.0,-147.0,0.0,0.0,443.798,5052.0,5052.0
2011-12-01,0.0,0.0,0.0,-47.5,0.0,0.0,22101.331,291362.0,291362.0,-47.0,0.0,0.0,-47.5,0.0,0.0,119.669,1578.0,1578.0
2012-01-01,0.0,0.0,0.0,-75.5,0.0,0.0,43414.153,509294.0,509294.0,-51.0,0.0,0.0,-75.5,0.0,0.0,588.847,6908.0,6908.0
2012-02-01,0.0,0.0,0.0,0.0,0.0,0.0,18009.405,207774.0,207774.0,16.0,1215.0,1215.0,-103.0,0.0,0.0,293.595,3387.0,3387.0
2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,6454.698,62776.0,62776.0,-40.0,177.0,177.0,-71.0,0.0,0.0,147.302,1433.0,1433.0
2012-04-01,0.0,0.0,0.0,-30.5,0.0,0.0,-805.905,0.0,0.0,-46.0,0.0,0.0,-30.5,0.0,0.0,-2.095,0.0,0.0
2012-05-01,0.0,0.0,0.0,-42.5,0.0,0.0,18848.556,214996.0,214996.0,-43.0,0.0,0.0,-42.5,0.0,0.0,206.444,2355.0,2355.0
2012-06-01,0.0,0.0,0.0,-64.0,0.0,0.0,57453.632,678736.0,678736.0,-43.0,0.0,0.0,-64.0,0.0,0.0,224.368,2651.0,2651.0
2012-07-01,0.0,0.0,0.0,0.0,0.0,0.0,143140.74,1654502.0,1654502.0,-35.0,366.0,366.0,-178.0,0.0,0.0,73.262,847.0,847.0
2012-08-01,0.0,0.0,0.0,-80.5,0.0,0.0,138357.77,1490293.0,1490293.0,-41.0,0.0,0.0,-80.5,0.0,0.0,52.231,563.0,563.0
2012-09-01,0.0,0.0,0.0,-36.0,0.0,0.0,47367.107,615771.0,615771.0,-38.0,0.0,0.0,-36.0,0.0,0.0,145.893,1897.0,1897.0
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.0,313.0,313.0,-88.0,0.0,0.0,-630.0,313.0,313.0
2012-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.0,525.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.0,319.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.0,53.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0,10278.0,10278.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2013-05-01,,,,0.0,0.0,0.0,-500.141,0.0,0.0,,,,,,,-1.859,0.0,0.0
2013-06-01,,,,0.0,0.0,0.0,-487.189,0.0,0.0,,,,,,,-1.811,0.0,0.0
2013-07-01,,,,0.0,0.0,0.0,-455.307,0.0,0.0,,,,,,,-1.693,0.0,0.0
2013-08-01,,,,0.0,0.0,0.0,-454.311,0.0,0.0,,,,,,,-1.689,0.0,0.0
2013-09-01,,,,0.0,0.0,0.0,-169.37,0.0,0.0,,,,,,,-0.63,0.0,0.0
2013-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2013-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2013-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
