measured_on,"Nuclear-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Nuclear-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Nuclear-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2007-02-01,675867.0,7086465.0,7086465.0
2007-03-01,759840.0,7966922.0,7966922.0
2007-04-01,739580.0,7754496.0,7754496.0
2007-05-01,686915.0,7202304.0,7202304.0
2007-06-01,731296.0,7667639.0,7667639.0
2007-07-01,748923.0,7852458.0,7852458.0
2007-08-01,745699.0,7818654.0,7818654.0
2007-09-01,726151.0,7613693.0,7613693.0
2007-10-01,757090.0,7938089.0,7938089.0
2007-11-01,741399.0,7773569.0,7773569.0
2007-12-01,762606.0,7995924.0,7995924.0
2008-01-01,769778.0,8073432.0,8073432.0
2008-02-01,718103.0,7531464.0,7531464.0
2008-03-01,559224.0,5865141.0,5865141.0
2008-04-01,195816.0,2053718.0,2053718.0
2008-05-01,765000.0,8023320.0,8023320.0
2008-06-01,711959.0,7467026.0,7467026.0
2008-07-01,747091.0,7835490.0,7835490.0
2008-08-01,747250.0,7837158.0,7837158.0
2008-09-01,728214.0,7637508.0,7637508.0
2008-10-01,759799.0,7968772.0,7968772.0
2008-11-01,740915.0,7770717.0,7770717.0
2008-12-01,768892.0,8064139.0,8064139.0
2009-01-01,770044.0,8076221.0,8076221.0
2009-02-01,695795.0,7297498.0,7297498.0
2009-03-01,768841.0,8063604.0,8063604.0
2009-04-01,706722.0,7412100.0,7412100.0
2009-05-01,765321.0,8026687.0,8026687.0
2009-06-01,734896.0,7707589.0,7707589.0
2009-07-01,751733.0,7884176.0,7884176.0
2009-08-01,746968.0,7834200.0,7834200.0
2009-09-01,727741.0,7632548.0,7632548.0
2009-10-01,763114.0,8003540.0,8003540.0
2009-11-01,641671.0,6729845.0,6729845.0
2009-12-01,764597.0,8019093.0,8019093.0
2010-01-01,711421.0,7440752.0,7440752.0
2010-02-01,692163.0,7239333.0,7239333.0
2010-03-01,216456.0,2263913.0,2263913.0
2010-04-01,427853.0,4474915.0,4474915.0
2010-05-01,764908.0,8000173.0,8000173.0
2010-06-01,727814.0,7612207.0,7612207.0
2010-07-01,744569.0,7787447.0,7787447.0
2010-08-01,744809.0,7789957.0,7789957.0
2010-09-01,440808.0,4610411.0,4610411.0
2010-10-01,764879.0,7999869.0,7999869.0
2010-11-01,329598.0,3447265.0,3447265.0
2010-12-01,760645.0,7955586.0,7955586.0
2011-01-01,724530.0,7581482.0,7581482.0
2011-02-01,693511.0,7256899.0,7256899.0
2011-03-01,765788.0,8013206.0,8013206.0
2011-04-01,741018.0,7754012.0,7754012.0
2011-05-01,636628.0,6661675.0,6661675.0
2011-06-01,731433.0,7653715.0,7653715.0
2011-07-01,745607.0,7802032.0,7802032.0
2011-08-01,743526.0,7780256.0,7780256.0
2011-09-01,734726.0,7688173.0,7688173.0
2011-10-01,763764.0,7992026.0,7992026.0
2011-11-01,740266.0,7746143.0,7746143.0
2011-12-01,767299.0,8029017.0,8029017.0
2012-01-01,539006.0,5648025.0,5648025.0
2012-02-01,718242.0,7526166.0,7526166.0
2012-03-01,97456.0,1021202.0,1021202.0
2012-04-01,652767.0,6840080.0,6840080.0
2012-05-01,765372.0,8020022.0,8020022.0
2012-06-01,688142.0,7210760.0,7210760.0
2012-07-01,741122.0,7765916.0,7765916.0
2012-08-01,739878.0,7752880.0,7752880.0
2012-09-01,723695.0,7583305.0,7583305.0
2012-10-01,759921.0,7962903.0,7962903.0
2012-11-01,741755.0,7772549.0,7772549.0
2012-12-01,767639.0,8043777.0,8043777.0
2013-01-01,769268.0,8037880.0,8037880.0
2013-02-01,624041.0,6520441.0,6520441.0
2013-03-01,766414.0,8008060.0,8008060.0
2013-04-01,742050.0,7753487.0,7753487.0
2013-05-01,763904.0,7981833.0,7981833.0
2013-06-01,733675.0,7665979.0,7665979.0
2013-07-01,652666.0,6819537.0,6819537.0
2013-08-01,743758.0,7771333.0,7771333.0
2013-09-01,724465.0,7569746.0,7569746.0
2013-10-01,756704.0,7906603.0,7906603.0
2013-11-01,740479.0,7737072.0,7737072.0
2013-12-01,767219.0,8016471.0,8016471.0
2014-01-01,769363.0,8046853.0,8046853.0
2014-02-01,565909.0,5918905.0,5918905.0
2014-03-01,265586.0,2777793.0,2777793.0
2014-04-01,743291.0,7774163.0,7774163.0
2014-05-01,764447.0,7995436.0,7995436.0
2014-06-01,732564.0,7661968.0,7661968.0
2014-07-01,747472.0,7817893.0,7817893.0
2014-08-01,747942.0,7822808.0,7822808.0
2014-09-01,725686.0,7590030.0,7590030.0
2014-10-01,759344.0,7942063.0,7942063.0
2014-11-01,740676.0,7746813.0,7746813.0
2014-12-01,768276.0,8035484.0,8035484.0
2015-01-01,769140.0,8044049.0,8044049.0
2015-02-01,693324.0,7251128.0,7251128.0
2015-03-01,767523.0,8027138.0,8027138.0
2015-04-01,743812.0,7779156.0,7779156.0
2015-05-01,760285.0,7951439.0,7951439.0
2015-06-01,722648.0,7557812.0,7557812.0
2015-07-01,738755.0,7726268.0,7726268.0
2015-08-01,735391.0,7691085.0,7691085.0
2015-09-01,717495.0,7503920.0,7503920.0
2015-10-01,757429.0,7921569.0,7921569.0
2015-11-01,735726.0,7694589.0,7694589.0
2015-12-01,670347.0,7010823.0,7010823.0
2016-01-01,766439.0,8015807.0,8015807.0
2016-02-01,652396.0,6823088.0,6823088.0
2016-03-01,110635.0,1157077.0,1157077.0
2016-04-01,0.0,0.0,0.0
2016-05-01,0.0,0.0,0.0
2016-06-01,126597.0,1324016.0,1324016.0
2016-07-01,698105.0,7301135.0,7301135.0
2016-08-01,724777.0,7580085.0,7580085.0
2016-09-01,717804.0,7507158.0,7507158.0
2016-10-01,756873.0,7915761.0,7915761.0
2016-11-01,735338.0,7690537.0,7690537.0
2016-12-01,761037.0,7959310.0,7959310.0
2017-01-01,762107.0,7970974.0,7970974.0
2017-02-01,689020.0,7206548.0,7206548.0
2017-03-01,762402.0,7974060.0,7974060.0
2017-04-01,736672.0,7704946.0,7704946.0
2017-05-01,755705.0,7904015.0,7904015.0
2017-06-01,647280.0,6769984.0,6769984.0
2017-07-01,735830.0,7696140.0,7696140.0
2017-08-01,732542.0,7661750.0,7661750.0
2017-09-01,650227.0,6800807.0,6800807.0
2017-10-01,746841.0,7811305.0,7811305.0
2017-11-01,737330.0,7711829.0,7711829.0
2017-12-01,394198.0,4122967.0,4122967.0
2018-01-01,763357.0,7980629.0,7980629.0
2018-02-01,691169.0,7225929.0,7225929.0
2018-03-01,418029.0,4370346.0,4370346.0
2018-04-01,196444.0,2053753.0,2053753.0
2018-05-01,763701.0,7984226.0,7984226.0
2018-06-01,721268.0,7540603.0,7540603.0
2018-07-01,740842.0,7745243.0,7745243.0
2018-08-01,739253.0,7728630.0,7728630.0
2018-09-01,722895.0,7557613.0,7557613.0
2018-10-01,742896.0,7766717.0,7766717.0
2018-11-01,753372.0,7876239.0,7876239.0
2018-12-01,765253.0,8000451.0,8000451.0
2019-01-01,766952.0,8008238.0,8008238.0
2019-02-01,690963.0,7214788.0,7214788.0
2019-03-01,358847.0,3746952.0,3746952.0
2019-04-01,638448.0,6666446.0,6666446.0
2019-05-01,755915.0,7892994.0,7892994.0
2019-06-01,727198.0,7593141.0,7593141.0
2019-07-01,735612.0,7680997.0,7680997.0
2019-08-01,734261.0,7666891.0,7666891.0
2019-09-01,720522.0,7523433.0,7523433.0
2019-10-01,752598.0,7858359.0,7858359.0
2019-11-01,733495.0,7658892.0,7658892.0
2019-12-01,737134.0,7696890.0,7696890.0
2020-01-01,759142.0,7929981.0,7929981.0
2020-02-01,713309.0,7451210.0,7451210.0
2020-03-01,733661.0,7663807.0,7663807.0
2020-04-01,552971.0,5776323.0,5776323.0
2020-05-01,0.0,0.0,0.0
