measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2012-11-01,,,,2042.861,32994.0,32994.0
2012-12-01,,,,4491.118,72535.0,72535.0
2013-01-01,,,,1662.101,27063.0,27063.0
2013-02-01,,,,1874.287,30517.0,30517.0
2013-03-01,,,,2705.356,44049.0,44049.0
2013-04-01,,,,2974.235,48426.0,48426.0
2013-05-01,,,,3865.12,62932.0,62932.0
2013-06-01,,,,3289.994,53568.0,53568.0
2013-07-01,,,,4057.087,66058.0,66058.0
2013-08-01,,,,2811.659,45780.0,45780.0
2013-09-01,,,,1457.968,23739.0,23739.0
2013-10-01,,,,515.53,8394.0,8394.0
2013-11-01,,,,451.729,7355.0,7355.0
2013-12-01,,,,871.934,14197.0,14197.0
2014-01-01,,,,3345.077,54152.0,54152.0
2014-02-01,,,,4253.419,68857.0,68857.0
2014-03-01,,,,2162.837,35013.0,35013.0
2014-04-01,,,,1494.741,24198.0,24198.0
2014-05-01,,,,603.05,9763.0,9763.0
2014-06-01,,,,2078.874,33654.0,33654.0
2014-07-01,,,,3774.029,61096.0,61096.0
2014-08-01,,,,2913.25,47161.0,47161.0
2014-09-01,,,,3187.626,51603.0,51603.0
2014-10-01,,,,1048.165,16968.0,16968.0
2014-11-01,,,,194.977,3156.0,3156.0
2014-12-01,,,,165.955,2687.0,2687.0
2015-01-01,0.0,0.0,0.0,233.876,3676.0,3676.0
2015-02-01,0.0,0.0,0.0,1102.027,17324.0,17324.0
2015-03-01,0.0,0.0,0.0,1546.155,24306.0,24306.0
2015-04-01,0.0,0.0,0.0,1215.399,19106.0,19106.0
2015-05-01,0.0,0.0,0.0,1485.992,23360.0,23360.0
2015-06-01,0.0,0.0,0.0,897.275,14106.0,14106.0
2015-07-01,0.0,0.0,0.0,2793.124,43909.0,43909.0
2015-08-01,0.0,0.0,0.0,1669.566,26246.0,26246.0
2015-09-01,0.0,0.0,0.0,1478.482,23242.0,23242.0
2015-10-01,0.0,0.0,0.0,1667.133,26208.0,26208.0
2015-11-01,0.0,0.0,0.0,3439.433,54069.0,54069.0
2015-12-01,0.0,0.0,0.0,3764.538,59179.0,59179.0
2016-01-01,0.0,0.0,0.0,2171.485,35229.0,35229.0
2016-02-01,0.0,0.0,0.0,1901.878,30855.0,30855.0
2016-03-01,0.0,0.0,0.0,1650.424,26775.0,26775.0
2016-04-01,0.0,0.0,0.0,3082.228,50003.0,50003.0
2016-05-01,0.0,0.0,0.0,2553.362,41423.0,41423.0
2016-06-01,0.0,0.0,0.0,2402.561,38977.0,38977.0
2016-07-01,0.0,0.0,0.0,1437.456,23320.0,23320.0
2016-08-01,0.0,0.0,0.0,1707.042,27694.0,27694.0
2016-09-01,0.0,0.0,0.0,1601.31,25978.0,25978.0
2016-10-01,0.0,0.0,0.0,213.462,3463.0,3463.0
2016-11-01,0.0,0.0,0.0,4071.655,66055.0,66055.0
2016-12-01,0.0,0.0,0.0,3283.137,53263.0,53263.0
2017-01-01,0.0,0.0,0.0,2444.473,39256.0,39256.0
2017-02-01,0.0,0.0,0.0,2332.514,37459.0,37459.0
2017-03-01,0.0,0.0,0.0,2385.944,38316.0,38316.0
2017-04-01,0.0,0.0,0.0,2160.986,34704.0,34704.0
2017-05-01,0.0,0.0,0.0,2192.774,35214.0,35214.0
2017-06-01,0.0,0.0,0.0,2081.044,33420.0,33420.0
2017-07-01,0.0,0.0,0.0,2153.372,34582.0,34582.0
2017-08-01,0.0,0.0,0.0,2044.398,32832.0,32832.0
2017-09-01,0.0,0.0,0.0,1900.02,30513.0,30513.0
2017-10-01,0.0,0.0,0.0,2246.81,36082.0,36082.0
2017-11-01,0.0,0.0,0.0,2319.216,37245.0,37245.0
2017-12-01,0.0,0.0,0.0,2394.449,38453.0,38453.0
2018-01-01,0.0,0.0,0.0,2641.937,39606.0,39606.0
2018-02-01,0.0,0.0,0.0,2505.611,37562.0,37562.0
2018-03-01,0.0,0.0,0.0,2666.642,39976.0,39976.0
2018-04-01,0.0,0.0,0.0,2567.829,38495.0,38495.0
2018-05-01,0.0,0.0,0.0,2322.586,34818.0,34818.0
2018-06-01,0.0,0.0,0.0,2512.51,37666.0,37666.0
2018-07-01,0.0,0.0,0.0,2524.758,37849.0,37849.0
2018-08-01,0.0,0.0,0.0,2511.395,37649.0,37649.0
2018-09-01,0.0,0.0,0.0,2063.671,30937.0,30937.0
2018-10-01,0.0,0.0,0.0,2561.096,38394.0,38394.0
2018-11-01,0.0,0.0,0.0,2591.364,38848.0,38848.0
2018-12-01,0.0,0.0,0.0,2662.601,39916.0,39916.0
2019-01-01,0.0,0.0,0.0,2665.317,41241.0,41241.0
2019-02-01,0.0,0.0,0.0,2348.296,36335.0,36335.0
2019-03-01,0.0,0.0,0.0,2536.475,39247.0,39247.0
2019-04-01,0.0,0.0,0.0,2386.678,36930.0,36930.0
2019-05-01,0.0,0.0,0.0,2557.839,39578.0,39578.0
2019-06-01,0.0,0.0,0.0,2473.387,38271.0,38271.0
2019-07-01,0.0,0.0,0.0,2511.156,38855.0,38855.0
2019-08-01,0.0,0.0,0.0,2430.383,37606.0,37606.0
2019-09-01,0.0,0.0,0.0,2379.663,36821.0,36821.0
2019-10-01,0.0,0.0,0.0,2503.584,38738.0,38738.0
2019-11-01,0.0,0.0,0.0,2375.331,36754.0,36754.0
2019-12-01,0.0,0.0,0.0,2649.891,41002.0,41002.0
2020-01-01,0.0,0.0,0.0,2580.215,39452.0,39452.0
2020-02-01,0.0,0.0,0.0,2467.527,37728.0,37728.0
2020-03-01,0.0,0.0,0.0,2746.316,41991.0,41991.0
2020-04-01,0.0,0.0,0.0,2546.461,38935.0,38935.0
2020-05-01,0.0,0.0,0.0,2505.509,38309.0,38309.0
2020-06-01,0.0,0.0,0.0,2211.41,33813.0,33813.0
2020-07-01,0.0,0.0,0.0,2398.811,36678.0,36678.0
2020-08-01,0.0,0.0,0.0,2422.458,37039.0,37039.0
2020-09-01,0.0,0.0,0.0,2238.854,34232.0,34232.0
2020-10-01,0.0,0.0,0.0,2260.128,34558.0,34558.0
2020-11-01,0.0,0.0,0.0,2339.869,35776.0,35776.0
2020-12-01,0.0,0.0,0.0,2699.442,41274.0,41274.0
2021-01-01,0.0,0.0,0.0,2174.568,36534.0,36534.0
2021-02-01,0.0,0.0,0.0,2030.101,34107.0,34107.0
2021-03-01,0.0,0.0,0.0,2161.85,36321.0,36321.0
2021-04-01,0.0,0.0,0.0,2125.924,35717.0,35717.0
2021-05-01,0.0,0.0,0.0,2144.738,36033.0,36033.0
2021-06-01,0.0,0.0,0.0,1969.989,33097.0,33097.0
2021-07-01,0.0,0.0,0.0,2032.157,34142.0,34142.0
2021-08-01,0.0,0.0,0.0,1966.296,33035.0,33035.0
2021-09-01,0.0,0.0,0.0,1810.208,30413.0,30413.0
2021-10-01,0.0,0.0,0.0,1921.929,32290.0,32290.0
2021-11-01,0.0,0.0,0.0,1917.474,32215.0,32215.0
2021-12-01,0.0,0.0,0.0,2257.766,37932.0,37932.0
2022-01-01,0.0,0.0,0.0,2312.817,38956.0,38956.0
2022-02-01,0.0,0.0,0.0,2217.736,37354.0,37354.0
2022-03-01,0.0,0.0,0.0,2367.096,39870.0,39870.0
2022-04-01,0.0,0.0,0.0,2296.457,38680.0,38680.0
2022-05-01,0.0,0.0,0.0,2098.657,35349.0,35349.0
2022-06-01,0.0,0.0,0.0,2175.886,36649.0,36649.0
2022-07-01,0.0,0.0,0.0,2392.43,40296.0,40296.0
2022-08-01,0.0,0.0,0.0,2193.035,36938.0,36938.0
2022-09-01,0.0,0.0,0.0,2003.231,33741.0,33741.0
2022-10-01,0.0,0.0,0.0,2178.348,36690.0,36690.0
2022-11-01,0.0,0.0,0.0,2166.766,36495.0,36495.0
2022-12-01,0.0,0.0,0.0,2302.541,38782.0,38782.0
2023-01-01,0.0,0.0,0.0,2299.931,36740.0,36740.0
2023-02-01,0.0,0.0,0.0,2111.98,33737.0,33737.0
2023-03-01,0.0,0.0,0.0,2123.687,33924.0,33924.0
2023-04-01,0.0,0.0,0.0,2124.46,33936.0,33936.0
2023-05-01,0.0,0.0,0.0,2351.422,37562.0,37562.0
2023-06-01,0.0,0.0,0.0,2088.898,33368.0,33368.0
2023-07-01,0.0,0.0,0.0,2170.432,34671.0,34671.0
2023-08-01,0.0,0.0,0.0,2104.188,33613.0,33613.0
2023-09-01,0.0,0.0,0.0,1917.447,30630.0,30630.0
2023-10-01,0.0,0.0,0.0,2155.577,34434.0,34434.0
2023-11-01,0.0,0.0,0.0,2160.666,34515.0,34515.0
2023-12-01,0.0,0.0,0.0,2316.312,37001.0,37001.0
2024-01-01,0.0,0.0,0.0,687.443,14778.0,14778.0
2024-02-01,0.0,0.0,0.0,646.893,13905.0,13905.0
2024-03-01,0.0,0.0,0.0,619.41,13314.0,13314.0
2024-04-01,0.0,0.0,0.0,625.641,13448.0,13448.0
2024-05-01,0.0,0.0,0.0,653.13,14039.0,14039.0
2024-06-01,0.0,0.0,0.0,560.305,12044.0,12044.0
2024-07-01,0.0,0.0,0.0,604.193,12988.0,12988.0
2024-08-01,0.0,0.0,0.0,626.205,13460.0,13460.0
2024-09-01,0.0,0.0,0.0,572.064,12297.0,12297.0
2024-10-01,0.0,0.0,0.0,613.518,13188.0,13188.0
2024-11-01,0.0,0.0,0.0,649.578,13963.0,13963.0
2024-12-01,0.0,0.0,0.0,629.62,13534.0,13534.0
