measured_on,"Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2007-06-01,680.105,11001.0,11001.0,,,,,,,8357.895,135189.0,135189.0
2007-07-01,688.7230000000001,11008.0,11008.0,,,,,,,8589.277,137289.0,137289.0
2007-08-01,868.614,13635.0,13635.0,,,,,,,10841.386,170186.0,170186.0
2007-09-01,606.303,8641.0,8641.0,,,,,,,5649.697,80516.0,80516.0
2007-10-01,695.051,9717.0,9717.0,,,,,,,11427.949,159773.0,159773.0
2007-11-01,869.3520000000001,11893.0,11893.0,,,,,,,10414.648,142476.0,142476.0
2007-12-01,798.337,10751.0,10751.0,,,,,,,9785.663,131786.0,131786.0
2008-01-01,832.678,10304.0,10304.0,,,,,,,11560.322,143051.0,143051.0
2008-02-01,728.249,9059.0,9059.0,,,,,,,10807.751,134437.0,134437.0
2008-03-01,739.114,9954.0,9954.0,,,,,,,10393.886,139975.0,139975.0
2008-04-01,688.917,10006.0,10006.0,,,,,,,10337.083,150136.0,150136.0
2008-05-01,606.657,9809.0,9809.0,,,,,,,10530.343,170267.0,170267.0
2008-06-01,539.216,8858.0,8858.0,,,,,,,9444.784,155149.0,155149.0
2008-07-01,654.97,10778.0,10778.0,,,,,,,11111.03,182843.0,182843.0
2008-08-01,674.619,10953.0,10953.0,,,,,,,10746.381,174478.0,174478.0
2008-09-01,630.4870000000001,10172.0,10172.0,,,,,,,10587.513,170806.0,170806.0
2008-10-01,338.512,5535.0,5535.0,,,,,,,5573.488,91125.0,91125.0
2008-11-01,630.186,9615.0,9615.0,,,,,,,11038.814,168417.0,168417.0
2008-12-01,617.475,9035.0,9035.0,,,,,,,10448.525,152880.0,152880.0
2009-01-01,735.883,10281.0,10281.0,,,,,,,9172.117,128143.0,128143.0
2009-02-01,705.172,9060.0,9060.0,,,,,,,8829.828,113445.0,113445.0
2009-03-01,738.796,9752.0,9752.0,,,,,,,10155.204,134053.0,134053.0
2009-04-01,624.691,8664.0,8664.0,,,,,,,9615.309000000001,133362.0,133362.0
2009-05-01,679.412,9476.0,9476.0,,,,,,,11518.588,160654.0,160654.0
2009-06-01,677.915,9284.0,9284.0,,,,,,,10909.085,149406.0,149406.0
2009-07-01,528.0160000000001,8440.0,8440.0,,,,,,,9629.984,153929.0,153929.0
2009-08-01,565.12,9196.0,9196.0,,,,,,,8084.88,131568.0,131568.0
2009-09-01,248.11,3555.0,3555.0,,,,,,,10443.89,149644.0,149644.0
2009-10-01,225.482,3894.0,3894.0,,,,,,,6109.518,105509.0,105509.0
2009-11-01,714.0210000000001,9504.0,9504.0,,,,,,,9652.979000000001,128486.0,128486.0
2009-12-01,622.8090000000001,8775.0,8775.0,,,,,,,11262.191,158678.0,158678.0
2010-01-01,238.23700000000002,3038.0,3038.0,,,,,,,10823.763,138028.0,138028.0
2010-02-01,250.175,2951.0,2951.0,,,,,,,10993.825,129665.0,129665.0
2010-03-01,0.0,0.0,0.0,,,,,,,9828.0,118898.0,118898.0
2010-04-01,168.37900000000002,2063.0,2063.0,,,,,,,11422.621,139945.0,139945.0
2010-05-01,298.70300000000003,3768.0,3768.0,,,,,,,11509.297,145175.0,145175.0
2010-06-01,274.41700000000003,3465.0,3465.0,,,,,,,10474.583,132248.0,132248.0
2010-07-01,251.45000000000002,2981.0,2981.0,,,,,,,7492.55,88841.0,88841.0
2010-08-01,335.86,3741.0,3741.0,,,,,,,9362.14,104279.0,104279.0
2010-09-01,289.93,3694.0,3694.0,,,,,,,10229.07,130313.0,130313.0
2010-10-01,338.26,3804.0,3804.0,,,,,,,11530.74,129656.0,129656.0
2010-11-01,331.761,3723.0,3723.0,,,,,,,10975.239,123165.0,123165.0
2010-12-01,290.49100000000004,3378.0,3378.0,,,,,,,10770.509,125245.0,125245.0
2011-01-01,351.882,6188.0,6188.0,,,,,,,8026.118,141143.0,141143.0
2011-02-01,315.059,4519.0,4519.0,,,,,,,6771.941,97140.0,97140.0
2011-03-01,424.701,6242.0,6242.0,,,,,,,8463.299,124394.0,124394.0
2011-04-01,549.446,7041.0,7041.0,,,,,,,8798.554,112752.0,112752.0
2011-05-01,328.965,4730.0,4730.0,,,,,,,6276.035,90239.0,90239.0
2011-06-01,346.803,5302.0,5302.0,,,,,,,6152.197,94050.0,94050.0
2011-07-01,574.693,9018.0,9018.0,,,,,,,10318.307,161907.0,161907.0
2011-08-01,553.78,8899.0,8899.0,,,,,,,10642.22,171010.0,171010.0
2011-09-01,509.558,8020.0,8020.0,,,,,,,10424.442,164064.0,164064.0
2011-10-01,281.673,5308.0,5308.0,,,,,,,6681.327,125903.0,125903.0
2011-11-01,353.087,5075.0,5075.0,,,,,,,7176.913,103153.0,103153.0
2011-12-01,466.816,6488.0,6488.0,,,,,,,11563.184,160711.0,160711.0
2012-01-01,456.535,6708.0,6708.0,,,,,,,11472.465,168569.0,168569.0
2012-02-01,349.05,5161.0,5161.0,,,,,,,9646.95,142648.0,142648.0
2012-03-01,380.501,5404.0,5404.0,,,,,,,11273.499,160098.0,160098.0
2012-04-01,324.3,4819.0,4819.0,,,,,,,10360.7,153967.0,153967.0
2012-05-01,287.59,4424.0,4424.0,,,,,,,9484.41,145901.0,145901.0
2012-06-01,362.893,5443.0,5443.0,,,,,,,10758.107,161353.0,161353.0
2012-07-01,344.715,5423.0,5423.0,,,,,,,9456.285,148761.0,148761.0
2012-08-01,367.347,5782.0,5782.0,,,,,,,11023.653,173506.0,173506.0
2012-09-01,359.368,5539.0,5539.0,,,,,,,10200.632,157216.0,157216.0
2012-10-01,239.618,3683.0,3683.0,,,,,,,6500.382,99917.0,99917.0
2012-11-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2012-12-01,0.0,0.0,0.0,,,,,,,1267.0,19154.0,19154.0
2013-01-01,0.0,0.0,0.0,53.331,967.0,967.0,0.0,0.0,0.0,3000.669,54406.0,54406.0
2013-02-01,0.0,0.0,0.0,43.02,730.0,730.0,0.0,0.0,0.0,5783.98,98190.0,98190.0
2013-03-01,0.0,0.0,0.0,51.902,896.0,896.0,0.0,0.0,0.0,6296.098,108638.0,108638.0
2013-04-01,0.0,0.0,0.0,24.384,427.0,427.0,0.0,0.0,0.0,804.616,14103.0,14103.0
2013-05-01,0.0,0.0,0.0,11.53,200.0,200.0,0.0,0.0,0.0,564.47,9788.0,9788.0
2013-06-01,0.0,0.0,0.0,39.599,722.0,722.0,0.0,0.0,0.0,2084.401,38013.0,38013.0
2013-07-01,0.0,0.0,0.0,44.109,785.0,785.0,0.0,0.0,0.0,8802.891,156742.0,156742.0
2013-08-01,0.0,0.0,0.0,13.915,253.0,253.0,0.0,0.0,0.0,10018.085,182119.0,182119.0
2013-09-01,0.0,0.0,0.0,20.931,373.0,373.0,0.0,0.0,0.0,9633.069,171816.0,171816.0
2013-10-01,0.0,0.0,0.0,3.072,55.0,55.0,0.0,0.0,0.0,10885.928,195183.0,195183.0
2013-11-01,0.0,0.0,0.0,44.672,794.0,794.0,0.0,0.0,0.0,9232.328,164006.0,164006.0
2013-12-01,0.0,0.0,0.0,8.344,144.0,144.0,0.0,0.0,0.0,8228.656,141832.0,141832.0
2014-01-01,0.0,0.0,0.0,29.018,513.0,513.0,0.0,0.0,0.0,10178.982,179975.0,179975.0
2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10136.0,180039.0,180039.0
2014-03-01,0.0,0.0,0.0,37.075,662.0,662.0,0.0,0.0,0.0,10048.925,179427.0,179427.0
2014-04-01,0.0,0.0,0.0,26.2,452.0,452.0,0.0,0.0,0.0,10266.8,177064.0,177064.0
2014-05-01,0.0,0.0,0.0,72.705,1321.0,1321.0,0.0,0.0,0.0,8363.295,151943.0,151943.0
2014-06-01,0.0,0.0,0.0,15.808,297.0,297.0,0.0,0.0,0.0,10224.192,191978.0,191978.0
2014-07-01,0.0,0.0,0.0,6.226,119.0,119.0,0.0,0.0,0.0,10746.774,205998.0,205998.0
2014-08-01,0.0,0.0,0.0,19.824,380.0,380.0,0.0,0.0,0.0,11083.176,212705.0,212705.0
2014-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11531.0,216243.0,216243.0
2014-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12057.0,217926.0,217926.0
2014-11-01,0.0,0.0,0.0,45.343,834.0,834.0,0.0,0.0,0.0,9621.657,177049.0,177049.0
2014-12-01,0.0,0.0,0.0,84.907,1465.0,1465.0,0.0,0.0,0.0,9433.093,162729.0,162729.0
2015-01-01,,,,41.912,396.0,396.0,,,,10548.088,99601.0,99601.0
2015-02-01,,,,30.771,544.0,544.0,,,,6459.229,114123.0,114123.0
2015-03-01,,,,41.543,799.0,799.0,,,,5631.457,108265.0,108265.0
2015-04-01,,,,37.162,675.0,675.0,,,,6345.838,115306.0,115306.0
2015-05-01,,,,16.671,273.0,273.0,,,,12011.329,196960.0,196960.0
2015-06-01,,,,36.239,624.0,624.0,,,,10540.761,181569.0,181569.0
2015-07-01,,,,28.421,506.0,506.0,,,,9438.579,168016.0,168016.0
2015-08-01,,,,1.929,35.0,35.0,,,,11920.071,214318.0,214318.0
2015-09-01,,,,0.0,0.0,0.0,,,,11807.0,213354.0,213354.0
2015-10-01,,,,0.0,0.0,0.0,,,,11709.0,204255.0,204255.0
2015-11-01,,,,30.222,509.0,509.0,,,,11027.778,185721.0,185721.0
2015-12-01,,,,11.543,201.0,201.0,,,,10918.457,190070.0,190070.0
2016-01-01,,,,108.774,1812.0,1812.0,,,,11926.226,198619.0,198619.0
2016-02-01,,,,29.303,507.0,507.0,,,,11011.697,190501.0,190501.0
2016-03-01,,,,7.234,130.0,130.0,,,,12023.766,215306.0,215306.0
2016-04-01,,,,7.622,135.0,135.0,,,,9535.378,168441.0,168441.0
2016-05-01,,,,0.455,8.0,8.0,,,,9839.545,176419.0,176419.0
2016-06-01,,,,0.0,0.0,0.0,,,,9167.0,163593.0,163593.0
2016-07-01,,,,0.0,0.0,0.0,,,,10816.0,198880.0,198880.0
2016-08-01,,,,0.0,0.0,0.0,,,,10984.0,196763.0,196763.0
2016-09-01,,,,0.0,0.0,0.0,,,,10673.0,184222.0,184222.0
2016-10-01,,,,8.175,143.0,143.0,,,,9769.825,170652.0,170652.0
2016-11-01,,,,24.688,410.0,410.0,,,,10527.312,174848.0,174848.0
2016-12-01,,,,66.795,1148.0,1148.0,,,,11966.205,205573.0,205573.0
2017-01-01,,,,0.0,0.0,0.0,,,,12047.0,186676.0,186676.0
2017-02-01,,,,7.266,117.0,117.0,,,,10321.734,166641.0,166641.0
2017-03-01,,,,0.058,1.0,1.0,,,,11731.942,206297.0,206297.0
2017-04-01,,,,24.038,436.0,436.0,,,,9720.962,176134.0,176134.0
2017-05-01,,,,0.0,0.0,0.0,,,,12072.0,213735.0,213735.0
2017-06-01,,,,0.0,0.0,0.0,,,,9984.0,177706.0,177706.0
2017-07-01,,,,9.711,171.0,171.0,,,,11459.289,202208.0,202208.0
2017-08-01,,,,0.0,0.0,0.0,,,,10597.0,196365.0,196365.0
2017-09-01,,,,0.0,0.0,0.0,,,,9682.0,176117.0,176117.0
2017-10-01,,,,0.0,0.0,0.0,,,,9751.0,172861.0,172861.0
2017-11-01,,,,0.0,0.0,0.0,,,,11669.0,200022.0,200022.0
2017-12-01,,,,8.127,136.0,136.0,,,,11157.873,186249.0,186249.0
2018-01-01,,,,2.927,55.0,55.0,,,,10956.073,204129.0,204129.0
2018-02-01,,,,1.836,34.0,34.0,,,,9493.164,175597.0,175597.0
2018-03-01,,,,0.574,10.0,10.0,,,,9458.426,169526.0,169526.0
2018-04-01,,,,1.19,21.0,21.0,,,,10249.81,177305.0,177305.0
2018-05-01,,,,0.0,0.0,0.0,,,,10251.0,187740.0,187740.0
2018-06-01,,,,0.056,1.0,1.0,,,,9772.944,179907.0,179907.0
2018-07-01,,,,0.175,3.0,3.0,,,,10030.825,177104.0,177104.0
2018-08-01,,,,0.172,3.0,3.0,,,,8928.828,160204.0,160204.0
2018-09-01,,,,0.337,6.0,6.0,,,,5005.663,91775.0,91775.0
2018-10-01,,,,0.0,0.0,0.0,,,,7373.0,146400.0,146400.0
2018-11-01,,,,0.052,1.0,1.0,,,,7395.948,147541.0,147541.0
2018-12-01,,,,1.325,27.0,27.0,,,,7394.675,149294.0,149294.0
2019-01-01,,,,0.841,17.0,17.0,,,,7321.159,147964.0,147964.0
2019-02-01,,,,1.481,29.0,29.0,,,,7146.519,137852.0,137852.0
2019-03-01,,,,0.147,3.0,3.0,,,,8030.853,167581.0,167581.0
2019-04-01,,,,0.0,0.0,0.0,,,,8636.0,169445.0,169445.0
2019-05-01,,,,0.0,0.0,0.0,,,,9275.0,188052.0,188052.0
2019-06-01,,,,0.69,14.0,14.0,,,,5720.31,118382.0,118382.0
2019-07-01,,,,1.485,30.0,30.0,,,,8116.515,161727.0,161727.0
2019-08-01,,,,0.0,0.0,0.0,,,,8910.0,175676.0,175676.0
2019-09-01,,,,0.0,0.0,0.0,,,,8058.0,157156.0,157156.0
2019-10-01,,,,0.859,16.0,16.0,,,,7679.141,145838.0,145838.0
2019-11-01,,,,1.235,23.0,23.0,,,,6289.765,119501.0,119501.0
2019-12-01,,,,2.543,51.0,51.0,,,,6465.457,129653.0,129653.0
2020-01-01,,,,0.0,0.0,0.0,,,,9404.0,126804.0,126804.0
2020-02-01,,,,0.0,0.0,0.0,,,,9907.0,206513.0,206513.0
2020-03-01,,,,0.0,0.0,0.0,,,,10736.0,196231.0,196231.0
2020-04-01,,,,0.0,0.0,0.0,,,,10055.0,261263.0,261263.0
2020-05-01,,,,0.0,0.0,0.0,,,,9264.0,239121.0,239121.0
2020-06-01,,,,0.0,0.0,0.0,,,,2238.0,44515.0,44515.0
2020-07-01,,,,237.535,4396.0,4396.0,,,,8739.465,161746.0,161746.0
2020-08-01,,,,0.0,0.0,0.0,,,,10490.0,191458.0,191458.0
2020-09-01,,,,151.251,2958.0,2958.0,,,,6795.749,132904.0,132904.0
2020-10-01,,,,102.477,2081.0,2081.0,,,,7465.523,151589.0,151589.0
2020-11-01,,,,58.772,1163.0,1163.0,,,,8959.228,177258.0,177258.0
2020-12-01,,,,0.0,0.0,0.0,,,,10050.0,190353.0,190353.0
2021-01-01,,,,4.352,82.0,82.0,,,,9494.648,179755.0,179755.0
2021-02-01,,,,92.003,1772.0,1772.0,,,,7697.997,148231.0,148231.0
2021-03-01,,,,0.0,0.0,0.0,,,,9945.0,188191.0,188191.0
2021-04-01,,,,191.674,3842.0,3842.0,,,,2281.326,45727.0,45727.0
2021-05-01,,,,172.751,3327.0,3327.0,,,,5192.249,99994.0,99994.0
2021-06-01,,,,304.176,6355.0,6355.0,,,,3936.824,82251.0,82251.0
2021-07-01,,,,383.555,8570.0,8570.0,,,,3174.445,70925.0,70925.0
2021-08-01,,,,174.289,3739.0,3739.0,,,,5635.711,120899.0,120899.0
2021-09-01,,,,1976.056,58133.0,58133.0,,,,3712.944,109230.0,109230.0
2021-10-01,,,,215.715,4295.0,4295.0,,,,4691.285,93408.0,93408.0
2021-11-01,,,,440.136,8631.0,8631.0,,,,5664.864,111092.0,111092.0
2021-12-01,,,,0.0,0.0,0.0,,,,8479.0,152069.0,152069.0
2022-01-01,,,,372.543,7314.0,7314.0,,,,8150.457,160022.0,160022.0
2022-02-01,,,,215.496,4475.0,4475.0,,,,5679.504,117941.0,117941.0
2022-03-01,,,,96.01,2064.0,2064.0,,,,5884.99,126514.0,126514.0
2022-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2022-05-01,,,,112.943,2258.0,2258.0,,,,6208.057,124086.0,124086.0
2022-06-01,,,,186.244,3806.0,3806.0,,,,3014.756,61600.0,61600.0
2022-07-01,,,,0.0,0.0,0.0,,,,3941.0,77614.0,77614.0
2022-08-01,,,,126.695,2425.0,2425.0,,,,1836.305,35151.0,35151.0
2022-09-01,,,,157.88,2567.0,2567.0,,,,5168.12,84033.0,84033.0
2022-10-01,,,,0.0,0.0,0.0,,,,2596.0,45787.0,45787.0
2022-11-01,,,,7.389,129.0,129.0,,,,2551.611,44545.0,44545.0
2022-12-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2023-01-01,,,,223.727,4836.0,4836.0,,,,4891.273,105735.0,105735.0
2023-02-01,,,,63.518,1348.0,1348.0,,,,3917.482,83138.0,83138.0
2023-03-01,,,,113.847,2398.0,2398.0,,,,4845.153,102037.0,102037.0
2023-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2023-05-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2023-06-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2023-07-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2023-08-01,,,,138.794,3015.0,3015.0,,,,2145.206,46600.0,46600.0
2023-09-01,,,,82.624,1667.0,1667.0,,,,2851.376,57528.0,57528.0
2023-10-01,,,,0.0,0.0,0.0,,,,6875.0,141512.0,141512.0
2023-11-01,,,,69.503,1358.0,1358.0,,,,6320.497,123520.0,123520.0
2023-12-01,,,,185.979,4054.0,4054.0,,,,3673.021,80070.0,80070.0
2024-01-01,,,,366.503,7964.0,7964.0,,,,5163.497,112208.0,112208.0
2024-02-01,,,,0.0,0.0,0.0,,,,6681.0,138064.0,138064.0
2024-03-01,,,,77.697,1523.0,1523.0,,,,6764.303,132586.0,132586.0
2024-04-01,,,,0.0,0.0,0.0,,,,6697.0,130933.0,130933.0
2024-05-01,,,,1.962,3303.0,3303.0,,,,0.038,64.0,64.0
2024-06-01,,,,145.496,2933.0,2933.0,,,,2845.504,57355.0,57355.0
2024-07-01,,,,87.67,1718.0,1718.0,,,,6415.33,125747.0,125747.0
2024-08-01,,,,117.749,2171.0,2171.0,,,,6398.251,117978.0,117978.0
2024-09-01,,,,96.957,1770.0,1770.0,,,,4909.043,89611.0,89611.0
2024-10-01,,,,77.188,1389.0,1389.0,,,,7451.812,134111.0,134111.0
2024-11-01,,,,0.0,0.0,0.0,,,,2413.0,43276.0,43276.0
2024-12-01,,,,194.948,3715.0,3715.0,,,,4318.052,82280.0,82280.0
