measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Generation","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Quantity Consumed For Electricity","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2010-03-01,101711.573,941824.0,1351500.0,233.42700000000002,2161.0,3102.0,,,,,,
2010-04-01,91372.0,845325.0,873245.0,0.0,0.0,0.0,,,,,,
2010-05-01,100406.139,643427.0,643427.0,976.861,6260.0,6260.0,,,,,,
2010-06-01,119111.09,1104461.0,1114714.0,114.91,1066.0,1075.0,,,,,,
2010-07-01,122320.0,1138627.0,1150697.0,0.0,0.0,0.0,,,,,,
2010-08-01,122920.0,1148189.0,1309292.0,0.0,0.0,0.0,,,,,,
2010-09-01,102943.077,956452.0,1096899.0,381.923,3548.0,4070.0,,,,,,
2010-10-01,51462.637,481101.0,641782.0,601.363,5622.0,7500.0,,,,,,
2010-11-01,119279.91,906653.0,906653.0,265.09000000000003,2015.0,2015.0,,,,,,
2010-12-01,117238.677,954137.0,954137.0,257.32300000000004,2094.0,2094.0,,,,,,
2011-01-01,120285.06,910358.0,910358.0,456.938,3458.0,3458.0,,,,,,
2011-02-01,112023.94,1002637.0,1002637.0,5.059,45.0,45.0,,,,,,
2011-03-01,123534.0,1142679.0,1655362.0,0.0,0.0,0.0,,,,,,
2011-04-01,118567.11,1016154.0,1016154.0,11.888,102.0,102.0,,,,,,
2011-05-01,79200.388,735478.0,924860.0,265.612,2467.0,3102.0,,,,,,
2011-06-01,117807.17,994684.0,994684.0,89.827,758.0,758.0,,,,,,
2011-07-01,123231.0,915960.0,915960.0,0.0,0.0,0.0,,,,,,
2011-08-01,122727.59,1137902.0,1409695.0,6.406,59.0,74.0,,,,,,
2011-09-01,118603.29,1099735.0,1103281.0,295.708,2742.0,2751.0,,,,,,
2011-10-01,43393.207,402488.0,942538.0,68.793,638.0,1494.0,,,,,,
2011-11-01,103903.13,960913.0,1099312.0,242.873,2246.0,2570.0,,,,,,
2011-12-01,103434.0,956361.0,1005088.0,0.0,0.0,0.0,,,,,,
2012-01-01,106008.47,980332.0,1217106.0,594.533,5498.0,6826.0,,,,,,
2012-02-01,110138.29,1017121.0,1056855.0,260.712,2408.0,2502.0,,,,,,
2012-03-01,89467.34,827417.0,871483.0,470.66,4353.0,4585.0,,,,,,
2012-04-01,107820.77,997339.0,1072038.0,88.235,816.0,877.0,,,,,,
2012-05-01,25355.105,239185.0,601539.0,257.895,2433.0,6118.0,,,,,,
2012-06-01,60379.976,559192.0,705563.0,402.024,3723.0,4698.0,,,,,,
2012-07-01,107330.04,606417.0,606417.0,544.961,3079.0,3079.0,,,,,,
2012-08-01,108311.25,1002963.0,1182007.0,187.749,1739.0,2049.0,,,,,,
2012-09-01,104240.11,964664.0,1041560.0,207.89,1924.0,2077.0,,,,,,
2012-10-01,110914.96,1026813.0,1315618.0,114.045,1056.0,1353.0,,,,,,
2012-11-01,105102.64,972479.0,976781.0,105.361,975.0,979.0,,,,,,
2012-12-01,100103.03,926956.0,939600.0,315.974,2926.0,2966.0,,,,,,
2013-01-01,111640.47,1034077.0,1129590.0,287.528,2663.0,2909.0,,,,,,
2013-02-01,98067.645,909182.0,995735.0,236.355,2191.0,2400.0,,,,,,
2013-03-01,50635.801,469715.0,523748.0,431.199,4000.0,4460.0,,,,,,
2013-04-01,82030.993,757872.0,829920.0,720.007,6652.0,7284.0,,,,,,
2013-05-01,123356.1,1144581.0,1251712.0,3.905,36.0,40.0,,,,,,
2013-06-01,119340.0,1108737.0,1227340.0,0.0,0.0,0.0,,,,,,
2013-07-01,123163.0,1144322.0,1258849.0,0.0,0.0,0.0,,,,,,
2013-08-01,123176.0,1144507.0,1261176.0,0.0,0.0,0.0,,,,,,
2013-09-01,118616.64,1100791.0,1227038.0,27.357,254.0,283.0,,,,,,
2013-10-01,70022.528,649510.0,649930.0,788.472,7314.0,7318.0,,,,,,
2013-11-01,100548.08,929009.0,1023120.0,389.925,3603.0,3968.0,,,,,,
2013-12-01,100483.29,928416.0,1044870.0,395.715,3656.0,4115.0,,,,,,
2014-01-01,108970.47,1013615.0,1156458.0,80.533,749.0,855.0,,,,,,
2014-02-01,102510.72,946448.0,1061842.0,3.279,30.0,34.0,,,,,,
2014-03-01,111734.12,1032406.0,1157622.0,387.877,3584.0,4019.0,,,,,,
2014-04-01,93.32,900.0,1318.0,37.68,363.0,532.0,,,,,,
2014-05-01,7561.99,72560.0,90720.0,627.01,6016.0,7522.0,,,,,,
2014-06-01,88150.977,831499.0,951653.0,184.023,1736.0,1987.0,,,,,,
2014-07-01,87463.752,826700.0,918136.0,127.248,1203.0,1336.0,,,,,,
2014-08-01,60899.237,580524.0,671316.0,410.763,3916.0,4528.0,,,,,,
2014-09-01,4216.557,40394.0,53245.0,355.443,3405.0,4488.0,,,,,,
2014-10-01,0.0,0.0,0.0,0.0,0.0,713.0,,,,,,
2014-11-01,18674.274,184919.0,223081.0,583.726,5780.0,6973.0,,,,,,
2014-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2015-01-01,14246.355,137239.0,165254.0,641.645,6181.0,7443.0,,,,,,
2015-02-01,59024.478,555536.0,630012.0,429.522,4043.0,4585.0,,,,,,
2015-03-01,35495.267,339011.0,393772.0,461.733,4410.0,5122.0,,,,,,
2015-04-01,0.0,0.0,0.0,0.0,0.0,3136.0,,,,,,
2015-05-01,26214.352,255935.0,303776.0,943.648,9213.0,10935.0,,,,,,
2015-06-01,22920.531,219171.0,249557.0,562.469,5378.0,6124.0,,,,,,
2015-07-01,11648.75,114952.0,137445.0,490.25,4838.0,5785.0,,,,,,
2015-08-01,7459.359,73732.0,90185.0,475.641,4701.0,5751.0,,,,,,
2015-09-01,1740.599,17109.0,22173.0,160.401,1577.0,2043.0,,,,,,
2015-10-01,2900.152,28083.0,35721.0,245.848,2381.0,3028.0,,,,,,
2015-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,9700.216,101040.0,106661.0,236.784,2466.0,2604.0,,,,,,
2016-02-01,9301.604,98935.0,104270.0,400.396,4259.0,4488.0,,,,,,
2016-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2016-04-01,0.0,0.0,0.0,0.0,0.0,521.0,,,,,,
2016-05-01,4460.054,46925.0,50385.0,217.946,2293.0,2462.0,,,,,,
2016-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2016-07-01,10463.878,117207.0,131089.0,772.122,8649.0,9673.0,,,,,,
2016-08-01,9636.17,104034.0,110974.0,470.83,5083.0,5422.0,,,,,,
2016-09-01,3467.065,37400.0,41683.0,274.935,2966.0,3305.0,,,,,,
2016-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2016-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2016-12-01,3828.115,41386.0,46367.0,308.885,3339.0,3741.0,,,,,,
2017-01-01,4283.776,45698.0,53022.0,447.224,4771.0,5535.0,,,,,,
2017-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
