measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Lignite Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Lignite Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Lignite Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2004-08-01,412606.0,4287576.0,4287576.0,693.0,7842.0,7842.0,,,,,,,,,
2004-09-01,481039.0,4854829.0,4854829.0,748.0,8404.0,8404.0,,,,,,,,,
2004-10-01,513418.0,5128099.0,5128099.0,909.0,10017.0,10017.0,,,,,,,,,
2004-11-01,506706.0,5110589.0,5110589.0,877.0,9419.0,9419.0,,,,,,,,,
2004-12-01,543583.0,5321441.0,5321441.0,604.0,6576.0,6576.0,,,,,,,,,
2005-01-01,561023.0,5545601.4,5545601.4,606.0,6467.0,6467.0,,,,,,,,,
2005-02-01,362079.0,3723525.0,3723525.0,918.0,9970.2,9970.2,,,,,,,,,
2005-03-01,380290.0,3762149.4,3762149.4,1084.0,11576.8,11576.8,,,,,,,,,
2005-04-01,459281.0,4687423.0,4687423.0,823.0,9024.8,9024.8,,,,,,,,,
2005-05-01,348868.0,3606444.8,3606444.8,850.0,9697.6,9697.6,,,,,,,,,
2005-06-01,507928.0,5284597.5,5284597.5,961.0,10979.4,10979.4,,,,,,,,,
2005-07-01,552740.0,5609390.6,5609390.6,641.0,6526.5,6526.5,,,,,,,,,
2005-08-01,574520.0,5831780.3,5831780.3,1141.0,12284.4,12284.4,,,,,,,,,
2005-09-01,393899.0,4228524.3,4228524.3,972.0,11165.0,11165.0,,,,,,,,,
2005-10-01,265394.0,2818560.0,2818560.0,642.0,7018.0,7018.0,,,,,,,,,
2005-11-01,267226.0,2767496.4,2767496.4,878.0,9483.0,9483.0,,,,,,,,,
2005-12-01,314397.0,3161172.8,3161172.8,1026.0,10805.4,10805.4,,,,,,,,,
2006-01-01,245852.0,2538776.0,2538776.0,1081.0,11739.0,11739.0,,,,,,,,,
2006-02-01,351994.0,3455152.0,3455152.0,1743.0,18467.0,18467.0,,,,,,,58609.0,798157.0,798157.0
2006-03-01,444337.0,4105442.0,4105442.0,1342.0,13932.0,13932.0,,,,,,,131600.0,1686916.0,1686916.0
2006-04-01,372962.0,3312309.0,3312309.0,850.0,8804.0,8804.0,,,,,,,208393.0,2567680.0,2567680.0
2006-05-01,348637.0,2909264.0,2909264.0,693.0,7006.0,7006.0,,,,,,,265181.0,3070037.0,3070037.0
2006-06-01,327868.0,2888183.0,2888183.0,765.0,7673.0,7673.0,,,,,,,141568.0,1730141.0,1730141.0
2006-07-01,459066.0,4215838.0,4215838.0,753.0,7772.0,7772.0,,,,,,,165834.0,2112880.0,2112880.0
2006-08-01,454749.0,4098865.0,4098865.0,985.0,9924.0,9924.0,,,,,,,183258.0,2291637.0,2291637.0
2006-09-01,345601.0,2847944.0,2847944.0,1356.0,12557.0,12557.0,,,,,,,157253.0,1797818.0,1797818.0
2006-10-01,342318.0,3457570.0,3457570.0,1541.0,17249.0,17249.0,,,,,,,94796.0,1328389.0,1328389.0
2006-11-01,283949.0,2577545.0,2577545.0,1527.0,15718.0,15718.0,,,,,,,97864.0,1232485.0,1232485.0
2006-12-01,321723.0,3063274.0,3063274.0,1257.0,13027.0,13027.0,,,,,,,60064.0,793433.0,793433.0
2007-01-01,340269.195,2999267.0,2999267.0,1859.481,16390.0,16390.0,,,,,,,291114.324,2565996.0,2565996.0
2007-02-01,243953.835,2093982.0,2093982.0,659.4970000000001,5661.0,5661.0,,,,,,,263120.667,2258500.0,2258500.0
2007-03-01,206126.586,1741986.0,1741986.0,1266.92,10707.0,10707.0,,,,,,,193494.496,1635231.0,1635231.0
2007-04-01,288921.651,2440705.0,2440705.0,938.677,7930.0,7930.0,,,,,,,290689.672,2455640.0,2455640.0
2007-05-01,292264.708,2556370.0,2556370.0,1269.178,11101.0,11101.0,,,,,,,283368.113,2478554.0,2478554.0
2007-06-01,327249.693,2909825.0,2909825.0,889.7230000000001,7911.0,7911.0,,,,,,,252164.584,2242187.0,2242187.0
2007-07-01,351783.35,3170581.0,3170581.0,1047.0130000000001,9437.0,9437.0,,,,,,,258049.637,2325770.0,2325770.0
2007-08-01,318218.039,2960874.0,2960874.0,1046.607,9738.0,9738.0,,,,,,,205397.354,1911129.0,1911129.0
2007-09-01,303164.094,2897019.0,2897019.0,1841.4930000000002,17597.0,17597.0,,,,,,,197106.413,1883538.0,1883538.0
2007-10-01,334060.795,3031260.0,3031260.0,1194.008,10834.0,10834.0,,,,,,,188771.197,1712905.0,1712905.0
2007-11-01,304489.761,3103053.0,3103053.0,648.239,6606.0,6606.0,,,,,,,0.0,0.0,0.0
2007-12-01,240116.38,2236179.0,2236179.0,1536.428,14309.0,14309.0,,,,,,,65770.193,612511.0,612511.0
2008-01-01,248478.00400000002,2558175.0,2558175.0,1385.996,14269.0,14269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-01,302994.735,3118376.0,3118376.0,937.027,9644.0,9644.0,,,,,,,499.238,5138.0,5138.0
2008-03-01,309202.18,3174929.0,3174929.0,2662.837,27342.0,27342.0,,,,,,,45910.983,471420.0,471420.0
2008-04-01,320576.255,3300541.0,3300541.0,1452.909,14959.0,14959.0,,,,,,,99543.836,1024868.0,1024868.0
2008-05-01,244856.631,2549119.0,2549119.0,1939.8890000000001,20196.0,20196.0,,,,,,,131620.48,1370256.0,1370256.0
2008-06-01,254483.81,2718823.0,2718823.0,1245.285,13304.0,13304.0,,,,,,,60907.905,650720.0,650720.0
2008-07-01,288037.705,2974882.0,2974882.0,1359.805,14044.0,14044.0,,,,,,,217250.489,2243785.0,2243785.0
2008-08-01,291193.604,3049536.0,3049536.0,1636.0320000000002,17133.0,17133.0,,,,,,,259113.364,2713574.0,2713574.0
2008-09-01,277306.449,2921305.0,2921305.0,988.4010000000001,10412.0,10412.0,,,,,,,172485.15,1817057.0,1817057.0
2008-10-01,288573.541,3022657.0,3022657.0,1036.7,10859.0,10859.0,,,,,,,236076.76,2472781.0,2472781.0
2008-11-01,87330.472,935259.0,935259.0,1115.406,11945.0,11945.0,,,,,,,94840.122,1015683.0,1015683.0
2008-12-01,232660.837,2397894.0,2397894.0,1315.7350000000001,13560.0,13560.0,,,,,,,207071.428,2134159.0,2134159.0
2009-01-01,233400.348,2285289.0,2285289.0,1139.319,11155.0,11155.0,,,,,,,244889.333,2397781.0,2397781.0
2009-02-01,148869.634,1555369.0,1555369.0,566.522,5919.0,5919.0,,,,,,,212710.844,2222373.0,2222373.0
2009-03-01,118000.298,1186446.0,1186446.0,743.8090000000001,7479.0,7479.0,,,,,,,184991.893,1860020.0,1860020.0
2009-04-01,122584.37,1331811.0,1331811.0,1216.501,13217.0,13217.0,,,,,,,174551.129,1896402.0,1896402.0
2009-05-01,119183.387,1245045.0,1245045.0,925.861,9672.0,9672.0,,,,,,,170422.752,1780315.0,1780315.0
2009-06-01,163144.358,1669973.0,1669973.0,1257.892,12876.0,12876.0,,,,,,,156881.75,1605868.0,1605868.0
2009-07-01,59253.176,687692.0,687692.0,667.655,7749.0,7749.0,,,,,,,19316.169,224183.0,224183.0
2009-08-01,133596.241,1447691.0,1447691.0,940.4340000000001,10191.0,10191.0,,,,,,,78271.325,848173.0,848173.0
2009-09-01,45489.852,490767.0,490767.0,535.148,5773.0,5773.0,,,,,,,0.0,0.0,0.0
2009-10-01,62543.889,762215.0,762215.0,765.111,9324.0,9324.0,,,,,,,0.0,0.0,0.0
2009-11-01,57570.981,671689.0,671689.0,452.019,5274.0,5274.0,,,,,,,0.0,0.0,0.0
2009-12-01,159225.101,1779008.0,1779008.0,1118.8990000000001,12501.0,12501.0,,,,,,,0.0,0.0,0.0
2010-01-01,190298.149,1948263.0,1948263.0,1529.478,15659.0,15659.0,,,,,,,147165.373,1506672.0,1506672.0
2010-02-01,144616.779,1482000.0,1482000.0,1669.5140000000001,17109.0,17109.0,,,,,,,127448.707,1306065.0,1306065.0
2010-03-01,103219.248,1034299.0,1034299.0,681.876,6833.0,6833.0,,,,,,,150095.876,1504022.0,1504022.0
2010-04-01,92650.612,925643.0,925643.0,634.657,6341.0,6341.0,,,,,,,176819.731,1766550.0,1766550.0
2010-05-01,116124.857,1191290.0,1191290.0,1228.828,12606.0,12606.0,,,,,,,128291.315,1316102.0,1316102.0
2010-06-01,166088.004,1713817.0,1713817.0,641.928,6624.0,6624.0,,,,,,,232641.068,2400560.0,2400560.0
2010-07-01,230407.254,2427043.0,2427043.0,1585.941,16706.0,16706.0,,,,,,,227728.805,2398829.0,2398829.0
2010-08-01,258225.29,2731515.0,2731515.0,694.6940000000001,7349.0,7349.0,,,,,,,243454.016,2575264.0,2575264.0
2010-09-01,71045.7,754758.0,754758.0,267.45300000000003,2841.0,2841.0,,,,,,,48315.847,513286.0,513286.0
2010-10-01,85053.776,904108.0,904108.0,323.697,3441.0,3441.0,,,,,,,116739.527,1240922.0,1240922.0
2010-11-01,153368.882,1554008.0,1554008.0,460.228,4663.0,4663.0,,,,,,,262525.89,2660040.0,2660040.0
2010-12-01,144746.979,1470272.0,1470272.0,376.461,3824.0,3824.0,,,,,,,275418.56,2797573.0,2797573.0
2011-01-01,198326.65,2003190.0,2003190.0,775.93,7837.0,7837.0,,,,,,,274438.42,2771953.0,2771953.0
2011-02-01,116224.38,1166590.0,1166590.0,125.369,1258.0,1258.0,,,,,,,244187.26,2451004.0,2451004.0
2011-03-01,116191.65,1192406.0,1192406.0,984.323,10102.0,10102.0,,,,,,,216521.03,2222027.0,2222027.0
2011-04-01,107765.87,1077124.0,1077124.0,130.399,1303.0,1303.0,,,,,,,99361.729,993125.0,993125.0
2011-05-01,99666.623,1150779.0,1150779.0,614.312,7093.0,7093.0,,,,,,,1433.065,16547.0,16547.0
2011-06-01,204421.9,2195330.0,2195330.0,2132.443,22901.0,22901.0,,,,,,,149492.66,1605433.0,1605433.0
2011-07-01,261365.97,2705402.0,2705402.0,763.728,7905.0,7905.0,,,,,,,274928.3,2845786.0,2845786.0
2011-08-01,271620.04,2942565.0,2942565.0,513.608,5564.0,5564.0,,,,,,,242860.35,2631000.0,2631000.0
2011-09-01,71551.697,794627.0,794627.0,276.452,3070.0,3070.0,,,,,,,17290.851,192026.0,192026.0
2011-10-01,184232.57,1923623.0,1923623.0,978.299,10215.0,10215.0,,,,,,,126191.13,1317596.0,1317596.0
2011-11-01,190905.19,1958165.0,1958165.0,1344.827,13794.0,13794.0,,,,,,,244174.99,2504568.0,2504568.0
2011-12-01,108942.05,1167942.0,1167942.0,808.343,8666.0,8666.0,,,,,,,87453.603,937569.0,937569.0
2012-01-01,155323.16,1623121.0,1623121.0,1017.148,10629.0,10629.0,,,,,,,245923.69,2569893.0,2569893.0
2012-02-01,110178.77,1185309.0,1185309.0,74.836,805.0,805.0,,,,,,,207319.39,2230353.0,2230353.0
2012-03-01,96481.652,1009643.0,1009643.0,268.993,2815.0,2815.0,,,,,,,114569.36,1198924.0,1198924.0
2012-04-01,49753.539,601610.0,601610.0,43.461,526.0,526.0,,,,,,,0.0,0.0,0.0
2012-05-01,24116.442,321552.0,321552.0,178.881,2385.0,2385.0,,,,,,,1746.677,23289.0,23289.0
2012-06-01,131684.29,1430090.0,1430090.0,803.788,8729.0,8729.0,,,,,,,109260.92,1186572.0,1186572.0
2012-07-01,214418.15,2279143.0,2279143.0,473.003,5028.0,5028.0,,,,,,,250515.85,2662840.0,2662840.0
2012-08-01,140615.14,1520672.0,1520672.0,196.865,2129.0,2129.0,,,,,,,160704.0,1737921.0,1737921.0
2012-09-01,93474.575,982500.0,982500.0,944.212,9925.0,9925.0,,,,,,,137513.21,1445384.0,1445384.0
2012-10-01,91995.859,953805.0,953805.0,639.444,6630.0,6630.0,,,,,,,127563.7,1322570.0,1322570.0
2012-11-01,123644.59,1380716.0,1380716.0,500.431,5588.0,5588.0,,,,,,,46995.982,524795.0,524795.0
2012-12-01,96176.303,1060900.0,1060900.0,1257.706,13873.0,13873.0,,,,,,,80743.991,890669.0,890669.0
2013-01-01,123629.87,1315337.0,1315337.0,626.971,6671.0,6671.0,,,,,,,118960.16,1265654.0,1265654.0
2013-02-01,130876.82,1331923.0,1331923.0,323.973,3297.0,3297.0,,,,,,,149001.21,1516373.0,1516373.0
2013-03-01,141435.26,1440151.0,1440151.0,527.049,5367.0,5367.0,,,,,,,99963.689,1017871.0,1017871.0
2013-04-01,29310.871,326066.0,326066.0,111.129,1236.0,1236.0,,,,,,,0.0,0.0,0.0
2013-05-01,69458.676,825672.0,825672.0,800.543,9516.0,9516.0,,,,,,,25521.781,303384.0,303384.0
2013-06-01,130438.82,1366183.0,1366183.0,765.741,8020.0,8020.0,,,,,,,133592.44,1399213.0,1399213.0
2013-07-01,187569.97,1963704.0,1963704.0,531.55,5565.0,5565.0,,,,,,,256370.48,2683989.0,2683989.0
2013-08-01,111519.7,1170594.0,1170594.0,663.686,6967.0,6967.0,,,,,,,182743.61,1918213.0,1918213.0
2013-09-01,57971.776,753901.0,753901.0,417.1,5424.0,5424.0,,,,,,,14399.124,187255.0,187255.0
2013-10-01,18479.509,239439.0,239439.0,340.491,4412.0,4412.0,,,,,,,0.0,0.0,0.0
2013-11-01,34378.138,395868.0,395868.0,222.862,2566.0,2566.0,,,,,,,0.0,0.0,0.0
2013-12-01,77357.719,848835.0,848835.0,1342.95,14736.0,14736.0,,,,,,,35793.331,392755.0,392755.0
2014-01-01,249937.19,2518816.0,2518816.0,1198.86,12082.0,12082.0,,,,,,,232062.95,2338683.0,2338683.0
2014-02-01,269441.1,2824745.0,2824745.0,697.313,7310.0,7310.0,,,,,,,239153.59,2507219.0,2507219.0
2014-03-01,129524.97,1329043.0,1329043.0,148.94,1528.0,1528.0,,,,,,,39334.095,403603.0,403603.0
2014-04-01,36006.593,454309.0,454309.0,317.407,4005.0,4005.0,,,,,,,0.0,0.0,0.0
2014-05-01,75139.627,869132.0,869132.0,781.814,9043.0,9043.0,,,,,,,12821.559,148306.0,148306.0
2014-06-01,112045.35,1194729.0,1194729.0,1081.086,11528.0,11528.0,,,,,,,95736.566,1020830.0,1020830.0
2014-07-01,132249.09,1392630.0,1392630.0,475.169,5004.0,5004.0,,,,,,,168921.74,1778806.0,1778806.0
2014-08-01,77461.113,887402.0,887402.0,873.971,10012.0,10012.0,,,,,,,78413.916,898318.0,898318.0
2014-09-01,73202.156,809468.0,809468.0,327.006,3616.0,3616.0,,,,,,,29946.838,331152.0,331152.0
2014-10-01,68617.121,825695.0,825695.0,778.94,9373.0,9373.0,,,,,,,36324.939,437111.0,437111.0
2014-11-01,121763.79,1305160.0,1305160.0,897.017,9615.0,9615.0,,,,,,,199389.19,2137210.0,2137210.0
2014-12-01,66344.231,747359.0,747359.0,276.146,3111.0,3111.0,,,,,,,50948.623,573929.0,573929.0
2015-01-01,136764.54,1452707.0,1452707.0,849.3,9021.0,9021.0,,,,,,,109413.16,1162181.0,1162181.0
2015-02-01,172925.17,1769562.0,1769562.0,554.546,5675.0,5675.0,,,,,,,120161.28,1229623.0,1229623.0
2015-03-01,120846.11,1286688.0,1286688.0,1128.774,12018.0,12018.0,,,,,,,119111.12,1268215.0,1268215.0
2015-04-01,63764.424,699412.0,699412.0,354.525,3889.0,3889.0,,,,,,,70952.051,778251.0,778251.0
2015-05-01,104294.56,1033323.0,1033323.0,665.474,6593.0,6593.0,,,,,,,37791.962,374433.0,374433.0
2015-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
