measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2008-05-01,0.0,0.0,0.0,0.0,0.0,0.0,1560.883,17981.0,17981.0,10915.853,125748.0,125748.0,53484.264,616126.0,616126.0
2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0,1468.3,17924.0,17924.0,4378.687,53452.0,53452.0,32989.013,402707.0,402707.0
2008-07-01,0.0,0.0,0.0,0.0,0.0,0.0,3623.166,43428.0,43428.0,9736.528,116704.0,116704.0,70908.307,849921.0,849921.0
2008-08-01,0.0,0.0,0.0,0.0,0.0,0.0,1420.646,16727.0,16727.0,11226.897,132188.0,132188.0,73245.458,862408.0,862408.0
2008-09-01,0.0,0.0,0.0,0.0,0.0,0.0,1025.95,10254.0,10254.0,1288.69,12880.0,12880.0,49883.36,498566.0,498566.0
2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0,123.123,1609.0,1609.0,0.0,0.0,0.0,35178.877,459725.0,459725.0
2008-11-01,0.0,0.0,0.0,0.0,0.0,0.0,396.132,5579.0,5579.0,123.263,1736.0,1736.0,34032.605,479305.0,479305.0
2008-12-01,0.0,0.0,0.0,0.0,0.0,0.0,239.42700000000002,3406.0,3406.0,0.0,0.0,0.0,32603.573,463806.0,463806.0
2009-01-01,,,,,,,350.403,5080.0,5080.0,1234.017,17892.0,17892.0,38837.58,563106.0,563106.0
2009-02-01,,,,,,,2181.15,28417.0,28417.0,2798.136,36456.0,36456.0,41864.714,545442.0,545442.0
2009-03-01,,,,,,,7029.376,92563.0,92563.0,1367.252,18004.0,18004.0,56735.372,747093.0,747093.0
2009-04-01,0.0,0.0,0.0,,,,4269.802000000001,50806.0,50806.0,694.177,8260.0,8260.0,23122.021,275129.0,275129.0
2009-05-01,0.0,0.0,0.0,,,,2719.9790000000003,37370.0,37370.0,0.0,0.0,0.0,14155.021,194477.0,194477.0
2009-06-01,,,,,,,4998.426,66945.0,66945.0,505.927,6776.0,6776.0,43220.647,578864.0,578864.0
2009-07-01,,,,,,,2635.5150000000003,27485.0,27485.0,6253.018,65212.0,65212.0,53757.467,560630.0,560630.0
2009-08-01,0.0,0.0,0.0,,,,3459.9170000000004,47161.0,47161.0,558.7370000000001,7616.0,7616.0,22941.346,312708.0,312708.0
2009-09-01,0.0,0.0,0.0,,,,1224.606,15527.0,15527.0,578.578,7336.0,7336.0,21049.816,266898.0,266898.0
2009-10-01,,,,,,,1969.6180000000002,22680.0,22680.0,1726.4180000000001,19880.0,19880.0,27836.964,320548.0,320548.0
2009-11-01,,,,,,,88.693,1199.0,1199.0,1408.928,19040.0,19040.0,13612.379,183955.0,183955.0
2009-12-01,0.0,0.0,0.0,,,,190.25,2250.0,2250.0,7421.099,87752.0,87752.0,50640.651,598809.0,598809.0
2010-01-01,0.0,0.0,0.0,,,,131.982,1449.0,1449.0,10378.025,113932.0,113932.0,61949.993,680099.0,680099.0
2010-02-01,0.0,0.0,0.0,,,,71.12700000000001,801.0,801.0,8330.41,93856.0,93856.0,57115.463,643501.0,643501.0
2010-03-01,0.0,0.0,0.0,,,,110.74300000000001,1280.0,1280.0,5388.385,62272.0,62272.0,45230.872,522720.0,522720.0
2010-04-01,0.0,0.0,0.0,,,,96.86,1023.0,1023.0,4397.634,46452.0,46452.0,30376.506,320866.0,320866.0
2010-05-01,0.0,0.0,0.0,,,,160.497,1859.0,1859.0,5106.444,59136.0,59136.0,35888.059,415608.0,415608.0
2010-06-01,0.0,0.0,0.0,,,,214.84900000000002,2361.0,2361.0,6396.125,70280.0,70280.0,43797.026,481237.0,481237.0
2010-07-01,0.0,0.0,0.0,,,,230.70700000000002,2504.0,2504.0,8313.852,90244.0,90244.0,50971.441,553277.0,553277.0
2010-08-01,0.0,0.0,0.0,,,,115.33800000000001,1322.0,1322.0,5640.885,64680.0,64680.0,40372.777,462926.0,462926.0
2010-09-01,0.0,0.0,0.0,,,,38.941,399.0,399.0,4895.091,50204.0,50204.0,22303.968,228749.0,228749.0
2010-10-01,0.0,0.0,0.0,,,,129.82500000000002,1401.0,1401.0,2254.554,24332.0,24332.0,18830.621,203227.0,203227.0
2010-11-01,0.0,0.0,0.0,,,,78.723,1068.0,1068.0,495.216,6720.0,6720.0,13608.061,184659.0,184659.0
2010-12-01,0.0,0.0,0.0,,,,156.11700000000002,1703.0,1703.0,6348.2660000000005,69244.0,69244.0,45689.617,498362.0,498362.0
2011-01-01,0.0,0.0,0.0,,,,218.441,2429.0,2429.0,9589.137,106624.0,106624.0,56021.422,622916.0,622916.0
2011-02-01,0.0,0.0,0.0,,,,241.002,2652.0,2652.0,9365.691,103068.0,103068.0,52731.307,580300.0,580300.0
2011-03-01,0.0,0.0,0.0,,,,250.273,2707.0,2707.0,10903.627,117936.0,117936.0,44757.1,484103.0,484103.0
2011-04-01,0.0,0.0,0.0,,,,3.583,68.0,68.0,45.736,868.0,868.0,157.681,2993.0,2993.0
2011-05-01,0.0,0.0,0.0,,,,129.332,1511.0,1511.0,5285.278,61740.0,61740.0,18878.39,220528.0,220528.0
2011-06-01,0.0,0.0,0.0,,,,135.242,1611.0,1611.0,5863.782,69860.0,69860.0,22137.976,263748.0,263748.0
2011-07-01,0.0,0.0,0.0,,,,204.145,2195.0,2195.0,11228.836,120736.0,120736.0,48046.019,516606.0,516606.0
2011-08-01,0.0,0.0,0.0,,,,208.126,2653.0,2653.0,8415.55,107268.0,107268.0,42444.324,541013.0,541013.0
2011-09-01,0.0,0.0,0.0,,,,249.794,2448.0,2448.0,7779.893,76244.0,76244.0,34201.313,335178.0,335178.0
2011-10-01,0.0,0.0,0.0,,,,40.845,680.0,680.0,260.665,4340.0,4340.0,4270.49,71103.0,71103.0
2011-11-01,0.0,0.0,0.0,,,,88.88,1209.0,1209.0,0.0,0.0,0.0,12146.12,165200.0,165200.0
2011-12-01,0.0,0.0,0.0,,,,89.754,1255.0,1255.0,478.52,6692.0,6692.0,12623.726,176540.0,176540.0
2012-01-01,0.0,0.0,0.0,,,,127.536,1875.0,1875.0,1579.266,23212.0,23212.0,11424.198,167913.0,167913.0
2012-02-01,0.0,0.0,0.0,,,,393.158,4079.0,4079.0,9863.358,102340.0,102340.0,47211.484,489856.0,489856.0
2012-03-01,6680.464,68523.0,68523.0,,,,430.254,4413.0,4413.0,655.146,6720.0,6720.0,46249.136,474389.0,474389.0
2012-04-01,748.969,6431.0,6431.0,,,,392.256,3368.0,3368.0,0.0,0.0,0.0,25098.775,215506.0,215506.0
2012-05-01,0.0,0.0,0.0,,,,-1.732,0.0,0.0,-63.973,0.0,0.0,-322.295,0.0,0.0
2012-06-01,0.0,0.0,0.0,,,,11095.0,138718.0,138718.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,0.0,0.0,0.0,,,,21519.0,275233.0,275233.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,0.0,0.0,0.0,,,,999.0,27956.0,27956.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-01,0.0,0.0,0.0,,,,-112.0,15345.0,15345.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,0.0,0.0,0.0,,,,12371.0,175794.0,175794.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-01,0.0,0.0,0.0,,,,16403.0,230885.0,230885.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,0.0,0.0,0.0,,,,9863.0,156348.0,156348.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01,0.0,0.0,0.0,,,,4175.0,76932.0,76932.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,,,,-516.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,,,,-80.0,11363.0,11363.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,,,,12597.0,180578.0,180578.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0,12042.0,166375.0,166375.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,-14.25,0.0,0.0,,,,-154.241,0.0,0.0,-23.273,0.0,0.0,-250.236,0.0,0.0
2013-07-01,0.0,0.0,0.0,,,,6148.0,87222.0,87222.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0,,,,2775.0,49627.0,49627.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0,,,,14260.0,206419.0,206419.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-01,0.0,0.0,0.0,,,,16547.0,219036.0,219036.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-01,0.0,0.0,0.0,,,,9311.0,131437.0,131437.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-01,0.0,0.0,0.0,,,,1631.0,36542.0,36542.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-01,0.0,0.0,0.0,,,,-510.0,6159.0,6159.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-01,0.0,0.0,0.0,,,,1042.0,33018.0,33018.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01,0.0,0.0,0.0,,,,6460.0,112789.0,112789.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-01,0.0,0.0,0.0,,,,7396.0,114707.0,114707.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-01,0.0,0.0,0.0,,,,-777.0,151.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-01,0.0,0.0,0.0,,,,559.0,19627.0,19627.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-01,0.0,0.0,0.0,,,,-796.0,3473.0,3473.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-01,0.0,0.0,0.0,,,,312.0,20601.0,20601.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-01,0.0,0.0,0.0,,,,-445.0,9008.0,9008.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-01,0.0,0.0,0.0,,,,3412.0,61436.0,61436.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-01,0.0,0.0,0.0,,,,15023.0,215907.0,215907.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,0.0,0.0,0.0,,,,16483.0,231554.0,231554.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,0.0,0.0,0.0,,,,14234.0,209704.0,209704.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,0.0,0.0,0.0,,,,8006.0,129581.0,129581.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-01,0.0,0.0,0.0,,,,4911.0,81146.0,81146.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-01,0.0,0.0,0.0,,,,16503.0,230430.0,230430.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-01,0.0,0.0,0.0,,,,15370.0,222157.0,222157.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,0.0,0.0,0.0,,,,15759.0,216125.0,216125.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-01,0.0,0.0,0.0,,,,12919.0,186811.0,186811.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-01,0.0,0.0,0.0,,,,3293.0,61007.0,61007.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-01,0.0,0.0,0.0,,,,-326.0,8233.0,8233.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-823.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,-770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,,,,,,,704.0,23659.0,23659.0,,,,,,
2016-02-01,,,,,,,416.0,20436.0,20436.0,,,,,,
2016-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-829.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0,0.0,0.0,0.0,-785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,0.0,0.0,0.0,0.0,0.0,0.0,-779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,0.0,0.0,0.0,0.0,0.0,0.0,-772.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-01,,,,,,,993.0,27025.0,27025.0,,,,,,
2016-08-01,,,,,,,-832.0,0.0,0.0,,,,,,
2016-09-01,,,,,,,-780.0,0.0,0.0,,,,,,
2016-10-01,,,,,,,-665.0,0.0,0.0,,,,,,
2016-11-01,,,,,,,-455.0,0.0,0.0,,,,,,
2016-12-01,0.0,0.0,0.0,0.0,0.0,0.0,-490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-482.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-01,0.0,0.0,0.0,0.0,0.0,0.0,-404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-01,0.0,0.0,0.0,0.0,0.0,0.0,-396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,0.0,0.0,0.0,0.0,0.0,0.0,-404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-01,0.0,0.0,0.0,0.0,0.0,0.0,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,,,,,,,0.0,0.0,0.0,,,,,,
