measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Waste Coal Generation,Waste Coal Quantity Consumed For Electricity,Waste Coal Total Fuel Consumed
2009-11-01,,,,259.65250000000003,2926.0,2926.0,310939.633,3425928.0,3425928.0
2009-12-01,,,,610.1815,6723.0,6723.0,335095.675,3656217.0,3656217.0
2010-01-01,,,,809.091,8879.0,8879.0,316364.812,3474691.0,3474691.0
2010-02-01,,,,226.672,2572.0,2572.0,65321.363,748007.0,748007.0
2010-03-01,,,,2062.385,22888.0,22888.0,273919.814,3041402.0,3041402.0
2010-04-01,,,,426.94350000000003,4518.0,4518.0,333341.521,3524100.0,3524100.0
2010-05-01,,,,49.2945,521.5,521.5,368644.486,3860253.0,3860253.0
2010-06-01,,,,745.49,8005.5,8005.5,324384.188,3484035.0,3484035.0
2010-07-01,,,,432.3815,4553.0,4553.0,341917.733,3595827.0,3595827.0
2010-08-01,,,,177.7515,1885.5,1885.5,356171.803,3772081.0,3772081.0
2010-09-01,,,,19.3685,207.0,207.0,351913.0,3711321.0,3711321.0
2010-10-01,,,,959.8505,10437.0,10437.0,311793.733,3391384.0,3391384.0
2010-11-01,,,,199.44150000000002,2143.5,2143.5,329239.005,3540420.0,3540420.0
2010-12-01,,,,402.623,4390.5,4390.5,339587.957,3709569.0,3709569.0
2011-01-01,,,,918.3805,10149.5,10149.5,305678.52,3380288.0,3380288.0
2011-02-01,,,,2.8865,23.5,23.5,261820.94,2869009.0,2869009.0
2011-03-01,,,,206.78199999999998,2280.5,2280.5,290341.56,3213400.0,3213400.0
2011-04-01,,,,855.7265,9644.5,9644.5,207284.22,2337774.0,2337774.0
2011-05-01,,,,588.5095,7806.5,7806.5,55788.783,741004.0,741004.0
2011-06-01,,,,648.8715000000001,7009.5,7009.5,303654.86,3282893.0,3282893.0
2011-07-01,,,,1.9165,14.5,14.5,347363.92,3717058.0,3717058.0
2011-08-01,,,,549.8565,6013.0,6013.0,318944.77,3490876.0,3490876.0
2011-09-01,,,,1.376,8.5,8.5,339097.0,3712743.0,3712743.0
2011-10-01,,,,1383.5155,15492.5,15492.5,250787.83,2810079.0,2810079.0
2011-11-01,,,,670.683,7475.5,7475.5,260546.14,2908117.0,2908117.0
2011-12-01,,,,988.2065,11398.5,11398.5,156267.04,1804253.0,1804253.0
