measured_on,"Gaseous Propane-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Gaseous Propane-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Gaseous Propane-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2005-05-01,10.94796,61.95,153.75,317.02504,1793.96,4452.21
2005-06-01,12.68536,71.78,178.15,539.35164,3052.07,7574.52
2005-07-01,12.918579999999999,73.1,181.43,695.03142,3933.02,9760.83
2005-08-01,14.89813,84.3,209.23,743.09387,4204.99,10435.79
2005-09-01,14.06501,79.59,197.53,491.56299,2781.63,6903.37
2005-10-01,13.40631,75.86,188.28,339.94069,1923.65,4774.05
2005-11-01,11.357389999999999,64.27,159.5,305.13561,1726.69,4285.24
2005-12-01,11.78463,66.69,165.5,329.67937,1865.58,4629.92
2006-01-01,0.0,0.0,0.0,346.603,1961.34,5123.59
2006-02-01,0.0,0.0,0.0,345.59200000000004,1955.62,5108.65
2006-03-01,0.0,0.0,0.0,377.023,2133.48,5573.26
2006-04-01,0.0,0.0,0.0,316.987,1793.75,4685.8
2006-05-01,0.0,0.0,0.0,307.499,1740.07,4545.56
2006-06-01,0.0,0.0,0.0,393.351,2225.88,5814.64
2006-07-01,0.0,0.0,0.0,589.068,3333.39,8707.79
2006-08-01,0.0,0.0,0.0,554.592,3138.3,8198.15
2006-09-01,0.0,0.0,0.0,393.372,2226.0,5814.94
2006-10-01,0.0,0.0,0.0,438.706,2482.54,6485.09
2006-11-01,0.0,0.0,0.0,377.346,2135.31,5578.05
2006-12-01,0.0,0.0,0.0,368.721,2086.5,5450.54
2007-01-01,,,,216.305,1224.0,3260.0
2007-02-01,,,,186.501,1056.0,2811.0
2007-03-01,,,,271.264,1535.0,4088.0
2007-04-01,,,,274.487,1554.0,4137.0
2007-05-01,,,,292.67400000000004,1656.0,4411.0
2007-06-01,,,,402.87600000000003,2280.0,6072.0
2007-07-01,,,,531.562,3008.0,8011.0
2007-08-01,,,,580.317,3284.0,8746.0
2007-09-01,,,,420.31800000000004,2378.0,6335.0
2007-10-01,,,,332.962,1884.0,5018.0
2007-11-01,,,,301.64,1707.0,4546.0
2007-12-01,,,,363.894,2059.0,5484.0
2008-01-01,,,,286.26800000000003,1607.0,4732.0
2008-02-01,,,,279.225,1567.0,4617.0
2008-03-01,,,,289.25100000000003,1623.0,4783.0
2008-04-01,,,,325.632,1828.0,5385.0
2008-05-01,,,,261.236,1466.0,4320.0
2008-06-01,,,,443.61,2490.0,7335.0
2008-07-01,,,,480.01300000000003,2694.0,7937.0
2008-08-01,,,,370.19300000000004,2078.0,6122.0
2008-09-01,,,,382.053,2144.0,6318.0
2008-10-01,,,,240.52800000000002,1350.0,3978.0
2008-11-01,,,,272.726,1531.0,4509.0
2008-12-01,,,,198.26500000000001,1113.0,3278.0
2009-01-01,9.582,54.0,135.0,306.149,1718.0,4146.0
2009-02-01,8.765,49.0,118.0,266.754,1497.0,3612.0
2009-03-01,8.859,50.0,120.0,230.39600000000002,1293.0,3121.0
2009-04-01,8.017000000000001,45.0,108.0,279.997,1572.0,3792.0
2009-05-01,6.492,36.0,88.0,340.869,1913.0,4616.0
2009-06-01,7.2620000000000005,41.0,98.0,354.735,1991.0,4804.0
2009-07-01,7.569,42.0,103.0,434.041,2436.0,5878.0
2009-08-01,7.589,43.0,103.0,511.512,2871.0,6927.0
2009-09-01,7.094,40.0,95.0,420.182,2359.0,5690.0
2009-10-01,7.55,42.0,103.0,383.772,2154.0,5198.0
2009-11-01,7.8340000000000005,44.0,105.0,325.91900000000004,1829.0,4414.0
2009-12-01,8.46,47.0,115.0,318.601,1788.0,4314.0
2010-01-01,6.253,35.0,80.0,300.14500000000004,1685.0,3994.0
2010-02-01,6.482,36.0,88.0,261.449,1468.0,3479.0
2010-03-01,7.461,42.0,100.0,231.53,1300.0,3081.0
2010-04-01,6.3340000000000005,36.0,85.0,275.07300000000004,1544.0,3660.0
2010-05-01,5.582,31.0,75.0,323.188,1814.0,4301.0
2010-06-01,4.86,27.0,65.0,415.42400000000004,2332.0,5528.0
2010-07-01,3.6950000000000003,21.0,50.0,529.322,2971.0,7043.0
2010-08-01,6.45,36.0,85.0,455.60200000000003,2557.0,6063.0
2010-09-01,6.465000000000001,36.0,85.0,373.97900000000004,2099.0,4976.0
2010-10-01,5.226,29.0,70.0,311.38,1748.0,4143.0
2010-11-01,7.53,42.0,100.0,299.274,1680.0,3983.0
2010-12-01,8.624,48.0,115.0,336.672,1890.0,4480.0
2011-01-01,4.393,25.0,60.0,268.519,1507.0,3683.0
2011-02-01,4.101,23.0,55.0,248.672,1396.0,3410.0
2011-03-01,4.06,23.0,55.0,252.086,1415.0,3458.0
2011-04-01,3.615,20.0,50.0,300.282,1686.0,4118.0
2011-05-01,3.788,21.0,53.0,287.485,1614.0,3943.0
2011-06-01,3.697,21.0,50.0,336.889,1891.0,4620.0
2011-07-01,3.559,20.0,50.0,429.751,2412.0,5894.0
2011-08-01,3.774,21.0,53.0,360.142,2022.0,4939.0
2011-09-01,3.882,22.0,53.0,306.874,1723.0,4208.0
2011-10-01,3.747,21.0,53.0,305.298,1714.0,4187.0
2011-11-01,4.219,24.0,58.0,320.072,1797.0,4390.0
2011-12-01,4.377,25.0,60.0,306.718,1722.0,4206.0
2012-01-01,0.0,0.0,0.0,236.962,1330.0,3214.0
2012-02-01,0.0,0.0,0.0,237.847,1335.0,3225.0
2012-03-01,0.0,0.0,0.0,273.506,1535.0,3709.0
2012-04-01,0.0,0.0,0.0,279.257,1568.0,3786.0
2012-05-01,0.0,0.0,0.0,355.809,1997.0,4824.0
2012-06-01,0.0,0.0,0.0,354.897,1992.0,4811.0
2012-07-01,0.0,0.0,0.0,453.008,2543.0,6141.0
2012-08-01,0.0,0.0,0.0,406.788,2283.0,5515.0
2012-09-01,0.0,0.0,0.0,356.333,2000.0,4831.0
2012-10-01,0.0,0.0,0.0,278.941,1566.0,3782.0
2012-11-01,0.0,0.0,0.0,179.863,1010.0,2438.0
2012-12-01,0.0,0.0,0.0,181.789,1020.0,2464.0
2013-01-01,0.0,0.0,0.0,197.226,1107.0,2620.0
2013-02-01,0.0,0.0,0.0,201.53,1131.0,2675.0
2013-03-01,0.0,0.0,0.0,249.142,1398.0,3308.0
2013-04-01,0.0,0.0,0.0,250.818,1408.0,3331.0
2013-05-01,0.0,0.0,0.0,259.651,1457.0,3447.0
2013-06-01,0.0,0.0,0.0,295.884,1661.0,3929.0
2013-07-01,0.0,0.0,0.0,418.918,2351.0,5562.0
2013-08-01,0.0,0.0,0.0,330.698,1856.0,4391.0
2013-09-01,0.0,0.0,0.0,282.331,1585.0,3749.0
2013-10-01,0.0,0.0,0.0,245.614,1379.0,3261.0
2013-11-01,0.0,0.0,0.0,233.321,1310.0,3098.0
2013-12-01,0.0,0.0,0.0,254.867,1431.0,3384.0
2014-01-01,0.0,0.0,0.0,169.434,951.0,2557.0
2014-02-01,0.0,0.0,0.0,186.255,1046.0,2809.0
2014-03-01,0.0,0.0,0.0,198.578,1115.0,2995.0
2014-04-01,0.0,0.0,0.0,167.428,940.0,2525.0
2014-05-01,0.0,0.0,0.0,167.305,939.0,2523.0
