measured_on,"Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Lignite Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Lignite Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Lignite Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2020-10-01,0.0,0.0,0.0,96367.537,1245443.0,1245443.0,8209.463,106098.0,106098.0
2020-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1844.0,1844.0
2021-02-01,0.0,0.0,0.0,26127.92,324086.0,324086.0,6748.08,83702.0,83702.0
2021-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0
2021-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1611.0,1611.0
2021-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,0.0,0.0,0.0,127762.62,1542527.0,1542527.0,17523.385,211567.0,211567.0
2021-07-01,0.0,0.0,0.0,199813.56,2350671.0,2350671.0,15701.443,184717.0,184717.0
2021-08-01,0.0,0.0,0.0,198856.53,2506033.0,2506033.0,32986.473,415703.0,415703.0
2021-09-01,0.0,0.0,0.0,154507.16,2090522.0,2090522.0,25191.843,340852.0,340852.0
2021-10-01,0.0,0.0,0.0,165924.96,2220632.0,2220632.0,24546.042,328508.0,328508.0
2021-11-01,0.0,0.0,0.0,69864.595,1030449.0,1030449.0,11597.405,171053.0,171053.0
2021-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
