measured_on,Natural Gas-Combined Cycle Single Shaft Generation,Natural Gas-Combined Cycle Single Shaft Quantity Consumed For Electricity,Natural Gas-Combined Cycle Single Shaft Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2015-02-01,77055.0,606080.0,627489.0,,,
2015-03-01,69315.0,545967.0,568970.0,,,
2015-04-01,82028.0,646031.0,669496.0,,,
2015-05-01,88230.0,694675.0,716373.0,,,
2015-06-01,85290.0,671738.0,691410.0,,,
2015-07-01,88193.0,694745.0,715391.0,,,
2015-08-01,78773.0,620689.0,640065.0,,,
2015-09-01,84233.0,663572.0,683528.0,,,
2015-10-01,85013.0,669504.0,694845.0,,,
2015-11-01,82410.0,648978.0,674889.0,,,
2015-12-01,85260.0,670892.0,695176.0,,,
2016-01-01,89235.0,685888.0,725107.0,,,
2016-02-01,80880.0,622243.0,661841.0,,,
2016-03-01,88373.0,680080.0,723271.0,,,
2016-04-01,69270.0,533296.0,563398.0,,,
2016-05-01,88755.0,683424.0,720497.0,,,
2016-06-01,85815.0,660730.0,696472.0,,,
2016-07-01,88875.0,684447.0,722439.0,,,
2016-08-01,88553.0,681991.0,720722.0,,,
2016-09-01,85703.0,660063.0,697948.0,,,
2016-10-01,85883.0,661208.0,701457.0,,,
2016-11-01,85755.0,659782.0,697750.0,,,
2016-12-01,88493.0,680815.0,720770.0,,,
2017-01-01,86265.0,663619.0,706087.0,,,
2017-02-01,77705.0,596721.0,643696.0,,,
2017-03-01,49928.0,384305.0,415341.0,,,
2017-04-01,24338.0,187637.0,207749.0,,,
2017-05-01,89235.0,686919.0,719486.0,,,
2017-06-01,83498.0,642912.0,674707.0,,,
2017-07-01,89123.0,686358.0,722135.0,,,
2017-08-01,89033.0,685592.0,717948.0,,,
2017-09-01,72338.0,557437.0,586296.0,,,
2017-10-01,89370.0,687632.0,727175.0,,,
2017-11-01,86670.0,666030.0,702952.0,,,
2017-12-01,88493.0,679693.0,719419.0,,,
2018-01-01,89288.0,686123.0,735795.0,,,
2018-02-01,77303.0,594909.0,623933.0,,,
2018-03-01,72278.0,555883.0,582217.0,,,
2018-04-01,86715.0,667016.0,693374.0,,,
2018-05-01,89573.0,689406.0,715762.0,,,
2018-06-01,86730.0,667759.0,692578.0,,,
2018-07-01,77768.0,599397.0,625185.0,,,
2018-08-01,89663.0,690467.0,715079.0,,,
2018-09-01,86723.0,667797.0,691601.0,,,
2018-10-01,89580.0,689527.0,712602.0,,,
2018-11-01,86865.0,668054.0,694086.0,,,
2018-12-01,89655.0,689034.0,718790.0,,,
2019-01-01,89295.0,686449.0,719538.0,,,
2019-02-01,80880.0,622205.0,652209.0,,,
2019-03-01,82200.0,632297.0,662711.0,,,
2019-04-01,70538.0,542986.0,564427.0,,,
2019-05-01,89370.0,688140.0,716720.0,,,
2019-06-01,86198.0,664013.0,692748.0,,,
2019-07-01,89138.0,686699.0,718700.0,,,
2019-08-01,88860.0,684561.0,717768.0,,,
2019-09-01,85995.0,662391.0,694661.0,,,
2019-10-01,75338.0,580503.0,611889.0,,,
2019-11-01,86768.0,667501.0,703954.0,,,
2019-12-01,89528.0,688617.0,725568.0,,,
2020-01-01,89475.0,688276.0,729122.0,,,
2020-02-01,82230.0,632827.0,671634.0,,,
2020-03-01,39668.0,305624.0,326456.0,,,
2020-04-01,44213.0,340882.0,361335.0,,,
2020-05-01,88262.0,679466.0,712622.0,,,
2020-06-01,84738.0,652807.0,687891.0,,,
2020-07-01,88449.0,681467.0,718878.0,,,
2020-08-01,88267.0,680133.0,719537.0,,,
2020-09-01,86258.0,664453.0,701741.0,,,
2020-10-01,80685.0,621651.0,658682.0,,,
2020-11-01,86690.0,667122.0,703542.0,,,
2020-12-01,89487.0,688079.0,727250.0,,,
2021-01-01,84465.0,649850.0,689866.0,,,
2021-02-01,80761.0,621507.0,659684.0,,,
2021-03-01,73217.0,563678.0,599984.0,,,
2021-04-01,86402.0,664786.0,703695.0,,,
2021-05-01,89350.0,687692.0,729634.0,,,
2021-06-01,86086.0,662876.0,704143.0,,,
2021-07-01,88892.0,684553.0,729373.0,,,
2021-08-01,88678.0,682954.0,729200.0,,,
2021-09-01,85374.0,657394.0,694816.0,,,
2021-10-01,89215.0,686661.0,730417.0,,,
2021-11-01,78749.0,605933.0,645845.0,,,
2021-12-01,89463.0,688178.0,728711.0,,,
2022-01-01,89463.0,687958.0,732444.0,,,
2022-02-01,80796.0,621492.0,663254.0,,,
2022-03-01,89183.0,686267.0,734696.0,,,
2022-04-01,67887.0,522696.0,555685.0,,,
2022-05-01,89157.0,686616.0,731801.0,,,
2022-06-01,85604.0,659433.0,706598.0,,,
2022-07-01,88065.0,678715.0,728867.0,,,
2022-08-01,86762.0,668487.0,724471.0,,,
2022-09-01,78210.0,602665.0,664358.0,,,
2022-10-01,89144.0,686350.0,738431.0,,,
2022-11-01,86729.0,667653.0,717255.0,,,
2022-12-01,89634.0,689633.0,742275.0,,,
2023-01-01,89554.0,689065.0,743692.0,,,
2023-02-01,80594.0,620362.0,671866.0,,,
2023-03-01,88384.0,680489.0,741513.0,,,
2023-04-01,70617.0,543759.0,572864.0,,,
2023-05-01,89339.0,687988.0,722093.0,,,
2023-06-01,72210.0,556793.0,599160.0,,,
2023-07-01,87628.0,675311.0,713324.0,,,
2023-08-01,87868.0,677130.0,714440.0,,,
2023-09-01,85542.0,659039.0,693547.0,,,
2023-10-01,88652.0,682741.0,719524.0,,,
2023-11-01,86303.0,664172.0,697329.0,,,
2023-12-01,88636.0,681657.0,717267.0,,,
2024-01-01,0.0,0.0,0.0,,,
2024-02-01,23610.0,181314.0,195020.0,,,
2024-03-01,78899.0,606578.0,635793.0,,,
2024-04-01,80426.0,618588.0,654580.0,,,
2024-05-01,83980.0,646347.0,681116.0,,,
2024-06-01,70712.0,544866.0,574637.0,,,
2024-07-01,85883.0,661155.0,694419.0,,,
2024-08-01,83295.0,641433.0,676872.0,,,
2024-09-01,78569.0,605228.0,643114.0,,,
2024-10-01,55384.0,427266.0,456752.0,,,
2024-11-01,20914.0,161592.0,172775.0,,,
2024-12-01,43080.0,331548.0,352249.0,,,
