measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Solar-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Solar-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Solar-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-10-01,892.0,12141.0,12141.0,3744.0,37522.37,37522.37
2004-11-01,60.0,1330.0,1330.0,2306.0,23110.73,23110.73
2004-12-01,29.0,293.0,293.0,1433.0,14361.53,14361.53
2005-01-01,0.0,1018.08,1018.08,828.0,8279.17,8279.17
2005-02-01,0.0,407.2,407.2,1735.0,17348.27,17348.27
2005-03-01,0.0,0.0,0.0,4488.0,44875.51,44875.51
2005-04-01,0.0,0.0,0.0,6850.0,68493.15,68493.15
2005-05-01,60.0,1113.84,1113.84,8844.0,88431.16,88431.16
2005-06-01,420.0,6911.39,6911.39,10040.0,100389.96,100389.96
2005-07-01,679.0,10756.92,10756.92,8567.0,85661.43,85661.43
2005-08-01,626.0,9616.2,9616.2,8408.0,84071.59,84071.59
2005-09-01,1115.0,14096.94,14096.94,6588.0,65873.41,65873.41
2005-10-01,0.0,0.0,0.0,4183.0,41825.82,41825.82
2005-11-01,0.0,0.0,0.0,1748.0,17478.25,17478.25
2005-12-01,371.0,4884.36,4884.36,30.0,299.97,299.97
2006-01-01,328.0,4640.0,4640.0,1399.0,13877.0,13877.0
2006-02-01,0.0,0.0,0.0,2420.0,24004.0,24004.0
2006-03-01,0.0,0.0,0.0,3799.0,37682.0,37682.0
2006-04-01,0.0,0.0,0.0,5555.0,55100.0,55100.0
2006-05-01,53.0,1262.0,1262.0,7605.0,75434.0,75434.0
2006-06-01,1225.0,18597.0,18597.0,7587.0,75255.0,75255.0
2006-07-01,2285.0,28013.0,28013.0,6345.0,62936.0,62936.0
2006-08-01,706.0,11194.0,11194.0,8538.0,84688.0,84688.0
2006-09-01,3735.0,53097.0,53097.0,5335.0,52918.0,52918.0
2006-10-01,0.0,0.0,0.0,3430.0,34022.0,34022.0
2006-11-01,0.0,0.0,0.0,1378.0,13668.0,13668.0
2006-12-01,341.0,4802.0,4802.0,80.0,794.0,794.0
2007-01-01,0.0,0.0,0.0,1328.0,13126.0,13126.0
2007-02-01,0.0,0.0,0.0,2124.0,20994.0,20994.0
2007-03-01,0.0,0.0,0.0,5259.0,51980.0,51980.0
2007-04-01,0.0,0.0,0.0,5869.0,58009.0,58009.0
2007-05-01,64.0,1114.0,1114.0,8868.0,87651.0,87651.0
2007-06-01,870.0,13064.0,13064.0,8745.0,86436.0,86436.0
2007-07-01,1603.0,24006.0,24006.0,8459.0,83609.0,83609.0
2007-08-01,1104.0,17090.0,17090.0,6652.0,65748.0,65748.0
2007-09-01,2385.0,33341.0,33341.0,5902.0,58335.0,58335.0
2007-10-01,0.0,0.0,0.0,4114.0,40663.0,40663.0
2007-11-01,80.0,1431.0,1431.0,2056.0,20322.0,20322.0
2007-12-01,320.0,4604.0,4604.0,171.0,1690.0,1690.0
2008-01-01,0.0,0.0,0.0,1657.0,16328.0,16328.0
2008-02-01,0.0,0.0,0.0,3377.0,33277.0,33277.0
2008-03-01,0.0,0.0,0.0,6526.0,64307.0,64307.0
2008-04-01,0.0,0.0,0.0,7993.0,78763.0,78763.0
2008-05-01,178.0,2874.0,2874.0,8508.0,83838.0,83838.0
2008-06-01,323.0,6179.0,6179.0,9922.0,97771.0,97771.0
2008-07-01,593.0,10281.0,10281.0,8737.0,86094.0,86094.0
2008-08-01,620.0,10851.0,10851.0,8378.0,82557.0,82557.0
2008-09-01,1743.0,25826.0,25826.0,6776.0,66771.0,66771.0
2008-10-01,0.0,0.0,0.0,4462.0,43969.0,43969.0
2008-11-01,0.0,0.0,0.0,1945.0,19166.0,19166.0
2008-12-01,0.0,0.0,0.0,1035.0,10199.0,10199.0
2009-01-01,411.0,5684.0,5684.0,151.0,1474.0,1474.0
2009-02-01,1793.0,26793.0,26793.0,1842.0,17978.0,17978.0
2009-03-01,0.0,0.0,0.0,5111.0,49883.0,49883.0
2009-04-01,0.0,0.0,0.0,7112.0,69413.0,69413.0
2009-05-01,36.0,813.0,813.0,7754.0,75679.0,75679.0
2009-06-01,3813.0,58832.0,58832.0,7462.0,72829.0,72829.0
2009-07-01,2837.0,44371.0,44371.0,9063.0,88455.0,88455.0
2009-08-01,2964.0,43137.0,43137.0,7980.0,77885.0,77885.0
2009-09-01,4107.0,55030.0,55030.0,6165.0,60170.0,60170.0
2009-10-01,716.0,10751.0,10751.0,4167.0,40670.0,40670.0
2009-11-01,942.0,14944.0,14944.0,2140.0,20886.0,20886.0
2009-12-01,17.0,506.0,506.0,873.0,8520.0,8520.0
2010-01-01,448.0,6815.0,6815.0,95.0,927.0,927.0
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-01,28.0,762.0,762.0,1417.0,13824.0,13824.0
2010-04-01,0.0,0.0,0.0,5934.0,57892.0,57892.0
2010-05-01,66.0,1011.0,1011.0,8895.0,86780.0,86780.0
2010-06-01,2170.0,31087.0,31087.0,9520.0,92877.0,92877.0
2010-07-01,2257.0,31445.0,31445.0,8747.0,85336.0,85336.0
2010-08-01,1635.0,24142.0,24142.0,8150.0,79511.0,79511.0
2010-09-01,3625.0,52752.0,52752.0,5951.0,58058.0,58058.0
2010-10-01,1320.0,21149.0,21149.0,2484.0,24234.0,24234.0
2010-11-01,740.0,12387.0,12387.0,2290.0,22341.0,22341.0
2010-12-01,412.0,7181.0,7181.0,845.0,8244.0,8244.0
2011-01-01,397.0,6968.0,6968.0,14.0,136.0,136.0
2011-02-01,300.0,5023.0,5023.0,2663.0,25874.0,25874.0
2011-03-01,671.0,11143.0,11143.0,3152.0,30625.0,30625.0
2011-04-01,723.0,11530.0,11530.0,6573.0,63863.0,63863.0
2011-05-01,47.0,958.0,958.0,6462.0,62785.0,62785.0
2011-06-01,1667.0,26309.0,26309.0,10057.0,97714.0,97714.0
2011-07-01,2237.0,34319.0,34319.0,8551.0,83082.0,83082.0
2011-08-01,2533.0,39139.0,39139.0,8714.0,84665.0,84665.0
2011-09-01,2896.0,46679.0,46679.0,6174.0,59987.0,59987.0
2011-10-01,1768.0,28390.0,28390.0,4963.0,48221.0,48221.0
2011-11-01,2232.0,36280.0,36280.0,1623.0,15769.0,15769.0
2011-12-01,2856.0,46847.0,46847.0,1505.0,14623.0,14623.0
2012-01-01,467.0,7031.0,7031.0,148.0,1408.0,1408.0
2012-02-01,2989.0,45516.0,45516.0,2549.0,24256.0,24256.0
2012-03-01,2295.0,35599.0,35599.0,4539.0,43193.0,43193.0
2012-04-01,1869.0,32054.0,32054.0,6949.0,66127.0,66127.0
2012-05-01,44.0,917.0,917.0,9041.0,86034.0,86034.0
2012-06-01,1804.0,29952.0,29952.0,9975.0,94922.0,94922.0
2012-07-01,2646.0,45164.0,45164.0,8810.0,83836.0,83836.0
2012-08-01,2912.0,47980.0,47980.0,7490.0,71275.0,71275.0
2012-09-01,3107.0,49380.0,49380.0,6603.0,62834.0,62834.0
2012-10-01,0.0,0.0,0.0,4607.0,43840.0,43840.0
2012-11-01,0.0,0.0,0.0,2053.0,19536.0,19536.0
2012-12-01,371.0,5638.0,5638.0,113.0,1075.0,1075.0
2013-01-01,353.0,5316.0,5316.0,81.0,773.0,773.0
2013-02-01,0.0,0.0,0.0,2726.0,26009.0,26009.0
2013-03-01,0.0,0.0,0.0,5216.0,49766.0,49766.0
2013-04-01,0.0,0.0,0.0,7083.0,67579.0,67579.0
2013-05-01,41.0,1014.0,1014.0,6031.0,57542.0,57542.0
2013-06-01,468.0,9990.0,9990.0,8568.0,81747.0,81747.0
2013-07-01,1639.0,29338.0,29338.0,6286.0,59975.0,59975.0
2013-08-01,1014.0,19142.0,19142.0,7847.0,74868.0,74868.0
2013-09-01,1260.0,24481.0,24481.0,6262.0,59746.0,59746.0
2013-10-01,0.0,0.0,0.0,4514.0,43068.0,43068.0
2013-11-01,0.0,0.0,0.0,1626.0,15514.0,15514.0
2013-12-01,0.0,0.0,0.0,1518.0,14483.0,14483.0
2014-01-01,370.0,5929.0,5929.0,168.0,1598.0,1598.0
2014-02-01,0.0,0.0,0.0,1963.0,18668.0,18668.0
2014-03-01,0.0,0.0,0.0,3909.0,37175.0,37175.0
2014-04-01,0.0,0.0,0.0,6374.0,60617.0,60617.0
2014-05-01,21.0,792.0,792.0,6331.0,60208.0,60208.0
2014-06-01,566.0,12481.0,12481.0,8874.0,84392.0,84392.0
2014-07-01,826.0,16773.0,16773.0,7656.0,72809.0,72809.0
2014-08-01,852.0,17640.0,17640.0,7670.0,72942.0,72942.0
2014-09-01,1129.0,23150.0,23150.0,6448.0,61320.0,61320.0
2014-10-01,0.0,0.0,0.0,4459.0,42405.0,42405.0
2014-11-01,79.0,1604.0,1604.0,1824.0,17346.0,17346.0
2014-12-01,0.0,0.0,0.0,678.0,6448.0,6448.0
2015-01-01,387.0,6012.0,6012.0,123.0,1146.0,1146.0
2015-02-01,0.0,0.0,0.0,2721.0,25357.0,25357.0
2015-03-01,0.0,0.0,0.0,4879.0,45467.0,45467.0
2015-04-01,0.0,0.0,0.0,5966.0,55597.0,55597.0
2015-05-01,28.0,1089.0,1089.0,6310.0,58803.0,58803.0
2015-06-01,1302.0,26044.0,26044.0,6774.0,63127.0,63127.0
2015-07-01,1347.0,26076.0,26076.0,7147.0,66603.0,66603.0
2015-08-01,1416.0,27680.0,27680.0,7290.0,67936.0,67936.0
2015-09-01,1508.0,30583.0,30583.0,5754.0,53622.0,53622.0
2015-10-01,0.0,0.0,0.0,2980.0,27771.0,27771.0
2015-11-01,0.0,0.0,0.0,1998.0,18619.0,18619.0
2015-12-01,0.0,0.0,0.0,704.0,6561.0,6561.0
2016-01-01,527.0,8306.0,8306.0,72.0,665.0,665.0
2016-02-01,0.0,0.0,0.0,2823.0,26062.0,26062.0
2016-03-01,0.0,0.0,0.0,3286.0,30336.0,30336.0
2016-04-01,0.0,0.0,0.0,4776.0,44092.0,44092.0
2016-05-01,0.0,0.0,0.0,6315.0,58300.0,58300.0
2016-06-01,1435.0,28625.0,28625.0,7076.0,65326.0,65326.0
2016-07-01,766.0,16004.0,16004.0,8091.0,74696.0,74696.0
2016-08-01,1201.0,24817.0,24817.0,7102.0,65566.0,65566.0
2016-09-01,1771.0,34687.0,34687.0,5785.0,53407.0,53407.0
2016-10-01,0.0,0.0,0.0,2774.0,25610.0,25610.0
2016-11-01,0.0,0.0,0.0,1547.0,14282.0,14282.0
2016-12-01,0.0,0.0,0.0,495.0,4570.0,4570.0
2017-01-01,390.0,7241.0,7241.0,32.0,295.0,295.0
2017-02-01,0.0,0.0,0.0,1188.0,10945.0,10945.0
2017-03-01,0.0,0.0,0.0,4151.0,38243.0,38243.0
2017-04-01,0.0,0.0,0.0,4499.0,41449.0,41449.0
2017-05-01,6.0,146.0,146.0,6186.0,56992.0,56992.0
2017-06-01,872.0,19543.0,19543.0,7325.0,67485.0,67485.0
2017-07-01,1530.0,29637.0,29637.0,6236.0,57452.0,57452.0
2017-08-01,2056.0,38540.0,38540.0,6109.0,56282.0,56282.0
2017-09-01,2132.0,40136.0,40136.0,4243.0,39091.0,39091.0
2017-10-01,0.0,0.0,0.0,3119.0,28735.0,28735.0
2017-11-01,1.0,321.0,321.0,789.0,7269.0,7269.0
2017-12-01,721.0,10724.0,10724.0,57.0,525.0,525.0
2018-01-01,0.0,0.0,0.0,139.0,1265.0,1265.0
2018-02-01,0.0,0.0,0.0,2245.0,20438.0,20438.0
2018-03-01,0.0,0.0,0.0,3063.0,27886.0,27886.0
2018-04-01,0.0,0.0,0.0,3959.0,36043.0,36043.0
2018-05-01,0.0,0.0,0.0,6605.0,60132.0,60132.0
2018-06-01,0.0,0.0,0.0,7754.0,70592.0,70592.0
2018-07-01,0.0,0.0,0.0,5568.0,50691.0,50691.0
2018-08-01,0.0,0.0,0.0,6400.0,58266.0,58266.0
2018-09-01,0.0,0.0,0.0,6234.0,56754.0,56754.0
2018-10-01,0.0,0.0,0.0,3106.0,28277.0,28277.0
2018-11-01,0.0,0.0,0.0,1438.0,13092.0,13092.0
2018-12-01,0.0,0.0,0.0,872.0,7939.0,7939.0
2019-01-01,0.0,0.0,0.0,404.0,3598.0,3598.0
2019-02-01,0.0,0.0,0.0,1275.0,11354.0,11354.0
2019-03-01,0.0,0.0,0.0,2538.0,22601.0,22601.0
2019-04-01,0.0,0.0,0.0,3332.0,29671.0,29671.0
2019-05-01,0.0,0.0,0.0,3379.0,30090.0,30090.0
2019-06-01,0.0,0.0,0.0,7179.0,63929.0,63929.0
2019-07-01,0.0,0.0,0.0,7904.0,70385.0,70385.0
2019-08-01,0.0,0.0,0.0,7791.0,69379.0,69379.0
2019-09-01,0.0,0.0,0.0,4424.0,39396.0,39396.0
2019-10-01,0.0,0.0,0.0,3198.0,28478.0,28478.0
2019-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,0.0,0.0,0.0,0.0,0.0,0.0
