measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2006-10-01,,,,22928.821,240799.0,240799.0,5524.607,0.0,0.0,,,
2006-11-01,,,,17028.215,178830.0,178830.0,4102.88,0.0,0.0,,,
2006-12-01,,,,17751.478,186426.0,186426.0,4277.147,0.0,0.0,,,
2007-01-01,,,,23040.95,234111.0,234111.0,5979.0,0.0,0.0,,,
2007-02-01,,,,5502.3640000000005,55907.0,55907.0,1428.0,0.0,0.0,,,
2007-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-06-01,,,,5300.492,53856.0,53856.0,1214.0,2482.0,2482.0,,,
2007-07-01,,,,25455.778,258647.0,258647.0,6126.0,10260.0,10260.0,,,
2007-08-01,,,,29074.097,295411.0,295411.0,6940.0,12857.0,12857.0,,,
2007-09-01,,,,28382.58,288385.0,288385.0,6758.0,22043.0,22043.0,,,
2007-10-01,,,,19766.528,200840.0,200840.0,4761.0,6984.0,6984.0,,,
2007-11-01,,,,12391.485,125905.0,125905.0,3010.0,0.0,0.0,,,
2007-12-01,,,,21332.726,216754.0,216754.0,5245.0,0.0,0.0,,,
2008-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-02-01,,,,41283.472,373299.0,373299.0,3327.0,0.0,0.0,,,
2008-03-01,,,,64461.57,582882.0,582882.0,5214.0,0.0,0.0,,,
2008-04-01,,,,44481.244,402213.0,402213.0,3587.0,0.0,0.0,,,
2008-05-01,,,,53809.997,486568.0,486568.0,4327.0,0.0,0.0,,,
2008-06-01,,,,7453.8,67400.0,67400.0,559.0,11211.0,11211.0,,,
2008-07-01,,,,30930.971,279688.0,279688.0,2608.0,38737.0,38737.0,,,
2008-08-01,,,,32230.785,291441.0,291441.0,2718.0,37712.0,37712.0,,,
2008-09-01,,,,667.1610000000001,6032.0,6032.0,56.0,1166.0,1166.0,,,
2008-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-01-01,,,,22336.103,238548.0,238548.0,5373.0,0.0,0.0,,,
2009-02-01,,,,693.5930000000001,7407.0,7407.0,167.0,0.0,0.0,,,
2009-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-05-01,,,,9415.925000000001,100562.0,100562.0,2265.0,0.0,0.0,,,
2009-06-01,,,,23182.934,247592.0,247592.0,5222.0,0.0,0.0,,,
2009-07-01,,,,27279.97,291348.0,291348.0,6562.0,5633.0,5633.0,,,
2009-08-01,,,,21690.903,231657.0,231657.0,5217.0,761.0,761.0,,,
2009-09-01,,,,21965.114,234586.0,234586.0,5284.0,0.0,0.0,,,
2009-10-01,,,,22751.455,242983.0,242983.0,5473.0,0.0,0.0,,,
2009-11-01,,,,19360.109,206764.0,206764.0,4657.0,0.0,0.0,,,
2009-12-01,,,,22557.894,240917.0,240917.0,5399.0,1287.0,1287.0,,,
2010-01-01,,,,21962.059,235576.0,235576.0,5477.0,0.0,0.0,,,
2010-02-01,,,,15567.155999999999,166980.0,166980.0,3882.0,0.0,0.0,,,
2010-03-01,,,,4959.551,53198.0,53198.0,1237.0,0.0,0.0,,,
2010-04-01,,,,22716.69,243669.0,243669.0,5665.0,0.0,0.0,,,
2010-05-01,,,,24043.127,257898.0,257898.0,5996.0,0.0,0.0,,,
2010-06-01,,,,31037.066,332918.0,332918.0,7739.0,0.0,0.0,,,
2010-07-01,,,,21911.492,235032.0,235032.0,5464.0,0.0,0.0,,,
2010-08-01,,,,30605.294,328287.0,328287.0,7632.0,0.0,0.0,,,
2010-09-01,,,,20989.599,225145.0,225145.0,5234.0,0.0,0.0,,,
2010-10-01,,,,23090.115,247676.0,247676.0,5718.0,0.0,0.0,,,
2010-11-01,,,,11362.235,121877.0,121877.0,2833.0,0.0,0.0,,,
2010-12-01,,,,23319.616,250137.0,250137.0,5815.0,0.0,0.0,,,
2011-01-01,,,,20002.373,222544.0,222544.0,5157.0,0.0,0.0,,,
2011-02-01,,,,19784.179,220116.0,220116.0,5101.0,0.0,0.0,,,
2011-03-01,,,,15363.869,170936.0,170936.0,3827.0,0.0,0.0,,,
2011-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-05-01,,,,16439.791,182908.0,182908.0,4329.0,0.0,0.0,,,
2011-06-01,,,,14073.515,156580.0,156580.0,3493.0,3250.0,3250.0,,,
2011-07-01,,,,37311.179,415120.0,415120.0,9620.0,26254.0,26254.0,,,
2011-08-01,,,,28590.942,318100.0,318100.0,7372.0,5449.0,5449.0,,,
2011-09-01,,,,21375.491,237821.0,237821.0,5511.0,776.0,776.0,,,
2011-10-01,,,,18185.344,202328.0,202328.0,4689.0,0.0,0.0,,,
2011-11-01,,,,20769.814,231082.0,231082.0,5355.0,0.0,0.0,,,
2011-12-01,,,,27981.503,311319.0,311319.0,7215.0,16926.0,16926.0,,,
2012-01-01,,,,4473.727,39413.0,39413.0,12.0,13.0,13.0,,,
2012-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-05-01,,,,11929.938,105103.0,105103.0,31.0,95.0,95.0,,,
2012-06-01,,,,27587.981,243051.0,243051.0,72.0,199.0,199.0,,,
2012-07-01,,,,25351.118,223344.0,223344.0,66.0,156.0,156.0,,,
2012-08-01,,,,48838.183,430267.0,430267.0,127.0,342.0,342.0,,,
2012-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-12-01,,,,1864.053,16423.0,16423.0,5.0,36.0,36.0,,,
2013-01-01,,,,20638.0,224510.0,224510.0,3672.0,0.0,0.0,,,
2013-02-01,,,,23176.0,233802.0,233802.0,4269.0,0.0,0.0,,,
2013-03-01,,,,27864.0,278828.0,278828.0,5220.0,0.0,0.0,,,
2013-04-01,,,,22669.0,200304.0,200304.0,4314.0,0.0,0.0,,,
2013-05-01,,,,23088.0,253741.0,253741.0,4673.0,0.0,0.0,,,
2013-06-01,,,,21255.0,226317.0,226317.0,4453.0,0.0,0.0,,,
2013-07-01,,,,25288.0,263250.0,263250.0,5736.0,0.0,0.0,,,
2013-08-01,,,,25986.0,267096.0,267096.0,6111.0,0.0,0.0,,,
2013-09-01,,,,19757.0,195279.0,195279.0,4506.76,192.0,192.0,,,
2013-10-01,,,,21483.0,224403.0,224403.0,5133.0,0.0,0.0,,,
2013-11-01,,,,3709.0,46252.0,46252.0,3418.0,29117.0,29117.0,,,
2013-12-01,,,,7157.0,78096.0,78096.0,1154.0,0.0,0.0,,,
2014-01-01,,,,17773.0,201211.0,201211.0,2136.0,0.0,0.0,,,
2014-02-01,,,,15995.0,178126.0,178126.0,2635.0,0.0,0.0,,,
2014-03-01,,,,13383.0,143627.0,143627.0,2266.0,0.0,0.0,,,
2014-04-01,,,,21886.0,222208.0,222208.0,3888.0,0.0,0.0,,,
2014-05-01,,,,12123.0,124938.0,124938.0,2365.0,3017.0,3017.0,,,
2014-06-01,,,,15677.0,207146.0,207146.0,2845.0,2691.0,2691.0,,,
2014-07-01,,,,17463.0,243792.0,243792.0,3287.0,0.0,0.0,,,
2014-08-01,,,,23764.0,327002.0,327002.0,4920.0,0.0,0.0,,,
2014-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2015-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2015-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2015-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2015-04-01,,,,414.0,5030.0,5030.0,80.0,0.0,0.0,,,
2015-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2015-06-01,,,,2435.0,28619.0,28619.0,480.0,0.0,0.0,,,
2015-07-01,,,,6807.0,79711.0,79711.0,1405.0,0.0,0.0,,,
2015-08-01,,,,9208.0,102252.0,102252.0,1933.0,0.0,0.0,,,
2015-09-01,,,,6304.0,68775.0,68775.0,1285.0,0.0,0.0,,,
2015-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2015-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2015-12-01,,,,22.0,414.0,414.0,0.0,0.0,0.0,,,
2016-01-01,,,,1458.0,17768.0,17768.0,239.0,0.0,0.0,,,
2016-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2016-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2016-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2016-05-01,,,,158.0,2117.0,2117.0,19.0,0.0,0.0,,,
2016-06-01,,,,7030.0,75756.0,75756.0,1335.0,0.0,0.0,,,
2016-07-01,,,,10728.0,115715.0,115715.0,2080.0,0.0,0.0,,,
2016-08-01,,,,13671.0,145384.0,145384.0,2701.0,0.0,0.0,,,
2016-09-01,,,,9775.0,100312.0,100312.0,1883.0,0.0,0.0,,,
2016-10-01,,,,8672.0,95692.0,95692.0,1630.0,0.0,0.0,,,
2016-11-01,,,,702.0,7983.0,7983.0,121.0,0.0,0.0,,,
2016-12-01,,,,8291.0,93206.0,93206.0,1427.0,0.0,0.0,,,
2017-01-01,,,,6802.0,76364.0,76364.0,1177.0,0.0,0.0,,,
2017-02-01,,,,963.0,13360.0,13360.0,169.0,0.0,0.0,,,
2017-03-01,,,,1591.0,18113.0,18113.0,282.0,0.0,0.0,,,
2017-04-01,,,,1752.0,19577.0,19577.0,316.0,0.0,0.0,,,
2017-05-01,,,,5861.0,65541.0,65541.0,1118.0,0.0,0.0,,,
2017-06-01,,,,12518.0,143713.0,143713.0,2584.0,0.0,0.0,,,
2017-07-01,,,,16434.0,182643.0,182643.0,3458.0,0.0,0.0,,,
2017-08-01,,,,9999.0,126578.0,126578.0,2063.0,0.0,0.0,,,
2017-09-01,,,,8700.0,98178.0,98178.0,1746.0,0.0,0.0,,,
2017-10-01,,,,6976.0,78652.0,78652.0,1315.0,0.0,0.0,,,
2017-11-01,,,,590.0,6782.0,6782.0,105.0,0.0,0.0,,,
2017-12-01,,,,2559.0,28778.0,28778.0,405.0,0.0,0.0,,,
2018-01-01,,,,6456.0,76277.0,76277.0,1147.0,0.0,0.0,,,
2018-02-01,,,,4825.0,56302.0,56302.0,785.0,0.0,0.0,,,
2018-03-01,,,,8423.0,100176.0,100176.0,1501.0,0.0,0.0,,,
2018-04-01,,,,8088.0,96610.0,96610.0,1490.0,0.0,0.0,,,
2018-05-01,,,,14573.0,167300.0,167300.0,2891.0,0.0,0.0,,,
2018-06-01,,,,13194.0,152897.0,152897.0,2792.0,0.0,0.0,,,
2018-07-01,,,,15590.0,180864.0,180864.0,3377.0,0.0,0.0,,,
2018-08-01,,,,11966.0,139894.0,139894.0,2521.0,0.0,0.0,,,
2018-09-01,,,,12764.0,145780.0,145780.0,2599.0,0.0,0.0,,,
2018-10-01,,,,17778.0,204694.0,204694.0,3609.0,0.0,0.0,,,
2018-11-01,,,,12831.0,144514.0,144514.0,2361.0,0.0,0.0,,,
2018-12-01,,,,16558.0,187024.0,187024.0,3122.0,0.0,0.0,,,
2019-01-01,,,,7888.0,82467.0,82467.0,1498.0,13.0,13.0,,,
2019-02-01,,,,1153.0,12743.0,12743.0,215.0,0.0,0.0,,,
2019-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-04-01,,,,9744.0,105514.0,105514.0,1706.0,0.0,0.0,,,
2019-05-01,,,,15180.0,165237.0,165237.0,2892.0,0.0,0.0,,,
2019-06-01,,,,20731.0,269625.0,269625.0,4177.0,0.0,0.0,,,
2019-07-01,,,,22892.0,285636.0,285636.0,4666.0,0.0,0.0,,,
2019-08-01,,,,18511.0,208403.0,208403.0,3854.0,31.0,31.0,,,
2019-09-01,,,,8612.0,99592.0,99592.0,1666.0,0.0,0.0,,,
2019-10-01,,,,10995.0,121433.0,121433.0,1935.0,0.0,0.0,,,
2019-11-01,,,,2912.0,32900.0,32900.0,457.0,0.0,0.0,,,
2019-12-01,,,,6997.0,76781.0,76781.0,1189.0,0.0,0.0,,,
2020-01-01,,,,385.0,4485.0,4485.0,56.0,0.0,0.0,,,
2020-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-07-01,,,,4862.0,52777.0,52777.0,908.0,0.0,0.0,,,
2020-08-01,,,,11639.0,121921.0,121921.0,2257.0,0.0,0.0,,,
2020-09-01,,,,5220.0,55752.0,55752.0,928.0,0.0,0.0,,,
2020-10-01,,,,11099.0,114756.0,114756.0,2007.0,0.0,0.0,,,
2020-11-01,,,,4960.0,51600.0,51600.0,845.0,0.0,0.0,,,
2020-12-01,,,,5205.0,54138.0,54138.0,852.0,0.0,0.0,,,
2021-01-01,,,,9482.0,97105.0,97105.0,1617.0,0.0,0.0,,,
2021-02-01,,,,12856.0,131141.0,131141.0,2070.0,0.0,0.0,,,
2021-03-01,,,,2529.0,27397.0,27397.0,427.0,0.0,0.0,,,
2021-04-01,,,,7202.0,77411.0,77411.0,1223.0,0.0,0.0,,,
2021-05-01,,,,6183.0,67775.0,67775.0,1119.0,0.0,0.0,,,
2021-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-07-01,,,,1496.0,15507.0,15507.0,224.0,0.0,0.0,,,
2021-08-01,,,,8100.0,88009.0,88009.0,1567.0,0.0,0.0,,,
2021-09-01,,,,5040.0,51821.0,51821.0,1078.0,0.0,0.0,,,
2021-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-08-01,,,,2330.0,20113.0,20113.0,239.0,0.0,0.0,,,
2022-09-01,,,,1444.0,16050.0,16050.0,249.0,0.0,0.0,,,
2022-10-01,,,,5776.0,61759.0,61759.0,951.0,0.0,0.0,,,
2022-11-01,,,,718.0,7879.0,7879.0,107.0,0.0,0.0,,,
2022-12-01,,,,4576.0,47544.0,47544.0,715.0,0.0,0.0,,,
2023-01-01,,,,680.0,7257.0,7257.0,103.0,0.0,0.0,,,
2023-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2023-03-01,,,,1992.0,21516.0,21516.0,315.0,0.0,0.0,,,
2023-04-01,,,,1189.0,13651.0,13651.0,170.0,0.0,0.0,,,
2023-05-01,,,,1843.0,21368.0,21368.0,317.0,0.0,0.0,,,
2023-06-01,,,,515.0,5605.0,5605.0,89.0,0.0,0.0,,,
2023-07-01,,,,5638.0,60446.0,60446.0,1043.0,0.0,0.0,,,
2023-08-01,,,,10113.0,106006.0,106006.0,1953.0,0.0,0.0,,,
2023-09-01,,,,7796.0,86228.0,86228.0,1527.0,0.0,0.0,,,
2023-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2023-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2023-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
