measured_on,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Generation,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Quantity Consumed For Electricity,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Total Fuel Consumed,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2009-03-01,,,,,,,0.0,41.0,41.0,0.0,20370.0,20370.0
2009-04-01,,,,,,,0.0,0.0,0.0,668.0,30650.0,30650.0
2009-05-01,,,,,,,1.0,65.0,65.0,1530.0,43620.0,43620.0
2009-06-01,,,,,,,30.0,423.0,423.0,1698.0,42970.0,42970.0
2009-07-01,,,,,,,0.0,24.0,24.0,5873.0,89700.0,89700.0
2009-08-01,,,,,,,0.0,46.0,46.0,8689.0,123030.0,123030.0
2009-09-01,,,,,,,32.0,500.0,500.0,4880.0,78001.0,78001.0
2009-10-01,,,,,,,0.0,59.0,59.0,0.0,15690.0,15690.0
2009-11-01,,,,,,,1.0,53.0,53.0,3457.0,63090.0,63090.0
2009-12-01,,,,,,,4.0,129.0,129.0,187.0,27030.0,27030.0
2010-01-01,,,,,,,21.0,794.0,794.0,0.0,26759.0,26759.0
2010-02-01,,,,,,,0.0,0.0,0.0,0.0,21729.0,21729.0
2010-03-01,,,,,,,1.0,47.0,47.0,0.0,17693.0,17693.0
2010-04-01,,,,,,,18.0,465.0,465.0,28.0,13765.0,13765.0
2010-05-01,,,,,,,87.0,1211.0,1211.0,1610.0,40377.0,40377.0
2010-06-01,,,,,,,1.0,82.0,82.0,532.0,23611.0,23611.0
2010-07-01,,,,,,,119.0,1688.0,1688.0,556.0,22754.0,22754.0
2010-08-01,,,,,,,54.0,1282.0,1282.0,1451.0,6047.0,6047.0
2010-09-01,,,,,,,0.0,29.0,29.0,0.0,11771.0,11771.0
2010-10-01,,,,,,,0.0,29.0,29.0,0.0,13996.0,13996.0
2010-11-01,,,,,,,0.0,29.0,29.0,0.0,18759.0,18759.0
2010-12-01,,,,,,,2.0,71.0,71.0,0.0,25882.0,25882.0
2011-01-01,,,,,,,12.0,241.0,241.0,0.0,27253.0,27253.0
2011-02-01,,,,,,,3.0,88.0,88.0,0.0,23368.0,23368.0
2011-03-01,,,,,,,2.0,71.0,71.0,0.0,22903.0,22903.0
2011-04-01,,,,,,,15.0,353.0,353.0,0.0,18502.0,18502.0
2011-05-01,,,,,,,2.0,53.0,53.0,0.0,14939.0,14939.0
2011-06-01,,,,,,,2.0,59.0,59.0,579.0,27320.0,27320.0
2011-07-01,,,,,,,2.0,53.0,53.0,579.0,49561.0,49561.0
2011-08-01,,,,,,,33.0,465.0,465.0,2028.0,48983.0,48983.0
2011-09-01,,,,,,,1.0,59.0,59.0,1362.0,37541.0,37541.0
2011-10-01,,,,,,,3.0,82.0,82.0,0.0,14759.0,14759.0
2011-11-01,,,,,,,0.0,0.0,0.0,0.0,18563.0,18563.0
2011-12-01,,,,,,,2.0,65.0,65.0,0.0,22883.0,22883.0
2012-01-01,,,,,,,1.0,41.0,41.0,0.0,22883.0,22883.0
2012-02-01,,,,,,,1.0,59.0,59.0,0.0,21579.0,21579.0
2012-03-01,,,,,,,2.0,53.0,53.0,0.0,18370.0,18370.0
2012-04-01,,,,,,,2.0,59.0,59.0,0.0,16427.0,16427.0
2012-05-01,,,,,,,1.0,59.0,59.0,0.0,13831.0,13831.0
2012-06-01,,,,,,,68.0,1058.0,1058.0,773.0,30925.0,30925.0
2012-07-01,,,,,,,107.0,1500.0,1500.0,2812.0,53581.0,53581.0
2012-08-01,,,,,,,3.0,94.0,94.0,1612.0,36909.0,36909.0
2012-09-01,,,,,,,11.0,176.0,176.0,0.0,12781.0,12781.0
2012-10-01,,,,,,,2.0,76.0,76.0,0.0,16258.0,16258.0
2012-11-01,,,,,,,1.0,53.0,53.0,676.0,31513.0,31513.0
2012-12-01,,,,,,,2.0,94.0,94.0,648.0,36216.0,36216.0
2013-01-01,,,,,,,2.0,12.0,12.0,0.0,25981.0,25981.0
2013-02-01,,,,,,,1.0,123.0,123.0,0.0,22341.0,22341.0
2013-03-01,,,,,,,2.0,65.0,65.0,0.0,22567.0,22567.0
2013-04-01,,,,,,,0.0,0.0,0.0,0.0,18348.0,18348.0
2013-05-01,,,,,,,8.0,129.0,129.0,0.0,14680.0,14680.0
2013-06-01,,,,,,,124.0,1652.0,1652.0,824.0,33769.0,33769.0
2013-07-01,,,,,,,3.0,88.0,88.0,1459.0,44891.0,44891.0
2013-08-01,,,,,,,57.0,788.0,788.0,773.0,28105.0,28105.0
2013-09-01,,,,,,,708.0,9147.0,9147.0,124.0,15534.0,15534.0
2013-10-01,,,,,,,3.0,88.0,88.0,0.0,15864.0,15864.0
2013-11-01,,,,,,,1.0,35.0,35.0,754.0,32058.0,32058.0
2013-12-01,,,,,,,0.0,0.0,0.0,0.0,24889.0,24889.0
2014-01-01,,,,,,,12.0,136.0,206.0,0.0,0.0,27534.0
2014-02-01,,,,,,,10.0,114.0,165.0,0.0,0.0,25435.0
2014-03-01,,,,,,,68.0,773.0,900.0,0.0,0.0,23127.0
2014-04-01,,,,,,,51.0,580.0,835.0,0.0,0.0,18666.0
2014-05-01,,,,,,,2.0,23.0,206.0,0.0,0.0,17091.0
2014-06-01,,,,,,,12.0,136.0,311.0,406.0,5505.0,25936.0
2014-07-01,,,,,,,2.0,23.0,79.0,1243.0,18072.0,43028.0
2014-08-01,,,,,,,2.0,23.0,76.0,790.0,11533.0,30976.0
2014-09-01,,,,,,,32.0,364.0,435.0,0.0,0.0,13923.0
2014-10-01,,,,,,,72.0,819.0,1288.0,0.0,0.0,15364.0
2014-11-01,,,,,,,1.0,11.0,65.0,0.0,0.0,23997.0
2014-12-01,,,,,,,2.0,23.0,71.0,0.0,0.0,26558.0
2015-01-01,,,,,,,1.0,11.0,53.0,0.0,0.0,29023.0
2015-02-01,,,,,,,0.0,0.0,0.0,0.0,0.0,27040.0
2015-03-01,,,,,,,3.0,34.0,135.0,0.0,0.0,21772.0
2015-04-01,,,,,,,0.0,0.0,0.0,0.0,0.0,17364.0
2015-05-01,,,,,,,21.0,239.0,388.0,0.0,0.0,15378.0
2015-06-01,,,,,,,0.0,0.0,0.0,968.0,13284.0,37860.0
2015-07-01,,,,,,,2.0,23.0,76.0,1199.0,17253.0,38471.0
2015-08-01,,,,,,,63.0,717.0,876.0,1342.0,18891.0,39709.0
2015-09-01,,,,,,,2.0,23.0,47.0,0.0,0.0,12850.0
2015-10-01,,,,,,,3.0,34.0,94.0,0.0,0.0,14998.0
2015-11-01,,,,,,,2.0,23.0,65.0,0.0,0.0,18316.0
2015-12-01,,,,,,,1.0,11.0,76.0,0.0,0.0,24991.0
2016-01-01,,,,,,,1.0,5.0,59.0,0.0,0.0,29084.0
2016-02-01,,,,,,,1.0,5.0,59.0,0.0,0.0,25700.0
2016-03-01,,,,,,,2.0,10.0,71.0,0.0,0.0,23205.0
2016-04-01,,,,,,,2.0,10.0,65.0,0.0,0.0,19361.0
2016-05-01,,,,,,,33.0,171.0,576.0,0.0,0.0,16704.0
2016-06-01,,,,,,,127.0,657.0,1664.0,705.0,4472.0,32096.0
2016-07-01,,,,,,,50.0,258.0,759.0,1401.0,9181.0,43820.0
2016-08-01,,,,,,,111.0,574.0,1629.0,1634.0,10675.0,46656.0
2016-09-01,,,,,,,107.0,553.0,1411.0,1365.0,9187.0,43338.0
2016-10-01,,,,,,,4.0,21.0,94.0,517.0,3236.0,27122.0
2016-11-01,,,,,,,1.0,5.0,59.0,77.0,424.0,19360.0
2016-12-01,,,,,,,1.0,5.0,71.0,0.0,0.0,27270.0
2017-01-01,,,,,,,6.142,32.0,129.0,0.0,0.0,29179.0
2017-02-01,,,,,,,2.286,12.0,53.0,0.0,0.0,22174.0
2017-03-01,,,,,,,0.801,4.0,18.0,83.0,538.0,26780.0
2017-04-01,,,,,,,5.67,29.0,123.0,56.0,377.0,21212.0
2017-05-01,,,,,,,3.978,21.0,88.0,293.0,2001.0,27657.0
2017-06-01,,,,,,,15.17,78.0,335.0,145.0,1024.0,18881.0
2017-07-01,,,,,,,10.315,53.0,229.0,697.0,4430.0,29551.0
2017-08-01,,,,,,,5.24,27.0,118.0,1404.0,9093.0,43361.0
2017-09-01,,,,,,,4.466,23.0,100.0,0.0,0.0,14365.0
2017-10-01,,,,,,,9.843,51.0,218.0,0.0,0.0,16743.0
2017-11-01,,,,,,,4.762,25.0,106.0,0.0,0.0,20755.0
2017-12-01,,,,,,,2.327,12.0,53.0,0.0,0.0,27125.0
2018-01-01,,,,,,,6.665,34.0,112.0,0.0,0.0,30991.0
2018-02-01,,,,,,,4.29,22.0,76.0,0.0,0.0,26570.0
2018-03-01,,,,,,,4.747,25.0,82.0,0.0,0.0,22163.0
2018-04-01,,,,,,,6.344,33.0,112.0,0.0,0.0,21792.0
2018-05-01,,,,,,,16.728,86.0,288.0,0.0,0.0,14326.0
2018-06-01,,,,,,,25.627,132.0,441.0,162.0,987.0,17504.0
2018-07-01,,,,,,,5.581,29.0,94.0,1033.0,6736.0,35654.0
2018-08-01,,,,,,,14.982,77.0,259.0,941.0,6266.0,33117.0
2018-09-01,,,,,,,12.061,62.0,206.0,0.0,0.0,12457.0
2018-10-01,,,,,,,16.997,88.0,294.0,0.0,0.0,15954.0
2018-11-01,,,,,,,7.206,37.0,123.0,0.0,0.0,20021.0
2018-12-01,,,,,,,3.772,20.0,65.0,0.0,0.0,24664.0
2019-01-01,,,,,,,23.945,100.0,100.0,0.0,0.0,38176.0
2019-02-01,,,,,,,76.451,335.0,335.0,0.0,0.0,27896.0
2019-03-01,,,,,,,18.027,76.0,76.0,0.0,0.0,24606.0
2019-04-01,,,,,,,58.785,259.0,259.0,0.0,0.0,17334.0
2019-05-01,,,,,,,99.444,435.0,435.0,0.0,0.0,15514.0
2019-06-01,,,,,,,46.393,200.0,200.0,780.0,5071.0,27146.0
2019-07-01,,,,,,,26.745,118.0,118.0,1380.0,9264.0,44482.0
2019-08-01,,,,,,,32.875,141.0,141.0,1323.0,8985.0,45296.0
2019-09-01,,,,,,,61.7,270.0,270.0,1034.0,7020.0,37949.0
2019-10-01,,,,,,,107.123,465.0,465.0,0.0,0.0,17866.0
2019-11-01,,,,,,,77.106,335.0,335.0,0.0,0.0,20632.0
2019-12-01,,,,,,,49.406,218.0,218.0,0.0,0.0,24037.0
2020-01-01,,,,,,,33.879,175.0,488.0,0.0,0.0,26051.0
2020-02-01,,,,,,,44.525,230.0,629.0,0.0,0.0,23204.0
2020-03-01,,,,,,,4.005,21.0,59.0,0.0,0.0,20719.0
2020-04-01,,,,,,,18.399,95.0,259.0,167.0,941.0,20342.0
2020-05-01,,,,,,,117.093,605.0,1664.0,1201.0,8029.0,31365.0
2020-06-01,,,,,,,77.576,401.0,1100.0,0.0,0.0,11695.0
2020-07-01,,,,,,,32.429,168.0,459.0,0.0,0.0,12865.0
2020-08-01,,,,,,,136.887,708.0,1940.0,702.0,4312.0,29169.0
2020-09-01,,,,,,,33.769,175.0,482.0,575.0,3479.0,26182.0
2020-10-01,,,,,,,41.568,215.0,588.0,0.0,0.0,16580.0
2020-11-01,,,,,,,23.74,123.0,335.0,0.0,0.0,18588.0
2020-12-01,,,,,,,84.13,435.0,1194.0,0.0,0.0,22126.0
2021-01-01,,,,,,,65.202,337.0,1247.0,625.0,3738.0,34717.0
2021-02-01,,,,,,,56.763,293.0,1088.0,3596.0,19578.0,78486.0
2021-03-01,,,,,,,18.768,97.0,359.0,1345.0,7294.0,40397.0
2021-04-01,,,,,,,132.796,687.0,2546.0,0.0,0.0,18643.0
2021-05-01,,,,,,,29.652,153.0,570.0,0.0,0.0,16105.0
2021-06-01,,,,,,,125.402,648.0,2405.0,0.0,0.0,13578.0
2021-07-01,,,,,,,39.297,203.0,753.0,0.0,0.0,13752.0
2021-08-01,,,,,,,35.811,185.0,688.0,855.0,5258.0,33504.0
2021-09-01,,,,,,,31.682,164.0,606.0,0.0,0.0,13493.0
2021-10-01,,,,,,,70.398,364.0,1352.0,0.0,0.0,15637.0
2021-11-01,,,,,,,59.824,309.0,1147.0,0.0,0.0,18788.0
2021-12-01,,,,,,,89.405,462.0,1717.0,0.0,0.0,23793.0
2022-01-01,,,,,,,46.564,241.0,676.0,0.0,0.0,27768.0
2022-02-01,,,,,,,74.38,385.0,1070.0,0.0,0.0,24337.0
2022-03-01,,,,,,,67.431,349.0,970.0,0.0,0.0,22543.0
2022-04-01,,,,,,,36.598,189.0,529.0,0.0,0.0,19928.0
2022-05-01,,,,,,,58.532,303.0,841.0,0.0,0.0,14388.0
2022-06-01,,,,,,,120.749,624.0,1740.0,475.0,2807.0,23431.0
2022-07-01,,,,,,,46.122,238.0,664.0,132.0,739.0,15213.0
2022-08-01,,,,,,,128.916,666.0,1858.0,953.0,6333.0,30939.0
2022-09-01,,,,,,,193.573,1001.0,2787.0,267.0,1815.0,17669.0
2022-10-01,,,,,,,166.912,863.0,2405.0,0.0,0.0,16582.0
2022-11-01,,,,,,,106.707,552.0,1535.0,0.0,0.0,20846.0
2022-12-01,,,,,,,108.516,561.0,1564.0,0.0,0.0,26036.0
2023-01-01,,,,,,,5.385,28.0,94.0,0.0,0.0,27619.0
2023-02-01,,,,,,,9.047,47.0,159.0,0.0,0.0,22858.0
2023-03-01,,,,,,,5.385,28.0,94.0,0.0,0.0,23670.0
2023-04-01,,,,,,,9.047,47.0,159.0,0.0,0.0,21253.0
2023-05-01,,,,,,,10.77,56.0,188.0,0.0,0.0,17010.0
2023-06-01,,,,,,,12.494,65.0,218.0,317.0,1933.0,21462.0
2023-07-01,,,,,,,5.385,28.0,94.0,249.0,1556.0,17793.0
2023-08-01,,,,,,,68.284,353.0,1194.0,109.0,708.0,14571.0
2023-09-01,,,,,,,9.047,47.0,159.0,0.0,0.0,11837.0
2023-10-01,,,,,,,5.385,28.0,94.0,0.0,0.0,16278.0
2023-11-01,,,,,,,5.385,28.0,94.0,431.0,2549.0,26881.0
2023-12-01,,,,,,,5.385,28.0,94.0,0.0,0.0,25406.0
2024-01-01,,,,,,,9.557,49.0,194.0,0.0,0.0,28520.0
2024-02-01,,,,,,,4.085,21.0,82.0,0.0,0.0,22900.0
2024-03-01,,,,,,,4.503,23.0,88.0,0.0,0.0,23822.0
2024-04-01,,,,,,,7.696,40.0,153.0,1074.0,5826.0,33618.0
2024-05-01,,,,,,,10.442,54.0,212.0,0.0,0.0,16949.0
2024-06-01,,,,,,,3.67,19.0,76.0,0.0,0.0,14536.0
2024-07-01,,,,,,,9.815,51.0,200.0,522.0,3060.0,26256.0
2024-08-01,,,,,,,11.664,60.0,235.0,237.0,1298.0,17904.0
2024-09-01,,,,,,,6.719,35.0,135.0,0.0,0.0,15713.0
2024-10-01,,,,,,,3.275,17.0,65.0,0.0,0.0,17336.0
2024-11-01,,,,,,,7.915,41.0,159.0,0.0,0.0,22144.0
2024-12-01,,,,,,,8.659,45.0,176.0,0.0,0.0,27042.0
