measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Generation,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Quantity Consumed For Electricity,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Total Fuel Consumed,"Sludge Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Sludge Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Sludge Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-03-01,5762.66523,132557.75,178353.5,1829.625,18336.5,18336.5,,,,,,,1447.84777,33304.63,44810.64
2004-04-01,4946.13325,113775.19,154599.0,2195.7780000000002,22006.09,22006.09,,,,,,,1304.02975,29996.41,40759.46
2004-05-01,4967.20451,114259.89,150708.25,2349.635,23548.04,23548.04,,,,,,,1125.66249,25893.45,34153.34
2004-06-01,5568.23122,128085.22,170874.25,3644.043,36520.6,36520.6,,,,,,,1339.90578,30821.66,41118.16
2004-07-01,6281.96486,144503.13,187016.5,2927.043,29334.82,29334.82,,,,,,,1278.77814,29415.55,38069.72
2004-08-01,6150.4997,141479.05,189046.0,2369.335,23745.48,23745.48,,,,,,,1492.2923,34326.98,45868.13
2004-09-01,5509.21963,126727.78,173648.75,2599.045,26047.63,26047.63,,,,,,,1511.09337,34759.46,47629.16
2004-10-01,5462.06295,125643.05,162989.0,3047.8630000000003,30545.68,30545.68,,,,,,,1127.29105,25930.92,33638.58
2004-11-01,5319.05113,122353.37,162482.25,2682.117,26880.18,26880.18,,,,,,,1249.81387,28749.29,38178.35
2004-12-01,5912.91273,136013.88,181854.75,2633.184,26389.77,26389.77,,,,,,,1439.14927,33104.54,44261.8
2005-01-01,6137.4402,141178.66,176927.25,3190.8320000000003,31905.13,31905.13,,,,,,,1454.1788000000001,33450.27,41920.39
2005-02-01,5626.92941,129435.43,160641.75,2784.922,27846.44,27846.44,,,,,,,1362.74259,31346.97,38904.59
2005-03-01,6054.74564,139276.42,172197.75,2701.2560000000003,27009.85,27009.85,,,,,,,1478.96936,34020.51,42062.08
2005-04-01,5080.23488,116859.93,141664.25,2917.213,29169.21,29169.21,,,,,,,1296.88112,29831.97,36164.02
2005-05-01,5178.05424,119110.03,134584.75,3413.406,34130.65,34130.65,,,,,,,1544.11876,35519.14,40133.77
2005-06-01,5852.0474,134613.81,172509.0,3143.103,31427.89,31427.89,,,,,,,1318.0876,30319.78,38855.12
2005-07-01,6508.08443,149704.55,192469.75,2929.179,29288.86,29288.86,,,,,,,1455.07357,33470.85,43032.27
2005-08-01,6556.82797,150825.78,190638.25,2057.8740000000003,20576.69,20576.69,,,,,,,1523.82903,35052.42,44304.98
2005-09-01,6022.93565,138544.73,171735.75,1753.246,17530.7,17530.7,,,,,,,1462.69335,33646.13,41706.7
2005-10-01,5684.83521,130767.44,160823.0,2036.803,20365.99,20365.99,,,,,,,1405.22479,32324.18,39753.57
2005-11-01,5674.34493,130526.12,157934.25,2137.155,21369.42,21369.42,,,,,,,1454.62407,33460.5,40486.61
2005-12-01,6356.60365,146220.04,182174.25,2512.05,25117.99,25117.99,,,,,,,1526.14735,35105.75,43737.94
2006-01-01,5725.11126,131693.92,169413.5,2795.114,27725.0,27725.0,,,,,,,1488.73574,34245.18,44053.63
2006-02-01,5345.036700000001,122951.13,159286.5,2214.202,21963.0,21963.0,,,,,,,1342.0273,30870.47,39993.52
2006-03-01,5330.95142,122627.11,155546.0,1692.1570000000002,16785.0,16785.0,,,,,,,1484.55958,34149.11,43316.34
2006-04-01,5249.61633,120756.19,155694.25,1480.7230000000002,14687.0,14687.0,,,,,,,1349.92767,31052.2,40036.45
2006-05-01,5463.09699,125666.83,163743.25,1455.96,14442.0,14442.0,,,,,,,1332.56901,30652.89,39940.57
2006-06-01,5561.86312,127938.74,167505.25,1427.405,14158.0,14158.0,,,,,,,1323.95288,30454.7,39873.16
2006-07-01,5867.14478,134961.1,175902.75,1695.632,16819.0,16819.0,,,,,,,1429.10722,32873.55,42846.04
2006-08-01,5932.5607,136465.84,175825.75,1393.4740000000002,13822.0,13822.0,,,,,,,1530.8563000000001,35214.07,45370.62
2006-09-01,5396.59673,124137.14,158789.0,1551.661,15391.0,15391.0,,,,,,,1442.92427,33191.38,42456.48
2006-10-01,5348.45114,123029.65,155463.75,2136.426,21191.0,21191.0,,,,,,,1516.86686,34892.27,44090.86
2006-11-01,5381.86522,123798.27,157613.0,2791.005,27684.0,27684.0,,,,,,,1472.24778,33865.9,43116.17
2006-12-01,5703.56204,131198.22,167992.5,2089.71,20728.0,20728.0,,,,,,,1517.41096,34904.79,44693.77
2007-01-01,6117.358,144036.0,204550.0,961.273,9501.0,9501.0,367.75,8658.0,12297.0,376.444,8871.0,12587.0,1578.448,37160.0,52780.0
2007-02-01,5780.432000000001,136631.0,186360.0,573.4870000000001,5668.0,5668.0,317.784,7511.0,10245.0,480.60200000000003,11359.0,15494.0,1513.182,35760.0,48785.0
2007-03-01,4938.361,118697.0,180237.0,1234.726,12204.0,12204.0,314.481,7558.0,11478.0,367.87800000000004,8841.0,13427.0,1224.279,29432.0,44683.0
2007-04-01,4786.399,114906.0,165454.0,2076.569,20525.0,20525.0,305.298,7328.0,10553.0,365.873,8781.0,12647.0,1473.429,35371.0,50933.0
2007-05-01,3150.666,80344.0,140833.0,2259.356,22331.0,22331.0,162.02200000000002,4130.0,7242.0,291.658,7433.0,13037.0,785.655,20033.0,35118.0
2007-06-01,3893.759,95870.0,144087.0,2114.0730000000003,20895.0,20895.0,215.211,5300.0,7964.0,361.215,8901.0,13367.0,1120.814,27595.0,41475.0
2007-07-01,3963.4680000000003,97868.0,157640.0,625.92,6187.0,6187.0,196.994,4863.0,7835.0,122.82400000000001,3027.0,4885.0,1187.7140000000002,29325.0,47239.0
2007-08-01,3800.8940000000002,93564.0,147341.0,603.7090000000001,5967.0,5967.0,266.40700000000004,6560.0,10327.0,348.68,8571.0,13516.0,1187.019,29218.0,46014.0
2007-09-01,1916.295,53810.0,107905.0,1152.4360000000001,11391.0,11391.0,148.217,4161.0,8346.0,109.641,3087.0,6174.0,512.847,14395.0,28878.0
2007-10-01,4358.591,105093.0,159613.0,2045.9830000000002,20222.0,20222.0,423.75800000000004,10218.0,15518.0,423.93100000000004,10220.0,15524.0,1444.72,34836.0,52906.0
2007-11-01,6341.608,149390.0,189511.0,3269.786,32319.0,32319.0,255.53,6022.0,7636.0,594.711,13996.0,17772.0,1189.151,28013.0,35536.0
2007-12-01,6351.51,149365.0,223073.0,2231.683,22058.0,22058.0,372.107,8752.0,13069.0,424.957,9980.0,14925.0,1403.425,32999.0,49290.0
2008-01-01,5798.2880000000005,136516.0,204203.0,2311.54,22778.0,22778.0,450.68800000000005,10611.0,15872.0,368.363,8673.0,12973.0,1377.66,32436.0,48518.0
2008-02-01,5162.251,121543.0,184167.0,1294.862,12760.0,12760.0,353.668,8327.0,12617.0,432.97700000000003,10194.0,15447.0,1205.104,28374.0,42993.0
2008-03-01,5186.246,122107.0,189503.0,2120.0570000000002,20891.0,20891.0,463.58700000000005,10915.0,16939.0,363.906,8568.0,13297.0,1171.261,27577.0,42797.0
2008-04-01,5019.07,118185.0,165310.0,2341.481,23073.0,23073.0,320.761,7553.0,10565.0,377.896,8898.0,12447.0,1225.2730000000001,28852.0,40356.0
2008-05-01,4373.967000000001,102980.0,150225.0,2526.105,24892.0,24892.0,275.458,6485.0,9461.0,277.63,6536.0,9535.0,1155.9450000000002,27215.0,39701.0
2008-06-01,3395.4080000000004,79945.0,125542.0,3799.137,37437.0,37437.0,239.586,5641.0,8858.0,251.62,5924.0,9303.0,1232.3870000000002,29016.0,45566.0
2008-07-01,3325.416,78295.0,126283.0,2082.6330000000003,20522.0,20522.0,236.52700000000002,5569.0,8982.0,204.26600000000002,4809.0,7757.0,1161.7910000000002,27354.0,44119.0
2008-08-01,3794.0950000000003,89331.0,135492.0,879.4590000000001,8666.0,8666.0,339.78000000000003,8000.0,12134.0,227.815,5364.0,8136.0,1132.31,26660.0,40436.0
2008-09-01,3995.007,94066.0,150777.0,832.0550000000001,8199.0,8199.0,328.845,7743.0,12411.0,250.208,5891.0,9443.0,1098.94,25875.0,41476.0
2008-10-01,2399.1490000000003,56479.0,140008.0,1914.226,18863.0,18863.0,184.166,4336.0,10748.0,89.85000000000001,2115.0,5243.0,498.83500000000004,11743.0,29111.0
2008-11-01,3766.291,88683.0,156903.0,1450.795,14296.0,14296.0,189.39000000000001,4459.0,7890.0,177.54500000000002,4181.0,7396.0,698.774,16454.0,29111.0
2008-12-01,4719.754,111128.0,174012.0,2135.65,21045.0,21045.0,258.921,6096.0,9546.0,327.54200000000003,7712.0,12076.0,1136.7830000000001,26766.0,41912.0
2009-01-01,4819.009,113470.0,183393.0,1543.362,15063.0,15063.0,202.029,4757.0,7688.0,281.286,6623.0,10705.0,935.676,22032.0,35608.0
2009-02-01,4086.4460000000004,96218.0,149761.0,1591.979,15538.0,15538.0,503.559,11857.0,18455.0,290.618,6843.0,10651.0,1359.377,32007.0,49819.0
2009-03-01,3609.195,84988.0,152475.0,3178.1910000000003,31019.0,31019.0,151.515,3568.0,6401.0,209.918,4943.0,8868.0,1010.3720000000001,23792.0,42684.0
2009-04-01,3297.8520000000003,77647.0,149792.0,2928.5170000000003,28582.0,28582.0,251.411,5919.0,11419.0,201.627,4747.0,9158.0,873.11,20557.0,39658.0
2009-05-01,1567.654,36905.0,90147.0,4184.302000000001,40839.0,40839.0,92.394,2175.0,5313.0,38.153,898.0,2194.0,510.79900000000004,12025.0,29373.0
2009-06-01,3191.8250000000003,75148.0,119129.0,3098.262,30239.0,30239.0,266.752,6280.0,9956.0,234.459,5520.0,8751.0,1529.9640000000002,36021.0,57103.0
2009-07-01,2865.605,67466.0,112573.0,1761.725,17194.0,17194.0,214.26100000000002,5044.0,8417.0,252.496,5945.0,9919.0,1466.6380000000001,34530.0,57615.0
2009-08-01,3948.9390000000003,92984.0,139960.0,1353.842,13213.0,13213.0,229.30100000000002,5399.0,8127.0,267.159,6291.0,9469.0,1316.601,31001.0,46664.0
2009-09-01,3862.9950000000003,90961.0,141277.0,1302.7530000000002,12715.0,12715.0,348.106,8197.0,12731.0,311.363,7332.0,11387.0,1360.536,32036.0,49757.0
2009-10-01,5249.203,123586.0,178275.0,1305.225,12739.0,12739.0,304.478,7169.0,10341.0,404.509,9524.0,13738.0,1764.81,41550.0,59937.0
2009-11-01,5313.943,125127.0,181733.0,3610.7940000000003,35241.0,35241.0,386.702,9106.0,13225.0,332.766,7836.0,11380.0,1324.5890000000002,31190.0,45300.0
2009-12-01,5802.075000000001,136609.0,186152.0,2322.0480000000002,22663.0,22663.0,324.92400000000004,7650.0,10425.0,259.688,6114.0,8332.0,1676.313,39469.0,53782.0
2010-01-01,6480.344,152587.0,209741.0,2145.2200000000003,20929.0,20929.0,516.657,12165.0,16722.0,214.98000000000002,5062.0,6958.0,1736.019,40877.0,56188.0
2010-02-01,5361.95,126249.0,161304.0,2138.589,20864.0,20864.0,666.354,15690.0,20046.0,475.61600000000004,11199.0,14308.0,1608.08,37863.0,48376.0
2010-03-01,4925.541,115980.0,165317.0,3760.139,36684.0,36684.0,318.921,7510.0,10704.0,445.63100000000003,10493.0,14957.0,1739.9070000000002,40969.0,58397.0
2010-04-01,3569.117,84035.0,135309.0,2780.746,27129.0,27129.0,309.694,7292.0,11741.0,416.22200000000004,9800.0,15779.0,1794.967,42263.0,68049.0
2010-05-01,2825.324,66528.0,133541.0,2436.0530000000003,23766.0,23766.0,228.609,5383.0,10805.0,236.625,5572.0,11184.0,1095.442,25795.0,51777.0
2010-06-01,3707.632,87304.0,148600.0,2925.7490000000003,28544.0,28544.0,227.24800000000002,5351.0,9108.0,231.20100000000002,5444.0,9266.0,1361.919,32069.0,54585.0
2010-07-01,3619.3230000000003,85217.0,135575.0,3129.5820000000003,30532.0,30532.0,330.267,7776.0,12371.0,465.023,10949.0,17419.0,1513.3870000000002,35633.0,56690.0
2010-08-01,3477.6890000000003,81885.0,133584.0,2834.605,27654.0,27654.0,214.823,5058.0,8252.0,394.10900000000004,9280.0,15138.0,1677.3790000000001,39495.0,64431.0
2010-09-01,2791.927,65733.0,132767.0,3011.094,29376.0,29376.0,242.335,5706.0,11524.0,92.863,2186.0,4416.0,1062.875,25024.0,50544.0
2010-10-01,4117.768,96964.0,130691.0,3226.527,31478.0,31478.0,403.298,9497.0,12800.0,555.682,13085.0,17636.0,1773.2520000000002,41756.0,56280.0
2010-11-01,4348.662,102391.0,163047.0,3809.8540000000003,37169.0,37169.0,396.99600000000004,9347.0,14885.0,427.406,10063.0,16025.0,1623.9360000000001,38236.0,60887.0
2010-12-01,5357.652,126149.0,189986.0,3229.842,31510.0,31510.0,359.836,8473.0,12760.0,488.254,11496.0,17314.0,1986.258,46768.0,70434.0
2011-01-01,6273.388,147718.0,198730.0,2785.936,27068.0,27068.0,399.207,9400.0,12646.0,320.762,7553.0,10161.0,1992.643,46920.0,63124.0
2011-02-01,4584.07,107940.0,148684.0,2546.659,24743.0,24743.0,351.178,8269.0,11390.0,453.078,10668.0,14696.0,2162.674,50924.0,70146.0
2011-03-01,4944.372,116425.0,174685.0,3616.562,35139.0,35139.0,397.406,9358.0,14040.0,601.691,14168.0,21258.0,2273.531,53535.0,80324.0
2011-04-01,4092.008,96347.0,139780.0,3509.41,34097.0,34097.0,374.393,8815.0,12789.0,567.102,13353.0,19372.0,1915.497,45101.0,65432.0
2011-05-01,3243.826,76383.0,119880.0,4046.779,39319.0,39319.0,293.324,6907.0,10840.0,538.581,12682.0,19904.0,2038.269,47996.0,75327.0
2011-06-01,3044.343,71678.0,109252.0,4179.711,40610.0,40610.0,287.671,6773.0,10324.0,404.17,9516.0,14504.0,1585.816,37338.0,56910.0
2011-07-01,3436.564,80918.0,122300.0,3316.054,32219.0,32219.0,272.503,6416.0,9698.0,499.064,11751.0,17761.0,1554.869,36611.0,55334.0
2011-08-01,3135.962,73848.0,122735.0,3519.884,34199.0,34199.0,310.512,7312.0,12153.0,359.543,8467.0,14072.0,1626.983,38313.0,63677.0
2011-09-01,3670.374,86429.0,133898.0,1457.42,14160.0,14160.0,353.513,8324.0,12896.0,328.809,7743.0,11995.0,1285.304,30266.0,46889.0
2011-10-01,3958.607,93217.0,142625.0,1187.528,11538.0,11538.0,369.424,8699.0,13310.0,349.94,8240.0,12608.0,1535.029,36147.0,55306.0
2011-11-01,4692.571,110488.0,164027.0,1164.969,11319.0,11319.0,388.217,9141.0,13570.0,532.21,12531.0,18603.0,1488.002,35035.0,52013.0
2011-12-01,4822.483,112833.0,158199.0,1467.088,14254.0,14254.0,315.201,7375.0,10340.0,501.791,11741.0,16461.0,1635.525,38267.0,53653.0
2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-01,,,,54.568,519.0,519.0,,,,,,,,,
2014-02-01,,,,47.748,454.0,454.0,,,,,,,,,
2014-03-01,,,,72.988,694.0,694.0,,,,,,,,,
2014-04-01,,,,116.525,1108.0,1108.0,,,,,,,,,
2014-05-01,,,,122.09,1161.0,1161.0,,,,,,,,,
2014-06-01,,,,111.28,1058.0,1058.0,,,,,,,,,
2014-07-01,,,,85.079,809.0,809.0,,,,,,,,,
2014-08-01,,,,48.708,463.0,463.0,,,,,,,,,
2014-09-01,,,,51.712,492.0,492.0,,,,,,,,,
2014-10-01,,,,47.994,456.0,456.0,,,,,,,,,
2014-11-01,,,,43.093,410.0,410.0,,,,,,,,,
2014-12-01,,,,48.215,459.0,459.0,,,,,,,,,
2015-01-01,,,,1240.548,11561.0,11561.0,,,,,,,,,
2015-02-01,,,,907.099,8453.0,8453.0,,,,,,,,,
2015-03-01,,,,1852.712,17265.0,17265.0,,,,,,,,,
2015-04-01,,,,2339.201,21799.0,21799.0,,,,,,,,,
2015-05-01,,,,2927.042,27277.0,27277.0,,,,,,,,,
2015-06-01,,,,3771.304,35145.0,35145.0,,,,,,,,,
2015-07-01,,,,3080.084,28703.0,28703.0,,,,,,,,,
2015-08-01,,,,1962.172,18285.0,18285.0,,,,,,,,,
2015-09-01,,,,4037.859,37629.0,37629.0,,,,,,,,,
2015-10-01,,,,3227.044,30073.0,30073.0,,,,,,,,,
2015-11-01,,,,3648.668,34002.0,34002.0,,,,,,,,,
2015-12-01,,,,4593.267,42805.0,42805.0,,,,,,,,,
2016-01-01,,,,2906.275,26831.0,26831.0,,,,,,,,,
2016-02-01,,,,1921.248,17737.0,17737.0,,,,,,,,,
2016-03-01,,,,4411.876,40730.0,40730.0,,,,,,,,,
2016-04-01,,,,3295.079,30420.0,30420.0,,,,,,,,,
2016-05-01,,,,2659.001,24548.0,24548.0,,,,,,,,,
2016-06-01,,,,2759.862,25479.0,25479.0,,,,,,,,,
2016-07-01,,,,3974.267,36690.0,36690.0,,,,,,,,,
2016-08-01,,,,3837.616,35429.0,35429.0,,,,,,,,,
2016-09-01,,,,4088.956,37749.0,37749.0,,,,,,,,,
2016-10-01,,,,4592.45,42397.0,42397.0,,,,,,,,,
2016-11-01,,,,3168.189,29249.0,29249.0,,,,,,,,,
2016-12-01,,,,4236.181,39108.0,39108.0,,,,,,,,,
2017-01-01,,,,2953.307,27209.0,27209.0,,,,,,,,,
2017-02-01,,,,2720.644,25065.0,25065.0,,,,,,,,,
2017-03-01,,,,2784.381,25653.0,25653.0,,,,,,,,,
2017-04-01,,,,3071.199,28295.0,28295.0,,,,,,,,,
2017-05-01,,,,5749.277,52968.0,52968.0,,,,,,,,,
2017-06-01,,,,3310.994,30504.0,30504.0,,,,,,,,,
2017-07-01,,,,3905.132,35978.0,35978.0,,,,,,,,,
2017-08-01,,,,2846.336,26223.0,26223.0,,,,,,,,,
2017-09-01,,,,2168.18,19975.0,19975.0,,,,,,,,,
2017-10-01,,,,3148.753,29009.0,29009.0,,,,,,,,,
2017-11-01,,,,2702.593,24899.0,24899.0,,,,,,,,,
2017-12-01,,,,2995.204,27595.0,27595.0,,,,,,,,,
2018-01-01,,,,2353.218,21424.0,21424.0,,,,,,,,,
2018-02-01,,,,2122.591,19324.0,19324.0,,,,,,,,,
2018-03-01,,,,2420.979,22041.0,22041.0,,,,,,,,,
2018-04-01,,,,2889.977,26310.0,26310.0,,,,,,,,,
2018-05-01,,,,2453.407,22336.0,22336.0,,,,,,,,,
2018-06-01,,,,2627.406,23920.0,23920.0,,,,,,,,,
2018-07-01,,,,4335.207,39468.0,39468.0,,,,,,,,,
2018-08-01,,,,2039.343,18566.0,18566.0,,,,,,,,,
2018-09-01,,,,2439.613,22210.0,22210.0,,,,,,,,,
2018-10-01,,,,4183.472,38086.0,38086.0,,,,,,,,,
2018-11-01,,,,4087.398,37212.0,37212.0,,,,,,,,,
2018-12-01,,,,3815.389,34735.0,34735.0,,,,,,,,,
2019-01-01,,,,2978.513,26524.0,26524.0,,,,,,,,,
2019-02-01,,,,1731.108,15416.0,15416.0,,,,,,,,,
2019-03-01,,,,3001.732,26730.0,26730.0,,,,,,,,,
2019-04-01,,,,3014.549,26845.0,26845.0,,,,,,,,,
2019-05-01,,,,3495.688,31129.0,31129.0,,,,,,,,,
2019-06-01,,,,2910.661,25919.0,25919.0,,,,,,,,,
2019-07-01,,,,2019.55,17984.0,17984.0,,,,,,,,,
2019-08-01,,,,1506.596,13416.0,13416.0,,,,,,,,,
2019-09-01,,,,1703.666,15171.0,15171.0,,,,,,,,,
2019-10-01,,,,1833.337,16326.0,16326.0,,,,,,,,,
2019-11-01,,,,1826.551,16265.0,16265.0,,,,,,,,,
2019-12-01,,,,2029.049,18069.0,18069.0,,,,,,,,,
2020-01-01,,,,4728.929,41459.0,41459.0,,,,,,,,,
2020-02-01,,,,4286.926,37583.0,37583.0,,,,,,,,,
2020-03-01,,,,3487.37,30574.0,30574.0,,,,,,,,,
2020-04-01,,,,4632.189,40610.0,40610.0,,,,,,,,,
2020-05-01,,,,3520.239,30862.0,30862.0,,,,,,,,,
2020-06-01,,,,3728.947,32692.0,32692.0,,,,,,,,,
2020-07-01,,,,3125.004,27397.0,27397.0,,,,,,,,,
2020-08-01,,,,2462.537,21589.0,21589.0,,,,,,,,,
2020-09-01,,,,1541.391,13513.0,13513.0,,,,,,,,,
2020-10-01,,,,1725.513,15128.0,15128.0,,,,,,,,,
2020-11-01,,,,2308.078,20235.0,20235.0,,,,,,,,,
2020-12-01,,,,2370.877,20785.0,20785.0,,,,,,,,,
2021-01-01,,,,2250.551,19904.0,19904.0,,,,,,,,,
2021-02-01,,,,1872.624,16561.0,16561.0,,,,,,,,,
2021-03-01,,,,1795.942,15883.0,15883.0,,,,,,,,,
2021-04-01,,,,1584.157,14010.0,14010.0,,,,,,,,,
2021-05-01,,,,1962.616,17357.0,17357.0,,,,,,,,,
2021-06-01,,,,2113.138,18689.0,18689.0,,,,,,,,,
2021-07-01,,,,1881.486,16640.0,16640.0,,,,,,,,,
2021-08-01,,,,1775.348,15701.0,15701.0,,,,,,,,,
2021-09-01,,,,1456.177,12878.0,12878.0,,,,,,,,,
2021-10-01,,,,1494.281,13215.0,13215.0,,,,,,,,,
2021-11-01,,,,1751.327,15489.0,15489.0,,,,,,,,,
2021-12-01,,,,2250.353,19902.0,19902.0,,,,,,,,,
2022-01-01,,,,3012.599,10279.0,10279.0,,,,,,,,,
2022-02-01,,,,2591.887,8844.0,8844.0,,,,,,,,,
2022-03-01,,,,2823.521,9634.0,9634.0,,,,,,,,,
2022-04-01,,,,2116.377,7221.0,7221.0,,,,,,,,,
2022-05-01,,,,2664.305,9091.0,9091.0,,,,,,,,,
2022-06-01,,,,3179.285,10848.0,10848.0,,,,,,,,,
2022-07-01,,,,3036.948,10362.0,10362.0,,,,,,,,,
2022-08-01,,,,2549.716,8700.0,8700.0,,,,,,,,,
2022-09-01,,,,1956.939,6677.0,6677.0,,,,,,,,,
2022-10-01,,,,1700.916,5804.0,5804.0,,,,,,,,,
2022-11-01,,,,2145.721,7321.0,7321.0,,,,,,,,,
2022-12-01,,,,2390.786,8157.0,8157.0,,,,,,,,,
2023-01-01,,,,2623.0,8950.0,8950.0,,,,,,,,,
