measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-03-01,115490.0,1265855.0,1265855.0,130.0,1728.0,1728.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1614.0,24853.0,24853.0
2004-04-01,186262.0,1973636.0,1973636.0,565.0,8387.0,8387.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1863.0,27476.0,27476.0
2004-05-01,236910.0,2541612.0,2541612.0,281.0,3938.0,3938.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1096.0,16271.0,16271.0
2004-06-01,213829.0,2368892.0,2368892.0,349.0,5110.0,5110.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1372.0,21069.0,21069.0
2004-07-01,242443.0,2665174.0,2665174.0,51.0,564.0,564.0,308.0,3397.0,3397.0,,,,0.0,0.0,0.0,,,,1563.0,23351.0,23351.0
2004-08-01,217196.0,2347980.0,2347980.0,220.0,2386.0,2386.0,279.0,3021.0,3021.0,,,,0.0,0.0,0.0,,,,1212.0,18267.0,18267.0
2004-09-01,213387.0,2291703.0,2291703.0,249.0,2680.0,2680.0,347.0,3735.0,3735.0,,,,0.0,0.0,0.0,,,,1187.0,17820.0,17820.0
2004-10-01,170814.0,1806699.0,1806699.0,221.0,2335.0,2335.0,144.0,1520.0,1520.0,,,,0.0,0.0,0.0,,,,262.0,3874.0,3874.0
2004-11-01,203042.0,2162383.0,2162383.0,191.0,2041.0,2041.0,165.0,1756.0,1756.0,,,,0.0,0.0,0.0,,,,1649.0,24734.0,24734.0
2004-12-01,188015.0,2048473.0,2048473.0,88.0,960.0,960.0,458.0,4995.0,4995.0,,,,0.0,0.0,0.0,,,,742.0,11354.0,11354.0
2005-01-01,219615.0,2308380.6,2308380.6,94.0,994.75,994.75,372.0,3913.56,3913.56,,,,0.0,0.0,0.0,,,,813.0,12218.0,12218.0
2005-02-01,195875.0,2005800.79,2005800.79,228.0,2340.25,2340.25,111.0,1166.76,1166.76,,,,0.0,0.0,0.0,,,,1533.0,23035.4,23035.4
2005-03-01,210040.0,2113636.32,2113636.32,8.0,80.5,80.5,367.0,3709.44,3709.44,,,,0.0,0.0,0.0,,,,2318.0,33048.2,33048.2
2005-04-01,91127.0,942858.0,942858.0,0.0,0.0,0.0,16.0,163.8,163.8,,,,0.0,0.0,0.0,,,,2051.0,30098.0,30098.0
2005-05-01,175787.0,1713949.78,1713949.78,299.0,2932.5,2932.5,745.0,7277.76,7277.76,,,,0.0,0.0,0.0,,,,1400.0,19340.2,19340.2
2005-06-01,194992.0,2118684.04,2118684.04,202.0,3185.5,3185.5,517.0,5619.6,5619.6,,,,0.0,0.0,0.0,,,,881.0,13499.4,13499.4
2005-07-01,179633.0,1960115.43,1960115.43,155.0,1702.0,1702.0,492.0,5377.68,5377.68,,,,0.0,0.0,0.0,,,,1504.0,23363.2,23363.2
2005-08-01,174433.0,2012451.21,2012451.21,142.0,1650.25,1650.25,647.0,7484.4,7484.4,,,,0.0,0.0,0.0,,,,1367.0,22618.2,22618.2
2005-09-01,200288.0,2203459.89,2203459.89,163.0,1794.0,1794.0,357.0,3933.72,3933.72,,,,0.0,0.0,0.0,,,,1122.0,17671.4,17671.4
2005-10-01,130088.0,1339622.04,1339622.04,163.0,1684.75,1684.75,454.0,4669.56,4669.56,,,,0.0,0.0,0.0,,,,133.0,1966.8,1966.8
2005-11-01,188605.0,1933634.16,1933634.16,24.0,247.25,247.25,701.0,7219.8,7219.8,,,,0.0,0.0,0.0,,,,2088.0,30545.0,30545.0
2005-12-01,214320.0,2232807.92,2232807.92,115.0,1201.75,1201.75,212.0,2215.08,2215.08,,,,0.0,0.0,0.0,,,,1763.0,26402.8,26402.8
2006-01-01,234251.0,2434698.0,2434698.0,43.0,451.0,451.0,220.0,2291.0,2291.0,,,,0.0,0.0,0.0,,,,1755.0,18259.0,18259.0
2006-02-01,200709.0,2055955.0,2055955.0,88.0,896.0,896.0,270.0,2772.0,2772.0,,,,0.0,0.0,0.0,,,,1884.0,19313.0,19313.0
2006-03-01,158483.0,1626304.0,1626304.0,63.0,651.0,651.0,475.0,4884.0,4884.0,,,,0.0,0.0,0.0,,,,1903.0,19530.0,19530.0
2006-04-01,80323.0,828675.0,828675.0,70.0,719.0,719.0,5.0,55.0,55.0,,,,0.0,0.0,0.0,,,,2852.0,29419.0,29419.0
2006-05-01,195609.0,2070397.0,2070397.0,207.0,2193.0,2193.0,743.0,7883.0,7883.0,,,,0.0,0.0,0.0,,,,2193.0,23219.0,23219.0
2006-06-01,222319.0,2373098.0,2373098.0,154.0,1644.0,1644.0,216.0,2303.0,2303.0,,,,0.0,0.0,0.0,,,,2167.0,23126.0,23126.0
2006-07-01,197355.0,2125614.0,2125614.0,16.0,171.0,171.0,478.0,5151.0,5151.0,,,,0.0,0.0,0.0,,,,1425.0,15345.0,15345.0
2006-08-01,199243.0,2246550.0,2246550.0,255.0,2878.0,2878.0,332.0,3752.0,3752.0,,,,0.0,0.0,0.0,,,,2970.0,33480.0,33480.0
2006-09-01,205962.0,2212124.0,2212124.0,176.0,1890.0,1890.0,349.0,3752.0,3752.0,,,,0.0,0.0,0.0,,,,2205.0,23684.0,23684.0
2006-10-01,177018.0,1814329.0,1814329.0,22.0,228.0,228.0,231.0,2366.0,2366.0,,,,0.0,0.0,0.0,,,,1071.0,10974.0,10974.0
2006-11-01,142379.0,1581232.0,1581232.0,162.0,1799.0,1799.0,237.0,2636.0,2636.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2006-12-01,165058.0,1746976.0,1746976.0,316.0,3346.0,3346.0,280.0,2964.0,2964.0,,,,0.0,0.0,0.0,,,,1230.0,13020.0,13020.0
2007-01-01,140083.305,1518782.0,1518782.0,561.415,6087.0,6087.0,1034.544,11217.0,11217.0,,,,0.0,0.0,0.0,,,,2544.735,27590.0,27590.0
2007-02-01,171012.821,1858896.0,1858896.0,118.718,1290.0,1290.0,282.836,3074.0,3074.0,,,,0.0,0.0,0.0,,,,1682.625,18290.0,18290.0
2007-03-01,210310.831,2189024.0,2189024.0,322.022,3352.0,3352.0,172.382,1794.0,1794.0,,,,0.0,0.0,0.0,,,,1131.765,11780.0,11780.0
2007-04-01,116912.666,1320919.0,1320919.0,40.936,463.0,463.0,306.236,3460.0,3460.0,,,,0.0,0.0,0.0,,,,919.162,10385.0,10385.0
2007-05-01,208913.93,2286163.0,2286163.0,81.399,891.0,891.0,103.62700000000001,1134.0,1134.0,,,,0.0,0.0,0.0,,,,1660.044,18166.0,18166.0
2007-06-01,194288.369,2149114.0,2149114.0,227.131,2512.0,2512.0,282.95,3130.0,3130.0,,,,0.0,0.0,0.0,,,,1056.5510000000002,11687.0,11687.0
2007-07-01,223786.848,2563523.0,2563523.0,95.705,1096.0,1096.0,246.16600000000003,2820.0,2820.0,,,,0.0,0.0,0.0,,,,909.2810000000001,10416.0,10416.0
2007-08-01,222943.072,2566446.0,2566446.0,139.877,1610.0,1610.0,252.62,2908.0,2908.0,,,,0.0,0.0,0.0,,,,2232.431,25699.0,25699.0
2007-09-01,190540.291,2140034.0,2140034.0,864.273,9707.0,9707.0,436.85,4906.0,4906.0,,,,0.0,0.0,0.0,,,,1523.586,17112.0,17112.0
2007-10-01,200039.062,2279086.0,2279086.0,223.524,2547.0,2547.0,646.301,7363.0,7363.0,,,,0.0,0.0,0.0,,,,925.113,10540.0,10540.0
2007-11-01,156044.979,1688546.0,1688546.0,275.978,2986.0,2986.0,532.836,5766.0,5766.0,,,,0.0,0.0,0.0,,,,716.207,7750.0,7750.0
2007-12-01,141588.26,1566077.0,1566077.0,411.442,4551.0,4551.0,448.145,4957.0,4957.0,,,,0.0,0.0,0.0,,,,367.153,4061.0,4061.0
2008-01-01,176129.821,1976285.0,1976285.0,396.56,4450.0,4450.0,304.539,3417.0,3417.0,,,,0.0,0.0,0.0,,,,558.08,6262.0,6262.0
2008-02-01,193456.336,2062766.0,2062766.0,0.536,6.0,6.0,0.7090000000000001,8.0,8.0,,,,0.0,0.0,0.0,,,,959.4200000000001,10230.0,10230.0
2008-03-01,68539.241,805922.0,805922.0,212.209,2495.0,2495.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,619.549,7285.0,7285.0
2008-04-01,69385.33,833753.0,833753.0,162.51500000000001,1953.0,1953.0,55.155,663.0,663.0,,,,0.0,0.0,0.0,,,,,,
2008-05-01,138670.97,1637057.0,1637057.0,143.169,1690.0,1690.0,971.8960000000001,11474.0,11474.0,,,,0.0,0.0,0.0,,,,603.964,7130.0,7130.0
2008-06-01,213669.752,2323056.0,2323056.0,126.572,1376.0,1376.0,525.2230000000001,5710.0,5710.0,,,,0.0,0.0,0.0,,,,1525.453,16585.0,16585.0
2008-07-01,210318.733,2237461.0,2237461.0,220.597,2347.0,2347.0,337.313,3588.0,3588.0,,,,0.0,0.0,0.0,,,,1952.356,20770.0,20770.0
2008-08-01,190728.107,1958449.0,1958449.0,288.606,2963.0,2963.0,347.509,3568.0,3568.0,,,,0.0,0.0,0.0,,,,917.778,9424.0,9424.0
2008-09-01,213159.798,2199303.0,2199303.0,439.41700000000003,4534.0,4534.0,660.6750000000001,6817.0,6817.0,,,,0.0,0.0,0.0,,,,730.11,7533.0,7533.0
2008-10-01,195630.436,1954936.0,1954936.0,140.564,1405.0,1405.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-01,154268.03,1398750.0,1398750.0,136.657,1239.0,1239.0,468.31300000000005,4246.0,4246.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-12-01,208696.888,1988036.0,1988036.0,561.053,5345.0,5345.0,163.221,1555.0,1555.0,,,,0.0,0.0,0.0,,,,829.8380000000001,7905.0,7905.0
2009-01-01,203007.176,2160101.0,2160101.0,284.949,3032.0,3032.0,723.991,7704.0,7704.0,,,,0.0,0.0,0.0,,,,844.884,8990.0,8990.0
2009-02-01,201545.568,2144081.0,2144081.0,170.148,1810.0,1810.0,405.54200000000003,4314.0,4314.0,,,,0.0,0.0,0.0,,,,1296.742,13795.0,13795.0
2009-03-01,243956.645,2613514.0,2613514.0,90.60900000000001,971.0,971.0,257.339,2757.0,2757.0,,,,0.0,0.0,0.0,,,,2329.407,24955.0,24955.0
2009-04-01,127195.687,1383099.0,1383099.0,89.27,971.0,971.0,445.192,4841.0,4841.0,,,,3683.556,40054.0,40054.0,,,,2537.295,27590.0,27590.0
2009-05-01,191001.698,2127982.0,2127982.0,84.565,942.0,942.0,622.244,6933.0,6933.0,,,,4131.05,46025.0,46025.0,,,,723.443,8060.0,8060.0
2009-06-01,220298.463,2355013.0,2355013.0,110.033,1176.0,1176.0,173.735,1857.0,1857.0,,,,5253.7390000000005,56163.0,56163.0,,,,1679.03,17949.0,17949.0
2009-07-01,164845.544,1823882.0,1823882.0,106.31200000000001,1176.0,1176.0,679.413,7517.0,7517.0,,,,4499.5160000000005,49784.0,49784.0,,,,1552.215,17174.0,17174.0
2009-08-01,216053.92,2336215.0,2336215.0,214.393,2318.0,2318.0,202.98700000000002,2195.0,2195.0,,,,5450.1990000000005,58934.0,58934.0,,,,441.50100000000003,4774.0,4774.0
2009-09-01,221271.905,2367144.0,2367144.0,21.884,234.0,234.0,99.171,1061.0,1061.0,,,,6740.615000000001,72110.0,72110.0,,,,356.425,3813.0,3813.0
2009-10-01,224726.407,2366963.0,2366963.0,187.575,1976.0,1976.0,122.49900000000001,1290.0,1290.0,,,,5980.2660000000005,62988.0,62988.0,,,,868.253,9145.0,9145.0
2009-11-01,184972.881,1966810.0,1966810.0,89.144,948.0,948.0,199.553,2122.0,2122.0,,,,4548.4220000000005,48363.0,48363.0,,,,0.0,0.0,0.0
2009-12-01,191996.814,2044970.0,2044970.0,331.844,3534.0,3534.0,382.339,4072.0,4072.0,,,,2651.003,28236.0,28236.0,,,,0.0,0.0,0.0
2010-01-01,248671.271,2612340.0,2612340.0,86.423,908.0,908.0,156.642,1646.0,1646.0,0.0,0.0,0.0,7029.664000000001,73848.0,73848.0,,,,0.0,0.0,0.0
2010-02-01,205044.599,2184959.0,2184959.0,78.77,839.0,839.0,229.155,2442.0,2442.0,0.0,0.0,0.0,6250.74,66608.0,66608.0,,,,392.73600000000005,4185.0,4185.0
2010-03-01,222069.844,2243340.0,2243340.0,50.871,514.0,514.0,250.205,2528.0,2528.0,0.0,0.0,0.0,7166.927000000001,72400.0,72400.0,,,,230.15300000000002,2325.0,2325.0
2010-04-01,76683.595,951416.0,951416.0,41.88,520.0,520.0,322.13300000000004,3997.0,3997.0,0.0,0.0,0.0,7002.4800000000005,86880.0,86880.0,,,,1036.912,12865.0,12865.0
2010-05-01,213273.644,2287849.0,2287849.0,178.316,1913.0,1913.0,168.199,1804.0,1804.0,66.924,718.0,718.0,6735.64,72255.0,72255.0,,,,1199.277,12865.0,12865.0
2010-06-01,238177.394,2566552.0,2566552.0,55.109,594.0,594.0,49.344,532.0,532.0,33.933,366.0,366.0,6369.383000000001,68635.0,68635.0,,,,2315.837,24955.0,24955.0
2010-07-01,218178.136,2408152.0,2408152.0,108.12100000000001,1193.0,1193.0,14.84,164.0,164.0,86.69200000000001,957.0,957.0,3909.418,43150.0,43150.0,,,,912.793,10075.0,10075.0
2010-08-01,241323.127,2585075.0,2585075.0,52.238,560.0,560.0,558.244,5980.0,5980.0,58.75,629.0,629.0,2689.9700000000003,28815.0,28815.0,,,,2300.6710000000003,24645.0,24645.0
2010-09-01,229249.683,2452247.0,2452247.0,34.697,371.0,371.0,200.246,2142.0,2142.0,138.08,1477.0,1477.0,7851.29,83984.0,83984.0,,,,2672.004,28582.0,28582.0
2010-10-01,224167.013,2359991.0,2359991.0,89.491,942.0,942.0,137.63500000000002,1449.0,1449.0,307.20500000000004,3234.0,3234.0,6670.703,70228.0,70228.0,,,,2658.953,27993.0,27993.0
2010-11-01,192616.316,1976306.0,1976306.0,133.007,1365.0,1365.0,21.368000000000002,219.0,219.0,137.931,1415.0,1415.0,423.37800000000004,4344.0,4344.0,,,,0.0,0.0,0.0
2010-12-01,203100.89,2120160.0,2120160.0,99.552,1039.0,1039.0,553.538,5778.0,5778.0,191.122,1995.0,1995.0,3739.655,39038.0,39038.0,,,,1737.2430000000002,18135.0,18135.0
2011-01-01,211542.32,2206395.0,2206395.0,162.047,1690.0,1690.0,588.803,6141.0,6141.0,160.375,1673.0,1673.0,5067.287,52852.0,52852.0,,,,1798.171,18755.0,18755.0
2011-02-01,228297.18,2321834.0,2321834.0,57.267,582.0,582.0,144.705,1472.0,1472.0,235.062,2391.0,2391.0,5182.501,52707.0,52707.0,,,,1158.283,11780.0,11780.0
2011-03-01,252706.93,2572453.0,2572453.0,96.479,982.0,982.0,113.132,1152.0,1152.0,170.493,1736.0,1736.0,2475.07,25195.0,25195.0,,,,1202.897,12245.0,12245.0
2011-04-01,242113.47,2441546.0,2441546.0,77.573,782.0,782.0,163.18,1646.0,1646.0,289.257,2917.0,2917.0,516.922,5213.0,5213.0,,,,1767.598,17825.0,17825.0
2011-05-01,122211.79,1356693.0,1356693.0,31.376,348.0,348.0,148.46,1648.0,1648.0,14.567,162.0,162.0,247.83,2751.0,2751.0,,,,1049.98,11656.0,11656.0
2011-06-01,247772.09,2588972.0,2588972.0,100.003,1045.0,1045.0,1.929,20.0,20.0,118.683,1240.0,1240.0,83.147,869.0,869.0,,,,255.144,2666.0,2666.0
2011-07-01,250668.61,2652339.0,2652339.0,66.916,708.0,708.0,145.278,1537.0,1537.0,69.309,733.0,733.0,150.533,1593.0,1593.0,,,,527.357,5580.0,5580.0
2011-08-01,237441.52,2552732.0,2552732.0,132.778,1428.0,1428.0,214.473,2306.0,2306.0,230.028,2473.0,2473.0,0.0,0.0,0.0,,,,836.202,8990.0,8990.0
2011-09-01,233546.45,2449170.0,2449170.0,25.047,263.0,263.0,202.333,2122.0,2122.0,279.332,2929.0,2929.0,0.0,0.0,0.0,,,,212.838,2232.0,2232.0
2011-10-01,178043.19,1860574.0,1860574.0,32.238,337.0,337.0,178.448,1865.0,1865.0,149.126,1558.0,1558.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2011-11-01,206738.34,2220666.0,2220666.0,300.346,3226.0,3226.0,456.777,4906.0,4906.0,407.534,4378.0,4378.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2011-12-01,250131.23,2649266.0,2649266.0,155.803,1650.0,1650.0,223.413,2366.0,2366.0,176.213,1866.0,1866.0,0.0,0.0,0.0,,,,146.344,1550.0,1550.0
2012-01-01,234984.1,2559085.0,2559085.0,98.571,1073.0,1073.0,27.073,295.0,295.0,168.255,1832.0,1832.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2012-02-01,157250.82,1747653.0,1747653.0,39.047,434.0,434.0,247.152,2747.0,2747.0,165.986,1845.0,1845.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2012-03-01,154902.39,1694131.0,1694131.0,121.125,1325.0,1325.0,25.115,275.0,275.0,243.167,2659.0,2659.0,0.0,0.0,0.0,,,,99.207,1085.0,1085.0
2012-04-01,201700.1,2170190.0,2170190.0,109.323,1176.0,1176.0,34.898,375.0,375.0,77.637,835.0,835.0,0.0,0.0,0.0,,,,605.047,6510.0,6510.0
2012-05-01,108380.17,1250318.0,1250318.0,107.9,1245.0,1245.0,545.223,6290.0,6290.0,22.946,265.0,265.0,356.464,4112.0,4112.0,,,,564.3,6510.0,6510.0
2012-06-01,175845.31,1957673.0,1957673.0,0.0,0.0,0.0,277.512,3090.0,3090.0,182.076,2027.0,2027.0,0.0,0.0,0.0,,,,2286.101,25451.0,25451.0
2012-07-01,238893.69,2649470.0,2649470.0,41.703,463.0,463.0,0.0,0.0,0.0,222.335,2466.0,2466.0,0.0,0.0,0.0,,,,419.275,4650.0,4650.0
2012-08-01,231556.12,2605642.0,2605642.0,7.611,86.0,86.0,87.787,988.0,988.0,146.728,1651.0,1651.0,0.0,0.0,0.0,,,,564.751,6355.0,6355.0
2012-09-01,195876.86,2278102.0,2278102.0,74.626,868.0,868.0,314.83,3662.0,3662.0,208.652,2427.0,2427.0,0.0,0.0,0.0,,,,1386.037,16120.0,16120.0
2012-10-01,227834.72,2442964.0,2442964.0,26.094,280.0,280.0,157.933,1693.0,1693.0,113.926,1222.0,1222.0,0.0,0.0,0.0,,,,1292.326,13857.0,13857.0
2012-11-01,230839.08,2468750.0,2468750.0,108.384,1159.0,1159.0,131.953,1411.0,1411.0,211.881,2266.0,2266.0,0.0,0.0,0.0,,,,637.7,6820.0,6820.0
2012-12-01,229227.06,2416731.0,2416731.0,134.857,1422.0,1422.0,130.028,1371.0,1371.0,45.526,480.0,480.0,0.0,0.0,0.0,,,,220.526,2325.0,2325.0
2013-01-01,220939.23,2387648.0,2387648.0,42.798,463.0,463.0,203.572,2200.0,2200.0,61.57,665.0,665.0,0.0,0.0,0.0,,,,243.828,2635.0,2635.0
2013-02-01,231611.51,2445406.0,2445406.0,82.744,874.0,874.0,73.751,779.0,779.0,111.602,1178.0,1178.0,0.0,0.0,0.0,,,,2187.395,23095.0,23095.0
2013-03-01,254478.51,2699452.0,2699452.0,120.576,1279.0,1279.0,124.245,1318.0,1318.0,161.669,1715.0,1715.0,0.0,0.0,0.0,,,,1280.004,13578.0,13578.0
2013-04-01,202886.6,2166235.0,2166235.0,0.0,0.0,0.0,372.911,3982.0,3982.0,46.112,492.0,492.0,0.0,0.0,0.0,,,,830.377,8866.0,8866.0
2013-05-01,250460.37,2670176.0,2670176.0,239.946,2558.0,2558.0,218.173,2326.0,2326.0,99.512,1061.0,1061.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-06-01,219984.77,2505534.0,2505534.0,86.731,988.0,988.0,33.631,383.0,383.0,76.869,876.0,876.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-07-01,219644.21,2422088.0,2422088.0,152.235,1679.0,1679.0,170.25,1877.0,1877.0,54.268,598.0,598.0,0.0,0.0,0.0,,,,1265.04,13950.0,13950.0
2013-08-01,227513.91,2512982.0,2512982.0,174.215,1924.0,1924.0,266.707,2946.0,2946.0,63.318,699.0,699.0,0.0,0.0,0.0,,,,1467.851,16213.0,16213.0
2013-09-01,129978.3,1441416.0,1441416.0,18.536,206.0,206.0,422.437,4685.0,4685.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,167.724,1860.0,1860.0
2013-10-01,194748.08,2091792.0,2091792.0,221.149,2375.0,2375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,360.767,3875.0,3875.0
2013-11-01,256024.76,2717751.0,2717751.0,80.148,851.0,851.0,63.859,678.0,678.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,321.238,3410.0,3410.0
2013-12-01,263423.23,2837436.0,2837436.0,16.433,177.0,177.0,69.718,751.0,751.0,82.141,885.0,885.0,0.0,0.0,0.0,,,,460.479,4960.0,4960.0
2014-01-01,211070.08,2417950.0,2417950.0,339.938,3894.0,3894.0,419.499,4806.0,4806.0,103.488,1186.0,1186.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-02-01,260081.26,2858046.0,2858046.0,47.284,520.0,520.0,39.902,438.0,438.0,39.554,435.0,435.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
