measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Kerosene - Combined Cycle Combustion Turbine Part - Waste Oil - Generation,Kerosene - Combined Cycle Combustion Turbine Part - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combined Cycle Combustion Turbine Part - Waste Oil - Total Fuel Consumed,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2007-01-01,,,,,,,,,,73.182,1253.0,1253.0,,,,1071.659,18380.0,18380.0
2007-02-01,,,,,,,,,,580.635,9957.0,9957.0,,,,923.999,15847.0,15847.0
2007-03-01,,,,,,,,,,142.316,2438.0,2438.0,,,,1343.948,23050.0,23050.0
2007-04-01,,,,,,,,,,41.826,720.0,720.0,,,,1359.92,23324.0,23324.0
2007-05-01,,,,,,,,,,9.364,159.0,159.0,,,,1450.025,24868.0,24868.0
2007-06-01,,,,0.0,0.0,0.0,,,,60.215,1032.0,1032.0,,,,1996.009,34233.0,34233.0
2007-07-01,,,,0.0,0.0,0.0,,,,97.688,1673.0,1673.0,,,,2633.571,45168.0,45168.0
2007-08-01,,,,0.0,0.0,0.0,,,,139.677,2393.0,2393.0,,,,2875.121,49310.0,49310.0
2007-09-01,,,,0.0,0.0,0.0,,,,52.761,907.0,907.0,,,,2082.4230000000002,35714.0,35714.0
2007-10-01,,,,0.0,0.0,0.0,,,,33.978,584.0,584.0,,,,1649.6290000000001,28292.0,28292.0
2007-11-01,,,,0.0,0.0,0.0,,,,28.192,482.0,482.0,,,,1494.443,25630.0,25630.0
2007-12-01,,,,0.0,0.0,0.0,,,,25.543000000000003,437.0,437.0,,,,1802.875,30920.0,30920.0
2008-01-01,,,,0.0,0.0,0.0,,,,73.09100000000001,1287.0,1287.0,,,,1089.381,19100.0,19100.0
2008-02-01,,,,0.0,0.0,0.0,,,,46.025000000000006,805.0,805.0,,,,1062.587,18630.0,18630.0
2008-03-01,,,,0.0,0.0,0.0,,,,36.664,641.0,641.0,,,,1100.7430000000002,19298.0,19298.0
2008-04-01,,,,0.0,0.0,0.0,,,,18.382,323.0,323.0,,,,1239.191,21726.0,21726.0
2008-05-01,,,,0.0,0.0,0.0,,,,27.489,482.0,482.0,,,,994.1320000000001,17430.0,17430.0
2008-06-01,,,,0.0,0.0,0.0,,,,39.262,686.0,686.0,,,,1688.155,29598.0,29598.0
2008-07-01,,,,0.0,0.0,0.0,,,,4.846,85.0,85.0,,,,1826.6860000000001,32026.0,32026.0
2008-08-01,,,,0.0,0.0,0.0,,,,5.463,96.0,96.0,,,,1408.767,24699.0,24699.0
2008-09-01,,,,0.0,0.0,0.0,,,,12.083,210.0,210.0,,,,1453.9,25491.0,25491.0
2008-10-01,,,,0.0,0.0,0.0,,,,11.034,193.0,193.0,,,,915.326,16049.0,16049.0
2008-11-01,,,,0.0,0.0,0.0,,,,13.642000000000001,238.0,238.0,,,,1037.858,18196.0,18196.0
2008-12-01,,,,0.0,0.0,0.0,,,,33.798,595.0,595.0,,,,754.495,13228.0,13228.0
2009-01-01,0.0,0.0,0.0,,,,58.68,1899.0,1899.0,0.0,0.0,0.0,50.885,1650.0,1650.0,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,,,,22.692,737.0,737.0,0.0,0.0,0.0,44.339,1438.0,1438.0,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0,,,,17.426000000000002,567.0,567.0,0.0,0.0,0.0,38.296,1242.0,1242.0,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0,,,,5.865,193.0,193.0,0.0,0.0,0.0,46.54,1509.0,1509.0,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0,,,,14.318000000000001,465.0,465.0,0.0,0.0,0.0,56.658,1838.0,1838.0,0.0,0.0,0.0
2009-06-01,0.0,0.0,0.0,,,,1.242,40.0,40.0,0.0,0.0,0.0,58.963,1913.0,1913.0,0.0,0.0,0.0
2009-07-01,0.0,0.0,0.0,,,,1.183,40.0,40.0,0.0,0.0,0.0,72.145,2340.0,2340.0,0.0,0.0,0.0
2009-08-01,0.0,0.0,0.0,,,,7.055,227.0,227.0,0.0,0.0,0.0,85.021,2757.0,2757.0,0.0,0.0,0.0
2009-09-01,0.0,0.0,0.0,,,,1.635,51.0,51.0,0.0,0.0,0.0,69.84100000000001,2265.0,2265.0,0.0,0.0,0.0
2009-10-01,0.0,0.0,0.0,,,,0.682,23.0,23.0,0.0,0.0,0.0,63.789,2069.0,2069.0,0.0,0.0,0.0
2009-11-01,0.0,0.0,0.0,,,,0.9490000000000001,28.0,28.0,0.0,0.0,0.0,54.173,1757.0,1757.0,0.0,0.0,0.0
2009-12-01,0.0,0.0,0.0,,,,1.6660000000000001,57.0,57.0,0.0,0.0,0.0,52.957,1717.0,1717.0,0.0,0.0,0.0
2010-01-01,,,,0.0,0.0,0.0,,,,62.473000000000006,1006.0,1006.0,,,,353.212,5666.0,5666.0
2010-02-01,,,,0.0,0.0,0.0,,,,94.545,1515.0,1515.0,,,,307.673,4936.0,4936.0
2010-03-01,,,,0.0,0.0,0.0,,,,10.752,172.0,172.0,,,,272.46500000000003,4371.0,4371.0
2010-04-01,,,,0.0,0.0,0.0,,,,2.307,34.0,34.0,,,,323.707,5193.0,5193.0
2010-05-01,,,,0.0,0.0,0.0,,,,10.359,166.0,166.0,,,,380.32800000000003,6101.0,6101.0
2010-06-01,,,,0.0,0.0,0.0,,,,24.178,389.0,389.0,,,,488.872,7842.0,7842.0
2010-07-01,,,,0.0,0.0,0.0,,,,73.73100000000001,1184.0,1184.0,,,,622.908,9993.0,9993.0
2010-08-01,,,,0.0,0.0,0.0,,,,31.815,509.0,509.0,,,,536.154,8600.0,8600.0
2010-09-01,,,,0.0,0.0,0.0,,,,5.441,86.0,86.0,,,,440.09900000000005,7060.0,7060.0
2010-10-01,,,,0.0,0.0,0.0,,,,37.411,600.0,600.0,,,,366.432,5878.0,5878.0
2010-11-01,,,,0.0,0.0,0.0,,,,170.73600000000002,2739.0,2739.0,,,,352.18600000000004,5650.0,5650.0
2010-12-01,,,,0.0,0.0,0.0,,,,79.02,1269.0,1269.0,,,,396.196,6355.0,6355.0
2011-01-01,,,,0.0,0.0,0.0,,,,871.071,13370.0,13370.0,,,,799.46,12271.0,12271.0
2011-02-01,,,,0.0,0.0,0.0,,,,63.7,975.0,975.0,,,,740.367,11364.0,11364.0
2011-03-01,,,,0.0,0.0,0.0,,,,29.856,459.0,459.0,,,,750.531,11519.0,11519.0
2011-04-01,,,,0.0,0.0,0.0,,,,55.907,856.0,856.0,,,,894.025,13722.0,13722.0
2011-05-01,,,,0.0,0.0,0.0,,,,142.675,2189.0,2189.0,,,,855.926,13137.0,13137.0
2011-06-01,,,,0.0,0.0,0.0,,,,263.041,4037.0,4037.0,,,,1003.016,15394.0,15394.0
2011-07-01,,,,0.0,0.0,0.0,,,,515.234,7910.0,7910.0,,,,1279.492,19637.0,19637.0
2011-08-01,,,,0.0,0.0,0.0,,,,478.615,7348.0,7348.0,,,,1072.247,16457.0,16457.0
2011-09-01,,,,0.0,0.0,0.0,,,,104.451,1605.0,1605.0,,,,913.651,14023.0,14023.0
2011-10-01,,,,0.0,0.0,0.0,,,,18.802,289.0,289.0,,,,908.958,13950.0,13950.0
2011-11-01,,,,0.0,0.0,0.0,,,,61.006,936.0,936.0,,,,952.946,14626.0,14626.0
2011-12-01,,,,0.0,0.0,0.0,,,,34.834,533.0,533.0,,,,913.189,14015.0,14015.0
2012-01-01,,,,0.0,0.0,0.0,,,,17.105,284.0,284.0,,,,1466.304,23730.0,23730.0
2012-02-01,,,,0.0,0.0,0.0,,,,26.757,431.0,431.0,,,,1471.782,23817.0,23817.0
2012-03-01,,,,0.0,0.0,0.0,,,,37.18,601.0,601.0,,,,1692.439,27388.0,27388.0
2012-04-01,,,,0.0,0.0,0.0,,,,7.356,119.0,119.0,,,,1728.02,27963.0,27963.0
2012-05-01,,,,0.0,0.0,0.0,,,,29.124,471.0,471.0,,,,2201.719,35629.0,35629.0
2012-06-01,,,,0.0,0.0,0.0,,,,42.023,680.0,680.0,,,,2196.077,35538.0,35538.0
2012-07-01,,,,0.0,0.0,0.0,,,,170.752,2761.0,2761.0,,,,2803.18,45363.0,45363.0
2012-08-01,,,,0.0,0.0,0.0,,,,286.42,4632.0,4632.0,,,,2517.179,40734.0,40734.0
2012-09-01,,,,0.0,0.0,0.0,,,,82.706,1338.0,1338.0,,,,2204.967,35682.0,35682.0
2012-10-01,,,,0.0,0.0,0.0,,,,77.683,1259.0,1259.0,,,,1726.069,27932.0,27932.0
2012-11-01,,,,0.0,0.0,0.0,,,,28.345,459.0,459.0,,,,1112.981,18010.0,18010.0
2012-12-01,,,,0.0,0.0,0.0,,,,17.937,289.0,289.0,,,,1124.895,18204.0,18204.0
2013-01-01,,,,0.0,0.0,0.0,,,,134.065,2053.0,2053.0,,,,1283.162,19749.0,19749.0
2013-02-01,,,,0.0,0.0,0.0,,,,21.803,335.0,335.0,,,,1311.169,20181.0,20181.0
2013-03-01,,,,0.0,0.0,0.0,,,,7.233,113.0,113.0,,,,1620.937,24948.0,24948.0
2013-04-01,,,,0.0,0.0,0.0,,,,4.011,62.0,62.0,,,,1631.842,25115.0,25115.0
2013-05-01,,,,0.0,0.0,0.0,,,,2.774,45.0,45.0,,,,1689.307,26000.0,26000.0
2013-06-01,,,,0.0,0.0,0.0,,,,4.611,74.0,74.0,,,,1925.043,29629.0,29629.0
2013-07-01,,,,0.0,0.0,0.0,,,,41.657,641.0,641.0,,,,2725.512,41949.0,41949.0
2013-08-01,,,,0.0,0.0,0.0,,,,8.904,136.0,136.0,,,,2151.542,33115.0,33115.0
2013-09-01,,,,0.0,0.0,0.0,,,,10.253,159.0,159.0,,,,1836.866,28271.0,28271.0
2013-10-01,,,,0.0,0.0,0.0,,,,3.141,51.0,51.0,,,,1597.979,24595.0,24595.0
2013-11-01,,,,0.0,0.0,0.0,,,,4.041,62.0,62.0,,,,1518.005,23364.0,23364.0
2013-12-01,,,,0.0,0.0,0.0,,,,10.962,170.0,170.0,,,,1658.181,25522.0,25522.0
2014-01-01,,,,0.0,0.0,0.0,,,,329.059,4706.0,4706.0,,,,1648.732,23593.0,23593.0
2014-02-01,,,,0.0,0.0,0.0,,,,14.804,210.0,210.0,,,,1812.413,25936.0,25936.0
2014-03-01,,,,0.0,0.0,0.0,,,,42.202,607.0,607.0,,,,1932.321,27652.0,27652.0
2014-04-01,,,,0.0,0.0,0.0,,,,0.842,11.0,11.0,,,,1629.213,23314.0,23314.0
2014-05-01,,,,0.0,0.0,0.0,,,,1.015,17.0,17.0,,,,1628.008,23298.0,23298.0
2014-06-01,,,,0.0,0.0,0.0,,,,1.186,17.0,17.0,,,,1963.89,28104.0,28104.0
2014-07-01,,,,0.0,0.0,0.0,,,,1.369,17.0,17.0,,,,3016.076,43160.0,43160.0
2014-08-01,,,,0.0,0.0,0.0,,,,10.327,147.0,147.0,,,,2667.974,38179.0,38179.0
2014-09-01,,,,0.0,0.0,0.0,,,,1.2,17.0,17.0,,,,2563.108,36679.0,36679.0
2014-10-01,,,,0.0,0.0,0.0,,,,0.753,11.0,11.0,,,,2361.526,33794.0,33794.0
2014-11-01,,,,0.0,0.0,0.0,,,,1.798,28.0,28.0,,,,2325.074,33273.0,33273.0
2014-12-01,,,,0.0,0.0,0.0,,,,9.493,136.0,136.0,,,,2362.617,33810.0,33810.0
2015-01-01,,,,0.0,0.0,0.0,,,,517.67,8647.0,8647.0,,,,830.515,13866.0,13866.0
2015-02-01,,,,0.0,0.0,0.0,,,,2072.074,34598.0,34598.0,,,,731.623,12215.0,12215.0
2015-03-01,,,,0.0,0.0,0.0,,,,85.886,1435.0,1435.0,,,,1006.983,16813.0,16813.0
2015-04-01,,,,0.0,0.0,0.0,,,,22.353,374.0,374.0,,,,784.729,13102.0,13102.0
2015-05-01,,,,0.0,0.0,0.0,,,,34.709,578.0,578.0,,,,1045.949,17464.0,17464.0
2015-06-01,,,,0.0,0.0,0.0,,,,17.36,289.0,289.0,,,,1054.773,17611.0,17611.0
2015-07-01,,,,0.0,0.0,0.0,,,,44.835,748.0,748.0,,,,1286.624,21482.0,21482.0
2015-08-01,,,,0.0,0.0,0.0,,,,23.173,386.0,386.0,,,,1260.161,21040.0,21040.0
2015-09-01,,,,0.0,0.0,0.0,,,,18.338,306.0,306.0,,,,1275.118,21290.0,21290.0
2015-10-01,,,,0.0,0.0,0.0,,,,21.214,352.0,352.0,,,,1066.933,17814.0,17814.0
2015-11-01,,,,0.0,0.0,0.0,,,,18.669,312.0,312.0,,,,1068.371,17838.0,17838.0
2015-12-01,,,,0.0,0.0,0.0,,,,20.813,346.0,346.0,,,,991.127,16548.0,16548.0
2016-01-01,,,,0.0,0.0,0.0,,,,49.84,828.0,828.0,,,,1319.017,21860.0,21860.0
2016-02-01,,,,0.0,0.0,0.0,,,,164.122,2722.0,2722.0,,,,1188.139,19691.0,19691.0
2016-03-01,,,,0.0,0.0,0.0,,,,40.159,663.0,663.0,,,,1446.027,23965.0,23965.0
2016-04-01,,,,0.0,0.0,0.0,,,,3.28,57.0,57.0,,,,1432.396,23739.0,23739.0
2016-05-01,,,,0.0,0.0,0.0,,,,3.316,57.0,57.0,,,,1414.492,23442.0,23442.0
2016-06-01,,,,0.0,0.0,0.0,,,,8.543,142.0,142.0,,,,1786.921,29614.0,29614.0
2016-07-01,,,,0.0,0.0,0.0,,,,6.413,108.0,108.0,,,,2266.596,37563.0,37563.0
2016-08-01,,,,0.0,0.0,0.0,,,,16.53,272.0,272.0,,,,2291.711,37980.0,37980.0
2016-09-01,,,,0.0,0.0,0.0,,,,5.971,96.0,96.0,,,,1706.459,28281.0,28281.0
2016-10-01,,,,0.0,0.0,0.0,,,,6.949,113.0,113.0,,,,1593.712,26412.0,26412.0
2016-11-01,,,,0.0,0.0,0.0,,,,5.172,85.0,85.0,,,,1161.314,19246.0,19246.0
2016-12-01,,,,0.0,0.0,0.0,,,,90.336,1497.0,1497.0,,,,1255.585,20809.0,20809.0
2017-01-01,,,,0.0,0.0,0.0,,,,21.749,357.0,357.0,,,,706.033,11822.0,11822.0
2017-02-01,,,,0.0,0.0,0.0,,,,17.039,284.0,284.0,,,,599.069,10032.0,10032.0
2017-03-01,,,,0.0,0.0,0.0,,,,23.54,397.0,397.0,,,,882.635,14781.0,14781.0
2017-04-01,,,,0.0,0.0,0.0,,,,17.869,301.0,301.0,,,,649.145,10871.0,10871.0
2017-05-01,,,,0.0,0.0,0.0,,,,21.394,357.0,357.0,,,,719.394,12047.0,12047.0
2017-06-01,,,,0.0,0.0,0.0,,,,22.836,380.0,380.0,,,,919.151,15393.0,15393.0
2017-07-01,,,,0.0,0.0,0.0,,,,18.332,306.0,306.0,,,,1062.807,17798.0,17798.0
2017-08-01,,,,0.0,0.0,0.0,,,,22.946,386.0,386.0,,,,946.482,15850.0,15850.0
2017-09-01,,,,0.0,0.0,0.0,,,,17.562,295.0,295.0,,,,839.446,14058.0,14058.0
2017-10-01,,,,0.0,0.0,0.0,,,,15.104,255.0,255.0,,,,752.715,12605.0,12605.0
2017-11-01,,,,0.0,0.0,0.0,,,,24.556,414.0,414.0,,,,573.161,9598.0,9598.0
2017-12-01,,,,0.0,0.0,0.0,,,,89.249,1497.0,1497.0,,,,710.786,11903.0,11903.0
2018-01-01,,,,0.0,0.0,0.0,,,,1140.326,19624.0,19624.0,,,,503.726,8667.0,8667.0
2018-02-01,,,,0.0,0.0,0.0,,,,11.78,204.0,204.0,,,,687.464,11828.0,11828.0
2018-03-01,,,,0.0,0.0,0.0,,,,20.516,352.0,352.0,,,,814.639,14016.0,14016.0
2018-04-01,,,,0.0,0.0,0.0,,,,12.734,221.0,221.0,,,,758.044,13042.0,13042.0
2018-05-01,,,,0.0,0.0,0.0,,,,130.956,2251.0,2251.0,,,,745.946,12835.0,12835.0
2018-06-01,,,,0.0,0.0,0.0,,,,12.5,215.0,215.0,,,,847.342,14579.0,14579.0
2018-07-01,,,,0.0,0.0,0.0,,,,16.03,278.0,278.0,,,,1252.065,21543.0,21543.0
2018-08-01,,,,0.0,0.0,0.0,,,,14.851,255.0,255.0,,,,1233.571,21225.0,21225.0
2018-09-01,,,,0.0,0.0,0.0,,,,12.314,210.0,210.0,,,,1052.548,18110.0,18110.0
2018-10-01,,,,0.0,0.0,0.0,,,,13.345,227.0,227.0,,,,847.965,14590.0,14590.0
2018-11-01,,,,0.0,0.0,0.0,,,,20.834,357.0,357.0,,,,720.004,12388.0,12388.0
2018-12-01,,,,0.0,0.0,0.0,,,,20.403,352.0,352.0,,,,789.097,13577.0,13577.0
2019-01-01,,,,0.0,0.0,0.0,,,,157.733,2694.0,2694.0,,,,405.917,6910.0,6910.0
2019-02-01,,,,0.0,0.0,0.0,,,,36.883,625.0,625.0,,,,402.702,6856.0,6856.0
2019-03-01,,,,0.0,0.0,0.0,,,,5.125,85.0,85.0,,,,383.44,6528.0,6528.0
2019-04-01,,,,0.0,0.0,0.0,,,,2.268,39.0,39.0,,,,445.084,7577.0,7577.0
2019-05-01,,,,0.0,0.0,0.0,,,,5.329,90.0,90.0,,,,392.371,6680.0,6680.0
2019-06-01,,,,0.0,0.0,0.0,,,,9.346,158.0,158.0,,,,483.893,8238.0,8238.0
2019-07-01,,,,0.0,0.0,0.0,,,,4.14,73.0,73.0,,,,647.8,11029.0,11029.0
2019-08-01,,,,0.0,0.0,0.0,,,,8.099,135.0,135.0,,,,606.922,10332.0,10332.0
2019-09-01,,,,0.0,0.0,0.0,,,,6.837,118.0,118.0,,,,482.508,8215.0,8215.0
2019-10-01,,,,0.0,0.0,0.0,,,,10.339,175.0,175.0,,,,470.54,8010.0,8010.0
2019-11-01,,,,0.0,0.0,0.0,,,,9.674,163.0,163.0,,,,457.788,7794.0,7794.0
2019-12-01,,,,0.0,0.0,0.0,,,,23.583,400.0,400.0,,,,452.679,7707.0,7707.0
2020-01-01,,,,0.0,0.0,0.0,,,,83.451,1397.0,1397.0,,,,642.866,10810.0,10810.0
2020-02-01,,,,0.0,0.0,0.0,,,,64.087,1080.0,1080.0,,,,563.658,9476.0,9476.0
2020-03-01,,,,0.0,0.0,0.0,,,,89.06,1499.0,1499.0,,,,571.999,9616.0,9616.0
2020-04-01,,,,0.0,0.0,0.0,,,,65.166,1097.0,1097.0,,,,519.941,8741.0,8741.0
2020-05-01,,,,0.0,0.0,0.0,,,,82.226,1380.0,1380.0,,,,439.295,7385.0,7385.0
2020-06-01,,,,0.0,0.0,0.0,,,,60.738,1024.0,1024.0,,,,730.092,12274.0,12274.0
2020-07-01,,,,0.0,0.0,0.0,,,,85.212,1431.0,1431.0,,,,1113.324,18717.0,18717.0
2020-08-01,,,,0.0,0.0,0.0,,,,75.519,1272.0,1272.0,,,,975.168,16394.0,16394.0
2020-09-01,,,,0.0,0.0,0.0,,,,69.896,1176.0,1176.0,,,,616.719,10368.0,10368.0
2020-10-01,,,,0.0,0.0,0.0,,,,54.965,922.0,922.0,,,,680.225,11436.0,11436.0
2020-11-01,,,,0.0,0.0,0.0,,,,65.984,1108.0,1108.0,,,,597.515,10045.0,10045.0
2020-12-01,,,,0.0,0.0,0.0,,,,76.913,1295.0,1295.0,,,,433.981,7296.0,7296.0
2021-01-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,268.845,4524.0,4524.0
2021-02-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,309.208,5206.0,5206.0
2021-03-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,276.811,4660.0,4660.0
2021-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,327.872,5520.0,5520.0
2021-05-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,343.925,5790.0,5790.0
2021-06-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,494.559,8325.0,8325.0
2021-07-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,603.193,10154.0,10154.0
2021-08-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,632.531,10648.0,10648.0
2021-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,451.851,7607.0,7607.0
