measured_on,"Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Generation","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Quantity Consumed For Electricity","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Total Fuel Consumed","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2004-04-01,,,,16866.08126,115447.08,199252.04,,,,12172.09871,83317.11,143798.4,1821.06103,12465.03,21513.6
2004-05-01,,,,15091.55577,103300.58,180710.92,,,,10092.44888,69082.06,120850.08,2245.04435,15367.16,26882.85
2004-06-01,,,,20324.43888,139119.28,237908.0,,,,17104.4179,117078.48,200216.0,3430.94721,23484.58,40161.0
2004-07-01,,,,20314.54152,139051.53,244605.0,,,,18395.82827,125918.08,221502.0,3072.28321,21029.55,36993.0
2004-08-01,,,,21506.46405,147210.16,255885.0,,,,17519.84463,119922.04,208452.0,3417.03032,23389.32,40656.0
2004-09-01,,,,16859.73572,115403.64,202032.0,,,,11001.65518,75305.51,131834.0,2926.7871,20033.64,35072.0
2004-10-01,,,,33888.6673,231965.42,416372.0,,,,2445.292,16737.84,30044.0,3531.93471,24175.83,43395.0
2004-11-01,,,,20248.34788,138598.44,245270.68,,,,17003.17586,116385.48,205961.52,3315.38926,22693.59,40159.71
2004-12-01,,,,75755.61029,518541.55,1140235.92,,,,2647.0337,18118.75,39841.84,3218.05501,22027.35,48436.57
2005-01-01,,,,20864.03028,147229.63,257977.62,,,,10288.6741,72603.31,127216.44,2623.15962,18510.65,32434.6
2005-02-01,,,,23112.16646,163093.89,286457.56,,,,8000.35433,56455.5,99158.25,707.21121,4990.52,8765.34
2005-03-01,,,,25196.35285,177801.21,315760.8,,,,12988.67901,91656.24,162774.18,2303.15515,16252.5,28863.15
2005-04-01,,,,16164.62234,114067.68,206607.87,,,,10104.14322,71301.15,129145.95,1934.91844,13653.99,24731.13
2005-05-01,,,,23945.82742,168976.72,291928.6,,,,14359.17898,101327.34,175055.76,3399.7086000000004,23990.47,41446.56
2005-06-01,,,,24891.27058,175648.36,308129.28,,,,13180.29826,93008.42,163159.04,2229.38916,15731.96,27597.63
2005-07-01,,,,25320.927,178680.28,296162.79,,,,12938.03907,91298.89,151328.02,3168.16394,22356.54,37056.0
2005-08-01,,,,21610.85308,152499.68,283385.88,,,,16339.31904,115300.44,214259.58,3643.69588,25712.19,47780.25
2005-09-01,,,,20955.85535,147877.61,283982.04,,,,15954.41311,112584.31,216205.29,3240.71954,22868.54,43916.42
2005-10-01,,,,25387.17343,179147.76,332311.6,,,,12719.79349,89758.81,166498.84,3390.95708,23928.71,44386.76
2005-11-01,,,,27034.52815,190772.52,353923.87,,,,11102.11418,78343.45,145343.88,3310.04968,23357.78,43333.68
2005-12-01,,,,23256.11337,164109.66,321107.88,,,,14642.86004,103329.17,202180.72,2649.76159,18698.37,36586.48
2006-01-01,,,,22860.78319,161319.97,305146.86,,,,16239.12498,114593.41,216760.64,2646.72383,18676.94,35328.6
2006-02-01,,,,18970.1709,133865.38,260192.0,,,,14717.72908,103857.49,201866.15,2902.93003,20484.89,39816.15
2006-03-01,,,,15964.02266,112652.12,283151.5,,,,14583.67734,102911.54,258668.52,2414.97201,17041.55,42834.0
2006-04-01,,,,17090.10615,120598.46,258805.5,,,,12369.60614,87287.67,187320.2,2522.1007,17797.52,38193.65
2006-05-01,,,,10386.76838,73295.53,178482.5,,,,6634.03288,46813.88,113996.84,577.85774,4077.73,9929.7
2006-06-01,,,,16337.72516,115289.2,269592.0,,,,13753.21184,97051.26,226944.44,1931.86001,13632.41,31878.0
2006-07-01,,,,16708.55532,117906.0,285760.0,,,,14511.00375,102398.71,248176.12,915.01793,6456.94,15649.2
2006-08-01,,,,17431.52112,123007.71,288204.0,,,,15010.50394,105923.5,248176.12,1092.58193,7709.94,18064.2
2006-09-01,,,,16699.8589,117844.63,276172.0,,,,14952.85841,105516.71,247281.18,502.35269,3544.91,8307.6
2006-10-01,,,,16978.23199,119809.01,281154.0,,,,14903.69849,105169.8,246800.4,498.56052,3518.15,8256.0
2006-11-01,,,,17678.17318,124748.24,281955.43,,,,13774.62745,97202.38,219696.4,1193.16436,8419.71,19030.2
2006-12-01,,,,17812.95458,125699.34,289149.49,,,,14907.34084,105195.51,241984.0,1216.71658,8585.91,19750.4
2007-01-01,,,,20828.899,146993.0,333724.0,,,,11754.985,82950.0,188340.0,1044.804,7380.0,16740.0
2007-02-01,,,,23690.364,167179.0,384625.0,,,,5377.111,37950.0,87300.0,1056.944,7470.0,17160.0
2007-03-01,,,,20857.528,147181.0,644018.0,,,,3747.452,26430.0,115710.0,324.514,2280.0,10020.0
2007-04-01,,,,13235.936,93413.0,204638.0,,,,11743.256,82860.0,181560.0,878.998,6210.0,13590.0
2007-05-01,,,,13191.617,93084.0,207059.0,,,,10649.699,75150.0,167160.0,1039.741,7350.0,16320.0
2007-06-01,,,,15441.586,108970.0,246022.0,,,,14786.851,104340.0,235590.0,2312.27,16320.0,36840.0
2007-07-01,,,,16242.959,114610.0,258712.0,,,,14885.473,105030.0,237090.0,2318.615,16350.0,36930.0
2007-08-01,,,,16158.27,114022.0,253894.0,,,,15550.872,109740.0,244350.0,1911.163,13500.0,30030.0
2007-09-01,,,,17021.913,120109.0,273752.0,,,,14600.524000000001,103020.0,234810.0,578.2760000000001,4080.0,9300.0
2007-10-01,,,,19587.506,138227.0,309143.0,,,,12976.919,91560.0,204810.0,539.8340000000001,3810.0,8520.0
2007-11-01,,,,19301.768,136210.0,302279.0,,,,11978.871,84531.0,187597.0,1162.261,8212.0,18202.0
2007-12-01,,,,25422.571,179403.0,389681.0,,,,6844.506,48300.0,104914.0,1657.825,11703.0,25411.0
2008-01-01,,,,25586.634,187214.0,330071.0,0.0,0.0,0.0,12632.705,92432.0,162964.0,1440.661,10541.0,18585.0
2008-02-01,,,,24800.499,181454.0,328577.0,0.0,0.0,0.0,10721.966,78448.0,142053.0,1554.535,11374.0,20596.0
2008-03-01,,,,26167.33,191033.0,363574.0,0.0,0.0,0.0,11738.632,85697.0,163099.0,1954.037,14265.0,27150.0
2008-04-01,,,,28048.301,204867.0,378902.0,0.0,0.0,0.0,8797.823,64260.0,118849.0,1500.876,10963.0,20275.0
2008-05-01,,,,10620.278,77674.0,145910.0,0.0,0.0,0.0,4772.473,34904.0,65568.0,336.249,2459.0,4620.0
2008-06-01,,,,26268.867,192188.0,355647.0,0.0,0.0,0.0,8089.727000000001,59186.0,109525.0,762.4060000000001,5578.0,10322.0
2008-07-01,,,,30819.282,225784.0,413100.0,0.0,0.0,0.0,6123.91,44864.0,82085.0,807.808,5918.0,10828.0
2008-08-01,725.19,5296.0,9822.0,24667.618000000002,180143.0,334082.0,0.0,0.0,0.0,13280.66,96986.0,179865.0,1442.5320000000002,10535.0,19537.0
2008-09-01,285.159,2086.0,3761.0,23137.313000000002,169279.0,305130.0,0.156,1.0,2.0,13654.235,99898.0,180069.0,897.1370000000001,6564.0,11831.0
2008-10-01,1513.3210000000001,11079.0,20637.0,20501.067,150093.0,279577.0,0.733,5.0,10.0,13432.968,98346.0,183188.0,788.912,5776.0,10759.0
2008-11-01,825.749,6037.0,10978.0,24184.793,176800.0,321519.0,0.075,1.0,1.0,13134.382,96017.0,174612.0,0.0,0.0,0.0
2008-12-01,1274.467,9335.0,16716.0,21101.118,154550.0,276771.0,0.229,2.0,3.0,15183.653,111209.0,199155.0,685.534,5021.0,8992.0
2009-01-01,874.797,6415.0,12267.0,16333.351999999999,119768.0,229043.0,1.854,14.0,26.0,11109.044,81460.0,155783.0,800.9530000000001,5873.0,11232.0
2009-02-01,2679.491,19598.0,35401.0,15762.003,115283.0,208248.0,1.211,9.0,16.0,12577.334,91990.0,166172.0,382.961,2801.0,5060.0
2009-03-01,4401.809,32211.0,59456.0,26517.428,194044.0,358177.0,0.0,0.0,0.0,7066.769,51712.0,95452.0,979.994,7171.0,13237.0
2009-04-01,2100.487,15405.0,27667.0,16192.688,118761.0,213287.0,1.2910000000000001,9.0,17.0,10607.618,77799.0,139721.0,601.916,4415.0,7928.0
2009-05-01,260.28200000000004,1912.0,3377.0,9256.321,68011.0,120095.0,4.547000000000001,33.0,59.0,6880.826,50557.0,89274.0,253.024,1859.0,3283.0
2009-06-01,1026.566,7531.0,14279.0,20329.698,149142.0,282774.0,0.07200000000000001,1.0,1.0,15442.886,113291.0,214801.0,685.778,5031.0,9539.0
2009-07-01,1722.708,12574.0,22365.0,18503.084000000003,135050.0,240215.0,0.539,4.0,7.0,16712.618000000002,121982.0,216971.0,801.051,5847.0,10400.0
2009-08-01,445.269,3268.0,5764.0,15606.043000000001,114527.0,202014.0,2.472,18.0,32.0,9208.217,67575.0,119197.0,689.999,5064.0,8932.0
2009-09-01,2565.107,18744.0,31544.0,21306.904,155698.0,262020.0,0.081,1.0,1.0,12920.544,94416.0,158890.0,1631.364,11921.0,20062.0
2009-10-01,1083.318,7908.0,14991.0,24504.991,178871.0,339095.0,0.217,2.0,3.0,10439.421,76201.0,144459.0,2857.0530000000003,20855.0,39535.0
2009-11-01,1004.971,7341.0,13852.0,24242.81,177086.0,334151.0,0.0,0.0,0.0,11243.353,82129.0,154973.0,2157.866,15762.0,29743.0
2009-12-01,2201.7470000000003,16076.0,29246.0,19152.637000000002,139845.0,254405.0,0.0,0.0,0.0,15957.9,116518.0,211969.0,2671.7160000000003,19508.0,35489.0
2010-01-01,2267.0550000000003,16572.0,32429.0,22317.296000000002,163142.0,319235.0,0.0,0.0,0.0,11889.872,86916.0,170077.0,3298.777,24114.0,47187.0
2010-02-01,1230.614,9015.0,17650.0,21059.942,154285.0,302058.0,0.0,0.0,0.0,10716.536,78509.0,153705.0,2661.908,19501.0,38179.0
2010-03-01,1197.116,8765.0,17063.0,21837.277000000002,159893.0,311260.0,0.0,0.0,0.0,13388.258,98029.0,190831.0,2962.349,21690.0,42224.0
2010-04-01,0.0,0.0,0.0,3490.1980000000003,25763.0,55615.0,0.0,0.0,0.0,1640.8020000000001,12112.0,26146.0,0.0,0.0,0.0
2010-05-01,334.409,2452.0,4738.0,11761.524,86230.0,166648.0,0.8470000000000001,6.0,12.0,3518.031,25792.0,49847.0,1626.189,11922.0,23041.0
2010-06-01,5254.276,38092.0,73489.0,15672.055,113618.0,219197.0,2.359,17.0,33.0,3098.994,22467.0,43344.0,1273.316,9231.0,17809.0
2010-07-01,6536.331,48024.0,92261.0,21723.484,159606.0,306631.0,0.7080000000000001,5.0,10.0,391.579,2877.0,5527.0,2744.898,20167.0,38745.0
2010-08-01,4727.508,34928.0,68050.0,12619.707,93238.0,181653.0,3.1260000000000003,23.0,45.0,203.866,1506.0,2935.0,2145.793,15854.0,30887.0
2010-09-01,3628.6040000000003,26944.0,53926.0,16327.496,121240.0,242651.0,0.9420000000000001,7.0,14.0,6564.563,48745.0,97559.0,1318.395,9790.0,19593.0
2010-10-01,6956.124000000001,51471.0,103982.0,16929.719,125270.0,253071.0,0.0,0.0,0.0,8167.109,60432.0,122085.0,2577.0480000000002,19069.0,38523.0
2010-11-01,6026.509,44569.0,84908.0,16770.508,124027.0,236280.0,0.35500000000000004,3.0,5.0,8118.084000000001,60038.0,114376.0,2446.5440000000003,18094.0,34469.0
2010-12-01,5660.173000000001,41749.0,82706.0,14617.425,107816.0,213588.0,1.6420000000000001,12.0,24.0,4920.697,36295.0,71901.0,2257.063,16648.0,32980.0
2011-01-01,7857.618,58068.0,116677.0,20546.156,151835.0,305087.0,1.145,8.0,17.0,626.23,4628.0,9299.0,2386.851,17639.0,35442.0
2011-02-01,8063.476,59433.0,121866.0,20285.971,149521.0,306590.0,0.198,1.0,3.0,1329.918,9802.0,20100.0,3076.437,22675.0,46495.0
2011-03-01,5709.666,42151.0,84093.0,15584.064,115047.0,229524.0,1.494,11.0,22.0,6874.55,50750.0,101249.0,928.226,6852.0,13671.0
2011-04-01,2260.01,16621.0,28848.0,14999.969,110314.0,191470.0,3.212,24.0,41.0,5658.179,41612.0,72225.0,1222.63,8992.0,15607.0
2011-05-01,6498.77,48060.0,95589.0,17189.462,127121.0,252836.0,0.0,0.0,0.0,7167.794,53008.0,105429.0,3403.974,25173.0,50068.0
2011-06-01,2186.298,16349.0,29755.0,10875.384,81323.0,148014.0,3.086,23.0,42.0,3565.71,26663.0,48529.0,1972.522,14750.0,26846.0
2011-07-01,4165.17,30896.0,56358.0,19616.686,145511.0,265427.0,0.0,0.0,0.0,6861.647,50898.0,92843.0,2349.497,17428.0,31790.0
2011-08-01,7099.591,52475.0,94188.0,13538.182,100063.0,179606.0,1.809,13.0,24.0,5844.014,43194.0,77530.0,1174.404,8680.0,15580.0
2011-09-01,6080.35,45085.0,85511.0,9468.653,70209.0,133163.0,2.844,21.0,40.0,5142.153,38129.0,72317.0,0.0,0.0,0.0
2011-10-01,9432.838,69800.0,132259.0,16277.506,120448.0,228228.0,0.0,0.0,0.0,8727.656,64582.0,122371.0,0.0,0.0,0.0
2011-11-01,1963.664,14673.0,26103.0,11889.538,88842.0,158046.0,3.611,27.0,48.0,3528.187,26364.0,46900.0,0.0,0.0,0.0
2011-12-01,0.0,0.0,0.0,23299.033,172411.0,311414.0,1.197,9.0,16.0,7579.77,56090.0,101311.0,0.0,0.0,0.0
2012-01-01,0.0,0.0,0.0,25438.477,188908.0,354334.0,0.0,0.0,0.0,8171.523,60682.0,113822.0,0.0,0.0,0.0
2012-02-01,1420.693,10516.0,19715.0,23781.575,176029.0,330022.0,0.0,0.0,0.0,7587.732,56164.0,105296.0,0.0,0.0,0.0
2012-03-01,1145.723,8490.0,16539.0,15354.356,113778.0,221640.0,0.069,1.0,1.0,4358.852,32300.0,62920.0,0.0,0.0,0.0
2012-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
