measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Gaseous Propane Generation,Gaseous Propane Quantity Consumed For Electricity,Gaseous Propane Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2006-07-01,249062.0,2815775.0,2815775.0,,,,2923.0,33052.0,33052.0
2006-08-01,270644.0,2943127.0,2943127.0,,,,855.0,9302.0,9302.0
2006-09-01,211491.0,2432765.0,2432765.0,,,,1825.0,20989.0,20989.0
2006-10-01,160026.0,1839337.0,1839337.0,,,,508.0,5839.0,5839.0
2006-11-01,168716.0,1923785.0,1923785.0,,,,371.0,4227.0,4227.0
2006-12-01,221800.0,2510312.0,2510312.0,,,,1773.0,20072.0,20072.0
2007-01-01,247007.155,2777658.0,2777658.0,,,,2159.845,24288.0,24288.0
2007-02-01,250636.305,2790227.0,2790227.0,,,,5642.695000000001,62818.0,62818.0
2007-03-01,272638.849,3014376.0,3014376.0,,,,2237.1510000000003,24735.0,24735.0
2007-04-01,250179.088,2796671.0,2796671.0,,,,2147.911,24011.0,24011.0
2007-05-01,171331.427,1904549.0,1904549.0,,,,1356.573,15080.0,15080.0
2007-06-01,187747.014,2102863.0,2102863.0,,,,1064.987,11928.0,11928.0
2007-07-01,240258.995,2707931.0,2707931.0,,,,950.005,10707.0,10707.0
2007-08-01,273599.837,3044328.0,3044328.0,,,,289.163,3218.0,3218.0
2007-09-01,243939.865,2716836.0,2716836.0,,,,718.135,7998.0,7998.0
2007-10-01,259968.621,2931057.0,2931057.0,,,,2071.38,23354.0,23354.0
2007-11-01,271014.214,2975611.0,2975611.0,,,,1927.786,21166.0,21166.0
2007-12-01,272392.662,3076252.0,3076252.0,,,,1209.338,13658.0,13658.0
2008-01-01,272297.285,3009661.0,3009661.0,,,,683.715,7557.0,7557.0
2008-02-01,240169.428,2661020.0,2661020.0,,,,911.572,10100.0,10100.0
2008-03-01,262282.27,2924479.0,2924479.0,,,,79.73,889.0,889.0
2008-04-01,227269.608,2490534.0,2490534.0,,,,554.392,6075.0,6075.0
2008-05-01,186623.081,2005205.0,2005205.0,,,,840.9190000000001,9035.0,9035.0
2008-06-01,173125.729,1886357.0,1886357.0,,,,377.271,4111.0,4111.0
2008-07-01,213465.994,2325704.0,2325704.0,,,,1006.0060000000001,10960.0,10960.0
2008-08-01,283782.234,3010337.0,3010337.0,,,,212.76600000000002,2257.0,2257.0
2008-09-01,281508.121,2971417.0,2971417.0,,,,257.879,2722.0,2722.0
2008-10-01,262244.137,2771069.0,2771069.0,,,,575.863,6085.0,6085.0
2008-11-01,266739.375,2848097.0,2848097.0,,,,216.625,2313.0,2313.0
2008-12-01,277591.251,3018743.0,3018743.0,,,,648.749,7055.0,7055.0
2009-01-01,268305.544,2932092.0,2932092.0,,,,696.456,7611.0,7611.0
2009-02-01,228550.444,2493538.0,2493538.0,,,,580.556,6334.0,6334.0
2009-03-01,215918.007,2392368.0,2392368.0,,,,175.993,1950.0,1950.0
2009-04-01,231276.436,2516708.0,2516708.0,,,,475.564,5175.0,5175.0
2009-05-01,225221.214,2501527.0,2501527.0,,,,741.7860000000001,8239.0,8239.0
2009-06-01,140789.302,1516054.0,1516054.0,,,,602.698,6490.0,6490.0
2009-07-01,182338.932,2079314.0,2079314.0,,,,848.0680000000001,9671.0,9671.0
2009-08-01,211185.969,2393726.0,2393726.0,,,,483.031,5475.0,5475.0
2009-09-01,208450.585,2377350.0,2377350.0,,,,507.415,5787.0,5787.0
2009-10-01,263853.945,2892159.0,2892159.0,,,,196.055,2149.0,2149.0
2009-11-01,235906.499,2592021.0,2592021.0,,,,360.50100000000003,3961.0,3961.0
2009-12-01,248542.894,2750179.0,2750179.0,,,,350.106,3874.0,3874.0
2010-01-01,265494.136,2965910.0,2965910.0,,,,545.864,6098.0,6098.0
2010-02-01,250592.147,2827961.0,2827961.0,,,,96.85300000000001,1093.0,1093.0
2010-03-01,225539.094,2486179.0,2486179.0,,,,645.9060000000001,7120.0,7120.0
2010-04-01,222606.80000000002,2470668.0,2470668.0,,,,686.2,7616.0,7616.0
2010-05-01,215103.663,2372505.0,2372505.0,,,,956.337,10548.0,10548.0
2010-06-01,233202.657,2591536.0,2591536.0,,,,764.3430000000001,8494.0,8494.0
2010-07-01,257880.201,2876361.0,2876361.0,,,,527.799,5887.0,5887.0
2010-08-01,269682.822,3093045.0,3093045.0,,,,407.178,4670.0,4670.0
2010-09-01,232909.684,2634967.0,2634967.0,,,,643.316,7278.0,7278.0
2010-10-01,173918.094,1920645.0,1920645.0,,,,599.9060000000001,6625.0,6625.0
2010-11-01,227222.883,2528910.0,2528910.0,,,,985.1170000000001,10964.0,10964.0
2010-12-01,279595.447,3090161.0,3090161.0,,,,1299.553,14363.0,14363.0
2011-01-01,275707.89,3026198.0,3026198.0,,,,887.109,9737.0,9737.0
2011-02-01,269923.64,2952740.0,2952740.0,,,,854.361,9346.0,9346.0
2011-03-01,299491.94,3284858.0,3284858.0,,,,1117.058,12252.0,12252.0
2011-04-01,275406.89,3026401.0,3026401.0,,,,3512.11,38594.0,38594.0
2011-05-01,290944.49,3199625.0,3199625.0,,,,1012.515,11135.0,11135.0
2011-06-01,273633.08,3031507.0,3031507.0,,,,658.92,7300.0,7300.0
2011-07-01,277241.84,3094861.0,3094861.0,,,,860.16,9602.0,9602.0
2011-08-01,295773.26,3233963.0,3233963.0,,,,774.745,8471.0,8471.0
2011-09-01,235789.61,2600671.0,2600671.0,,,,1003.388,11067.0,11067.0
2011-10-01,292953.32,3186100.0,3186100.0,,,,470.678,5119.0,5119.0
2011-11-01,206202.35,2298703.0,2298703.0,,,,1426.649,15904.0,15904.0
2011-12-01,302197.48,3295056.0,3295056.0,,,,516.524,5632.0,5632.0
2012-01-01,296643.37,3247373.0,3247373.0,,,,394.626,4320.0,4320.0
2012-02-01,240060.43,2638021.0,2638021.0,,,,482.574,5303.0,5303.0
2012-03-01,256964.5,2806697.0,2806697.0,,,,574.502,6275.0,6275.0
2012-04-01,220249.02,2411292.0,2411292.0,,,,860.977,9426.0,9426.0
2012-05-01,274491.08,2944624.0,2944624.0,,,,565.925,6071.0,6071.0
2012-06-01,243273.85,2689137.0,2689137.0,,,,821.154,9077.0,9077.0
2012-07-01,268612.74,3007662.0,3007662.0,,,,523.264,5859.0,5859.0
2012-08-01,221576.16,2479415.0,2479415.0,,,,777.844,8704.0,8704.0
2012-09-01,233525.82,2590767.0,2590767.0,,,,807.183,8955.0,8955.0
2012-10-01,264152.87,2915230.0,2915230.0,,,,541.131,5972.0,5972.0
2012-11-01,297142.97,3235124.0,3235124.0,,,,323.033,3517.0,3517.0
2012-12-01,293471.33,3204064.0,3204064.0,,,,369.671,4036.0,4036.0
2013-01-01,252124.46,2800423.0,2800423.0,,,,960.539,10669.0,10669.0
2013-02-01,261392.12,2857734.0,2857734.0,,,,158.88,1737.0,1737.0
2013-03-01,251097.63,2770649.0,2770649.0,,,,379.368,4186.0,4186.0
2013-04-01,282681.9,3068397.0,3068397.0,,,,413.097,4484.0,4484.0
2013-05-01,283536.59,3065622.0,3065622.0,,,,247.408,2675.0,2675.0
2013-06-01,234836.17,2577549.0,2577549.0,,,,754.832,8285.0,8285.0
2013-07-01,264801.06,2899614.0,2899614.0,,,,768.938,8420.0,8420.0
2013-08-01,252353.14,2755660.0,2755660.0,,,,404.859,4421.0,4421.0
2013-09-01,254559.38,2836994.0,2836994.0,,,,533.616,5947.0,5947.0
2013-10-01,230431.03,2561442.0,2561442.0,,,,1055.968,11738.0,11738.0
2013-11-01,262156.77,2890839.0,2890839.0,,,,311.232,3432.0,3432.0
2013-12-01,292743.43,3202911.0,3202911.0,,,,361.575,3956.0,3956.0
2014-01-01,256119.39,2856530.0,2856530.0,,,,824.612,9197.0,9197.0
2014-02-01,243495.28,2698813.0,2698813.0,,,,502.723,5572.0,5572.0
2014-03-01,277331.72,3020764.0,3020764.0,,,,687.278,7486.0,7486.0
2014-04-01,266409.85,2963568.0,2963568.0,,,,623.152,6932.0,6932.0
2014-05-01,20049.082,253255.0,253255.0,0.0,0.0,0.0,208.918,2639.0,2639.0
2014-06-01,-845.279,0.0,0.0,0.0,0.0,0.0,-1.721,0.0,0.0
2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-01,-941.084,0.0,0.0,0.0,0.0,0.0,-1.916,0.0,0.0
2014-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,-1155.88,0.0,0.0,0.0,0.0,0.0,-3.12,0.0,0.0
2015-02-01,-1071.109,0.0,0.0,0.0,0.0,0.0,-2.891,0.0,0.0
2015-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-01,-607.361,0.0,0.0,0.0,0.0,0.0,-1.639,0.0,0.0
2015-05-01,-667.199,0.0,0.0,0.0,0.0,0.0,-1.801,0.0,0.0
2015-06-01,-749.976,0.0,0.0,0.0,0.0,0.0,-2.024,0.0,0.0
2015-07-01,-760.946,0.0,0.0,0.0,0.0,0.0,-2.054,0.0,0.0
2015-08-01,-771.917,0.0,0.0,0.0,0.0,0.0,-2.083,0.0,0.0
2015-09-01,-701.108,0.0,0.0,0.0,0.0,0.0,-1.892,0.0,0.0
2015-10-01,-722.051,0.0,0.0,0.0,0.0,0.0,-1.949,0.0,0.0
2015-11-01,-757.954,0.0,0.0,0.0,0.0,0.0,-2.046,0.0,0.0
2015-12-01,-891.594,0.0,0.0,0.0,0.0,0.0,-2.406,0.0,0.0
