measured_on,"Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2007-06-01,19109.304,221965.0,1112092.0,2775.597,32241.0,161530.0,,,,3454.9320000000002,40131.0,201065.0,3079.286,35766.0,179203.0
2007-07-01,20712.866,240592.0,1143245.0,1788.3310000000001,20772.0,98707.0,,,,3376.7450000000003,39224.0,186379.0,4470.419,51925.0,246745.0
2007-08-01,22730.418,264030.0,1118518.0,2083.067,24197.0,102504.0,,,,2773.087,32212.0,136458.0,4983.9220000000005,57893.0,245249.0
2007-09-01,20577.042,239023.0,1073642.0,2273.496,26408.0,118623.0,,,,2685.217,31191.0,140106.0,4295.004,49887.0,224099.0
2007-10-01,18703.291,217248.0,989083.0,3036.628,35273.0,160585.0,,,,2646.621,30744.0,139961.0,4439.745,51569.0,234786.0
2007-11-01,20653.516,239907.0,1127814.0,3323.157,38601.0,181466.0,,,,810.3670000000001,9412.0,44251.0,4365.7480000000005,50708.0,238398.0
2007-12-01,21156.314,245751.0,1146081.0,3665.525,42578.0,198569.0,,,,256.898,2986.0,13917.0,4786.593,55599.0,259300.0
2008-01-01,31517.482,351565.0,13225338.0,434.51800000000003,4847.0,182332.0,,,,0.0,0.0,0.0,,,
2008-02-01,27494.192,306687.0,1099926.0,3640.808,40612.0,145653.0,,,,0.0,0.0,0.0,,,
2008-03-01,27662.485,308564.0,1158502.0,3777.5150000000003,42137.0,158202.0,,,,0.0,0.0,0.0,,,
2008-04-01,24433.089,272541.0,1099206.0,4773.911,53251.0,214771.0,,,,0.0,0.0,0.0,,,
2008-05-01,25264.62,281817.0,1080602.0,4804.38,53591.0,205490.0,,,,0.0,0.0,0.0,,,
2008-06-01,23418.31,261222.0,1111674.0,3794.69,42328.0,180135.0,,,,0.0,0.0,0.0,,,
2008-07-01,30119.25,335968.0,1186739.0,2568.75,28653.0,101212.0,,,,0.0,0.0,0.0,,,
2008-08-01,28868.561,322017.0,1152414.0,2896.4390000000003,32309.0,115624.0,,,,0.0,0.0,0.0,,,
2008-09-01,28106.949,313522.0,1123689.0,3371.0510000000004,37603.0,134771.0,,,,0.0,0.0,0.0,,,
2008-10-01,19313.556,215435.0,932145.0,5575.444,62192.0,269092.0,,,,0.0,0.0,0.0,,,
2008-11-01,30005.678,334701.0,1139434.0,1844.3220000000001,20573.0,70036.0,,,,0.0,0.0,0.0,,,
2008-12-01,27578.363,307626.0,1102622.0,2779.637,31006.0,111134.0,,,,0.0,0.0,0.0,,,
2009-01-01,0.0,0.0,0.0,13561.773000000001,130569.0,130569.0,,,,14573.913,140314.0,140314.0,,,
2009-02-01,0.0,0.0,0.0,10792.937,87922.0,87922.0,,,,15570.121,126838.0,126838.0,,,
2009-03-01,0.0,0.0,0.0,14621.09,147359.0,147359.0,,,,12584.967,126838.0,126838.0,,,
2009-04-01,0.0,0.0,0.0,20129.257,175363.0,175363.0,,,,9643.99,84017.0,84017.0,,,
2009-05-01,0.0,0.0,0.0,20606.289,175363.0,175363.0,,,,6505.689,55364.0,55364.0,,,
2009-06-01,0.0,0.0,0.0,27603.804,328957.0,328957.0,,,,0.0,0.0,0.0,,,
2009-07-01,0.0,0.0,0.0,24973.774,216738.0,216738.0,,,,271.495,2356.0,2356.0,,,
2009-08-01,0.0,0.0,0.0,28561.936999999998,242583.0,242583.0,,,,282.61400000000003,2400.0,2400.0,,,
2009-09-01,0.0,0.0,0.0,28791.516,267137.0,267137.0,,,,195.553,1814.0,1814.0,,,
2009-10-01,0.0,0.0,0.0,21025.639,251782.0,328126.0,,,,345.559,4138.0,5393.0,,,
2009-11-01,0.0,0.0,0.0,31070.814,276184.0,276184.0,,,,0.0,0.0,0.0,,,
2009-12-01,0.0,0.0,0.0,33177.846,320891.0,320891.0,,,,0.0,0.0,0.0,,,
2010-01-01,16858.086,201875.0,902150.0,7415.057000000001,88795.0,396812.0,5492.652,65774.0,293936.0,0.0,0.0,0.0,,,
2010-02-01,19525.177,233814.0,987354.0,5503.223,65901.0,278288.0,6282.076,75228.0,317674.0,13.704,164.0,693.0,,,
2010-03-01,22842.052,273533.0,1122472.0,4834.291,57891.0,237560.0,7227.5560000000005,86550.0,355166.0,0.0,0.0,0.0,,,
2010-04-01,19355.18,231778.0,1027573.0,4396.9800000000005,52654.0,233437.0,6683.892000000001,80040.0,354850.0,9.731,117.0,517.0,,,
2010-05-01,17048.968,204161.0,1088529.0,2989.616,35801.0,190879.0,4521.51,54145.0,288686.0,6.118,73.0,391.0,,,
2010-06-01,22144.664,265182.0,1083171.0,2923.42,35008.0,142994.0,7022.271000000001,84092.0,343483.0,22.797,273.0,1115.0,,,
2010-07-01,22583.517,270437.0,1091587.0,2986.547,35764.0,144356.0,8384.415,100403.0,405265.0,20.724,248.0,1002.0,,,
2010-08-01,25375.067,303866.0,1122588.0,2664.148,31903.0,117861.0,7760.383000000001,92931.0,343318.0,50.696000000000005,607.0,2243.0,,,
2010-09-01,23782.615,284797.0,1058005.0,2730.975,32703.0,121491.0,7354.966,88076.0,327197.0,9.772,117.0,435.0,,,
2010-10-01,19243.796000000002,230444.0,911612.0,4466.482,53486.0,211585.0,6390.061000000001,76521.0,302708.0,8.245000000000001,99.0,391.0,,,
2010-11-01,23174.653,277516.0,1107256.0,3014.579,36100.0,144033.0,7991.456,95698.0,381822.0,17.142,205.0,819.0,,,
2010-12-01,25789.637000000002,308831.0,1160005.0,3602.16,43136.0,162023.0,8447.917000000001,101164.0,379983.0,100.846,1208.0,4536.0,,,
2011-01-01,20220.868,242145.0,1048810.0,5547.848,66435.0,287754.0,7622.533,91280.0,395363.0,31.58,378.0,1638.0,,,
2011-02-01,20268.443,242714.0,1035524.0,4647.764,55657.0,237456.0,8358.923,100098.0,427061.0,13.564,162.0,693.0,,,
2011-03-01,21374.022,255954.0,1042417.0,4742.077,56786.0,231272.0,8919.141,106807.0,434989.0,0.0,0.0,0.0,,,
2011-04-01,19208.782,230025.0,1032641.0,4809.726,57596.0,258565.0,5705.186,68320.0,306704.0,10.43,125.0,561.0,,,
2011-05-01,22822.198,273296.0,1107697.0,3058.479,36625.0,148446.0,9299.875,111366.0,451378.0,0.0,0.0,0.0,,,
2011-06-01,24216.476,289992.0,1107883.0,2656.987,31817.0,121555.0,8887.408,106427.0,406591.0,0.0,0.0,0.0,,,
2011-07-01,24143.631,289120.0,1100932.0,3314.825,39695.0,151154.0,8082.583,96789.0,368560.0,0.0,0.0,0.0,,,
2011-08-01,20730.91,248252.0,963688.0,3107.143,37208.0,144437.0,9304.397,111420.0,432520.0,0.0,0.0,0.0,,,
2011-09-01,21484.776,257280.0,993538.0,3338.841,39983.0,154401.0,8509.789,101905.0,393525.0,0.0,0.0,0.0,,,
2011-10-01,15477.518,185343.0,803288.0,5635.911,67490.0,292506.0,6779.138,81180.0,351839.0,0.0,0.0,0.0,,,
2011-11-01,23212.87,277974.0,1055424.0,3464.787,41491.0,157534.0,8605.359,103049.0,391262.0,0.0,0.0,0.0,,,
2011-12-01,15918.847,190628.0,695627.0,3813.365,45665.0,166638.0,8389.502,100464.0,366607.0,0.0,0.0,0.0,,,
2012-01-01,18522.915,221812.0,916948.0,5948.347,71231.0,294463.0,7865.448,94189.0,389367.0,0.0,0.0,0.0,,,
2012-02-01,20951.363,250892.0,1027062.0,4953.512,59318.0,242827.0,7131.385,85398.0,349589.0,0.0,0.0,0.0,,,
2012-03-01,22593.968,270563.0,1056517.0,4142.795,49610.0,193721.0,8711.127,104316.0,407341.0,0.0,0.0,0.0,,,
2012-04-01,19042.512,228034.0,877879.0,4190.332,50179.0,193179.0,7618.138,91227.0,351204.0,0.0,0.0,0.0,,,
2012-05-01,22915.819,274417.0,1026353.0,4231.721,50675.0,189530.0,8259.364,98906.0,369920.0,0.0,0.0,0.0,,,
2012-06-01,17592.477,210670.0,952819.0,6539.232,78307.0,354169.0,3872.637,46375.0,209744.0,0.0,0.0,0.0,,,
2012-07-01,18469.466,221172.0,831720.0,4143.849,49623.0,186607.0,8116.573,97196.0,365507.0,0.0,0.0,0.0,,,
2012-08-01,21139.421,253144.0,907090.0,3934.975,47121.0,168849.0,9346.059,111919.0,401039.0,0.0,0.0,0.0,,,
2012-09-01,19438.126,232771.0,860222.0,3668.518,43930.0,162348.0,9011.165,107909.0,398784.0,0.0,0.0,0.0,,,
2012-10-01,15818.476,189426.0,794768.0,6450.59,77246.0,324097.0,6275.544,75150.0,315302.0,0.0,0.0,0.0,,,
2012-11-01,19762.669,236658.0,917366.0,4184.713,50112.0,194251.0,8348.343,99971.0,387523.0,0.0,0.0,0.0,,,
2012-12-01,20568.942,246313.0,1014984.0,5040.99,60366.0,248750.0,8534.802,102204.0,421154.0,0.0,0.0,0.0,,,
2013-01-01,19866.125,237897.0,975684.0,5341.051,63959.0,262315.0,8577.071,102710.0,421245.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,19282.444,230907.0,978578.0,3349.253,40107.0,169974.0,8917.903,106792.0,452581.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,22032.515,263839.0,1044951.0,4268.097,51110.0,202426.0,9244.153,110699.0,438429.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-01,20846.052,249631.0,1044509.0,3786.557,45344.0,189729.0,9228.951,110517.0,462425.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-01,22121.852,264909.0,1051623.0,4542.406,54395.0,215936.0,8197.724,98168.0,389701.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,18955.709,226994.0,1039685.0,3647.559,43679.0,200062.0,6626.92,79357.0,363474.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-01,21462.129,257009.0,1055843.0,4353.722,52136.0,214184.0,8604.604,103040.0,423309.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-01,23537.506,281861.0,1065712.0,3382.824,40509.0,153165.0,9074.345,108665.0,410861.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-01,21881.987,262037.0,1013694.0,3548.361,42492.0,164380.0,8447.979,101164.0,391357.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-01,8609.111,103094.0,632915.0,4508.062,53984.0,331419.0,3977.55,47631.0,292417.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-01,20818.898,249306.0,985797.0,5097.125,61038.0,241354.0,8470.899,101439.0,401106.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-01,21918.466,262473.0,1024342.0,6292.402,75351.0,294070.0,7459.648,89329.0,348621.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-01,23609.419,263354.0,1072961.0,6043.145,67409.0,274639.0,8928.436,99593.0,405764.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-01,21530.878,240168.0,930978.0,4206.967,46927.0,181906.0,9118.155,101709.0,394262.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-01,24925.053,278029.0,1112475.0,3990.301,44510.0,178098.0,9919.646,110650.0,442742.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01,20123.389,224468.0,923957.0,4857.321,54181.0,223022.0,8545.29,95319.0,392353.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-01,24745.871,276030.0,1119740.0,3384.026,37747.0,153126.0,9477.103,105713.0,428835.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-01,21333.402,237966.0,1053948.0,6344.277,70768.0,313431.0,6077.321,67790.0,300242.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-01,24152.712,269414.0,1071698.0,3379.989,37702.0,149976.0,9710.299,108314.0,430863.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-01,19142.904,213531.0,1085577.0,2762.359,30813.0,156651.0,6323.737,70539.0,358613.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-01,19830.572,221202.0,1085252.0,2071.997,23112.0,113393.0,5758.431,64233.0,315137.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-01,13688.494,152690.0,844286.0,3447.642,38457.0,212645.0,5214.864,58170.0,321645.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-01,23931.601,266947.0,1068199.0,3660.626,40833.0,163394.0,8907.773,99363.0,397603.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-01,19716.095,219925.0,937173.0,4705.736,52491.0,223680.0,8826.169,98452.0,419538.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,23459.291,261679.0,1010637.0,6438.534,71819.0,277375.0,9982.175,111347.0,430037.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,22319.768,248968.0,975916.0,4966.491,55399.0,217156.0,9145.741,102017.0,399891.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,22483.15,250790.0,1037907.0,5593.713,62396.0,258227.0,8438.137,94124.0,389536.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-01,23218.59,258994.0,1063573.0,3803.267,42424.0,174216.0,9596.143,107041.0,439570.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-01,22162.19,247210.0,1004093.0,4714.281,52586.0,213588.0,9718.529,108406.0,440313.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-01,18295.007,204073.0,808565.0,5403.786,60277.0,238826.0,8631.207,96278.0,381464.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,21059.986,234916.0,974312.0,3911.029,43626.0,180939.0,10146.985,113186.0,469437.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-01,20855.16,232631.0,987784.0,5995.909,66882.0,283990.0,7663.931,85488.0,362995.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-01,21166.063,236099.0,1049543.0,4084.385,45560.0,202529.0,8884.552,99104.0,440550.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-01,14494.873,161684.0,694383.0,4648.392,51851.0,222683.0,7197.735,80288.0,344811.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01,22057.24,246040.0,995909.0,4697.056,52394.0,212077.0,10091.704,112569.0,455652.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-01,20842.166,232486.0,942474.0,6262.57,69856.0,283191.0,10811.264,120595.0,488881.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,10616.622,61396.0,955946.0,2949.597,17058.0,265589.0,4776.781,27624.0,430113.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,11697.591,67648.0,959689.0,3212.293,18577.0,263542.0,4547.116,26296.0,373053.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,23334.07,134942.0,1046509.0,5091.911,29447.0,228367.0,10481.019,60612.0,470063.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,20929.709,121038.0,992899.0,4074.861,23565.0,193310.0,9832.43,56861.0,466447.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,23433.156,135515.0,1076441.0,3653.937,21131.0,167850.0,10950.907,63330.0,503048.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,20216.298,116912.0,974033.0,6067.84,35091.0,292352.0,7289.862,42158.0,351230.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-01,22604.5,130723.0,1058505.0,3189.702,18446.0,149365.0,10986.798,63537.0,514481.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-01,21507.115,124377.0,990865.0,3972.06,22971.0,182999.0,10971.825,63451.0,505488.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-01,22896.046,132409.0,1058981.0,2630.18,15210.0,121650.0,10293.774,59529.0,476105.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-01,17242.129,99712.0,878856.0,3206.681,18544.0,163449.0,9492.19,54894.0,483830.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-01,22364.324,129334.0,1040662.0,3027.85,17510.0,140893.0,10467.826,60536.0,487091.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-01,23081.598,133482.0,1054343.0,3316.449,19179.0,151492.0,11530.953,66684.0,526722.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,10607.378,61343.0,953972.0,2953.126,17078.0,265589.0,4782.496,27657.0,430113.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-01,11689.838,67603.0,957708.0,3214.096,18587.0,263320.0,4553.066,26331.0,373017.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-01,23320.411,134863.0,1044348.0,5090.033,29436.0,227945.0,10496.556,60702.0,470063.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-01,20960.056,121213.0,990849.0,4081.653,23604.0,192953.0,9795.291,56647.0,463055.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,23429.219,135492.0,1074218.0,3653.172,21126.0,167496.0,10955.609,63357.0,502309.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-01,21410.124,123816.0,972022.0,6427.555,37171.0,291812.0,7736.321,44740.0,351230.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,22534.224,130317.0,1056319.0,3180.474,18393.0,149089.0,11066.302,63997.0,518746.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,21501.376,124344.0,989501.0,3969.123,22954.0,182660.0,10980.501,63501.0,505326.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-01,22922.146,132560.0,1056795.0,2633.749,15231.0,121425.0,10264.105,59358.0,473213.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-01,19088.737,110391.0,1120802.0,2611.989,15105.0,153364.0,8240.274,47654.0,483830.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-01,22385.972,129459.0,1038513.0,3031.438,17531.0,140632.0,10442.59,60390.0,484445.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-01,23089.36,133527.0,1052166.0,3318.283,19190.0,151212.0,11521.357,66629.0,525020.0,0.0,0.0,0.0,0.0,0.0,0.0
