measured_on,Black Liquor Generation,Black Liquor Quantity Consumed For Electricity,Black Liquor Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Petroleum Coke Generation,Petroleum Coke Quantity Consumed For Electricity,Petroleum Coke Total Fuel Consumed,Tire-Derived Fuels Generation,Tire-Derived Fuels Quantity Consumed For Electricity,Tire-Derived Fuels Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2005-08-01,19616.36541,124409.11,770791.8,13533.43248,85830.49,531773.27,,,,,,,6036.20411,38282.26,237182.4
2005-09-01,17768.71583,112691.12,709353.3,10990.60588,69703.61,438761.17,,,,,,,6386.69829,40505.13,254966.4
2005-10-01,21949.75318,139207.71,790803.9,13083.52302,82977.12,471372.09,,,,,,,8510.5668,53974.94,306618.0
2005-11-01,21660.76363,137374.91,772058.7,14515.02119,92055.84,517361.65,,,,,,,7985.53118,50645.11,284629.8
2005-12-01,22215.43165,140892.67,803792.7,16631.60726,105479.45,601760.29,,,,,,,8793.44409,55768.97,318162.0
2006-01-01,21148.242,134124.44,759389.7,17231.03763,109281.11,618730.98,,,,,,,8250.96736,52328.53,296275.2
2006-02-01,19623.56264,124454.76,729697.5,15091.91246,95714.54,561189.17,,,,,,,6997.07591,44376.21,260184.6
2006-03-01,21884.2462,138792.26,823116.0,15840.93818,100464.95,595813.52,,,,,,,7189.00662,45593.46,270394.8
2006-04-01,21273.12817,134916.48,775121.4,14691.13864,93172.79,535295.79,,,,,,,6623.11818,42004.53,241324.2
2006-05-01,19401.14711,123044.18,753276.6,12359.19432,78383.35,479862.96,,,,,,,3551.81057,22525.97,137904.0
2006-06-01,20924.62318,132706.23,762329.4,11820.82589,74968.96,430658.32,,,,,,,7258.72793,46035.64,264451.2
2006-07-01,22115.34986,140257.94,801689.4,13788.67135,87449.25,499844.3,,,,,,,6963.77079,44164.99,252439.2
2006-08-01,23260.51136,147520.68,849905.4,11757.27604,74565.92,429593.84,,,,,,,7725.16659,48993.84,282266.4
2006-09-01,19300.50863,122405.91,744273.0,10580.7991,67104.57,408020.5,,,,,,,7247.73227,45965.9,279489.6
2006-10-01,22267.13291,141220.57,807999.3,15140.51332,96022.78,549398.26,,,,,,,7209.81176,45725.41,261619.8
2006-11-01,21735.32285,137847.77,788073.3,16124.71283,102264.68,584645.36,,,,,,,6980.21232,44269.26,253086.6
2006-12-01,21756.44634,137981.74,845022.3,16399.76397,104009.08,636968.28,,,,,,,9079.0267,57580.17,352630.2
2007-01-01,21368.674,135521.0,810164.0,18741.91,118863.0,710574.0,,,,,,,5979.975,37924.0,226723.0
2007-02-01,21618.696,137108.0,782514.0,14674.568,93067.0,531163.0,,,,,,,6009.87,38119.0,217534.0
2007-03-01,22899.336,145226.0,840557.0,15433.081,97878.0,566496.0,,,,,,,6722.939,42635.0,246776.0
2007-04-01,22374.556,141905.0,837495.0,15426.234,97835.0,577414.0,,,,,,,7527.292,47736.0,281752.0
2007-05-01,15725.807,99741.0,592614.0,14670.17,93039.0,552833.0,,,,,,,4003.8880000000004,25397.0,150883.0
2007-06-01,22692.372,143922.0,857347.0,11463.77,72704.0,433116.0,,,,,,,7601.542,48212.0,287196.0
2007-07-01,20499.92,130011.0,771075.0,11907.602,75519.0,447887.0,,,,,,,9256.053,58703.0,348153.0
2007-08-01,22051.116,139851.0,808491.0,10731.385,68059.0,393460.0,,,,,,,9770.312,61963.0,358223.0
2007-09-01,20935.48,132779.0,763387.0,10702.969000000001,67880.0,390271.0,,,,,,,9750.481,61838.0,355540.0
2007-10-01,23502.09,149051.0,896572.0,11338.057,71907.0,432531.0,,,,,,,9724.495,61675.0,370976.0
2007-11-01,23476.258,148892.0,881996.0,12062.532,76502.0,453186.0,,,,,,,8905.814,56480.0,334589.0
2007-12-01,25596.19,162335.0,964308.0,12216.889,77481.0,460258.0,,,,,,,10048.273,63726.0,378557.0
2008-01-01,16630.959000000003,105475.0,464110.0,17480.813000000002,110865.0,487827.0,1949.015,12361.0,54390.0,0.0,0.0,0.0,12209.651,77435.0,340727.0
2008-02-01,14770.533,93676.0,410043.0,16988.267,107741.0,471609.0,1782.006,11302.0,49470.0,0.0,0.0,0.0,10442.856,66230.0,289903.0
2008-03-01,17336.851000000002,109952.0,474846.0,14762.854,93628.0,404346.0,1864.2250000000001,11823.0,51060.0,0.0,0.0,0.0,13535.388,85843.0,370726.0
2008-04-01,17333.083,109928.0,480907.0,15913.498,100925.0,441521.0,1540.816,9772.0,42750.0,0.0,0.0,0.0,9728.27,61698.0,269911.0
2008-05-01,9947.169,63086.0,346643.0,10787.015,68412.0,375910.0,1108.803,7032.0,38640.0,0.0,0.0,0.0,5155.848,32699.0,179673.0
2008-06-01,17256.395,109442.0,454946.0,11905.599,75507.0,313878.0,2144.9770000000003,13604.0,56550.0,0.0,0.0,0.0,12524.003,79429.0,330182.0
2008-07-01,17456.127,110709.0,455091.0,11351.469000000001,71992.0,295939.0,2048.2870000000003,12990.0,53400.0,256.841,1629.0,6696.0,13646.859,86550.0,355781.0
2008-08-01,18575.904000000002,117810.0,488238.0,10527.761,66768.0,276706.0,2226.88,14123.0,58530.0,781.976,4959.0,20553.0,12743.093,80818.0,334932.0
2008-09-01,15747.653,99873.0,439425.0,13058.019,82815.0,364373.0,1593.31,10105.0,44460.0,725.447,4601.0,20243.0,10827.237000000001,68668.0,302125.0
2008-10-01,18803.261,119252.0,493168.0,12643.74,80188.0,331618.0,2040.583,12942.0,53520.0,874.644,5547.0,22940.0,13468.395,85418.0,353246.0
2008-11-01,18714.873,118692.0,488203.0,13704.546,86916.0,357502.0,2173.5480000000002,13785.0,56700.0,896.023,5683.0,23374.0,11990.163,76043.0,312780.0
