measured_on,"Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2005-06-01,21435.37978,105548.26,920889.2,561.23517,2763.53,24111.33,0.0,0.0,0.0,4877.38005,24016.32,209538.0
2005-07-01,22805.02778,112292.43,945771.2,1009.34527,4970.04,41859.62,27.343719999999998,134.64,1134.0,3631.50624,17881.61,150606.0
2005-08-01,22561.90272,111095.28,901053.2,1448.8878,7134.35,57864.14,316.69933,1559.43,12648.0,5148.91815,25353.38,205632.0
2005-09-01,21816.74213,107426.1,897468.8,292.68098,1441.17,12039.93,290.25176,1429.21,11940.0,6139.48113,30230.93,252558.0
2005-10-01,21241.43884,104593.29,899870.0,742.03677,3653.8,31435.57,254.93409,1255.3,10800.0,6313.23029,31086.48,267453.0
2005-11-01,22918.51711,112851.25,861276.8,578.58853,2848.98,21743.33,199.44144,982.05,7495.0,7438.30091,36626.35,279531.0
2005-12-01,25615.51882,126131.35,968808.8,1509.75923,7434.09,57100.86,129.55707999999998,637.94,4900.0,7363.01987,36255.66,278478.0
2006-01-01,23989.87412,118126.65,928997.6,1139.51228,5610.98,44127.13,0.0,0.0,0.0,7586.113600000001,37354.18,293769.0
2006-02-01,22187.78294,109253.11,826755.2,2047.88393,10083.82,76307.7,113.36027,558.19,4224.0,6094.40286,30008.97,227088.0
2006-03-01,25051.552900000002,123354.37,899208.8,1014.17052,4993.8,36402.98,150.94304,743.25,5418.0,7916.23553,38979.71,284148.0
2006-04-01,23793.64664,117160.41,834411.2,523.58295,2578.13,18361.35,179.98979,886.27,6312.0,7357.85263,36230.22,258030.0
2006-05-01,23067.36577,113584.19,822938.8,652.15227,3211.21,23265.83,212.75131,1047.59,7590.0,6152.96965,30297.35,219510.0
2006-06-01,20423.67589,100566.61,806234.8,800.52211,3941.79,31601.01,163.46848,804.92,6453.0,4947.60052,24362.09,195309.0
2006-07-01,24141.06165,118871.1,951142.0,272.38004,1341.21,10731.6,159.29199,784.36,6276.0,5483.69532,27001.83,216054.0
2006-08-01,25248.58096,124324.55,947546.0,340.80639,1678.14,12790.02,98.72448999999999,486.12,3705.0,6319.64617,31118.07,237168.0
2006-09-01,14653.57531,72154.51,644356.8,1182.77142,5823.99,52009.62,159.50817999999998,785.42,7014.0,5090.41209,25065.3,223839.0
2006-10-01,24519.49091,120734.49,910112.8,899.7141799999999,4430.21,33395.53,191.4708,942.81,7107.0,6590.10311,32449.81,244611.0
2006-11-01,26253.074,129270.69,949170.0,516.05378,2541.06,18657.73,169.52188999999998,834.73,6129.0,5889.20533,28998.57,212922.0
2006-12-01,25435.34234,125244.16,950678.0,422.38869,2079.85,15787.31,124.89211,614.97,4668.0,7543.37086,37143.72,281943.0
2007-01-01,19535.025,96187.0,973878.0,345.63,1702.0,17231.0,124.025,612.0,6183.0,5655.496,27846.0,281943.0
2007-02-01,23179.942,114144.0,877702.0,1325.715,6527.0,50198.0,171.215,843.0,6483.0,6291.844,30978.0,238239.0
2007-03-01,25305.018,124607.0,959123.0,702.1790000000001,3457.0,26614.0,171.836,846.0,6513.0,7088.64,34902.0,268677.0
2007-04-01,25519.083,125651.0,988100.0,641.505,3159.0,24839.0,137.526,678.0,5325.0,6205.161,30555.0,240264.0
2007-05-01,25857.109,127322.0,1040752.0,230.58700000000002,1136.0,9281.0,193.416,951.0,7785.0,5658.466,27864.0,227754.0
2007-06-01,24625.082000000002,121255.0,950318.0,197.311,971.0,7615.0,203.28300000000002,1002.0,7845.0,6013.1410000000005,29610.0,232056.0
2007-07-01,23140.206,113947.0,916307.0,415.401,2045.0,16449.0,186.07,915.0,7368.0,6133.256,30204.0,242865.0
2007-08-01,24402.816,120164.0,988993.0,152.797,752.0,6193.0,165.738,816.0,6717.0,4484.254,22077.0,181737.0
2007-09-01,17357.594,85469.0,700222.0,588.328,2897.0,23734.0,110.88,546.0,4473.0,4745.522,23364.0,191439.0
2007-10-01,26984.43,132866.0,969029.0,132.109,651.0,4744.0,193.73100000000002,954.0,6957.0,6336.722000000001,31203.0,227556.0
2007-11-01,24950.34,122856.0,922444.0,435.14300000000003,2143.0,16088.0,107.516,528.0,3975.0,6968.022,34308.0,257616.0
2007-12-01,25461.695,125373.0,970224.0,562.7810000000001,2771.0,21445.0,208.00300000000001,1023.0,7926.0,8429.549,41508.0,321210.0
2008-01-01,26914.611,127267.0,945231.0,842.326,3983.0,29582.0,264.98,1253.0,9306.0,10308.083,48742.0,362016.0
2008-02-01,23975.442,113369.0,847746.0,1705.23,8063.0,60295.0,226.11,1069.0,7995.0,8000.218000000001,37829.0,282879.0
2008-03-01,24434.359,115539.0,994141.0,1384.112,6545.0,56314.0,220.616,1043.0,8976.0,6520.9130000000005,30834.0,265311.0
2008-04-01,25290.420000000002,119587.0,963275.0,372.03900000000004,1759.0,14170.0,182.496,863.0,6951.0,7200.045,34046.0,274239.0
2008-05-01,22538.556,106574.0,927705.0,293.151,1386.0,12066.0,156.848,742.0,6456.0,6217.445000000001,29399.0,255915.0
2008-06-01,22487.649,106334.0,877634.0,149.30800000000002,706.0,5827.0,173.72400000000002,821.0,6780.0,5463.318,25834.0,213219.0
2008-07-01,26682.501,126169.0,938446.0,62.307,295.0,2191.0,1730.269,8182.0,60855.0,723.924,3423.0,25461.0
2008-08-01,22327.103,105575.0,946761.0,696.883,3295.0,29551.0,137.18,649.0,5817.0,4122.8330000000005,19495.0,174825.0
2008-09-01,13563.017,64133.0,565536.0,640.91,3031.0,26724.0,133.032,629.0,5547.0,3153.0420000000004,14909.0,131472.0
2008-10-01,27596.347999999998,130490.0,874069.0,670.2710000000001,3169.0,21230.0,260.092,1230.0,8238.0,5658.289000000001,26755.0,179217.0
2008-11-01,15418.08,72905.0,544514.0,2377.033,11240.0,83949.0,178.556,844.0,6306.0,3757.331,17767.0,132696.0
2008-12-01,15552.837,73542.0,599840.0,1858.576,8788.0,71681.0,121.656,575.0,4692.0,6512.932000000001,30797.0,251190.0
2009-01-01,20021.443,94672.0,582211.0,3177.007,15023.0,92385.0,3376.2110000000002,15965.0,98178.0,506.339,2394.0,14724.0
2009-02-01,17615.782,83297.0,592434.0,1144.328,5411.0,38485.0,8.385,40.0,282.0,8566.505000000001,40507.0,288099.0
2009-03-01,20397.786,96452.0,687792.0,1106.1490000000001,5230.0,37298.0,59.343,281.0,2001.0,9626.722,45520.0,324603.0
2009-04-01,22055.635000000002,104291.0,745269.0,708.479,3350.0,23940.0,123.585,584.0,4176.0,8322.301000000001,39352.0,281214.0
2009-05-01,22187.484,104914.0,757793.0,1273.3690000000001,6021.0,43491.0,199.83,945.0,6825.0,6739.317,31867.0,230175.0
2009-06-01,20341.654,96186.0,683572.0,750.063,3547.0,25205.0,150.78300000000002,713.0,5067.0,7168.5,33897.0,240894.0
2009-07-01,20867.866,98674.0,743751.0,1346.2620000000002,6366.0,47982.0,182.739,864.0,6513.0,4751.133,22466.0,169335.0
2009-08-01,23029.107,108894.0,824424.0,1650.178,7803.0,59075.0,211.765,1001.0,7581.0,4472.95,21151.0,160128.0
2009-09-01,2740.054,12956.0,92966.0,5.684,27.0,193.0,10.434000000000001,49.0,354.0,687.8280000000001,3252.0,23337.0
2009-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-01,2493.152,11789.0,86032.0,11.942,56.0,412.0,14.084000000000001,67.0,486.0,863.822,4085.0,29808.0
2009-12-01,23500.27,111122.0,847757.0,3064.356,14490.0,110545.0,144.119,681.0,5199.0,7139.255,33758.0,257544.0
2010-01-01,20634.044,97569.0,684848.0,1456.3310000000001,6886.0,48336.0,170.834,808.0,5670.0,7780.791,36792.0,258246.0
2010-02-01,18889.114,89318.0,539477.0,2906.338,13743.0,83006.0,164.39000000000001,777.0,4695.0,10294.158,48676.0,294003.0
2010-03-01,24458.347,115652.0,840558.0,1325.67,6268.0,45559.0,158.525,750.0,5448.0,8662.458,40961.0,297702.0
2010-04-01,23299.868,110174.0,850575.0,399.886,1891.0,14598.0,183.26,867.0,6690.0,7566.986000000001,35781.0,276237.0
2010-05-01,23571.947,111461.0,859164.0,949.6740000000001,4491.0,34614.0,125.68400000000001,594.0,4581.0,7367.695000000001,34838.0,268542.0
2010-06-01,24317.951,114988.0,859608.0,592.4630000000001,2801.0,20943.0,162.609,769.0,5748.0,7059.977000000001,33383.0,249561.0
2010-07-01,25913.616,122534.0,888240.0,1762.0320000000002,8332.0,60397.0,150.363,711.0,5154.0,6319.9890000000005,29884.0,216630.0
2010-08-01,22250.272,105211.0,813624.0,2519.464,11913.0,92129.0,144.967,685.0,5301.0,5807.2970000000005,27460.0,212355.0
2010-09-01,24729.919,116936.0,888672.0,273.199,1292.0,9817.0,132.99,629.0,4779.0,7843.892000000001,37090.0,281871.0
2010-10-01,14861.887,70275.0,504108.0,501.523,2371.0,17011.0,144.78400000000002,685.0,4911.0,5347.8060000000005,25287.0,181395.0
2010-11-01,14535.581,68732.0,483264.0,1667.958,7887.0,55455.0,109.81500000000001,519.0,3651.0,4529.646000000001,21419.0,150597.0
2010-12-01,22805.604,107837.0,881808.0,4635.1050000000005,21917.0,179222.0,6.9830000000000005,33.0,270.0,4117.308,19469.0,159201.0
2011-01-01,22614.976,106936.0,835644.0,2969.708,14042.0,109733.0,0.0,0.0,0.0,8326.316,39371.0,307665.0
2011-02-01,23509.571,111166.0,811728.0,2262.789,10700.0,78129.0,0.0,0.0,0.0,8071.64,38167.0,278694.0
2011-03-01,22841.853,108009.0,798864.0,3022.244,14291.0,105699.0,0.0,0.0,0.0,8195.903,38755.0,286641.0
2011-04-01,23380.713,110557.0,810048.0,5090.831,24072.0,176377.0,106.246,502.0,3681.0,4738.21,22405.0,164160.0
2011-05-01,22964.486,108588.0,783384.0,4333.637,20492.0,147833.0,146.514,693.0,4998.0,5739.363,27139.0,195786.0
2011-06-01,19532.096,92358.0,716184.0,2289.455,10826.0,83948.0,0.0,0.0,0.0,6978.449,32998.0,255879.0
2011-07-01,22380.14,105825.0,852684.0,458.102,2166.0,17454.0,0.0,0.0,0.0,6659.758,31491.0,253737.0
2011-08-01,15649.41,73999.0,609708.0,732.172,3462.0,28526.0,0.0,0.0,0.0,5038.418,23824.0,196299.0
2011-09-01,7015.08,33171.0,239076.0,174.381,825.0,5943.0,0.0,0.0,0.0,1627.539,7696.0,55467.0
2011-10-01,21963.528,103855.0,797136.0,587.713,2779.0,21330.0,32.32,153.0,1173.0,6689.439,31631.0,242784.0
2011-11-01,25992.14,122905.0,879228.0,1297.208,6134.0,43880.0,45.851,217.0,1551.0,8038.801,38012.0,271926.0
2011-12-01,25753.293,121775.0,873336.0,1921.201,9084.0,65151.0,45.206,214.0,1533.0,9292.3,43939.0,315117.0
2012-01-01,26859.966,127008.0,895140.0,3309.38,15649.0,110289.0,138.27,654.0,4608.0,8450.384,39958.0,281619.0
2012-02-01,18490.84,87435.0,662424.0,2032.75,9612.0,72822.0,92.786,439.0,3324.0,5869.624,27755.0,210276.0
2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,21163.247,100071.0,766488.0,340.743,1611.0,12341.0,106.853,505.0,3870.0,4972.157,23511.0,180081.0
2012-06-01,20872.601,98697.0,848868.0,1265.516,5984.0,51467.0,149.008,705.0,6060.0,5434.875,25699.0,221031.0
2012-07-01,23412.759,110708.0,915072.0,526.028,2487.0,20559.0,149.446,707.0,5841.0,5479.767,25911.0,214173.0
2012-08-01,6631.089,31355.0,242184.0,212.648,1006.0,7766.0,39.51,187.0,1443.0,1222.753,5782.0,44658.0
2012-09-01,10386.373,49112.0,627804.0,579.254,2739.0,35013.0,72.264,342.0,4368.0,1165.109,5509.0,70425.0
2012-10-01,17259.758,81613.0,967404.0,655.4,3099.0,36735.0,113.738,538.0,6375.0,3545.104,16763.0,198702.0
2012-11-01,16788.124,79383.0,981540.0,598.208,2829.0,34975.0,123.917,586.0,7245.0,3577.751,16918.0,209178.0
2012-12-01,17039.227,80571.0,998640.0,443.836,2099.0,26012.0,108.312,512.0,6348.0,4316.625,20411.0,252990.0
2013-01-01,14024.663,66316.0,907548.0,1106.133,5230.0,71579.0,106.211,502.0,6873.0,4234.993,20025.0,274050.0
2013-02-01,14962.185,70749.0,855648.0,785.248,3713.0,44906.0,87.869,415.0,5025.0,4302.698,20345.0,246060.0
2013-03-01,16384.214,77473.0,949668.0,1016.204,4805.0,58902.0,0.0,0.0,0.0,4139.582,19574.0,239940.0
2013-04-01,16076.231,76017.0,924924.0,1713.974,8105.0,98611.0,0.0,0.0,0.0,2534.795,11986.0,145836.0
2013-05-01,17102.152,80868.0,998244.0,630.107,2979.0,36779.0,0.0,0.0,0.0,2676.741,12657.0,156240.0
2013-06-01,13718.104,64867.0,797700.0,811.441,3837.0,47185.0,0.0,0.0,0.0,2553.455,12074.0,148482.0
2013-07-01,14610.345,69086.0,935724.0,1795.506,8490.0,114994.0,0.0,0.0,0.0,1136.149,5372.0,72765.0
2013-08-01,6338.393,29971.0,438084.0,891.011,4213.0,61583.0,0.0,0.0,0.0,473.596,2239.0,32733.0
2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-01,10071.148,47622.0,405132.0,909.727,4302.0,36596.0,0.0,0.0,0.0,2458.125,11623.0,98883.0
2013-11-01,26983.396,127592.0,954756.0,2061.988,9750.0,72960.0,0.0,0.0,0.0,8103.616,38318.0,286731.0
2013-12-01,25533.568,120736.0,927240.0,3132.506,14812.0,113756.0,0.0,0.0,0.0,8019.926,37923.0,291240.0
2014-01-01,26821.697,126827.0,949188.0,2941.492,13909.0,104096.0,0.0,0.0,0.0,9162.811,43327.0,324261.0
2014-02-01,21305.481,100744.0,768852.0,3816.527,18047.0,137727.0,0.0,0.0,0.0,8480.992,40103.0,306054.0
2014-03-01,25840.068,122186.0,915360.0,2137.989,10110.0,75736.0,0.0,0.0,0.0,9262.943,43800.0,328131.0
2014-04-01,24445.685,115592.0,912480.0,1407.414,6655.0,52534.0,0.0,0.0,0.0,7531.901,35615.0,281142.0
2014-05-01,26232.389,124041.0,950988.0,658.274,3113.0,23864.0,0.0,0.0,0.0,8009.337,37872.0,290358.0
2014-06-01,20704.201,97901.0,807084.0,2562.812,12118.0,99903.0,0.0,0.0,0.0,5532.987,26163.0,215685.0
2014-07-01,21667.376,102455.0,869820.0,1143.722,5408.0,45914.0,0.0,0.0,0.0,7577.902,35832.0,304209.0
2014-08-01,22546.264,106611.0,916644.0,952.085,4502.0,38708.0,0.0,0.0,0.0,6690.651,31637.0,272016.0
2014-09-01,2911.962,13769.0,554544.0,411.202,1944.0,78308.0,0.0,0.0,0.0,240.836,1139.0,45864.0
2014-10-01,22277.203,105339.0,896520.0,2683.594,12689.0,107998.0,0.0,0.0,0.0,5618.203,26566.0,226098.0
2014-11-01,24837.388,117445.0,876144.0,2989.292,14135.0,105448.0,0.0,0.0,0.0,9192.32,43466.0,324261.0
2014-12-01,21397.264,101178.0,840912.0,3142.839,14861.0,123514.0,0.0,0.0,0.0,8103.897,38320.0,318483.0
2015-01-01,25572.936,120923.0,909600.0,3176.623,15021.0,112989.0,0.0,0.0,0.0,9910.441,46862.0,352503.0
2015-02-01,22235.07,105139.0,812772.0,2141.632,10127.0,78284.0,0.0,0.0,0.0,9702.298,45878.0,354654.0
2015-03-01,22627.173,106993.0,849300.0,2557.631,12094.0,95999.0,0.0,0.0,0.0,8435.196,39886.0,316611.0
2015-04-01,24963.555,118041.0,859644.0,3769.817,17826.0,129817.0,0.0,0.0,0.0,7201.628,34053.0,247995.0
2015-05-01,24493.745,115820.0,889692.0,4065.378,19223.0,147668.0,0.0,0.0,0.0,6222.877,29425.0,226035.0
2015-06-01,24839.331,117454.0,917940.0,2070.214,9789.0,76505.0,0.0,0.0,0.0,6032.455,28525.0,222930.0
2015-07-01,24698.949,116790.0,942132.0,3167.845,14979.0,120836.0,0.0,0.0,0.0,5263.206,24887.0,200763.0
2015-08-01,20884.572,98753.0,947100.0,3775.971,17855.0,171238.0,0.0,0.0,0.0,2131.457,10079.0,96660.0
2015-09-01,8850.448,41850.0,508392.0,1126.13,5325.0,64688.0,0.0,0.0,0.0,3240.422,15322.0,186138.0
2015-10-01,14588.09,68980.0,1028436.0,554.851,2624.0,39116.0,0.0,0.0,0.0,2502.059,11831.0,176391.0
2015-11-01,26150.87,123655.0,954732.0,1011.619,4783.0,36933.0,0.0,0.0,0.0,8634.511,40829.0,315234.0
2015-12-01,21148.164,100000.0,943344.0,1107.392,5236.0,49397.0,0.0,0.0,0.0,6133.444,29002.0,273591.0
2016-01-01,26467.257,120408.0,962868.0,4070.969,18520.0,148100.0,0.0,0.0,0.0,8319.774,37849.0,302670.0
2016-02-01,22920.026,104271.0,939600.0,2397.234,10906.0,98274.0,0.0,0.0,0.0,6688.74,30429.0,274203.0
2016-03-01,24545.965,111668.0,967056.0,2872.609,13068.0,113174.0,0.0,0.0,0.0,9280.426,42220.0,365628.0
2016-04-01,25758.892,117186.0,935268.0,2827.176,12862.0,102651.0,0.0,0.0,0.0,8466.932,38519.0,307422.0
2016-05-01,13776.802,62675.0,806304.0,1557.635,7086.0,91162.0,0.0,0.0,0.0,3208.563,14597.0,187785.0
2016-06-01,24593.158,111882.0,962784.0,3404.391,15488.0,133277.0,0.0,0.0,0.0,2973.451,13527.0,116406.0
2016-07-01,23575.138,107251.0,925608.0,1849.682,8415.0,72622.0,0.0,0.0,0.0,6556.18,29826.0,257409.0
2016-08-01,24252.902,110335.0,933108.0,1341.39,6102.0,51609.0,0.0,0.0,0.0,7319.708,33300.0,281619.0
2016-09-01,21096.937,95977.0,883812.0,2348.7,10685.0,98394.0,0.0,0.0,0.0,4848.363,22057.0,203112.0
2016-10-01,19257.386,87608.0,933228.0,2362.242,10747.0,114476.0,0.0,0.0,0.0,3685.372,16766.0,178596.0
2016-11-01,24205.948,110121.0,922800.0,1836.285,8354.0,70004.0,0.0,0.0,0.0,7486.767,34060.0,285417.0
2016-12-01,22388.849,101854.0,957540.0,3604.297,16397.0,154151.0,0.0,0.0,0.0,5292.854,24079.0,226368.0
2017-01-01,23335.323,106160.0,912900.0,3381.606,15384.0,132292.0,,,,7964.071,36231.0,311562.0
2017-02-01,20173.762,91777.0,805260.0,2161.487,9833.0,86278.0,,,,7112.751,32358.0,283914.0
2017-03-01,16150.665,73475.0,648756.0,2170.212,9873.0,87175.0,,,,5888.123,26787.0,236520.0
2017-04-01,25899.063,117823.0,943932.0,596.665,2714.0,21746.0,,,,8402.272,38225.0,306234.0
2017-05-01,24369.261,110864.0,932964.0,496.43,2258.0,19006.0,,,,9320.309,42401.0,356823.0
2017-06-01,22559.875,102632.0,895968.0,750.701,3415.0,29814.0,,,,7641.424,34763.0,303480.0
2017-07-01,22537.044,102529.0,916716.0,491.661,2237.0,19999.0,,,,8141.295,37037.0,331155.0
2017-08-01,24707.653,112403.0,961308.0,526.867,2397.0,20499.0,,,,7968.48,36251.0,310032.0
2017-09-01,23430.237,106592.0,903960.0,850.321,3868.0,32806.0,,,,8910.442,40537.0,343773.0
2017-10-01,25758.005,117182.0,973320.0,1852.602,8428.0,70004.0,,,,8956.393,40746.0,338436.0
2017-11-01,20618.019,93798.0,838848.0,2549.702,11599.0,103735.0,,,,8638.279,39298.0,351450.0
2017-12-01,21421.1,97452.0,915864.0,2837.165,12907.0,121304.0,,,,8193.735,37276.0,350325.0
2018-01-01,15387.888,70005.0,862164.0,2646.253,12039.0,148266.0,,,,6085.859,27687.0,340983.0
2018-02-01,15464.4,70353.0,793380.0,2086.317,9491.0,107036.0,,,,5416.283,24640.0,277875.0
2018-03-01,22176.615,100889.0,877068.0,2424.593,11030.0,95891.0,,,,9551.792,43454.0,377766.0
2018-04-01,23459.327,106724.0,962292.0,1055.87,4804.0,43311.0,,,,8528.803,38800.0,349848.0
2018-05-01,22763.377,103558.0,951552.0,854.046,3885.0,35701.0,,,,6618.577,30110.0,276669.0
2018-06-01,23928.73,108860.0,932724.0,483.242,2198.0,18836.0,,,,6416.028,29189.0,250092.0
2018-07-01,21057.182,95796.0,929052.0,765.792,3484.0,33787.0,,,,5977.026,27191.0,263709.0
2018-08-01,17601.486,80075.0,975948.0,645.481,2937.0,35790.0,,,,3594.033,16350.0,199278.0
2018-09-01,11415.634,51934.0,505020.0,1251.612,5694.0,55371.0,,,,5167.754,23510.0,228618.0
2018-10-01,23342.517,106193.0,934188.0,606.612,2760.0,24277.0,,,,8582.871,39046.0,343494.0
2018-11-01,22576.48,102708.0,919032.0,1690.032,7689.0,68797.0,,,,8167.488,37157.0,332478.0
2018-12-01,26124.299,118848.0,945528.0,3893.271,17712.0,140911.0,,,,7457.43,33926.0,269910.0
2019-01-01,23975.845,109074.0,911088.0,4136.334,18818.0,157182.0,,,,7341.821,33400.0,278991.0
2019-02-01,21656.041,98521.0,806556.0,4247.385,19323.0,158189.0,,,,5742.574,26125.0,213876.0
2019-03-01,17991.244,81848.0,868212.0,2216.142,10082.0,106945.0,,,,5431.614,24710.0,262116.0
2019-04-01,0.0,0.0,956484.0,0.0,0.0,120814.0,,,,0.0,0.0,9945.0
2019-05-01,11229.995,51089.0,959064.0,1169.157,5319.0,99848.0,,,,1290.848,5872.0,110241.0
2019-06-01,21998.899,100080.0,891204.0,1319.806,6004.0,53467.0,,,,6906.295,31419.0,279783.0
2019-07-01,15410.081,70106.0,847308.0,1104.172,5023.0,60712.0,,,,4879.747,22200.0,268308.0
