measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Municiapl Landfill Gas Generation,Municiapl Landfill Gas Quantity Consumed For Electricity,Municiapl Landfill Gas Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2018-04-01,22.298,232.0,232.0,0.0,0.0,0.0,1522.702,15843.0,15843.0
2018-05-01,21.077,232.0,232.0,0.0,0.0,0.0,1335.923,14705.0,14705.0
2018-06-01,41.778,423.0,423.0,0.0,0.0,0.0,1662.222,16846.0,16846.0
2018-07-01,27.894,290.0,290.0,0.0,0.0,0.0,1573.106,16355.0,16355.0
2018-08-01,15.792,128.0,128.0,0.0,0.0,0.0,668.208,5399.0,5399.0
2018-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-01,10.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-01,53.221,418.0,418.0,0.0,0.0,0.0,1336.779,10489.0,10489.0
2018-12-01,46.805,371.0,371.0,0.0,0.0,0.0,1656.195,13135.0,13135.0
2019-01-01,45.094,348.0,348.0,0.0,0.0,0.0,1750.906,13512.0,13512.0
2019-02-01,35.649,273.0,273.0,0.0,0.0,0.0,1446.351,11060.0,11060.0
2019-03-01,73.525,574.0,574.0,0.0,0.0,0.0,1695.475,13241.0,13241.0
2019-04-01,27.332,209.0,209.0,0.0,0.0,0.0,1293.668,9883.0,9883.0
2019-05-01,28.623,261.0,261.0,0.0,0.0,0.0,1347.377,12286.0,12286.0
2019-06-01,33.234,307.0,307.0,0.0,0.0,0.0,1654.766,15306.0,15306.0
2019-07-01,30.289,278.0,278.0,0.0,0.0,0.0,1553.711,14281.0,14281.0
2019-08-01,31.064,284.0,284.0,0.0,0.0,0.0,1628.936,14903.0,14903.0
2019-09-01,21.962,197.0,197.0,0.0,0.0,0.0,1109.038,9958.0,9958.0
2019-10-01,21.351,197.0,197.0,0.0,0.0,0.0,1109.649,10249.0,10249.0
2019-11-01,24.255,220.0,220.0,0.0,0.0,0.0,981.745,8921.0,8921.0
2019-12-01,64.139,574.0,574.0,0.0,0.0,0.0,1569.861,14054.0,14054.0
2020-01-01,33.208,296.0,296.0,0.0,0.0,0.0,1761.792,15693.0,15693.0
2020-02-01,31.84,284.0,284.0,0.0,0.0,0.0,1637.16,14613.0,14613.0
2020-03-01,65.004,592.0,592.0,0.0,0.0,0.0,1356.996,12350.0,12350.0
2020-04-01,26.54,249.0,249.0,0.0,0.0,0.0,1243.46,11685.0,11685.0
2020-05-01,11.42,104.0,104.0,0.0,0.0,0.0,603.58,5518.0,5518.0
2020-06-01,27.955,267.0,267.0,0.0,0.0,0.0,1382.045,13190.0,13190.0
2020-07-01,32.815,296.0,296.0,0.0,0.0,0.0,1574.185,14190.0,14190.0
2020-08-01,31.824,296.0,296.0,0.0,0.0,0.0,1694.176,15747.0,15747.0
2020-09-01,30.451,290.0,290.0,0.0,0.0,0.0,1629.549,15519.0,15519.0
2020-10-01,25.133,232.0,232.0,0.0,0.0,0.0,1369.867,12645.0,12645.0
2020-11-01,22.989,215.0,215.0,0.0,0.0,0.0,988.011,9223.0,9223.0
2020-12-01,33.086,307.0,307.0,0.0,0.0,0.0,1665.914,15478.0,15478.0
2021-01-01,32.051,296.0,296.0,0.0,0.0,0.0,1703.949,15726.0,15726.0
2021-02-01,29.432,267.0,267.0,0.0,0.0,0.0,1488.568,13494.0,13494.0
2021-03-01,32.348,290.0,290.0,0.0,0.0,0.0,1685.652,15112.0,15112.0
2021-04-01,32.016,296.0,296.0,0.0,0.0,0.0,1702.984,15734.0,15734.0
2021-05-01,30.87,290.0,290.0,0.0,0.0,0.0,1575.13,14797.0,14797.0
2021-06-01,30.025,278.0,278.0,0.0,0.0,0.0,1675.975,15540.0,15540.0
2021-07-01,32.105,296.0,296.0,0.0,0.0,0.0,1709.895,15754.0,15754.0
2021-08-01,21.487,197.0,197.0,0.0,0.0,0.0,1066.513,9788.0,9788.0
2021-09-01,29.511,278.0,278.0,0.0,0.0,0.0,1709.489,16127.0,16127.0
2021-10-01,31.665,296.0,296.0,0.0,0.0,0.0,1534.335,14333.0,14333.0
2021-11-01,26.41,232.0,232.0,0.0,0.0,0.0,1114.59,9791.0,9791.0
2021-12-01,16.306,151.0,151.0,0.0,0.0,0.0,865.694,8006.0,8006.0
2022-01-01,23.028,209.0,209.0,0.0,0.0,0.0,1103.972,10010.0,10010.0
2022-02-01,29.042,261.0,261.0,0.0,0.0,0.0,1597.958,14361.0,14361.0
2022-03-01,17.02,157.0,157.0,0.0,0.0,0.0,900.98,8290.0,8290.0
2022-04-01,29.927,278.0,278.0,0.0,0.0,0.0,1713.073,15936.0,15936.0
2022-05-01,5.045,46.0,46.0,0.0,0.0,0.0,265.955,2446.0,2446.0
2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,2.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
