measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2004-07-01,,,,508.525,4900.15,6249.58,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-01,,,,502.76300000000003,4844.62,6178.78,0.0,0.0,0.0,0.0,0.0,0.0
2004-09-01,,,,364.33,3510.68,4477.45,0.0,0.0,1224.66,0.0,0.0,0.0
2004-10-01,,,,254.00300000000001,2447.57,3121.57,0.0,0.0,0.0,0.0,0.0,0.0
2004-11-01,,,,249.49200000000002,2404.11,3066.17,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-01,,,,410.923,3959.65,5050.05,0.0,0.0,5044.74,0.0,0.0,0.0
2005-01-01,,,,910.9440000000001,8777.86,10318.27,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-01,,,,209.681,2020.49,2375.05,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-01,,,,179.93200000000002,1733.82,2038.1,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-01,,,,180.03400000000002,1734.81,2039.22,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-01,,,,181.518,1749.11,2056.03,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-01,,,,219.88400000000001,2118.81,2490.63,0.0,0.0,0.0,0.0,0.0,0.0
2005-07-01,,,,416.43600000000004,4012.78,4716.99,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-01,,,,368.841,3554.15,4177.85,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-01,,,,205.232,1977.61,2324.66,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-01,,,,287.738,2772.64,3259.22,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-01,,,,193.751,1866.98,2194.62,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-01,,,,530.7280000000001,5114.09,6011.57,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-01,,,,311.767,3004.18,4723.24,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-01,,,,390.81100000000004,3765.86,5920.7,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-01,,,,711.5840000000001,6856.82,10780.39,0.0,0.0,0.0,0.0,0.0,0.0
2006-04-01,,,,337.398,3251.17,5111.54,0.0,0.0,0.0,0.0,0.0,0.0
2006-05-01,,,,233.031,2245.48,3530.4,0.0,0.0,0.0,0.0,0.0,0.0
2006-06-01,,,,224.355,2161.89,3398.95,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-01,,,,278.11400000000003,2679.91,4213.39,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-01,,,,295.942,2851.7,4483.49,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-01,,,,173.01600000000002,1667.18,2621.14,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-01,,,,172.265,1659.95,2609.81,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-01,,,,279.93100000000004,2697.42,4240.89,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-01,,,,311.865,3005.13,4724.72,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-01,0.0,0.0,0.0,545.428,5148.0,6089.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-01,0.0,0.0,0.0,709.0160000000001,6694.0,7915.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-01,0.0,0.0,0.0,377.423,3564.0,4213.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-01,0.0,0.0,0.0,223.805,2112.0,2497.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0,174.822,1650.0,1953.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-01,0.0,0.0,0.0,278.821,2635.0,3113.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-01,0.0,0.0,0.0,236.222,2233.0,2635.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-01,0.0,0.0,0.0,283.759,2679.0,3168.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-01,0.0,0.0,0.0,219.566,2074.0,2453.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-10-01,0.0,0.0,0.0,169.874,1606.0,1898.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-11-01,0.0,0.0,0.0,168.376,1590.0,1881.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-01,0.0,0.0,0.0,314.88800000000003,2976.0,3515.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-01,0.0,0.0,0.0,416.25800000000004,4039.0,5010.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-01,0.0,0.0,0.0,348.201,3379.0,4200.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-01,0.0,0.0,0.0,298.77,2899.0,3606.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-01,0.0,0.0,0.0,162.56300000000002,1578.0,1962.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-01,0.0,0.0,0.0,149.81400000000002,1454.0,1806.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-01,0.0,0.0,0.0,340.04400000000004,3300.0,4104.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-01,0.0,0.0,0.0,311.713,3025.0,3762.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-01,0.0,0.0,0.0,258.278,2506.0,3114.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-01,0.0,0.0,0.0,328.577,3189.0,3966.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-01,0.0,0.0,0.0,188.209,1826.0,2268.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,229.163,2224.0,2766.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0,370.41,3595.0,4470.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-01,0.0,0.0,0.0,1342.601,12928.0,15312.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,556.562,5359.0,6347.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0,580.5310000000001,5590.0,6622.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0,74.789,720.0,853.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0,118.632,1142.0,1353.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-06-01,0.0,0.0,0.0,52.093,502.0,594.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-07-01,0.0,0.0,0.0,40.283,388.0,462.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-08-01,0.0,0.0,0.0,178.32600000000002,1717.0,2035.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-09-01,0.0,0.0,0.0,23.689,228.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-10-01,0.0,0.0,0.0,29.27,282.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-01,0.0,0.0,0.0,69.417,668.0,792.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-01,0.0,0.0,0.0,184.80700000000002,1780.0,2107.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-01,0.0,0.0,0.0,180.394,2010.0,2445.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-01,0.0,0.0,0.0,78.096,870.0,1060.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-01,0.0,0.0,0.0,197.72400000000002,2203.0,2679.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-01,0.0,0.0,0.0,81.11,904.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,0.0,0.0,0.0,175.78900000000002,1959.0,2383.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-01,0.0,0.0,0.0,153.406,1710.0,2081.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-01,0.0,0.0,0.0,851.5790000000001,9490.0,11548.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-01,0.0,0.0,0.0,255.12,2843.0,3460.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-01,0.0,0.0,0.0,343.432,3827.0,4657.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-01,0.0,0.0,0.0,319.379,3559.0,4332.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-01,0.0,0.0,0.0,72.452,807.0,980.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-01,0.0,0.0,0.0,234.519,2613.0,3181.0,0.0,0.0,0.0,0.0,0.0,0.0
