measured_on,Black Liquor Generation,Black Liquor Quantity Consumed For Electricity,Black Liquor Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2003-06-01,9723.0,197132.0,376141.0,1207.0,24478.0,46707.0
2003-07-01,10335.0,304358.0,398912.0,835.0,24574.0,32209.0
2003-08-01,8660.0,162068.0,330150.0,720.0,13475.0,27450.0
2003-09-01,19053.0,292566.0,413440.0,1067.0,16385.0,23154.0
2004-01-01,10282.0202,83242.43,422941.75,399.21880000000004,3232.04,16421.51
2004-02-01,10282.02148,83242.43,422941.75,497.84551999999996,4030.52,20478.43
2004-03-01,10282.02162,83242.44,422941.75,631.87738,5115.63,25991.71
2004-04-01,10282.02149,83242.44,422941.75,605.23451,4899.93,24895.78
2004-05-01,10282.02249,83242.44,422941.75,689.10051,5578.9,28345.53
2004-06-01,10282.02131,83242.44,422941.75,595.28169,4819.35,24486.38
2004-07-01,10282.02518,83242.47,422941.75,1144.36882,9264.72,47072.57
2004-08-01,10282.02531,83242.47,422941.75,1070.79069,8669.04,44046.0
2004-09-01,10282.02411,83242.46,422941.75,956.88189,7746.84,39360.47
2004-10-01,10282.02249,83242.45,422941.75,685.43251,5549.21,28194.65
2004-11-01,10282.02218,83242.44,422941.75,676.77982,5479.16,27838.73
2004-12-01,10282.0213,83242.44,422941.75,579.3307,4690.22,23830.25
2005-01-01,8367.49599,67742.59,363033.73,850.23401,6883.43,36888.41
2005-02-01,7530.48316,60966.2,326718.98,767.42484,6213.01,33295.64
2005-03-01,8038.89617,65082.28,348777.09,828.20683,6705.1,35932.74
2005-04-01,7917.19033,64096.95,343496.7,832.18467,6737.3,36105.32
2005-05-01,7929.31461,64195.12,344022.66,913.99339,7399.62,39654.68
2005-06-01,8210.42957,66471.0,356219.14,1173.97143,9504.38,50934.13
2005-07-01,8556.99591,69276.77,371255.17,1503.29309,12170.54,65222.11
2005-08-01,8450.63308,68415.67,366640.51,1557.88992,12612.56,67590.86
2005-09-01,8154.60183,66019.01,353796.99,1174.98117,9512.56,50977.94
2005-10-01,8322.95673,67382.01,361101.31,912.01227,7383.58,39568.73
2005-11-01,8064.48959,65289.48,349887.49,813.73241,6587.91,35304.75
2005-12-01,8212.11217,66484.62,356292.22,928.44483,7516.62,40281.68
2006-01-01,10208.96636,82650.99,411205.76,1049.11164,8493.53,42257.04
2006-02-01,8843.87599,71599.33,356221.44,924.97501,7488.53,37256.96
2006-03-01,9397.32026,76079.97,378513.66,1024.53474,8294.55,41267.13
2006-04-01,9394.03124,76053.34,378381.18,976.17876,7903.07,39319.4
2006-05-01,9330.91915,75542.39,375839.1,1137.81685,9211.68,45830.0
2006-06-01,9575.29605,77520.84,385682.3,1206.03095,9763.93,48577.59
2006-07-01,10422.96338,84383.5,419825.41,1357.93762,10993.76,54696.22
2006-08-01,10219.97005,82740.07,411649.15,1402.83195,11357.22,56504.53
2006-09-01,9839.84563,79662.62,396338.05,1142.23737,9247.46,46008.05
2006-10-01,9382.57318,75960.57,377919.62,1197.39282,9694.0,48229.65
2006-11-01,9331.64253,75548.25,375868.16,1011.45747,8188.68,40740.38
2006-12-01,10003.51348,80987.67,402930.43,1134.23852,9182.71,45685.87
2007-01-01,12891.994,101222.0,461146.0,1.006,8.0,36.0
2007-02-01,11645.894,92506.0,421120.0,1.106,9.0,40.0
2007-03-01,12654.785,99661.0,448000.0,1.215,10.0,43.0
2007-04-01,7040.501,55104.0,239578.0,1.499,12.0,51.0
2007-05-01,11870.105,92429.0,464000.0,0.895,7.0,35.0
2007-06-01,10763.075,83725.0,430720.0,0.925,7.0,37.0
2007-07-01,11642.443,90573.0,460019.0,0.557,4.0,22.0
2007-08-01,11392.318,88627.0,450701.0,0.682,5.0,27.0
2007-09-01,10852.909,84429.0,348160.0,1.091,8.0,35.0
2007-10-01,11122.653,86592.0,421120.0,1.347,10.0,51.0
2007-11-01,10885.929,84813.0,416640.0,1.071,8.0,41.0
2007-12-01,11800.442,91802.0,408960.0,1.558,12.0,54.0
