measured_on,"Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed","Wind - Wind Turbine, Onshore - Wind - Generation","Wind - Wind Turbine, Onshore - Wind - Quantity Consumed For Electricity","Wind - Wind Turbine, Onshore - Wind - Total Fuel Consumed"
2021-11-01,-15.346,0.0,0.0,5451.816,48216.0,48216.0
2021-12-01,-16.658,0.0,0.0,10018.127,88600.0,88600.0
2022-01-01,-15.173,0.0,0.0,2942.243,10039.0,10039.0
2022-02-01,-14.178,0.0,0.0,4890.526,16686.0,16686.0
2022-03-01,-15.134,0.0,0.0,5875.837,20048.0,20048.0
2022-04-01,-14.463,0.0,0.0,11167.406,38103.0,38103.0
2022-05-01,-15.015,0.0,0.0,8146.972,27797.0,27797.0
2022-06-01,-15.041,0.0,0.0,8504.056,29016.0,29016.0
2022-07-01,-15.764,0.0,0.0,12762.749,43546.0,43546.0
2022-08-01,-15.103,0.0,0.0,7841.596,26756.0,26756.0
2022-09-01,-13.997,0.0,0.0,6754.132,23045.0,23045.0
2022-10-01,-14.222,0.0,0.0,5598.566,19102.0,19102.0
2022-11-01,-14.449,0.0,0.0,9731.867,33205.0,33205.0
2022-12-01,-14.461,0.0,0.0,6664.05,22738.0,22738.0
2023-01-01,-15.0,0.0,0.0,3380.0,11533.0,11533.0
2023-02-01,-19.0,0.0,0.0,8626.0,29432.0,29432.0
2023-03-01,-15.0,0.0,0.0,6388.0,21796.0,21796.0
2023-04-01,-15.0,0.0,0.0,6947.0,23703.0,23703.0
2023-05-01,-14.0,0.0,0.0,6034.0,20588.0,20588.0
2023-06-01,-11.0,0.0,0.0,9171.0,31291.0,31291.0
2023-07-01,-7.0,0.0,0.0,10252.0,34980.0,34980.0
2023-08-01,-10.0,0.0,0.0,7371.0,25150.0,25150.0
2023-09-01,-10.0,0.0,0.0,8205.0,27995.0,27995.0
2023-10-01,-9.0,0.0,0.0,3463.0,11816.0,11816.0
2023-11-01,-18.0,0.0,0.0,8101.0,27641.0,27641.0
2023-12-01,-9.0,0.0,0.0,5770.0,19687.0,19687.0
2024-01-01,-9.0,0.0,0.0,4121.0,14061.0,14061.0
2024-02-01,-9.0,0.0,0.0,6889.0,23505.0,23505.0
2024-03-01,-8.0,0.0,0.0,6973.0,23792.0,23792.0
2024-04-01,-4.0,0.0,0.0,6349.0,21663.0,21663.0
2024-05-01,-11.0,0.0,0.0,9932.0,33888.0,33888.0
2024-06-01,-8.0,0.0,0.0,9302.0,31738.0,31738.0
2024-07-01,-8.0,0.0,0.0,7951.0,27129.0,27129.0
2024-08-01,-7.0,0.0,0.0,7603.0,25941.0,25941.0
2024-09-01,-5.0,0.0,0.0,8802.0,30032.0,30032.0
2024-10-01,-53.0,0.0,0.0,7124.0,24307.0,24307.0
2024-11-01,-4.0,0.0,0.0,7122.0,24300.0,24300.0
2024-12-01,-4.0,0.0,0.0,5131.0,17507.0,17507.0
