measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2004-03-01,0.0,0.0,0.0,26883.0309,161120.34,701998.0,0.0,0.0,0.0,13062.42,70219.43,245241.52,883.2446199999999,5293.62,23064.21,2.66533,15.97,69.6,927.5055000000001,5558.9,24220.0,1648.94548,9882.76,43059.0,13049.60417,78211.3,340765.0
2004-04-01,0.0,0.0,0.0,29163.37373,174787.31,690954.0,0.0,0.0,0.0,12276.46,65994.36,206037.29,461.11604,2763.65,10925.0,23.25628,139.38,551.0,1264.19613,7576.81,29952.0,1195.90455,7167.52,28334.0,10981.77528,65818.0,260186.0
2004-05-01,0.0,0.0,0.0,16876.541100000002,101147.6,458557.0,0.0,0.0,0.0,13091.82,70377.48,154727.38,1948.35072,11677.21,52939.16,83.89009,502.79,2279.4,882.40273,5288.58,23976.0,1299.49775,7788.39,35309.0,9383.4786,56238.79,254961.0
2004-06-01,0.0,0.0,0.0,32439.77374,194424.03,718311.0,0.0,0.0,0.0,12234.32,65767.83,248846.72,875.30306,5246.03,19381.76,21.740589999999997,130.3,481.4,785.26263,4706.38,17388.0,993.99761,5957.41,22010.0,9553.23836,57256.23,211536.5
2004-07-01,0.0,0.0,0.0,27739.3063,166252.33,701635.0,0.0,0.0,0.0,11330.76,60910.58,234751.49,1283.45091,7692.21,32463.47,41.04548,246.0,1038.2,2269.48077,13601.87,57404.0,1729.31082,10364.42,43741.0,11216.83872,67226.83,283717.5
2004-08-01,0.0,0.0,0.0,29273.71549,175448.63,718047.0,0.0,0.0,0.0,10569.3,56817.21,219661.16,654.38584,3921.99,16051.25,44.92691,269.26,1102.0,1969.60887,11804.62,48312.0,1640.44382,9831.81,40238.0,13931.60307,83497.45,341724.5
2004-09-01,0.0,0.0,0.0,29090.73718,174351.98,715110.0,0.0,0.0,0.0,8892.52,47803.37,204241.1,464.2855,2782.64,11413.09,54.975069999999995,329.49,1351.4,1677.48408,10053.81,41236.0,1261.0827000000002,7558.15,31000.0,11262.24147,67498.94,276849.0
2004-10-01,0.0,0.0,0.0,28558.51999,171162.19,725725.0,0.0,0.0,0.0,4356.1,23417.01,123772.63,702.07552,4207.81,17841.04,66.41781999999999,398.07,1687.8,1473.95766,8833.99,37456.0,653.86802,3918.88,16616.0,8564.703,51331.56,217645.0
2004-11-01,0.0,0.0,0.0,27863.69962,166997.86,737418.0,0.0,0.0,0.0,522.34,2807.93,15297.05,579.67984,3474.24,15341.34,4.38312,26.27,116.0,1572.02748,9421.77,41604.0,1322.45432,7925.98,34999.0,11079.00762,66400.75,293208.0
2004-12-01,0.0,0.0,0.0,27677.85356,165884.01,748429.0,0.0,0.0,0.0,4967.62,26704.35,129333.27,595.27089,3567.69,16096.55,7.72169,46.28,208.8,1194.49496,7159.07,32300.0,3049.47537,18276.68,82460.0,11117.93752,66634.07,300637.0
2005-01-01,,,,26839.12588,160857.2,751256.0,,,,1770.86,9519.58,47479.64,750.12544,4495.79,20996.82,6.00906,36.01,168.2,671.21394,4022.84,18788.0,2553.88543,15306.42,71486.0,9794.56826,58702.61,274160.5
2005-02-01,,,,21990.08814,131795.05,644468.0,,,,3175.2,17068.87,94291.64,523.43893,3137.17,15340.53,23.55052,141.15,690.2,659.90601,3955.07,19340.0,1912.43081,11461.93,56048.0,10769.31459,64544.64,315618.5
2005-03-01,,,,24341.29857,145886.76,732490.0,,,,2967.44,15952.02,63735.53,283.50392,1699.15,8531.34,22.935959999999998,137.46,690.2,940.56726,5637.18,28304.0,2507.40398,15027.84,75454.0,12926.38631,77472.8,388987.0
2005-04-01,,,,24854.2748,148961.23,722964.0,,,,0.0,0.0,8584.67,858.76796,5146.93,24979.94,14.156979999999999,84.85,411.8,1019.2479000000001,6108.74,29648.0,1011.37527,6061.56,29419.0,10768.45308,64539.48,313234.0
2005-05-01,,,,16304.93726,97721.76,492580.0,,,,0.0,0.0,0.0,687.06486,4117.84,20756.56,109.62421,657.02,3311.8,837.98731,5022.38,25316.0,1349.3661299999999,8087.27,40765.0,11516.48324,69022.71,347918.5
2005-06-01,,,,22049.56083,132151.5,708466.0,,,,3327.1,17885.44,76258.16,989.74751,5931.94,31801.2,27.97954,167.69,899.0,672.1315000000001,4028.34,21596.0,1794.55002,10755.43,57660.0,11252.24259,67439.02,361541.5
2005-07-01,,,,22879.08325,137123.14,673728.0,,,,2780.26,14945.8,63719.02,942.64446,5649.63,27758.37,46.876909999999995,280.95,1380.4,685.69875,4109.66,20192.0,152.6454,914.86,4495.0,8101.70123,48556.61,238573.5
2005-08-01,,,,26073.80425,156270.33,682055.0,,,,1348.48,7249.0,29652.27,2157.4590000000003,12930.48,56436.17,73.83413999999999,442.52,1931.4,1193.94632,7155.78,31232.0,790.44659,4737.45,20677.0,11374.08569,68169.27,297530.5
2005-09-01,,,,25856.28646,154966.67,740069.0,,,,207.76,1116.85,5657.17,2120.05303,12706.29,60681.01,74.57096,446.93,2134.4,1029.40351,6169.61,29464.0,137.54961,824.39,3937.0,8590.10744,51483.82,245869.5
2005-10-01,,,,22615.96557,135546.18,743677.0,,,,239.12,1285.43,6162.09,1249.7820000000002,7490.42,41096.37,41.97935,251.6,1380.4,954.78394,5722.39,31396.0,0.0,0.0,0.0,6928.22014,41523.49,227819.5
2005-11-01,,,,27326.97127,163781.04,744964.0,,,,0.0,0.0,820.85,2921.93039,17512.25,79655.11,12.76543,76.51,348.0,704.15287,4220.26,19196.0,0.0,0.0,0.0,5455.47904,32696.78,148722.5
2005-12-01,,,,27246.79364,163300.51,746515.0,,,,426.3,2291.65,13066.96,2307.3318,13828.73,63216.9,89.75748999999999,537.95,2459.2,1148.83167,6885.39,31476.0,491.05291,2943.07,13454.0,9486.73048,56857.62,259920.0
2006-01-01,,,,26825.84799,160777.62,791505.0,,,,0.0,0.0,957.74,436.05352,2613.44,12865.89,23.392400000000002,140.2,690.2,1298.34251,7781.47,38308.0,1186.19321,7109.31,34999.0,9303.81638,55761.35,274512.0
2006-02-01,,,,18031.47806,108069.58,666754.0,,,,880.04,4730.82,20771.57,229.81560000000002,1377.37,8497.94,20.54778,123.15,759.8,767.17495,4597.97,28368.0,878.59489,5265.76,32488.0,8714.29671,52228.13,322230.5
2006-03-01,,,,24187.18569,144963.1,793441.0,,,,0.0,0.0,948.24,475.32167,2848.79,15592.54,4.24336,25.43,139.2,1078.52081,6463.99,35380.0,1629.1822,9764.32,53444.0,12187.98628,73047.29,399817.0
2006-04-01,,,,23255.42658,139378.72,736362.0,,,,217.56,1169.53,20802.59,881.70752,5284.41,27918.47,8.42595,50.5,266.8,809.11838,4849.36,25620.0,660.84317,3960.69,20925.0,9086.8384,54460.92,287726.5
2006-05-01,,,,17712.25029,106156.32,535612.0,,,,0.0,0.0,771.02,970.07958,5814.06,29334.85,120.45119,721.91,3642.4,889.69325,5332.27,26904.0,665.31886,3987.51,20119.0,7838.53684,46979.36,237034.5
2006-06-01,,,,26726.79779,160183.98,759506.0,,,,226.38,1216.95,4890.28,959.09543,5748.23,27254.99,0.0,0.0,0.0,768.54332,4606.18,21840.0,869.43223,5210.84,24707.0,9919.75123,59452.88,281893.5
2006-07-01,,,,32481.41725,194673.61,787732.0,,,,1267.14,6811.74,26699.25,804.8447,4823.74,19518.91,0.0,0.0,0.0,1914.25169,11472.85,46424.0,589.27647,3531.76,14291.0,9815.81789,58829.97,238051.0
2006-08-01,,,,27045.11823,162091.78,753555.0,,,,1656.2,8903.21,34508.15,780.2178,4676.15,21739.12,82.43224,494.05,2296.8,1140.72899,6836.83,31784.0,467.28831,2800.64,13020.0,14610.96043,87569.1,407103.5
2006-09-01,,,,20021.77455,119998.19,657019.0,,,,927.08,4983.69,23048.77,420.74029,2521.66,13806.69,17.144479999999998,102.75,562.6,1461.15112,8757.24,47948.0,69.90657999999999,418.98,2294.0,12060.56098,72283.58,395770.0
2006-10-01,,,,26090.52168,156370.53,785345.0,,,,7670.46,41233.96,121026.77,547.77748,3283.04,16488.53,0.0,0.0,0.0,944.42742,5660.32,28428.0,61.79242,370.35,1860.0,10727.148,64291.92,322895.5
2006-11-01,,,,20734.75521,124271.36,663982.0,,,,315.56,1696.35,5046.65,670.0343,4015.77,21456.28,0.0,0.0,0.0,796.31113,4772.6,25500.0,975.80903,5848.4,31248.0,9519.38432,57053.33,304836.0
2006-12-01,,,,23807.65491,142688.43,745283.0,,,,4491.34,24144.02,87152.33,699.77934,4194.05,21906.13,0.0,0.0,0.0,1432.26132,8584.09,44836.0,883.32791,5294.12,27652.0,8206.80052,49186.51,256908.5
2007-01-01,,,,23867.207000000002,143044.0,770176.0,,,,2159.92,11611.0,24937.0,1215.7620000000002,7286.0,39232.0,41.34,249.0,1334.0,337.411,2024.0,10888.0,534.131,3193.0,17236.0,10224.745,61285.0,329945.0
2007-02-01,,,,23036.486,138072.0,726704.0,,,,3770.06,20266.0,78736.0,3181.8030000000003,19069.0,100372.0,42.288000000000004,255.0,1334.0,287.202,1720.0,9060.0,430.422,2573.0,13578.0,9942.454,59594.0,313643.0
2007-03-01,,,,13859.042000000001,83061.0,545666.0,,,,2773.4,14909.0,39593.0,931.675,5584.0,36682.0,80.726,481.0,3178.0,291.269,1744.0,11468.0,513.352,3069.0,20212.0,8593.598,51509.0,338352.0
2007-04-01,,,,20853.515,124982.0,712833.0,,,,3729.88,20051.0,68023.0,1264.492,7579.0,43224.0,0.0,0.0,0.0,454.497,2724.0,15536.0,148.729,899.0,5084.0,9689.853000000001,58074.0,331227.0
2007-05-01,,,,23312.948,139722.0,770660.0,,,,1106.42,5948.0,27154.0,867.1310000000001,5197.0,28665.0,71.059,423.0,2349.0,256.525,1536.0,8480.0,137.852,837.0,4557.0,8637.522,51766.0,285532.0
2007-06-01,,,,19404.714,116303.0,495022.0,,,,724.22,3893.0,17454.0,829.2760000000001,4970.0,21155.0,85.48700000000001,510.0,2181.0,421.946,2528.0,10764.0,270.988,1612.0,6913.0,10691.894,64078.0,272755.0
2007-07-01,,,,24516.337,146938.0,809688.0,,,,0.0,0.0,185.0,626.3620000000001,3754.0,20687.0,114.85300000000001,690.0,3793.0,1340.985,8036.0,44288.0,18.773,124.0,620.0,7065.212,42342.0,233339.0
2007-08-01,,,,28488.07,170742.0,777315.0,,,,2275.56,12232.0,41451.0,602.697,3612.0,16445.0,113.935,684.0,3109.0,1573.8690000000001,9432.0,42944.0,207.912,1240.0,5673.0,7736.654,46370.0,211100.0
2007-09-01,,,,23514.939,140932.0,776842.0,,,,388.08,2086.0,10289.0,352.218,2110.0,11636.0,58.463,348.0,1931.0,1536.259,9208.0,50752.0,493.581,2945.0,16306.0,7662.722000000001,45923.0,253147.0
2007-10-01,,,,23046.28,138127.0,683716.0,,,,4384.52,23569.0,66915.0,1474.2910000000002,8836.0,43738.0,46.53,278.0,1380.0,2670.973,16008.0,79240.0,207.941,1240.0,6169.0,10234.237,61342.0,303620.0
2007-11-01,,,,26171.054,156849.0,779042.0,,,,1488.62,8002.0,35408.0,236.43300000000002,1417.0,7038.0,204.002,1224.0,6073.0,362.68,2172.0,10796.0,24.994,155.0,744.0,4587.985000000001,27493.0,136572.0
2007-12-01,,,,24851.893,148951.0,780318.0,,,,908.46,4883.0,22650.0,2219.805,13305.0,69699.0,14.593,87.0,458.0,1402.732,8408.0,44044.0,594.355,3565.0,18662.0,7079.6,42427.0,222291.0
2008-01-01,0.0,0.0,0.0,27385.807,157618.0,453684.0,0.0,0.0,0.0,4668.0,24592.0,36748.0,297.565,1713.0,4930.0,21.707,125.0,360.0,1731.94,9968.0,28692.0,1081.587,6225.0,17918.0,11093.394,63847.0,183778.0
2008-02-01,0.0,0.0,0.0,25151.132,144756.0,731148.0,0.0,0.0,0.0,1906.0,10041.0,40210.0,138.32500000000002,796.0,4021.0,66.43900000000001,382.0,1931.0,1114.269,6413.0,32392.0,316.716,1823.0,9207.0,8108.119000000001,46666.0,235705.0
2008-03-01,0.0,0.0,0.0,27352.085,163932.0,814957.0,0.0,0.0,0.0,3367.28,18101.0,59439.0,445.981,2673.0,13288.0,9.344000000000001,56.0,278.0,1146.499,6871.0,34160.0,1135.121,6803.0,33821.0,8118.426,48657.0,241889.0
2008-04-01,0.0,0.0,0.0,18687.886,107557.0,541277.0,0.0,0.0,0.0,2001.0,10542.0,34690.0,204.62,1178.0,5927.0,99.724,574.0,2888.0,817.1510000000001,4703.0,23668.0,710.674,4090.0,20584.0,8580.946,49387.0,248539.0
2008-05-01,0.0,0.0,0.0,24625.648,147591.0,769065.0,0.0,0.0,0.0,1115.0,5874.0,21734.0,1669.5900000000001,10006.0,52142.0,92.85900000000001,557.0,2900.0,1031.308,6181.0,32208.0,1017.4430000000001,6098.0,31775.0,6164.153,36944.0,192508.0
2008-06-01,0.0,0.0,0.0,28650.682,171715.0,758813.0,0.0,0.0,0.0,4407.06,23691.0,83004.0,273.785,1641.0,7251.0,52.120000000000005,312.0,1380.0,981.235,5881.0,25988.0,570.0210000000001,3416.0,15097.0,8170.326,48968.0,216391.0
2008-07-01,0.0,0.0,0.0,26471.625,158655.0,824054.0,0.0,0.0,0.0,1055.46,5674.0,26838.0,373.192,2237.0,11617.0,39.872,239.0,1241.0,1040.549,6236.0,32392.0,629.3670000000001,3772.0,19592.0,7096.533,42532.0,220913.0
2008-08-01,0.0,0.0,0.0,24206.981,145082.0,769065.0,0.0,0.0,0.0,0.0,0.0,0.0,502.70700000000005,3013.0,15971.0,108.25800000000001,649.0,3439.0,1128.976,6766.0,35868.0,525.9300000000001,3152.0,16709.0,6578.753000000001,39429.0,209010.0
2008-09-01,0.0,0.0,0.0,22489.953,134791.0,769065.0,0.0,0.0,0.0,0.0,0.0,0.0,154.699,927.0,5290.0,100.57900000000001,603.0,3439.0,1041.761,6244.0,35624.0,488.625,2929.0,16709.0,6112.115000000001,36632.0,209010.0
2008-10-01,0.0,0.0,0.0,21485.215,128769.0,779570.0,0.0,0.0,0.0,0.0,0.0,0.0,743.431,4456.0,26975.0,98.947,593.0,3590.0,884.356,5300.0,32088.0,154.64100000000002,927.0,5611.0,7903.658,47370.0,286777.0
2008-11-01,0.0,0.0,0.0,17696.426,106061.0,765237.0,0.0,0.0,0.0,1029.98,5537.0,19845.0,375.72400000000005,2252.0,16247.0,143.382,859.0,6200.0,852.033,5107.0,36844.0,761.335,4563.0,32922.0,10242.895,61390.0,442928.0
2008-12-01,0.0,0.0,0.0,16135.982,96709.0,686290.0,0.0,0.0,0.0,0.0,0.0,0.0,250.092,1499.0,10637.0,286.648,1718.0,12192.0,813.23,4874.0,34588.0,830.9110000000001,4980.0,35340.0,10054.241,60259.0,427624.0
2009-01-01,0.0,0.0,0.0,19878.551,122825.0,731797.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.337,6329.0,37709.0,468.87300000000005,2897.0,17261.0,800.361,4945.0,29464.0,639.142,3949.0,23529.0,6309.008000000001,38982.0,232256.0
2009-02-01,0.0,0.0,0.0,18818.782,116276.0,653037.0,0.0,0.0,0.0,0.0,0.0,0.0,819.575,5064.0,28440.0,267.25800000000004,1651.0,9274.0,771.7280000000001,4768.0,26780.0,403.788,2495.0,14012.0,6210.624000000001,38374.0,215517.0
2009-03-01,0.0,0.0,0.0,21724.826,134232.0,772002.0,0.0,0.0,0.0,0.0,0.0,0.0,191.853,1185.0,6818.0,235.196,1453.0,8358.0,985.3810000000001,6088.0,35016.0,486.781,3008.0,17298.0,5649.9310000000005,34909.0,200773.0
2009-04-01,0.0,0.0,0.0,14713.573,90911.0,477004.0,0.0,0.0,0.0,0.0,0.0,0.0,19.952,123.0,647.0,159.763,987.0,5179.0,812.849,5022.0,26352.0,601.462,3716.0,19499.0,4678.893,28910.0,151687.0
2009-05-01,0.0,0.0,0.0,24218.761,149642.0,806091.0,0.0,0.0,0.0,0.0,0.0,0.0,785.534,4854.0,26146.0,92.183,570.0,3068.0,810.125,5006.0,26964.0,672.46,4155.0,22382.0,7997.883000000001,49417.0,266200.0
2009-06-01,0.0,0.0,0.0,20847.443,128811.0,795157.0,0.0,0.0,0.0,0.0,0.0,0.0,577.412,3568.0,22023.0,79.53,491.0,3033.0,711.662,4397.0,27144.0,454.332,2807.0,17329.0,10631.355,65688.0,405498.0
2009-07-01,0.0,0.0,0.0,25289.426,156257.0,771287.0,0.0,0.0,0.0,0.0,0.0,0.0,719.552,4446.0,21945.0,99.461,615.0,3033.0,932.115,5759.0,28428.0,1047.957,6475.0,31961.0,7091.11,43814.0,216268.0
2009-08-01,0.0,0.0,0.0,26482.357,163628.0,787226.0,0.0,0.0,0.0,0.0,0.0,0.0,1358.287,8393.0,40377.0,102.04400000000001,631.0,3033.0,785.967,4856.0,23364.0,925.0020000000001,5715.0,27497.0,6861.7210000000005,42397.0,203975.0
2009-09-01,0.0,0.0,0.0,30636.865,189297.0,802340.0,0.0,0.0,0.0,0.0,0.0,0.0,602.3770000000001,3722.0,15775.0,113.614,702.0,2975.0,752.385,4649.0,19704.0,388.259,2399.0,10168.0,11488.71,70986.0,300875.0
2009-10-01,0.0,0.0,0.0,35715.392,220676.0,819599.0,0.0,0.0,0.0,0.0,0.0,0.0,1430.1380000000001,8836.0,32819.0,229.239,1416.0,5261.0,1462.084,9034.0,33552.0,1418.42,8764.0,32550.0,8715.072,53848.0,199994.0
2009-11-01,0.0,0.0,0.0,17347.024,107183.0,648252.0,0.0,0.0,0.0,0.0,0.0,0.0,1264.5120000000002,7813.0,47254.0,307.463,1900.0,11490.0,812.9590000000001,5023.0,30380.0,713.413,4408.0,26660.0,5951.2210000000005,36771.0,222395.0
2009-12-01,0.0,0.0,0.0,14831.851,91642.0,732952.0,0.0,0.0,0.0,0.0,0.0,0.0,704.738,4354.0,34826.0,40.374,249.0,1995.0,490.03,3028.0,24216.0,310.51800000000003,1919.0,15345.0,4507.448,27850.0,222747.0
2010-01-01,0.0,0.0,0.0,22061.625,136313.0,732952.0,0.0,0.0,0.0,0.0,0.0,0.0,1516.403,9369.0,50379.0,22.171,137.0,737.0,728.894,4504.0,24216.0,461.88,2854.0,15345.0,6704.6,41426.0,222747.0
