measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2005-12-01,,,,1364.0410000000002,13639.04,13639.04,-24.255,437.54,437.54
2006-01-01,,,,2354.579,23355.0,23355.0,12.487,677.0,677.0
2006-02-01,,,,2123.134,21059.0,21059.0,14.116000000000001,765.0,765.0
2006-03-01,,,,1870.5110000000002,18554.0,18554.0,18.601000000000003,1008.0,1008.0
2006-04-01,,,,2035.99,20195.0,20195.0,15.393,835.0,835.0
2006-05-01,,,,2407.2180000000003,23877.0,23877.0,20.276,1099.0,1099.0
2006-06-01,,,,2365.248,23461.0,23461.0,26.118000000000002,1416.0,1416.0
2006-07-01,,,,2480.286,24602.0,24602.0,46.738,2534.0,2534.0
2006-08-01,,,,2462.3630000000003,24424.0,24424.0,41.531,2252.0,2252.0
2006-09-01,,,,1598.365,15854.0,15854.0,24.429000000000002,1324.0,1324.0
2006-10-01,,,,1409.0720000000001,13977.0,13977.0,26.462,1435.0,1435.0
2006-11-01,,,,1650.489,16371.0,16371.0,17.79,965.0,965.0
2006-12-01,,,,1747.7430000000002,17336.0,17336.0,18.059,979.0,979.0
2007-01-01,,,,1843.1370000000002,18218.0,18218.0,-14.003,178.0,178.0
2007-02-01,,,,1331.761,13163.0,13163.0,-27.049000000000003,344.0,344.0
2007-03-01,,,,2020.165,19967.0,19967.0,-17.155,218.0,218.0
2007-04-01,,,,2509.369,24803.0,24803.0,-18.367,233.0,233.0
2007-05-01,,,,1954.0,19313.0,19313.0,-27.143,345.0,345.0
2007-06-01,,,,2030.02,20065.0,20065.0,-32.634,415.0,415.0
2007-07-01,,,,1964.558,19418.0,19418.0,-39.268,500.0,500.0
2007-08-01,,,,2426.6620000000003,23985.0,23985.0,-90.805,1155.0,1155.0
2007-09-01,,,,2020.517,19971.0,19971.0,-31.73,404.0,404.0
2007-10-01,,,,1486.2640000000001,14690.0,14690.0,-29.324,373.0,373.0
2007-11-01,,,,1220.194,12060.0,12060.0,-12.816,163.0,163.0
2007-12-01,,,,1683.354,16638.0,16638.0,-14.706000000000001,187.0,187.0
2008-01-01,,,,1730.7520000000002,17055.0,17055.0,-24.469,452.0,452.0
2008-02-01,,,,1735.2040000000002,17099.0,17099.0,-19.44,358.0,358.0
2008-03-01,,,,1845.9180000000001,18190.0,18190.0,-14.117,260.0,260.0
2008-04-01,,,,1871.741,18444.0,18444.0,-10.797,199.0,199.0
2008-05-01,,,,1749.451,17239.0,17239.0,-9.007,166.0,166.0
2008-06-01,,,,1826.327,17997.0,17997.0,-33.247,612.0,612.0
2008-07-01,,,,1364.477,13446.0,13446.0,-57.25,1055.0,1055.0
2008-08-01,,,,1392.972,13726.0,13726.0,-35.774,658.0,658.0
2008-09-01,,,,1940.9,19126.0,19126.0,-20.832,384.0,384.0
2008-10-01,,,,1280.477,12618.0,12618.0,-10.796000000000001,199.0,199.0
2008-11-01,,,,990.782,9763.0,9763.0,-10.78,199.0,199.0
2008-12-01,,,,1576.999,15540.0,15540.0,-23.491,433.0,433.0
2009-01-01,,,,699.924,6831.0,6831.0,-60.423,278.0,278.0
2009-02-01,,,,797.316,7782.0,7782.0,-34.749,161.0,161.0
2009-03-01,,,,982.874,9593.0,9593.0,-42.567,197.0,197.0
2009-04-01,,,,1080.7920000000001,10549.0,10549.0,-41.79,193.0,193.0
2009-05-01,,,,981.556,9580.0,9580.0,-36.8,170.0,170.0
2009-06-01,,,,955.462,9325.0,9325.0,-74.60600000000001,344.0,344.0
2009-07-01,,,,837.38,8173.0,8173.0,-45.674,211.0,211.0
2009-08-01,,,,781.634,7629.0,7629.0,-80.607,371.0,371.0
2009-09-01,,,,686.615,6701.0,6701.0,-50.611000000000004,233.0,233.0
2009-10-01,,,,747.5010000000001,7296.0,7296.0,-16.823,77.0,77.0
2009-11-01,,,,725.8870000000001,7085.0,7085.0,-12.629000000000001,58.0,58.0
2009-12-01,,,,751.0590000000001,7330.0,7330.0,-14.721,68.0,68.0
2010-01-01,,,,372.42900000000003,3633.0,3633.0,-12.275,266.0,266.0
2010-02-01,,,,271.397,2648.0,2648.0,-8.186,177.0,177.0
2010-03-01,,,,440.17900000000003,4294.0,4294.0,-6.331,137.0,137.0
2010-04-01,,,,580.962,5668.0,5668.0,-6.1290000000000004,133.0,133.0
2010-05-01,,,,848.7940000000001,8281.0,8281.0,-15.648000000000001,338.0,338.0
2010-06-01,,,,1017.575,9927.0,9927.0,-27.73,600.0,600.0
2010-07-01,,,,916.676,8943.0,8943.0,-53.045,1148.0,1148.0
2010-08-01,,,,910.0730000000001,8879.0,8879.0,-57.146,1237.0,1237.0
2010-09-01,,,,576.076,5620.0,5620.0,-12.14,263.0,263.0
2010-10-01,,,,319.47,3117.0,3117.0,-4.355,94.0,94.0
2010-11-01,,,,333.20500000000004,3251.0,3251.0,-4.355,94.0,94.0
2010-12-01,,,,379.16400000000004,3699.0,3699.0,-15.66,339.0,339.0
2011-01-01,,,,267.534,2599.0,2599.0,11.477,868.0,868.0
2011-02-01,,,,373.326,3627.0,3627.0,7.89,595.0,595.0
2011-03-01,,,,496.315,4822.0,4822.0,9.827,741.0,741.0
2011-04-01,,,,520.644,5059.0,5059.0,9.992,753.0,753.0
2011-05-01,,,,467.311,4540.0,4540.0,18.153,1369.0,1369.0
2011-06-01,,,,597.512,5805.0,5805.0,17.098,1289.0,1289.0
2011-07-01,,,,394.326,3831.0,3831.0,50.73,3826.0,3826.0
2011-08-01,,,,587.448,5708.0,5708.0,28.139,2122.0,2122.0
2011-09-01,,,,394.326,3831.0,3831.0,9.671,729.0,729.0
2011-10-01,,,,340.439,3308.0,3308.0,6.601,497.0,497.0
2011-11-01,,,,416.119,4043.0,4043.0,5.355,404.0,404.0
2011-12-01,,,,430.7,4185.0,4185.0,8.067,608.0,608.0
2012-01-01,,,,244.904,2331.0,2331.0,134.148,2890.0,2890.0
2012-02-01,,,,439.362,4181.0,4181.0,181.664,3915.0,3915.0
2012-03-01,,,,314.947,2997.0,2997.0,204.007,4396.0,4396.0
2012-04-01,,,,635.847,6051.0,6051.0,233.159,5025.0,5025.0
2012-05-01,,,,389.111,3703.0,3703.0,183.887,3963.0,3963.0
2012-06-01,,,,493.914,4700.0,4700.0,315.154,6792.0,6792.0
2012-07-01,,,,503.584,4792.0,4792.0,517.227,11147.0,11147.0
2012-08-01,,,,452.679,4308.0,4308.0,242.646,5230.0,5230.0
2012-09-01,,,,467.437,4448.0,4448.0,167.8,3616.0,3616.0
2012-10-01,,,,510.317,4856.0,4856.0,69.552,1499.0,1499.0
2012-11-01,,,,547.976,5215.0,5215.0,99.733,2149.0,2149.0
2012-12-01,,,,365.922,3482.0,3482.0,70.023,1509.0,1509.0
2013-01-01,,,,227.287,2169.0,2169.0,-17.569,559.0,559.0
2013-02-01,,,,339.157,3236.0,3236.0,-17.551,560.0,560.0
2013-03-01,,,,393.621,3756.0,3756.0,-32.753,1044.0,1044.0
2013-04-01,,,,369.18,3522.0,3522.0,-28.201,900.0,900.0
2013-05-01,,,,394.828,3767.0,3767.0,-20.538,655.0,655.0
2013-06-01,,,,459.929,4388.0,4388.0,-19.131,610.0,610.0
2013-07-01,,,,387.888,3701.0,3701.0,-52.018,1659.0,1659.0
2013-08-01,,,,258.215,2464.0,2464.0,-36.179,1153.0,1153.0
2013-09-01,,,,242.902,2318.0,2318.0,-21.349,681.0,681.0
2013-10-01,,,,234.377,2236.0,2236.0,-10.17,324.0,324.0
2013-11-01,,,,307.927,2938.0,2938.0,-14.718,469.0,469.0
2013-12-01,,,,253.689,2420.0,2420.0,-13.823,441.0,441.0
2014-01-01,,,,125.202,1191.0,1191.0,21.723,2143.0,2143.0
2014-02-01,,,,118.035,1123.0,1123.0,5.321,526.0,526.0
2014-03-01,,,,183.837,1748.0,1748.0,7.587,749.0,749.0
2014-04-01,,,,167.521,1593.0,1593.0,6.653,656.0,656.0
2014-05-01,,,,204.402,1944.0,1944.0,20.541,2028.0,2028.0
2014-06-01,,,,183.525,1745.0,1745.0,17.843,1762.0,1762.0
2014-07-01,,,,172.705,1642.0,1642.0,12.82,1266.0,1266.0
2014-08-01,,,,134.606,1280.0,1280.0,23.684,2338.0,2338.0
2014-09-01,,,,138.005,1312.0,1312.0,14.893,1470.0,1470.0
2014-10-01,,,,134.493,1279.0,1279.0,18.561,1832.0,1832.0
2014-11-01,,,,103.589,985.0,985.0,12.518,1236.0,1236.0
2014-12-01,,,,93.08,885.0,885.0,14.856,1467.0,1467.0
2015-01-01,,,,-11.832,0.0,0.0,-71.135,153.0,153.0
2015-02-01,,,,-8.093,0.0,0.0,-63.531,136.0,136.0
2015-03-01,,,,-13.928,0.0,0.0,-68.835,146.0,146.0
2015-04-01,,,,-14.316,0.0,0.0,-64.275,137.0,137.0
2015-05-01,,,,-18.746,0.0,0.0,-52.154,111.0,111.0
2015-06-01,,,,-20.928,0.0,0.0,-78.821,168.0,168.0
2015-07-01,,,,-21.222,0.0,0.0,-114.491,244.0,244.0
2015-08-01,,,,-17.726,0.0,0.0,-85.347,182.0,182.0
2015-09-01,,,,-13.167,0.0,0.0,-93.288,198.0,198.0
2015-10-01,,,,-8.468,0.0,0.0,-76.266,162.0,162.0
2015-11-01,,,,-15.402,0.0,0.0,-78.247,167.0,167.0
2015-12-01,,,,-19.172,0.0,0.0,-95.61,204.0,204.0
2016-01-01,,,,360.072,3324.0,3324.0,-39.748,551.0,551.0
2016-02-01,,,,299.415,2764.0,2764.0,-41.12,569.0,569.0
2016-03-01,,,,378.196,3492.0,3492.0,-55.309,766.0,766.0
2016-04-01,,,,296.213,2735.0,2735.0,-41.627,576.0,576.0
2016-05-01,,,,287.755,2657.0,2657.0,-39.682,550.0,550.0
2016-06-01,,,,301.53,2784.0,2784.0,-55.741,771.0,771.0
2016-07-01,,,,309.384,2856.0,2856.0,-90.516,1253.0,1253.0
2016-08-01,,,,234.59,2166.0,2166.0,-79.782,1105.0,1105.0
2016-09-01,,,,186.44,1721.0,1721.0,-53.401,739.0,739.0
2016-10-01,,,,271.866,2510.0,2510.0,-50.263,696.0,696.0
2016-11-01,,,,274.706,2536.0,2536.0,-37.205,515.0,515.0
2016-12-01,,,,272.833,2519.0,2519.0,-37.606,520.0,520.0
2017-01-01,,,,880.379,8111.0,8111.0,-2.73,911.0,911.0
2017-02-01,,,,822.973,7582.0,7582.0,-2.667,892.0,892.0
2017-03-01,,,,878.457,8093.0,8093.0,-3.32,1110.0,1110.0
2017-04-01,,,,701.228,6460.0,6460.0,-2.666,892.0,892.0
2017-05-01,,,,690.49,6361.0,6361.0,-2.892,967.0,967.0
2017-06-01,,,,704.821,6494.0,6494.0,-3.904,1306.0,1306.0
2017-07-01,,,,757.254,6977.0,6977.0,-4.666,1559.0,1559.0
2017-08-01,,,,742.631,6842.0,6842.0,-3.794,1269.0,1269.0
2017-09-01,,,,677.372,6241.0,6241.0,-2.888,966.0,966.0
2017-10-01,,,,699.264,6442.0,6442.0,-2.856,955.0,955.0
2017-11-01,,,,759.468,6997.0,6997.0,-2.143,716.0,716.0
2017-12-01,,,,692.663,6382.0,6382.0,-3.474,1162.0,1162.0
2018-01-01,,,,1140.409,10382.0,10382.0,62.536,2219.0,2219.0
2018-02-01,,,,984.459,8963.0,8963.0,46.081,1633.0,1633.0
2018-03-01,,,,1046.768,9530.0,9530.0,72.6,2574.0,2574.0
2018-04-01,,,,1135.363,10336.0,10336.0,39.21,1390.0,1390.0
2018-05-01,,,,1267.727,11541.0,11541.0,70.458,2498.0,2498.0
2018-06-01,,,,1151.791,10486.0,10486.0,77.298,2740.0,2740.0
2018-07-01,,,,1100.688,10021.0,10021.0,95.603,3390.0,3390.0
2018-08-01,,,,1059.969,9650.0,9650.0,96.243,3412.0,3412.0
2018-09-01,,,,1195.561,10884.0,10884.0,77.19,2737.0,2737.0
2018-10-01,,,,1239.037,11280.0,11280.0,51.238,1816.0,1816.0
2018-11-01,,,,1310.969,11935.0,11935.0,60.042,2129.0,2129.0
2018-12-01,,,,1312.259,11947.0,11947.0,44.501,1577.0,1577.0
2019-01-01,,,,711.3,6334.0,6334.0,5.714,704.0,704.0
2019-02-01,,,,624.965,5565.0,5565.0,5.17,635.0,635.0
2019-03-01,,,,732.978,6527.0,6527.0,5.458,672.0,672.0
2019-04-01,,,,639.136,5692.0,5692.0,5.97,734.0,734.0
2019-05-01,,,,674.185,6004.0,6004.0,5.46,672.0,672.0
2019-06-01,,,,627.327,5586.0,5586.0,6.399,786.0,786.0
2019-07-01,,,,685.614,6105.0,6105.0,10.604,1303.0,1303.0
2019-08-01,,,,689.157,6137.0,6137.0,9.063,1114.0,1114.0
2019-09-01,,,,651.03,5797.0,5797.0,5.814,714.0,714.0
2019-10-01,,,,699.069,6225.0,6225.0,5.602,689.0,689.0
2019-11-01,,,,725.766,6463.0,6463.0,5.765,709.0,709.0
2019-12-01,,,,701.473,6247.0,6247.0,7.981,981.0,981.0
2020-01-01,,,,609.574,5344.0,5344.0,-10.287,846.0,846.0
2020-02-01,,,,590.336,5175.0,5175.0,-9.347,769.0,769.0
2020-03-01,,,,638.292,5596.0,5596.0,-9.701,799.0,799.0
2020-04-01,,,,641.775,5626.0,5626.0,-7.094,584.0,584.0
2020-05-01,,,,711.6,6239.0,6239.0,-6.068,500.0,500.0
2020-06-01,,,,626.835,5495.0,5495.0,-9.305,766.0,766.0
2020-07-01,,,,673.978,5909.0,5909.0,-13.374,1101.0,1101.0
2020-08-01,,,,601.212,5271.0,5271.0,-9.975,821.0,821.0
2020-09-01,,,,642.704,5635.0,5635.0,-6.525,537.0,537.0
2020-10-01,,,,634.808,5565.0,5565.0,-6.89,567.0,567.0
2020-11-01,,,,630.202,5525.0,5525.0,-3.201,264.0,264.0
2020-12-01,,,,706.684,6195.0,6195.0,-7.233,596.0,596.0
2021-01-01,,,,1760.113,15566.0,15566.0,41.004,1915.0,1915.0
2021-02-01,,,,1396.619,12352.0,12352.0,26.511,1239.0,1239.0
2021-03-01,,,,1544.266,13657.0,13657.0,32.202,1504.0,1504.0
2021-04-01,,,,1593.783,14095.0,14095.0,24.101,1126.0,1126.0
2021-05-01,,,,1495.151,13223.0,13223.0,17.922,837.0,837.0
2021-06-01,,,,1455.277,12870.0,12870.0,38.108,1780.0,1780.0
2021-07-01,,,,1427.153,12622.0,12622.0,49.524,2313.0,2313.0
2021-08-01,,,,1536.733,13591.0,13591.0,61.189,2858.0,2858.0
2021-09-01,,,,1316.87,11646.0,11646.0,34.171,1597.0,1597.0
2021-10-01,,,,1418.817,12548.0,12548.0,42.813,2000.0,2000.0
2021-11-01,,,,1389.79,12291.0,12291.0,35.629,1664.0,1664.0
2021-12-01,,,,1535.428,13579.0,13579.0,35.826,1674.0,1674.0
2022-01-01,,,,1493.332,5095.0,5095.0,31.065,1389.0,1389.0
2022-02-01,,,,1232.933,4207.0,4207.0,20.601,922.0,922.0
2022-03-01,,,,1550.323,5290.0,5290.0,22.188,993.0,993.0
2022-04-01,,,,1513.195,5163.0,5163.0,10.567,473.0,473.0
2022-05-01,,,,1620.788,5530.0,5530.0,14.143,633.0,633.0
2022-06-01,,,,1631.967,5568.0,5568.0,24.934,1116.0,1116.0
2022-07-01,,,,1291.72,4407.0,4407.0,28.837,1291.0,1291.0
2022-08-01,,,,1451.713,4953.0,4953.0,28.582,1279.0,1279.0
2022-09-01,,,,1424.565,4861.0,4861.0,28.424,1272.0,1272.0
2022-10-01,,,,1188.418,4055.0,4055.0,18.162,813.0,813.0
2022-11-01,,,,1593.341,5436.0,5436.0,19.7,882.0,882.0
2022-12-01,,,,1559.705,5322.0,5322.0,20.797,931.0,931.0
2023-01-01,,,,768.0,2620.0,2620.0,7.19,614.0,614.0
2023-02-01,,,,1661.0,5667.0,5667.0,6.488,553.0,553.0
2023-03-01,,,,1699.0,5797.0,5797.0,5.78,493.0,493.0
2023-04-01,,,,1075.0,3668.0,3668.0,2.131,182.0,182.0
2023-05-01,,,,432.0,1474.0,1474.0,4.474,381.0,381.0
2023-06-01,,,,1795.0,6125.0,6125.0,6.441,549.0,549.0
2023-07-01,,,,2630.0,8974.0,8974.0,7.762,662.0,662.0
2023-08-01,,,,2304.0,7861.0,7861.0,7.842,669.0,669.0
2023-09-01,,,,2362.0,8059.0,8059.0,7.361,628.0,628.0
2023-10-01,,,,2323.0,7926.0,7926.0,6.085,519.0,519.0
2023-11-01,,,,2179.0,7435.0,7435.0,4.989,426.0,426.0
2023-12-01,,,,2227.0,7599.0,7599.0,5.457,465.0,465.0
2024-01-01,,,,1709.0,5831.0,5831.0,88.222,1867.0,1867.0
2024-02-01,,,,2342.0,7991.0,7991.0,89.562,1895.0,1895.0
2024-03-01,,,,1526.0,5207.0,5207.0,75.775,1603.0,1603.0
2024-04-01,,,,1027.0,3504.0,3504.0,44.239,936.0,936.0
2024-05-01,,,,1238.0,4224.0,4224.0,53.571,1133.0,1133.0
2024-06-01,,,,691.0,2358.0,2358.0,93.206,1972.0,1972.0
2024-07-01,,,,148.0,505.0,505.0,117.538,2486.0,2486.0
2024-08-01,,,,1469.0,5012.0,5012.0,130.623,2764.0,2764.0
2024-09-01,,,,1968.0,6715.0,6715.0,115.456,2442.0,2442.0
2024-10-01,,,,2486.0,8482.0,8482.0,91.57,1938.0,1938.0
2024-11-01,,,,1910.0,6517.0,6517.0,55.301,1169.0,1169.0
2024-12-01,,,,1046.0,3569.0,3569.0,93.937,1988.0,1988.0
