measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Generation,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Quantity Consumed For Electricity,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Total Fuel Consumed,"Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-02-01,-9.333,27.0,27.0,634.815,6362.12,6362.12,,,,-27.969,0.0,0.0
2004-03-01,-9.333,27.0,27.0,566.769,5680.16,5680.16,,,,-10.705,0.0,0.0
2004-04-01,-9.333,27.0,27.0,511.28,5124.05,5124.05,,,,-7.777,0.0,0.0
2004-05-01,-9.333,27.0,27.0,439.12800000000004,4400.94,4400.94,,,,-13.074,0.0,0.0
2004-06-01,-9.333,27.0,27.0,349.36,3501.29,3501.29,,,,-7.149,0.0,0.0
2004-07-01,-9.333,27.0,27.0,367.13,3679.38,3679.38,,,,-8.144,0.0,0.0
2004-08-01,-9.333,27.0,27.0,444.545,4455.23,4455.23,,,,-14.401000000000002,0.0,0.0
2004-09-01,-9.333,27.0,27.0,500.75600000000003,5018.58,5018.58,,,,-6.532,0.0,0.0
2004-10-01,-9.333,27.0,27.0,411.257,4121.62,4121.62,,,,-6.727,0.0,0.0
2004-11-01,-9.333,27.0,27.0,360.839,3616.33,3616.33,,,,-8.341000000000001,0.0,0.0
2004-12-01,-9.333,27.0,27.0,457.928,4589.35,4589.35,,,,-22.372,0.0,0.0
2005-01-01,-33.767,78.03,78.03,533.545,5334.92,5334.92,,,,-31.349,18.45,18.45
2005-02-01,-7.773000000000001,17.96,17.96,433.57,4335.27,4335.27,,,,-12.799000000000001,7.54,7.54
2005-03-01,-6.67,15.41,15.41,473.72,4736.72,4736.72,,,,-17.613,10.37,10.37
2005-04-01,-6.674,15.42,15.42,593.8570000000001,5937.98,5937.98,,,,-10.17,5.98,5.98
2005-05-01,-6.729,15.55,15.55,439.99800000000005,4399.54,4399.54,,,,-4.1770000000000005,2.46,2.46
2005-06-01,-8.151,18.83,18.83,394.21200000000005,3941.73,3941.73,,,,-23.415,13.78,13.78
2005-07-01,-15.437000000000001,35.67,35.67,334.709,3346.75,3346.75,,,,-28.541,16.8,16.8
2005-08-01,-13.672,31.6,31.6,263.914,2638.87,2638.87,,,,-33.59,19.77,19.77
2005-09-01,-7.6080000000000005,17.58,17.58,227.978,2279.56,2279.56,,,,-26.23,15.44,15.44
2005-10-01,-10.666,24.65,24.65,463.714,4636.67,4636.67,,,,-24.031000000000002,14.15,14.15
2005-11-01,-7.182,16.6,16.6,509.221,5091.7,5091.7,,,,-11.104000000000001,6.54,6.54
2005-12-01,-19.673000000000002,45.46,45.46,538.563,5385.1,5385.1,,,,-32.98,19.42,19.42
2006-01-01,-19.744,247.0,247.0,477.642,4738.0,4738.0,,,,-7.089,254.0,254.0
2006-02-01,-10.331000000000001,129.0,129.0,430.692,4272.0,4272.0,,,,-5.471,196.0,196.0
2006-03-01,-8.679,109.0,109.0,379.446,3764.0,3764.0,,,,-2.3720000000000003,85.0,85.0
2006-04-01,-16.624000000000002,208.0,208.0,413.014,4097.0,4097.0,,,,-1.872,67.0,67.0
2006-05-01,-15.539000000000001,194.0,194.0,488.32,4844.0,4844.0,,,,-1.3880000000000001,50.0,50.0
2006-06-01,-14.124,177.0,177.0,479.80600000000004,4759.0,4759.0,,,,-3.3120000000000003,119.0,119.0
2006-07-01,-20.459,256.0,256.0,503.142,4991.0,4991.0,,,,-7.0520000000000005,253.0,253.0
2006-08-01,-19.845,248.0,248.0,499.507,4955.0,4955.0,,,,-6.953,249.0,249.0
2006-09-01,-9.117,114.0,114.0,324.23900000000003,3216.0,3216.0,,,,-1.6,57.0,57.0
2006-10-01,-9.631,120.0,120.0,285.84,2835.0,2835.0,,,,-3.128,112.0,112.0
2006-11-01,-11.341000000000001,142.0,142.0,334.812,3321.0,3321.0,,,,-3.793,136.0,136.0
2006-12-01,-12.565,157.0,157.0,354.541,3517.0,3517.0,,,,-3.9690000000000003,142.0,142.0
2007-01-01,0.0,29.0,29.0,510.05400000000003,5041.0,5041.0,,,,-16.0,0.0,0.0
2007-02-01,0.0,53.0,53.0,454.334,4491.0,4491.0,,,,-12.0,0.0,0.0
2007-03-01,0.0,24.0,24.0,425.62800000000004,4207.0,4207.0,,,,-12.0,0.0,0.0
2007-04-01,0.0,12.0,12.0,478.175,4726.0,4726.0,,,,-10.0,0.0,0.0
2007-05-01,0.0,18.0,18.0,562.4440000000001,5559.0,5559.0,,,,-10.0,0.0,0.0
2007-06-01,0.0,6.0,6.0,432.308,4273.0,4273.0,,,,-8.0,0.0,0.0
2007-07-01,0.0,6.0,6.0,331.405,3276.0,3276.0,,,,-8.0,0.0,0.0
2007-08-01,0.0,6.0,6.0,330.11,3263.0,3263.0,,,,-8.0,0.0,0.0
2007-09-01,0.0,6.0,6.0,345.837,3418.0,3418.0,,,,-8.0,0.0,0.0
2007-10-01,0.0,6.0,6.0,332.346,3285.0,3285.0,,,,-10.0,0.0,0.0
2007-11-01,0.0,6.0,6.0,450.595,4454.0,4454.0,,,,-10.0,0.0,0.0
2007-12-01,0.0,29.0,29.0,488.764,4831.0,4831.0,,,,-12.0,0.0,0.0
2008-01-01,4.1450000000000005,35.0,35.0,458.09000000000003,4514.0,4514.0,,,,-12.0,0.0,0.0
2008-02-01,2.414,18.0,18.0,468.14,4613.0,4613.0,,,,-10.0,0.0,0.0
2008-03-01,2.065,18.0,18.0,508.29900000000004,5009.0,5009.0,,,,-12.0,0.0,0.0
2008-04-01,1.726,12.0,12.0,457.80800000000005,4511.0,4511.0,,,,-8.0,0.0,0.0
2008-05-01,1.4220000000000002,12.0,12.0,447.48400000000004,4410.0,4410.0,,,,-7.0,0.0,0.0
2008-06-01,2.052,18.0,18.0,420.51800000000003,4144.0,4144.0,,,,-7.0,0.0,0.0
2008-07-01,1.35,12.0,12.0,400.421,3946.0,3946.0,,,,-8.0,0.0,0.0
2008-08-01,0.7260000000000001,6.0,6.0,470.023,4632.0,4632.0,,,,-6.0,0.0,0.0
2008-09-01,0.934,6.0,6.0,376.85900000000004,3714.0,3714.0,,,,-7.0,0.0,0.0
2008-10-01,1.122,12.0,12.0,330.12,3253.0,3253.0,,,,-7.0,0.0,0.0
2008-11-01,1.4360000000000002,12.0,12.0,417.072,4110.0,4110.0,,,,-7.0,0.0,0.0
2008-12-01,3.148,24.0,24.0,479.166,4722.0,4722.0,,,,-13.0,0.0,0.0
2009-01-01,-24.116,265.0,265.0,485.42400000000004,4738.0,4738.0,,,,0.0,0.0,0.0
2009-02-01,-5.918,65.0,65.0,436.583,4261.0,4261.0,,,,0.0,0.0,0.0
2009-03-01,-4.809,53.0,53.0,466.45700000000005,4553.0,4553.0,,,,0.0,0.0,0.0
2009-04-01,-2.126,24.0,24.0,461.84700000000004,4508.0,4508.0,,,,0.0,0.0,0.0
2009-05-01,-1.208,12.0,12.0,446.021,4353.0,4353.0,,,,0.0,0.0,0.0
2009-06-01,-0.781,6.0,6.0,370.048,3612.0,3612.0,,,,0.0,0.0,0.0
2009-07-01,-1.083,12.0,12.0,452.514,4417.0,4417.0,,,,0.0,0.0,0.0
2009-08-01,-3.5580000000000003,41.0,41.0,469.49,4582.0,4582.0,,,,0.0,0.0,0.0
2009-09-01,-1.524,18.0,18.0,313.155,3056.0,3056.0,,,,0.0,0.0,0.0
2009-10-01,-2.617,29.0,29.0,290.276,2833.0,2833.0,,,,0.0,0.0,0.0
2009-11-01,-0.793,6.0,6.0,329.153,3213.0,3213.0,,,,0.0,0.0,0.0
2009-12-01,-1.467,18.0,18.0,448.03200000000004,4373.0,4373.0,,,,0.0,0.0,0.0
2010-01-01,-3.886,6.0,6.0,515.418,5028.0,5028.0,,,,-9.0,0.0,0.0
2010-02-01,-8.657,6.0,6.0,461.254,4500.0,4500.0,,,,-10.0,0.0,0.0
2010-03-01,-3.101,0.0,0.0,527.639,5148.0,5148.0,,,,-9.0,0.0,0.0
2010-04-01,-2.3850000000000002,0.0,0.0,579.335,5652.0,5652.0,,,,-9.0,0.0,0.0
2010-05-01,-5.021,6.0,6.0,455.345,4442.0,4442.0,,,,-7.0,0.0,0.0
2010-06-01,-5.806,6.0,6.0,367.647,3587.0,3587.0,,,,-3.0,0.0,0.0
2010-07-01,-17.656000000000002,18.0,18.0,352.752,3441.0,3441.0,,,,-9.0,0.0,0.0
2010-08-01,-15.154,12.0,12.0,331.634,3235.0,3235.0,,,,-7.0,0.0,0.0
2010-09-01,-5.698,6.0,6.0,330.685,3226.0,3226.0,,,,-7.0,0.0,0.0
2010-10-01,-5.6530000000000005,6.0,6.0,451.25100000000003,4402.0,4402.0,,,,-8.0,0.0,0.0
2010-11-01,-16.086000000000002,12.0,12.0,455.35,4442.0,4442.0,,,,-8.0,0.0,0.0
2010-12-01,-12.897,12.0,12.0,453.69,4426.0,4426.0,,,,-5.0,0.0,0.0
2011-01-01,-31.688,47.0,47.0,349.979,3400.0,3400.0,,,,0.0,0.0,0.0
2011-02-01,-13.802,24.0,24.0,310.343,3015.0,3015.0,,,,0.0,0.0,0.0
2011-03-01,-8.913,12.0,12.0,358.42,3482.0,3482.0,,,,0.0,0.0,0.0
2011-04-01,-6.907,12.0,12.0,340.876,3312.0,3312.0,,,,0.0,0.0,0.0
2011-05-01,-2.953,6.0,6.0,362.202,3519.0,3519.0,,,,0.0,0.0,0.0
2011-06-01,-4.195,6.0,6.0,292.996,2847.0,2847.0,,,,0.0,0.0,0.0
2011-07-01,-11.858,18.0,18.0,238.052,2313.0,2313.0,,,,0.0,0.0,0.0
2011-08-01,-5.136,6.0,6.0,239.36,2326.0,2326.0,,,,0.0,0.0,0.0
2011-09-01,-2.54,6.0,6.0,337.437,3279.0,3279.0,,,,0.0,0.0,0.0
2011-10-01,-8.686,12.0,12.0,332.649,3232.0,3232.0,,,,0.0,0.0,0.0
2011-11-01,-1.875,0.0,0.0,292.037,2837.0,2837.0,,,,0.0,0.0,0.0
2011-12-01,-3.447,6.0,6.0,341.649,3319.0,3319.0,,,,0.0,0.0,0.0
2012-01-01,-28.858,35.0,35.0,389.727,3709.0,3709.0,,,,0.0,0.0,0.0
2012-02-01,-10.022,12.0,12.0,330.495,3145.0,3145.0,,,,0.0,0.0,0.0
2012-03-01,-4.543,6.0,6.0,347.48,3307.0,3307.0,,,,0.0,0.0,0.0
2012-04-01,-6.431,6.0,6.0,307.234,2924.0,2924.0,,,,0.0,0.0,0.0
2012-05-01,-5.106,6.0,6.0,360.302,3429.0,3429.0,,,,0.0,0.0,0.0
2012-06-01,-13.952,18.0,18.0,348.471,3316.0,3316.0,,,,0.0,0.0,0.0
2012-07-01,-18.451,18.0,18.0,312.432,2973.0,2973.0,,,,0.0,0.0,0.0
2012-08-01,-6.128,6.0,6.0,275.744,2624.0,2624.0,,,,0.0,0.0,0.0
2012-09-01,-2.213,0.0,0.0,282.371,2687.0,2687.0,,,,0.0,0.0,0.0
2012-10-01,-7.028,6.0,6.0,348.773,3319.0,3319.0,,,,0.0,0.0,0.0
2012-11-01,-19.274,18.0,18.0,348.361,3315.0,3315.0,,,,0.0,0.0,0.0
2012-12-01,-5.994,6.0,6.0,370.61,3527.0,3527.0,,,,0.0,0.0,0.0
2013-01-01,0.0,0.0,0.0,619.348,5909.0,5909.0,,,,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,584.779,5579.0,5579.0,,,,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,618.355,5900.0,5900.0,,,,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,583.942,5571.0,5571.0,,,,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,609.79,5818.0,5818.0,,,,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,734.962,7012.0,7012.0,,,,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,600.451,5729.0,5729.0,,,,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0,443.646,4233.0,4233.0,,,,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0,495.867,4731.0,4731.0,,,,0.0,0.0,0.0
2013-10-01,0.0,0.0,0.0,471.229,4496.0,4496.0,,,,0.0,0.0,0.0
2013-11-01,0.0,0.0,0.0,434.853,4149.0,4149.0,,,,0.0,0.0,0.0
2013-12-01,0.0,0.0,0.0,458.778,4377.0,4377.0,,,,0.0,0.0,0.0
2014-01-01,0.0,0.0,0.0,406.23,3863.0,3863.0,,,,0.0,0.0,0.0
2014-02-01,0.0,0.0,0.0,352.39,3351.0,3351.0,,,,0.0,0.0,0.0
2014-03-01,0.0,0.0,0.0,308.139,2930.0,2930.0,,,,0.0,0.0,0.0
2014-04-01,0.0,0.0,0.0,397.136,3777.0,3777.0,,,,0.0,0.0,0.0
2014-05-01,0.0,0.0,0.0,485.12,4613.0,4613.0,,,,0.0,0.0,0.0
2014-06-01,0.0,0.0,0.0,406.141,3862.0,3862.0,,,,0.0,0.0,0.0
2014-07-01,0.0,0.0,0.0,390.163,3710.0,3710.0,,,,0.0,0.0,0.0
2014-08-01,0.0,0.0,0.0,390.255,3711.0,3711.0,,,,0.0,0.0,0.0
2014-09-01,0.0,0.0,0.0,297.784,2832.0,2832.0,,,,0.0,0.0,0.0
2014-10-01,0.0,0.0,0.0,292.409,2781.0,2781.0,,,,0.0,0.0,0.0
2014-11-01,0.0,0.0,0.0,297.081,2825.0,2825.0,,,,0.0,0.0,0.0
2014-12-01,0.0,0.0,0.0,390.152,3710.0,3710.0,,,,0.0,0.0,0.0
2015-01-01,0.0,0.0,0.0,506.707,4722.0,4722.0,,,,0.0,0.0,0.0
2015-02-01,0.0,0.0,0.0,432.769,4033.0,4033.0,,,,0.0,0.0,0.0
2015-03-01,0.0,0.0,0.0,433.886,4043.0,4043.0,,,,0.0,0.0,0.0
2015-04-01,0.0,0.0,0.0,436.256,4065.0,4065.0,,,,0.0,0.0,0.0
2015-05-01,0.0,0.0,0.0,412.25,3842.0,3842.0,,,,0.0,0.0,0.0
2015-06-01,0.0,0.0,0.0,473.93,4417.0,4417.0,,,,0.0,0.0,0.0
2015-07-01,0.0,0.0,0.0,365.428,3405.0,3405.0,,,,0.0,0.0,0.0
2015-08-01,0.0,0.0,0.0,349.571,3258.0,3258.0,,,,0.0,0.0,0.0
2015-09-01,0.0,0.0,0.0,292.275,2724.0,2724.0,,,,0.0,0.0,0.0
2015-10-01,0.0,0.0,0.0,345.524,3220.0,3220.0,,,,0.0,0.0,0.0
2015-11-01,0.0,0.0,0.0,318.438,2968.0,2968.0,,,,0.0,0.0,0.0
2015-12-01,0.0,0.0,0.0,412.966,3848.0,3848.0,,,,0.0,0.0,0.0
2016-01-01,0.0,0.0,0.0,419.953,3877.0,3877.0,,,,0.0,0.0,0.0
2016-02-01,0.0,0.0,0.0,401.002,3702.0,3702.0,,,,0.0,0.0,0.0
2016-03-01,0.0,0.0,0.0,422.544,3901.0,3901.0,,,,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0,409.486,3780.0,3780.0,,,,0.0,0.0,0.0
2016-05-01,0.0,0.0,0.0,330.17,3048.0,3048.0,,,,0.0,0.0,0.0
2016-06-01,0.0,0.0,0.0,256.157,2365.0,2365.0,,,,0.0,0.0,0.0
2016-07-01,0.0,0.0,0.0,294.007,2714.0,2714.0,,,,0.0,0.0,0.0
2016-08-01,0.0,0.0,0.0,249.028,2299.0,2299.0,,,,0.0,0.0,0.0
2016-09-01,0.0,0.0,0.0,252.292,2329.0,2329.0,,,,0.0,0.0,0.0
2016-10-01,0.0,0.0,0.0,230.631,2129.0,2129.0,,,,0.0,0.0,0.0
2016-11-01,0.0,0.0,0.0,242.447,2238.0,2238.0,,,,0.0,0.0,0.0
2016-12-01,0.0,0.0,0.0,289.283,2671.0,2671.0,,,,0.0,0.0,0.0
2017-01-01,0.0,0.0,0.0,178.913,1648.0,1648.0,,,,0.0,0.0,0.0
2017-02-01,0.0,0.0,0.0,178.082,1641.0,1641.0,,,,0.0,0.0,0.0
2017-03-01,0.0,0.0,0.0,219.388,2021.0,2021.0,,,,0.0,0.0,0.0
2017-04-01,0.0,0.0,0.0,305.125,2811.0,2811.0,,,,0.0,0.0,0.0
2017-05-01,0.0,0.0,0.0,319.23,2941.0,2941.0,,,,0.0,0.0,0.0
2017-06-01,0.0,0.0,0.0,243.899,2247.0,2247.0,,,,0.0,0.0,0.0
2017-07-01,0.0,0.0,0.0,203.107,1871.0,1871.0,,,,0.0,0.0,0.0
2017-08-01,0.0,0.0,0.0,127.736,1177.0,1177.0,,,,0.0,0.0,0.0
2017-09-01,0.0,0.0,0.0,96.341,888.0,888.0,,,,0.0,0.0,0.0
2017-10-01,0.0,0.0,0.0,92.701,854.0,854.0,,,,0.0,0.0,0.0
2017-11-01,0.0,0.0,0.0,219.467,2022.0,2022.0,,,,0.0,0.0,0.0
2017-12-01,0.0,0.0,0.0,170.011,1566.0,1566.0,,,,0.0,0.0,0.0
2018-01-01,0.0,0.0,0.0,47.864,436.0,436.0,0.0,0.0,0.0,,,
2018-02-01,0.0,0.0,0.0,51.222,466.0,466.0,0.0,0.0,0.0,,,
2018-03-01,0.0,0.0,0.0,56.763,517.0,517.0,0.0,0.0,0.0,,,
2018-04-01,0.0,0.0,0.0,68.051,620.0,620.0,0.0,0.0,0.0,,,
2018-05-01,0.0,0.0,0.0,55.539,506.0,506.0,0.0,0.0,0.0,,,
2018-06-01,0.0,0.0,0.0,25.339,231.0,231.0,0.0,0.0,0.0,,,
2018-07-01,0.0,0.0,0.0,21.898,199.0,199.0,0.0,0.0,0.0,,,
2018-08-01,0.0,0.0,0.0,30.184,275.0,275.0,0.0,0.0,0.0,,,
2018-09-01,0.0,0.0,0.0,28.957,264.0,264.0,0.0,0.0,0.0,,,
2018-10-01,0.0,0.0,0.0,43.16,393.0,393.0,0.0,0.0,0.0,,,
2018-11-01,0.0,0.0,0.0,59.397,541.0,541.0,0.0,0.0,0.0,,,
2018-12-01,0.0,0.0,0.0,63.626,579.0,579.0,0.0,0.0,0.0,,,
2019-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
