measured_on,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Generation,Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Quantity Consumed For Electricity,Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Total Fuel Consumed
2019-11-01,1552.615,16409.0,16409.0,0.0,0.0,0.0
2019-12-01,1610.355,17019.0,17019.0,0.0,0.0,0.0
2020-01-01,1187.717,12618.0,12618.0,0.0,0.0,0.0
2020-02-01,1048.868,11142.0,11142.0,0.0,0.0,0.0
2020-03-01,1164.313,12369.0,12369.0,0.0,0.0,0.0
2020-04-01,823.403,8747.0,8747.0,0.0,0.0,0.0
2020-05-01,774.222,8225.0,8225.0,0.0,0.0,0.0
2020-06-01,1089.106,11570.0,11570.0,0.0,0.0,0.0
2020-07-01,1523.544,16186.0,16186.0,0.0,0.0,0.0
2020-08-01,1894.633,20128.0,20128.0,0.0,0.0,0.0
2020-09-01,1649.93,17528.0,17528.0,0.0,0.0,0.0
2020-10-01,1713.494,18204.0,18204.0,0.0,0.0,0.0
2020-11-01,1368.678,14540.0,14540.0,0.0,0.0,0.0
2020-12-01,1517.092,16117.0,16117.0,0.0,0.0,0.0
2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,3598.713,36964.0,36964.0,0.0,0.0,0.0
2021-07-01,7800.072,80116.0,80116.0,0.0,0.0,0.0
2021-08-01,5500.277,56495.0,56495.0,0.0,0.0,0.0
2021-09-01,4428.329,45485.0,45485.0,0.0,0.0,0.0
2021-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-01,774.608,7956.0,7956.0,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,2049.246,21895.0,21895.0,0.0,0.0,0.0
2022-04-01,1230.712,13150.0,13150.0,0.0,0.0,0.0
2022-05-01,565.659,6043.0,6043.0,0.0,0.0,0.0
2022-06-01,2122.909,22682.0,22682.0,0.0,0.0,0.0
2022-07-01,1086.655,11610.0,11610.0,0.0,0.0,0.0
2022-08-01,888.438,9492.0,9492.0,0.0,0.0,0.0
2022-09-01,4979.642,53205.0,53205.0,0.0,0.0,0.0
2022-10-01,643.57,6876.0,6876.0,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,1232.167,13165.0,13165.0,0.0,0.0,0.0
2023-01-01,435.826,4549.0,4549.0,0.0,0.0,0.0
2023-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,1.691,18.0,18.0,0.0,0.0,0.0
2023-05-01,2.651,28.0,28.0,0.0,0.0,0.0
2023-06-01,697.028,7275.0,7275.0,0.0,0.0,0.0
2023-07-01,5642.183,58891.0,58891.0,0.0,0.0,0.0
2023-08-01,2345.898,24486.0,24486.0,0.0,0.0,0.0
2023-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-01,445.723,4653.0,4653.0,0.0,0.0,0.0
2023-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,32.442,389.0,389.0,0.0,0.0,0.0
2024-02-01,22.005,263.0,263.0,0.0,0.0,0.0
2024-03-01,15.751,188.0,188.0,0.0,0.0,0.0
2024-04-01,13.408,159.0,159.0,0.0,0.0,0.0
2024-05-01,12.064,144.0,144.0,0.0,0.0,0.0
2024-06-01,18.56,221.0,221.0,0.0,0.0,0.0
2024-07-01,35.658,425.0,425.0,0.0,0.0,0.0
2024-08-01,30.973,370.0,370.0,0.0,0.0,0.0
2024-09-01,27.281,325.0,325.0,0.0,0.0,0.0
2024-10-01,28.582,341.0,341.0,0.0,0.0,0.0
2024-11-01,23.016,274.0,274.0,0.0,0.0,0.0
2024-12-01,25.26,301.0,301.0,0.0,0.0,0.0
