measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2011-03-01,119241.0,1271755.0,1307758.0,0.0,0.0,0.0,,,,,,
2011-04-01,57265.759,608631.0,611841.0,948.241,10078.0,10131.0,,,,,,
2011-05-01,126732.0,1341299.0,1388573.0,0.0,0.0,0.0,,,,,,
2011-06-01,119424.76,1265410.0,1316414.0,227.242,2408.0,2505.0,,,,,,
2011-07-01,127359.15,1348238.0,1404146.0,0.0,0.0,0.0,1114.853,11802.0,12291.0,,,
2011-08-01,115008.52,1221127.0,1247022.0,131.235,1393.0,1423.0,8728.247,92674.0,94639.0,,,
2011-09-01,121382.47,1287208.0,1342008.0,127.641,1354.0,1411.0,1387.891,14718.0,15345.0,,,
2011-10-01,128368.0,1358869.0,1383880.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-11-01,117091.0,1242780.0,1266135.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-12-01,115421.04,1228843.0,1280084.0,0.0,0.0,0.0,0.0,0.0,0.0,1896.965,20196.0,21038.0
2012-01-01,127878.0,1355423.0,1370304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,126089.0,1329667.0,1342313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-01,131725.17,1388091.0,1393339.0,39.468,416.0,417.0,2147.364,22628.0,22714.0,0.0,0.0,0.0
2012-04-01,61554.622,653476.0,653476.0,656.336,6968.0,6968.0,4384.042,46542.0,46542.0,0.0,0.0,0.0
2012-05-01,94887.487,1032343.0,1055442.0,0.0,0.0,0.0,4625.513,50324.0,51450.0,0.0,0.0,0.0
2012-06-01,84788.681,928628.0,943750.0,0.0,0.0,0.0,5950.319,65169.0,66231.0,0.0,0.0,0.0
2012-07-01,100295.09,1079749.0,1114338.0,403.269,4341.0,4481.0,7944.644,85530.0,88270.0,0.0,0.0,0.0
2012-08-01,102804.86,1104812.0,1169318.0,0.0,0.0,0.0,10250.137,110155.0,116587.0,0.0,0.0,0.0
2012-09-01,88048.267,946262.0,972910.0,657.724,7069.0,7268.0,6168.009,66288.0,68155.0,0.0,0.0,0.0
2012-10-01,110439.17,1175060.0,1175060.0,0.0,0.0,0.0,8917.832,94885.0,94885.0,0.0,0.0,0.0
2012-11-01,113143.09,1196876.0,1196876.0,470.803,4980.0,4980.0,7207.103,76240.0,76240.0,0.0,0.0,0.0
2012-12-01,109037.25,1172359.0,1184993.0,0.0,0.0,0.0,4380.749,47101.0,47609.0,0.0,0.0,0.0
2013-01-01,112756.98,1207672.0,1246118.0,0.0,0.0,0.0,5606.023,60043.0,61954.0,0.0,0.0,0.0
2013-02-01,106403.08,1131720.0,1141816.0,0.0,0.0,0.0,7872.917,83738.0,84485.0,0.0,0.0,0.0
2013-03-01,120230.51,1278039.0,1301506.0,0.0,0.0,0.0,8950.488,95143.0,96890.0,0.0,0.0,0.0
2013-04-01,48396.472,519407.0,556939.0,1123.592,12059.0,12930.0,1182.936,12696.0,13613.0,0.0,0.0,0.0
2013-05-01,108607.62,1155903.0,1168505.0,347.588,3699.0,3740.0,5478.788,58310.0,58946.0,0.0,0.0,0.0
2013-06-01,110713.54,1177599.0,1183598.0,0.0,0.0,0.0,6496.457,69099.0,69451.0,0.0,0.0,0.0
2013-07-01,112179.32,1181105.0,1181105.0,0.0,0.0,0.0,12071.682,127099.0,127099.0,0.0,0.0,0.0
2013-08-01,94996.126,1015927.0,1021288.0,503.179,5381.0,5410.0,12350.695,132083.0,132780.0,0.0,0.0,0.0
2013-09-01,91515.906,980742.0,1133387.0,0.0,0.0,0.0,7326.094,78511.0,90731.0,0.0,0.0,0.0
2013-10-01,115944.27,1234135.0,1268706.0,0.0,0.0,0.0,6874.732,73176.0,75226.0,0.0,0.0,0.0
2013-11-01,116295.18,1233561.0,1258781.0,0.0,0.0,0.0,5835.818,61901.0,63167.0,0.0,0.0,0.0
2013-12-01,123651.54,1306035.0,1341568.0,0.0,0.0,0.0,5850.462,61794.0,63475.0,0.0,0.0,0.0
2014-01-01,121746.02,1287603.0,1319084.0,0.0,0.0,0.0,7298.98,77195.0,79082.0,0.0,0.0,0.0
2014-02-01,113922.93,1201126.0,1226168.0,0.0,0.0,0.0,6886.073,72602.0,74116.0,0.0,0.0,0.0
2014-03-01,123134.65,1300279.0,1316294.0,171.066,1806.0,1829.0,7985.288,84323.0,85362.0,0.0,0.0,0.0
2014-04-01,79034.337,836494.0,854345.0,7.071,75.0,76.0,4072.592,43104.0,44024.0,0.0,0.0,0.0
2014-05-01,35525.633,361479.0,361479.0,769.733,7832.0,7832.0,2971.634,30237.0,30237.0,,,
2014-06-01,101446.92,1047761.0,1047761.0,0.0,0.0,0.0,6559.078,67743.0,67743.0,,,
2014-07-01,110585.8,1146929.0,1146929.0,0.0,0.0,0.0,7315.197,75869.0,75869.0,,,
2014-08-01,107160.1,1120559.0,1120559.0,0.0,0.0,0.0,7972.901,83372.0,83372.0,,,
2014-09-01,94303.28,987888.0,987888.0,527.624,5527.0,5527.0,5906.096,61870.0,61870.0,,,
2014-10-01,112083.87,1142896.0,1142896.0,408.27,4163.0,4163.0,5378.862,54847.0,54847.0,,,
2014-11-01,86659.24,920086.0,968239.0,775.724,8236.0,8667.0,2120.036,22509.0,23687.0,,,
2014-12-01,108332.7,1159338.0,1190642.0,204.371,2187.0,2246.0,4400.93,47097.0,48369.0,,,
2015-01-01,115144.24,1225570.0,1273515.0,0.0,0.0,0.0,1131.758,12046.0,12517.0,,,
2015-02-01,113364.01,1200015.0,1230077.0,0.0,0.0,0.0,4757.988,50366.0,51627.0,,,
2015-03-01,110901.91,1185567.0,1208400.0,0.0,0.0,0.0,5366.088,57365.0,58470.0,,,
2015-04-01,48438.423,524885.0,543978.0,967.06,10479.0,10860.0,1010.517,10950.0,11348.0,,,
2015-05-01,101949.48,1100197.0,1148162.0,78.838,851.0,888.0,793.682,8565.0,8939.0,,,
2015-06-01,88099.0,963189.0,1028174.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2015-07-01,95540.122,1039798.0,1087591.0,0.0,0.0,0.0,783.878,8531.0,8923.0,,,
2015-08-01,92536.323,1016013.0,1052404.0,0.0,0.0,0.0,2658.677,29191.0,30237.0,,,
2015-09-01,84293.959,910936.0,931698.0,0.0,0.0,0.0,5535.041,59815.0,61179.0,,,
2015-10-01,89380.139,966148.0,1013500.0,0.0,0.0,0.0,5690.861,61515.0,64530.0,,,
2015-11-01,85203.321,928971.0,986048.0,0.0,0.0,0.0,5416.679,59058.0,62687.0,,,
2015-12-01,100130.23,1061039.0,1061039.0,168.133,1782.0,1782.0,6481.639,68683.0,68683.0,,,
2016-01-01,105621.12,927280.0,1186735.0,0.0,0.0,0.0,1734.879,15231.0,19493.0,,,
2016-02-01,97153.0,855295.0,1107455.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2016-03-01,103897.68,916551.0,1186163.0,0.0,0.0,0.0,177.32,1564.0,2024.0,,,
2016-04-01,42824.129,380910.0,581558.0,491.871,4375.0,6680.0,0.0,0.0,0.0,,,
2016-05-01,73790.588,670519.0,885035.0,4.412,40.0,53.0,0.0,0.0,0.0,,,
2016-06-01,76401.456,693520.0,928765.0,102.544,931.0,1247.0,0.0,0.0,0.0,,,
2016-07-01,89435.04,804643.0,1081697.0,18.96,171.0,229.0,0.0,0.0,0.0,,,
2016-08-01,72833.123,656707.0,885669.0,370.877,3344.0,4510.0,0.0,0.0,0.0,,,
2016-09-01,31889.499,288377.0,383751.0,429.501,3884.0,5169.0,0.0,0.0,0.0,,,
2016-10-01,103724.55,916495.0,1202081.0,340.446,3008.0,3945.0,0.0,0.0,0.0,,,
2016-11-01,81187.828,733430.0,969209.0,286.172,2585.0,3416.0,0.0,0.0,0.0,,,
2016-12-01,102245.21,904234.0,1180242.0,15.791,140.0,182.0,0.0,0.0,0.0,,,
2017-01-01,94604.0,843850.0,1107106.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-02-01,70535.28,637551.0,852691.0,349.72,3161.0,4228.0,0.0,0.0,0.0,,,
2017-03-01,109241.0,959656.0,1253157.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-04-01,77830.0,682842.0,884400.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-05-01,77247.065,675947.0,854905.0,1254.935,10981.0,13889.0,0.0,0.0,0.0,,,
2017-06-01,85712.603,779868.0,1001000.0,418.397,3807.0,4886.0,0.0,0.0,0.0,,,
2017-07-01,96315.0,856870.0,1102506.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-08-01,94715.905,846985.0,1088130.0,4.095,37.0,47.0,0.0,0.0,0.0,,,
2017-09-01,97358.0,857792.0,1083808.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-10-01,89649.741,791314.0,989144.0,271.259,2394.0,2993.0,0.0,0.0,0.0,,,
2017-11-01,103864.0,913602.0,1133850.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-12-01,108866.0,955887.0,1188651.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-01-01,123432.0,1073617.0,1282803.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-02-01,95286.0,841911.0,1009026.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-03-01,121444.0,1066925.0,1284494.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-04-01,55140.194,489260.0,606856.0,269.806,2394.0,2969.0,0.0,0.0,0.0,,,
2018-05-01,115500.0,1021987.0,1312398.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-06-01,101774.0,908290.0,1174702.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-07-01,107534.0,956756.0,1229517.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-08-01,122831.0,1081705.0,1385187.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-09-01,66621.0,583444.0,736125.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-11-01,117200.19,1024152.0,1282133.0,362.808,3170.0,3969.0,0.0,0.0,0.0,,,
2018-12-01,114642.0,1011953.0,1258490.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-01-01,111657.0,988681.0,1236392.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-02-01,97308.0,865213.0,1093728.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-03-01,110208.0,930685.0,1229597.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-04-01,96659.0,864616.0,1097929.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-05-01,97816.0,877985.0,1127001.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-06-01,72475.779,660543.0,861665.0,481.221,4386.0,5721.0,0.0,0.0,0.0,,,
2019-07-01,100119.0,899473.0,1164016.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-08-01,93777.0,847021.0,1097781.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-09-01,98632.0,882304.0,1134281.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-10-01,97160.0,872968.0,1129230.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-11-01,38479.813,347274.0,449170.0,430.187,3882.0,5022.0,0.0,0.0,0.0,,,
2019-12-01,88607.0,802293.0,1035995.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-01-01,91858.0,827232.0,1054682.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-02-01,71448.0,658283.0,861366.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-03-01,72079.0,670404.0,880011.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-04-01,67445.0,628630.0,821118.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-05-01,74071.0,686184.0,906411.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-06-01,76039.0,700538.0,916310.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-07-01,61769.928,552103.0,708022.0,220.072,1967.0,2523.0,0.0,0.0,0.0,,,
2020-08-01,77185.404,695337.0,910523.0,451.596,4068.0,5327.0,0.0,0.0,0.0,,,
2020-09-01,79659.0,729703.0,962923.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-10-01,86605.0,787637.0,1026185.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-11-01,94941.0,849906.0,1089027.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-12-01,99667.0,891292.0,1143662.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-01-01,102804.0,917564.0,1172599.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-02-01,104530.0,923861.0,1169850.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-03-01,90901.0,821400.0,1065895.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-04-01,11441.259,104314.0,139945.0,280.741,2560.0,3434.0,0.0,0.0,0.0,,,
2021-05-01,87070.876,774555.0,981000.0,420.124,3737.0,4733.0,0.0,0.0,0.0,,,
2021-06-01,104851.68,933823.0,1186160.0,87.321,778.0,988.0,0.0,0.0,0.0,,,
2021-07-01,115490.92,1025797.0,1294541.0,87.08,773.0,976.0,0.0,0.0,0.0,,,
2021-08-01,126202.33,1110600.0,1402102.0,111.673,983.0,1241.0,0.0,0.0,0.0,,,
2021-09-01,127787.0,1121191.0,1419117.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-10-01,134518.0,1178815.0,1493080.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-11-01,130067.0,1140414.0,1446320.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-12-01,115108.0,1022235.0,1308682.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-01-01,126281.0,1113018.0,1414443.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-02-01,111969.0,988069.0,1255164.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-03-01,99592.495,875476.0,1127143.0,292.505,2571.0,3310.0,0.0,0.0,0.0,,,
2022-04-01,115996.82,1016634.0,1313771.0,262.177,2298.0,2969.0,0.0,0.0,0.0,,,
2022-05-01,23437.164,205977.0,263808.0,7.836,69.0,88.0,0.0,0.0,0.0,,,
2022-06-01,62235.438,549281.0,688358.0,673.562,5945.0,7450.0,0.0,0.0,0.0,,,
2022-07-01,125506.0,1104937.0,1360161.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-08-01,133799.0,1170448.0,1433329.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-09-01,120390.0,1059519.0,1311971.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-10-01,126235.0,1109365.0,1377664.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-11-01,114858.0,1014961.0,1264243.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-12-01,98488.484,864607.0,1077381.0,451.516,3964.0,4939.0,0.0,0.0,0.0,,,
2023-01-01,31121.695,281151.0,355004.0,293.305,2650.0,3346.0,0.0,0.0,0.0,,,
2023-02-01,59664.3,556918.0,733197.0,284.7,2657.0,3499.0,0.0,0.0,0.0,,,
2023-03-01,78632.0,722413.0,944475.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2023-04-01,31690.34,291301.0,382092.0,92.66,852.0,1117.0,0.0,0.0,0.0,,,
2023-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2023-06-01,56760.625,447845.0,700168.0,462.375,3648.0,5704.0,0.0,0.0,0.0,,,
2023-07-01,80213.734,728362.0,942832.0,68.266,620.0,802.0,0.0,0.0,0.0,,,
2023-08-01,74905.0,686099.0,873832.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2023-09-01,72952.0,666387.0,863095.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2023-10-01,25479.656,218756.0,318513.0,407.344,3497.0,5092.0,0.0,0.0,0.0,,,
2023-11-01,80876.0,729532.0,934590.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2023-12-01,64150.0,600295.0,792397.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024-01-01,75464.0,691612.0,900365.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024-02-01,69236.0,635307.0,824955.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024-03-01,85610.0,764164.0,989941.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024-04-01,10385.276,97654.0,133260.0,348.724,3279.0,4475.0,0.0,0.0,0.0,,,
2024-05-01,85290.868,762902.0,983492.0,225.132,2014.0,2596.0,0.0,0.0,0.0,,,
2024-06-01,754.505,6945.0,9396.0,42.495,391.0,529.0,0.0,0.0,0.0,,,
2024-07-01,0.0,0.0,9396.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
