measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Black Liquor Generation,Black Liquor Quantity Consumed For Electricity,Black Liquor Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Biomass Solids Generation,Other Biomass Solids Quantity Consumed For Electricity,Other Biomass Solids Total Fuel Consumed,Other Generation,Other Quantity Consumed For Electricity,Other Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2005-04-01,12551.02445,80670.06,352350.0,5488.89587,35279.16,154092.0,206.20940000000002,1325.38,5789.0,,,,,,,49.9975,321.35,1403.6,1676.90378,10778.08,47076.4
2005-05-01,11964.2315,76898.53,287125.0,5734.33063,36856.66,137616.0,1450.91699,9325.58,34820.0,,,,,,,146.48261,941.5,3515.38,871.75026,5603.06,20920.8
2005-06-01,11054.10339,71048.8,334425.0,6251.97677,40183.76,189144.0,745.43512,4791.19,22552.0,,,,,,,90.46961999999999,581.48,2737.02,912.5961000000001,5865.59,27609.2
2005-07-01,7966.21268,51201.79,247100.0,6476.908100000001,41629.48,200904.0,1441.04306,9262.12,44699.0,,,,,,,56.15164,360.91,1741.74,696.11352,4474.18,21592.4
2005-08-01,10949.21179,70374.63,343850.0,3777.21536,24277.56,118620.0,448.69956,2883.96,14091.0,,,,,,,60.54116,389.12,1901.24,947.12513,6087.52,29743.6
2005-09-01,9960.42006,64019.29,234725.0,0.0,0.0,0.0,219.55571,1411.17,5174.0,,,,,,,0.0,0.0,0.0,942.02723,6054.76,22199.6
2005-10-01,11112.04498,71421.21,301600.0,0.0,0.0,0.0,263.28472999999997,1692.23,7146.0,,,,,,,0.0,0.0,0.0,1020.95229,6562.04,27710.4
2005-11-01,8469.77686,54438.39,259150.0,0.0,0.0,0.0,206.81747,1329.29,6328.0,,,,,,,0.0,0.0,0.0,1124.55367,7227.92,34408.0
2005-12-01,8154.09461,52409.37,264375.0,0.0,0.0,0.0,115.35249,741.41,3740.0,,,,,,,0.0,0.0,0.0,899.2189000000001,5779.61,29154.8
2006-01-01,8670.65648,55729.5,258144.0,,,,327.78967,2106.83,9759.0,,,,,,,,,,1279.62585,8224.63,38097.2
2006-02-01,8867.15374,56992.47,257472.0,,,,63.643809999999995,409.06,1848.0,,,,,,,,,,838.67945,5390.5,24352.4
2006-03-01,9949.98403,63952.21,272424.0,,,,183.75169,1181.04,5031.0,,,,,,,,,,1499.65629,9638.84,41059.6
2006-04-01,10012.62989,64354.87,267744.0,,,,273.81557,1759.91,7322.0,,,,,,,,,,1544.42154,9926.57,41298.8
2006-05-01,10678.8932,68637.18,222768.0,,,,1718.55168,11045.76,35850.0,,,,,,,,,,1208.84411,7769.69,25217.2
2006-06-01,10241.30644,65824.65,237072.0,,,,279.41204,1795.88,6468.0,,,,,,,,,,2273.31153,14611.41,52624.0
2006-07-01,9810.78771,63057.55,208800.0,,,,98.90665,635.71,2105.0,,,,,,,,,,1696.68364,10905.21,36110.0
2006-08-01,11024.87176,70860.92,255168.0,,,,11.70891,75.26,271.0,,,,,,,,,,2133.77033,13714.53,49385.6
2006-09-01,9699.57826,62342.77,223080.0,,,,160.70307,1032.9,3696.0,,,,,,,,,,1292.45967,8307.12,29725.2
2006-10-01,10122.10616,65058.51,276360.0,,,,189.3225,1216.85,5169.0,,,,,,,,,,792.87634,5096.11,21647.6
2006-11-01,9441.18271,60681.96,242088.0,,,,388.07875,2494.33,9951.0,,,,,,,,,,1403.58854,9021.38,35990.4
2006-12-01,9951.00627,63958.79,263088.0,,,,579.91557,3727.33,15332.0,,,,,,,,,,1327.89016,8534.84,35107.2
2007-01-01,9366.422,60192.0,263328.0,,,,329.444,2117.0,9262.0,,,,,,,,,,983.6790000000001,6320.0,27655.0
2007-02-01,7993.13,51384.0,247416.0,,,,200.203,1287.0,6197.0,,,,,,,,,,1256.643,8078.0,38898.0
2007-03-01,8408.114,54048.0,257280.0,,,,359.783,2312.0,11009.0,,,,,,,,,,1663.871,10690.0,50913.0
2007-04-01,9395.216,60384.0,254424.0,,,,484.22900000000004,3112.0,13113.0,,,,,,,,,,1637.509,10525.0,44344.0
2007-05-01,9249.017,59448.0,217080.0,,,,37.195,239.0,873.0,,,,,,,,,,2087.292,13414.0,48990.0
2007-06-01,9799.697,62976.0,234312.0,,,,59.305,381.0,1418.0,,,,,,,,,,1956.962,12576.0,46791.0
2007-07-01,9441.848,60696.0,200880.0,,,,55.275,355.0,1176.0,,,,,,,,,,2116.707,13607.0,45034.0
2007-08-01,10469.454,67296.0,252672.0,,,,33.417,215.0,806.0,,,,,,,,,,1727.606,11106.0,41694.0
2007-09-01,10184.734,65472.0,240456.0,,,,28.619,184.0,676.0,,,,,,,,,,2249.065,14458.0,53099.0
2007-10-01,10452.829,67176.0,237072.0,,,,509.365,3274.0,11552.0,,,,,,,,,,1092.231,7022.0,24772.0
2007-11-01,7783.52,50016.0,229344.0,,,,34.362,220.0,1012.0,,,,,,,,,,1735.49,11158.0,51137.0
2007-12-01,7732.589,49704.0,236088.0,,,,161.121,1035.0,4919.0,,,,,,,,,,1835.7140000000002,11801.0,56047.0
2008-01-01,9127.69,58667.0,254011.0,,,,126.471,813.0,3520.0,,,,,,,,,,851.585,5473.0,23698.0
2008-02-01,8550.434000000001,54957.0,229798.0,,,,83.05,534.0,2232.0,,,,,,,,,,1456.4270000000001,9361.0,39142.0
2008-03-01,9186.103000000001,59042.0,233402.0,,,,76.69800000000001,493.0,1949.0,,,,,,,,,,1721.3400000000001,11064.0,43736.0
2008-04-01,10284.643,66103.0,329998.0,,,,282.19800000000004,1814.0,9055.0,,,,,,,,,,768.4730000000001,4939.0,24658.0
2008-05-01,10587.788,68052.0,236018.0,,,,5.4990000000000006,35.0,123.0,,,,,,,,,,1665.136,10702.0,37118.0
2008-06-01,10037.658,64516.0,217864.0,,,,87.555,563.0,1900.0,,,,,,,,,,1521.219,9777.0,33018.0
2008-07-01,10110.874,64986.0,221720.0,,,,58.337,375.0,1279.0,,,,,,,,,,2355.617,15140.0,51656.0
2008-08-01,10040.374,64533.0,212861.0,,,,195.11200000000002,1254.0,4136.0,,,,,,,,,,2268.849,14583.0,48101.0
2008-09-01,9867.833,63424.0,215937.0,,,,397.166,2553.0,8691.0,,,,,,,,,,1866.738,11998.0,40850.0
2008-10-01,9672.846000000001,62171.0,218851.0,,,,72.429,466.0,1639.0,,,,,,,,,,2521.53,16207.0,57050.0
2008-11-01,9965.899000000001,64055.0,198540.0,,,,32.107,206.0,640.0,,,,,,,,,,2146.774,13798.0,42768.0
2008-12-01,8091.995000000001,52010.0,112868.0,,,,1630.6470000000002,10481.0,22744.0,,,,,,,,,,1182.324,7599.0,16491.0
2009-01-01,2957.154,17705.0,90171.0,,,,948.412,5678.0,28919.0,,,,,,,,,,515.434,3086.0,15717.0
2009-02-01,2056.65,12313.0,61621.0,,,,836.466,5008.0,25062.0,,,,,,,,,,504.884,3023.0,15127.0
2009-03-01,938.925,5621.0,33369.0,,,,347.141,2078.0,12337.0,,,,,,,,,,446.934,2676.0,15884.0
2009-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0
2009-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0
2009-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0
2009-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0
2009-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0
2009-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0
2009-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0
2009-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0
2010-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0
2010-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0
2010-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0
2010-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0
2010-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0
2010-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0
2010-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0
2010-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0
2010-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0
2010-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0
2010-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0
