measured_on,"Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-10-01,,,,0.0,0.0,0.0,,,,,,,8531.03,139841.0,139841.0,,,,,,
2004-11-01,,,,0.0,0.0,0.0,,,,,,,7918.779,129805.0,129805.0,,,,,,
2004-12-01,,,,0.0,0.0,0.0,,,,,,,8508.263,139468.0,139468.0,,,,,,
2005-01-01,,,,32.334,526.34,526.34,,,,,,,9704.308,159535.23,159535.23,,,,,,
2005-02-01,,,,25.867,421.07,421.07,,,,,,,8449.212,138901.9,138901.9,,,,,,
2005-03-01,,,,35.896,584.32,584.32,,,,,,,8766.034,144110.34,144110.34,,,,,,
2005-04-01,,,,34.074000000000005,554.67,554.67,,,,,,,7812.26,128430.66,128430.66,,,,,,
2005-05-01,,,,32.583,530.39,530.39,,,,,,,8576.291000000001,140991.05,140991.05,,,,,,
2005-06-01,,,,61.508,1001.23,1001.23,,,,,,,9552.21,157034.78,157034.78,,,,,,
2005-07-01,,,,80.97200000000001,1318.07,1318.07,,,,,,,10097.697,166002.39,166002.39,,,,,,
2005-08-01,,,,80.438,1309.37,1309.37,,,,,,,10210.043,167849.31,167849.31,,,,,,
2005-09-01,,,,48.7,792.74,792.74,,,,,,,9356.654,153819.9,153819.9,,,,,,
2005-10-01,,,,34.531,562.1,562.1,,,,,,,8835.607,145254.11,145254.11,,,,,,
2005-11-01,,,,30.264000000000003,492.64,492.64,,,,,,,8614.307,141616.01,141616.01,,,,,,
2005-12-01,,,,37.832,615.84,615.84,,,,,,,9620.377,158155.44,158155.44,,,,,,
2006-01-01,,,,32.812000000000005,536.0,536.0,,,,,,,7973.637000000001,133663.0,133663.0,,,,,,
2006-02-01,,,,37.091,606.0,606.0,,,,,,,7594.014,127299.0,127299.0,,,,,,
2006-03-01,,,,48.877,799.0,799.0,,,,,,,7759.677000000001,130076.0,130076.0,,,,,,
2006-04-01,,,,40.447,661.0,661.0,,,,,,,6601.7570000000005,110666.0,110666.0,,,,,,
2006-05-01,,,,53.28,871.0,871.0,,,,,,,7055.165,118267.0,118267.0,,,,,,
2006-06-01,,,,68.63,1122.0,1122.0,,,,,,,7643.212,128124.0,128124.0,,,,,,
2006-07-01,,,,122.811,2007.0,2007.0,,,,,,,8694.14,145741.0,145741.0,,,,,,
2006-08-01,,,,109.129,1784.0,1784.0,,,,,,,8756.873,146793.0,146793.0,,,,,,
2006-09-01,,,,64.19200000000001,1049.0,1049.0,,,,,,,7275.905000000001,121967.0,121967.0,,,,,,
2006-10-01,,,,69.532,1136.0,1136.0,,,,,,,7525.778,126156.0,126156.0,,,,,,
2006-11-01,,,,46.746,764.0,764.0,,,,,,,7441.1630000000005,124737.0,124737.0,,,,,,
2006-12-01,,,,47.453,776.0,776.0,,,,,,,8055.679,135038.0,135038.0,,,,,,
2007-01-01,,,,0.0,0.0,0.0,,,,,,,7470.0,126976.0,126976.0,,,,,,
2007-02-01,,,,0.0,0.0,0.0,,,,,,,7632.0,132544.0,132544.0,,,,,,
2007-03-01,,,,0.0,0.0,0.0,,,,,,,10537.0,172519.0,172519.0,,,,,,
2007-04-01,,,,65.87100000000001,1116.0,1116.0,,,,,,,6678.129,113098.0,113098.0,,,,,,
2007-05-01,,,,0.0,0.0,0.0,,,,,,,6383.0,111710.0,111710.0,,,,,,
2007-06-01,,,,0.0,0.0,0.0,,,,,,,8856.0,156115.0,156115.0,,,,,,
2007-07-01,,,,367.853,6210.0,6210.0,,,,,,,7635.147,128890.0,128890.0,,,,,,
2007-08-01,,,,4964.695000000001,77320.0,77320.0,,,,,,,4967.305,77361.0,77361.0,,,,,,
2007-09-01,,,,1230.207,20035.0,20035.0,,,,,,,4364.793000000001,71084.0,71084.0,,,,,,
2007-10-01,,,,0.0,0.0,0.0,,,,,,,4628.0,77545.0,77545.0,,,,,,
2007-11-01,,,,0.0,0.0,0.0,,,,,,,4923.0,84960.0,84960.0,,,,,,
2007-12-01,,,,0.0,0.0,0.0,,,,,,,5234.0,93720.0,93720.0,,,,,,
2008-01-01,,,,0.0,0.0,0.0,,,,,,,4473.0,75199.0,75199.0,,,,,,
2008-02-01,,,,0.0,0.0,0.0,,,,,,,4396.0,81801.0,81801.0,,,,,,
2008-03-01,,,,0.0,0.0,0.0,,,,,,,4388.0,76825.0,76825.0,,,,,,
2008-04-01,,,,0.0,0.0,0.0,,,,,,,4618.0,81300.0,81300.0,,,,,,
2008-05-01,,,,0.0,0.0,0.0,,,,,,,1116.0,15714.0,15714.0,,,,,,
2008-06-01,,,,0.0,0.0,0.0,,,,,,,5600.0,104155.0,104155.0,,,,,,
2008-07-01,,,,107.58,1820.0,1820.0,,,,,,,8313.42,140671.0,140671.0,,,,,,
2008-08-01,,,,0.0,0.0,0.0,,,,,,,7681.0,132115.0,132115.0,,,,,,
2008-09-01,17.607,330.0,330.0,57.736000000000004,1082.0,1082.0,,,,,,,6815.3150000000005,127738.0,127738.0,,,,21.342000000000002,400.0,400.0
2008-10-01,,,,0.0,0.0,0.0,,,,9.849,170.0,170.0,5691.908,98244.0,98244.0,3.0130000000000003,52.0,52.0,27.23,470.0,470.0
2008-11-01,0.767,13.0,13.0,0.0,0.0,0.0,,,,,,,5625.233,95390.0,95390.0,,,,,,
2008-12-01,62.899,1183.0,1183.0,0.0,0.0,0.0,,,,,,,6581.101000000001,123776.0,123776.0,,,,,,
2009-01-01,,,,0.0,0.0,0.0,,,,,,,5308.0,101256.0,101256.0,,,,,,
2009-02-01,,,,0.0,0.0,0.0,,,,,,,3472.0,52152.0,52152.0,,,,,,
2009-03-01,,,,0.0,0.0,0.0,,,,368.505,6735.0,6735.0,5300.495,96875.0,96875.0,,,,,,
2009-04-01,,,,0.0,0.0,0.0,114.266,1965.0,1965.0,94.20400000000001,1620.0,1620.0,5490.53,94419.0,94419.0,,,,,,
2009-05-01,,,,3794.4860000000003,62740.0,62740.0,,,,,,,1222.5140000000001,20214.0,20214.0,,,,,,
2009-06-01,52.617000000000004,945.0,945.0,0.0,0.0,0.0,,,,,,,5663.383000000001,101715.0,101715.0,,,,,,
2009-07-01,,,,0.0,0.0,0.0,,,,,,,5713.321,96196.0,96196.0,,,,187.679,3160.0,3160.0
2009-08-01,,,,56.589000000000006,1028.0,1028.0,,,,,,,5348.357,97174.0,97174.0,,,,6.054,110.0,110.0
2009-09-01,,,,0.0,0.0,0.0,,,,,,,4459.0,74272.0,74272.0,,,,,,
2009-10-01,,,,0.0,0.0,0.0,,,,,,,4585.0,75025.0,75025.0,,,,,,
2009-11-01,,,,0.0,0.0,0.0,,,,,,,4560.0,74123.0,74123.0,,,,,,
2009-12-01,,,,0.0,0.0,0.0,,,,,,,4650.0,82898.0,82898.0,,,,,,
2010-01-01,,,,0.0,0.0,0.0,,,,,,,5245.0,96851.0,96851.0,,,,,,
2010-02-01,,,,0.0,0.0,0.0,,,,,,,2568.0,56358.0,56358.0,,,,,,
2010-03-01,,,,0.0,0.0,0.0,,,,,,,2354.0,55684.0,55684.0,,,,,,
2010-04-01,,,,0.0,0.0,0.0,,,,,,,1601.0,34491.0,34491.0,,,,,,
2010-05-01,,,,0.0,0.0,0.0,,,,,,,546.0,13749.0,13749.0,,,,,,
2010-06-01,,,,0.0,0.0,0.0,,,,,,,5196.0,93163.0,93163.0,,,,,,
2010-07-01,,,,0.0,0.0,0.0,,,,,,,5587.0,111756.0,111756.0,,,,,,
2010-08-01,,,,51.258,950.0,950.0,,,,,,,6103.742,113086.0,113086.0,,,,,,
2010-09-01,,,,0.0,0.0,0.0,,,,,,,5649.0,100996.0,100996.0,,,,,,
2010-10-01,,,,0.0,0.0,0.0,,,,,,,5907.0,104677.0,104677.0,,,,,,
2010-11-01,,,,0.0,0.0,0.0,,,,,,,3353.0,69461.0,69461.0,,,,,,
2010-12-01,,,,0.0,0.0,0.0,,,,,,,2433.0,53243.0,53243.0,,,,,,
2011-01-01,,,,0.0,0.0,0.0,,,,,,,2391.0,57747.0,57747.0,,,,,,
2011-02-01,,,,0.0,0.0,0.0,,,,,,,2186.0,49507.0,49507.0,,,,,,
2011-03-01,,,,0.0,0.0,0.0,,,,,,,2523.0,52747.0,52747.0,,,,,,
2011-04-01,,,,285.749,5808.0,5808.0,,,,,,,2309.251,46934.0,46934.0,,,,,,
2011-05-01,,,,1499.889,29064.0,29064.0,,,,,,,1252.111,24263.0,24263.0,,,,,,
2011-06-01,,,,0.0,0.0,0.0,,,,,,,5085.0,106332.0,106332.0,,,,,,
2011-07-01,,,,0.0,0.0,0.0,,,,,,,5672.0,102200.0,102200.0,,,,,,
2011-08-01,,,,60.221,1079.0,1079.0,,,,,,,6637.779,118979.0,118979.0,,,,,,
2011-09-01,,,,0.0,0.0,0.0,,,,,,,5673.0,105719.0,105719.0,,,,,,
2011-10-01,,,,0.0,0.0,0.0,,,,,,,6061.0,113049.0,113049.0,,,,,,
2011-11-01,,,,1207.738,21459.0,21459.0,,,,,,,4794.262,85184.0,85184.0,,,,,,
2011-12-01,,,,671.033,11803.0,11803.0,,,,,,,5657.967,99516.0,99516.0,,,,,,
2012-01-01,,,,0.0,0.0,0.0,,,,,,,6251.0,110239.0,110239.0,,,,,,
2012-02-01,,,,0.0,0.0,0.0,,,,,,,5761.0,102647.0,102647.0,,,,,,
2012-03-01,,,,392.275,7228.0,7228.0,,,,,,,5685.725,104771.0,104771.0,,,,,,
2012-04-01,,,,2844.771,47472.0,47472.0,,,,,,,3364.229,56141.0,56141.0,,,,,,
2012-05-01,,,,1042.0,16431.0,16431.0,,,,,,,0.0,0.0,0.0,,,,,,
2012-06-01,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,
2012-07-01,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,
2012-08-01,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,
2012-09-01,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,
2012-10-01,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,
2012-11-01,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,
2012-12-01,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,
