measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-09-01,147375.0,1715116.0,1715116.0,3097.0,36039.0,36039.0,0.0,0.0,0.0
2004-10-01,111686.0,1243859.0,1243859.0,1090.0,12144.0,12144.0,0.0,0.0,0.0
2004-11-01,61304.0,705607.0,705607.0,1589.0,18286.0,18286.0,0.0,0.0,0.0
2004-12-01,53226.0,619268.0,619268.0,2013.0,22313.0,22313.0,0.0,0.0,0.0
2005-01-01,91360.0,1072537.62,1072537.62,5852.0,68698.62,68698.62,0.0,0.0,0.0
2005-02-01,163220.0,1792986.62,1792986.62,2490.0,27356.55,27356.55,0.0,0.0,0.0
2005-03-01,159840.0,1788293.99,1788293.99,3327.0,37217.04,37217.04,0.0,0.0,0.0
2005-04-01,89690.0,1062460.55,1062460.55,2893.0,34275.6,34275.6,0.0,0.0,0.0
2005-05-01,147045.0,1680805.78,1680805.78,4425.0,50382.91,50382.91,0.0,0.0,0.0
2005-06-01,124722.0,1425832.04,1425832.04,2533.0,30199.02,30199.02,0.0,0.0,0.0
2005-07-01,176473.0,2065810.99,2065810.99,2085.0,24401.71,24401.71,0.0,0.0,0.0
2005-08-01,160000.0,1834742.73,1834742.73,1837.0,21510.78,21510.78,0.0,0.0,0.0
2005-09-01,171117.0,1968270.19,1968270.19,3957.0,50994.29,50994.29,0.0,0.0,0.0
2005-10-01,97216.0,1095874.56,1095874.56,2126.0,23900.64,23900.64,0.0,0.0,0.0
2005-11-01,97758.0,1083359.51,1083359.51,2174.0,25147.12,25147.12,0.0,0.0,0.0
2005-12-01,138267.0,1560466.98,1560466.98,2242.0,25200.73,25200.73,0.0,0.0,0.0
2006-01-01,140412.0,1551311.0,1551311.0,1864.0,20595.0,20595.0,0.0,0.0,0.0
2006-02-01,138198.0,1554949.0,1554949.0,2876.0,32823.0,32823.0,0.0,0.0,0.0
2006-03-01,134023.0,1492437.0,1492437.0,1819.0,20987.0,20987.0,0.0,0.0,0.0
2006-04-01,115465.0,1285733.0,1285733.0,2988.0,32784.0,32784.0,0.0,0.0,0.0
2006-05-01,126433.0,1404199.0,1404199.0,3599.0,39040.0,39040.0,0.0,0.0,0.0
2006-06-01,129293.0,1236917.0,1236917.0,8940.0,112845.0,112845.0,0.0,0.0,0.0
2006-07-01,176026.0,1651956.0,1651956.0,6385.0,82143.0,82143.0,0.0,0.0,0.0
2006-08-01,192654.0,2092417.0,2092417.0,3110.0,37909.0,37909.0,0.0,0.0,0.0
2006-09-01,117111.0,1456400.0,1456400.0,1450.0,18037.0,18037.0,0.0,0.0,0.0
2006-10-01,88049.0,975071.0,975071.0,2256.0,25391.0,25391.0,0.0,0.0,0.0
2006-11-01,89541.0,994209.0,994209.0,2209.0,24536.0,24536.0,0.0,0.0,0.0
2006-12-01,133265.0,1465705.0,1465705.0,2129.0,23071.0,23071.0,0.0,0.0,0.0
2007-01-01,123916.542,1379908.0,1379908.0,1718.459,19136.0,19136.0,0.0,0.0,0.0
2007-02-01,148351.613,1616434.0,1616434.0,3320.387,36179.0,36179.0,0.0,0.0,0.0
2007-03-01,119396.36,1299795.0,1299795.0,1816.64,19777.0,19777.0,0.0,0.0,0.0
2007-04-01,130068.303,1476120.0,1476120.0,8626.697,97903.0,97903.0,0.0,0.0,0.0
2007-05-01,87129.802,934431.0,934431.0,1568.198,16818.0,16818.0,0.0,0.0,0.0
2007-06-01,70932.922,772484.0,772484.0,297.07800000000003,3235.0,3235.0,0.0,0.0,0.0
2007-07-01,116693.163,1269191.0,1269191.0,166.836,1815.0,1815.0,0.0,0.0,0.0
2007-08-01,103644.728,1114482.0,1114482.0,296.272,3186.0,3186.0,0.0,0.0,0.0
2007-09-01,94141.637,1008176.0,1008176.0,215.363,2306.0,2306.0,0.0,0.0,0.0
2007-10-01,86664.99,898916.0,898916.0,230.01,2386.0,2386.0,0.0,0.0,0.0
2007-11-01,78601.409,859093.0,859093.0,299.591,3274.0,3274.0,0.0,0.0,0.0
2007-12-01,100116.626,1088056.0,1088056.0,427.374,4645.0,4645.0,0.0,0.0,0.0
2008-01-01,89545.079,930195.0,930195.0,957.921,9951.0,9951.0,0.0,0.0,0.0
2008-02-01,67338.717,770350.0,770350.0,1395.2830000000001,15962.0,15962.0,0.0,0.0,0.0
2008-03-01,68762.98,766182.0,766182.0,598.02,6663.0,6663.0,0.0,0.0,0.0
2008-04-01,58667.545,683721.0,683721.0,95.455,1112.0,1112.0,0.0,0.0,0.0
2008-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
