measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Kerosene-Combined Cycle Combustion Turbine Part Generation,Kerosene-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Kerosene-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Kerosene-Combined Cycle Steam Part Generation,Kerosene-Combined Cycle Steam Part Quantity Consumed For Electricity,Kerosene-Combined Cycle Steam Part Total Fuel Consumed,Kerosene-Combustion (Gas) Turbine (including jet engine design) Generation,Kerosene-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Kerosene-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Residual Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Residual Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Residual Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2005-06-01,0.0,0.0,0.0,0.0,0.0,0.0,5.0,112.1,112.1,,,,,,,,,,9931.0,135277.43,135277.43,2433.0,0.0,0.0,39.0,850.11,850.11,,,,,,,,,,0.0,0.0,0.0
2005-07-01,405.0,5557.8,5557.8,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,22097.0,305013.09,305013.09,6807.0,0.0,0.0,-3.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0
2005-08-01,1181.0,15343.5,15343.5,0.0,0.0,0.0,24.0,596.37,596.37,,,,,,,,,,14096.0,183428.98,183428.98,4166.0,0.0,0.0,21.0,524.22,524.22,,,,,,,,,,0.0,0.0,0.0
2005-09-01,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,92.51,92.51,,,,,,,,,,6408.0,81751.34,81751.34,1338.0,0.0,0.0,-1.0,81.74,81.74,,,,,,,,,,0.0,0.0,0.0
2005-10-01,879.0,12452.95,12452.95,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,5264.0,74678.01,74678.01,1258.0,0.0,0.0,-1.0,127.53,127.53,,,,,,,,,,0.0,0.0,0.0
2005-11-01,857.0,13043.52,13043.52,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,3782.0,57572.58,57572.58,974.0,0.0,0.0,-2.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0
2005-12-01,856.0,11837.8,11837.8,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,7955.0,109865.56,109865.56,1468.0,0.0,0.0,-1.0,74.27,74.27,,,,,,,,,,0.0,107.73,107.73
2006-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,1196.0,19349.0,19349.0,-30.0,0.0,0.0,-1.0,131.0,131.0,,,,,,,,,,0.0,0.0,0.0
2006-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,2985.0,47242.0,47242.0,366.0,0.0,0.0,-1.0,100.0,100.0,,,,,,,,,,0.0,0.0,0.0
2006-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,4815.0,67510.0,67510.0,1011.0,0.0,0.0,-3.0,0.0,0.0,,,,,,,,,,0.0,13.0,13.0
2006-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,12246.0,171389.0,171389.0,3561.0,0.0,0.0,3.0,247.0,247.0,,,,,,,,,,0.0,0.0,0.0
2006-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,19185.0,262960.0,262960.0,5721.0,0.0,0.0,-2.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0
2006-06-01,0.0,0.0,0.0,,,,1.0,64.0,64.0,,,,,,,,,,17118.0,241929.0,241929.0,4866.0,0.0,0.0,1.0,171.0,171.0,,,,,,,,,,0.0,0.0,0.0
2006-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,13745.0,193662.0,193662.0,3910.0,0.0,0.0,-2.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0
2006-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,21895.0,297902.0,297902.0,6492.0,0.0,0.0,3.0,483.0,483.0,,,,,,,,,,0.0,0.0,0.0
2006-09-01,0.0,0.0,0.0,,,,2.0,139.0,139.0,,,,,,,,,,12045.0,166936.0,166936.0,3273.0,0.0,0.0,9.0,409.0,409.0,,,,,,,,,,0.0,0.0,0.0
2006-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,13382.0,182458.0,182458.0,1671.0,0.0,0.0,270.0,6240.0,6240.0,,,,,,,,,,0.0,0.0,0.0
2006-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,5514.0,74842.0,74842.0,1095.0,0.0,0.0,2.0,338.0,338.0,,,,,,,,,,0.0,0.0,0.0
2006-12-01,877.0,12730.0,12730.0,,,,0.0,18.0,18.0,,,,,,,,,,5578.0,80931.0,80931.0,1467.0,0.0,0.0,0.0,121.0,121.0,,,,,,,,,,0.0,0.0,0.0
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,,,,,,,,,,4062.0,62403.0,62403.0,717.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1555.0,24750.0,24750.0,-56.0,0.0,0.0,-1.0,122.0,122.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2007-03-01,-17.0,0.0,0.0,-194.0,0.0,0.0,-0.622,151.0,151.0,,,,,,,,,,-17.0,0.0,0.0,-194.0,0.0,0.0,-0.378,92.0,92.0,0.0,0.0,0.0,,,,,,,0.0,101.0,101.0
2007-04-01,38.713,551.0,551.0,2.575,0.0,0.0,0.792,29.0,29.0,,,,,,,,,,2878.2870000000003,40966.0,40966.0,191.425,0.0,0.0,4.208,154.0,154.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,8.103,365.0,365.0,,,,,,,,,,11097.0,157680.0,157680.0,2504.0,0.0,0.0,12.897,581.0,581.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,9.079,301.0,301.0,,,,,,,,,,10154.0,143322.0,143322.0,2230.0,0.0,0.0,12.921000000000001,428.0,428.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.762,12.0,12.0,,,,,,,,,,13432.0,192968.0,192968.0,3113.0,0.0,0.0,3.238,49.0,49.0,0.0,0.0,0.0,,,,,,,0.0,23105.0,23105.0
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,3.923,87.0,87.0,,,,,,,,,,18762.0,259503.0,259503.0,5327.0,0.0,0.0,45.077000000000005,1001.0,1001.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.69,52.0,52.0,,,,,,,,,,13571.0,191372.0,191372.0,3643.0,0.0,0.0,0.31,24.0,24.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.69,52.0,52.0,,,,,,,,,,13571.0,191372.0,191372.0,3643.0,0.0,0.0,0.31,24.0,24.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,17450.0,245878.0,245878.0,5057.0,0.0,0.0,40.0,946.0,946.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1991.0,28342.0,28342.0,-150.0,0.0,0.0,0.0,152.0,152.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2008-01-01,76.12400000000001,1066.0,1066.0,20.374000000000002,0.0,0.0,0.35100000000000003,17.0,17.0,,,,,,,,,,4636.459,64440.0,64440.0,1240.8410000000001,0.0,0.0,4.113,150.0,150.0,,,,0.0,0.0,0.0,,,,,,
2008-02-01,67.10900000000001,933.0,933.0,17.96,0.0,0.0,0.311,12.0,12.0,,,,,,,,,,4312.294,59935.0,59935.0,1154.085,0.0,0.0,3.8240000000000003,139.0,139.0,,,,0.0,0.0,0.0,,,,,,
2008-03-01,74.711,1037.0,1037.0,19.995,0.0,0.0,0.34600000000000003,12.0,12.0,,,,,,,,,,5118.435,71138.0,71138.0,1369.8290000000002,0.0,0.0,4.539000000000001,164.0,164.0,,,,0.0,0.0,0.0,,,,,,
2008-04-01,148.065,2058.0,2058.0,39.626000000000005,0.0,0.0,0.685,23.0,23.0,,,,,,,,,,5562.912,77316.0,77316.0,1488.7830000000001,0.0,0.0,4.934,179.0,179.0,,,,0.0,0.0,0.0,,,,,,
2008-05-01,150.591,2092.0,2092.0,40.302,0.0,0.0,0.6970000000000001,23.0,23.0,,,,,,,,,,6328.92,87963.0,87963.0,1693.787,0.0,0.0,5.613,203.0,203.0,,,,0.0,0.0,0.0,,,,,,
2008-06-01,212.763,2956.0,2956.0,56.941,0.0,0.0,0.9850000000000001,35.0,35.0,,,,,,,,,,6888.111,95734.0,95734.0,1843.442,0.0,0.0,6.109,222.0,222.0,,,,0.0,0.0,0.0,,,,,,
2008-07-01,135.994,1889.0,1889.0,36.395,0.0,0.0,0.629,23.0,23.0,,,,,,,,,,6761.7880000000005,93979.0,93979.0,1809.634,0.0,0.0,5.997,218.0,218.0,,,,0.0,0.0,0.0,,,,,,
2008-08-01,168.889,2347.0,2347.0,45.199000000000005,0.0,0.0,0.782,29.0,29.0,,,,,,,,,,7593.242,105535.0,105535.0,2032.153,0.0,0.0,6.734,244.0,244.0,,,,0.0,0.0,0.0,,,,,,
2008-09-01,210.36700000000002,2921.0,2921.0,56.300000000000004,0.0,0.0,0.9740000000000001,35.0,35.0,,,,,,,,,,6870.561000000001,95490.0,95490.0,1838.7450000000001,0.0,0.0,6.093,221.0,221.0,,,,0.0,0.0,0.0,,,,,,
2008-10-01,99.444,1379.0,1379.0,26.614,0.0,0.0,0.46,17.0,17.0,,,,,,,,,,5953.765,82748.0,82748.0,1593.386,0.0,0.0,5.28,192.0,192.0,,,,0.0,0.0,0.0,,,,,,
2008-11-01,59.562000000000005,829.0,829.0,15.94,0.0,0.0,0.276,12.0,12.0,,,,,,,,,,4756.076,66102.0,66102.0,1272.852,0.0,0.0,4.218,153.0,153.0,,,,0.0,0.0,0.0,,,,,,
2008-12-01,45.539,632.0,632.0,12.187000000000001,0.0,0.0,0.21100000000000002,6.0,6.0,,,,,,,,,,4329.279,60171.0,60171.0,1158.63,0.0,0.0,3.839,140.0,140.0,,,,0.0,0.0,0.0,,,,,,
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,5145.619000000001,71573.0,71573.0,1479.346,0.0,0.0,2.915,105.0,105.0,,,,0.0,0.0,0.0,,,,,,
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,4944.821,68780.0,68780.0,1421.617,0.0,0.0,2.799,99.0,99.0,,,,0.0,0.0,0.0,,,,,,
2009-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,5730.242,79705.0,79705.0,1647.423,0.0,0.0,3.244,115.0,115.0,,,,0.0,0.0,0.0,,,,,,
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,6203.687,86291.0,86291.0,1783.537,0.0,0.0,3.512,125.0,125.0,,,,0.0,0.0,0.0,,,,,,
2009-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,7311.483,101699.0,101699.0,2102.024,0.0,0.0,4.139,146.0,146.0,,,,0.0,0.0,0.0,,,,,,
2009-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,8127.533,113051.0,113051.0,2336.635,0.0,0.0,4.601,163.0,163.0,,,,0.0,0.0,0.0,,,,,,
2009-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,8325.078,115798.0,115798.0,2393.4280000000003,0.0,0.0,4.713,167.0,167.0,,,,0.0,0.0,0.0,,,,,,
2009-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,8533.452000000001,118697.0,118697.0,2453.335,0.0,0.0,4.831,171.0,171.0,,,,0.0,0.0,0.0,,,,,,
2009-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,8575.195,119278.0,119278.0,2465.3360000000002,0.0,0.0,4.855,172.0,172.0,,,,0.0,0.0,0.0,,,,,,
2009-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,7722.973,107423.0,107423.0,2220.325,0.0,0.0,4.372,154.0,154.0,,,,0.0,0.0,0.0,,,,,,
2009-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,6345.887000000001,88269.0,88269.0,1824.4180000000001,0.0,0.0,3.593,127.0,127.0,,,,0.0,0.0,0.0,,,,,,
2009-12-01,0.0,0.0,0.0,0.0,0.0,0.0,1.341,48.0,48.0,,,,,,,,,,5449.03,75794.0,75794.0,1566.576,0.0,0.0,3.085,109.0,109.0,,,,0.0,0.0,0.0,,,,,,
2010-01-01,957.921,13450.0,13450.0,288.559,0.0,0.0,3.8890000000000002,99.0,99.0,,,,,,,,,,7953.406,111663.0,111663.0,2395.853,0.0,0.0,5.583,149.0,149.0,,,,0.0,0.0,0.0,,,,,,
2010-02-01,48.721000000000004,682.0,682.0,14.677000000000001,0.0,0.0,0.198,6.0,6.0,,,,,,,,,,7189.094,100930.0,100930.0,2165.616,0.0,0.0,5.048,134.0,134.0,,,,0.0,0.0,0.0,,,,,,
2010-03-01,140.79,1976.0,1976.0,42.411,0.0,0.0,0.5710000000000001,17.0,17.0,,,,,,,,,,7976.908,111991.0,111991.0,2402.934,0.0,0.0,5.601,149.0,149.0,,,,0.0,0.0,0.0,,,,,,
2010-04-01,134.821,1895.0,1895.0,40.613,0.0,0.0,0.547,17.0,17.0,,,,,,,,,,8255.078,115896.0,115896.0,2486.7290000000003,0.0,0.0,5.796,155.0,155.0,,,,0.0,0.0,0.0,,,,,,
2010-05-01,351.00600000000003,4926.0,4926.0,105.736,0.0,0.0,1.425,41.0,41.0,,,,,,,,,,10236.825,143718.0,143718.0,3083.703,0.0,0.0,7.188000000000001,191.0,191.0,,,,0.0,0.0,0.0,,,,,,
2010-06-01,738.758,10372.0,10372.0,222.541,0.0,0.0,2.998,82.0,82.0,,,,,,,,,,11384.5,159831.0,159831.0,3429.424,0.0,0.0,7.993,213.0,213.0,,,,0.0,0.0,0.0,,,,,,
2010-07-01,518.758,7282.0,7282.0,156.269,0.0,0.0,2.105,58.0,58.0,,,,,,,,,,11164.582,156743.0,156743.0,3363.177,0.0,0.0,7.839,208.0,208.0,,,,0.0,0.0,0.0,,,,,,
2010-08-01,523.88,7357.0,7357.0,157.812,0.0,0.0,2.126,58.0,58.0,,,,,,,,,,11451.662,160773.0,160773.0,3449.656,0.0,0.0,8.041,215.0,215.0,,,,0.0,0.0,0.0,,,,,,
2010-09-01,235.39000000000001,3306.0,3306.0,70.908,0.0,0.0,0.9550000000000001,23.0,23.0,,,,,,,,,,11233.905,157716.0,157716.0,3384.06,0.0,0.0,7.888000000000001,211.0,211.0,,,,0.0,0.0,0.0,,,,,,
2010-10-01,76.875,1079.0,1079.0,23.158,0.0,0.0,0.312,6.0,6.0,,,,,,,,,,9476.314,133041.0,133041.0,2854.609,0.0,0.0,6.654,177.0,177.0,,,,0.0,0.0,0.0,,,,,,
2010-11-01,25.008000000000003,350.0,350.0,7.533,0.0,0.0,0.101,0.0,0.0,,,,,,,,,,7796.0,109451.0,109451.0,2348.438,0.0,0.0,5.474,145.0,145.0,,,,0.0,0.0,0.0,,,,,,
