measured_on,"Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Other Biomass Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Other Biomass Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed"
2008-09-01,507.0,7559.0,122640.0,,,,,,
2008-10-01,507.0,7559.0,122640.0,,,,,,
2008-11-01,507.0,7559.0,122640.0,,,,,,
2008-12-01,521.0,7559.0,122640.0,,,,,,
2009-01-01,,,,1737.0,10681.0,10681.0,,,
2009-02-01,,,,1660.0,11756.0,11857.0,,,
2009-03-01,,,,2278.0,847.0,847.0,,,
2009-04-01,,,,2249.0,13402.0,13402.0,,,
2009-05-01,,,,754.0,7504.0,8855.0,,,
2009-06-01,,,,1450.0,10685.0,10685.0,,,
2009-07-01,,,,1361.0,10502.0,11214.0,,,
2009-08-01,,,,1256.0,9359.0,11553.0,,,
2009-09-01,,,,1929.0,10811.0,10811.0,,,
2009-10-01,,,,0.0,156.0,1175.0,,,
2009-11-01,,,,1467.0,7958.0,7958.0,,,
2009-12-01,,,,1504.0,9169.0,9169.0,,,
2010-01-01,,,,27.0,1878.0,3072.0,,,
2010-02-01,,,,1639.0,10778.0,40175.0,,,
2010-03-01,,,,3222.0,15338.0,79929.0,,,
2010-04-01,,,,1409.0,10250.0,54090.0,,,
2010-05-01,,,,1952.0,14116.0,93734.0,,,
2010-06-01,,,,1501.0,11205.0,62681.0,,,
2010-07-01,,,,1287.0,10571.0,72384.0,,,
2010-08-01,,,,1245.0,10094.0,74237.0,,,
2010-09-01,,,,1467.0,11186.0,53953.0,,,
2010-10-01,,,,263.0,2967.0,12968.0,,,
2010-11-01,,,,0.0,0.0,24959.0,,,
2010-12-01,,,,0.0,0.0,24591.0,,,
2011-01-01,,,,-715.0,0.0,33663.0,,,
2011-02-01,,,,-759.0,0.0,31648.0,,,
2011-03-01,,,,-824.0,0.0,36727.0,,,
2011-04-01,,,,-824.0,0.0,19488.0,,,
2011-05-01,,,,3558.0,21110.0,74257.0,,,
2011-06-01,,,,3680.0,21693.0,72492.0,,,
2011-07-01,,,,3578.0,21395.0,73094.0,,,
2011-08-01,,,,4184.0,23943.0,68256.0,,,
2011-09-01,,,,2927.0,19967.0,76996.0,,,
2011-10-01,,,,1971.0,13285.0,52539.0,,,
2011-11-01,,,,2975.0,18079.0,59820.0,,,
2011-12-01,,,,-886.0,0.0,28854.0,,,
2012-01-01,,,,-738.0,726.0,28920.0,,,
2012-02-01,,,,859.0,12569.0,15849.0,,,
2012-03-01,,,,1166.0,18837.0,40908.0,,,
2012-04-01,,,,1070.0,17960.0,45772.0,,,
2012-05-01,,,,1239.0,22244.0,73099.0,,,
2012-06-01,,,,1060.0,18185.0,70249.0,,,
2012-07-01,,,,1029.0,17882.0,57867.0,,,
2012-08-01,,,,1291.0,24045.0,79657.0,,,
2012-09-01,,,,1100.0,20660.0,67347.0,,,
2012-10-01,,,,769.0,14314.0,27375.0,,,
2012-11-01,,,,1105.0,21808.0,77180.0,,,
2012-12-01,,,,1136.0,22851.0,97954.0,,,
2013-01-01,,,,,,,3819.0,23223.0,211505.0
2013-02-01,,,,,,,3230.0,19870.0,31080.0
2013-03-01,,,,,,,3325.0,19471.0,32558.0
2013-04-01,,,,,,,3660.0,21831.0,42888.0
2013-05-01,,,,,,,4004.0,23976.0,49876.0
2013-06-01,,,,,,,3700.0,22506.0,42596.0
2013-07-01,,,,,,,3757.0,22975.0,43637.0
2013-08-01,,,,,,,3330.0,20688.0,35790.0
2013-09-01,,,,,,,2862.0,17345.0,31085.0
2013-10-01,,,,,,,2831.0,8222.0,8222.0
2013-11-01,,,,,,,926.0,17987.0,32761.0
2013-12-01,,,,,,,3722.0,22653.0,57659.0
2014-01-01,,,,,,,1496.0,10089.0,36501.0
2014-02-01,,,,,,,3598.0,19746.0,233207.0
2014-03-01,,,,,,,3814.0,22368.0,290734.0
2014-04-01,,,,,,,2234.0,13708.0,93029.0
2014-05-01,,,,,,,2576.0,15958.0,141191.0
2014-06-01,,,,,,,2142.0,13106.0,161212.0
2014-07-01,,,,,,,2545.0,15724.0,169340.0
2014-08-01,,,,,,,2832.0,17726.0,158896.0
2014-09-01,,,,,,,1310.0,8188.0,95304.0
2014-10-01,,,,,,,2604.0,16141.0,130988.0
2014-11-01,,,,,,,2829.0,17198.0,133173.0
2014-12-01,,,,,,,2980.0,19480.0,161637.0
2015-01-01,,,,,,,0.0,0.0,111414.0
2015-02-01,,,,,,,0.0,0.0,101370.0
2015-03-01,,,,,,,1112.0,6989.0,110298.0
2015-04-01,,,,,,,2592.0,15494.0,166210.0
2015-05-01,,,,,,,3803.0,22818.0,240349.0
2015-06-01,,,,,,,3826.0,23301.0,248087.0
2015-07-01,,,,,,,3504.0,20881.0,229338.0
2015-08-01,,,,,,,565.0,7058.0,160778.0
2015-09-01,,,,,,,0.0,0.0,129293.0
2015-10-01,,,,,,,0.0,0.0,92698.0
2015-11-01,,,,,,,0.0,0.0,111014.0
2015-12-01,,,,,,,0.0,0.0,119539.0
2016-01-01,,,,,,,1439.0,13902.0,113676.0
2016-02-01,,,,,,,2674.0,20312.0,116121.0
2016-03-01,,,,,,,4097.0,34563.0,324233.0
2016-04-01,,,,,,,4119.0,35354.0,320958.0
2016-05-01,,,,,,,4292.0,36654.0,361450.0
2016-06-01,,,,,,,3715.0,31652.0,273217.0
2016-07-01,,,,,,,4678.0,39957.0,246931.0
2016-08-01,,,,,,,4033.0,34447.0,307085.0
2016-09-01,,,,,,,3983.0,34026.0,307485.0
2016-10-01,,,,,,,2977.0,25423.0,145682.0
2016-11-01,,,,,,,3936.0,36174.0,334389.0
2016-12-01,,,,,,,3497.0,36305.0,343778.0
2017-01-01,,,,,,,4578.0,33517.0,313196.0
2017-02-01,,,,,,,2447.0,20298.0,135877.0
2017-03-01,,,,,,,3188.0,23463.0,137596.0
2017-04-01,,,,,,,5192.0,37975.0,311890.0
2017-05-01,,,,,,,5199.0,37960.0,325703.0
2017-06-01,,,,,,,4165.0,31652.0,329935.0
2017-07-01,,,,,,,2635.0,19877.0,162120.0
2017-08-01,,,,,,,0.0,0.0,93619.0
2017-09-01,,,,,,,0.0,0.0,113749.0
2017-10-01,,,,,,,0.0,0.0,75808.0
2017-11-01,,,,,,,1365.0,10149.0,143088.0
2017-12-01,,,,,,,3933.0,28741.0,305501.0
2018-01-01,,,,,,,3551.0,34381.0,273506.0
2018-02-01,,,,,,,2650.0,26810.0,233204.0
2018-03-01,,,,,,,2589.0,26374.0,212532.0
2018-04-01,,,,,,,2568.0,26592.0,202253.0
2018-05-01,,,,,,,-918.0,0.0,86790.0
2018-06-01,,,,,,,-902.0,0.0,85292.0
2018-07-01,,,,,,,-999.0,0.0,88389.0
2018-08-01,,,,,,,-670.0,0.0,55368.0
2018-09-01,,,,,,,3025.0,30497.0,253342.0
2018-10-01,,,,,,,3013.0,30824.0,251860.0
2018-11-01,,,,,,,3229.0,32697.0,296348.0
2018-12-01,,,,,,,3163.0,31666.0,271810.0
2019-01-01,,,,,,,2542.0,27180.0,224752.0
2019-02-01,,,,,,,1933.0,22911.0,238153.0
2019-03-01,,,,,,,363.0,10810.0,172848.0
2019-04-01,,,,,,,1526.0,17583.0,134602.0
2019-05-01,,,,,,,2903.0,27790.0,217587.0
2019-06-01,,,,,,,2998.0,29822.0,172928.0
2019-07-01,,,,,,,2254.0,24305.0,100244.0
2019-08-01,,,,,,,2393.0,25350.0,141453.0
2019-09-01,,,,,,,859.0,14076.0,134999.0
2019-10-01,,,,,,,2349.0,24530.0,161690.0
2019-11-01,,,,,,,424.0,8777.0,137308.0
2019-12-01,,,,,,,1742.0,20116.0,139788.0
2020-01-01,,,,,,,1785.0,21684.0,186383.0
2020-02-01,,,,,,,866.0,15165.0,117209.0
2020-03-01,,,,,,,1934.0,22214.0,195883.0
2020-04-01,,,,,,,1799.0,19557.0,136610.0
2020-05-01,,,,,,,2723.0,26483.0,204134.0
2020-06-01,,,,,,,1833.0,21365.0,148696.0
2020-07-01,,,,,,,-197.0,6512.0,42771.0
2020-08-01,,,,,,,1122.0,16124.0,136744.0
2020-09-01,,,,,,,1418.0,18134.0,150436.0
2020-10-01,,,,,,,618.0,11964.0,101242.0
2020-11-01,,,,,,,-484.0,2185.0,94017.0
2020-12-01,,,,,,,-543.0,3528.0,96916.0
2021-01-01,,,,,,,0.0,0.0,0.0
2021-02-01,,,,,,,0.0,0.0,0.0
2021-03-01,,,,,,,0.0,0.0,0.0
2021-04-01,,,,,,,0.0,0.0,0.0
2021-05-01,,,,,,,0.0,0.0,0.0
2021-06-01,,,,,,,0.0,0.0,0.0
2021-07-01,,,,,,,0.0,0.0,0.0
2021-08-01,,,,,,,0.0,0.0,0.0
2021-09-01,,,,,,,0.0,0.0,0.0
2021-10-01,,,,,,,0.0,0.0,0.0
2021-11-01,,,,,,,0.0,0.0,0.0
2021-12-01,,,,,,,0.0,0.0,0.0
