measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Lignite Coal Generation,Lignite Coal Quantity Consumed For Electricity,Lignite Coal Total Fuel Consumed
2016-02-01,0.0,0.0,0.0,411491.0,4329230.0,4329230.0
2016-03-01,0.0,969.0,969.0,0.0,0.0,0.0
2016-04-01,1559.212,16350.0,16350.0,313431.79,3286707.0,3286707.0
2016-05-01,1091.765,10858.0,10858.0,357842.24,3558739.0,3558739.0
2016-06-01,0.0,0.0,0.0,413694.0,4028149.0,4028149.0
2016-07-01,0.0,0.0,0.0,434837.0,4277442.0,4277442.0
2016-08-01,1165.924,11867.0,11867.0,345202.08,3513473.0,3513473.0
2016-09-01,234.529,2308.0,2308.0,421565.47,4149339.0,4149339.0
2016-10-01,0.0,0.0,0.0,439724.0,4297903.0,4297903.0
2016-11-01,0.0,0.0,0.0,390165.0,3873261.0,3873261.0
2016-12-01,0.0,0.0,0.0,396437.0,3897252.0,3897252.0
2017-01-01,0.0,0.0,0.0,434069.0,4061642.0,4061642.0
2017-02-01,0.0,0.0,0.0,388526.0,3753834.0,3753834.0
2017-03-01,0.0,0.0,0.0,67212.0,764991.0,764991.0
2017-04-01,1099.328,11043.0,11043.0,383474.67,3852160.0,3852160.0
2017-05-01,0.0,0.0,0.0,442194.0,4238498.0,4238498.0
2017-06-01,587.614,5684.0,5684.0,410708.39,3972786.0,3972786.0
2017-07-01,341.123,3468.0,3468.0,403995.88,4107671.0,4107671.0
2017-08-01,1375.34,13647.0,13647.0,329192.66,3266556.0,3266556.0
2017-09-01,636.827,6339.0,6339.0,403781.17,4019509.0,4019509.0
2017-10-01,363.945,3486.0,3486.0,411251.06,3938893.0,3938893.0
2017-11-01,1017.672,11171.0,11171.0,367070.33,4029265.0,4029265.0
2017-12-01,0.0,0.0,0.0,435857.0,3994374.0,3994374.0
2018-01-01,0.0,0.0,0.0,141443.0,1345015.0,1345015.0
2018-02-01,0.0,0.0,0.0,0.0,0.0,0.0
