measured_on,"Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2006-12-01,0.0,0.0,0.0,12824.0,169911.0,169911.0
2007-01-01,,,,16348.0,215856.0,215856.0
2007-02-01,,,,14310.0,190341.0,190341.0
2007-03-01,,,,16038.0,210573.0,210573.0
2007-04-01,,,,8635.0,114201.0,114201.0
2007-05-01,,,,17278.0,226881.0,226881.0
2007-06-01,,,,16420.0,215604.0,215604.0
2007-07-01,,,,14484.0,191448.0,191448.0
2007-08-01,,,,9567.0,129546.0,129546.0
2007-09-01,,,,16529.0,217701.0,217701.0
2007-10-01,,,,11015.0,145035.0,145035.0
2007-11-01,,,,13774.0,180486.0,180486.0
2007-12-01,,,,17247.0,226008.0,226008.0
2008-01-01,,,,17269.0,225900.0,225900.0
2008-02-01,,,,16088.0,210960.0,210960.0
2008-03-01,,,,13579.0,178389.0,178389.0
2008-04-01,,,,7999.0,102321.0,102321.0
2008-05-01,,,,16576.0,217584.0,217584.0
2008-06-01,,,,16633.0,218313.0,218313.0
2008-07-01,,,,14749.0,193383.0,193383.0
2008-08-01,,,,17220.0,226134.0,226134.0
2008-09-01,,,,13518.0,181170.0,181170.0
2008-10-01,,,,11125.0,147663.0,147663.0
2008-11-01,,,,16710.0,219609.0,219609.0
2008-12-01,,,,17275.0,226719.0,226719.0
2009-01-01,,,,17344.0,226449.0,226449.0
2009-02-01,,,,15736.0,121770.0,121770.0
2009-03-01,,,,17176.0,225162.0,225162.0
2009-04-01,,,,8571.0,115929.0,115929.0
2009-05-01,,,,15303.0,229939.0,229939.0
2009-06-01,,,,16112.0,241128.0,241128.0
2009-07-01,,,,11306.0,169789.0,169789.0
2009-08-01,,,,16386.0,245106.0,245106.0
2009-09-01,,,,13819.0,205775.0,205775.0
2009-10-01,,,,13425.0,201124.0,201124.0
2009-11-01,,,,12788.0,194055.0,194055.0
2009-12-01,,,,17168.0,256061.0,256061.0
2010-01-01,,,,17234.0,257050.0,257050.0
2010-02-01,,,,11188.0,168259.0,168259.0
2010-03-01,,,,10742.0,159987.0,159987.0
2010-04-01,,,,15514.0,233478.0,233478.0
2010-05-01,,,,9834.0,149991.0,149991.0
2010-06-01,,,,16445.0,245483.0,245483.0
2010-07-01,,,,15247.0,231897.0,231897.0
2010-08-01,,,,15266.0,232183.0,232183.0
2010-09-01,,,,10097.0,154703.0,154703.0
2010-10-01,,,,15798.0,239537.0,239537.0
2010-11-01,,,,14950.0,227756.0,227756.0
2010-12-01,,,,15492.0,234223.0,234223.0
2011-01-01,,,,13271.0,206458.0,206458.0
2011-02-01,,,,7876.0,122145.0,122145.0
2011-03-01,,,,10838.0,161935.0,161935.0
2011-04-01,,,,12666.0,195473.0,195473.0
2011-05-01,,,,10983.0,173339.0,173339.0
2011-06-01,,,,10725.0,161925.0,161925.0
2011-07-01,,,,13584.0,201827.0,201827.0
2011-08-01,,,,9482.0,142504.0,142504.0
2011-09-01,,,,10336.0,156356.0,156356.0
2011-10-01,,,,14611.0,220412.0,220412.0
2011-11-01,,,,15594.0,235253.0,235253.0
2011-12-01,,,,12547.0,195391.0,195391.0
2012-01-01,,,,8442.0,154091.0,154091.0
2012-02-01,,,,8448.0,161333.0,161333.0
2012-03-01,,,,8496.0,156172.0,156172.0
2012-04-01,,,,0.0,0.0,0.0
2012-05-01,,,,0.0,0.0,0.0
2012-06-01,,,,11019.0,194004.0,194004.0
2012-07-01,,,,12944.0,229194.0,229194.0
2012-08-01,,,,12535.0,223400.0,223400.0
2012-09-01,,,,11648.0,209467.0,209467.0
2012-10-01,,,,11645.0,209049.0,209049.0
2012-11-01,,,,10716.0,192668.0,192668.0
2012-12-01,,,,12030.0,216362.0,216362.0
2013-01-01,,,,9734.0,182937.0,182937.0
2013-02-01,,,,7229.0,135323.0,135323.0
2013-03-01,,,,9939.0,182774.0,182774.0
2013-04-01,,,,0.0,0.0,0.0
2013-05-01,,,,1110.0,20553.0,20553.0
2013-06-01,,,,13369.0,232376.0,232376.0
2013-07-01,,,,13856.0,240230.0,240230.0
2013-08-01,,,,13837.0,232754.0,232754.0
2013-09-01,,,,10756.0,197472.0,197472.0
2013-10-01,,,,6717.0,124012.0,124012.0
2013-11-01,,,,13551.0,234702.0,234702.0
2013-12-01,,,,11316.0,195208.0,195208.0
2014-01-01,,,,14064.0,243107.0,243107.0
2014-02-01,,,,12640.0,219004.0,219004.0
2014-03-01,,,,14222.0,244698.0,244698.0
2014-04-01,,,,13619.0,235630.0,235630.0
2014-05-01,0.0,0.0,0.0,4294.0,73970.0,73970.0
2014-06-01,0.0,0.0,0.0,9446.0,165373.0,165373.0
2014-07-01,0.0,0.0,0.0,13745.0,236803.0,236803.0
2014-08-01,0.0,0.0,0.0,14271.0,244718.0,244718.0
2014-09-01,0.0,0.0,0.0,13613.0,234631.0,234631.0
2014-10-01,0.0,0.0,0.0,1078.0,18329.0,18329.0
2014-11-01,0.0,0.0,0.0,8344.0,145748.0,145748.0
2014-12-01,0.0,0.0,0.0,13656.0,237935.0,237935.0
2015-01-01,0.0,0.0,0.0,11857.0,205703.0,205703.0
2015-02-01,0.0,0.0,0.0,12832.0,219698.0,219698.0
2015-03-01,0.0,0.0,0.0,14683.0,249880.0,249880.0
2015-04-01,0.0,0.0,0.0,3746.0,63515.0,63515.0
2015-05-01,0.0,0.0,0.0,10646.0,187343.0,187343.0
2015-06-01,0.0,0.0,0.0,10443.0,179581.0,179581.0
2015-07-01,0.0,0.0,0.0,11341.0,194453.0,194453.0
2015-08-01,0.0,0.0,0.0,14435.0,245708.0,245708.0
2015-09-01,0.0,0.0,0.0,14547.0,246595.0,246595.0
2015-10-01,0.0,0.0,0.0,2976.0,51306.0,51306.0
2015-11-01,0.0,0.0,0.0,14379.0,243658.0,243658.0
2015-12-01,0.0,0.0,0.0,14333.0,244290.0,244290.0
2016-01-01,0.0,0.0,0.0,9782.0,169646.0,169646.0
2016-02-01,0.0,0.0,0.0,13154.0,227521.0,227521.0
2016-03-01,0.0,0.0,0.0,13528.0,236059.0,236059.0
2016-04-01,0.0,0.0,0.0,5912.0,102969.0,102969.0
2016-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-01,0.0,0.0,0.0,4915.0,85558.0,85558.0
2017-01-01,0.0,0.0,0.0,12413.0,215169.0,215169.0
2017-02-01,0.0,0.0,0.0,9420.0,163475.0,163475.0
2017-03-01,0.0,0.0,0.0,9300.0,163649.0,163649.0
2017-04-01,0.0,0.0,0.0,10031.0,178928.0,178928.0
2017-05-01,0.0,0.0,0.0,11149.0,204663.0,204663.0
2017-06-01,0.0,0.0,0.0,4980.0,93412.0,93412.0
2017-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,0.0,0.0,0.0,422.0,8058.0,8058.0
2017-09-01,0.0,0.0,0.0,5456.0,100246.0,100246.0
2017-10-01,0.0,0.0,0.0,4156.0,75674.0,75674.0
2017-11-01,0.0,0.0,0.0,9847.0,170901.0,170901.0
2017-12-01,0.0,0.0,0.0,13207.0,230877.0,230877.0
2018-01-01,0.0,0.0,0.0,10271.0,199346.0,199346.0
2018-02-01,0.0,0.0,0.0,10103.0,210913.0,210913.0
2018-03-01,0.0,0.0,0.0,8835.0,188881.0,188881.0
2018-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,9.775,158.0,158.0,3528.225,56850.0,56850.0
2019-02-01,0.0,0.0,0.0,4915.0,80866.0,80866.0
2019-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,12.366,200.0,200.0,686.634,11105.0,11105.0
2019-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,5.591,105.0,105.0,278.409,5229.0,5229.0
2019-11-01,0.0,0.0,0.0,9764.0,172351.0,172351.0
2019-12-01,7.869,140.0,140.0,3987.131,70933.0,70933.0
2020-01-01,6.979,125.0,125.0,5210.021,93312.0,93312.0
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,3.944,73.0,73.0,917.056,16856.0,16856.0
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,7.476,118.0,118.0,748.524,11765.0,11765.0
2020-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,3.694,63.0,63.0,2050.306,34690.0,34690.0
2020-12-01,3.783,70.0,70.0,389.217,7201.0,7201.0
2021-01-01,5.361,93.0,93.0,7357.639,126944.0,126944.0
2021-02-01,0.0,0.0,0.0,6206.0,106472.0,106472.0
2021-03-01,6.905,120.0,120.0,7295.095,126783.0,126783.0
2021-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,18.826,343.0,343.0,3437.174,62531.0,62531.0
2021-09-01,0.0,0.0,0.0,1789.0,28715.0,28715.0
2021-10-01,5.925,98.0,98.0,3103.075,51067.0,51067.0
2021-11-01,12.785,205.0,205.0,4755.215,76248.0,76248.0
2021-12-01,9.683,153.0,153.0,5858.317,92261.0,92261.0
2022-01-01,11.746,253.0,253.0,4386.254,94289.0,94289.0
2022-02-01,4.4,98.0,98.0,2146.6,47563.0,47563.0
2022-03-01,3.598,75.0,75.0,7972.402,166189.0,166189.0
2022-04-01,4.16,85.0,85.0,5257.84,107437.0,107437.0
2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,3.492,73.0,73.0,1804.508,37465.0,37465.0
2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,4.763,108.0,108.0,623.237,14066.0,14066.0
2023-01-01,0.0,0.0,0.0,224.0,4092.0,4092.0
2023-02-01,6.841,133.0,133.0,1526.159,29558.0,29558.0
2023-03-01,5.049,103.0,103.0,884.951,17965.0,17965.0
2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01,4.876,95.0,95.0,1053.124,20520.0,20520.0
2023-07-01,4.578,88.0,88.0,3899.422,74528.0,74528.0
2023-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01,6.219,120.0,120.0,2741.781,52907.0,52907.0
2023-12-01,10.408,200.0,200.0,3087.592,59331.0,59331.0
2024-01-01,5.737,105.0,105.0,8932.263,163477.0,163477.0
2024-02-01,4.201,78.0,78.0,7493.799,138236.0,138236.0
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01,6.244,120.0,120.0,4894.756,94067.0,94067.0
2024-07-01,0.0,0.0,0.0,5176.0,101678.0,101678.0
2024-08-01,4.445,88.0,88.0,3986.555,78475.0,78475.0
2024-09-01,0.0,0.0,0.0,880.0,17372.0,17372.0
2024-10-01,5.388,108.0,108.0,486.612,9709.0,9709.0
2024-11-01,4.749,88.0,88.0,7869.251,144987.0,144987.0
2024-12-01,0.0,0.0,0.0,10878.0,193036.0,193036.0
