measured_on,"Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2019-06-01,0.0,64889.0,701194.0,0.0,0.0,1.0,0.0,11011.0,118986.0
2019-07-01,0.0,60934.0,711572.0,0.0,0.0,1.0,0.0,9522.0,111190.0
2019-08-01,0.0,53778.0,630901.0,0.0,0.0,3.0,0.0,11832.0,138809.0
2019-09-01,0.0,65848.0,687337.0,0.0,0.0,3.0,0.0,10872.0,113480.0
2019-10-01,0.0,68648.0,688852.0,0.0,0.0,5.0,0.0,11668.0,117081.0
2019-11-01,0.0,71182.0,684701.0,0.0,0.0,4.0,0.0,12937.0,124440.0
2019-12-01,0.0,70074.0,698052.0,0.0,3.0,26.0,0.0,13203.0,131520.0
2020-01-01,0.0,74047.0,729814.0,0.0,3.0,25.0,0.0,13443.0,132498.0
2020-02-01,0.0,61156.0,601205.0,0.0,4.0,43.0,0.0,9602.0,94392.0
2020-03-01,0.0,41737.0,461410.0,0.0,3.0,36.0,0.0,7431.0,82156.0
2020-04-01,0.0,70786.0,675091.0,0.0,1.0,5.0,0.0,13451.0,128286.0
2020-05-01,0.0,72594.0,690284.0,0.0,3.0,24.0,0.0,11572.0,110037.0
2020-06-01,0.0,40911.0,611206.0,0.0,1.0,19.0,0.0,5721.0,85477.0
2020-07-01,0.0,49628.0,600986.0,0.0,2.0,19.0,0.0,9567.0,115857.0
2020-08-01,0.0,62540.0,686404.0,0.0,1.0,12.0,0.0,11488.0,126083.0
2020-09-01,0.0,46012.0,620441.0,0.0,2.0,27.0,0.0,5798.0,78188.0
2020-10-01,0.0,66763.0,679791.0,0.0,3.0,30.0,0.0,15732.0,160187.0
2020-11-01,0.0,70290.0,672086.0,0.0,2.0,22.0,0.0,16349.0,156324.0
2020-12-01,0.0,63649.0,687497.0,0.0,3.0,33.0,0.0,16633.0,179659.0
2021-01-01,0.0,72882.0,744796.0,0.0,3.0,30.0,0.0,18089.0,184851.0
2021-02-01,0.0,55131.0,560527.0,0.0,3.0,33.0,0.0,14758.0,150048.0
2021-03-01,0.0,55301.0,649723.0,0.0,2.0,19.0,0.0,13137.0,154348.0
2021-04-01,0.0,67561.0,693111.0,0.0,2.0,20.0,0.0,15820.0,162302.0
2021-05-01,0.0,70671.0,730852.0,0.0,1.0,9.0,0.0,15556.0,160868.0
2021-06-01,0.0,46773.0,684065.0,0.0,1.0,14.0,0.0,7408.0,108341.0
2021-07-01,0.0,65250.0,737363.0,0.0,1.0,12.0,0.0,13337.0,150713.0
2021-08-01,0.0,65168.0,742146.0,0.0,1.0,6.0,0.0,13165.0,149926.0
2021-09-01,0.0,53512.0,607257.0,0.0,1.0,7.0,0.0,11596.0,131589.0
2021-10-01,0.0,37631.0,548888.0,0.0,2.0,36.0,0.0,9380.0,136816.0
2021-11-01,0.0,62551.0,699622.0,0.0,3.0,36.0,0.0,13353.0,149349.0
2021-12-01,0.0,69436.0,732523.0,0.0,3.0,28.0,0.0,15789.0,166567.0
2022-01-01,0.0,52510.0,718365.0,0.0,3.0,37.0,0.0,12035.0,164644.0
2022-02-01,0.0,52017.0,663882.0,0.0,1.0,15.0,0.0,12641.0,161340.0
2022-03-01,0.0,49254.0,693940.0,0.0,2.0,22.0,0.0,11689.0,164679.0
2022-04-01,0.0,58228.0,726562.0,0.0,1.0,7.0,0.0,14229.0,177544.0
2022-05-01,0.0,46447.0,665221.0,0.0,1.0,13.0,0.0,12419.0,177859.0
2022-06-01,0.0,19950.0,626743.0,0.0,0.0,11.0,0.0,1825.0,57334.0
2022-07-01,0.0,47124.0,690761.0,0.0,0.0,6.0,0.0,10105.0,148126.0
2022-08-01,0.0,63564.0,718253.0,0.0,1.0,8.0,0.0,12059.0,136257.0
2022-09-01,0.0,57388.0,652785.0,0.0,1.0,14.0,0.0,10640.0,121032.0
2022-10-01,0.0,72029.0,733421.0,0.0,1.0,6.0,0.0,14144.0,144018.0
2022-11-01,0.0,66872.0,679998.0,0.0,0.0,4.0,0.0,13903.0,141378.0
2022-12-01,0.0,70516.0,722045.0,0.0,0.0,3.0,0.0,17230.0,176426.0
2023-01-01,0.0,75640.0,770633.0,0.0,1.0,12.0,0.0,16766.0,170815.0
2023-02-01,0.0,61182.0,661576.0,0.0,1.0,15.0,0.0,14583.0,157687.0
2023-03-01,0.0,40663.0,500681.0,0.0,2.0,20.0,0.0,10021.0,123391.0
2023-04-01,0.0,71183.0,745223.0,0.0,2.0,19.0,0.0,11826.0,123811.0
2023-05-01,0.0,71430.0,739244.0,0.0,0.0,5.0,0.0,11577.0,119808.0
2023-06-01,0.0,37839.0,663609.0,0.0,0.0,5.0,0.0,5539.0,97136.0
2023-07-01,0.0,57623.0,632040.0,0.0,1.0,6.0,0.0,12330.0,135243.0
2023-08-01,0.0,49734.0,560352.0,0.0,1.0,15.0,0.0,11647.0,131222.0
2023-09-01,0.0,45825.0,607885.0,0.0,1.0,17.0,0.0,9797.0,129964.0
2023-10-01,0.0,63701.0,726807.0,0.0,1.0,9.0,0.0,14429.0,164627.0
2023-11-01,0.0,69870.0,727525.0,0.0,1.0,9.0,0.0,16771.0,174625.0
2023-12-01,0.0,55583.0,722921.0,0.0,1.0,17.0,0.0,14350.0,186634.0
2024-01-01,15834.536,63215.0,697477.0,0.409,2.0,18.0,4535.899,18108.0,199796.0
2024-02-01,17186.259,68611.0,672467.0,0.358,1.0,14.0,4444.141,17742.0,173891.0
2024-03-01,12899.889,51499.0,603661.0,0.321,1.0,15.0,3786.923,15118.0,177212.0
2024-04-01,17458.184,69697.0,682288.0,0.154,1.0,6.0,4403.852,17581.0,172108.0
2024-05-01,16958.026,67700.0,695021.0,0.22,1.0,9.0,3922.517,15659.0,160764.0
2024-06-01,6346.355,25336.0,673152.0,0.066,0.0,7.0,679.134,2711.0,72035.0
2024-07-01,15353.173,61293.0,707412.0,0.347,1.0,16.0,2844.165,11354.0,131048.0
2024-08-01,16777.612,66980.0,736076.0,0.707,3.0,31.0,2675.438,10681.0,117378.0
2024-09-01,11641.513,46475.0,510931.0,0.615,2.0,27.0,1436.198,5734.0,63033.0
2024-10-01,2412.976,9633.0,189229.0,0.23,1.0,18.0,834.529,3332.0,65445.0
2024-11-01,17055.464,68089.0,684344.0,0.673,3.0,27.0,3588.392,14326.0,143983.0
2024-12-01,12530.718,50025.0,684058.0,0.605,2.0,33.0,2854.604,11396.0,155834.0
