measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Jet Fuel Generation,Jet Fuel Quantity Consumed For Electricity,Jet Fuel Total Fuel Consumed,Kerosene Generation,Kerosene Quantity Consumed For Electricity,Kerosene Total Fuel Consumed,Waste/Other Oil Generation,Waste/Other Oil Quantity Consumed For Electricity,Waste/Other Oil Total Fuel Consumed
2008-01-01,43.559000000000005,418.0,418.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-02-01,36.437000000000005,348.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-03-01,31.265,296.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-04-01,17.011,162.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-05-01,15.677000000000001,151.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-06-01,35.584,342.0,342.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-07-01,32.619,313.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-08-01,27.027,255.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-09-01,34.384,331.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-10-01,19.695,186.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-11-01,23.981,226.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-12-01,38.761,371.0,371.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-01-01,55.752,784.0,784.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-02-01,23.112000000000002,321.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-03-01,24.107000000000003,333.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-04-01,3.1060000000000003,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-05-01,4.926,68.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-06-01,2.1630000000000003,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-07-01,1.673,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-08-01,7.405,102.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-09-01,0.9840000000000001,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-10-01,1.215,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-11-01,2.883,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-12-01,7.674,107.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-01-01,0.0,0.0,0.0,51.49,726.0,726.0,0.0,0.0,0.0,,,
2010-02-01,0.0,0.0,0.0,22.291,318.0,318.0,0.0,0.0,0.0,,,
2010-03-01,0.0,0.0,0.0,56.435,799.0,799.0,0.0,0.0,0.0,,,
2010-04-01,0.0,0.0,0.0,23.151,329.0,329.0,0.0,0.0,0.0,,,
2010-05-01,0.0,0.0,0.0,50.174,714.0,714.0,0.0,0.0,0.0,,,
2010-06-01,0.0,0.0,0.0,43.785000000000004,624.0,624.0,0.0,0.0,0.0,,,
2010-07-01,0.0,0.0,0.0,243.06,3447.0,3447.0,0.0,0.0,0.0,,,
2010-08-01,0.0,0.0,0.0,72.81700000000001,1032.0,1032.0,0.0,0.0,0.0,,,
2010-09-01,0.0,0.0,0.0,98.02300000000001,1389.0,1389.0,0.0,0.0,0.0,,,
2010-10-01,0.0,0.0,0.0,91.158,1293.0,1293.0,0.0,0.0,0.0,,,
2010-11-01,0.0,0.0,0.0,20.679000000000002,295.0,295.0,0.0,0.0,0.0,,,
2010-12-01,0.0,0.0,0.0,66.937,953.0,953.0,0.0,0.0,0.0,,,
2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0,68.617,965.0,965.0,,,
2011-02-01,0.0,0.0,0.0,0.0,0.0,0.0,26.523,376.0,376.0,,,
2011-03-01,0.0,0.0,0.0,0.0,0.0,0.0,10.233,146.0,146.0,,,
2011-04-01,0.0,0.0,0.0,0.0,0.0,0.0,5.712,79.0,79.0,,,
2011-05-01,0.0,0.0,0.0,0.0,0.0,0.0,5.86,84.0,84.0,,,
2011-06-01,0.0,0.0,0.0,0.0,0.0,0.0,9.888,140.0,140.0,,,
2011-07-01,0.0,0.0,0.0,0.0,0.0,0.0,38.501,544.0,544.0,,,
2011-08-01,0.0,0.0,0.0,0.0,0.0,0.0,12.35,174.0,174.0,,,
2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,8.252,118.0,118.0,,,
2011-10-01,0.0,0.0,0.0,0.0,0.0,0.0,7.079,101.0,101.0,,,
2011-11-01,0.0,0.0,0.0,0.0,0.0,0.0,5.469,79.0,79.0,,,
2011-12-01,0.0,0.0,0.0,0.0,0.0,0.0,9.516,135.0,135.0,,,
2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,34.469,470.0,470.0,,,
2012-02-01,0.0,0.0,0.0,0.0,0.0,0.0,3.668,50.0,50.0,,,
2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,8.245,112.0,112.0,,,
2012-04-01,0.0,0.0,0.0,0.0,0.0,0.0,7.41,101.0,101.0,,,
2012-05-01,0.0,0.0,0.0,0.0,0.0,0.0,6.873,95.0,95.0,,,
2012-06-01,0.0,0.0,0.0,0.0,0.0,0.0,47.201,650.0,650.0,,,
2012-07-01,0.0,0.0,0.0,0.0,0.0,0.0,23.625,325.0,325.0,,,
2012-08-01,0.0,0.0,0.0,0.0,0.0,0.0,14.87,207.0,207.0,,,
2012-09-01,0.0,0.0,0.0,0.0,0.0,0.0,10.503,146.0,146.0,,,
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,9.761,134.0,134.0,,,
2012-11-01,0.0,0.0,0.0,0.0,0.0,0.0,12.88,179.0,179.0,,,
2012-12-01,0.0,0.0,0.0,0.0,0.0,0.0,6.495,90.0,90.0,,,
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,82.364,1148.0,1148.0,,,
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0,44.664,622.0,622.0,,,
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0,6.403,90.0,90.0,,,
2013-04-01,0.0,0.0,0.0,0.0,0.0,0.0,3.355,45.0,45.0,,,
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0,5.372,73.0,73.0,,,
2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0,10.283,146.0,146.0,,,
2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,40.363,560.0,560.0,,,
2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0,2.13,28.0,28.0,,,
2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0,15.477,213.0,213.0,,,
2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0,6.712,95.0,95.0,,,
2013-11-01,0.0,0.0,0.0,0.0,0.0,0.0,15.974,224.0,224.0,,,
2013-12-01,0.0,0.0,0.0,0.0,0.0,0.0,111.903,1557.0,1557.0,,,
2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,78.514,1092.0,1092.0,,,
2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0,16.852,235.0,235.0,,,
2014-03-01,0.0,0.0,0.0,0.0,0.0,0.0,22.388,308.0,308.0,,,
2014-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.462,6.0,6.0,,,
2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.616,11.0,11.0,,,
2014-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.194,0.0,0.0,,,
2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,1.995,28.0,28.0,,,
2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0,1.504,22.0,22.0,,,
2014-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.4,6.0,6.0,,,
2014-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.518,6.0,6.0,,,
2014-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.746,11.0,11.0,,,
2014-12-01,0.0,0.0,0.0,0.0,0.0,0.0,1.811,22.0,22.0,,,
2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,29.137,437.0,437.0,,,
2015-02-01,0.0,0.0,0.0,0.0,0.0,0.0,186.926,2839.0,2839.0,,,
2015-03-01,0.0,0.0,0.0,0.0,0.0,0.0,8.319,129.0,129.0,,,
2015-04-01,0.0,0.0,0.0,0.0,0.0,0.0,1.283,17.0,17.0,,,
2015-05-01,0.0,0.0,0.0,0.0,0.0,0.0,2.954,45.0,45.0,,,
2015-06-01,0.0,0.0,0.0,0.0,0.0,0.0,1.628,22.0,22.0,,,
2015-07-01,0.0,0.0,0.0,0.0,0.0,0.0,5.125,78.0,78.0,,,
2015-08-01,0.0,0.0,0.0,0.0,0.0,0.0,2.928,45.0,45.0,,,
2015-09-01,0.0,0.0,0.0,0.0,0.0,0.0,8.704,134.0,134.0,,,
2015-10-01,0.0,0.0,0.0,0.0,0.0,0.0,1.321,22.0,22.0,,,
2015-11-01,0.0,0.0,0.0,0.0,0.0,0.0,2.05,34.0,34.0,,,
2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,2.625,39.0,39.0,,,
2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,17.674,258.0,258.0,,,
2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0,37.167,526.0,526.0,,,
2016-03-01,0.0,0.0,0.0,0.0,0.0,0.0,1.304,17.0,17.0,,,
2016-04-01,0.0,0.0,0.0,0.0,0.0,0.0,2.765,39.0,39.0,,,
2016-05-01,0.0,0.0,0.0,0.0,0.0,0.0,4.054,56.0,56.0,,,
2016-06-01,0.0,0.0,0.0,0.0,0.0,0.0,6.753,95.0,95.0,,,
2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0,28.988,409.0,409.0,,,
2016-08-01,0.0,0.0,0.0,0.0,0.0,0.0,20.147,286.0,286.0,,,
2016-09-01,0.0,0.0,0.0,0.0,0.0,0.0,37.68,532.0,532.0,,,
2016-10-01,0.0,0.0,0.0,0.0,0.0,0.0,57.971,818.0,818.0,,,
2016-11-01,0.0,0.0,0.0,0.0,0.0,0.0,152.806,2162.0,2162.0,,,
2016-12-01,0.0,0.0,0.0,0.0,0.0,0.0,52.691,745.0,745.0,,,
2017-01-01,0.0,0.0,0.0,0.0,0.0,0.0,26.69,376.0,376.0,,,
2017-02-01,0.0,0.0,0.0,0.0,0.0,0.0,14.46,205.0,205.0,,,
2017-03-01,0.0,0.0,0.0,0.0,0.0,0.0,17.368,245.0,245.0,,,
2017-04-01,0.0,0.0,0.0,0.0,0.0,0.0,12.022,171.0,171.0,,,
2017-05-01,0.0,0.0,0.0,0.0,0.0,0.0,12.324,171.0,171.0,,,
2017-06-01,0.0,0.0,0.0,0.0,0.0,0.0,12.264,171.0,171.0,,,
2017-07-01,0.0,0.0,0.0,0.0,0.0,0.0,8.418,119.0,119.0,,,
2017-08-01,0.0,0.0,0.0,0.0,0.0,0.0,8.238,114.0,114.0,,,
2017-09-01,0.0,0.0,0.0,0.0,0.0,0.0,13.991,199.0,199.0,,,
2017-10-01,0.0,0.0,0.0,0.0,0.0,0.0,13.594,193.0,193.0,,,
2017-11-01,0.0,0.0,0.0,0.0,0.0,0.0,22.857,319.0,319.0,,,
2017-12-01,0.0,0.0,0.0,0.0,0.0,0.0,316.774,4450.0,4450.0,,,
2018-01-01,0.0,0.0,0.0,0.0,0.0,0.0,204.675,2834.0,2834.0,,,
2018-02-01,0.0,0.0,0.0,0.0,0.0,0.0,7.877,106.0,106.0,,,
2018-03-01,0.0,0.0,0.0,0.0,0.0,0.0,8.746,123.0,123.0,,,
2018-04-01,0.0,0.0,0.0,0.0,0.0,0.0,6.704,95.0,95.0,,,
2018-05-01,0.0,0.0,0.0,0.0,0.0,0.0,7.435,101.0,101.0,,,
2018-06-01,0.0,0.0,0.0,0.0,0.0,0.0,6.399,90.0,90.0,,,
2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,8.818,123.0,123.0,,,
2018-08-01,0.0,0.0,0.0,0.0,0.0,0.0,15.886,218.0,218.0,,,
2018-09-01,0.0,0.0,0.0,0.0,0.0,0.0,7.812,106.0,106.0,,,
2018-10-01,0.0,0.0,0.0,0.0,0.0,0.0,7.073,101.0,101.0,,,
2018-11-01,0.0,0.0,0.0,0.0,0.0,0.0,15.21,213.0,213.0,,,
2018-12-01,0.0,0.0,0.0,0.0,0.0,0.0,8.365,118.0,118.0,,,
2019-01-01,0.0,0.0,0.0,0.0,0.0,0.0,16.249,95.0,95.0,,,
2019-02-01,0.0,0.0,0.0,0.0,0.0,0.0,10.164,56.0,56.0,,,
2019-03-01,0.0,0.0,0.0,0.0,0.0,0.0,10.595,62.0,62.0,,,
2019-04-01,0.0,0.0,0.0,0.0,0.0,0.0,8.229,45.0,45.0,,,
2019-05-01,0.0,0.0,0.0,0.0,0.0,0.0,4.208,22.0,22.0,,,
2019-06-01,0.0,0.0,0.0,0.0,0.0,0.0,5.125,28.0,28.0,,,
2019-07-01,0.0,0.0,0.0,0.0,0.0,0.0,6.969,39.0,39.0,,,
2019-08-01,0.0,0.0,0.0,0.0,0.0,0.0,13.291,73.0,73.0,,,
2019-09-01,0.0,0.0,0.0,0.0,0.0,0.0,6.402,34.0,34.0,,,
2019-10-01,0.0,0.0,0.0,0.0,0.0,0.0,10.07,56.0,56.0,,,
2019-11-01,0.0,0.0,0.0,0.0,0.0,0.0,13.919,78.0,78.0,,,
2019-12-01,0.0,0.0,0.0,0.0,0.0,0.0,15.779,90.0,90.0,,,
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,9.237,123.0,123.0,,,
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,9.86,134.0,134.0,,,
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,7.663,101.0,101.0,,,
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,8.513,112.0,112.0,,,
2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0,5.956,78.0,78.0,,,
2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0,5.786,78.0,78.0,,,
2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,6.874,95.0,95.0,,,
2020-08-01,0.0,0.0,0.0,0.0,0.0,0.0,6.485,90.0,90.0,,,
2020-09-01,0.0,0.0,0.0,0.0,0.0,0.0,7.353,101.0,101.0,,,
2020-10-01,0.0,0.0,0.0,0.0,0.0,0.0,11.544,157.0,157.0,,,
2020-11-01,0.0,0.0,0.0,0.0,0.0,0.0,11.625,157.0,157.0,,,
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,65.104,874.0,874.0,,,
2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,14.519,235.0,235.0,,,
2021-02-01,0.0,0.0,0.0,0.0,0.0,0.0,32.117,493.0,493.0,,,
2021-03-01,0.0,0.0,0.0,0.0,0.0,0.0,8.103,123.0,123.0,,,
2021-04-01,0.0,0.0,0.0,0.0,0.0,0.0,4.164,62.0,62.0,,,
2021-05-01,0.0,0.0,0.0,0.0,0.0,0.0,3.601,56.0,56.0,,,
2021-06-01,0.0,0.0,0.0,0.0,0.0,0.0,3.525,56.0,56.0,,,
2021-07-01,0.0,0.0,0.0,0.0,0.0,0.0,5.32,84.0,84.0,,,
2021-08-01,0.0,0.0,0.0,0.0,0.0,0.0,6.343,95.0,95.0,,,
2021-09-01,0.0,0.0,0.0,0.0,0.0,0.0,4.057,62.0,62.0,,,
2021-10-01,0.0,0.0,0.0,0.0,0.0,0.0,7.036,106.0,106.0,,,
2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,8.523,129.0,129.0,,,
2021-12-01,0.0,0.0,0.0,0.0,0.0,0.0,36.692,566.0,566.0,,,
2022-01-01,0.0,0.0,0.0,0.0,0.0,0.0,97.549,577.0,577.0,,,
2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0,13.995,84.0,84.0,,,
2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0,1.889,11.0,11.0,,,
2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.949,6.0,6.0,,,
2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.661,6.0,6.0,,,
2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,4.957,28.0,28.0,,,
