measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed
2005-06-01,0.0,0.0,0.0,2070.119,21439.97,21439.97
2005-07-01,0.0,0.0,0.0,3920.5710000000004,40604.86,40604.86
2005-08-01,0.0,0.0,0.0,3472.483,35964.08,35964.08
2005-09-01,0.0,0.0,0.0,1932.171,20011.26,20011.26
2005-10-01,0.0,0.0,0.0,2708.934,28056.1,28056.1
2005-11-01,0.0,0.0,0.0,1824.087,18891.85,18891.85
2005-12-01,0.0,0.0,0.0,4996.578,51748.94,51748.94
2006-01-01,0.0,0.0,0.0,1907.065,20201.0,20201.0
2006-02-01,0.0,0.0,0.0,997.907,10570.0,10570.0
2006-03-01,0.0,0.0,0.0,838.2510000000001,8879.0,8879.0
2006-04-01,0.0,0.0,0.0,1605.7060000000001,17009.0,17009.0
2006-05-01,0.0,0.0,0.0,1500.931,15899.0,15899.0
2006-06-01,0.0,0.0,0.0,1364.2430000000002,14451.0,14451.0
2006-07-01,0.0,0.0,0.0,1976.1380000000001,20932.0,20932.0
2006-08-01,0.0,0.0,0.0,1916.843,20304.0,20304.0
2006-09-01,0.0,0.0,0.0,880.628,9328.0,9328.0
2006-10-01,0.0,0.0,0.0,930.2280000000001,9854.0,9854.0
2006-11-01,0.0,0.0,0.0,1095.372,11603.0,11603.0
2006-12-01,0.0,0.0,0.0,1213.6870000000001,12856.0,12856.0
2007-01-01,6253.2,68800.0,68800.0,0.0,0.0,0.0
2007-02-01,10651.768,117195.0,117195.0,0.0,0.0,0.0
2007-03-01,5141.03,56562.0,56562.0,0.0,0.0,0.0
2007-04-01,3712.2380000000003,40844.0,40844.0,0.0,0.0,0.0
2007-05-01,1856.679,20428.0,20428.0,0.0,0.0,0.0
2007-06-01,2474.4120000000003,27225.0,27225.0,0.0,0.0,0.0
2007-07-01,2520.8610000000003,27736.0,27736.0,0.0,0.0,0.0
2007-08-01,2541.853,27968.0,27968.0,0.0,0.0,0.0
2007-09-01,1703.199,18740.0,18740.0,0.0,0.0,0.0
2007-10-01,969.714,10672.0,10672.0,0.0,0.0,0.0
2007-11-01,592.113,6513.0,6513.0,0.0,0.0,0.0
2007-12-01,2248.934,24743.0,24743.0,0.0,0.0,0.0
2008-01-01,4778.966,52024.0,52024.0,0.0,0.0,0.0
2008-02-01,3054.788,33262.0,33262.0,0.0,0.0,0.0
2008-03-01,950.278,10344.0,10344.0,0.0,0.0,0.0
2008-04-01,403.312,4393.0,4393.0,0.0,0.0,0.0
2008-05-01,570.5260000000001,6213.0,6213.0,0.0,0.0,0.0
2008-06-01,4048.346,44081.0,44081.0,0.0,0.0,0.0
2008-07-01,4923.039000000001,53601.0,53601.0,0.0,0.0,0.0
2008-08-01,1861.4260000000002,20268.0,20268.0,0.0,0.0,0.0
2008-09-01,1278.295,13919.0,13919.0,0.0,0.0,0.0
2008-10-01,471.867,5140.0,5140.0,0.0,0.0,0.0
2008-11-01,3355.264,36534.0,36534.0,0.0,0.0,0.0
2008-12-01,9436.893,102750.0,102750.0,0.0,0.0,0.0
2009-01-01,9500.421,109562.0,109562.0,0.0,0.0,0.0
2009-02-01,1527.101,17611.0,17611.0,0.0,0.0,0.0
2009-03-01,974.3430000000001,11237.0,11237.0,0.0,0.0,0.0
2009-04-01,283.28700000000003,3269.0,3269.0,0.0,0.0,0.0
2009-05-01,233.34300000000002,2693.0,2693.0,0.0,0.0,0.0
2009-06-01,717.777,8279.0,8279.0,0.0,0.0,0.0
2009-07-01,1012.4540000000001,11678.0,11678.0,0.0,0.0,0.0
2009-08-01,1675.651,19328.0,19328.0,0.0,0.0,0.0
2009-09-01,331.13800000000003,3822.0,3822.0,0.0,0.0,0.0
2009-10-01,155.773,1799.0,1799.0,0.0,0.0,0.0
2009-11-01,136.578,1576.0,1576.0,0.0,0.0,0.0
2009-12-01,1092.134,12595.0,12595.0,0.0,0.0,0.0
2010-01-01,4736.576,48701.0,48701.0,0.0,0.0,0.0
2010-02-01,1317.123,13543.0,13543.0,0.0,0.0,0.0
2010-03-01,852.4540000000001,8767.0,8767.0,0.0,0.0,0.0
2010-04-01,801.524,8242.0,8242.0,0.0,0.0,0.0
2010-05-01,1099.278,11303.0,11303.0,0.0,0.0,0.0
2010-06-01,4073.036,41884.0,41884.0,0.0,0.0,0.0
2010-07-01,8063.601000000001,82918.0,82918.0,0.0,0.0,0.0
2010-08-01,4394.504,45190.0,45190.0,0.0,0.0,0.0
2010-09-01,2007.698,20645.0,20645.0,0.0,0.0,0.0
2010-10-01,470.79,4839.0,4839.0,0.0,0.0,0.0
2010-11-01,473.406,4868.0,4868.0,0.0,0.0,0.0
2010-12-01,2838.01,29184.0,29184.0,0.0,0.0,0.0
2011-01-01,5102.277,51021.0,51021.0,0.0,0.0,0.0
2011-02-01,1272.372,12722.0,12722.0,0.0,0.0,0.0
2011-03-01,922.076,9217.0,9217.0,0.0,0.0,0.0
2011-04-01,533.714,5335.0,5335.0,0.0,0.0,0.0
2011-05-01,856.302,8561.0,8561.0,0.0,0.0,0.0
2011-06-01,2726.917,27263.0,27263.0,0.0,0.0,0.0
2011-07-01,4921.057,49202.0,49202.0,0.0,0.0,0.0
2011-08-01,1769.62,17693.0,17693.0,0.0,0.0,0.0
2011-09-01,919.687,9194.0,9194.0,0.0,0.0,0.0
2011-10-01,664.421,6641.0,6641.0,0.0,0.0,0.0
2011-11-01,469.282,4691.0,4691.0,0.0,0.0,0.0
2011-12-01,661.275,6612.0,6612.0,0.0,0.0,0.0
2012-01-01,1191.765,11660.0,11660.0,0.0,0.0,0.0
2012-02-01,856.39,8377.0,8377.0,0.0,0.0,0.0
2012-03-01,763.636,7469.0,7469.0,0.0,0.0,0.0
2012-04-01,389.409,3812.0,3812.0,0.0,0.0,0.0
2012-05-01,972.459,9515.0,9515.0,0.0,0.0,0.0
2012-06-01,3124.117,30564.0,30564.0,0.0,0.0,0.0
2012-07-01,7091.433,69377.0,69377.0,0.0,0.0,0.0
2012-08-01,3220.536,31510.0,31510.0,0.0,0.0,0.0
2012-09-01,1005.475,9840.0,9840.0,0.0,0.0,0.0
2012-10-01,921.038,9009.0,9009.0,0.0,0.0,0.0
2012-11-01,1493.334,14608.0,14608.0,0.0,0.0,0.0
2012-12-01,728.408,7128.0,7128.0,0.0,0.0,0.0
2013-01-01,0.0,0.0,0.0,5750.307,58573.0,58573.0
2013-02-01,0.0,0.0,0.0,1835.519,18702.0,18702.0
2013-03-01,0.0,0.0,0.0,547.612,5580.0,5580.0
2013-04-01,0.0,0.0,0.0,422.915,4309.0,4309.0
2013-05-01,0.0,0.0,0.0,968.355,9867.0,9867.0
2013-06-01,0.0,0.0,0.0,1653.357,16844.0,16844.0
2013-07-01,0.0,0.0,0.0,4800.276,48906.0,48906.0
2013-08-01,0.0,0.0,0.0,802.601,8180.0,8180.0
2013-09-01,0.0,0.0,0.0,1055.92,10756.0,10756.0
2013-10-01,0.0,0.0,0.0,351.884,3585.0,3585.0
2013-11-01,0.0,0.0,0.0,379.985,3870.0,3870.0
2013-12-01,0.0,0.0,0.0,907.269,9245.0,9245.0
2014-01-01,0.0,0.0,0.0,7074.641,70504.0,70504.0
2014-02-01,0.0,0.0,0.0,2519.87,25110.0,25110.0
2014-03-01,0.0,0.0,0.0,1990.391,19835.0,19835.0
2014-04-01,0.0,0.0,0.0,52.017,521.0,521.0
2014-05-01,0.0,0.0,0.0,45.58,454.0,454.0
2014-06-01,0.0,0.0,0.0,108.739,1086.0,1086.0
2014-07-01,0.0,0.0,0.0,179.041,1786.0,1786.0
2014-08-01,0.0,0.0,0.0,133.793,1333.0,1333.0
2014-09-01,0.0,0.0,0.0,96.818,963.0,963.0
2014-10-01,0.0,0.0,0.0,86.804,862.0,862.0
2014-11-01,0.0,0.0,0.0,128.74,1282.0,1282.0
2014-12-01,0.0,0.0,0.0,149.566,1490.0,1490.0
2015-01-01,0.0,0.0,0.0,804.28,8351.0,8351.0
2015-02-01,0.0,0.0,0.0,2905.337,30153.0,30153.0
2015-03-01,0.0,0.0,0.0,223.665,2320.0,2320.0
2015-04-01,0.0,0.0,0.0,27.498,285.0,285.0
2015-05-01,0.0,0.0,0.0,39.072,405.0,405.0
2015-06-01,0.0,0.0,0.0,33.507,348.0,348.0
2015-07-01,0.0,0.0,0.0,85.829,889.0,889.0
2015-08-01,0.0,0.0,0.0,95.551,992.0,992.0
2015-09-01,0.0,0.0,0.0,81.208,844.0,844.0
2015-10-01,0.0,0.0,0.0,31.183,325.0,325.0
2015-11-01,0.0,0.0,0.0,14.252,148.0,148.0
2015-12-01,0.0,0.0,0.0,37.618,388.0,388.0
2016-01-01,0.0,0.0,0.0,907.909,9233.0,9233.0
2016-02-01,0.0,0.0,0.0,2213.854,22526.0,22526.0
2016-03-01,0.0,0.0,0.0,156.327,1590.0,1590.0
2016-04-01,0.0,0.0,0.0,156.171,1590.0,1590.0
2016-05-01,0.0,0.0,0.0,77.361,790.0,790.0
2016-06-01,0.0,0.0,0.0,96.375,981.0,981.0
2016-07-01,0.0,0.0,0.0,589.514,5995.0,5995.0
2016-08-01,0.0,0.0,0.0,923.064,9391.0,9391.0
2016-09-01,0.0,0.0,0.0,258.334,2628.0,2628.0
2016-10-01,0.0,0.0,0.0,92.954,948.0,948.0
2016-11-01,0.0,0.0,0.0,105.608,1077.0,1077.0
2016-12-01,0.0,0.0,0.0,606.529,6170.0,6170.0
2017-01-01,0.0,0.0,0.0,224.316,2184.0,2184.0
2017-02-01,0.0,0.0,0.0,186.845,1826.0,1826.0
2017-03-01,0.0,0.0,0.0,284.851,2783.0,2783.0
2017-04-01,0.0,0.0,0.0,269.474,2632.0,2632.0
2017-05-01,0.0,0.0,0.0,138.622,1355.0,1355.0
2017-06-01,0.0,0.0,0.0,106.906,1042.0,1042.0
2017-07-01,0.0,0.0,0.0,101.051,986.0,986.0
2017-08-01,0.0,0.0,0.0,77.525,756.0,756.0
2017-09-01,0.0,0.0,0.0,84.203,823.0,823.0
2017-10-01,0.0,0.0,0.0,151.635,1478.0,1478.0
2017-11-01,0.0,0.0,0.0,175.976,1719.0,1719.0
2017-12-01,0.0,0.0,0.0,2694.596,26303.0,26303.0
2018-01-01,0.0,0.0,0.0,7154.451,71186.0,71186.0
2018-02-01,0.0,0.0,0.0,150.101,1492.0,1492.0
2018-03-01,0.0,0.0,0.0,149.589,1486.0,1486.0
2018-04-01,0.0,0.0,0.0,118.96,1182.0,1182.0
2018-05-01,0.0,0.0,0.0,28.244,282.0,282.0
2018-06-01,0.0,0.0,0.0,72.734,726.0,726.0
2018-07-01,0.0,0.0,0.0,66.969,664.0,664.0
2018-08-01,0.0,0.0,0.0,57.684,574.0,574.0
2018-09-01,0.0,0.0,0.0,66.236,659.0,659.0
2018-10-01,0.0,0.0,0.0,71.701,715.0,715.0
2018-11-01,0.0,0.0,0.0,75.283,749.0,749.0
2018-12-01,0.0,0.0,0.0,139.048,1385.0,1385.0
2019-01-01,0.0,0.0,0.0,3463.435,16145.0,16145.0
2019-02-01,0.0,0.0,0.0,716.546,3338.0,3338.0
2019-03-01,0.0,0.0,0.0,11.818,56.0,56.0
2019-04-01,0.0,0.0,0.0,5.935,28.0,28.0
2019-05-01,0.0,0.0,0.0,9.422,45.0,45.0
2019-06-01,0.0,0.0,0.0,6.234,28.0,28.0
2019-07-01,0.0,0.0,0.0,2.998,11.0,11.0
2019-08-01,0.0,0.0,0.0,5.694,28.0,28.0
2019-09-01,0.0,0.0,0.0,25.013,118.0,118.0
2019-10-01,0.0,0.0,0.0,6.606,28.0,28.0
2019-11-01,0.0,0.0,0.0,13.023,62.0,62.0
2019-12-01,0.0,0.0,0.0,490.276,2285.0,2285.0
2020-01-01,0.0,0.0,0.0,4315.106,42215.0,42215.0
2020-02-01,0.0,0.0,0.0,3235.438,31663.0,31663.0
2020-03-01,0.0,0.0,0.0,2739.888,26813.0,26813.0
2020-04-01,0.0,0.0,0.0,1946.782,19052.0,19052.0
2020-05-01,0.0,0.0,0.0,4116.074,40281.0,40281.0
2020-06-01,0.0,0.0,0.0,1706.374,16700.0,16700.0
2020-07-01,0.0,0.0,0.0,2837.791,27771.0,27771.0
2020-08-01,0.0,0.0,0.0,1148.451,11241.0,11241.0
2020-09-01,0.0,0.0,0.0,2984.657,29210.0,29210.0
2020-10-01,0.0,0.0,0.0,1706.341,16700.0,16700.0
2020-11-01,0.0,0.0,0.0,4129.674,40411.0,40411.0
2020-12-01,0.0,0.0,0.0,4839.424,47359.0,47359.0
2021-01-01,0.0,0.0,0.0,1967.527,19136.0,19136.0
2021-02-01,0.0,0.0,0.0,1911.885,18597.0,18597.0
2021-03-01,0.0,0.0,0.0,616.669,5997.0,5997.0
2021-04-01,0.0,0.0,0.0,652.484,6345.0,6345.0
2021-05-01,0.0,0.0,0.0,222.934,2169.0,2169.0
2021-06-01,0.0,0.0,0.0,2589.257,25183.0,25183.0
2021-07-01,0.0,0.0,0.0,2247.576,21862.0,21862.0
2021-08-01,0.0,0.0,0.0,7500.985,72953.0,72953.0
2021-09-01,0.0,0.0,0.0,1331.728,12954.0,12954.0
2021-10-01,0.0,0.0,0.0,1783.465,17343.0,17343.0
2021-11-01,0.0,0.0,0.0,2219.444,21586.0,21586.0
2021-12-01,0.0,0.0,0.0,1614.045,15697.0,15697.0
2022-01-01,0.0,0.0,0.0,5963.543,58605.0,58605.0
2022-02-01,0.0,0.0,0.0,1905.097,18720.0,18720.0
2022-03-01,0.0,0.0,0.0,1492.561,14668.0,14668.0
2022-04-01,0.0,0.0,0.0,905.281,8896.0,8896.0
2022-05-01,0.0,0.0,0.0,588.335,5783.0,5783.0
2022-06-01,0.0,0.0,0.0,576.717,5665.0,5665.0
2022-07-01,0.0,0.0,0.0,1847.392,18153.0,18153.0
2022-08-01,0.0,0.0,0.0,1452.336,14275.0,14275.0
2022-09-01,0.0,0.0,0.0,1288.479,12662.0,12662.0
2022-10-01,0.0,0.0,0.0,583.534,5732.0,5732.0
2022-11-01,0.0,0.0,0.0,860.891,8458.0,8458.0
2022-12-01,0.0,0.0,0.0,3032.834,29803.0,29803.0
2023-01-01,0.0,0.0,0.0,492.537,9593.0,9593.0
2023-02-01,0.0,0.0,0.0,11092.764,216030.0,216030.0
2023-03-01,0.0,0.0,0.0,386.154,7523.0,7523.0
2023-04-01,0.0,0.0,0.0,181.777,3540.0,3540.0
2023-05-01,0.0,0.0,0.0,351.291,6839.0,6839.0
2023-06-01,0.0,0.0,0.0,54.831,1066.0,1066.0
2023-07-01,0.0,0.0,0.0,70.392,1369.0,1369.0
2023-08-01,0.0,0.0,0.0,81.81,1593.0,1593.0
2023-09-01,0.0,0.0,0.0,155.916,3035.0,3035.0
2023-10-01,0.0,0.0,0.0,274.445,5346.0,5346.0
2023-11-01,0.0,0.0,0.0,131.316,2558.0,2558.0
2023-12-01,0.0,0.0,0.0,70.767,1380.0,1380.0
2024-01-01,0.0,0.0,0.0,4.677,45.0,45.0
2024-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,0.0,0.0,0.0,2.224,23.0,23.0
2024-04-01,0.0,0.0,0.0,133.418,1348.0,1348.0
2024-05-01,0.0,0.0,0.0,67.026,677.0,677.0
2024-06-01,0.0,0.0,0.0,309.041,3125.0,3125.0
2024-07-01,0.0,0.0,0.0,315.912,3198.0,3198.0
2024-08-01,0.0,0.0,0.0,141.959,1438.0,1438.0
2024-09-01,0.0,0.0,0.0,344.541,3486.0,3486.0
2024-10-01,0.0,0.0,0.0,63.084,637.0,637.0
2024-11-01,0.0,0.0,0.0,27.742,282.0,282.0
2024-12-01,0.0,0.0,0.0,53.376,541.0,541.0
