measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Purchased Steam - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Purchased Steam - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Purchased Steam - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Waste heat not directly attributed to a fuel source - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Waste heat not directly attributed to a fuel source - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Waste heat not directly attributed to a fuel source - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2015-10-01,778.287,3250.0,3250.0,,,,,,,,,
2015-11-01,790.569,3301.0,3301.0,,,,,,,,,
2015-12-01,819.975,3424.0,3424.0,,,,,,,,,
2016-01-01,1107.535,4564.0,4564.0,,,,,,,,,
2016-02-01,1003.359,4135.0,4135.0,,,,,,,,,
2016-03-01,1025.595,4227.0,4227.0,,,,,,,,,
2016-04-01,978.718,4033.0,4033.0,,,,,,,,,
2016-05-01,1111.189,4579.0,4579.0,,,,,,,,,
2016-06-01,1170.665,4825.0,4825.0,,,,,,,,,
2016-07-01,1199.071,4941.0,4941.0,,,,,,,,,
2016-08-01,1157.833,4772.0,4772.0,,,,,,,,,
2016-09-01,1069.009,4405.0,4405.0,,,,,,,,,
2016-10-01,913.66,3765.0,3765.0,,,,,,,,,
2016-11-01,895.925,3692.0,3692.0,,,,,,,,,
2016-12-01,865.441,3566.0,3566.0,,,,,,,,,
2017-01-01,1053.768,3845.0,3845.0,,,,,,,,,
2017-02-01,1001.944,3656.0,3656.0,,,,,,,,,
2017-03-01,1128.327,4117.0,4117.0,,,,,,,,,
2017-04-01,1195.91,4364.0,4364.0,,,,,,,,,
2017-05-01,1263.292,4609.0,4609.0,,,,,,,,,
2017-06-01,1299.385,4741.0,4741.0,,,,,,,,,
2017-07-01,1410.044,5145.0,5145.0,,,,,,,,,
2017-08-01,1331.808,4860.0,4860.0,,,,,,,,,
2017-09-01,1237.608,4516.0,4516.0,,,,,,,,,
2017-10-01,1209.757,4414.0,4414.0,,,,,,,,,
2017-11-01,990.016,3612.0,3612.0,,,,,,,,,
2017-12-01,1200.141,4379.0,4379.0,,,,,,,,,
2018-01-01,1242.009,4553.0,4553.0,,,,,,,,,
2018-02-01,1015.56,3722.0,3722.0,,,,,,,,,
2018-03-01,968.472,3550.0,3550.0,,,,,,,,,
2018-04-01,1051.18,3853.0,3853.0,,,,,,,,,
2018-05-01,1194.612,4378.0,4378.0,,,,,,,,,
2018-06-01,1298.268,4759.0,4759.0,,,,,,,,,
2018-07-01,1448.89,5310.0,5310.0,,,,,,,,,
2018-08-01,1367.975,5014.0,5014.0,,,,,,,,,
2018-09-01,1282.51,4701.0,4701.0,,,,,,,,,
2018-10-01,1257.697,4610.0,4610.0,,,,,,,,,
2018-11-01,948.584,3477.0,3477.0,,,,,,,,,
2018-12-01,970.243,3556.0,3556.0,,,,,,,,,
2019-01-01,1023.45,3778.0,3778.0,,,,,,,,,
2019-02-01,823.005,3038.0,3038.0,,,,,,,,,
2019-03-01,933.635,3447.0,3447.0,,,,,,,,,
2019-04-01,1080.937,3990.0,3990.0,,,,,,,,,
2019-05-01,1171.676,4325.0,4325.0,,,,,,,,,
2019-06-01,1247.398,4605.0,4605.0,,,,,,,,,
2019-07-01,1314.802,4854.0,4854.0,,,,,,,,,
2019-08-01,1323.988,4888.0,4888.0,,,,,,,,,
2019-09-01,1159.62,4281.0,4281.0,,,,,,,,,
2019-10-01,997.476,3683.0,3683.0,,,,,,,,,
2019-11-01,901.786,3329.0,3329.0,,,,,,,,,
2019-12-01,916.227,3382.0,3382.0,,,,,,,,,
2020-01-01,31.687,115.0,115.0,,,,,,,,,
2020-02-01,31.522,115.0,115.0,,,,,,,,,
2020-03-01,33.096,122.0,122.0,,,,,,,,,
2020-04-01,30.432,112.0,112.0,,,,,,,,,
2020-05-01,31.914,118.0,118.0,,,,,,,,,
2020-06-01,35.236,130.0,130.0,,,,,,,,,
2020-07-01,41.095,151.0,151.0,,,,,,,,,
2020-08-01,37.261,137.0,137.0,,,,,,,,,
2020-09-01,31.305,115.0,115.0,,,,,,,,,
2020-10-01,33.772,124.0,124.0,,,,,,,,,
2020-11-01,31.561,116.0,116.0,,,,,,,,,
2020-12-01,33.119,122.0,122.0,,,,,,,,,
2021-01-01,159.592,580.0,580.0,,,,,,,,,
2021-02-01,146.19,531.0,531.0,,,,,,,,,
2021-03-01,145.251,528.0,528.0,,,,,,,,,
2021-04-01,144.278,524.0,524.0,,,,,,,,,
2021-05-01,160.178,582.0,582.0,,,,,,,,,
2021-06-01,187.473,681.0,681.0,,,,,,,,,
2021-07-01,206.981,753.0,753.0,,,,,,,,,
2021-08-01,197.321,718.0,718.0,,,,,,,,,
2021-09-01,131.714,479.0,479.0,,,,,,,,,
2021-10-01,173.539,631.0,631.0,,,,,,,,,
2021-11-01,149.914,545.0,545.0,,,,,,,,,
2021-12-01,147.569,537.0,537.0,,,,,,,,,
2022-01-01,250.638,919.0,919.0,,,,,,,,,
2022-02-01,209.158,766.0,766.0,,,,,,,,,
2022-03-01,200.084,733.0,733.0,,,,,,,,,
2022-04-01,224.75,824.0,824.0,,,,,,,,,
2022-05-01,258.456,947.0,947.0,,,,,,,,,
2022-06-01,279.633,1024.0,1024.0,,,,,,,,,
2022-07-01,313.007,1147.0,1147.0,,,,,,,,,
2022-08-01,284.265,1042.0,1042.0,,,,,,,,,
2022-09-01,229.396,840.0,840.0,,,,,,,,,
2022-10-01,215.301,789.0,789.0,,,,,,,,,
2022-11-01,207.127,759.0,759.0,,,,,,,,,
2022-12-01,232.185,851.0,851.0,,,,,,,,,
2023-01-01,384.015,1579.0,1579.0,,,,,,,,,
2023-02-01,458.306,1882.0,1882.0,,,,,,,,,
2023-03-01,469.084,1927.0,1927.0,,,,,,,,,
2023-04-01,417.001,1713.0,1713.0,,,,,,,,,
2023-05-01,504.803,2074.0,2074.0,,,,,,,,,
2023-06-01,554.287,2277.0,2277.0,,,,,,,,,
2023-07-01,578.746,2377.0,2377.0,,,,,,,,,
2023-08-01,589.027,2420.0,2420.0,,,,,,,,,
2023-09-01,522.652,2147.0,2147.0,,,,,,,,,
2023-10-01,496.5,2039.0,2039.0,,,,,,,,,
2023-11-01,544.195,2235.0,2235.0,,,,,,,,,
2023-12-01,505.384,2076.0,2076.0,,,,,,,,,
2024-01-01,1224.756,5198.0,5198.0,,,,,,,,,
2024-02-01,915.948,3889.0,3889.0,,,,,,,,,
2024-03-01,982.812,4172.0,4172.0,,,,,,,,,
2024-04-01,1069.427,4540.0,4540.0,,,,,,,,,
2024-05-01,1161.186,4930.0,4930.0,,,,,,,,,
2024-06-01,1238.797,5258.0,5258.0,,,,,,,,,
2024-07-01,1396.495,5928.0,5928.0,,,,,,,,,
2024-08-01,1276.684,5419.0,5419.0,,,,,,,,,
2024-09-01,1132.584,4808.0,4808.0,,,,,,,,,
2024-10-01,1081.527,4591.0,4591.0,,,,,,,,,
2024-11-01,1050.428,4460.0,4460.0,,,,,,,,,
2024-12-01,1047.356,4446.0,4446.0,,,,,,,,,
