measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2007-03-01,193.282,928.0,10627.0,0.0,0.0,0.0,4211.159000000001,20480.0,231329.0
2007-04-01,179.21900000000002,875.0,9858.0,0.0,0.0,0.0,5194.145,25266.0,285327.0
2007-05-01,206.5,1007.0,11342.0,0.0,0.0,0.0,3843.7760000000003,18693.0,211142.0
2007-06-01,206.461,1007.0,11342.0,0.0,0.0,0.0,4173.6230000000005,20295.0,229260.0
2007-07-01,210.303,1034.0,11554.0,0.0,0.0,0.0,5177.1050000000005,25180.0,284385.0
2007-08-01,234.479,1140.0,12879.0,0.0,0.0,0.0,3965.998,19288.0,217856.0
2007-09-01,201.02700000000002,981.0,11051.0,0.0,0.0,0.0,3296.038,16028.0,181056.0
2007-10-01,204.08100000000002,981.0,11210.0,0.0,0.0,0.0,4869.497,23685.0,267490.0
2007-11-01,154.901,742.0,8507.0,0.0,0.0,0.0,4207.501,20469.0,231123.0
2007-12-01,196.869,954.0,10812.0,0.0,0.0,0.0,4352.786,21173.0,239105.0
2008-01-01,790.437,3845.0,10680.0,0.0,0.0,0.0,4899.313,23829.0,66204.0
2008-02-01,718.712,3496.0,9699.0,0.0,0.0,0.0,4012.757,19517.0,54226.0
2008-03-01,729.368,3547.0,9858.0,0.0,0.0,0.0,3777.737,18374.0,51053.0
2008-04-01,657.714,3199.0,8878.0,0.0,0.0,0.0,4356.635,21190.0,58872.0
2008-05-01,720.359,3504.0,9726.0,0.0,0.0,0.0,3581.128,17418.0,48388.0
2008-06-01,819.8580000000001,3988.0,11077.0,0.0,0.0,0.0,4279.828,20816.0,57832.0
2008-07-01,816.9060000000001,3973.0,11051.0,0.0,0.0,0.0,4935.735000000001,24006.0,66702.0
2008-08-01,793.749,3861.0,10733.0,0.0,0.0,0.0,4367.253000000001,21241.0,59013.0
2008-09-01,683.549,3325.0,9249.0,0.0,0.0,0.0,3386.556,16471.0,45768.0
2008-10-01,570.321,2774.0,7712.0,0.0,0.0,0.0,4326.18,21042.0,58460.0
2008-11-01,660.2040000000001,3211.0,8931.0,0.0,0.0,0.0,4909.406,23878.0,66345.0
2008-12-01,641.889,3122.0,8666.0,0.0,0.0,0.0,4854.406,23611.0,65597.0
2009-01-01,218.631,1115.0,11501.0,0.0,0.0,0.0,4563.885,23273.0,239332.0
2009-02-01,162.447,828.0,8507.0,0.0,0.0,0.0,3800.22,19379.0,199294.0
2009-03-01,164.90200000000002,841.0,8639.0,0.0,0.0,0.0,4069.2690000000002,20751.0,213405.0
2009-04-01,140.40900000000002,716.0,7367.0,0.0,0.0,0.0,4465.611,22772.0,234188.0
2009-05-01,151.05800000000002,770.0,7924.0,0.0,0.0,0.0,4631.232,23616.0,242874.0
2009-06-01,187.17100000000002,954.0,9805.0,0.0,0.0,0.0,4516.411,23031.0,236852.0
2009-07-01,194.172,990.0,10176.0,0.0,0.0,0.0,4501.601000000001,22955.0,236072.0
2009-08-01,207.99900000000002,1061.0,10918.0,0.0,0.0,0.0,4686.22,23897.0,245754.0
2009-09-01,151.59300000000002,773.0,7950.0,0.0,0.0,0.0,3752.773,19137.0,196803.0
2009-10-01,143.732,733.0,7526.0,0.0,0.0,0.0,3720.478,18972.0,195113.0
2009-11-01,152.667,779.0,8003.0,0.0,0.0,0.0,3248.978,16568.0,170388.0
2009-12-01,209.145,1067.0,10971.0,0.0,0.0,0.0,4725.396000000001,24097.0,247812.0
2010-01-01,310.648,1511.0,15483.0,0.0,0.0,0.0,4159.903,20233.0,207284.0
2010-02-01,279.87,1361.0,13943.0,0.0,0.0,0.0,3756.063,18269.0,187164.0
2010-03-01,232.412,1130.0,11578.0,0.0,0.0,0.0,3600.2850000000003,17511.0,179410.0
2010-04-01,201.506,980.0,10038.0,0.0,0.0,0.0,3760.8120000000004,18292.0,187402.0
2010-05-01,237.18900000000002,1154.0,11825.0,0.0,0.0,0.0,4109.482,19988.0,204779.0
2010-06-01,308.06100000000004,1498.0,15345.0,0.0,0.0,0.0,4486.3330000000005,21821.0,223560.0
2010-07-01,312.108,1518.0,15565.0,0.0,0.0,0.0,4622.162,22481.0,230332.0
2010-08-01,308.468,1500.0,15373.0,0.0,0.0,0.0,4672.442,22726.0,232837.0
2010-09-01,252.418,1228.0,12568.0,0.0,0.0,0.0,4153.854,20203.0,206993.0
2010-10-01,204.958,997.0,10203.0,0.0,0.0,0.0,3775.447,18363.0,188136.0
2010-11-01,198.422,965.0,9900.0,0.0,0.0,0.0,4100.79,19945.0,204347.0
2010-12-01,308.396,1500.0,15373.0,0.0,0.0,0.0,4999.9710000000005,24319.0,249156.0
2011-01-01,159.239,798.0,9811.0,0.0,0.0,0.0,3769.512,18901.0,231702.0
2011-02-01,103.699,520.0,6371.0,0.0,0.0,0.0,3479.139,17445.0,213839.0
2011-03-01,102.892,516.0,6317.0,0.0,0.0,0.0,3702.121,18563.0,227546.0
2011-04-01,98.518,494.0,6048.0,0.0,0.0,0.0,3497.533,17537.0,214968.0
2011-05-01,115.132,577.0,7069.0,0.0,0.0,0.0,3120.326,15646.0,191780.0
2011-06-01,139.123,698.0,8548.0,0.0,0.0,0.0,3781.543,18961.0,232420.0
2011-07-01,148.227,743.0,9112.0,0.0,0.0,0.0,4031.584,20215.0,247789.0
2011-08-01,138.892,696.0,8548.0,0.0,0.0,0.0,3809.93,19104.0,234164.0
2011-09-01,105.382,528.0,6478.0,0.0,0.0,0.0,3496.23,17531.0,214885.0
2011-10-01,73.953,371.0,4543.0,0.0,0.0,0.0,3179.274,15942.0,195402.0
2011-11-01,83.481,419.0,5134.0,0.0,0.0,0.0,3103.878,15563.0,190774.0
2011-12-01,80.215,402.0,4919.0,0.0,0.0,0.0,3760.857,18858.0,231148.0
2012-01-01,174.625,876.0,8739.0,0.0,0.0,0.0,4184.836,20984.0,209107.0
2012-02-01,153.991,772.0,7694.0,0.0,0.0,0.0,4073.282,20424.0,203530.0
2012-03-01,149.513,750.0,7475.0,0.0,0.0,0.0,4095.421,20535.0,204643.0
2012-04-01,139.261,698.0,6952.0,0.0,0.0,0.0,4191.073,21015.0,209417.0
2012-05-01,182.748,916.0,9123.0,0.0,0.0,0.0,4046.848,20292.0,202210.0
2012-06-01,194.13,973.0,9700.0,0.0,0.0,0.0,4285.008,21486.0,214108.0
2012-07-01,264.231,1325.0,13190.0,0.0,0.0,0.0,4336.644,21745.0,216696.0
2012-08-01,212.084,1063.0,10607.0,0.0,0.0,0.0,4487.851,22503.0,224253.0
2012-09-01,151.472,760.0,7557.0,0.0,0.0,0.0,3788.978,18999.0,189323.0
2012-10-01,140.153,703.0,7007.0,0.0,0.0,0.0,4119.895,20658.0,205860.0
2012-11-01,201.028,1008.0,10058.0,0.0,0.0,0.0,4011.295,20113.0,200437.0
2012-12-01,160.69,806.0,8024.0,0.0,0.0,0.0,4055.853,20337.0,202664.0
2013-01-01,242.763,1217.0,12620.0,41.806,210.0,2173.0,3224.865,16170.0,167595.0
2013-02-01,240.639,1207.0,12499.0,37.796,190.0,1964.0,2979.333,14939.0,154848.0
2013-03-01,262.65,1317.0,13658.0,40.929,205.0,2127.0,3156.908,15829.0,164071.0
2013-04-01,175.871,882.0,9145.0,36.772,184.0,1911.0,2656.167,13319.0,138049.0
2013-05-01,197.556,991.0,10279.0,40.449,203.0,2102.0,2607.949,13077.0,135543.0
2013-06-01,287.552,1442.0,14936.0,43.799,220.0,2277.0,2866.764,14375.0,148994.0
2013-07-01,308.867,1549.0,16046.0,48.074,241.0,2498.0,2863.484,14358.0,148828.0
2013-08-01,290.776,1458.0,15105.0,49.012,246.0,2547.0,3144.404,15767.0,163424.0
2013-09-01,233.07,1169.0,12113.0,46.413,233.0,2412.0,2914.23,14613.0,151461.0
2013-10-01,215.9,1083.0,11220.0,39.132,196.0,2034.0,3173.638,15913.0,164942.0
2013-11-01,260.695,1307.0,13561.0,40.132,201.0,2086.0,3057.465,15331.0,158901.0
2013-12-01,210.963,1058.0,10955.0,50.19,252.0,2609.0,3097.107,15530.0,160967.0
2014-01-01,358.489,1744.0,18025.0,153.913,749.0,7738.0,3600.048,17510.0,180992.0
2014-02-01,313.364,1524.0,15757.0,74.997,365.0,3771.0,3428.89,16677.0,172394.0
2014-03-01,317.184,1543.0,15950.0,125.913,612.0,6330.0,3409.98,16585.0,171435.0
2014-04-01,155.705,757.0,7818.0,135.186,658.0,6797.0,3508.694,17066.0,176404.0
2014-05-01,236.298,1149.0,11872.0,139.602,679.0,7019.0,3507.787,17061.0,176353.0
2014-06-01,305.034,1484.0,15347.0,175.442,853.0,8821.0,3805.664,18510.0,191333.0
2014-07-01,285.125,1387.0,14333.0,180.362,877.0,9068.0,3949.98,19212.0,198591.0
2014-08-01,268.706,1307.0,13513.0,179.066,871.0,9002.0,3709.529,18042.0,186498.0
2014-09-01,217.46,1058.0,10931.0,169.836,826.0,8539.0,3678.614,17892.0,184941.0
2014-10-01,198.968,968.0,10014.0,107.442,523.0,5401.0,3951.598,19220.0,198663.0
2014-11-01,244.771,1191.0,12306.0,147.652,718.0,7423.0,4008.836,19498.0,201550.0
2014-12-01,183.571,893.0,9218.0,187.644,913.0,9434.0,3772.65,18349.0,189673.0
2015-01-01,347.66,1691.0,16336.0,122.757,597.0,5768.0,4482.233,21801.0,210551.0
2015-02-01,429.317,2088.0,20173.0,110.177,536.0,5175.0,4140.4,20138.0,194488.0
2015-03-01,292.406,1422.0,13730.0,105.873,515.0,4973.0,4330.281,21062.0,203406.0
2015-04-01,150.765,733.0,7070.0,101.66,494.0,4775.0,3858.67,18768.0,181260.0
2015-05-01,245.766,1195.0,11534.0,126.098,613.0,5924.0,3684.469,17920.0,173074.0
2015-06-01,419.053,2038.0,19690.0,134.908,656.0,6338.0,4451.109,21649.0,209087.0
2015-07-01,459.126,2233.0,21572.0,134.638,655.0,6324.0,4486.169,21820.0,210736.0
2015-08-01,397.528,1933.0,18677.0,132.135,643.0,6206.0,4647.699,22605.0,218325.0
2015-09-01,264.133,1285.0,12403.0,125.034,608.0,5873.0,4126.979,20073.0,193859.0
2015-10-01,179.322,872.0,8421.0,98.433,479.0,4623.0,3470.255,16879.0,163011.0
2015-11-01,164.147,798.0,7722.0,106.054,516.0,4981.0,4456.72,21677.0,209345.0
2015-12-01,125.888,612.0,5912.0,121.78,592.0,5720.0,4579.358,22273.0,215108.0
2016-01-01,361.173,1712.0,20388.0,443.802,2103.0,25069.0,2546.094,12066.0,143823.0
2016-02-01,260.214,1233.0,14698.0,457.853,2170.0,25863.0,2468.494,11698.0,139440.0
2016-03-01,120.816,573.0,6833.0,486.048,2303.0,27456.0,2411.772,11429.0,136231.0
2016-04-01,132.842,630.0,7502.0,424.569,2012.0,23983.0,2576.872,12212.0,145561.0
2016-05-01,179.778,852.0,10152.0,404.848,1919.0,22868.0,2936.285,13915.0,165864.0
2016-06-01,400.94,1900.0,22647.0,435.316,2063.0,24589.0,2816.451,13347.0,159093.0
2016-07-01,499.165,2365.0,28197.0,507.565,2405.0,28671.0,2797.909,13259.0,158043.0
2016-08-01,496.606,2353.0,28057.0,525.771,2492.0,29699.0,2944.998,13956.0,166351.0
2016-09-01,387.192,1835.0,21866.0,428.087,2029.0,24182.0,2824.78,13386.0,159561.0
2016-10-01,260.049,1232.0,14698.0,315.381,1495.0,17815.0,2434.738,11538.0,137530.0
2016-11-01,180.473,855.0,10208.0,393.301,1864.0,22216.0,2619.764,12415.0,147987.0
2016-12-01,295.446,1400.0,16678.0,415.459,1969.0,23468.0,3086.149,14625.0,174326.0
2017-01-01,36.011,176.0,8928.0,13.564,66.0,3355.0,660.09,3225.0,163310.0
2017-02-01,21.072,103.0,5212.0,12.973,63.0,3210.0,637.609,3115.0,157743.0
2017-03-01,36.482,178.0,9025.0,14.25,70.0,3525.0,666.965,3258.0,165001.0
2017-04-01,34.302,168.0,8494.0,10.061,49.0,2489.0,523.683,2558.0,129555.0
2017-05-01,34.258,167.0,8470.0,12.092,59.0,2992.0,690.903,3375.0,170929.0
2017-06-01,44.748,219.0,11076.0,13.245,65.0,3277.0,702.164,3430.0,173713.0
2017-07-01,61.643,301.0,15250.0,14.571,71.0,3605.0,750.281,3665.0,185621.0
2017-08-01,55.004,269.0,13609.0,14.409,70.0,3565.0,722.585,3530.0,178765.0
2017-09-01,33.346,163.0,8252.0,13.393,65.0,3314.0,668.277,3265.0,165331.0
2017-10-01,26.751,131.0,6612.0,12.121,59.0,2999.0,715.922,3498.0,177115.0
2017-11-01,24.518,120.0,6057.0,12.919,63.0,3196.0,688.987,3366.0,170455.0
2017-12-01,37.112,181.0,9169.0,15.287,75.0,3782.0,718.772,3512.0,177827.0
2018-01-01,191.979,911.0,16722.0,151.509,719.0,13207.0,2499.624,11862.0,217902.0
2018-02-01,61.734,293.0,5381.0,141.013,669.0,12293.0,2178.484,10338.0,189910.0
2018-03-01,108.453,515.0,9459.0,160.462,761.0,13989.0,2277.39,10807.0,198529.0
2018-04-01,71.525,339.0,6226.0,113.335,538.0,9880.0,2193.352,10408.0,191209.0
2018-05-01,112.242,533.0,9797.0,136.85,649.0,11930.0,2358.441,11192.0,205602.0
2018-06-01,158.201,751.0,13802.0,162.683,772.0,14182.0,2053.33,9744.0,179002.0
2018-07-01,127.374,604.0,11100.0,191.244,908.0,16672.0,2237.163,10616.0,195024.0
2018-08-01,138.015,655.0,12041.0,184.031,873.0,16043.0,2318.822,11004.0,202148.0
2018-09-01,123.019,584.0,10714.0,170.162,807.0,14834.0,1699.547,8065.0,148155.0
2018-10-01,67.675,321.0,5888.0,164.739,782.0,14361.0,2348.716,11145.0,204757.0
2018-11-01,90.428,429.0,7891.0,158.58,753.0,13825.0,2003.415,9507.0,174651.0
2018-12-01,100.675,478.0,8783.0,151.903,721.0,13243.0,1974.885,9371.0,172167.0
2019-01-01,232.429,1101.0,10743.0,450.578,2135.0,20803.0,3307.434,15674.0,152691.0
2019-02-01,70.893,336.0,3264.0,467.097,2214.0,21566.0,3070.631,14551.0,141768.0
2019-03-01,219.026,1038.0,10100.0,434.553,2059.0,20063.0,2946.509,13963.0,136043.0
2019-04-01,175.686,833.0,8121.0,322.845,1530.0,14906.0,2972.929,14088.0,137264.0
2019-05-01,272.541,1292.0,12593.0,381.612,1808.0,17619.0,3114.577,14760.0,143798.0
2019-06-01,287.139,1361.0,13261.0,428.065,2029.0,19764.0,3221.684,15267.0,148748.0
2019-07-01,465.017,2204.0,21460.0,505.171,2394.0,23323.0,2707.594,12831.0,125012.0
2019-08-01,445.125,2109.0,20560.0,497.036,2355.0,22949.0,3366.521,15954.0,155430.0
2019-09-01,323.621,1534.0,14932.0,462.987,2194.0,21376.0,2838.572,13452.0,131060.0
2019-10-01,203.392,964.0,9381.0,427.111,2024.0,19719.0,3075.351,14574.0,141991.0
2019-11-01,305.044,1446.0,14084.0,379.013,1796.0,17499.0,3302.645,15651.0,152485.0
2019-12-01,200.206,949.0,9252.0,419.049,1986.0,19348.0,3305.317,15664.0,152609.0
2020-01-01,96.839,459.0,5574.0,168.23,797.0,9727.0,3211.949,15221.0,185693.0
2020-02-01,77.953,369.0,4512.0,168.909,800.0,9766.0,3130.074,14833.0,180971.0
2020-03-01,62.694,297.0,3620.0,147.115,697.0,8506.0,2911.683,13798.0,168342.0
2020-04-01,116.557,552.0,6732.0,86.33,409.0,4992.0,3184.954,15093.0,184147.0
2020-05-01,83.013,393.0,4802.0,124.021,588.0,7170.0,3250.693,15405.0,187951.0
2020-06-01,138.864,658.0,8035.0,139.847,663.0,8086.0,3090.372,14645.0,178683.0
2020-07-01,158.426,751.0,9169.0,178.096,844.0,10297.0,2759.465,13077.0,159547.0
2020-08-01,236.964,1123.0,13706.0,163.876,777.0,9475.0,2665.22,12630.0,154093.0
2020-09-01,154.431,732.0,8928.0,125.516,595.0,7257.0,2995.882,14197.0,173218.0
2020-10-01,106.009,502.0,6129.0,116.565,552.0,6740.0,3221.83,15268.0,186281.0
2020-11-01,161.343,765.0,9338.0,124.428,590.0,7194.0,3081.825,14604.0,178188.0
2020-12-01,193.242,916.0,11172.0,165.756,785.0,9583.0,3118.029,14776.0,180281.0
2021-01-01,190.381,1358.0,14502.0,275.298,1964.0,20976.0,2320.683,16552.0,176817.0
2021-02-01,238.48,1701.0,18170.0,205.441,1465.0,15652.0,2059.288,14688.0,156898.0
2021-03-01,133.596,953.0,10183.0,208.94,1490.0,15919.0,2001.438,14275.0,152485.0
2021-04-01,134.157,957.0,10231.0,150.948,1077.0,11501.0,2220.003,15834.0,169136.0
2021-05-01,148.846,1062.0,11341.0,195.308,1393.0,14880.0,2457.302,17527.0,187219.0
2021-06-01,224.688,1603.0,17108.0,246.728,1760.0,18798.0,2366.605,16880.0,180312.0
2021-07-01,205.772,1468.0,15685.0,333.365,2378.0,25399.0,1983.763,14149.0,151145.0
2021-08-01,236.92,1690.0,18049.0,328.406,2342.0,25021.0,2324.725,16581.0,177115.0
2021-09-01,165.393,1180.0,12596.0,264.627,1887.0,20161.0,2373.296,16928.0,180817.0
2021-10-01,69.278,494.0,5284.0,261.043,1862.0,19889.0,2302.06,16420.0,175394.0
2021-11-01,40.836,291.0,3113.0,322.231,2298.0,24550.0,2488.859,17752.0,189622.0
2021-12-01,50.168,358.0,3813.0,307.7,2195.0,23443.0,2401.428,17128.0,182961.0
2022-01-01,359.202,1702.0,23285.0,180.154,854.0,11685.0,3269.303,15493.0,212025.0
2022-02-01,137.857,653.0,8952.0,172.341,817.0,11179.0,3062.881,14515.0,198663.0
2022-03-01,51.875,246.0,3354.0,154.236,731.0,10004.0,2655.002,12582.0,172208.0
2022-04-01,184.371,874.0,11968.0,98.936,469.0,6417.0,2977.805,14111.0,193148.0
2022-05-01,239.372,1134.0,15516.0,126.451,599.0,8201.0,3181.106,15075.0,206334.0
2022-06-01,139.872,663.0,9073.0,179.482,851.0,11641.0,2738.664,12978.0,177631.0
2022-07-01,219.813,1042.0,14261.0,213.035,1010.0,13817.0,3004.455,14238.0,194869.0
2022-08-01,138.638,657.0,9000.0,209.74,994.0,13604.0,3261.873,15458.0,211572.0
2022-09-01,75.697,359.0,4898.0,163.789,776.0,10623.0,3033.35,14375.0,196746.0
2022-10-01,32.64,155.0,2123.0,152.077,721.0,9864.0,3141.077,14885.0,203736.0
2022-11-01,114.082,541.0,7408.0,171.694,814.0,11136.0,2935.366,13910.0,190395.0
2022-12-01,272.373,1291.0,17663.0,194.369,921.0,12607.0,3266.022,15477.0,211840.0
2023-01-01,268.687,1273.0,10121.0,517.424,2452.0,19468.0,5324.361,25232.0,200316.0
2023-02-01,198.563,941.0,7474.0,449.289,2129.0,16903.0,4138.515,19612.0,155703.0
2023-03-01,312.105,1479.0,11729.0,418.278,1982.0,15737.0,4365.671,20688.0,164245.0
2023-04-01,289.193,1370.0,10873.0,348.862,1653.0,13125.0,4501.424,21332.0,169357.0
2023-05-01,267.157,1266.0,10043.0,383.625,1818.0,14433.0,4611.207,21852.0,173488.0
2023-06-01,352.028,1668.0,13235.0,422.298,2001.0,15888.0,3686.687,17471.0,138706.0
2023-07-01,544.08,2578.0,20475.0,541.001,2564.0,20354.0,4061.72,19248.0,152808.0
2023-08-01,521.876,2473.0,19644.0,546.577,2590.0,20564.0,4589.284,21748.0,172664.0
2023-09-01,340.105,1612.0,12793.0,467.457,2215.0,17587.0,4452.383,21099.0,167507.0
2023-10-01,260.224,1233.0,9783.0,358.211,1698.0,13477.0,3458.032,16387.0,130103.0
2023-11-01,285.367,1352.0,10743.0,416.919,1976.0,15685.0,4956.95,23490.0,186494.0
2023-12-01,349.403,1656.0,13157.0,423.059,2005.0,15917.0,4963.978,23524.0,186757.0
2024-01-01,568.626,2695.0,22862.0,248.928,1180.0,10004.0,3657.986,17335.0,147020.0
2024-02-01,259.706,1231.0,10432.0,243.521,1154.0,9787.0,3304.845,15661.0,132830.0
2024-03-01,189.646,899.0,7629.0,179.646,851.0,7221.0,3832.69,18163.0,154045.0
2024-04-01,242.16,1148.0,9731.0,186.39,883.0,7491.0,3320.006,15733.0,133444.0
2024-05-01,407.681,1932.0,16374.0,218.474,1035.0,8781.0,3750.407,17773.0,150739.0
2024-06-01,496.933,2355.0,19982.0,292.438,1386.0,11754.0,3752.848,17784.0,150835.0
2024-07-01,512.224,2427.0,20578.0,334.708,1586.0,13453.0,3658.174,17336.0,147029.0
2024-08-01,315.988,1497.0,12690.0,336.711,1596.0,13534.0,3698.414,17526.0,148652.0
2024-09-01,166.626,790.0,6695.0,293.021,1389.0,11777.0,3458.345,16389.0,139005.0
2024-10-01,164.338,779.0,6617.0,255.769,1212.0,10280.0,3042.655,14419.0,122298.0
2024-11-01,286.343,1357.0,11522.0,235.002,1114.0,9446.0,3317.169,15720.0,133330.0
