measured_on,"Nuclear-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Nuclear-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Nuclear-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2007-01-01,470588.0,4934115.0,4934115.0
2007-02-01,426143.0,4468109.0,4468109.0
2007-03-01,408508.0,4283206.0,4283206.0
2007-04-01,411225.0,4311694.0,4311694.0
2007-05-01,402088.0,4215893.0,4215893.0
2007-06-01,441324.0,4627282.0,4627282.0
2007-07-01,322411.0,3380479.0,3380479.0
2007-08-01,441765.0,4631906.0,4631906.0
2007-09-01,437113.0,4583130.0,4583130.0
2007-10-01,461624.0,4840128.0,4840128.0
2007-11-01,455744.0,4778476.0,4778476.0
2007-12-01,399399.0,4187699.0,4187699.0
2008-01-01,424201.0,4449020.0,4449020.0
2008-02-01,400430.0,4199710.0,4199710.0
2008-03-01,422238.0,4428432.0,4428432.0
2008-04-01,356828.0,3742412.0,3742412.0
2008-05-01,459296.0,4817096.0,4817096.0
2008-06-01,434294.0,4554875.0,4554875.0
2008-07-01,442550.0,4641464.0,4641464.0
2008-08-01,449651.0,4715940.0,4715940.0
2008-09-01,437727.0,4590881.0,4590881.0
2008-10-01,326548.0,3424835.0,3424835.0
2008-11-01,121372.0,1272950.0,1272950.0
2008-12-01,388870.0,4078469.0,4078469.0
2009-01-01,473879.0,4970043.0,4970043.0
2009-02-01,191784.0,2011431.0,2011431.0
2009-03-01,469082.0,4919732.0,4919732.0
2009-04-01,375920.0,3942649.0,3942649.0
2009-05-01,406739.0,4265879.0,4265879.0
2009-06-01,445612.0,4673579.0,4673579.0
2009-07-01,352978.0,3702033.0,3702033.0
2009-08-01,422406.0,4430194.0,4430194.0
2009-09-01,447749.0,4695992.0,4695992.0
2009-10-01,464990.0,4876815.0,4876815.0
2009-11-01,455890.0,4781374.0,4781374.0
2009-12-01,471372.0,4943750.0,4943750.0
2010-01-01,472768.0,4944681.0,4944681.0
2010-02-01,426270.0,4458358.0,4458358.0
2010-03-01,464105.0,4854074.0,4854074.0
2010-04-01,405250.0,4238510.0,4238510.0
2010-05-01,433442.0,4533370.0,4533370.0
2010-06-01,433078.0,4529563.0,4529563.0
2010-07-01,427746.0,4473795.0,4473795.0
2010-08-01,449906.0,4705567.0,4705567.0
2010-09-01,437488.0,4575687.0,4575687.0
2010-10-01,460659.0,4818032.0,4818032.0
2010-11-01,-3574.0,0.0,0.0
2010-12-01,194257.0,2031734.0,2031734.0
2011-01-01,462729.0,4841996.0,4841996.0
2011-02-01,420667.0,4401859.0,4401859.0
2011-03-01,472427.0,4943476.0,4943476.0
2011-04-01,441659.0,4621520.0,4621520.0
2011-05-01,365920.0,3828987.0,3828987.0
2011-06-01,445206.0,4658636.0,4658636.0
2011-07-01,446626.0,4673494.0,4673494.0
2011-08-01,403411.0,4221293.0,4221293.0
2011-09-01,439618.0,4600163.0,4600163.0
2011-10-01,470365.0,4921899.0,4921899.0
2011-11-01,455628.0,4767691.0,4767691.0
2011-12-01,474191.0,4961935.0,4961935.0
2012-01-01,467426.0,4897967.0,4897967.0
2012-02-01,439520.0,4605551.0,4605551.0
2012-03-01,470632.0,4931561.0,4931561.0
2012-04-01,452612.0,4742737.0,4742737.0
2012-05-01,461845.0,4839486.0,4839486.0
2012-06-01,443494.0,4647193.0,4647193.0
2012-07-01,368011.0,3856238.0,3856238.0
2012-08-01,444186.0,4654444.0,4654444.0
2012-09-01,436262.0,4571412.0,4571412.0
2012-10-01,308423.0,3231839.0,3231839.0
2012-11-01,-3515.0,0.0,0.0
2012-12-01,425781.0,4461586.0,4461586.0
2013-01-01,464882.0,4857431.0,4857431.0
2013-02-01,425949.0,4450630.0,4450630.0
2013-03-01,461117.0,4818091.0,4818091.0
2013-04-01,454523.0,4749192.0,4749192.0
2013-05-01,455270.0,4756997.0,4756997.0
2013-06-01,433256.0,4526979.0,4526979.0
2013-07-01,444287.0,4642239.0,4642239.0
2013-08-01,453796.0,4741596.0,4741596.0
2013-09-01,431057.0,4504002.0,4504002.0
2013-10-01,345547.0,3610530.0,3610530.0
2013-11-01,367275.0,3837561.0,3837561.0
2013-12-01,364595.0,3809558.0,3809558.0
2014-01-01,468949.0,4904790.0,4904790.0
2014-02-01,423080.0,4425041.0,4425041.0
2014-03-01,466779.0,4882093.0,4882093.0
2014-04-01,441407.0,4616725.0,4616725.0
2014-05-01,456609.0,4775724.0,4775724.0
2014-06-01,456509.0,4774678.0,4774678.0
2014-07-01,341593.0,3572759.0,3572759.0
2014-08-01,448316.0,4688987.0,4688987.0
2014-09-01,192732.0,2015805.0,2015805.0
2014-10-01,226347.0,2367388.0,2367388.0
2014-11-01,458565.0,4796182.0,4796182.0
2014-12-01,470021.0,4916002.0,4916002.0
2015-01-01,473390.0,4950948.0,4950948.0
2015-02-01,427213.0,4468006.0,4468006.0
2015-03-01,387221.0,4049750.0,4049750.0
2015-04-01,455461.0,4763438.0,4763438.0
2015-05-01,346831.0,3627331.0,3627331.0
2015-06-01,443823.0,4641722.0,4641722.0
2015-07-01,451332.0,4720255.0,4720255.0
2015-08-01,450892.0,4715653.0,4715653.0
2015-09-01,441359.0,4615952.0,4615952.0
2015-10-01,468485.0,4899649.0,4899649.0
2015-11-01,441346.0,4615816.0,4615816.0
2015-12-01,471476.0,4930931.0,4930931.0
2016-01-01,470925.0,4925172.0,4925172.0
2016-02-01,441507.0,4617504.0,4617504.0
2016-03-01,468627.0,4901138.0,4901138.0
2016-04-01,359421.0,3759007.0,3759007.0
2016-05-01,283272.0,2962602.0,2962602.0
2016-06-01,443185.0,4635053.0,4635053.0
2016-07-01,447472.0,4679889.0,4679889.0
2016-08-01,429866.0,4495756.0,4495756.0
2016-09-01,242675.0,2538018.0,2538018.0
2016-10-01,274148.0,2867179.0,2867179.0
2016-11-01,377142.0,3944342.0,3944342.0
2016-12-01,346851.0,3627543.0,3627543.0
2017-01-01,474368.0,4961475.0,4961475.0
2017-02-01,426684.0,4462742.0,4462742.0
2017-03-01,472874.0,4945850.0,4945850.0
2017-04-01,453440.0,4742587.0,4742587.0
2017-05-01,465893.0,4872834.0,4872834.0
2017-06-01,443538.0,4639021.0,4639021.0
2017-07-01,408812.0,4275817.0,4275817.0
2017-08-01,452018.0,4727714.0,4727714.0
2017-09-01,442436.0,4627495.0,4627495.0
2017-10-01,464303.0,4856204.0,4856204.0
2017-11-01,454544.0,4754134.0,4754134.0
2017-12-01,471281.0,4929188.0,4929188.0
2018-01-01,462083.0,4830915.0,4830915.0
2018-02-01,425864.0,4452258.0,4452258.0
2018-03-01,470380.0,4917658.0,4917658.0
2018-04-01,453710.0,4743379.0,4743379.0
2018-05-01,462664.0,4836990.0,4836990.0
2018-06-01,439334.0,4593083.0,4593083.0
2018-07-01,382807.0,4002113.0,4002113.0
2018-08-01,289886.0,3030656.0,3030656.0
2018-09-01,153587.0,1605698.0,1605698.0
2018-10-01,0.0,0.0,0.0
