measured_on,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2008-08-01,2513.925,53230.0,53230.0
2008-09-01,2530.797,53587.0,53587.0
2008-10-01,2463.309,52158.0,52158.0
2008-11-01,2362.077,50015.0,50015.0
2008-12-01,2446.437,51801.0,51801.0
2009-01-01,2502.309,54207.0,54207.0
2009-02-01,1960.498,42471.0,42471.0
2009-03-01,1867.82,40464.0,40464.0
2009-04-01,1661.077,35985.0,35985.0
2009-05-01,2138.726,46332.0,46332.0
2009-06-01,1796.529,38919.0,38919.0
2009-07-01,2160.1130000000003,46796.0,46796.0
2009-08-01,2095.951,45406.0,45406.0
2009-09-01,1739.497,37683.0,37683.0
2009-10-01,2495.18,54054.0,54054.0
2009-11-01,2815.989,61004.0,61004.0
2009-12-01,2723.311,58996.0,58996.0
2010-01-01,2137.091,44880.0,44880.0
2010-02-01,1948.313,40916.0,40916.0
2010-03-01,2198.648,46173.0,46173.0
2010-04-01,1936.5140000000001,40668.0,40668.0
2010-05-01,2295.603,48209.0,48209.0
2010-06-01,2228.402,46798.0,46798.0
2010-07-01,2076.558,43609.0,43609.0
2010-08-01,2139.1420000000003,44923.0,44923.0
2010-09-01,2271.492,47702.0,47702.0
2010-10-01,1565.114,32868.0,32868.0
2010-11-01,2106.824,44245.0,44245.0
2010-12-01,1987.2990000000002,41734.0,41734.0
2011-01-01,1760.741,33459.0,33459.0
2011-02-01,1375.577,26140.0,26140.0
2011-03-01,1650.693,31368.0,31368.0
2011-04-01,1650.693,31368.0,31368.0
2011-05-01,1529.642,29068.0,29068.0
2011-06-01,1464.715,27834.0,27834.0
2011-07-01,1793.753,34087.0,34087.0
2011-08-01,1942.315,36910.0,36910.0
2011-09-01,1881.79,35760.0,35760.0
2011-10-01,1639.688,31159.0,31159.0
2011-11-01,1623.182,30845.0,30845.0
2011-12-01,1574.211,29915.0,29915.0
2012-01-01,1532.95,29550.0,29550.0
2012-02-01,1365.108,26314.0,26314.0
2012-03-01,1443.434,27823.0,27823.0
2012-04-01,1432.245,27608.0,27608.0
2012-05-01,1437.84,27716.0,27716.0
2012-06-01,1918.984,36990.0,36990.0
2012-07-01,1521.76,29333.0,29333.0
2012-08-01,1583.302,30519.0,30519.0
2012-09-01,1546.377,29808.0,29808.0
2012-10-01,1454.624,28039.0,28039.0
2012-11-01,1275.593,24588.0,24588.0
2012-12-01,1286.783,24804.0,24804.0
2013-01-01,1913.106,34126.0,34126.0
2013-02-01,1778.24,31720.0,31720.0
2013-03-01,1942.699,34654.0,34654.0
2013-04-01,1702.56,30371.0,30371.0
2013-05-01,1874.538,33438.0,33438.0
2013-06-01,1718.812,30660.0,30660.0
2013-07-01,1326.342,23659.0,23659.0
2013-08-01,1375.825,24542.0,24542.0
2013-09-01,1782.363,31794.0,31794.0
2013-10-01,1853.192,33057.0,33057.0
2013-11-01,1904.858,33979.0,33979.0
2013-12-01,1852.465,33045.0,33045.0
2014-01-01,2141.004,37484.0,37484.0
2014-02-01,1820.209,31867.0,31867.0
2014-03-01,1909.097,33424.0,33424.0
2014-04-01,2105.391,36860.0,36860.0
2014-05-01,1976.048,34596.0,34596.0
2014-06-01,2029.609,35533.0,35533.0
2014-07-01,2117.927,37079.0,37079.0
2014-08-01,2096.274,36700.0,36700.0
2014-09-01,1417.934,24824.0,24824.0
2014-10-01,1187.167,20785.0,20785.0
2014-11-01,1175.201,20575.0,20575.0
2014-12-01,848.139,14849.0,14849.0
2015-01-01,1193.838,20588.0,20588.0
2015-02-01,1202.759,20742.0,20742.0
2015-03-01,1501.888,25900.0,25900.0
2015-04-01,2002.616,34535.0,34535.0
2015-05-01,2068.924,35678.0,35678.0
2015-06-01,1740.655,30017.0,30017.0
2015-07-01,2010.347,34668.0,34668.0
2015-08-01,2062.085,35560.0,35560.0
2015-09-01,1921.144,33130.0,33130.0
2015-10-01,1992.804,34366.0,34366.0
2015-11-01,2047.812,35315.0,35315.0
2015-12-01,1990.128,34320.0,34320.0
2016-01-01,2037.911,36364.0,36364.0
2016-02-01,1916.096,34191.0,34191.0
2016-03-01,2041.018,36420.0,36420.0
2016-04-01,1934.12,34513.0,34513.0
2016-05-01,2036.979,36348.0,36348.0
2016-06-01,1895.586,33825.0,33825.0
2016-07-01,2105.344,37568.0,37568.0
2016-08-01,1297.078,23145.0,23145.0
2016-09-01,1239.589,22119.0,22119.0
2016-10-01,1263.517,22546.0,22546.0
2016-11-01,1798.632,32095.0,32095.0
2016-12-01,1810.13,32300.0,32300.0
2017-01-01,1891.171,22591.0,22591.0
2017-02-01,1707.848,20401.0,20401.0
2017-03-01,1862.248,22245.0,22245.0
2017-04-01,1773.61,21187.0,21187.0
2017-05-01,1912.841,22850.0,22850.0
2017-06-01,1758.06,21001.0,21001.0
2017-07-01,1690.031,20188.0,20188.0
2017-08-01,1700.904,20318.0,20318.0
2017-09-01,1621.865,19374.0,19374.0
2017-10-01,1748.708,20889.0,20889.0
2017-11-01,1679.301,20060.0,20060.0
2017-12-01,1812.413,21650.0,21650.0
2018-01-01,1792.495,32575.0,32575.0
2018-02-01,1579.903,28711.0,28711.0
2018-03-01,1701.293,30917.0,30917.0
2018-04-01,1693.457,30775.0,30775.0
2018-05-01,1779.504,32339.0,32339.0
2018-06-01,1596.776,29018.0,29018.0
2018-07-01,1640.627,29814.0,29814.0
2018-08-01,1563.747,28418.0,28418.0
2018-09-01,1489.56,27070.0,27070.0
2018-10-01,1725.574,31358.0,31358.0
2018-11-01,1678.193,30497.0,30497.0
2018-12-01,1733.871,31509.0,31509.0
2019-01-01,1852.017,33388.0,33388.0
2019-02-01,1666.505,30043.0,30043.0
2019-03-01,1893.659,34139.0,34139.0
2019-04-01,1752.341,31591.0,31591.0
2019-05-01,1858.608,33506.0,33506.0
2019-06-01,1716.188,30939.0,30939.0
2019-07-01,1724.328,31085.0,31085.0
2019-08-01,1679.703,30281.0,30281.0
2019-09-01,1578.727,28461.0,28461.0
2019-10-01,1638.759,29543.0,29543.0
2019-11-01,1613.646,29091.0,29091.0
2019-12-01,1790.519,32279.0,32279.0
2020-01-01,1844.568,33443.0,33443.0
2020-02-01,1652.251,29957.0,29957.0
2020-03-01,1879.997,34086.0,34086.0
2020-04-01,1806.043,32745.0,32745.0
2020-05-01,1776.158,32203.0,32203.0
2020-06-01,1660.383,30104.0,30104.0
2020-07-01,1625.152,29466.0,29466.0
2020-08-01,1608.32,29160.0,29160.0
2020-09-01,1608.479,29163.0,29163.0
2020-10-01,1748.661,31705.0,31705.0
2020-11-01,1655.686,30019.0,30019.0
2020-12-01,1826.302,33112.0,33112.0
2021-01-01,1864.184,34576.0,34576.0
2021-02-01,1570.296,29126.0,29126.0
2021-03-01,1695.058,31440.0,31440.0
2021-04-01,1608.966,29843.0,29843.0
2021-05-01,1691.612,31376.0,31376.0
2021-06-01,1566.59,29057.0,29057.0
2021-07-01,1613.759,29932.0,29932.0
2021-08-01,1505.513,27924.0,27924.0
2021-09-01,1531.246,28401.0,28401.0
2021-10-01,1460.832,27096.0,27096.0
2021-11-01,1325.399,24584.0,24584.0
2021-12-01,1625.545,30150.0,30150.0
2022-01-01,1518.81,30231.0,30231.0
2022-02-01,1436.855,28600.0,28600.0
2022-03-01,1589.457,31637.0,31637.0
2022-04-01,1484.041,29539.0,29539.0
2022-05-01,1474.107,29341.0,29341.0
2022-06-01,1351.485,26900.0,26900.0
2022-07-01,1353.931,26949.0,26949.0
2022-08-01,1311.507,26104.0,26104.0
2022-09-01,1389.484,27657.0,27657.0
2022-10-01,1379.049,27449.0,27449.0
2022-11-01,1383.911,27546.0,27546.0
2022-12-01,1145.363,22797.0,22797.0
2023-01-01,1381.075,28527.0,28527.0
2023-02-01,1152.889,23813.0,23813.0
2023-03-01,1327.335,27417.0,27417.0
2023-04-01,1242.738,25669.0,25669.0
2023-05-01,1308.993,27038.0,27038.0
2023-06-01,1304.301,26941.0,26941.0
2023-07-01,1278.794,26414.0,26414.0
2023-08-01,1203.889,24867.0,24867.0
2023-09-01,1041.273,21508.0,21508.0
2023-10-01,1155.763,23873.0,23873.0
2023-11-01,1139.745,23542.0,23542.0
2023-12-01,1130.205,23345.0,23345.0
2024-01-01,1269.376,26222.0,26222.0
2024-02-01,1258.58,25999.0,25999.0
2024-03-01,1328.719,27448.0,27448.0
2024-04-01,1205.676,24906.0,24906.0
2024-05-01,1267.731,26188.0,26188.0
2024-06-01,1218.884,25179.0,25179.0
2024-07-01,1238.035,25574.0,25574.0
2024-08-01,1267.385,26180.0,26180.0
2024-09-01,1110.963,22949.0,22949.0
2024-10-01,1239.15,25597.0,25597.0
2024-11-01,1151.761,23792.0,23792.0
2024-12-01,996.74,20590.0,20590.0
