measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2005-01-01,0.0,0.0,0.0,28158.0,369252.99,369252.99,,,
2005-02-01,0.0,0.0,0.0,22877.0,271545.05,271545.05,,,
2005-03-01,0.0,0.0,0.0,77835.0,903514.48,903514.48,,,
2005-04-01,0.0,0.0,0.0,91921.0,1071391.49,1071391.49,,,
2005-05-01,0.0,0.0,0.0,80394.0,885168.07,885168.07,,,
2005-06-01,0.0,0.0,0.0,98084.0,1137606.74,1137606.74,,,
2005-07-01,0.0,0.0,0.0,105340.0,1219772.35,1219772.35,,,
2005-08-01,0.0,0.0,0.0,91967.0,1098130.43,1098130.43,,,
2005-09-01,0.0,0.0,0.0,97436.0,1128950.06,1128950.06,,,
2005-10-01,0.0,0.0,0.0,45499.0,542225.75,542225.75,,,
2005-11-01,0.0,0.0,0.0,5826.0,77410.25,77410.25,,,
2005-12-01,257.0,3191.9,3191.9,57848.0,703348.1,703348.1,,,
2006-01-01,0.0,0.0,0.0,20651.0,258428.0,258428.0,,,
2006-02-01,0.0,0.0,0.0,37553.0,449609.0,449609.0,,,
2006-03-01,0.0,0.0,0.0,38986.0,490028.0,490028.0,,,
2006-04-01,0.0,0.0,0.0,67120.0,789786.0,789786.0,,,
2006-05-01,0.0,0.0,0.0,50095.0,627361.0,627361.0,,,
2006-06-01,0.0,0.0,0.0,108191.0,1249481.0,1249481.0,,,
2006-07-01,0.0,0.0,0.0,134093.0,1483990.0,1483990.0,,,
2006-08-01,0.0,0.0,0.0,132581.0,1487701.0,1487701.0,,,
2006-09-01,0.0,0.0,0.0,26723.0,323446.0,323446.0,,,
2006-10-01,0.0,0.0,0.0,22731.0,287814.0,287814.0,,,
2006-11-01,38.0,460.0,460.0,65366.0,764156.0,764156.0,,,
2006-12-01,0.0,0.0,0.0,59171.0,652857.0,652857.0,,,
2007-01-01,0.0,0.0,0.0,122023.0,1341538.0,1341538.0,,,
2007-02-01,0.0,0.0,0.0,66179.0,750309.0,750309.0,,,
2007-03-01,0.0,0.0,0.0,61252.0,755772.0,755772.0,,,
2007-04-01,0.0,0.0,0.0,81456.0,920111.0,920111.0,,,
2007-05-01,0.0,0.0,0.0,107966.0,1209990.0,1209990.0,,,
2007-06-01,0.0,0.0,0.0,72201.0,854170.0,854170.0,,,
2007-07-01,0.0,0.0,0.0,79035.0,939196.0,939196.0,,,
2007-08-01,0.0,0.0,0.0,99165.0,1160878.0,1160878.0,,,
2007-09-01,0.0,0.0,0.0,87301.001,1040830.0,1040830.0,,,
2007-10-01,0.0,0.0,0.0,84957.0,1003156.0,1003156.0,,,
2007-11-01,0.0,0.0,0.0,59197.0,725064.0,725064.0,,,
2007-12-01,0.0,0.0,0.0,81061.0,984006.0,984006.0,,,
2008-01-01,0.0,0.0,0.0,75040.0,877295.0,877295.0,,,
2008-02-01,0.0,0.0,0.0,57464.0,677170.0,677170.0,,,
2008-03-01,0.0,0.0,0.0,84158.0,951711.0,951711.0,,,
2008-04-01,0.0,0.0,0.0,94948.0,1079451.0,1079451.0,,,
2008-05-01,0.0,0.0,0.0,80290.0,926570.0,926570.0,,,
2008-06-01,0.0,0.0,0.0,157932.0,1732782.0,1732782.0,,,
2008-07-01,0.0,0.0,0.0,119900.0,1360751.0,1360751.0,,,
2008-08-01,0.0,0.0,0.0,104095.0,1193400.0,1193400.0,,,
2008-09-01,0.0,0.0,0.0,80160.0,960529.0,960529.0,,,
2008-10-01,0.0,0.0,0.0,99045.0,1151294.0,1151294.0,,,
2008-11-01,0.0,0.0,0.0,22907.0,303970.0,303970.0,,,
2008-12-01,0.0,0.0,0.0,79703.0,947303.0,947303.0,,,
2009-01-01,0.0,0.0,0.0,108000.0,1223342.0,1223342.0,,,
2009-02-01,0.0,0.0,0.0,58952.0,746750.0,746750.0,,,
2009-03-01,0.0,0.0,0.0,77515.0,935532.0,935532.0,,,
2009-04-01,0.0,0.0,0.0,13603.0,197867.0,197867.0,,,
2009-05-01,0.0,0.0,0.0,95273.0,1149300.0,1149300.0,,,
2009-06-01,0.0,0.0,0.0,118926.0,1359467.0,1359467.0,,,
2009-07-01,0.0,0.0,0.0,113852.0,1389885.0,1389885.0,,,
2009-08-01,0.0,0.0,0.0,106514.0,1329677.0,1329677.0,,,
2009-09-01,0.0,0.0,0.0,67699.0,860842.0,860842.0,,,
2009-10-01,0.0,0.0,0.0,67334.0,856063.0,856063.0,,,
2009-11-01,0.0,0.0,0.0,58126.0,731687.0,731687.0,,,
2009-12-01,0.0,0.0,0.0,72461.0,871365.0,871365.0,,,
2010-01-01,0.0,0.0,0.0,102088.0,1159708.0,1159708.0,,,
2010-02-01,0.0,0.0,0.0,109525.0,1177267.0,1177267.0,,,
2010-03-01,0.0,0.0,0.0,93370.0,1040375.0,1040375.0,,,
2010-04-01,0.0,0.0,0.0,58674.0,728379.0,728379.0,,,
2010-05-01,0.0,0.0,0.0,67215.0,805100.0,805100.0,,,
2010-06-01,0.0,0.0,0.0,74422.0,865637.0,865637.0,,,
2010-07-01,0.0,0.0,0.0,87972.0,1041885.0,1041885.0,,,
2010-08-01,0.0,0.0,0.0,124357.0,1449951.0,1449951.0,,,
2010-09-01,0.0,0.0,0.0,69379.0,825106.0,825106.0,,,
2010-10-01,0.0,0.0,0.0,72486.0,854333.0,854333.0,,,
2010-11-01,0.0,0.0,0.0,4503.0,50693.0,50693.0,,,
2010-12-01,0.0,0.0,0.0,15054.0,177337.0,177337.0,,,
2011-01-01,0.0,0.0,0.0,8999.0,112343.0,112343.0,,,
2011-02-01,0.0,0.0,0.0,43191.0,501280.0,501280.0,,,
2011-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-04-01,0.0,0.0,0.0,601.0,7461.0,7461.0,,,
2011-05-01,0.0,0.0,0.0,5446.0,75608.0,75608.0,,,
2011-06-01,0.0,0.0,0.0,30964.0,387263.0,387263.0,,,
2011-07-01,0.0,0.0,0.0,92716.0,1127887.0,1127887.0,,,
2011-08-01,0.0,0.0,0.0,143535.0,1699179.0,1699179.0,,,
2011-09-01,0.0,0.0,0.0,92593.0,1120025.0,1120025.0,,,
2011-10-01,0.0,0.0,0.0,60192.0,734788.0,734788.0,,,
2011-11-01,0.0,0.0,0.0,51248.0,626219.0,626219.0,,,
2011-12-01,0.0,0.0,0.0,24066.0,287284.0,287284.0,,,
2012-01-01,0.0,0.0,0.0,12930.0,169111.0,169111.0,,,
2012-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-03-01,0.0,0.0,0.0,-521.0,20.0,20.0,,,
2012-04-01,0.0,0.0,0.0,54749.0,632051.0,632051.0,,,
2012-05-01,0.0,0.0,0.0,45996.0,527520.0,527520.0,,,
2012-06-01,0.0,0.0,0.0,69275.0,818849.0,818849.0,,,
2012-07-01,0.0,0.0,0.0,36575.0,432702.0,432702.0,,,
2012-08-01,0.0,0.0,0.0,81592.0,951677.0,951677.0,,,
2012-09-01,0.0,0.0,0.0,5473.0,64128.0,64128.0,,,
2012-10-01,0.0,0.0,0.0,0.0,226.0,226.0,,,
2012-11-01,0.0,0.0,0.0,0.0,155.0,155.0,,,
2012-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-05-01,0.0,0.0,0.0,11411.0,160489.0,160489.0,,,
2013-06-01,0.0,0.0,0.0,37314.0,452442.0,452442.0,,,
2013-07-01,0.0,0.0,0.0,63682.0,736999.0,736999.0,,,
2013-08-01,0.0,0.0,0.0,86919.0,1023061.0,1023061.0,,,
2013-09-01,0.0,0.0,0.0,39239.0,449168.0,449168.0,,,
2013-10-01,0.0,0.0,0.0,3141.0,39081.0,39081.0,,,
2013-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-12-01,0.0,0.0,0.0,26425.0,281995.0,281995.0,,,
2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-03-01,0.0,0.0,0.0,3.0,9211.0,9211.0,,,
2014-04-01,0.0,0.0,0.0,43731.0,524816.0,524816.0,0.0,0.0,0.0
2014-05-01,0.0,0.0,0.0,13.0,2472.0,2472.0,,,
2014-06-01,,,,6384.0,83288.0,83288.0,,,
2014-07-01,,,,21497.0,270973.0,270973.0,,,
2014-08-01,,,,50564.0,589507.0,589507.0,,,
2014-09-01,,,,0.0,1474.0,1474.0,,,
2014-10-01,,,,843.0,13357.0,13357.0,,,
2014-11-01,,,,20095.0,220931.0,220931.0,,,
2014-12-01,,,,0.0,3968.0,3968.0,,,
2015-01-01,,,,2896.0,44365.0,44365.0,,,
2015-02-01,,,,22349.0,266556.0,266556.0,,,
2015-03-01,,,,17543.0,171781.0,171781.0,,,
2015-04-01,,,,0.0,185.0,185.0,,,
2015-05-01,0.0,0.0,0.0,-1389.0,0.0,0.0,0.0,0.0,0.0
2015-06-01,,,,5087.0,63731.0,63731.0,,,
2015-07-01,,,,63056.0,738768.0,738768.0,,,
2015-08-01,,,,123292.0,1401781.0,1401781.0,,,
2015-09-01,,,,30755.0,349608.0,349608.0,,,
2015-10-01,,,,9832.0,124353.0,124353.0,,,
2015-11-01,,,,0.0,364.0,364.0,,,
2015-12-01,,,,4606.0,51432.0,51432.0,,,
2016-01-01,,,,0.0,782.0,782.0,,,
2016-02-01,,,,0.0,677.0,677.0,,,
2016-03-01,,,,58727.0,641487.0,641487.0,,,
2016-04-01,,,,38422.0,416803.0,416803.0,,,
2016-05-01,,,,28542.0,325216.0,325216.0,,,
2016-06-01,,,,49186.0,564792.0,564792.0,,,
2016-07-01,,,,96192.0,1081691.0,1081691.0,,,
2016-08-01,,,,65559.0,757670.0,757670.0,,,
2016-09-01,,,,38046.0,440350.0,440350.0,,,
2016-10-01,,,,21605.0,257391.0,257391.0,,,
2016-11-01,,,,1848.0,20721.0,20721.0,,,
2016-12-01,,,,4060.0,63258.0,63258.0,,,
2017-01-01,,,,1617.0,22052.0,22052.0,,,
2017-02-01,,,,0.0,0.0,0.0,,,
2017-03-01,,,,3703.0,48273.0,48273.0,,,
2017-04-01,,,,13403.0,163603.0,163603.0,,,
2017-05-01,,,,21088.0,257891.0,257891.0,,,
2017-06-01,,,,53154.0,610638.0,610638.0,,,
2017-07-01,,,,141525.0,1547058.0,1547058.0,,,
2017-08-01,,,,68149.0,766267.0,766267.0,,,
2017-09-01,,,,9940.0,111756.0,111756.0,,,
2017-10-01,,,,3760.0,45940.0,45940.0,,,
2017-11-01,,,,7268.0,79640.0,79640.0,,,
2017-12-01,,,,2529.0,49739.0,49739.0,,,
2018-01-01,,,,48876.0,503162.0,503162.0,,,
2018-02-01,,,,6067.0,69443.0,69443.0,,,
2018-03-01,,,,9881.0,123728.0,123728.0,,,
2018-04-01,,,,269.0,6967.0,6967.0,,,
2018-05-01,,,,76143.0,869535.0,869535.0,,,
2018-06-01,,,,85729.0,943180.0,943180.0,,,
2018-07-01,,,,148104.0,1618747.0,1618747.0,,,
2018-08-01,,,,107933.0,1201959.0,1201959.0,,,
2018-09-01,,,,23550.0,264584.0,264584.0,,,
2018-10-01,,,,22066.0,248111.0,248111.0,,,
2018-11-01,,,,20211.0,220349.0,220349.0,,,
2018-12-01,,,,1367.0,22612.0,22612.0,,,
2019-01-01,,,,4040.0,42177.0,42177.0,,,
2019-02-01,,,,0.0,3175.0,3175.0,,,
2019-03-01,,,,18389.0,196932.0,196932.0,,,
2019-04-01,,,,6328.0,76021.0,76021.0,,,
2019-05-01,,,,25401.0,283287.0,283287.0,,,
2019-06-01,,,,56122.0,597477.0,597477.0,,,
2019-07-01,,,,137058.0,1503393.0,1503393.0,,,
2019-08-01,,,,220172.0,2417832.0,2417832.0,,,
2019-09-01,,,,129534.0,1255743.0,1255743.0,,,
2019-10-01,,,,61179.0,681824.0,681824.0,,,
2019-11-01,,,,81142.0,859779.0,859779.0,,,
2019-12-01,,,,3495.0,46107.0,46107.0,,,
2020-01-01,,,,111.0,2157.0,2157.0,,,
2020-02-01,,,,5637.0,60421.0,60421.0,,,
2020-03-01,,,,29746.0,326773.0,326773.0,,,
2020-04-01,,,,49732.0,539400.0,539400.0,,,
2020-05-01,,,,59098.0,651577.0,651577.0,,,
2020-06-01,,,,73217.0,832679.0,832679.0,,,
2020-07-01,,,,195780.0,2148161.0,2148161.0,,,
2020-08-01,,,,132289.0,1468514.0,1468514.0,,,
2020-09-01,,,,13469.0,147064.0,147064.0,,,
2020-10-01,,,,65334.0,706207.0,706207.0,,,
2020-11-01,,,,21220.0,247918.0,247918.0,,,
2020-12-01,,,,1476.0,20353.0,20353.0,,,
2021-01-01,,,,3631.0,44970.0,44970.0,,,
2021-02-01,,,,69132.0,729211.0,729211.0,,,
2021-03-01,,,,5257.0,65561.0,65561.0,,,
2021-04-01,,,,57412.0,655517.0,655517.0,,,
2021-05-01,,,,13427.0,161566.0,161566.0,,,
2021-06-01,,,,64676.0,760618.0,760618.0,,,
2021-07-01,,,,117662.0,1309233.0,1309233.0,,,
2021-08-01,,,,116839.0,1328516.0,1328516.0,,,
2021-09-01,,,,79980.0,892790.0,892790.0,,,
2021-10-01,,,,94388.0,1064723.0,1064723.0,,,
2021-11-01,,,,30960.0,329646.0,329646.0,,,
2021-12-01,,,,8654.0,107995.0,107995.0,,,
2022-01-01,,,,26739.0,302576.0,302576.0,,,
2022-02-01,,,,49202.0,565882.0,565882.0,,,
2022-03-01,,,,45741.0,501292.0,501292.0,,,
2022-04-01,,,,22794.0,269183.0,269183.0,,,
2022-05-01,,,,96461.0,1109567.0,1109567.0,,,
2022-06-01,,,,100486.0,1161003.0,1161003.0,,,
2022-07-01,,,,164077.0,1887269.0,1887269.0,,,
2022-08-01,,,,148662.0,1691713.0,1691713.0,,,
2022-09-01,,,,48901.0,581343.0,581343.0,,,
2022-10-01,,,,21679.0,251072.0,251072.0,,,
2022-11-01,,,,88950.0,963488.0,963488.0,,,
2022-12-01,,,,37791.0,445082.0,445082.0,,,
2023-01-01,,,,15308.0,196466.0,196466.0,,,
2023-02-01,,,,27726.0,285405.0,285405.0,,,
2023-03-01,,,,52761.0,597308.0,597308.0,,,
2023-04-01,,,,63145.0,701592.0,701592.0,,,
2023-05-01,,,,172245.0,1916463.0,1916463.0,,,
2023-06-01,,,,201450.0,2289676.0,2289676.0,,,
2023-07-01,,,,222512.0,2494992.0,2494992.0,,,
2023-08-01,,,,197996.0,2264718.0,2264718.0,,,
2023-09-01,,,,150100.0,1713929.0,1713929.0,,,
2023-10-01,,,,75927.0,872923.0,872923.0,,,
2023-11-01,,,,15794.0,162712.0,162712.0,,,
2023-12-01,,,,747.0,14030.0,14030.0,,,
2024-01-01,,,,35186.0,408148.0,408148.0,,,
2024-02-01,,,,1346.0,21010.0,21010.0,,,
2024-03-01,,,,42354.0,472354.0,472354.0,,,
2024-04-01,,,,4899.0,60240.0,60240.0,,,
2024-05-01,,,,91981.0,1092796.0,1092796.0,,,
2024-06-01,,,,139155.0,1573448.0,1573448.0,,,
2024-07-01,,,,163838.0,1823293.0,1823293.0,,,
2024-08-01,,,,206219.0,2356308.0,2356308.0,,,
2024-09-01,,,,124605.0,1373504.0,1373504.0,,,
2024-10-01,,,,97226.0,1131245.0,1131245.0,,,
2024-11-01,,,,105244.0,1142741.0,1142741.0,,,
2024-12-01,,,,31095.0,334750.0,334750.0,,,
